"","GBS_RS00965","GBS_RS11090","GBS_RS01075","GBS_RS01340","GBS_RS01345","GBS_RS01350","GBS_RS01355","GBS_RS01925","GBS_RS02485","GBS_RS03515","GBS_RS03540","GBS_RS03545","GBS_RS03635","GBS_RS11385","GBS_RS08220","GBS_RS09695","GBS_RS09740","GBS_RS10340"
"STAGA_As_1 (GE) - TPM",-0.042402456221858,-0.180159251478123,-0.22969081350405,-0.269027267401056,-0.347384768710973,-0.118652085721839,0.0371765044503654,0.31124339221412,-0.406758841244601,-0.0541478866906953,-0.444114079075843,-0.351627931686935,-0.000599412067117826,-0.166666666666667,0.626157758665414,0.337005501517228,-0.138819680896586,0.00509588094943556
"STAGA_As_2 (GE) - TPM",0.395541857394713,0.103973111674658,-0.00077702154801785,-0.317592098567646,-0.293890094315603,-0.387413587008768,-0.0126086848299336,0.45514495108027,0.171994887962708,-0.0125820812325433,-0.253047738485611,-0.165291333656796,-0.193495862095022,-0.166666666666667,0.517390786714225,0.361618348401215,-0.630507873386161,0.370537492327086
"STAGA_As_3 (GE) - TPM",0.0535848614192195,0.0665158678216896,0.328225858258149,-0.461213826188227,-0.33317610312133,-0.183818435748191,-0.366247488424425,0.0826042498230697,-0.111979273826398,-0.213261905382542,-0.530678124800721,-0.354527231573984,-0.0876954961685531,-0.166666666666667,0.594682199180863,0.0943960799271616,-0.109317100074035,-0.178248081469198
"STAGA_Bs_1 (GE) - TPM",-0.585135345032489,-1.08018246075358,-1.14083936379056,-0.323107757910171,-0.3366555952055,-0.371470076316053,-0.0817828638760002,0.216501877958095,-0.270882826698352,-0.328096376526053,-0.73024840040554,-0.689919789911423,0.276868014494082,-0.166666666666667,-0.625375355238306,0.324657265748998,0.877941935946921,0.361554228179734
"STAGA_Bs_2 (GE) - TPM",-0.190934529600219,-0.361727946713222,-0.212530463950478,-0.366950017119618,-0.321734867021978,0.137375779988858,0.336564691272512,0.152818665970224,0.0982752338952291,0.0602251465269008,-0.39926131445767,-0.299331852163468,-0.0981763005206691,-0.166666666666667,0.416568135923692,0.0860372373245726,1.12219294494029,-0.846095105484356
"STAGA_Bs_3 (GE) - TPM",-0.342672346875109,-0.794098232062324,-0.405154374766702,-0.298099253592308,-0.0209514190104729,-0.119031512985148,0.0257727341995133,0.566358548059655,0.126881058413272,-0.725893215309455,-0.652279564076528,-0.581425872037676,0.201295874783842,-0.166666666666667,0.525301436496214,-0.0332081754284499,1.32937158773158,-0.792615605161975
"STAGA_Ctrl_1 (GE) - TPM",-0.454889099893318,-0.547975261953575,-0.130146891853684,-0.333715691737174,-0.018047738285382,-0.387571579195848,-0.605444881307436,-0.0957345463410896,-0.355158645053289,0.0679634722365419,-0.44463144096421,-0.76851374669181,-0.619093428192363,-0.166666666666667,-0.0622465899706987,-0.493944265131769,-0.680479509335499,-1.13511126621313
"STAGA_Ctrl_2 (GE) - TPM",-0.75315883314267,-0.666809019668868,-0.722521050679645,-0.309135121836334,-0.387136457420916,-0.453660291734793,-0.0977239834387058,0.279458517652882,-0.471722562639466,-0.481423532762468,-0.699384679486923,-1.11499879487289,-0.464479692875461,-0.166666666666667,-0.333751256394011,-0.447189356709722,-0.395193326911484,0.0241531890242122
"STAGA_Ctrl_3 (GE) - TPM",-0.46207216962727,-0.582121983351261,-0.682741045435455,-0.237796764854711,-0.0415370124767913,-0.367225419532052,-0.43955698858409,0.446173362451865,-0.424501260668324,-0.342610467287549,-0.636596867671566,-1.13699789803489,-0.575025732361597,-0.166666666666667,-0.478612359703739,-0.468332661451853,-0.513697381891988,-0.142697186929394
"STAGA_Li_1 (GE) - TPM",-0.827382775016749,-0.301525771797768,-0.215333034274134,-0.198011874338663,-0.0236774960599554,-0.0597665716929604,-0.488972443875366,-0.762703757994906,-0.792840452139122,-0.0659278902009022,-0.649233954285728,-0.770044403176034,-0.283691793755896,-0.166666666666667,-0.3270642953466,-0.489754588786205,-0.392869382112233,2.02613481191757
"STAGA_Li_2 (GE) - TPM",-0.387828395108658,0.24174042984913,0.574704375350397,0.00111902450289886,-0.00607345747584732,-0.146895430229059,-0.327558613036268,-0.781312339147851,-0.693243921559489,0.195482732405159,-0.411992796441121,-0.469504688668541,-0.483175054946108,-0.166666666666667,-0.130477811625661,-0.475011847758769,-0.82444383502017,0.871421549594679
"STAGA_Li_3 (GE) - TPM",-0.270955253436411,0.357589244145566,0.231539109048524,0.267981565634602,-0.165580333099145,-0.000670691311825634,-0.41719886633406,-0.953334518550231,-0.51825257890771,0.0592733291211865,-0.0983452230076513,-0.776252879407639,-0.138627918412168,-0.166666666666667,-0.251144704013382,-0.239967409812819,-0.574240974122191,1.75566109338869
