"","VC0223","VC0307","VC0433","VC0480","VC0917","VC0918","VC0919","VC0920","VC0928","VC0930","VC0934","VC0935","VC0936","VC0937","VC1005","VC1647","VC1785","VC1888","VC1890","VC2213","VC2569","VC2600"
"Vibrio_Ns_2 (GE) - TPM",-0.402988549388002,-0.885095378647827,-0.404590800548129,1.00785254845412,0.0324480722472208,0.223625677046637,-0.519068278498833,-0.27178208884982,0.620977021085678,0.913179830908746,-0.130844007095206,-0.143890707786773,-0.515834836844872,-0.198643199703616,-0.8261141320176,-0.729103217731943,-0.392852417601665,0.58669490121334,0.837838444001444,0.419553188072236,-0.453922529471019,-0.633588019147747
"Vibrio_Ns_3 (GE) - TPM",0.110792559591066,-1.17223298646144,-1.06628874196971,1.41403532622941,0.0605652461619473,0.265471441183,-0.282620028575404,-0.23940413442976,0.577048965574991,0.843808368777676,-0.197359211271618,-0.194632268079458,-0.673493804505683,-0.213956127895044,-0.701526824533745,-0.775067191979997,-0.392852417601665,1.03567926014166,0.56540265697982,1.1153654195373,-0.456829423642134,-0.843170303975372
"Vibrio_Oss_1 (GE) - TPM",0.487372834118515,-0.467587451092886,-0.235404731573572,0.0915885827967012,0.778574976147544,0.745206305931889,1.22019768327134,1.36574731581472,0.449122276585483,0.354416654201709,0.874141507238673,1.0706854932976,1.09362759703249,1.32312599426616,0.0813877393099455,0.429196604729317,0.00644951033312934,0.654083790147704,0.0475054998244197,0.0812093288685322,0.733880042119471,1.68121466632325
"Vibrio_Oss_2 (GE) - TPM",0.433462799637186,0.286866776618431,1.7131822630644,0.331854093711033,1.02655074939242,0.962562112724507,1.20810673714203,1.73675864741659,0.50348800055865,0.533298955474395,1.60465871647728,1.51754003770522,1.64648638587625,2.14429299333702,0.597786269971769,1.93687813743046,3.69172705396502,0.608874573075308,0.747254201624523,-0.169268736767283,2.65834267536692,2.82770989552927
"Vibrio_Oss_3 (GE) - TPM",1.48329691131139,0.668590432809313,0.595066944419566,1.22761749342168,0.8438840182627,0.184750103290899,1.1631176537262,0.347213697014243,0.705122665754035,0.333012387290393,0.749099773910539,1.09656713117972,1.60445465200375,1.63286122138328,1.13146032229539,1.20134737805494,-0.392852417601665,0.0162404658522061,-0.0726080746374902,-0.088466955976436,1.35841075227342,0.577519790049465
"Vibrio_Oxs_1 (GE) - TPM",-0.895620379974767,-1.74133498220041,-0.444461250423208,-0.571031964715144,0.296621063259731,0.594690320514553,-0.257874410036251,-0.299859050138511,0.0835356361630764,0.64308127721513,-0.358887491300213,-0.278971879730009,-0.299245566316538,-0.295927937550523,-1.24653592990788,-1.36400979958299,-0.392852417601665,1.46881863173951,-0.422086465406589,1.15475842011919,0.230379850331386,-0.743327316324929
"Vibrio_Oxs_2 (GE) - TPM",-0.61894758282762,-0.681248693137863,0.0739772718876391,-0.33085542383963,0.268232780119752,0.808727702653638,-0.41163369408047,-0.0631012505015711,0.43222828651098,0.710640642743689,-0.108193168450655,0.185759666847519,-0.380438589022224,0.443133475360817,-0.206312053855747,-0.383843691135077,-0.392852417601665,0.700227493602578,0.540955718269242,0.589542935923654,0.00635547768759042,-0.499615773778482
"Vibrio_Oxs_3 (GE) - TPM",-0.0693140362973144,-0.719468357342065,-0.0408477959345395,0.204757988136856,-0.023840828687381,0.489524801541351,-0.299863752868748,-0.337504166012352,0.0340162171619889,0.954961645235606,-0.2449626751962,-0.198000781615247,-0.481356450035771,-0.0777661794181535,-0.0919791724499266,-0.0843945452595487,-0.392852417601665,1.26304966790309,-0.000837234151644688,0.982602789092969,-0.112850723009823,-0.695634494364362
"Vibrio_Sp_1 (GE) - TPM",-0.761680981331476,0.488766129479452,-0.835222038849473,-0.643318299428083,-0.643079267303732,-0.393297228536595,-0.365641724209494,-0.621294991071034,-0.641648103895619,-0.613762750277402,-0.629078279371116,-0.64951115464642,0.143699225059105,0.257023745145289,-0.868437958951137,0.517157755706771,-0.392852417601665,-0.717233172340483,-0.412301524653516,-0.864426186336535,-0.836673975257895,-0.865092536678012
"Vibrio_Sp_2 (GE) - TPM",0.372266134786079,0.119455623290601,-0.340275168503493,-1.10233298141124,-0.716562705422583,-0.606388770637378,-0.358190256425631,0.0738271176564764,-0.630870310408025,-0.291580543068723,-0.705947295237813,-0.58657007694449,-0.708434371928792,-0.0037402624446302,0.397822997943518,-1.07258203682223,-0.392852417601665,-0.534146872272611,-0.550814318803872,-0.740014927774781,-0.684067600823244,-0.899041853938289
"Vibrio_Sp_3 (GE) - TPM",-1.80940571082475,0.972442605112052,-0.320583988526173,-1.25557637239095,-0.709384717264187,-0.546532046982821,-0.689402898612818,-0.885272657249743,-0.338053397890858,-0.234781134836208,-0.69244826466301,-0.774100603516822,-0.542861825105681,-0.446689531646367,-0.0446736256252775,-1.29674659669087,-0.392852417601665,-0.115033583948664,-0.483544129322762,-0.690596269500569,-0.648971504654214,-0.469842168012007
"Vibrio_Tm_1 (GE) - TPM",-0.897874872395869,-1.40638828023497,-0.651910957681638,1.15263920190376,-0.432458633131978,-0.721805071000406,-0.757046959359823,-0.832172083294918,-0.856793009038176,-0.790594696717697,-0.192139891912297,-0.550300361597887,-0.607289489938121,-1.0030256293167,-0.211717323389704,0.840491757254804,-0.392852417601665,-0.847722597020989,-0.642225809864183,-0.269200353357442,-0.4175916628896,0.329158223918203
"Vibrio_Tm_2 (GE) - TPM",0.771742800492535,1.33003549107486,-0.699847383846229,-0.806260001243917,-0.526706642508143,-0.637819599830587,-0.72590799936477,-0.655700802999208,-0.480470211003454,-0.802230187685861,-0.45331919468952,-0.64261214880624,-0.885585588482611,-1.10235235166862,-0.418666138083927,-0.00186054103732595,1.19807972962771,-0.782336308379689,-0.501867736439283,-0.324201186345333,-0.267149240101543,-0.443677963658524
"Vibrio_Tm_3 (GE) - TPM",-0.173496842947693,1.23034390876895,-0.303804643003833,-0.79397088818621,-0.622476711182383,-0.699638453635493,-0.781090641320578,-0.728747602911973,-0.605236896661287,-0.892956046326627,-0.372442139134668,-0.72128533266692,-0.80599633093116,-1.13980999862066,-0.169710812812827,0.973070931444593,-0.392852417601665,-0.914297821092208,-0.309118650107235,-0.363458118557382,-0.394594700216526,-0.126491498136572
"Vibrio_Vic_1 (GE) - TPM",0.313430026887481,0.497582455034023,-0.431185395130393,-0.644766225942882,-0.650844471383171,-0.667740137401258,-0.895483105346385,-0.659291720723769,-0.72670151964785,-0.434673172468183,-0.549560879898205,-0.589108256725298,-0.732147469499963,-0.893813132670387,-0.0218551395570721,-0.419196186193494,-0.192746734650824,-0.731780045155495,-0.610743049487942,0.320441314171888,-0.437014542175046,-0.569802841102833
"Vibrio_Vic_2 (GE) - TPM",0.342762169793333,0.381888207013969,-1.49237105659041,0.8870519332938,-0.686815809255383,-0.859590480588197,-0.691941329209872,-0.177773324738972,-0.212270967283936,-0.511160022861421,-0.356610777606668,-0.502857616969637,-0.604677018293141,-0.7821669529339,-0.589494120420696,-0.474009927824817,2.63379456610621,-0.719377295178624,-0.640050376078847,0.538333217652343,-0.284548359560194,-0.621557084323733
"Vibrio_Vic_3 (GE) - TPM",-0.151856407714089,0.113541021872531,-1.09601743957508,0.247114865586128,-0.480796295855937,-0.810723000054662,-0.673149287153818,-0.961383471583113,-0.626991987760248,-0.517856039978733,-0.551151046655142,-0.658509389640573,-0.900590257111941,-0.879884098644458,-0.829856278222686,-1.00257725220293,-0.392852417601665,-0.804436457670431,-0.647988952712324,0.422420427248616,-0.785083329873211,-0.602026489124715
