"","VC0223","VC0307","VC0433","VC0480","VC0917","VC0918","VC0919","VC0920","VC0928","VC0930","VC0934","VC0935","VC0936","VC0937","VC1005","VC1647","VC1785","VC1888","VC1890","VC2213","VC2569","VC2600"
"Vibrio_As_1 (GE) - TPM",0.6785303422855,0.352756151285131,-0.505958823534258,1.06284280113918,0.0221398483481883,-0.034159890469764,0.630433050452395,0.143558843715168,0.541116249488898,-0.255732013602608,-0.210496696667418,-0.0565201443811029,0.170022302306852,-0.105470859001608,0.385027417786979,-0.75157738657837,-0.392852417601665,0.380532839026763,0.0692187560741966,0.0372154794582809,0.180336090335669,-0.779936495675228
"Vibrio_As_2 (GE) - TPM",-0.169536991183864,0.893234863289105,2.25187391950833,0.35842474436177,-0.0372298720350294,-0.0704023535545212,0.519049283450578,0.415754836052828,0.876078290973977,0.242616254783927,-0.0802848253705371,0.00172796271413058,0.26851788316191,0.182159645766659,1.17047369865152,0.225152263619467,-0.392852417601665,0.681798291842621,0.84086121658921,-0.0551153885959988,0.474522727807153,-0.190038946735135
"Vibrio_As_3 (GE) - TPM",1.00206806569052,0.679270236497338,1.09656548061011,0.469893642318147,0.045387636424918,0.112404283024913,0.53595622738492,0.372080176225658,0.445614536405432,0.0344902903626886,-0.0923372468842404,-0.0115995326515115,0.276949526198374,0.181272601279644,0.629534625519758,-0.208479612515864,-0.392852417601665,0.344525918690167,0.49193858356783,-0.0668963204897881,-0.0878629858385749,-0.416703694168511
"Vibrio_Bs_1 (GE) - TPM",0.484088908064887,0.193885885702856,0.0550976613473603,-0.349511597708833,-0.179763476550243,-0.0624628585241633,0.159166541392544,0.345852110228394,-0.540029331162291,-0.619882677625789,-0.606416665703622,-0.263614367680478,-0.267168361979454,0.202264986700916,0.167487204074374,0.0554418259820646,-0.392852417601665,-0.189424071040162,0.917472793643399,-0.729315302403664,-0.370673400750469,0.205077978213821
"Vibrio_Bs_2 (GE) - TPM",0.701795602981303,0.512660042108589,1.00342085933186,-0.156453516005063,-0.264220071773087,-0.0582860226062336,0.642816869929832,0.34040894696029,-0.53328556575131,-0.684115275461664,-0.57071687292597,-0.187986385308504,-0.147411577483383,0.201696179937543,1.62469396764994,-0.322905062802107,-0.392852417601665,-0.244608523022714,0.784791008395021,-0.688390273854372,-0.201413015336281,0.773165372891628
"Vibrio_Bs_3 (GE) - TPM",0.573378952166052,1.11946766842619,0.826804366453109,-0.234859884805321,-0.0137468935664085,0.0479510188393103,0.358200022869125,0.381205790563289,-0.308462531380507,-0.272163769590593,-0.434969235506545,-0.108458879125616,0.280009518614896,0.365056771101136,1.08812900913176,-0.333717449723287,-0.392852417601665,-0.0590302398326525,0.81832877288014,-0.814362880357699,-0.382626791614401,-0.145509388903136
"Vibrio_Ctrl_1 (GE) - TPM",-0.273760634202493,1.15454148248312,-0.577850021000512,-0.958432432654421,-0.558597117139665,-0.715760509696896,-0.745573320834721,-0.812908536067858,-0.653437485473236,-0.908308038055527,-0.398806822594094,-0.599234146873736,-0.790649624877572,-1.06609625982299,-0.233668907853796,-0.345536292376777,-0.392852417601665,-0.917025007344777,-0.836101490859754,-0.729862580363869,-0.720276467661646,-0.435742369277901
"Vibrio_Ctrl_2 (GE) - TPM",-0.161620798696756,0.541486239262437,-0.0609973811926049,-1.53445266072481,-0.412488397423608,-0.577862977993494,-0.462723361529456,-0.667334042981012,-0.593137129419492,-1.04545359364441,-0.39081193496664,-0.748940959286989,-0.478759036987752,-0.677590484390041,0.604228323307978,0.0569340847534096,-0.392852417601665,-0.931892930862741,-0.9587076461653,-0.608048445215115,-0.768720046175814,-0.699623844508972
"Vibrio_Ctrl_3 (GE) - TPM",-0.485935268536639,0.33202090972424,-0.222842527769763,-1.59023036065389,-0.563817277618487,-0.791615350564677,-0.59214420841917,-0.787202427623956,-0.331920318378649,-0.92522357459923,-0.641367313516885,-0.678828154513839,-0.715656468420846,-1.07807362500509,0.600469405382298,-0.505771050419039,-0.392852417601665,-0.93071967966136,-0.736982438158667,-0.500467003024645,-0.79925432856031,-0.646067884145168
"Vibrio_Li_1 (GE) - TPM",2.73927110030089,-1.59119170052697,0.594374103636829,3.04670451699693,3.40594412572154,3.58628409586743,3.31113185308786,3.03662501430709,3.13551565412005,2.76175822571096,3.14033309290499,3.06989507883373,2.43637261834005,2.73274084635232,2.65528601303948,0.366399380035726,1.66519415851615,2.31348317747748,3.64385999686499,2.11907229786076,2.80805994819115,2.49856923985206
"Vibrio_Li_2 (GE) - TPM",2.36151960428407,-1.61661925235811,1.28590718836044,0.767349169578086,2.90637594193943,2.27145940165274,1.63331939351059,2.73131900400265,2.13216566710102,2.62812996075631,2.39175712832846,2.65750304664849,2.21119288550701,1.66892417873731,1.65881635181219,1.95544825551077,2.39022182655088,2.30229248866338,1.92929883589496,2.66939642435963,2.82241053944927,1.96117266694777
"Vibrio_Li_3 (GE) - TPM",0.443668968232962,-1.8157700556389,1.39537851003702,0.768552263144375,2.20807236684078,2.28336610794703,2.44145260288028,1.7532089249526,2.61885303651766,2.36564908039932,3.09497380697341,2.59630104051425,2.16488663622313,1.45303676443354,1.42498581014385,2.11616431597258,-0.392852417601665,1.82251513031338,1.27088956147378,2.31592740739299,1.28181863764032,2.10600619997839
"Vibrio_Mig_1 (GE) - TPM",-1.05316829580426,1.19091202724937,-1.43707453820984,-0.989064979963229,-0.809993058524613,-0.890485136742255,-1.05287919268004,-0.789140059472095,-1.06749499340586,-0.6010701180912,-0.68763017750604,-0.656090207566917,-1.09172629101877,-1.04059004675824,-1.55981439230602,0.793193304595977,-0.392852417601665,-1.2045461708138,-0.925464474412015,-0.877819567004023,-0.419687495127993,-0.350096154713104
"Vibrio_Mig_2 (GE) - TPM",-0.736975865084728,0.245349499816776,-1.76845062325442,-1.47520887888723,-0.841487445228266,-0.802874548335924,-0.5948892942586,-1.18529774679853,-1.06749499340586,-1.06968695772299,-0.501577842496184,-0.211827229092374,-1.09172629101877,-1.08936087576447,-1.92440594672696,2.43877318746012,-0.392852417601665,-1.33998427434343,-0.420804740275785,-0.874978018511742,-0.756276465857264,0.267986933835494
"Vibrio_Mig_3 (GE) - TPM",-2.43447173709782,1.85146583165084,-0.78611845862775,-0.682341333803202,-0.841487445228266,-0.931461697884444,-1.05287919268004,-0.0544220442121394,-1.06749499340586,-0.483266489333243,-0.746062087105503,-0.938795437544096,-1.09172629101877,-1.09354606895854,-0.603432823298903,-1.69238524764911,-0.392852417601665,-0.938491193143929,-1.10464932616383,-1.14327513817275,0.175922980848422,-0.61325487077635
"Vibrio_Nd_1 (GE) - TPM",-0.0546732593137055,-0.428395111622304,0.740320414427525,0.358042700615553,-0.628597574856279,-0.535926116386649,-0.72791218225858,-0.372117066742384,-0.721060689280818,-0.811026419656042,-0.324819005397275,-0.356902639953546,0.672698302228061,-0.130058438333985,-0.738982474095072,-0.588337862743964,-0.392852417601665,-0.772597456955861,-1.28286456365633,-1.16396482269722,-0.585566433401871,-0.155157279217155
"Vibrio_Nd_2 (GE) - TPM",-0.712033201742569,-0.3541614036494,1.89972434032657,-0.54745247198071,-0.592775642489771,-0.562977497550869,0.110323005706511,-0.510176163714385,-0.779598303475358,-0.628067213726933,-0.265953226305806,-0.207523940541394,0.538001281077234,0.33698109876611,-0.776059762540349,-0.60494432851672,-0.392852417601665,-0.483720099642241,-1.10607842752462,-1.04719924147724,-0.727415325056412,-0.0300022742671934
"Vibrio_Nd_3 (GE) - TPM",-0.895415907803007,-0.757239427899544,1.11076684730544,0.683989831924731,-0.636701325259026,-0.624296990280218,-0.510836540038741,-0.862836771152047,-0.974191878509943,-0.687590717090276,-0.240855207132029,-0.433079929284587,0.992087821529767,0.649203822462081,-1.19456604948189,-0.373963736360583,-0.392852417601665,-0.873696003865682,-1.10503873441258,-1.2296363065648,-0.747657688305237,0.00764136864312555
"Vibrio_Ns_1 (GE) - TPM",-0.540670457456351,-1.51983040775749,-0.920356404971174,0.585808570732499,-0.0209251451785417,0.0260833670396073,-0.484519267041969,-0.268838221640847,0.60176211263673,0.762137878560819,-0.118914543272225,-0.246226925210189,-0.686231094337063,-0.455212264481812,-0.959779289889536,-0.574640166403956,-0.392852417601665,0.873283173899372,0.265262117211597,1.2731253735903,-0.383711686690041,-0.760220791229045
