"","pWR501_0025","pWR501_0034","pWR501_0083","pWR501_0101","pWR501_0113","pWR501_0117","pWR501_0127","pWR501_0128","pWR501_0197","pWR501_0217","pWR501_0220","pWR501_0247","SF5M90T_4","SF5M90T_10","SF5M90T_22","SF5M90T_173","SF5M90T_192","SF5M90T_222","SF5M90T_240","SF5M90T_241","SF5M90T_452","SF5M90T_465","SF5M90T_603","SF5M90T_638","SF5M90T_676","SF5M90T_749","SF5M90T_837","SF5M90T_885","SF5M90T_926","SF5M90T_940","SF5M90T_996","SF5M90T_1057","SF5M90T_1261","SF5M90T_1292","SF5M90T_1338","SF5M90T_1615","SF5M90T_1633","SF5M90T_1729","SF5M90T_1922","SF5M90T_1944","SF5M90T_1962","SF5M90T_2048","SF5M90T_2073","SF5M90T_2078","SF5M90T_2209","SF5M90T_2358","SF5M90T_2385","SF5M90T_2466","SF5M90T_2775","SF5M90T_2795","SF5M90T_2816","SF5M90T_2844","SF5M90T_2851","SF5M90T_2885","SF5M90T_2892","SF5M90T_2895","SF5M90T_2904","SF5M90T_2907","SF5M90T_3009","SF5M90T_3068","SF5M90T_3118","SF5M90T_3176","SF5M90T_3192","SF5M90T_3195","SF5M90T_3325","SF5M90T_3336","SF5M90T_3393","SF5M90T_3418","SF5M90T_3436","SF5M90T_3439","SF5M90T_3491","SF5M90T_3505","SF5M90T_3565","SF5M90T_3572","SF5M90T_3616","SF5M90T_3705","SF5M90T_3749","SF5M90T_3760","SF5M90T_3785","SF5M90T_3795","SF5M90T_3841","SF5M90T_3865","SF5M90T_3866","SF5M90T_3937","SF5M90T_3987","SF5M90T_4016","SF5M90T_4034","SF5M90T_4041","SF5M90T_4099","SF5M90T_4100","SF5M90T_4139"
"SHIF_As_1 (GE) - TPM",-0.257533714546661,-0.0947405820225652,-0.0909713056391867,-0.323473125438298,0.0383288469170515,-0.318808383533684,-0.139299167720535,-0.0403889534817471,0.0457602262052598,-0.410230364711952,0.709014721285936,-0.0586768104924499,-0.263594011654649,0.986195266049831,-0.506072142257631,-0.520180286820914,-0.425932554199857,0.0880248343545026,0.7801498823863,1.63916595373969,0.467748191206423,0.525910154211625,0.667376185486987,0.855056565280294,1.3189111115169,0.278710319931356,0.607156410328211,0.12516205055896,0.928350056923753,0.675654059296933,0.735573635567727,0.863596624333693,-0.366929405603354,0.633360959288541,0.217478491019493,-0.0424482347910385,0.957692165604273,0.713478835214051,0.580521715366491,0.25961635371486,0.603475116402068,0.0483192181562425,1.12829004412733,-0.254479788185605,-0.228791771200451,0.590053165086136,-0.613642399531539,0.796252083571101,0.685484609057788,0.482742683811793,0.00499097322372024,-0.0337668513469177,-0.111814010557865,1.47269967423955,0.481910061018632,-0.0893647373307346,-0.133176542600063,0.381891575305105,0.697486143042586,1.62155932171574,0.192143736656935,0.0639277585151986,0.299521711193145,0.486654522831871,0.179066330807852,1.30796433565926,-0.819277016314458,1.14734163372812,-0.483788480607818,0.0913108148546643,0.163323416199592,0.87984992058524,-0.00526625064794931,-0.473715281690554,-0.0210025845688826,0.278924371024843,1.31174742283593,0.830923048388038,0.360339157997002,1.29127537076567,0.476675104869669,0.216306446465275,0.796250882652527,0.0553238323325052,0.164422256873696,0.799306685423693,0.625783295549255,0.432755441242868,0.212687353901854,0.375622080312862,0.60331754259617
"SHIF_As_2 (GE) - TPM",-0.245229246490994,0.227084897024023,1.29265243033336,0.0653366732388575,-0.518957347420594,0.521056478858361,-0.206958296074211,-0.272026209527202,0.117825728828639,0.350701531015536,0.463822126122978,0.586610629594501,-0.27592433831749,0.675049285127291,-0.177628912689885,-0.822850177967042,-0.588732216775295,-0.308495813419278,-0.314000892272205,0.221204827306772,-0.015152733994204,0.675085804931901,0.58247485374103,0.535457860389991,0.951772558307295,1.10339055736077,0.674475326845506,-0.406916352851915,-0.833016644531168,0.506858078853299,0.478328068341789,0.64561949486969,-0.466784612421837,0.647015070973926,0.377818435793856,0.639594787132221,1.37054108670194,1.20280387988601,0.342881667872868,-0.0882746916114719,0.315221386351213,-0.614999717652262,0.435409111479214,0.185226720022293,-0.133745712331495,0.815345477367664,-0.641986263828998,1.09564934899865,0.654564736823479,1.62760158096129,0.486497504559786,-0.372788485210604,-0.101184286425132,0.689397917188074,0.293459926907775,-0.0907537227972192,-0.424445011296587,0.707805819723753,1.14547618214562,1.28511724902697,0.208156480211709,0.115554603205888,0.0253293037109065,0.911278139044167,0.90115094620936,1.35100110459101,-0.751095258271776,1.19223477413058,-0.483573138859466,0.540816600811163,0.0762966397499759,0.956000506722947,-0.217206350081351,-0.238795191064477,-0.00286698097269966,0.826028580444577,0.811592877346518,0.918169728747363,0.628198751209806,0.510901701136032,0.482538027908368,-0.0103142088833151,0.334397296661291,0.036764654459781,-0.0135552728451334,1.19492391921422,0.103386472157159,0.442655014764761,0.22037842571286,0.545607821000303,1.2421915554125
"SHIF_As_3 (GE) - TPM",-0.291840131022827,0.196289468659954,0.779516158745464,-0.0675154603393989,0.635251064726029,0.198386516866165,-0.539628078926142,-0.226313385703318,-0.172897315918775,0.470694342684171,1.10148352954961,0.216429195231591,-0.678660389239395,1.21325197932152,-0.23930219318282,-0.366723507338356,-0.452062069657245,0.514118708609824,-0.126214316159709,0.704518083014172,1.34775433439942,1.0309405989463,0.828925660222814,-0.473929736715162,0.611059454029979,0.444158109792216,1.36089098564771,1.41156952568124,0.0989871242509309,0.376758270172753,1.32788950760289,0.404924795225207,-0.243633145873283,0.610265192023473,0.29157319994569,-0.133825872114398,0.843994673472266,0.852833631379674,0.317255723708993,0.43848298056907,0.67152994999846,0.222794687624539,0.916466605196973,-0.60991344625846,0.31526860255504,0.418514675423754,-0.688082771116513,0.492875918166329,0.260704891912315,1.69212314250603,0.0876750337307633,-0.177133191963922,-0.364097963393328,0.901583019211281,0.529998152318355,0.336181683467551,-0.433738999865751,0.9320249311635,1.38192130463061,0.701649506222262,0.919650656220804,0.330305223727438,0.290216535173639,0.457460045571189,1.08753524402948,0.499867771640923,-0.683132827861614,0.795911716408455,-0.0635709030176434,0.955684529605202,0.666043373334221,0.687836895780038,-0.216077787956099,-0.384956969847111,-0.00512227388931024,1.3172897644013,0.185687448020203,0.401603368175696,1.40101247557014,1.46309553691124,0.904939804896689,0.0130438957068875,-0.323806589579942,0.0400480916735333,0.310789833845152,1.23647343941575,-0.104349460538202,0.995503771547589,0.435748997334724,0.987926766956269,1.21160102738405
"SHIF_Bs_1 (GE) - TPM",-0.590602026358245,-0.700449875186966,-0.731786464757401,-0.612698973328093,-1.4359999506334,-0.110670984815668,-0.785999172633464,-0.925769001445255,-0.622856683482016,-0.384733191242655,-1.21814050040558,-0.803393987332099,-0.513218083402055,-0.969406240425902,-0.171926093959527,-1.23118535068938,-0.427367543393788,0.192669968995422,-0.225003108146148,-0.342428894938622,-0.506058060990436,-0.368770434389532,-1.12353897665107,-0.565004975823536,-0.94405505687535,-0.456433771742424,-0.360841197961353,-0.931777261970197,-0.645082218922054,-0.765661834562588,-1.45767945185855,-1.16879328120624,-0.568203185269718,-0.775826339260033,-0.443493833112581,-0.894007316483121,-0.680560563933253,-0.557894881499994,-0.899771383392471,-1.48876568363908,-0.835529068164766,-0.50739903326989,-0.497563710796001,0.123742655394506,-1.36618734232654,-0.661692208418237,-0.68484249494356,-0.861014470399632,-1.03651234746071,-0.684528891974884,-0.337503582432206,-0.839358133074291,-0.81082088510507,-0.391905431350684,-0.939302923540126,-0.138805495965432,-0.455103168535294,-0.716381552622788,-0.813783603387935,0.347260918338562,-0.698074976376895,-0.448046943413175,-1.26896856280815,-1.17120974589228,-0.317575738294988,-0.372122108351813,-0.443134839932857,-0.700051633464654,-0.544464266654033,-1.01673432507362,-0.761540831963476,-0.619949628463278,-0.786856768196716,-0.732266492436657,-0.470789369638147,-0.94632285082416,-0.323182413158339,-0.556151250197261,-1.00744270815114,-1.07995095423187,-1.00370590021924,-1.21946570218326,-0.366254630375655,-0.149072516238857,-0.24147029677054,-0.352681734790657,-0.46961249601137,-0.845442726970402,-0.411030891609293,-0.892224979525762,-0.288431448876267
"SHIF_Bs_2 (GE) - TPM",-0.250748696772624,0.216092898369719,0.728192926384165,0.700717993369673,-0.680472623841877,0.949661548663248,0.162489718963121,0.705643073064931,0.134483441475571,0.946888584992665,0.717357440748446,-0.0650197139224505,-0.131032194660729,0.68449151036401,0.286688629335959,-0.582036659489127,0.174575685236881,0.234511294293785,-0.431045229436812,0.808337492150068,0.338345088306437,1.1348027388794,0.0940454352114582,-0.749471674440263,0.277125081427987,0.536358813921149,0.0868555755799579,0.837498622138994,0.515383271821541,0.330569881275149,-0.085213238821171,0.399850343356905,-0.0379833123442764,0.0593548472755056,0.868134589871755,-0.196087978795016,0.551737423100551,0.882962103626462,-0.51181975321228,0.0727466519270838,-0.00978953044800103,0.43672754413726,0.295657690539203,-0.217996625245106,-0.4251763549134,0.880697390373057,-0.585323721014623,-0.299419854029866,0.0613551855210413,0.52467550304732,0.550971452941058,0.106302467801794,-0.402174739163965,0.161317349800439,1.26430506155165,0.0788197158620779,-0.20596080019989,0.0268459012573732,0.156392894237423,0.0818186111222118,0.134142233721631,0.242169508142742,-0.505959984044243,-0.359910437862209,0.262435460077129,0.79416229220629,0.00548868424543134,0.186878519824519,0.729566754736784,0.270559546977401,0.611671214358956,0.268241970480191,-0.2334247355187,0.556752441256825,0.579548773118205,1.4817647795816,0.639050133059713,0.212289839082536,0.586646764328303,0.108469620841809,0.114305884808264,0.12501586530575,-0.0860566350353971,0.324121445739096,0.40328428913975,0.889958295246231,0.709880989930735,0.265346889631687,-0.159302417386576,0.0345953047390945,0.721055552655459
"SHIF_Bs_3 (GE) - TPM",-0.572166522334156,-0.340486020929459,0.274540489909721,-0.213749191031697,-0.903942906528103,-0.694076939077309,-0.932946619239392,-0.582536307815762,-0.290938024722828,-0.641161807938338,-0.953885442613439,-0.901884831362027,-0.338778922760797,-0.248554085655013,-0.397202300229006,-0.636694340723506,-0.509715463572919,0.167899012167696,0.0152291210444137,0.641575083920214,-0.54904343844437,-0.521926453488852,-0.475959540854862,-0.816325273561969,-0.551202369274782,-0.0336699458251872,-0.423981674509938,-0.892577973053282,-0.994246629137474,0.261957856589751,-0.763056454762425,-0.627506276926663,-0.752240542343417,-0.112645279267105,0.104077779242643,-0.724086058058674,0.0698818299288412,-0.223589903506098,-0.440180427869614,-0.545382962767843,-0.190838505483983,-0.683800921982531,-0.0153286504757574,-0.336558213955509,-0.936561730821903,-0.391665738805759,-0.660916064364573,-0.525859783469233,-0.83576011003884,-0.00399993165330011,-0.143604171192782,-0.395596295415982,-0.466491345074118,0.125659861303828,-0.0116459729235826,0.173164284774624,-0.925466501432088,-0.0135551697283264,-0.841589005299709,-0.589292097551067,-0.0817888008895793,-0.263572223187412,-0.419293670999174,-1.00471039950271,-0.0604073322039249,-0.367777104376653,-0.782075503488653,-0.604955474787023,0.0109566132123752,-0.917503004521133,-0.832592029786298,-0.743193327740895,-0.0536818733568078,-0.506363958904403,-0.55586081436464,-0.19549649503047,0.599541269384778,-0.732868184714952,-0.347002091626914,-0.125419565435673,-0.339549679913936,0.255271721130371,-0.129327672944176,-0.584819996462828,-0.307144026739107,0.178347024110292,-0.208872591033869,-0.568059708647314,-0.434542495157959,-0.714299387119493,0.252602902361651
"SHIF_Ctrl_1 (GE) - TPM",-0.640760867983628,-0.868551090472973,-0.549284662042138,-0.60804167799781,-1.26646276118114,0.300486225673005,-0.932787060515016,-0.473142677564041,-0.384234784996858,-0.0329341159823012,-0.838502136102399,-0.405282696819487,-0.676409664802363,-0.616042094160574,-0.0456725073852959,-1.37534172556321,-0.557161478742382,-0.645805862846865,-0.039783504811682,-0.245609334670958,-0.296918274152454,-0.509030489203608,-1.01937366925675,-0.111746308460188,-0.834470432961771,-0.305053106831818,-1.10246582678194,0.00134688012658248,-0.341859875785783,-0.437238397005608,-1.07556192865446,-0.285115031418687,-0.237982009642235,-0.506338374366944,-0.654927954000995,-0.388279967604281,-0.4708265598037,-0.52498023149397,-0.663577789364069,-0.887952732340513,-0.839133430932759,-0.988388456771616,-0.998346072566605,0.365093410098795,-1.41172579238981,-0.822545122370149,-0.748221972681031,-0.314529701295537,-0.515576376057352,-0.223879042803855,-0.439863518216066,-0.288348903320743,-0.723303159121402,-0.456327032454578,-0.33689373854382,-0.363588854161286,-0.779687901782905,-0.736819796136416,-0.296327713535401,-0.805801991794347,-0.630261968570021,-0.528576521320567,-1.29979838074936,-0.518541507144443,-0.377678936594076,0.193939181687667,-0.948061077521835,-0.0537056605283404,0.114801366239318,0.0440102374395367,-0.826050914696706,-0.281784458296442,-1.13866881909958,-0.403809887104972,-0.503934537761504,-0.259358371175575,-0.0382895976998796,-0.229668616195383,-0.705581083302717,-0.202215859213326,-1.21770160855089,-0.126858994428691,-0.526473554368431,0.0297614374548489,-0.0247820530580437,-0.0920385400537007,-0.0822731010089891,-0.720101300604042,-0.317385813523461,-0.880790432736848,-0.13104013575886
"SHIF_Ctrl_2 (GE) - TPM",-0.450514267374219,-0.563254087536068,-0.66842514688945,-0.0744436364585343,-0.36031622852701,0.0923604215566577,0.395557489046353,0.910530768386233,0.574040141032143,-0.124155254136003,-0.274914335615644,0.349226320422522,-0.659529795870265,0.543441571895899,0.0685830515156752,-1.23434994935379,-0.782742576546808,-0.800894946364142,0.447665093617363,0.766518053797603,-0.510869667607392,-0.0301530454261998,-0.917230268236531,0.113616638139994,-0.326102247974733,-0.563785094181805,-0.787578253634857,-0.386506243082328,-0.645482095988454,-0.254676703873527,-1.00600415794524,0.695575701166641,-0.475208255974543,-0.393080554375359,-0.131348428662548,0.24231485362541,0.243059355552226,-0.641820796032435,-0.532284168065484,-0.357033633034301,-0.505726591143025,-0.912918774465621,-0.514314269023816,-0.575852108681241,-1.10505236290403,-0.346526602119221,-0.573748815389813,-0.650687099410094,0.142054508019791,0.0339887749735528,-0.0798663900482519,-0.679513330104392,-0.560281861598509,0.238956149388378,0.747908732192594,-0.650622140280534,-0.657171443716098,-0.402167655973229,0.0296131595759859,0.0420339725229006,-0.241434495927284,-0.116676916233328,-0.249649124294818,0.574826527542268,-0.790427504399994,0.793092522480474,-0.859843694191999,0.776310900115202,-0.549565127187975,-0.769698271998596,-0.12171149915026,1.14544822490326,-1.09232759391606,-0.0055246019531645,0.086663812887888,-0.650670982296899,-0.106620922800575,0.545487171161585,0.144204617354776,-0.526097637203324,-0.916587388771296,0.450509239668427,-0.303398722452508,-0.0679887674376364,0.682828152661611,0.0311732973398634,0.0802898048535925,0.127776903188777,-0.163898169413105,-0.759941279991673,-0.014160997061482
"SHIF_Ctrl_3 (GE) - TPM",-0.607338213437232,-0.803651839023879,-0.571656455395751,-0.780627795172271,-0.81172074658726,-0.283322002465597,-0.345976493861377,-0.266075123437541,-0.034428051066802,-0.484316680003976,-1.16852435716105,-0.0668148987711594,-0.83008328020644,-0.0498341632695747,0.150557207736486,-1.35499101426938,-0.890449947946294,-1.1174891913905,-0.70580502079503,-0.244834147231438,-0.916801037842567,-0.884200130089074,-1.0180749831331,0.419929261992774,-1.08770653421708,0.601706507778281,-1.44882787363499,0.111687390969253,0.274960925893184,-0.922973360869456,-0.297770211320569,0.689427782369411,-0.224966781999087,-0.800432546536673,-0.915645325882232,-0.553717343870803,-0.311809687182412,-1.35574980455949,-1.18909208762309,-1.57518358344893,-1.08887253439116,-0.25513357057667,-1.07177613804089,0.366289017636866,-1.35622907001193,-0.671578243069406,-0.659577754827217,-0.246679556680892,-0.676345808868361,-1.65230217491057,0.168039315969165,-0.52676635815184,-0.808050365306946,-0.217900200919135,-0.642036800148047,-0.302743880365018,-0.715828263058552,-1.32726279806186,-0.193208305889253,-0.894351938044837,-0.813912690100003,-0.34014597691252,-1.59773168019229,-0.234836761187019,-0.124845295141685,0.580237813006476,-0.890028325707868,-0.204605067623246,-0.225992105766356,-0.689518838975198,-0.628831543611843,-0.120121496507379,-0.7042021025324,-0.266709814580019,-0.396020865237249,-0.817931844693178,-0.338049302786279,0.377331917538689,-0.37418737304179,-0.883953616619264,-1.44161756254207,-0.642118217250318,-0.613547744927615,0.101025772737071,0.00801253688956304,-0.472421496750695,-0.0814511544966353,-1.07459304160446,-0.310422353493354,-1.09365990499101,-0.246851729785698
"SHIF_Li_1 (GE) - TPM",0.676323617760593,0.894069450906462,1.30748200694383,0.0253869284268396,0.0929192328651417,-0.868810620112138,1.14459630444008,0.681474853834537,0.523950905891494,-0.840141044369351,1.14469081673103,0.241382088109369,-0.0884766181663308,0.791689884989824,0.345786590752237,0.984575936381993,2.87133214691996,0.363997907916369,1.29043269565921,0.248914678760874,-0.0326298943273548,0.757931780518772,1.01395787261576,1.40962731394531,0.252694408326906,-0.224138029801722,0.890702031596028,1.16188137581385,1.50117470895925,0.67215805251624,0.15775865222258,0.769586592320521,1.99809642461038,-5.34125843690886e-05,1.14565630761467,1.1343095897293,0.771085235738605,-0.015520371418385,0.790285169532205,1.86048882446233,0.15994430251378,-1.11077338065904,0.0398326655089523,1.12782090345636,1.95092834237399,1.39191844341219,1.70146649659318,0.678875907534853,0.957400685905239,1.45808440678249,0.381343210585053,0.264929100825839,0.571367322450104,-0.516515992260887,1.43546415021852,-0.285361215381281,0.426586849315405,1.01463871157856,-0.501099785686754,2.19121450830995,-0.0710576176331321,0.688035707554664,-0.604806497148677,-0.532746015563095,1.04679524269295,0.653437758687061,0.913722412807923,0.744651574229911,0.796661012474053,-0.996607884207544,1.45459776528251,0.854348266394462,1.64928777295635,0.884196154173764,1.14281427292806,0.794597367667787,0.636545984965793,1.02499328587113,-0.231674979847141,0.179638006197914,0.488298480723264,0.645182941969176,-0.527194570279435,0.59962519875588,1.26363378812577,0.552109311784604,-0.739878620262744,-1.07579730460124,-0.158667184288699,0.631583803429326,0.543350677991778
