"","GBS_RS00405","GBS_RS00860","GBS_RS00900","GBS_RS01055","GBS_RS02115","GBS_RS02155","GBS_RS02505","GBS_RS02515","GBS_RS02520","GBS_RS02555","GBS_RS02590","GBS_RS02700","GBS_RS02760","GBS_RS02965","GBS_RS03165","GBS_RS03180","GBS_RS03185","GBS_RS03220","GBS_RS03225","GBS_RS03230","GBS_RS03235","GBS_RS03240","GBS_RS03285","GBS_RS03340","GBS_RS03460","GBS_RS03570","GBS_RS03575","GBS_RS03585","GBS_RS03715","GBS_RS03725","GBS_RS03750","GBS_RS03865","GBS_RS03870","GBS_RS04145","GBS_RS04505","GBS_RS04710","GBS_RS04715","GBS_RS04720","GBS_RS04740","GBS_RS04915","GBS_RS04930","GBS_RS05000","GBS_RS06700","GBS_RS06705","GBS_RS06710","GBS_RS06715","GBS_RS06740","GBS_RS06825","GBS_RS06855","GBS_RS06915","GBS_RS07230","GBS_RS07235","GBS_RS07660","GBS_RS07725","GBS_RS07730","GBS_RS07760","GBS_RS07960","GBS_RS07965","GBS_RS07970","GBS_RS07975","GBS_RS07980","GBS_RS07985","GBS_RS07990","GBS_RS07995","GBS_RS08000","GBS_RS08005","GBS_RS08010","GBS_RS08015","GBS_RS08110","GBS_RS08135","GBS_RS08155","GBS_RS08600","GBS_RS08605","GBS_RS08615","GBS_RS08620","GBS_RS08725","GBS_RS08735","GBS_RS08765","GBS_RS08770","GBS_RS09390","GBS_RS09395","GBS_RS09790","GBS_RS09800","GBS_RS09890","GBS_RS09910","GBS_RS10180","GBS_RS10375","GBS_RS10445","GBS_RS10850","GBS_RS10945"
"STAGA_As_1 (GE) - TPM",0.208451045253101,0.0885282638213871,-0.417032671026706,0.777396269486549,-0.188014902747523,0.696375411186845,0.79132612154277,0.21016614482472,0.260553580181251,-0.475356401933233,0.250380695692532,0.0468013211775953,-0.647621170158984,-0.128892147386919,0.643168406653887,0.284614524056574,0.952935851411894,0.548738008910226,0.823146071371928,0.550717456659817,0.320398643993261,-0.737803789898013,0.269973534256128,2.19302590947896,0.0549696677825075,0.18369174511102,-0.482146496489238,-0.132610499290276,-0.636528049807467,-1.11200177775948,-0.7752727849754,0.302019733802553,0.192969481552104,0.610600216859647,0.133092322659702,1.51011950053873,0.729554716149657,1.00404786625609,-0.613083680032421,-0.417910629648982,1.74954091971195,-0.257872091030566,1.18590384793745,0.760898328850857,0.896537927106441,0.788504376543076,1.86275179156258,0.388082181979374,-0.606083963719922,1.82612573260098,-0.0667430588296889,0.167813787346047,-0.692594311390041,1.23907236902214,0.47696497387747,0.817708228591084,0.855490440986932,1.46277926459843,0.905467103540427,0.881459330103994,1.32458125303969,0.515256199460592,0.509060116166432,0.613793329274512,-0.433937741566273,-0.151852949329627,-0.0562078536008858,-0.418547342128141,-0.100466810166166,1.57281185045848,-0.410905619795529,-0.820969709531346,1.22091664586788,0.10757598330973,0.568616848543553,-0.0757805526769363,1.88417644883309,0.427696858436581,0.0637925882207962,0.322533450528157,0.992910788447916,-0.139527771337499,0.410053792470959,0.334928062414096,1.35416726338753,1.66030067844552,-0.571268859488202,0.737136507576417,-0.264625202963623,1.00551437623676
"STAGA_As_2 (GE) - TPM",0.384409507479941,0.340749552971323,-0.346055358399645,0.480656600667143,0.137164563520467,0.236544623785776,0.679508260631347,-0.0498931055336388,0.25112857050535,0.775988801478736,-0.639617112707202,0.467065143114759,-0.520435357040843,-0.492097380273011,-0.997861400045177,0.355717222192544,0.0489674332882127,0.611773797471643,0.556625382673739,0.22730267925417,0.194034780538222,-0.713914056130324,0.399936916712658,0.641375788312383,-0.389860187401068,0.1945325457139,-0.181187613654436,0.0270106068537643,-0.571759585190212,-1.12137994877426,-0.537901792301355,0.31796785167821,0.145832278868201,0.0384860558456047,0.682702943773992,0.418212018311506,0.40771527928578,0.663074500142582,-0.654854811771304,-0.23300901172967,0.993413879553769,-0.230751313656333,0.63516482496273,0.603779267336652,0.611263504768694,0.213749895584487,0.902491485656984,0.298323310180084,-0.297722384126465,0.79891535918882,0.286753816735863,0.624964494876825,-1.28282469888756,0.223494510132106,-0.012932115208452,0.496309174242322,0.651022573204048,1.00084325738378,1.19964512026841,0.380912395218371,0.675621549990229,0.810739584712597,0.517903582788368,0.145844235150771,-0.0318341474426606,0.0577770639021726,0.0102546942493457,-0.864485180083631,-0.12889337969142,1.42133801773583,0.546530529904449,0.281036322183735,0.458284414286647,0.43955403167179,0.539793138329092,-0.172734493665422,0.39053464914277,-0.0352504311959315,0.202890037674299,0.470274265991269,0.634087387689918,0.0605955534227803,0.0626486448291299,-0.26002209394683,0.881915681815405,0.731364960661247,-0.386258934837802,0.616184575694506,-0.0742849138436542,0.475853752051279
"STAGA_As_3 (GE) - TPM",-0.0572715824687509,0.681649463310873,-0.339941116786736,0.905464394850662,-0.0704939999092006,0.737650753024682,0.828429311640447,0.271930063524455,0.584491007547164,0.888232204893715,-0.0286082707203615,0.235506657364804,-0.572566315240501,-0.0809673625542085,0.0846999380677324,0.326975445665957,0.723812075539144,0.51305234673689,1.01912911569165,0.469534662306765,0.336740698527042,-0.663383685824031,0.506584074928656,1.54606790217525,-0.200390616409432,-0.402869886335598,0.233241635247332,0.489489949687768,-0.193974451667066,-0.925353442857359,-0.0100468141434592,0.361488610041966,0.232184607924891,0.552672011319434,0.788134728051191,0.674457762222912,0.0546858414547841,0.606943416503317,-0.663443239304781,-0.208129749789115,0.838428214066918,-0.0831118859394989,1.25427364365174,0.923650589559299,0.793458504667508,0.855440565628396,1.79530019898298,0.671876895044152,-0.525681011520948,1.15035268497862,0.268894433294346,0.460591578590264,0.0727104207256718,0.829596405712201,0.593376428480403,0.447163129383705,1.24932299822953,1.13378988518063,0.701265078565818,1.47703392009833,1.18178345666956,1.24617069610536,0.692905436030715,0.716554079623703,-0.0620280054325964,0.496684597168626,0.0619055395828495,-0.30600001792747,-0.21928718115368,1.59368117663117,0.108035937203414,0.589538631608648,0.75798895686925,0.0126925613897691,0.974347206531244,0.0949660264320065,1.41578564528665,0.448489107515874,0.580045609918121,0.316881051860908,0.356032651263104,0.0866060955516703,-0.104795008357466,-0.41360943433178,0.523744511949473,1.4758804993795,-0.315609190133782,1.00121830973365,0.00469466727938839,0.204215778615882
"STAGA_Bs_1 (GE) - TPM",1.39188772293152,-0.782590293228751,-0.319966493624372,0.135234884460875,0.793933907773309,0.353975718413833,-0.0219217516171846,-0.363869065739128,-1.51892529829077,0.926762336216284,-0.657186965486554,0.673199796757784,-1.16417412443598,-0.910028666020044,-0.0614161837793874,-0.94581548026246,-0.532570438495136,-0.144976557782553,-0.568962659665597,-0.848967759916618,-0.836368280277864,-1.08414112672411,-0.999033858372579,-0.583256844223866,-0.12476944666098,-0.978780527502447,-0.742801930014815,-1.79464832813536,-1.67443026424294,-0.873421668281942,-1.75255611415796,0.203948249636782,0.00996869752218637,1.52337438447666,2.43357442489666,-0.876405649656525,1.76912873277449,-0.246904143043899,-0.88665183532946,-0.844847707547433,-0.577813036802843,-0.468939135357902,-0.249550800910397,-0.608620223529552,-0.805744749581845,-0.143245592126589,0.169230905634781,0.729153090921041,-0.275240058017377,-1.27518445199929,1.0118269925622,0.363082862047189,-1.83734399478822,-0.778276501391088,-0.896295162562492,1.13829759137417,-0.287688987055643,-0.0273822034529979,-0.66386065371187,-0.650798978126844,-1.36941985993898,-1.19582358541128,-1.35582672568762,-1.03628821547211,-0.739478437408363,-1.02276055966188,-1.17938564876591,-1.00245579179278,-1.34974361342581,-1.24735321856207,-1.15510447672291,-0.894012347416967,1.13622515711892,-0.84749517774078,-1.05212468733118,-0.69427548048458,-0.116283883688577,-0.873001575986106,0.359553368183844,-0.459556017949288,-0.31432680711179,0.104703580638895,0.416110942028656,-0.577131652939779,1.36837409130005,0.129408836353555,-1.32458857509216,-0.668879339796303,-1.16591942970672,0.200154348897626
"STAGA_Bs_2 (GE) - TPM",0.339619175713941,-0.326579071686713,0.812675347683078,-0.325326980460189,0.944414127644755,-0.138589186493935,-1.2095277149008,-1.28226646253387,-1.19566953425891,0.54648209561917,-0.160679240645138,0.34204955506506,-1.00036956661045,-1.17275836149023,-0.740761494040812,-0.336835531190174,-1.33212547551991,-0.375288049963554,-0.668671910579803,-0.884021091535993,-0.776576525258735,-1.07266965062524,-0.0800121035220684,-0.724685786151639,-1.2460080937061,-0.979276835239017,-1.06797481044579,-0.920008386032599,-1.35857641376145,-0.183118773468795,-1.31635684143647,0.110710702837599,0.0508225246357196,0.165277103633009,-0.000849335210765086,-0.765646058299708,-0.490917271012527,-0.782575764160118,-1.48997650477879,-0.98049059662454,-0.780444444895475,-0.52572430296528,-0.720297066738279,-0.466230348542871,-0.998739489975063,-1.21329249596645,-0.952322924752528,0.702200600631538,1.09517174209259,-1.18770378138189,0.224041603553757,0.221018830402132,-1.32714453156281,-0.976166622305558,-1.61712697586534,0.840460793161194,-0.703912514050762,-0.958822844105257,-0.666644164403701,-1.15704022192636,-1.81981487458959,-0.95067780526911,-1.18334648199078,-1.61209078434867,-1.06869604304393,-1.19053978176545,-1.16137783783558,-1.01020267941004,0.0321549592694779,-1.19860420636457,-0.995941790919142,-0.0988447078764296,-0.520140178300657,-2.20611554404357,-1.57978726260937,-0.832336628463239,-0.844130514351483,0.256708546558538,1.24991859583451,-1.29734846286792,-0.536181367150357,1.1911095004397,2.3630445477367,-1.68343934569815,-0.113493535809166,-0.210292828333339,-1.03344575743877,-0.503903458263341,-0.96859623093495,-1.85930250694311
"STAGA_Bs_3 (GE) - TPM",0.499543771316755,-0.959663769838206,0.813854903412206,-0.161790525266334,0.548317843114184,-0.24217218188022,-0.951040221215374,-1.09461114236592,-1.32683786194979,0.294629960559134,-0.311782185665412,0.88114839664544,-0.461502398557547,-0.659809268537871,-1.35503389343421,-0.555996553052721,-1.31013668075863,-0.413722870681176,-0.809228534921894,-1.0474359036017,-1.03054549057753,-1.30948525000952,-0.609444801291439,-1.03839222482572,-1.18610531896027,-0.81708798129529,-0.798482164486927,-1.4998873881597,-1.29770673468263,0.121752411419953,-0.860722927399237,0.0254772611485229,-0.166826332666429,-0.0727063379624154,0.274110559512258,-0.725790928786393,-0.522777399902504,-0.317120807531332,-1.17729290739262,-0.865556496084761,-0.529805521329394,-0.361928059492111,-0.674398577166321,-0.855104929524413,-0.445415728297298,-0.612770218839007,-0.415915620575675,0.754458479155721,1.25624004422192,-1.01979933076969,0.454460391979917,-0.0106756346260965,-1.53155869461065,-0.909931984242031,-1.35926966427806,0.898906651427398,-1.35495493631493,-0.739893730240493,-0.993297085635405,-0.989303759269894,-1.60573854552306,-1.16225621261736,-1.12634253268441,-1.30036744931743,-1.33060457775594,-1.2344973990557,-1.21438784705556,-1.06659938149566,-0.314036576061203,-1.0618775218993,-0.562759415142552,-0.116627966043872,-1.25404353040143,-1.82886572773725,-1.6501769923422,-0.701458783838352,-0.699071289330052,0.268101654081137,1.11012172348002,-0.901017753644596,-1.17540522210275,0.990496154534656,1.73948409092998,-1.6137349404027,-0.1842445172483,-0.362105127160125,-1.63943300427831,-0.89748015594932,-0.851821579823144,-1.41963352989486
"STAGA_Ctrl_1 (GE) - TPM",-0.131274732876769,-0.702929329156875,0.744386562994566,-0.253240368690601,-0.734079827488196,0.473267790462852,0.746135865152818,0.707730051460322,0.640438200597121,-0.280518552029865,1.26699168597339,-0.525903022764746,-0.418409124793639,-0.0539021745052132,0.0494367892649268,-0.325563150302414,0.0114328449156037,0.285335211133495,0.348097619452781,0.696757327161923,0.444148086246582,0.811254414223459,0.133859034986981,0.00146539038716017,0.0297606393924088,-0.285209091064473,-0.429830325036535,0.210599910972164,0.44814526486252,0.171957797050832,-0.318753202384178,2.21611722686228e-05,-0.169797562766417,-0.0601978521984092,-0.148550730716307,0.0113178614878374,0.0938773244072078,-0.35797098964119,0.341016307961423,-0.0811559083246992,-0.621500040645385,0.475986156237436,0.201647563118404,0.169866290122664,0.367075632303135,0.845216972081133,0.410771993706598,-0.190539295235181,-0.374483696874805,0.00566906915639382,0.333376342532682,0.102264908464438,0.0621390876333024,-0.0428887502101429,0.467383196224319,-0.165178416353772,0.348241893254916,0.264606602505413,0.0276860126658183,-0.087474944616184,0.254532838465105,-0.14593594064666,0.0410646626363865,0.150348575593209,0.0128452709521614,-0.206604409267918,0.0548988525725477,1.46582311549275,-0.311824432647672,0.278412726406168,0.366884050542808,0.683652895770428,0.426233719447288,0.0350182641226766,0.325324847632236,-0.0439120692497077,-0.113823477727529,-0.431171294770765,-0.461958868949545,-0.230778529018005,0.496670255818369,-0.553910458029242,0.00520995768347967,-0.390418994041055,0.112877893900148,-0.0248348548205442,0.145706214233753,0.92715179578407,0.197699420048718,-0.215863481362012
"STAGA_Ctrl_2 (GE) - TPM",0.0278551631658939,-0.160451569223809,1.32081095878905,0.0137805781073726,-0.781687794290808,0.0870309423634395,0.564073123496225,0.552807324642736,0.168186388720468,-1.12257590972019,0.809568123996412,-0.128029727054099,0.0712334782333613,-0.324278973697364,0.837520926201048,-0.883979880186776,0.0938244322533018,-0.190801329731356,-0.331270777540499,-0.0433593054004966,0.306733053712882,0.356691312170177,0.0395506707633047,-0.197262021199115,0.376609019950041,-0.76961457957602,-0.744779084814711,-0.708708529377957,-0.0220290231188357,-0.0660054473337246,-1.05710271656832,-0.376305212983973,-0.491079690537244,0.535868133652362,0.411165373904857,0.0541146686362158,1.29212130086833,0.136509125190597,0.328465116082231,-0.316046245039272,0.179636780222617,0.580150128066419,0.123749404457378,0.192276684722769,0.120728593022251,0.237605479607488,0.328039800489123,-0.148632323891407,0.0210197967758087,0.223983686724558,0.597213506745,0.399640435401679,-0.267302986627804,-0.649073314562897,-0.198865484707023,-0.483647191542508,-0.184773791099824,-0.0844029650774757,-0.290684775290342,-0.417079593139817,-0.591420496870252,-0.331430728739562,-0.377813257909448,-0.0805000178841073,-0.374319579332624,-0.475541480829268,-0.202872686164175,0.848564396853499,-0.411666306033727,0.207978735307579,-0.494818788882994,1.97126372216273,0.627276761256073,0.174950461711688,-0.166186439719301,0.0211857788758233,-0.0534457525282126,-0.228451819940723,-0.364941439967148,0.131252280897224,0.35138136400595,-0.797874129968542,0.110641653103923,-0.506545972331554,-0.327172011524037,0.249779808518961,-0.420754502865297,-0.126923643417969,0.545085384741996,-0.209815347042932
"STAGA_Ctrl_3 (GE) - TPM",-0.199949098791984,-0.510898659164268,1.15468137294591,-0.20066058298579,-0.861021370471781,0.705292983908181,0.601730527872669,0.308417106926599,0.472570656755978,-0.586066843675261,0.636160534903999,-0.455089587695462,-0.565817335889677,-0.285001183647299,0.529104177358925,-0.315164473431091,0.349669285149243,-0.322612226775698,-0.0545493145930143,0.0531165190340096,0.218721744840406,0.463007264122556,0.0627684304738981,-0.0634302187603241,0.181745533866371,-0.900279346278827,-0.701540721333886,-0.854380454243158,0.0760078903959595,-0.270490858383102,-0.783029521502006,-0.228550043386674,-0.257520691677206,0.339666312223285,-0.50030564738567,-0.599433356165919,0.888457655385503,-0.446811714482742,0.0283300808892394,-0.309824304583621,0.153723446731188,0.419316284876658,0.279966292508355,0.172226578270116,0.66847349528499,0.242170536222821,0.890558198018054,-0.221055678025543,0.101423726686582,0.0209321903559356,0.399588253186559,0.158710111925928,-0.105536012433504,-0.202400159666334,0.0865092785315322,-0.28564781801005,0.233634413580846,-0.157060360247122,-0.274781224800668,-0.42627662570131,-0.314769715738512,-0.438462163716366,-0.448357497261387,-0.559958165174467,-0.377745464563175,-0.526619003887618,0.0398722992094788,0.726865751156565,-0.394804564331574,0.201801995354226,-0.340261294740511,0.829912958335623,0.945557115000835,0.392440448967695,-0.190981004662055,0.0169352684825478,-0.118044439854835,-0.313559416819876,-0.42907695961633,-0.216889781025081,0.273998112927601,-0.742828972787313,0.188863652538227,-0.617525690635434,-0.270035097351056,0.00171842252609205,-0.118677533075571,0.265275723805365,0.360615866767579,-0.449608361514186
"STAGA_Li_1 (GE) - TPM",-0.155212190318464,-0.590074121305997,-0.0101416220559903,-0.470957379266619,0.0311938435170829,0.559237731575213,1.42675292231311,1.63231838298745,1.45551035887617,-0.426116358913642,0.35450508536333,-0.176483467903019,0.668459039312411,0.420895389893014,0.929972529359547,-0.103904928869063,-0.520781315937856,0.563950548434764,0.1922302503069,0.84207911688622,0.542551824561442,1.29439760322737,0.18506493579821,-0.757814196999616,0.381267478800333,-0.311646750649025,-0.389687439458519,-0.0154975857073493,0.496016416278899,0.884627764853869,-0.0880943857044913,0.861825279542987,1.15217131250886,0.120828413934874,-0.111035913952854,0.13358836202836,0.853746497897336,-0.0230561233913624,1.19553850442348,0.460218897874313,-0.609772662120641,1.56233783611669,-0.0691358595580336,0.0827272900155415,0.270134407939127,0.759479528989842,-0.64699573206176,1.35639186206106,1.15263554491606,0.117227022056665,-0.241033782903878,-0.332585652225012,1.07590891738024,0.445694801349404,0.0395748505785463,-0.254752663746806,-0.732858871551391,-0.690006491033016,-0.386695073181804,-0.491119253748228,-0.210696892348508,-0.0421837581231571,0.28722845486918,-0.0997367821415468,-0.0193695516302475,-0.135277959798648,-0.0378368133892864,0.126437487252678,0.649843684384298,-0.16548355925911,-0.0125676173530629,-0.790104899491201,-0.490847558575375,-0.239075085530878,-0.916252970769138,0.995252227630553,-1.01551933148078,0.0103109629506854,0.0459788837958355,0.218573249289252,0.141772901631033,-0.0163206303765037,1.22986492731577,-0.0885140478600219,-0.0228450723649715,-0.834930448033284,0.39533766275242,-0.0594369481255866,0.375843739027215,0.0303058708657816
