"","B4U56_RS00225","B4U56_RS00800","B4U56_RS00805","B4U56_RS00815","B4U56_RS01180","B4U56_RS01590","B4U56_RS01595","B4U56_RS01670","B4U56_RS01720","B4U56_RS01725","B4U56_RS01730","B4U56_RS02185","B4U56_RS02330","B4U56_RS02595","B4U56_RS03075","B4U56_RS03080","B4U56_RS03095","B4U56_RS03100","B4U56_RS03105","B4U56_RS04255","B4U56_RS05450","B4U56_RS05515","B4U56_RS05520","B4U56_RS06605","B4U56_RS06950","B4U56_RS07000","B4U56_RS07130","B4U56_RS08345","B4U56_RS08435","B4U56_RS08440","B4U56_RS08610","B4U56_RS08920","B4U56_RS08990","B4U56_RS09380","B4U56_RS09385","B4U56_RS09390","B4U56_RS09395","B4U56_RS09400","B4U56_RS09695","B4U56_RS09800","B4U56_RS09805","B4U56_RS09810","B4U56_RS09815","B4U56_RS09820","B4U56_RS09825","B4U56_RS10395"
"SEPI_As_1 (GE) - TPM",-0.427078108595271,-1.26914945935728,-1.23725952062876,1.62686743052116,0.966826653110137,-1.33074044292577,-1.25460001715341,-1.1508820384201,-1.83189888239788,-1.67839949100255,-1.1681170737882,-0.353918022787224,-0.972756453379105,1.25400834048341,-0.471989904733683,-0.521378788888815,-0.494857391990752,-0.707122454530357,-0.658222740631669,1.87609212583301,-1.11825972923761,-0.792974789011603,-1.23415766187355,-1.11014835916545,-1.41864635656377,-0.359024149630515,-0.709446471927869,1.39078792814449,-0.92366632522622,-1.05391974870577,1.14374871272286,-0.450661639536981,-1.27060493970326,-0.160054677599686,-0.191227294771142,-0.311100003249313,-0.381560709601151,-0.0846994844613394,-0.943941008971008,-1.29561256636762,-1.41370204309545,-1.64315814456841,-1.21107785417673,-1.23820815165895,-0.602804865658996,-1.25774631323207
"SEPI_As_2 (GE) - TPM",-0.351704952704279,-1.27131273747745,-1.23072804026865,1.55445726375591,1.19419614093839,-1.31093183530086,-1.27395082056717,-1.18144879081357,-1.6253456139826,-1.61624455800202,-1.1989193930102,-0.256451391039032,-0.982524826237233,1.14268550616476,-0.388991992552542,-0.300741283915829,-0.543108631031174,-0.516832095320269,-0.807864965840151,2.11970856835832,-1.16620822285705,-0.652527922655798,-1.07100351851209,-1.15094606306546,-1.47324255608409,-0.338307516799525,-0.708551987719745,1.81377853334657,-0.883380841531229,-0.653583804099791,0.985648449319937,-0.763929302619702,-1.18949334827676,-0.733264996531001,-0.530379581568037,-0.591040436690922,-0.519122205258753,-0.539611800759344,-1.17732925058208,-1.26433171472606,-1.39603311028092,-1.54151510291517,-1.18532567293878,-1.25659423977286,-0.541131754272396,-1.18548262575075
"SEPI_As_3 (GE) - TPM",-0.674690949475685,-1.27001525659732,-1.2339335168181,2.20826984973509,1.21326469818443,-1.27385632974134,-1.2496658052417,-1.21470985191212,-1.66441662421815,-1.64159410721502,-0.960050852082928,0.138112017490943,-0.963847930070392,1.09402030311826,-0.660650219071426,-0.478419212131476,-0.34038129118532,-0.734903353574736,-0.786140190441994,1.23556043910235,-1.11011670788119,-0.596478600033872,-1.1110428888592,-1.28852951576139,-1.29628680265077,-0.255195763278069,-1.38853123690857,1.30580170705544,-0.950600827956763,-0.899421740303322,1.18659428985254,-0.841631060202494,-1.23885735412716,-0.283494992490205,-0.301664660865524,-0.0895363055923979,-0.075120279919611,-0.214699426937151,-1.22889559388913,-1.28421408654906,-1.39470709703468,-1.56810987364768,-1.22249650551037,-1.21680153665338,-0.588848393671749,-1.16833949497046
"SEPI_Bs_1 (GE) - TPM",-0.875957312278348,-0.841376344252238,-0.943087651690061,-1.40693403092624,1.52470406294353,-0.154574698195797,-0.669809630606789,-0.128819643639005,-0.558456554036116,-0.334697875801479,-0.673461750573503,-1.33872925270654,-0.811435237240045,-0.941543321515783,-0.12787951328862,-0.129163383415165,0.351214828728839,-0.261834923002564,-0.0833924545484356,-0.606254368495347,-0.778636670863284,0.0502431377011534,-0.659879014372713,-0.940968063684452,-0.170510186059372,-0.635925705435539,1.40862518115006,0.74246239933832,0.433979014663048,0.00377607565774369,0.736471030760554,-0.333694722322174,-0.492808105307698,0.477337494760566,0.0769284048452341,0.645257692589992,-0.446635712319505,-0.268716824620144,-0.178025096536485,-0.400768037023135,-0.117372681010976,-0.434757239094024,-0.274635483315039,-0.288971729845715,0.547385651147503,-0.924640628810145
"SEPI_Bs_2 (GE) - TPM",-0.728811730145612,-0.862199654158752,-0.905069909383637,-1.09047474284213,1.31489146845159,-0.200378384024093,-0.564047458263772,0.425609849074979,-0.378572956715749,-0.557068341220429,-0.729007409387516,-0.750832407086921,-0.772293118314319,-0.97310775081781,-0.0284646372853083,-0.187522920573932,-0.113727134711575,-0.429487175862522,-0.526132858284447,-1.07804682559935,-0.857004926555891,-0.639545704427024,-0.546650160454434,-0.995437150230807,0.235519137251139,-1.07629845935746,-0.985835088691534,0.81496276805029,0.464502573664495,0.240629218066008,0.73626086734257,1.06863385764065,-0.639352963011395,-0.0714204588905156,0.154676214103595,0.751914436784757,0.403804017905052,-0.0316432099646018,-0.271650782404264,-0.27948566600367,-0.341189221046817,-0.368637568764995,-0.325110725183391,-0.21108051042408,0.602415167875473,-0.758733314555904
"SEPI_Bs_3 (GE) - TPM",-1.29074838899916,-0.986769269296693,-0.92012041411248,-1.3072826908119,1.14111587547156,-0.560471481721176,-0.513369819337181,-0.0228098181498755,-0.758589671605366,-0.7005030147648,-0.483461425032348,0.312224305864558,-0.786420953221267,-0.6266461195817,-0.638237460697911,-0.747845677285646,-0.543757931999089,-0.275704070234423,-0.461476190292385,-0.584233960247161,-0.980451400659943,-0.75395214298588,-0.702679054194835,-0.732718441170992,0.358451248573565,-0.858161344359124,-0.977486535001358,0.909781616692405,0.241443061193363,0.00481337829290583,1.11365270960531,-0.62324521528826,-0.477456925016748,-0.633608237193065,-0.0040361408898805,0.191333377012145,-0.425175819692279,0.440354859091062,1.21227424685166,-0.236912170484689,-0.439001812909959,-0.63705649353238,-0.519066584283661,-0.282849308349187,0.81256590349167,-0.657125697911616
"SEPI_Ctrl_1 (GE) - TPM",-0.126600262329714,1.1289271248485,1.43329436509814,0.243931746467321,0.250280112309253,1.18510400866509,0.991310296093266,-0.424813550117811,0.203651637672644,0.410966024057865,0.55508172889447,-1.23302924730683,-0.192363317998498,-0.162040254554171,0.400036307094409,0.303266586874644,0.36469502104878,0.302361438271246,-0.113169316177095,0.596604741135374,0.85673919209182,0.106432385511106,-0.206449366449968,0.877420911116456,0.683706170250999,-0.136553641876208,-0.32413774673237,-0.32401945818426,-0.0535132911743723,1.76816309119358,0.0493102878516499,-0.799639825129783,-0.274202751288182,0.574887863213176,0.0913882099983221,0.110420703893089,0.0321379204987512,-0.110316413366009,0.409375206563978,0.157339713765043,0.157132810993849,0.236308836842267,0.156177699351055,-0.180259560621528,-0.0815750266536056,-0.107328731678723
"SEPI_Ctrl_2 (GE) - TPM",0.463213787060715,1.06319346936722,0.902414436386493,-0.000217782110658437,0.114279968095858,0.938747549491731,0.331349630161923,-0.491080472248991,-0.337363835008667,-0.0118174639915508,-0.291876216949806,-0.0095006443365884,-0.237470364164448,-0.380788098952632,-0.151690919209829,-0.0849765321761559,0.278763483840066,0.0732913889831092,0.181971086743841,-0.637313255523195,0.560525986070204,-0.0734733903455762,-0.277800159370425,0.578663044831811,0.879031012645939,0.0727961847840976,1.00138821948428,-0.608093893831189,0.0106608207766908,0.305478780009679,0.212567203278062,0.325159028612755,-0.269231915720564,0.535374254687735,-0.480130968354747,-0.351937590034536,-0.045578157360234,-0.324509986769817,0.0114202959935616,-0.00610821424846593,0.132684748397743,0.358955272354214,0.065405323751652,-0.107766311663383,-0.364731144672901,-0.303095626002026
"SEPI_Ctrl_3 (GE) - TPM",0.265639680516918,0.898633075378266,1.01352191879871,0.00769862467282811,0.184844283211768,0.995587183245576,0.688138201991907,-0.58197254987478,-0.35470208026542,-0.23474404303331,-0.0591046668950847,0.36372082814164,-0.27288566905049,-0.371981959332666,0.0393375431796324,0.19057636495197,-0.0223981306954705,0.0432129190016605,-0.21565358110178,-0.0540647516318518,0.823481456683759,-0.179870074813511,-0.147122108466439,1.21807457149248,0.993566233844884,-0.784442975340104,0.3011985704963,-0.581271092758798,-0.266895309716932,-0.398951964971504,-0.480072180578538,-0.0754140046042337,-0.271235295834282,-0.61271381745554,-0.0238913178666405,-0.0888116644228552,-0.363725777789833,0.306898367833772,0.228567531019871,-0.0984871402218536,0.0382605457784861,0.104314363263969,-0.0202839776446233,-0.194528708915193,-0.415734921940933,-0.17593679518555
"SEPI_Li_1 (GE) - TPM",0.595268618350564,0.491342804965958,0.110011515117462,0.284048609950442,-1.1511035322055,1.42137911433839,1.00702899465825,1.29021153870197,-0.423232657536505,-0.243656552679229,-0.260745023534799,2.55563463812778,0.141066081541694,-0.407003841064297,0.422665046006985,0.417720679341255,0.82423022847628,0.836154694653498,1.13458700983588,-0.461813597511132,1.46511266878745,1.17055303043426,1.56664420348893,0.675029972734896,0.885904498052373,-0.0452976370162285,1.64394880311105,-1.17012058941304,1.44332331132219,1.17450543913256,0.457672850550863,-0.362594374171691,1.08821843501233,0.156302551695522,-0.20285739843315,-0.518626903030444,-0.630433919569236,-0.920734371096094,0.85692866922599,0.153546795281073,-0.155922302860068,-0.0991807011366923,0.497413573892205,0.762221837324396,0.967975655318763,1.05828573019333
