"","YPK_0672","YPK_0673","YPK_0788","YPK_2055","YPK_2181","YPK_2487","YPK_2749","YPK_2750","YPK_2751","YPK_2881","YPK_3460","YPK_3461","YPK_3462","YPK_3885","YPK_3886","YPK_3887","YPK_3889","YPK_3890","YPK_3891","YPK_3892","YPK_3893","YPK_4149"
"YPSTB_As_1..GE....TPM",-0.0932247778661709,0.169797295857784,-0.42428650153082,0.170393064515046,-0.181909300035739,0.0751820271113388,0.325712997359547,0.431616329739614,0.582586141117916,0.562607947236729,0.462919033765843,0.215088222986196,0.570743952156746,0.650016887033418,0.0566831865928608,0.11284015287396,0.27004701081595,0.612626992478082,0.55044679076164,0.863416978539057,0.871378682049343,0.238281518508417
"YPSTB_As_2..GE....TPM",0.0466537703716717,0.318182356981048,-0.0736671984627319,0.354491611875302,-0.0158563282118417,0.225038771857616,0.681657032805854,0.465748076041497,0.865667821028404,0.364763724574626,0.179220304180042,0.129095445509405,0.796010862937526,1.70181588113433,0.653642771243295,0.799571387356379,0.580150223394237,0.697711500321532,0.47165693581071,0.841005557798238,0.678185948510892,-0.570116849685451
"YPSTB_As_3..GE....TPM",0.379919063049913,0.609398384563026,0.205870634225079,0.531402061815708,0.804639253882417,0.794546902399874,0.882922196616629,0.756883782027876,1.20587318593314,0.694865505211017,0.281036392062941,0.573305255460841,0.913264380524609,2.24754674440009,1.05533386340206,1.30538172681762,0.921524307411768,1.04171219151475,0.603774740494839,1.28781220769101,1.51670745217122,-0.488426825118477
"YPSTB_Bs_1..GE....TPM",-0.831509396394781,-1.01613174263778,-0.918529129388626,-0.934748244944076,0.178000094394701,-1.1100757604516,-0.757816381984176,-0.778835202421202,-0.977383105205345,0.0751322215267879,-0.777751767587896,-0.654243555905309,-0.988685388775085,-0.781624732689891,-0.955015916022074,-1.00369786133219,-1.04569040903179,-0.916433212582833,-0.872190212309841,-1.18097442981812,-1.10711991634715,0.665354452455501
"YPSTB_Bs_2..GE....TPM",-0.794969039637946,-1.04143360179857,-0.915121528947295,-0.94820253099943,-0.144633208314471,-1.0827622468992,-0.731285098585156,-0.732822546499845,-0.930135902545136,0.018032633920579,-0.642564503761654,-0.853704244319583,-1.21150745238197,-0.750104555646446,-0.901648671045237,-0.699630464703176,-1.01788011136997,-0.748071018906721,-0.593630582413738,-0.944845154413944,-0.878296795416559,0.542157731953337
"YPSTB_Bs_3..GE....TPM",-0.813986005129938,-1.02315166024664,-0.939783926684915,-0.932836148036694,0.260971037802045,-1.13247167863798,-0.739895646431494,-0.837967194778442,-0.920914376885997,0.0443111583609187,-0.853364968924419,-0.838727482390249,-1.10624460596443,-0.830091188414548,-0.952051830229388,-0.838684062451277,-1.0293123020837,-0.873067646468334,-0.723289219376713,-1.05940500629176,-1.05371628822536,0.820692324165528
"YPSTB_Ctrl_1..GE....TPM",-0.69257632546445,-0.966382619008422,-0.77119519094969,-0.751241858649414,-1.26186623884562,-0.876460576930527,-0.603453845993164,-0.622508588124675,-0.821007862748136,0.71075377150268,-0.593095346357003,-0.663995076656732,-0.856127683097402,-0.472971542118796,-0.62700744676855,-0.609052514804969,-0.833887450582821,-0.682973058145937,-0.750892400525773,-0.913812173730865,-0.633567396773801,0.393719492196299
"YPSTB_Ctrl_2..GE....TPM",-0.661060609150023,-0.7378321479496,-0.791097828365693,-0.581692586164588,-1.89143222509411,-0.790511050418012,-0.61608499654681,-0.563979342247551,-0.627090046284074,0.454094741493782,-0.380350759616218,-0.612338835547745,-0.38345052098379,0.0129896939430606,-0.0941356481876418,0.0972815904788086,-0.713017830423858,-0.561449258946966,-0.0994667692050991,-0.242543605281825,-0.416286343979007,-0.0220748036755733
"YPSTB_Ctrl_3..GE....TPM",-0.463407682463513,-0.634404563332783,-0.529535074415161,-0.324115174006342,-1.13114431058415,-0.391001221676985,-0.454640205649235,-0.454552662471839,-0.321684028156112,0.711359071091661,0.0315721102049139,-0.164277251409024,0.236541431218954,0.316103247388551,0.354139671299262,0.520146936441698,-0.458631495083478,-0.0980166100160123,0.132485259279445,0.00842069531723886,0.0383296954235227,0.426763284860092
"YPSTB_Li_1..GE....TPM",1.42272492029626,1.85335402510982,0.849561393852916,1.20373356854258,1.32765529838699,1.58896863305775,0.636823938594342,0.456609734161373,0.870833981884028,-0.377675355049091,1.59587174103294,0.712164583347838,2.05098864666276,0.413003669511574,1.01655621239302,0.958526200546564,1.17146795481557,0.490227197233988,1.12255912021995,1.09613540187063,1.04819984035696,-1.29496669144521
"YPSTB_Li_2..GE....TPM",1.42913146568038,2.36103128942036,0.31637445358445,0.966190075436586,1.4103969003984,1.82556270125695,0.587931070182408,0.490866718701449,1.05255240089176,-0.55821686182064,0.878403217753331,0.796903255922798,1.1065280499118,0.765811132026767,0.921952781422158,0.670778681744757,1.2872032356417,0.871801734933582,0.73561722565147,1.25906307617432,1.0461181435883,-1.41124531268817
"YPSTB_Li_3..GE....TPM",1.33711716691269,1.56057215327341,0.650743526363866,1.15087908384114,1.41967078852028,1.79026020242231,0.571642887506965,0.473730428193741,0.785711624599605,0.0728953655233548,1.27679692409572,0.531382272550026,1.9080607695032,0.437940229387652,1.05226561540214,0.775879759857801,0.985767197762838,0.542369788007183,0.56697490181717,0.795566841659911,1.20254416879964,-1.27694591931468
"YPSTB_Mig_1..GE....TPM",-0.987287574337527,-1.13485647532486,-0.954362181067753,-0.830480949754634,-1.66783177126243,-1.21968942504547,-0.852434894103065,-1.00310988901673,-1.02514969945997,1.00050592019363,-1.55597733647308,-1.15868061469509,-1.24893928903464,-1.42543921099912,-1.34873995456737,-1.44605326620984,-1.07300896808309,-1.35035943046692,-1.32283928330996,-1.29867554212072,-1.26954904005298,0.0244237338040392
"YPSTB_Mig_2..GE....TPM",-0.983203399392409,-1.19581297661441,-0.974064685667824,-0.753639245779304,-1.25405285169261,-1.10819704444479,-0.79006050031597,-0.934143779233483,-1.01596311870801,1.80812154837864,-1.50624176078717,-1.24883530310215,-1.26052236013287,-1.39704909152925,-1.39112644539689,-1.33153982471732,-1.05826647601155,-1.33717009118569,-1.32812376301169,-1.35607597155231,-1.25712843824545,0.321746642024569
"YPSTB_Mig_3..GE....TPM",-0.98930437804696,-1.15662140411129,-0.957156110891949,-0.74973509046751,-2.07317665263556,-1.11019395838919,-0.782900235789124,-0.917343036923235,-1.00588050111513,1.66436611472815,-1.48009055383935,-1.18736565274268,-0.41074187147599,-1.39663991746202,-1.33948606559292,-1.37861466067576,-1.06868629746011,-1.34139956897389,-1.35102364668698,-1.27509350096155,-1.30294997724345,0.603998452728077
"YPSTB_Nd_1..GE....TPM",-0.218479753085356,-0.145364023522514,0.261118997710134,0.0846065560716906,0.385033621973968,0.429143791326429,-0.264389560043262,-0.0413911074247885,-0.0242959948652919,-0.0192037464939459,-0.253930910559588,-0.294958932480692,1.28007461657563,-0.17603849877677,-0.539352245341516,-0.527344252715226,-0.0860691100055426,-0.368183945126347,-0.565421024534498,0.0172414449711631,-0.763593456560296,-0.43169338679796
"YPSTB_Nd_2..GE....TPM",0.0522934807298574,-0.0871088400308903,0.695125939162604,0.600674723464638,0.220763021682268,0.397086975490096,-0.182035555480569,0.263042830559969,0.248504049034006,0.175912142347904,0.0468448019905543,-0.261805901220483,0.86192758950607,0.0338877001005768,-0.287286031356981,-0.338737160672231,0.281449219526946,0.0160874069856189,-0.124898528948144,0.458487644020317,-0.640033131581562,-0.759890073723011
"YPSTB_Nd_3..GE....TPM",0.352459321865129,0.163541891119086,2.30881319319394,0.665645989450879,0.84699290660451,1.20763200264078,0.120688247394082,0.848517119101864,1.24072813402522,-0.22347789769102,0.0792525862978503,0.309065530791659,1.09222118819792,0.73121781390976,0.0291656575686582,-0.202626936843718,0.629926703029139,0.197620820181918,0.204455891767094,1.47366505846542,-0.405147714927628,-0.759501689406664
