"","GBS_RS00810","GBS_RS00970","GBS_RS01110","GBS_RS01140","GBS_RS01750","GBS_RS01755","GBS_RS01820","GBS_RS01850","GBS_RS02130","GBS_RS02135","GBS_RS02525","GBS_RS02545","GBS_RS02680","GBS_RS02955","GBS_RS03190","GBS_RS03270","GBS_RS03275","GBS_RS03300","GBS_RS03455","GBS_RS03495","GBS_RS03500","GBS_RS03505","GBS_RS04105","GBS_RS04110","GBS_RS04170","GBS_RS04175","GBS_RS04230","GBS_RS04250","GBS_RS04285","GBS_RS04310","GBS_RS04415","GBS_RS04420","GBS_RS04445","GBS_RS04630","GBS_RS04900","GBS_RS04940","GBS_RS04995","GBS_RS05025","GBS_RS05140","GBS_RS05145","GBS_RS05855","GBS_RS05860","GBS_RS06185","GBS_RS06200","GBS_RS06300","GBS_RS06430","GBS_RS06530","GBS_RS06665","GBS_RS06785","GBS_RS06790","GBS_RS06875","GBS_RS11330","GBS_RS06895","GBS_RS07270","GBS_RS07275","GBS_RS07280","GBS_RS07285","GBS_RS07290","GBS_RS07345","GBS_RS07350","GBS_RS07425","GBS_RS07620","GBS_RS07625","GBS_RS07680","GBS_RS07835","GBS_RS07840","GBS_RS08130","GBS_RS08150","GBS_RS08225","GBS_RS08485","GBS_RS08510","GBS_RS08515","GBS_RS08520","GBS_RS08560","GBS_RS08705","GBS_RS08710","GBS_RS08715","GBS_RS08720","GBS_RS08740","GBS_RS09170","GBS_RS09375","GBS_RS09400","GBS_RS09405","GBS_RS09485","GBS_RS09490","GBS_RS09720","GBS_RS09765","GBS_RS09810","GBS_RS09915","GBS_RS09940","GBS_RS09950","GBS_RS10215","GBS_RS10220","GBS_RS10440","GBS_RS10490","GBS_RS10665","GBS_RS10890","GBS_RS10895","GBS_RS10980"
"STAGA_As_1 (GE) - TPM",0.367486184482912,0.284574046263377,-0.22002156794181,0.635054327111243,1.09999231907832,0.364701051010033,0.237423590170414,0.581481179678627,0.465138525418141,0.0543884027106206,0.248354563002784,0.189231743668947,-0.00452321228084812,0.398347085458104,0.329877396556976,1.52626440243469,0.875316149539614,0.151300543427908,-0.37652840877221,0.442324617697076,0.766257454557462,0.487121307265371,-0.221329904479173,0.0193676812624704,0.548741777812758,0.222228191070356,-0.252748170059379,-0.061365674964177,1.01323176244396,-0.736381015042087,0.0612016304547623,0.060639873292911,-0.722557389151943,-0.246256330288749,0.418914540326008,0.0975762978821782,0.182404985113201,0.135167450347734,0.595229217981724,0.245331182138157,0.141108393012025,0.768335290143409,0.791027868756798,0.274756615750922,1.04790607738131,-0.817825474911309,-0.383165843997315,0.0864293494753785,0.286476901710893,-0.276575006068939,0.334852069640332,-0.0409010867396291,0.574736448048813,0.0907307065907776,0.64688556699133,0.251202379865578,0.541799461601659,0.233952308843496,0.872747055902065,0.316162300544673,0.245389594329176,0.078400720317056,0.495418815081872,-0.296059239797329,1.34039373222496,0.767624389955549,0.165474490210833,0.602549202766827,0.197419530723845,-0.0746533036562105,0.711040797596178,0.648324250605904,0.851556989998926,0.464764555474251,0.295305796984716,0.621267974897609,0.0722360216437152,-0.146202445318003,0.648887808629041,0.620425943678547,-0.398957393100241,0.391028275736328,0.530460815957791,-0.123825417633564,0.620893002053406,0.86589993601004,-0.531264589533292,0.946789344288156,0.633274764502132,-0.254316808709618,0.837205528976525,-0.386972018934783,0.0228978524950221,0.457480213631487,0.570574005968057,0.359662132506698,0.60121484683108,0.137326323384163,-0.55244816572392
"STAGA_As_2 (GE) - TPM",0.503403273374273,0.306172597039109,-0.159183935001522,0.527452052474575,0.966963297762484,0.568695727251184,0.528120453393073,0.0186248132642129,0.562933543651464,0.291714556594613,-0.0336686247416163,1.03095237128778,0.296205311837627,0.434585664733614,0.511294782341898,1.10439879382779,0.704538772472435,0.41631609656612,-0.591865427470113,0.26139811899105,0.499564179862696,-0.168580053709591,-0.243142885810615,-0.00143873268292902,0.434463666325663,0.318380782971161,-0.132974842020521,-0.252927067025614,0.703104730981625,-0.113191765206906,0.717095643127746,-0.0847281262471797,-0.139742636314488,-0.0534625524715429,0.236781459155554,0.638037881454227,0.182913111537553,0.0373731244989262,0.278043202120272,0.217007475457359,0.421510378595799,0.325185171060761,0.533886869197064,0.949224713837814,1.78088367076982,-0.538448149696273,0.345548726131988,0.331338498180185,0.349829149993287,-0.0531069084391178,1.31628654971437,-0.135150220283718,0.413993073936688,-0.220808550281375,0.558409823224215,-0.412269922893584,0.25750769634984,0.286790922175812,1.06948814087258,0.811411183490966,0.442004164111129,0.46981637095551,0.529781625268979,-0.225402135855117,0.431771319832602,0.820915555500054,-0.16911608197795,0.759217716361596,0.337052287087842,0.603693790225104,0.227028613993888,0.509592776511694,0.551491989025209,0.774255364892737,0.283537460627222,0.0286344337280494,0.0665100881765155,-0.180424791869979,0.348671405462234,0.780627167549878,-0.0577123711193525,0.710745412495879,0.71218571712288,0.232579060649388,0.386819008465029,0.734256967965921,-0.492658901906617,0.718680399301171,0.707985302943658,0.0816705469229197,1.14355666778658,-0.0879089845328342,0.0912894101589519,1.28292029807784,0.715734776654635,-0.0323974906960472,0.0622183315951385,0.26888100003044,-0.625410394209715
"STAGA_As_3 (GE) - TPM",0.345751696478121,0.242483621870614,-0.0515922170441761,1.67693693602229,0.996841951599475,0.388382934787188,0.354957856080049,-0.0616116820390979,0.440668004261785,0.342443188759312,-0.173349497156824,0.854279929330534,-0.0120605533225748,-0.0572836012070938,-0.0188839270728774,1.26769368063604,1.18301593398843,0.442701318134169,-0.411997823068456,0.516997878496628,1.02819828861539,0.140387674828229,0.0771032135923924,0.17508770446223,0.699908045859401,0.762340577454905,-0.14188375976673,-0.277323029621974,0.893928370884114,0.0700857298219842,1.2455912707285,0.75739683845848,-0.0119169834612386,-0.170256688559982,0.680669511079445,0.511447906861924,0.24645938296422,-0.330522470986431,0.313827553298476,0.490024615948678,1.06856066212919,0.730077341557049,0.853362140379613,1.49873964161758,1.68928231706393,-0.621319688881437,-0.225928769147603,0.0188655065512859,1.06221121043203,0.263923270594043,0.449523416994127,0.353098195209197,0.450094789019482,-0.0671490376000127,0.730504795748334,0.350914460696105,0.448916210659191,0.720306656283111,1.07444200872615,0.62563399195771,0.0542771862135855,0.117711057766892,0.63312103333896,-0.215722563340495,1.21949578367014,0.976865747657285,0.0993669750928632,-0.333748141026696,0.381630743843905,0.214673184418693,-0.0206823829027084,0.24309075888552,0.677498264723059,0.50530345189887,0.380481084188986,-0.326732481751578,0.178449509923263,-0.219250737678621,0.484102501057655,0.977451130341109,-0.0567000036410543,1.0194628176966,1.07572691225354,-0.107664098496413,0.70176326488254,1.09934235733833,-0.327773326527597,0.857196312800713,0.899771787382765,0.125038114516533,0.865811444347488,-0.0358981943882836,0.1813813125756,1.41428308101092,0.454236644936883,1.33310863488241,0.219817079896482,0.28863204713009,-0.0426864811280614
"STAGA_Bs_1 (GE) - TPM",0.244117599680386,-0.761918322747297,0.124905437748955,-0.147877142117384,-0.911773350931261,-0.508616435195423,-1.0630408671655,-0.106264927375769,0.259785824287033,0.664836828781254,-0.814527277764853,-1.03953319603421,-1.03200708631698,-1.05652503848108,-0.0996567816861657,0.935339285364944,0.867586260822251,-1.36964145972062,-1.44286212872076,-0.539912051645613,-0.892658932228123,-0.497143340739938,0.61238637681612,-0.0454053056774198,0.0345627923246486,0.132031902003717,-0.970016417998378,0.187725332160273,-0.39415928154373,1.096588656011,-1.02563636558533,-1.8235105449266,-1.24640034668717,-1.0086014783695,-0.659066116143522,-0.574577434481811,-0.542866207067854,-1.05360457810171,0.549156228421447,-0.296871284241891,-0.939506039995835,-0.805135412639088,-0.688933886846651,-1.18191484094237,-0.914431105735417,-0.897821146431169,-1.70044471935358,0.202803594139829,-0.346736022515505,-0.396838933696442,-1.29490994308506,-1.30784517713299,-1.2998739721566,-0.347314418240817,0.200691243753049,-0.675165908380495,-0.793772014844862,-0.148163820253373,-0.79693839128918,-1.50611760962411,-0.163777446932419,-0.468770649752705,-1.32065404348889,-0.789292838909343,-0.637586479754286,-0.276539275882007,-1.21663342624725,-0.925334446318162,-0.749903186147349,-1.12865221660025,-1.07955783428843,-0.0975008312444466,-0.535422430860301,-1.19626105131192,-0.494165618326558,-0.537754638575924,0.278841591119971,-1.07676075168344,-0.038255816726935,-0.0662053958417777,-1.39521494002042,-0.489962384308605,-1.48006552913251,-0.526025152594243,-1.23013260369856,-0.37575848377682,0.730197422874072,-1.55969263227919,-0.420646666053747,-1.69231337898724,-0.112379629267926,-1.80031953657591,-1.14846150885307,-1.00063570917491,-0.987228763951889,-1.27497887788542,0.425000097730309,-1.01044912423387,-0.454065659618517
"STAGA_Bs_2 (GE) - TPM",-0.441840950923883,-0.575892702427716,-0.251189847295412,0.182346644405928,-0.944273848032831,-1.00155043404055,-0.665806364512183,-0.800138505579488,0.732105335946533,1.24767357151639,-1.06882151273635,-0.326128226713599,-1.06259426681413,-0.485577815436469,-1.17183335312503,-0.0699786607518,-0.362198958548883,-1.39821272335396,-1.61267509159043,-0.498046066179475,-0.359799454358972,-0.534974841811894,0.0421925100303751,-0.665443020654118,-0.722889616739637,-1.26242659089882,-0.68738394821209,0.226424557058596,-0.856265632005626,0.764088931652685,-1.37337614142974,-0.978967416309939,-0.187351286225076,-1.18626815787561,-0.884851656042662,-0.962971891313654,-0.641476506193376,-1.03063063576321,-0.976757508805769,-0.534632446976393,-0.797158724940693,-1.01481045668204,-0.427902359507157,-0.769508759035793,-1.07544525626061,-0.0360642789591007,-1.12431990301779,-0.975935095355687,-0.780326782266394,-1.44902719955765,-0.677029854178213,-0.971823090834256,-1.23224938482188,-0.745747939619996,-0.456192055033552,-1.00940457161576,-0.913076822296594,-0.403061908298463,-1.15305211768119,-0.900138130519789,-0.497116884854407,-0.963647354765688,-1.19263134281579,-0.803289482100162,-1.06597289559027,-0.552498331960452,-0.60198638535867,-0.637295157487987,-0.623434205450792,-1.00913300470107,-1.3213582428575,-1.49501632361362,-1.34000725658748,-1.49057465466058,-0.783820415001676,-1.03225734240563,-0.446451446909154,-0.53876153092142,-0.128060395263473,-0.654073648883947,-1.31646738961915,-0.877923622480738,-1.23837523600045,-0.394527908651273,-1.0170169760884,-0.914003139194524,2.28510427655559,-0.330527338696162,-0.905320419686505,-1.10133899674815,-0.514540977948524,-1.2519272446267,-0.385844547566367,-0.842101072836538,-0.93143221192269,-1.16905239831779,-0.167434891874202,-1.15675228696559,-0.575239604289394
"STAGA_Bs_3 (GE) - TPM",-0.740468403581422,-1.0544771192358,-0.592543556900923,-0.278169114978038,-1.08462491380288,-0.89217527242372,-0.80159359814577,-0.918991320706188,0.78293682578422,1.37630975157719,-1.29522279401593,-0.553981251812498,-1.14397465092865,0.151978780496428,-0.999657571266351,-0.138050805833822,-0.420537694765509,-1.76139248513102,-1.64964122308066,-0.642477347147264,-0.499452429909329,-0.589995866238659,0.136312022828659,-0.625130211716468,-1.22029570469237,-0.835894139360257,-0.696252899377629,0.0755119118930752,-0.914302486554742,0.490687388673412,-1.31006408083676,-1.31961640434284,-0.495563946125339,-1.29877508010551,-0.915202943479993,-1.00089779707171,-0.675168112931392,-1.0589170999666,-1.01337411028151,-0.880177892911015,-0.943651987343989,-1.18540090435587,-0.702228499876781,-0.996710651537562,-0.984157456397845,-0.14585481854922,-0.574855077535436,-0.795526267861884,-0.464311726224608,-0.987778840203325,-1.0623538312739,-0.90532741711335,-1.11167609686739,-0.653292253539894,-0.789860357975916,-0.184824778769361,-0.782273810237838,-0.55834245696394,-1.1674130906891,-0.689794430510907,-0.76160117943105,-1.04391161772928,-1.09261546237049,-0.913972388406317,-0.8776362836756,-0.723288216090887,-0.525388039087483,-1.2230970402767,-0.672987195388377,-0.512728956080077,-1.09632321236827,-1.00370222887073,-1.39025290122045,-0.973249996539577,-0.732841604336871,-1.11699853374655,-0.18363403862789,-0.500585741862462,-0.0487860262761656,-0.716755672878603,-1.02127838689816,-0.576357863407852,-1.36672935502745,-0.704540794941611,-0.851788866756057,-0.966685635954251,2.43249245554325,-0.194166718580953,-0.653696932763397,-1.48447384824548,0.0816918257234865,-0.755372277660424,-1.08977517485887,-0.874191721002403,-1.06054488256375,-1.12433345303025,-0.262949893066111,-1.23438221672018,-0.60540811010636
"STAGA_Ctrl_1 (GE) - TPM",-0.311686616900022,-0.058162749300087,0.142579902933738,0.288614507311748,0.343186787131789,-0.129820229583537,-0.175112293522152,0.537645432127634,-0.200837946618556,0.150721226378477,-0.685611325540564,-0.0377162932992955,-0.245948002391302,0.0902725545146155,0.393809480810529,-0.298022345621567,-0.204026279578422,0.368459716771961,0.721075836932201,1.27737418859771,-0.0577984222699309,-0.044307165095834,0.671056616398659,0.209324468965337,0.256241801558063,0.55566011065918,-0.303008877287501,-0.127715909943062,0.151248448614527,0.335928561027855,-0.317964583029973,0.0181805837988094,0.803018755339424,0.413076478782958,0.318396021814138,0.096165311607246,1.22431736002372,-0.231894603878962,-0.495634426540879,0.612753279053897,0.395245350861378,0.0546421701689815,-0.487422578078113,0.368782989319616,0.508035939060536,0.452627172337486,-0.649709706947708,-0.327244841647165,0.28694874165423,0.616464436438695,-0.0472525539093618,-0.382674222762571,-0.598181649573717,0.369027936395308,0.33014770612013,0.789574920913309,-0.0922331319109555,0.251978743716714,0.151682106432245,-0.176226456143703,0.175198087059606,-0.195401323918424,0.0363275768569609,0.238136442461815,0.452599620763518,-0.269573158133376,-0.343578940960307,-0.541202725035997,-0.0704436456413828,0.322645789214085,0.678580726228688,0.281540021686412,0.128430735794481,-0.198759403619186,0.279835933311657,-0.154466417438657,0.0653981490486701,-0.0576012233070343,-0.91516691375622,-0.187426748245611,0.312406023865712,-0.315883469470597,0.0482689888777612,0.269600705167905,0.500043401158256,0.364758101413207,-0.000824751228250804,0.452363127383453,-0.487915229113792,-0.403099416090202,-0.646259891302154,0.164635718903473,0.423946997151897,0.941490532033644,-0.0399997385275384,-0.171983740588038,0.20222734436614,0.083618280552361,0.378126144326704
"STAGA_Ctrl_2 (GE) - TPM",0.096496187466815,-0.115137252924571,0.120260922169493,-0.93418267751614,-0.00866714060798004,0.248502524764139,-0.510439908314351,0.891367704421853,-0.429269515196507,-0.191449814842237,0.12798482490246,0.0159775209609097,0.0518227111930925,0.265429047835038,0.0848487338748711,0.281367760495682,-0.179275048796811,-0.0532298506136299,1.3890284456378,0.972286542549193,-0.566599150726534,0.342273086054237,0.451020237673067,0.528124913609492,0.17695647694866,0.462279262367869,-0.480117315532835,0.320386477658964,0.0674348585202993,-0.861765960333786,-0.402644335363965,-0.748737533265312,0.142294237778607,0.455133295847036,0.194492713610685,-0.323669350450717,1.09235198234085,0.293721645263777,-0.013738926625294,-0.095357065500688,-0.218894891968359,0.0566865540540714,0.104078498564785,-0.771628665437251,0.0549494833853544,-0.0298029462488285,0.472807851446658,0.319198663042947,-0.817382832826905,0.26464351418454,-1.2849750297762,-0.683699678380067,-0.299925586603946,0.817739125450587,0.547754150180846,-0.535671215322379,0.519432568179677,-0.0632150349851529,0.370135009078436,1.04386984447347,-0.0346052610258245,-0.291762655670985,-0.112263494824248,-0.0604148200457974,0.242622699139792,-0.204443406993998,-0.160658903245681,-0.00630207744639149,-0.0237368793414285,0.53126472420322,0.600275795636745,0.28825243082488,0.157016917685687,0.646563579904466,0.182222316190095,-0.0146176854509508,0.450520025012252,0.0113065854900327,-0.0678800271445331,-0.100635072391603,-0.523131722358586,0.121603105299581,-0.233946067184854,0.419009976432068,-0.199405313997839,0.2529393068033,-0.239950963700228,-0.184940889236567,0.02684696750516,-0.922584675814309,0.172613133356156,0.00353231913556228,0.0483225001610888,0.00780579482917601,0.170610169646168,-0.0389953303256835,0.122689706751457,0.0472238619861403,0.3244849868633
"STAGA_Ctrl_3 (GE) - TPM",0.00790898560391312,0.0932436139338224,0.239570024777137,-0.521264685747663,0.0614136953548672,-0.135682721181119,-0.405222723494097,0.708093659285213,-0.524897086646046,-0.345979480128229,0.0254249345769956,-0.301491597451918,-0.310552899637272,0.37558221746834,0.154111826392441,0.00387835231581534,-0.422905031324572,-0.320857791462698,0.935650123249592,1.01317834105863,-0.60821417776591,0.316686857217811,0.495940425329112,0.342244193289246,0.074880026553834,0.165825719611098,-0.49604484736558,0.0824539435811685,0.34633884032664,-0.435660035084448,-0.440010935523723,0.259354526312349,0.343932262244073,0.359151553317413,0.272165214267824,1.07970251363036,0.910245918170515,-0.0067968799128605,-0.050288213448393,-0.161422535048277,-0.214399121606561,0.130919999829978,-0.152841817492316,-0.560639847364577,-0.124621985078208,-0.0229894812552407,0.441719110155625,0.308640512412973,-0.182461473815317,0.452812060213585,-0.610353150818459,-0.505911636754886,0.0288617380472259,0.611985868408534,0.309623341413123,-0.178654673871248,0.531460626164261,-0.0220393246953572,0.166668324676064,0.22647192627375,0.0696961002820284,-0.230736214110042,-0.0870133765068824,-0.102245680186512,0.141882201230414,-0.210642229975261,0.599009919225005,0.0908418227633485,-0.0577379447369176,0.616543562541651,1.41416492143131,0.617755064550761,0.201215813026167,0.270781504030024,0.202344585429032,-0.219951472202024,0.199728487620396,0.0369583659534008,-0.218837829447046,-0.136196282601217,0.385354336774389,0.216575518876392,-0.100147464224651,0.136252945231523,-0.200898187401065,0.444678704993918,-0.232174519953106,0.0345510513675538,0.380338133836804,-1.0982806614946,-0.144983324317561,-0.0873731816619045,-0.576421281345036,0.286100416161127,0.234706267558183,-0.523071717078608,0.318813662993059,-0.134613642906961,0.451805752175744
"STAGA_Li_1 (GE) - TPM",0.55445385960558,1.4635187415111,0.833143582094515,0.867582408266757,0.913496565609061,1.09530015328139,0.547045569284633,1.3330170823853,-1.18689910612225,-0.925947871022212,0.39926153132822,0.38077234504078,0.782152930733943,1.00231359074121,0.502711805365381,-0.220782050417961,-0.417172613143909,0.22266103125094,0.870707604562445,0.492963018985321,-0.19740559793523,0.947994911922577,0.190336330714896,0.65624890264724,0.950438596687217,1.16559625884187,0.241964570352113,-0.619305608299699,-0.127035803315482,-0.522770335336019,0.345717432748366,0.819017343982917,0.510003624257142,1.36626916717657,1.29950166498537,0.174405546042523,1.11224751120356,1.19300418692138,0.220792297716945,0.656769959033513,-0.401083445614033,-0.632092489304377,0.39207388191958,0.261743709845421,-0.0201711690832394,0.978732856742667,0.683791389492793,0.842392066821681,-0.139953959079729,0.360724009652957,0.666024946503188,-0.0752722335569269,0.0345002366687417,1.1069509116099,0.663968715283943,0.252310583189847,0.964819646175671,0.188651305532167,0.862092825998087,1.00645107653454,0.670566278599646,0.870108530323801,0.507624657336777,1.39780547232778,0.109690171444261,0.0272076056318305,0.158165229420428,0.818952460553148,0.935306249174473,0.850844865445673,1.11419915009495,1.37003288624857,0.608650717796559,1.83572015930592,-0.0676120782013936,-0.184245056359584,0.187567220873931,0.252466827124942,-0.502553626803156,0.340375314916534,0.384195856192343,0.130602753293889,-0.0921543108316412,1.42455837406823,0.89994408142193,-0.0644200034482045,-0.581089781286899,1.0043876568369,-0.0433536028726469,-0.674567003324404,0.495348542018382,0.262401423041364,0.805354392016409,0.184206121053581,0.359950973554428,0.0268139560508223,-0.288317303644001,0.0898032169435855,0.0934097445876257
