"","CE206_RS00490","CE206_RS00640","CE206_RS00710","CE206_RS01730","CE206_RS01750","CE206_RS01945","CE206_RS02375","CE206_RS02800","CE206_RS03280","CE206_RS04825","CE206_RS04975","CE206_RS04980","CE206_RS05095","CE206_RS05455","CE206_RS06230","CE206_RS06820","CE206_RS06890","CE206_RS07050","CE206_RS07070","CE206_RS07140","CE206_RS07145","CE206_RS07680","CE206_RS08130","CE206_RS08665","CE206_RS08675","CE206_RS08710","CE206_RS09395","CE206_RS10185","CE206_RS10320","CE206_RS10400","CE206_RS10445","CE206_RS10715","CE206_RS10825","CE206_RS11065","CE206_RS11145","CE206_RS11165","CE206_RS11875","CE206_RS11990","CE206_RS11995","CE206_RS12415","CE206_RS12515","CE206_RS12570","CE206_RS13005","CE206_RS13235","CE206_RS13245","CE206_RS13280","CE206_RS13715","CE206_RS13775","CE206_RS14215","CE206_RS15235","CE206_RS15270","CE206_RS15390","CE206_RS15430","CE206_RS15560","CE206_RS15570","CE206_RS15610","CE206_RS16055","CE206_RS16175","CE206_RS16185","CE206_RS16190","CE206_RS16215","CE206_RS16265","CE206_RS16275","CE206_RS16425","CE206_RS16490","CE206_RS16530","CE206_RS16560","CE206_RS16565","CE206_RS16785","CE206_RS16870","CE206_RS17020","CE206_RS17150","CE206_RS17565","CE206_RS17585","CE206_RS17750","CE206_RS17970","CE206_RS18070","CE206_RS18320","CE206_RS18360","CE206_RS18695","CE206_RS18825","CE206_RS19130","CE206_RS19350","CE206_RS19995","CE206_RS20000","CE206_RS20005","CE206_RS20010","CE206_RS20020","CE206_RS20025","CE206_RS20710","CE206_RS20750","CE206_RS21100","CE206_RS21420","CE206_RS21430","CE206_RS21445","CE206_RS21455","CE206_RS21480","CE206_RS21520","CE206_RS21880","CE206_RS22585","CE206_RS22905","CE206_RS22940","CE206_RS23995","CE206_RS24000","CE206_RS24005","CE206_RS24095","CE206_RS24405","CE206_RS24515","CE206_RS24565","CE206_RS24810","CE206_RS25310","CE206_RS25315","CE206_RS25455","CE206_RS25855","CE206_RS26380","CE206_RS26385","CE206_RS27195","CE206_RS27280","CE206_RS27725","CE206_RS27880"
"ACHX_As_1 (GE) - TPM",-0.562834609375272,-0.421477033456309,0.538041193890856,0.866953801906437,-0.0468771175908208,-0.492342002372993,-0.418717078958731,-0.619200859711227,-0.637532864835348,0.0619534222172022,-1.35629802609491,0.907350198010986,-0.100471856328876,1.30022903238849,0.454857339872017,-0.0297953674806772,-1.67206623940034,0.316370725481999,0.519516406491767,-0.696739547534752,-0.410548383017923,1.33803693101162,-0.623974823519032,0.584789150108777,-1.01307967558502,0.049215666206646,-0.96744967778684,-0.569607233408701,1.27609062184166,-0.682407611354779,-0.605156605561215,-0.342600470399294,0.132915961552122,0.663042763399004,-0.527356246097712,-0.822848713668594,0.336026531024747,-0.598608944724675,0.213850282586004,-0.610065683455751,-1.05465883264554,-0.331262731374885,-0.426340257514011,-0.919294881832245,-0.412131353874867,-0.341428769404222,0.793982478472786,-0.180880945780957,-0.962268584934149,0.226720077504073,-0.8405858218345,-0.430670172598634,-1.03580932912105,-0.884232981071197,-0.238058885694831,-0.0376633029681654,-0.314256686320182,0.304186497355546,-0.551249573860878,-0.875303282726613,-0.5770607455647,-1.506668777951,-0.0764770189965327,3.00413442523607,-1.17029223358428,-0.371495842831396,0.186082069672422,0.45145717544671,-0.903062389563732,0.800388123223333,0.104551789938809,-0.636407923967203,0.843506990245858,0.22156078263768,0.87439002181827,-0.166666666666667,-0.567582076355811,-0.425751310279141,-0.0591159214667759,1.77386486715431,-0.307889076601784,-0.936932630057045,-1.1971297396629,-0.343503367080022,-0.483857629378062,-0.42007173881816,-0.668403998448399,0.00554681575796564,0.844767456281925,3.15532313770097,-1.74917748947097,-0.825322581468796,-0.166666666666667,-0.411134717781726,0.922205206316929,-0.412322396710836,-0.166666666666667,0.34985668638973,3.11126510040921,2.91517429116804,-0.0751186545486795,0.384948621348598,-0.96084473025474,-0.166666666666667,-0.162016424860711,0.0725988708716344,-1.61052356210336,-0.199569537204795,-0.65935738743907,-0.0193898121299176,-0.240656802592653,2.31387573430784,0.242990520195255,-0.700228914320027,-1.2806712415165,0.64208789978742,0.286306547320472,-0.669083202762427,0.324467090994115,-0.232228527062725
"ACHX_As_2 (GE) - TPM",1.11566732113382,0.0624304313747747,-1.03450051372033,-1.10370277617853,1.61857162052549,0.0283928034950639,-0.525456369894777,4.56406643434473,0.0911730127656303,-0.658274498269855,-1.35629802609491,0.166214500744904,-1.74077216728779,0.903634741223318,-0.633867590558606,0.0621830763028732,-0.281966421010941,-0.839619960620866,3.24745924744891,0.736231045424862,0.042385987453413,0.167812408623845,1.73524104950671,-2.11219602212618,-1.01307967558502,1.65484191149313,1.56639523032942,2.42858607297026,-0.773387617207804,-0.682407611354779,-0.605156605561215,-0.342600470399294,0.167066704870261,-0.904061651845358,4.07707306715275,2.09230551502025,0.685267490681911,-0.383493704147337,-0.273543277438919,-0.610065683455751,2.43783304667412,-0.331262731374885,-0.426340257514011,1.86097016497904,-0.412131353874867,2.0468839598759,0.315757006449645,-0.545658999880097,1.29085662022289,1.13156654029174,-0.040925252805435,-0.430670172598634,-1.03580932912105,3.74011842430776,-0.238058885694831,-0.733840920560835,-0.314256686320182,-0.738146159673795,-0.551249573860878,0.531458976723639,4.14520135319483,-0.332462410296886,-0.838932015368742,-0.600878520156144,-1.06760252611291,0.574216006763888,-1.13416579815298,-0.922173186551688,-0.903062389563732,0.696719911860534,0.72990568244432,-0.636407923967203,0.494780018290789,-1.57998295981579,1.73879082532044,-0.166666666666667,0.749643213431908,-2.15653375852851,0.714753957799375,-0.423760517493106,0.258948028126986,-0.936932630057045,-1.1971297396629,0.159467562075563,-0.551525726130304,-0.296538508613687,-0.0649121907974699,-0.0548035950649742,0.833235597509943,0.90536200733988,2.29812415556854,-0.825322581468796,-0.166666666666667,-0.411134717781726,-0.446285031478708,-0.412322396710836,-0.166666666666667,-0.497825170463361,-0.698736136418143,-2.55051282233549,0.762274534201335,-1.17129356765541,3.81650467724099,-0.166666666666667,-0.554979843666942,0.187631704532346,-0.381365078715437,-0.771533933814308,-0.65935738743907,-1.26882907946461,-0.240656802592653,-1.45784726159789,-1.36368951947021,-0.700228914320027,1.5967837742128,1.04386382220344,-1.21279872330581,-0.669083202762427,2.50993049774051,-0.232228527062725
"ACHX_As_3 (GE) - TPM",-0.302095468101697,-0.952990744272015,0.946973576464533,-0.441538259151882,1.74331216472377,-0.285718457222268,-1.10032045634075,0.389671557693692,-0.521186013166339,-0.0394866780834192,0.122281440759418,-0.651376949749703,-0.684380627163492,0.632601614830557,2.13953008574622,-0.240907026056446,0.214296306796822,-0.256962507681704,1.12610783707823,-0.186917704030294,-0.266020228877894,-0.745114923513015,-0.556940800111078,-1.04535979415613,0.467693614538,-0.282766131703172,-0.831049949593857,1.80337975785636,-0.773387617207804,-0.384312964231549,-0.605156605561215,3.55197734922867,0.150813011391359,0.236821934020487,1.13674587998947,-0.0362163140736986,-0.443345919091422,-0.460208365785241,0.235461511349782,-0.00677762814377553,-0.133255291133711,3.83777050341429,-0.426340257514011,1.28120792452141,-0.412131353874867,-1.12330019037317,0.0250764512445901,-0.928494343041673,-0.182137058199316,-0.516681293751434,-0.443522850122215,-0.430670172598634,0.24049464207368,0.742454174943555,-0.238058885694831,1.37147620638356,3.72100939873172,0.837917719884048,1.31469490836914,-0.494265619853997,-0.161778556065233,-0.112641034263256,0.313941562503861,-0.0817379127364556,-0.162140922303243,-0.232260831348496,0.862121051389782,-0.229838487589379,0.667274064676747,-0.785269796846493,0.327622828506067,0.0480304995571195,2.93253208013489,-1.57998295981579,-1.1580373726999,-0.166666666666667,-0.380591683405816,0.196012909532577,-0.0522849685547739,-0.423760517493106,-0.874929172522307,-0.70678717251858,0.283052406592569,-0.419330399856945,-0.329043509163649,-0.289033378349294,-0.320087406047237,0.00999540528897402,0.87326077073215,0.512025269754196,0.386373972046708,2.25034075356386,-0.166666666666667,1.20479074094754,0.243458950812398,-0.412322396710836,-0.166666666666667,-0.745414851380867,-0.698736136418143,1.00210108212685,-0.0677269809444494,-0.517648248781449,0.463769136446754,-0.166666666666667,0.0193460422064983,0.21445333051227,-1.14602996177349,0.990709628906971,1.12486316213307,1.25013142757114,-0.240656802592653,0.171595902055215,-0.0911529846297203,-0.700228914320027,0.476012093369084,-0.332886815041518,-0.291629104478728,-0.669083202762427,-0.00912316077146927,-0.232228527062725
"ACHX_Bs_1 (GE) - TPM",0.330806764735347,-0.440699468926753,0.102252002347058,-1.10370277617853,-0.637280591351002,-0.717976365315603,0.0693958824966086,-0.632324794376527,-1.25612329343215,-0.650464746239837,0.905693270605058,1.09659792821012,0.191534404237845,-0.0679656367896539,-1.61901660070948,0.369491904250729,0.0407339476874336,-0.543272091965997,-1.24358206694191,0.709640250760428,0.168806118462018,-0.287460658722536,-0.665459937412389,0.441686926130564,-0.305158583310025,-0.602463904194829,-0.40874428969512,-0.569607233408701,0.543517666426951,-0.682407611354779,-0.605156605561215,-0.342600470399294,-0.698134874505176,-1.28264892640362,1.0950576726109,-1.2807244599271,-1.0302642257056,1.14102980349587,1.59768942629168,-0.610065683455751,-0.173658336577393,-0.331262731374885,-0.426340257514011,0.483379753047817,-0.412131353874867,-1.32073556944231,-0.326459672821865,-0.872274008644815,0.00059332083867611,-0.767144111644488,0.0781084908880133,-0.430670172598634,-0.49343655814331,-0.106554077813448,-0.238058885694831,-0.733840920560835,-0.314256686320182,0.266490062305986,-0.551249573860878,0.548650507921688,-0.5770607455647,-0.321868436624528,-0.104051550111115,-0.600878520156144,-1.05425964168119,-0.409062704441276,0.774584956123897,0.401779207920999,-0.903062389563732,-1.23558573132685,1.11728171088673,-0.636407923967203,-0.972268981533368,0.735203831191881,-1.74821197578632,-0.166666666666667,-0.830567746543625,-0.0868531923597535,-0.909118206642734,-0.423760517493106,1.53813812318987,-0.0567178188760845,0.689906209357321,0.00346380143663789,-0.351226068645407,-0.350192254034382,-0.426051448225109,-0.255349289167553,-0.91782357206583,-0.376886255556007,-0.387905030472046,2.11547458397466,-0.166666666666667,-0.411134717781726,-0.446285031478708,-0.412322396710836,-0.166666666666667,-0.493096038472213,-0.698736136418143,-0.10045349828517,-0.994893595970098,0.328666415137592,-0.367855379397045,-0.166666666666667,-0.382885497244924,-1.32064058886339,-0.358094551267393,-0.0252812352160238,-0.65935738743907,1.62137746703105,-0.240656802592653,-0.938516273112686,-0.0363406120204155,-0.700228914320027,-0.12477993876509,0.117231160415807,-0.668900738998325,1.30611584055295,-0.147955671405941,-0.232228527062725
"ACHX_Bs_2 (GE) - TPM",0.207685372684691,-0.334898364864465,0.0322377758992844,0.169440731396369,-0.637280591351002,-0.561025482410277,0.662444896986271,-0.419424531707227,-1.61040076693898,-1.08480041600681,0.00827682690371028,0.810163853578252,-0.0805493331695496,0.462669041994079,-0.376384473111089,0.128245854347134,-0.188858569287745,-0.603220640822609,0.351088642707488,0.268068016654296,0.145631942280603,-0.257422630469345,-0.259265033080561,0.67545369538934,2.40341912720225,0.0202202707645456,0.0953423848710348,-0.569607233408701,-0.508574362413069,-0.682407611354779,-0.230479918393435,-0.342600470399294,-1.41193348394894,-1.24565387888438,-0.0551536428404582,-0.336304379326404,-1.46399494590171,-0.165801849035251,0.0562319918631558,-0.610065683455751,-0.168867683672829,-0.331262731374885,1.43897741941372,1.33718834485228,-0.412131353874867,-1.01704841674508,-0.111546607780914,0.663944073894208,0.208130728320716,-0.381892286138381,-0.248998975541695,-0.430670172598634,0.491092421276818,0.054056282824388,-0.238058885694831,-0.733840920560835,-0.314256686320182,-0.738146159673795,0.166280599634867,0.172483894718122,-0.5770607455647,-0.791922990381176,-0.838932015368742,-0.600878520156144,0.454199943602029,-0.000967659041628814,-0.878281791524634,0.675208858482986,-0.903062389563732,-0.729330799515646,0.433120239623619,-0.636407923967203,-0.173404942961844,-0.532483679793527,-1.11662717098317,-0.166666666666667,-0.504965240808056,-0.323172207275723,0.408828190373172,-0.423760517493106,0.9207357045691,-0.228931677801267,0.573680944788919,-0.127470171581308,-0.45681472096802,-0.496440124276639,-0.48259066940253,-0.446454216483347,-1.62518397889677,-0.55731474841399,-1.20170760707402,-0.825322581468796,-0.166666666666667,-0.411134717781726,-0.446285031478708,-0.412322396710836,-0.166666666666667,0.679671418848716,-0.276772783221185,0.513357619586297,-0.816627299862393,0.135740626067535,-0.545210152299382,-0.166666666666667,-0.924054567341719,-0.709871201514343,0.00494555375976675,0.698210733490232,0.712850728176693,-0.30018816566469,-0.240656802592653,0.839634631878018,-0.385007282126248,-0.286033133740173,-0.527462410840918,-0.446819924955491,-0.634623754351139,-0.669083202762427,-1.37812949011063,-0.232228527062725
"ACHX_Bs_3 (GE) - TPM",-0.193489616561891,0.270904657237714,0.021632947049811,-0.85160543089743,-0.637280591351002,-0.721440015814238,-0.667837163446511,0.20168405196594,-0.753894947973522,-0.654445516043655,1.34572022008498,-0.426211739967946,-0.271917818478789,0.420074852384432,-0.549325195711763,0.120086564287657,0.141972005632244,-0.646517502075365,-0.00308259054484413,-0.0245498815890386,-0.0659279939625935,-0.112480509092468,-0.318317127315328,0.761762035881744,-0.449323982318964,-0.83752745384159,-1.16852093038978,-0.569607233408701,0.0131543358414697,-0.682407611354779,1.62055473130602,-0.342600470399294,0.165115343532117,-0.936827690460037,-0.507281343622326,-0.0955441872049212,0.0903191509184563,0.425512787492603,1.65284316034676,-0.610065683455751,-0.879261796504715,-0.331262731374885,-0.426340257514011,-0.919294881832245,-0.412131353874867,-0.118063211603407,0.174057637472142,-0.708359942286189,1.2383071088776,-0.767144111644488,0.164487846696113,-0.430670172598634,-0.60388868014534,0.0447284120174744,-0.238058885694831,-0.733840920560835,-0.314256686320182,0.461922738714334,-0.551249573860878,-0.0342792575168201,0.0553593557038046,-0.0913882927295179,-0.546319568154516,-0.600878520156144,-0.202812448886154,0.98164213666304,0.132535058186562,0.39574505898476,0.121830045941085,-0.62608722343761,1.48314034961551,-0.115253119201303,-1.27012131490201,1.76173767100486,-0.141669247044873,-0.166666666666667,0.349946009295362,0.0503461477096404,-0.582907151876045,-0.423760517493106,1.33527960145902,-0.23597016821435,-0.195297500163047,0.166289281906076,-0.344426119379453,-0.334980339351186,-0.27577509466347,-0.106752420430375,-0.68930729167574,-0.0857748138979062,-0.123095626523202,0.345635003637056,-0.166666666666667,-0.411134717781726,-0.446285031478708,-0.412322396710836,-0.166666666666667,0.346865194000769,-0.280967671938081,-0.948834937597297,-0.288917250361293,-0.175877801729841,0.109271487142631,-0.166666666666667,0.537794723853077,-0.966737111806147,-0.369955953807067,0.749373263123192,-0.65935738743907,1.22460031660491,-0.240656802592653,-1.04427602521909,0.045696378850374,-0.290150803496122,1.32047109068774,-0.0749100949445477,-0.488027280142317,1.69035286669447,-0.694134908219004,-0.232228527062725
"ACHX_Ctrl_1 (GE) - TPM",1.57627516028411,0.282903952117505,-0.425078806834562,-0.594564867097194,-0.27119331619479,-0.13344945796428,-0.462176268619768,-0.194544462501892,-0.835199607415695,-0.329854271509496,0.462708193204007,-0.530266893013787,0.0673866339883744,0.638548551997241,0.55221853124785,-0.0347347413345864,-0.509280803308388,-0.382024964131348,0.487368452814729,1.21984789604223,1.23168111848009,-0.0858589114193893,-0.561909232788316,-0.168890767715954,0.0116294678786464,0.541813868332389,-1.08475645852382,1.37662029236915,-0.243885380935273,0.234411587386923,-0.605156605561215,2.05303041291667,-1.23948353480376,-0.965932812040623,-0.72027980980535,-0.816130000089208,-0.975689606241808,-0.247334430331153,1.21690087709488,0.503217114462433,-0.204498860850823,2.2331910369459,-0.426340257514011,-0.0169133791361229,-0.412131353874867,-0.531334243599905,1.0843690349953,1.92599078745636,-0.215857453632887,0.773501603082672,-0.37917925262071,-0.430670172598634,0.185425449785615,-0.0087018203658031,-0.238058885694831,-0.733840920560835,-0.314256686320182,2.49341275621391,0.596529320167176,-0.910165167931054,0.189283810927873,0.208318606984405,-0.129776960751288,-0.281544992352971,0.173497126027769,-1.08820059556797,0.707766747848887,-0.0704359970153463,0.200874323636884,0.907696353384543,1.64278654310363,0.205614960486776,-0.591601165450318,2.14358500923808,-0.115745630951427,-0.166666666666667,-0.891358660250466,-0.330327208886744,1.46262866229345,-0.423760517493106,-0.754710553540637,-0.653798697841765,0.725013594209002,0.909989292975373,0.378596648733844,0.183253699454058,0.0548115749126592,-0.245938237396681,-0.693482812993484,0.0873661509299651,-0.873431213457676,-0.352347434569292,-0.166666666666667,-0.411134717781726,0.402264958216199,-0.412322396710836,-0.166666666666667,-0.256421438291377,-0.192498926309648,0.126450452396193,-0.709734449294264,-0.447567563877506,-0.156599875530432,-0.166666666666667,-0.898436151585027,-0.883534726372418,0.946027149814182,1.89524398417765,2.0844148842423,-0.106732724821159,-0.240656802592653,0.296181789211814,0.771116144320323,-0.368950040911144,-0.222754437722129,0.539441025080899,0.0609972714291324,-0.351407414386897,-0.525540989470672,-0.232228527062725
"ACHX_Ctrl_2 (GE) - TPM",1.31637055993108,0.361014837247333,-0.062593044977845,0.845036223543694,-0.491321334775842,-0.0159876214220249,1.61709233205495,-0.0849619747269557,-0.952277173510821,0.660394853031471,0.239227929341109,0.328539560660728,0.0840418949640122,0.337644139555099,1.14477304858947,1.84992390984631,0.658756835083724,0.396082093436823,-0.44448278145077,1.48930795920331,1.96014279993193,1.12412095407634,-0.409865876636264,0.948371303090862,1.52902329436922,-0.268896833462181,0.106360370323498,2.14626080574923,0.239954387530261,-0.389978439655273,0.111717674185349,-0.342600470399294,0.227499045368696,-1.36659171890789,-0.289504911010577,-0.231831100250162,0.371631804064289,0.364438997820762,-0.670821053507624,-0.0182434945918947,0.527151627872512,-0.331262731374885,1.95295247494011,-0.199734589976364,-0.11695974728893,-0.207058340182358,0.28492381855422,1.27502499069403,0.929932863942369,-0.521441495251555,0.471046661080741,2.66462283119802,-0.0619949823949584,-0.485290243680638,-0.238058885694831,-0.389623543376396,-0.314256686320182,0.292593708170473,-0.551249573860878,-0.264409406261871,1.05249722186166,-0.519005783595647,0.951758603325925,-0.346241512268544,0.940795844604997,-0.126249553880914,-0.562981498235358,0.0965914803741655,-0.462922038810513,-0.226848472799045,1.92636502030902,0.202879880287485,-0.45163318035888,0.275753531945012,0.833681420203567,5.83333333333333,-0.0209455393434296,0.187481262775822,0.246636100892921,-0.423760517493106,0.406015320922021,-0.259618433449329,0.900276335622989,1.2942170491767,0.341169514529774,0.295902784674034,0.00116765784578248,0.0263110012632864,0.119357752875186,0.159357282257305,0.0839159861031368,0.871857161829305,-0.166666666666667,-0.411134717781726,0.230349935282955,0.507445111975848,-0.166666666666667,0.673746057220869,0.915960946678787,0.11550733501553,0.0283447938516203,0.880618051820134,0.546990721196695,5.83333333333333,-0.0157703420912903,-0.435979774036979,-0.512984057459769,1.67153608174527,0.434586566329882,0.584485487427417,0.425362049675402,-0.392197542520027,-0.1720815720999,0.488501185163763,0.249817600792977,2.68280097015331,0.277967523478131,2.87732854424002,0.520310004466771,-0.232228527062725
"ACHX_Ctrl_3 (GE) - TPM",0.0306063765118778,-0.585371729159851,-0.21876958038998,-0.649370921168691,1.81281850364875,-0.659918128993978,-0.604163584186147,0.398349337347404,-0.777102659808337,-0.113664957535408,0.672701520931328,1.89455806988291,1.28457762208968,0.924895859858974,0.182719734398644,1.24554896100672,1.39170037964734,0.939805736096888,-0.430622763631298,1.68811633362501,1.44157897552642,-0.555182523919492,0.609076196223726,-0.559310800319359,0.00292534778085769,-1.10238625602405,-0.720509458581926,-0.569607233408701,-0.0646315154170005,-0.682407611354779,0.0633758583682694,-0.342600470399294,-0.0367678655868341,-0.166324377793318,-0.396343388172392,1.04407070220985,-1.30837287313076,0.246481461619206,-0.482513901294944,-0.610065683455751,-0.422454947671294,-0.331262731374885,-0.426340257514011,0.0872611384797382,2.89107212201507,-0.507935912957159,1.21963368697034,1.92196149913707,2.01613738207958,1.63876148368652,0.642134796517871,-0.430670172598634,-0.257398478242857,1.06897895443124,-0.238058885694831,1.19219127843823,-0.314256686320182,1.42462761412098,-0.551249573860878,-0.684156608138683,-0.5770607455647,-0.231353868463382,-0.311583521253658,0.111518803218698,0.190052962281428,-0.15296421064105,0.235549256130134,-0.922173186551688,-0.903062389563732,2.08792243085441,0.783025226855417,-0.636407923967203,-0.22415685445934,1.7427622381719,-0.403163938071082,-0.166666666666667,-0.0397564487485544,0.659868620928887,-0.909118206642734,1.09621698002982,0.873423733957281,0.326347530544932,-0.0686859391041282,0.561796017622501,0.566925524354682,0.618495211366313,0.431851564970934,0.164926152238471,-0.248514503430728,1.39587978657628,0.692937302435705,1.28498655229828,-0.166666666666667,4.02381395422124,-0.446285031478708,0.874293240181728,5.83333333333333,-0.642456628286839,0.807075203160994,0.703269755748572,0.277422625959111,1.69902045207663,-0.407018628402505,-0.166666666666667,-0.445333564353827,-0.236208472466526,-0.47053116828247,0.269201916091109,-0.65935738743907,-0.577493938565322,-0.240656802592653,-0.339835172246046,-0.411187063601843,0.777863195429352,0.719302371458201,0.527840318711573,0.637149017114627,1.45701408292449,0.621942003189227,4.94658052568819
"ACHX_Li_1 (GE) - TPM",-2.11111329076344,-0.952990744272015,-1.03450051372033,-1.10370277617853,-0.637280591351002,0.624608748647004,0.905319806752285,-0.0144166425389854,-0.907746542481212,-1.52388552164304,-1.35629802609491,-0.559292429159189,-1.25477015281091,0.257227924264555,0.385918847008489,0.163963229262655,2.09671146301591,1.71517833397382,-0.460003531297922,-0.115127851996762,0.239236063587613,-0.533895436397006,0.675998168716267,1.90360789310961,-1.01307967558502,1.56803469756,0.750080615594247,-0.569607233408701,-0.773387617207804,2.47183554064925,-0.605156605561215,-0.342600470399294,-0.931299086653637,-0.243426209616914,-0.622680656762882,-0.52828368386155,0.935970024435958,1.41043657231494,-2.47531961558312,-0.610065683455751,-1.05465883264554,-0.331262731374885,-0.426340257514011,-0.919294881832245,-0.412131353874867,-1.32073556944231,-1.5504166341319,-1.64307141907682,2.45302855799045,-0.767144111644488,-1.13408347784848,-0.430670172598634,-1.03580932912105,-0.884232981071197,-0.238058885694831,-0.733840920560835,-0.314256686320182,-0.738146159673795,-0.551249573860878,2.61548264771922,-0.5770607455647,0.132297049303383,1.19422737475209,-0.600878520156144,0.664553601772676,1.35968045390753,-1.13416579815298,-0.922173186551688,0.283814485102236,-1.51447939121286,-0.506531389618339,-0.636407923967203,-0.0979226745899487,0.822011644296823,-2.78580751117615,-0.166666666666667,1.64662446846453,-0.425805916055674,-0.909118206642734,-0.423760517493106,-1.18098288338384,-0.936932630057045,0.543128275979882,-0.764149535279037,-0.825673950594307,-0.681278797792838,-0.589051097813859,-1.08166219235449,-1.05650498193592,-0.908454280918707,-1.74917748947097,-0.825322581468796,-0.166666666666667,-0.411134717781726,-0.446285031478708,-0.412322396710836,-0.166666666666667,0.441274242459121,-0.698736136418143,0.138093038600259,-0.994893595970098,-1.17129356765541,-0.438364297630179,-0.166666666666667,0.837705636879919,0.251785133614478,0.639517008823556,0.919449136807882,-0.65935738743907,-0.602479146983657,-0.240656802592653,0.697365848857113,1.08451988156233,-0.700228914320027,-1.583326132178,-0.826274340930842,-0.340180376470077,-0.669083202762427,0.0576919647046214,-0.232228527062725
