"","SP5448_RS01980","SP5448_RS01985","SP5448_RS01990","SP5448_RS01995","SP5448_RS02000","SP5448_RS02005","SP5448_RS02010","SP5448_RS02015","SP5448_RS02020","SP5448_RS02025","SP5448_RS02030","SP5448_RS02035","SP5448_RS02040","SP5448_RS04450","SP5448_RS04455","SP5448_RS04460","SP5448_RS05925","SP5448_RS07455","SP5448_RS08090"
"SPYO_As_1 (GE) - TPM",1.21658017592435,1.23869312549247,0.893463123016472,0.914609229693244,0.686977651161977,0.720322851062781,0.582309786168593,0.530462495199091,0.451369617253107,0.514641688795332,0.646624932539944,0.754791474328528,0.590383855805764,-1.16589245130505,-1.05887711368202,-0.502725300077687,0.166903618934208,0.731081082299423,1.68969019041525
"SPYO_As_2 (GE) - TPM",1.29183584627747,1.02779124791564,0.880250017914966,0.665434009991569,0.844323558239226,0.768394728398396,0.40066318778403,0.562411585060642,0.439433319502072,0.565801217913533,0.685783748006373,0.879262533729739,0.726111719636019,-0.79446183672822,-1.0000388290425,-0.814338091352544,-0.0206965918146544,0.740919917089106,1.35686542292979
"SPYO_As_3 (GE) - TPM",1.52057425381096,1.20583903856937,0.800607836879576,0.720126561476265,0.541864905280741,0.273453810915675,0.223027335529982,0.22058357788297,0.287461991146664,0.165354548167041,0.303770221010267,0.500225533860606,0.233331455569268,-0.532882242749681,-0.695929101894367,-0.286635083412262,0.730786366127117,-0.287378078931317,0.797347095001088
"SPYO_Bs_1 (GE) - TPM",0.0201994764411181,0.312884788394308,0.112051453025781,-0.398420936864505,1.44951299475477,0.898839275359597,1.31295354045925,1.5467065525145,0.869025575284767,1.06211539046858,0.966837675575516,0.851478592595208,0.131273497933599,-0.914771687809103,-0.798971045823957,-1.34719597832735,-1.25945802912281,-0.365534471410608,0.477140538766188
"SPYO_Bs_2 (GE) - TPM",0.198121107620095,-0.100013056944223,-0.18555419365725,-0.414562588972177,0.104811147728013,0.0951690719773156,0.483590209942725,0.370461184362612,0.272112506849735,-0.0424769951755791,-0.056584576532063,-0.168241283201173,-0.308330641274954,-0.523860773911775,-0.285348852918298,-1.20664943688778,-0.972673141892226,-0.0622583025383001,0.164163154976528
"SPYO_Bs_3 (GE) - TPM",0.197608562365455,0.134052746140705,0.08625151208665,-0.414248326975429,1.09644167977993,1.15535659164909,1.39124979624455,1.43409415682369,1.26672346212602,1.08909837087007,0.818806582147986,0.711954507841541,0.219110494613077,-0.862385766386862,-0.696968731267178,-1.31239007925926,-1.23834724188652,-0.331151881242696,0.662806172801745
"SPYO_Ctrl_1 (GE) - TPM",0.805904725668471,1.25404522204279,1.26546603235482,1.29302680501223,1.14255397103993,1.39581670454361,1.19227947526393,1.11844169581446,1.48531021239453,1.18807206705379,1.54183407369273,1.4944133338684,1.52526524775006,-1.16549249597246,-0.893176949586561,-0.663621017186821,-0.0146070341834246,1.00348826866035,0.604794306443426
"SPYO_Ctrl_2 (GE) - TPM",1.09075309343678,1.38729891947124,1.41448448910645,1.50344327904931,1.63454088697065,1.5187693893288,1.40380086016893,1.21930258822651,1.06581317782618,1.55819338009959,1.606064624508,1.27984896099837,1.56456311838508,-1.44777762603355,-1.22582185565752,-0.804190213181574,0.10939480713442,2.32844297783968,1.17585047913123
"SPYO_Ctrl_3 (GE) - TPM",0.892855752803918,1.43257430775714,1.24490449779038,1.61578385176036,1.51486824785198,1.27675414675707,1.41289099320158,1.2115269127811,1.18741761527579,1.29232699905544,1.43521682021002,1.25905383270004,1.52698966757162,-1.33001327640987,-1.10533285279043,-0.744527434997964,-0.0735367677642065,1.09367963584066,0.789601569074772
"SPYO_Li_1 (GE) - TPM",-0.83980341065272,-0.811383002457649,-0.872419681782859,-0.894172802202989,-0.839097854534965,-1.0020482682265,-1.0633605007824,-1.18053943996555,-1.1609665396618,-1.18879965212179,-1.21857411792027,-1.23110987714501,-1.21666008148133,-0.141601679553353,0.110448548012857,-0.0281536148750665,0.993533059972766,0.0754430797629689,-0.621881345710549
"SPYO_Li_2 (GE) - TPM",-1.05607556435544,-1.10633089387161,-1.11500505364549,-1.04457892772068,-1.20150417553497,-1.24089520366123,-1.21155202502078,-1.28285296401338,-1.25967091722529,-1.24870154178439,-1.29791270541226,-1.29010703864755,-1.22768173134986,0.496569748026274,0.555699557152474,-0.0389291921868536,1.60541999973669,0.326339131343957,-1.19628337698748
"SPYO_Li_3 (GE) - TPM",-1.12423106076785,-1.17291671077378,-1.20755689225529,-1.03146896632095,-1.22406224778053,-1.2602811541523,-1.25541769512384,-1.26224455035265,-1.24120043880562,-1.25218796856428,-1.27497090312667,-1.2619132754252,-1.22465834341183,0.212840558420895,0.506854617428327,0.248062964955563,1.24152885829444,0.178749062020639,-1.317254172241
