"","SP5448_RS00820","SP5448_RS00935","SP5448_RS03065","SP5448_RS03070","SP5448_RS03280","SP5448_RS05245","SP5448_RS05250","SP5448_RS05255","SP5448_RS05260","SP5448_RS05380","SP5448_RS06220","SP5448_RS06605","SP5448_RS06950","SP5448_RS06955","SP5448_RS06960","SP5448_RS07215","SP5448_RS07220","SP5448_RS09525","SP5448_RS08425","SP5448_RS08430","SP5448_RS08435","SP5448_RS08440","SP5448_RS08445","SP5448_RS08910"
"SPYO_As_1 (GE) - TPM",0.265778050443303,0.413159358841471,0.404164765882378,1.16502327501181,-0.706820538395317,1.74423349841943,0.319301404777532,0.707268029858649,0.891968872116285,0.671752067947769,1.94526302047108,0.548923057763078,1.69923490772411,1.60527216835996,0.567856640233653,1.92691799435627,0.899624053675083,0.922065126378334,1.12428161332299,0.909618900412373,1.29741433473332,0.72787417278143,0.0386772206362273,-0.14037061376777
"SPYO_As_2 (GE) - TPM",0.662891597632929,0.619718153049314,1.05857912134691,1.54520298190037,-0.85909184808419,1.38662751541351,1.21000709402641,0.701407292281676,0.769556643753699,0.742242241432177,0.865638051298769,1.52510833766974,2.06554612313027,1.49011937316121,0.53797919098899,1.23517304329491,2.56602092621049,1.69217942748444,1.58423101846801,1.63050898832816,1.48500032627452,0.980654446960814,0.119863567297698,-0.261834653551862
"SPYO_As_3 (GE) - TPM",0.799573640244503,-0.324543276347376,0.754672803943151,0.641045217711831,-0.303685840478859,0.442669773221709,-0.0250830756939888,-0.164051506176102,0.141029317852475,0.0903209844781875,0.691675358002834,0.788682754063467,1.75432860741648,1.13019784540561,0.369076559246618,0.931669219480795,0.905571820708075,0.917165949733208,0.710211521932943,0.969497083279438,1.24371031045889,0.420573531307491,0.095485597265314,-0.121077039030232
"SPYO_Bs_1 (GE) - TPM",0.331429914015082,0.787839547975566,0.523804815298092,0.402708553927628,-0.858758228833543,0.0166594113309113,0.802841923339555,0.858592333093709,1.17516992430471,1.1961619404513,1.28303883508984,1.11085100235809,-0.11472281805452,0.0836201024898648,1.01804261171393,1.40364659545982,1.6632752560994,0.5176539541647,0.743268298157704,0.973691055241231,1.36415230689351,1.68299213411499,1.26548886736345,0.868654323176388
"SPYO_Bs_2 (GE) - TPM",1.21967532167359,-0.104746719121312,-0.506299747689783,-0.736327165800806,-0.93470429309311,-0.0939245808382829,-0.94471270926143,-0.884739107867528,0.325870177098259,0.246535484569059,0.521727441457589,-0.589898629448999,-0.765536342804753,-0.855225747432163,-0.127393974562019,-0.232498691683477,0.0837581363221948,-0.0106347664380052,0.152502588743386,0.429823231584357,0.530652635181377,0.5076376628436,1.15098248757802,0.841023512053856
"SPYO_Bs_3 (GE) - TPM",0.374277406102357,0.840422417069034,0.258465852761727,0.585259507746327,-0.963696879805689,-0.0556225517283696,0.57201153828438,0.337210085940745,1.5209697813427,1.69029554528099,1.35838189333437,1.22103285588597,-0.108196699689821,0.565222271306147,0.967641314427037,1.87809168030024,2.25065363529603,0.308913262678787,1.03243388790323,0.474758110972414,1.2562389740167,1.47034481311128,1.26605333653705,0.980119465656927
"SPYO_Ctrl_1 (GE) - TPM",1.26445859001982,-0.018075459569121,0.333779950413247,-0.341542894272423,-0.263260624042063,-0.137693455834939,-0.612742333185202,-0.311867075675346,0.326776740426692,-0.291308856911843,-0.638447316785231,-0.819960701421881,-0.287602430587721,-0.215988808290425,-0.0825445915218042,-0.548229595024661,0.00643533929512416,0.246448275433144,0.740434557562277,0.00118508407264133,0.075152902704905,0.272025348982849,0.767786191436014,-0.215588326472641
"SPYO_Ctrl_2 (GE) - TPM",0.349309521498525,0.35908095899704,0.128148028422531,-0.159116230663507,-0.258024578183454,-0.487831044649402,-0.225460474801911,0.307547243395884,0.710047836425349,0.103440435445018,0.00559786573284678,-0.547385814532158,0.505379731535844,0.414964353214062,0.455042955238467,-0.242266150504177,-0.936731225139346,-0.00353078981276,-0.272686958602733,-0.305845362523595,-0.05656366548757,0.484063887319926,0.180125555851742,-0.187446217160406
"SPYO_Ctrl_3 (GE) - TPM",1.07921180963354,0.0777485063499218,-0.130685878669751,-0.308960066596894,-0.306054588227553,-0.195892932656141,-0.260373023404914,-0.0310855685211118,0.600506452378716,-0.426123872597601,0.0922262738803028,-0.675080436097376,0.0853791256100899,0.514059565283572,0.490412566802883,0.164216828831455,-0.371341082183553,0.0786240929581757,-0.365730602353428,-0.0539012650867507,-0.0174591577333204,0.206825088932568,0.399660825280645,-0.0473035916165674
"SPYO_Li_1 (GE) - TPM",1.51332143226211,2.02940946995459,2.02823132499689,2.25197819491165,-0.769357114276253,1.70521677457289,2.37500455472949,2.64055606841374,3.00729281681457,1.6041629166569,1.12666601224347,1.41751906279865,1.57021746893854,2.28772816936837,2.57373263068835,0.932812862630306,1.25590782120249,0.856706779769509,2.06218355283363,1.68335690607156,1.55566284707739,1.8577126234672,2.12653542801248,2.08531744815867
"SPYO_Li_2 (GE) - TPM",1.70369870880376,1.61987877433581,1.93126120180394,1.28625318583279,-1.00517821628212,1.22168688201421,0.438370947521573,1.3093407968951,1.09090891698234,1.43684703678878,0.248083644847659,1.14760923944365,0.971033153749967,0.839871107661923,1.21265554628518,0.14099054560595,0.806604540814906,0.698270646301063,1.33210086260979,1.74717227251134,1.27794939425832,0.552542530197179,0.965667108984521,2.08450286693337
"SPYO_Li_3 (GE) - TPM",1.14766670917693,1.55356846997462,2.06279357335604,0.898704489572341,-0.852137129619686,1.88703662663393,1.17413936555303,1.88152783890284,2.04352347456699,1.38778693391833,1.54089412365043,1.15852167629558,1.33016914277915,1.63973486509072,2.24248586091482,1.4074166235206,1.25470222540165,1.01652451191876,1.88947795407109,1.89815233215019,1.32934857208536,1.01987461973985,1.36973913650255,2.33222157362731
"SPYO_Mig_1 (GE) - TPM",-1.23759655937689,-0.0406017254526114,-1.44275326232069,-0.849044601390457,2.01908798570406,-1.23439564287447,0.556845655222528,-0.0656653329428713,-0.727721211403313,-1.07099753737144,-0.669534783926808,-0.569428860896704,-1.38413075115544,-0.872774431574005,-0.560176575577091,0.101275656587905,-0.273347891162835,-0.424533974035317,-0.724052625752714,-1.05184495825611,-0.774858245433766,-0.750628469735104,-1.00722245792172,-1.4353208031787
"SPYO_Mig_2 (GE) - TPM",-0.990342227723983,0.220252748590494,-0.830373288886992,-1.16012877287576,1.51735694290863,-0.601012014923431,0.32448183592212,0.141870791720025,-0.85299042711324,-1.12992948251501,-0.000885247427944587,-0.790012991580905,-0.511291217631691,-1.17221409195392,-0.707935465993346,-0.611508650575974,-1.05076719819,-0.736190706720637,-1.15366890538564,-1.38184183432241,-1.10506010740836,-0.910068217521,-1.36986907330444,-1.45075823779904
"SPYO_Mig_3 (GE) - TPM",-0.970519183211778,0.466206908164896,-1.95671166457327,-1.2744060883876,0.75815189149908,-0.949435234473061,0.117043462816246,-0.632012463835027,-0.662967489231119,-1.25994608473535,-0.721355618343145,-1.58267288473872,-2.09542763408935,-1.39125002354917,-1.25459854836981,-1.28003538063673,-1.64362977274118,-1.98275772584089,-1.23196443366269,-1.21037141445453,-1.39419083817407,-1.05718382870242,-1.48535059958971,-1.11221955768135
"SPYO_Nd_1 (GE) - TPM",-0.0778826362662057,-0.403548590482607,0.315897055956094,0.574739172998493,-0.507467889314592,0.564085432517221,0.557752361072813,0.736061809150576,-0.419373093688709,0.837011707180195,0.925152719599335,0.821122419259111,0.870027986130006,0.523272926441632,-0.00173834628555767,0.403503929290522,-0.225496542805606,1.23265756444008,0.32563907027313,0.860539657205769,0.521800253532653,0.395623865306836,0.348429788352222,0.388242289202165
"SPYO_Nd_2 (GE) - TPM",-0.305227439247322,-0.634053526703297,-0.101625315134765,0.590414228906313,-0.378083238407495,0.689898987999906,1.55727534899419,0.915673433954246,0.0436626427692879,0.675969740800942,1.0651511775074,0.717021494070417,1.6914119046712,0.568618443857769,0.0474925258385492,-0.122902051728893,0.414402398673848,1.09135209499692,0.354409437572178,0.667956257356393,0.614431557368527,1.16928256767302,0.0145153818780504,0.531091169277726
"SPYO_Nd_3 (GE) - TPM",-0.620554412623733,-0.51114436282855,0.108691411844679,0.5719343694311,-0.108431387332922,0.548912701713728,0.869193732567394,0.849353620801097,0.042609119588278,0.61285761616323,0.884272032521766,1.35930879774262,0.328892567409237,0.83075161940634,0.0845978115188504,-0.047280257330024,0.0973093159123493,1.09401207704016,0.465458658615206,0.923081105140376,0.603345748109513,0.423777338830315,0.549647948533222,0.351186861971865
"SPYO_Ns_1 (GE) - TPM",0.942052174829118,1.11316749758009,1.14711858106463,1.24653930170122,-0.554288722464468,0.039878031095024,0.127173052664426,1.01198492996108,0.807250486895956,0.874833311952725,0.646788260574826,0.351127817540646,0.230815867614181,1.22378699048832,1.65707924787549,1.14328981019337,0.520116767254651,1.3407643992102,0.395062732614292,0.45126127771197,-0.0292516202371015,0.341093244645967,1.08719224648003,0.207349160340406
"SPYO_Ns_2 (GE) - TPM",1.2591139924525,0.00540733284487991,0.421699434605272,-0.535628583616631,-0.645460246767165,-0.43461390562561,-0.84374980265825,-1.00389949446944,-0.776300966900836,-0.146612671280009,-0.379458113404129,-0.830216630786598,-0.380400121276737,0.240719864572537,0.369687936901083,-0.382450518941051,-0.610367707120965,0.204835780545826,-0.619707499665232,-0.12742241970271,-0.142641598192101,-0.0522726275624667,0.481054145424295,0.398098856263576
"SPYO_Ns_3 (GE) - TPM",1.29486902945961,-0.0827897690583913,0.826335182902405,0.219937011358932,-0.421564912902337,0.0371790093641523,-0.886461211566686,-0.872152816420839,-0.555652271928144,0.201120149708799,0.33005246376232,-0.859114475197879,0.0698056298752644,0.296104413402583,0.381280731766769,-0.727158617108536,-0.0491848739113169,-0.0472370847326836,-0.272986302836062,-0.169672680144951,-0.649487736314609,-0.561630329704384,0.441806228857263,0.324822139147064
"SPYO_Oss_1 (GE) - TPM",-1.13305022605901,0.24054623313001,-0.43212709981192,-0.166226193808457,1.48422385848313,0.506797956477409,-0.432423260543755,-0.594274593246631,0.104438420138517,-1.16598716516585,0.0814534275954708,-0.325798717119092,-0.796413321249179,-1.16817495732167,-1.67544109855317,-1.1123772568421,-1.26009039522028,-1.37975984073759,-0.862806916789772,-0.835365078921182,-1.14440750515376,-1.45350915645524,-1.19532815705664,-0.726892576763284
