"","NMC_RS00210","NMC_RS00215","NMC_RS11560","NMC_RS00680","NMC_RS00685","NMC_RS00700","NMC_RS00710","NMC_RS00715","NMC_RS00720","NMC_RS01005","NMC_RS01190","NMC_RS01720","NMC_RS01995","NMC_RS11860","NMC_RS02600","NMC_RS02610","NMC_RS02725","NMC_RS02930","NMC_RS02935","NMC_RS11980","NMC_RS03105","NMC_RS12035","NMC_RS03385","NMC_RS03725","NMC_RS12115","NMC_RS03900","NMC_RS04305","NMC_RS04605","NMC_RS04940","NMC_RS12280","NMC_RS05390","NMC_RS05480","NMC_RS05885","NMC_RS05975","NMC_RS06705","NMC_RS12500","NMC_RS07055","NMC_RS07355","NMC_RS07430","NMC_RS12700","NMC_RS07825","NMC_RS07865","NMC_RS08075","NMC_RS08090","NMC_RS08295","NMC_RS08490","NMC_RS13015","NMC_RS13020","NMC_RS09725","NMC_RS10045","NMC_RS10050","NMC_RS10055","NMC_RS10290","NMC_RS13210","NMC_RS10785","NMC_RS10795"
"NMEN_As_1 (GE) - TPM",0.45985584870149,0.855105596320214,-0.0230821195691692,0.173537606250674,0.115234668489243,-0.462653332852621,-0.540681062356857,-0.620272901270759,-0.425293493855524,0.24294470085671,0.559601820006467,1.70032292920782,-0.357049530662661,0.679295368009078,2.09412290876042,0.68715487240813,1.83976002994727,0.563145980360109,0.125642113458153,0.0366258006990961,-0.44264760158172,-0.15522452087521,1.2037286557538,1.49805397755985,3.84744766139137,1.27084606111366,1.03680069571044,-0.424702523750656,-0.692151567444309,-0.166666666666667,0.432861564036417,-0.115296632234715,0.278503953344809,-0.556184457242845,0.981261101918031,2.71020774938344,-0.62735021707152,0.113889916311001,-0.390133707559312,-0.166666666666667,-0.745227651061957,-0.921546949687056,-0.760624196045065,0.0417411418472413,0.891164347762671,0.0050689899443785,1.32777508090893,-0.239165810480528,0.748445867664372,-0.068299640868514,-0.344216691998112,0.256275554818269,-0.268402170045251,-0.166666666666667,1.48021419721708,1.05513087686912
"NMEN_As_2 (GE) - TPM",0.820805215391506,0.451922669660987,0.110130202065675,0.133953689508412,0.251376480249202,-0.317049865714256,0.0690670292425758,0.0130374009813062,-0.0689303919048298,-0.211073944508785,0.85977914324355,1.8777663407497,-0.420534289763945,0.403119171841578,1.36405549807186,0.956228364249417,0.74623558886361,0.479646158838707,0.818878405386292,-0.950335603997594,-0.724839057865583,-0.509358383299174,-0.258618552062338,1.42400709202883,1.396522014911,1.54132417075722,0.497636707960806,0.764682374981586,-0.388159744671567,-0.166666666666667,1.88273406893132,1.75925489713818,0.624918976489976,-0.413885654806308,1.74690467167595,0.715511765757952,0.572321110910268,0.830395001834996,-0.134568289342706,-0.166666666666667,-0.589313446585644,-0.337464228849288,-0.494846483033671,1.10320574681531,0.506340862227288,0.0671337063646865,0.0266449529097268,-0.239165810480528,1.46989693845149,-0.0127410215597193,0.125068772272362,0.527932294194539,0.461503050658651,-0.166666666666667,2.13689410113655,0.98908095402686
"NMEN_As_3 (GE) - TPM",0.713176432252406,-0.167574280767665,0.483311864157681,0.212419668901284,-0.0121538789188513,-0.576758402716888,0.274287709919631,0.104567707891383,-0.263459267608553,0.665267236227039,-0.854272757147044,2.54228613901719,-0.369102075813205,0.922656552613779,1.33407251632328,2.55043275436976,2.55291386217576,1.32680525706216,-0.150081967998167,0.883397744377385,-0.467147702701104,0.540953876558977,-0.902928830571559,0.536561176210112,1.24082194503527,1.27982189834481,1.50629608849036,-0.76363597347853,-0.784072410631121,-0.166666666666667,0.729628035292245,0.084057899027521,0.482788560007445,-0.600926067616187,2.16676027698705,2.47672792169757,0.220064656036505,1.53628596242992,0.479751634787753,-0.166666666666667,-0.138540114131701,-0.975002809374633,-0.332196892589049,1.07979652960099,0.692388118386629,0.0102056885668945,1.33976706531438,-0.239165810480528,1.88670370961153,-0.375716386545522,-0.232103285233949,0.286321781511317,0.0686193056751026,-0.166666666666667,2.87478475944728,1.46247825390716
"NMEN_Bs_1 (GE) - TPM",1.86140718838597,3.2285169364726,3.25515413182499,2.27579648382818,2.66981218030079,2.73720605532052,1.7997272796477,2.23309542800067,2.87281589279013,3.17589100345807,1.35509927235046,1.65169449360336,3.69745190302819,2.26359260959399,1.23747968174561,2.1911111788902,0.848649568154493,1.9913667064244,2.39948812310248,1.7476887979775,1.91145053071626,3.11493696333734,3.12957029586509,2.76129471492782,1.24097432730632,1.37184549273568,1.84587882069959,2.05393118195539,2.35656606054267,5.83333333333333,2.02671772371226,0.288706421018628,2.55392636558143,2.69841063944085,1.70127169449945,1.87935903978218,1.81587145477297,1.85376957295255,3.17580400599013,-0.166666666666667,3.49250924559028,2.20585052536081,2.25622890276455,3.05483187958398,3.16165525277503,2.51815115030664,2.00166123821725,0.760121633549872,1.06813897933207,2.35937667479874,2.22091916088382,2.35381798612419,1.57795564696764,-0.166666666666667,1.62389923103777,2.94450311353319
"NMEN_Bs_2 (GE) - TPM",2.02220345840412,2.39572275183277,3.41777775600566,2.56264841713787,2.6134608182898,2.42328251625872,1.34335598778216,2.05422606295741,2.47465940064223,2.26712163028975,3.20346139890734,1.46711525925775,2.21397410042592,2.68644397943308,1.36031138299134,1.39768620098702,0.512091929252772,2.4511554945195,3.59157496348384,0.71365012136225,2.41902247802835,2.38131640637721,1.84417918208362,1.64048795139596,1.01593212121038,0.630001359345959,2.04573501585235,2.17750438366514,2.65367023609159,-0.166666666666667,1.44091097698567,1.25245468165573,2.79509434699655,3.1369002006551,1.725608935983,0.393352151408949,2.20663698640467,1.47081138909069,1.96024149330285,-0.166666666666667,2.91779025554909,1.99129555376508,1.5524185910778,2.52697566501541,2.16604549449429,1.97287332113419,0.857315864426065,5.4502393647895,1.282596218136,2.4997276789764,2.19989076514184,2.52061862194427,2.2748042390943,-0.166666666666667,1.94801336713887,1.53741194798671
"NMEN_Bs_3 (GE) - TPM",1.2518657882483,2.18706319699651,1.13242885579049,2.67917938484222,3.55610052081709,3.16521278999719,1.56839651142967,2.79549588966721,3.29911079049289,2.43245081236173,1.03758839631372,1.29673796290252,2.23868828027537,2.14087730773432,2.00139669799339,0.953546109449637,0.212990029445604,2.00150770338913,2.29526631410872,2.35114644048249,1.27131774357927,2.37744881481704,3.2448967982187,2.31540621230605,1.51122345816136,1.31301278661529,1.26120585591616,2.98578923943174,2.28689838502164,-0.166666666666667,1.64667120366769,0.903357804979576,1.6350957059673,2.6206464036196,2.00040409017085,1.78495206971072,2.23882412314096,0.870383538936116,1.60216141733083,5.83333333333333,2.61551555051101,2.8127739441944,2.70989475603771,2.42487567286912,2.97991804878164,1.89533256215173,1.17111057811606,-0.239165810480528,1.86506522586578,4.00242769175814,2.94619744477061,3.22197434997822,3.60086858680905,5.83333333333333,0.721919482055884,1.48445100084415
"NMEN_Ctrl_1 (GE) - TPM",0.117686778526821,-1.25971452002075,0.405354889794935,0.321829607396945,0.257816422628071,-0.259524262265584,-0.0587241791291624,-0.459275628980054,-0.58049077831841,0.233188794035582,2.0255920378866,0.227464866289339,-0.905984474810481,0.096301603585608,-0.751651456818671,-0.182130278434483,-0.410010237068126,0.673988271337155,0.120821548111773,0.151475079834452,-0.851344860574431,-0.653052916862788,-0.241034231889045,-0.481303074346756,-0.85886125372578,-0.574899157161874,0.309353065676846,-1.17931408036884,-0.211461197877873,-0.166666666666667,-0.57061809345513,0.25335076525604,0.196306061785698,-0.251367733290465,-0.416856854205207,-0.499619812129267,1.0244670264658,-0.254243158963389,-0.0443204560535716,-0.166666666666667,-0.117814389983692,0.264850065600854,-0.342402830805146,-0.873947853221153,-0.0905532173230692,-0.438795871532451,-0.521510401825968,-0.239165810480528,-0.481170862848825,-0.221412946400392,-0.368995793976266,-0.293741738465754,-0.968050497312577,-0.166666666666667,-0.624079532609015,-0.100810707788117
"NMEN_Ctrl_2 (GE) - TPM",1.23429616505053,-1.25971452002075,-1.22014527253105,0.510719088880699,0.0969923129281064,-0.81835125394831,-0.339576518434455,-0.793354490186431,-0.630757106154817,-0.705767912225476,0.426778599413571,-0.0262723134409259,-0.51881527723262,-0.194099969992503,0.458104846188031,1.08080069165058,-0.956853224012856,-0.670713288829142,-0.541462172584853,0.815042347662392,-0.00123415810457227,1.07121491051498,-1.22093530867384,0.669423479052194,-0.708767995331152,-0.27085961321443,-0.614461510599952,0.188128511540551,-0.661225860788896,-0.166666666666667,-1.42816967965508,-0.643911684805528,-1.05254071962579,-0.955813546289255,-0.523582835329274,-1.04091634252256,-0.64479059296379,-0.516410805272732,-0.886006163182296,-0.166666666666667,-0.533142406882034,-0.36891264678273,-1.42887563162898,-0.0307613127149427,-0.381713815279085,0.0595044496619941,1.06603401058797,-0.239165810480528,-0.0635995881451276,0.027150016424164,-0.31920834409004,-0.0134737216756006,-0.352768327445242,-0.166666666666667,-1.20650847575018,-0.263053284846603
"NMEN_Ctrl_3 (GE) - TPM",1.54335067770695,-0.716298876525255,-0.01711676029996,0.453551406849134,0.117200302757069,-0.707290709333592,-0.0611860200470649,-0.839214562608137,-0.549926169738285,0.0406396927549063,-0.854272757147044,0.728784572679383,-0.716070002196724,-0.520503841897448,-0.305306505094638,-0.332311505993229,-0.42004180886901,-0.076890421172931,-0.21272345980214,-0.544851835384043,0.479791943784672,0.539672933607485,0.0844647961199131,1.01261963695406,-0.311290251807773,-1.09489050062337,1.34376437125831,-0.326145541836037,-0.874759363048328,-0.166666666666667,-0.276329209044759,-0.643911684805528,-0.615685597104994,0.617300405613422,0.369856737114727,-0.130113591594016,1.23888156206976,-0.044261959330032,-0.886006163182296,-0.166666666666667,-0.291737571766646,0.193353767030047,-1.48725003255231,0.111885247247053,-0.0923325029835488,0.264569331828355,0.0139019027370525,-0.239165810480528,0.979382007459661,0.211673353748528,-0.381016149792778,0.079410129739699,-0.775739840822015,-0.166666666666667,0.119161471130166,-0.0578077438837286
"NMEN_Li_1 (GE) - TPM",-1.72123150884274,-0.569293661290547,-0.0737907438930046,0.293337248782909,-0.603686707391724,-0.554998955653174,-0.874610521328194,-0.83707675435421,-0.673762259277506,-0.615966689228189,-0.854272757147044,-1.80788685469991,-0.485873022697304,-1.15626039307982,-1.92832162258691,-0.989641079551731,-1.50702377924143,-1.68078436984312,-0.827618306523271,-1.22303058781383,0.493909464790417,-1.162557066744,0.16117964060481,-1.20120527634184,-0.991129951507003,-1.10498957587767,-1.50283049318842,-0.0953457366874981,-0.715245086777755,-0.166666666666667,-0.702424153893922,-0.643911684805528,-1.30062892365824,-0.71671779487198,-1.78964396470357,-0.545551441834749,-0.819843287661186,-1.18931460410439,0.301161017469232,-0.166666666666667,-0.798354708402775,0.353678266168814,-0.33399320268151,-1.20400337404536,-0.549985961306457,-1.15452284597586,-0.87184217585219,-0.239165810480528,-1.42769588257003,-0.563573621307178,-0.659261015187189,-0.616542731849367,-0.630048379377804,-0.166666666666667,-0.877034675371373,-1.03772189976669
