"","ABUW_RS00185","ABUW_RS00200","ABUW_RS00205","ABUW_RS00210","ABUW_RS00215","ABUW_RS00285","ABUW_RS00450","ABUW_RS00520","ABUW_RS00525","ABUW_RS00715","ABUW_RS00785","ABUW_RS00790","ABUW_RS00940","ABUW_RS00950","ABUW_RS01195","ABUW_RS01345","ABUW_RS01645","ABUW_RS01650","ABUW_RS01750","ABUW_RS01810","ABUW_RS01815","ABUW_RS01820","ABUW_RS01880","ABUW_RS01965","ABUW_RS01970","ABUW_RS02285","ABUW_RS02390","ABUW_RS02695","ABUW_RS02700","ABUW_RS02725","ABUW_RS19680","ABUW_RS02775","ABUW_RS02845","ABUW_RS02945","ABUW_RS02965","ABUW_RS03165","ABUW_RS03170","ABUW_RS03175","ABUW_RS03275","ABUW_RS03435","ABUW_RS03460","ABUW_RS03470","ABUW_RS03635","ABUW_RS03780","ABUW_RS03785","ABUW_RS03790","ABUW_RS03800","ABUW_RS03860","ABUW_RS03865","ABUW_RS03890","ABUW_RS03895","ABUW_RS19705","ABUW_RS03920","ABUW_RS03940","ABUW_RS03945","ABUW_RS03960","ABUW_RS04235","ABUW_RS04360","ABUW_RS04480","ABUW_RS04670","ABUW_RS04795","ABUW_RS04910","ABUW_RS05125","ABUW_RS05195","ABUW_RS05225","ABUW_RS05230","ABUW_RS05235","ABUW_RS05250","ABUW_RS05295","ABUW_RS05300","ABUW_RS05305","ABUW_RS05335","ABUW_RS05340","ABUW_RS05345","ABUW_RS05350","ABUW_RS05355","ABUW_RS05360","ABUW_RS05400","ABUW_RS05405","ABUW_RS05410","ABUW_RS05415","ABUW_RS05455","ABUW_RS05460","ABUW_RS05465","ABUW_RS05470","ABUW_RS05520","ABUW_RS05680","ABUW_RS05685","ABUW_RS05720","ABUW_RS05725","ABUW_RS05730","ABUW_RS05735","ABUW_RS05740","ABUW_RS05745","ABUW_RS05750","ABUW_RS05755","ABUW_RS05760","ABUW_RS05765","ABUW_RS05770","ABUW_RS05780","ABUW_RS05785","ABUW_RS05790","ABUW_RS05795","ABUW_RS05800","ABUW_RS05850","ABUW_RS06070","ABUW_RS06090","ABUW_RS06095","ABUW_RS06100","ABUW_RS06150","ABUW_RS06195","ABUW_RS06345","ABUW_RS06350","ABUW_RS06375","ABUW_RS19745","ABUW_RS06455","ABUW_RS06465","ABUW_RS06480","ABUW_RS06575","ABUW_RS06605","ABUW_RS06610","ABUW_RS06655","ABUW_RS06790","ABUW_RS06815","ABUW_RS06840","ABUW_RS06910","ABUW_RS06920","ABUW_RS06930","ABUW_RS06940","ABUW_RS06950","ABUW_RS06955","ABUW_RS07010","ABUW_RS07185","ABUW_RS07205","ABUW_RS07295","ABUW_RS07600","ABUW_RS07605","ABUW_RS07610","ABUW_RS07625","ABUW_RS19760","ABUW_RS07805","ABUW_RS07845","ABUW_RS19765","ABUW_RS07895","ABUW_RS08005","ABUW_RS08035","ABUW_RS08040","ABUW_RS08070","ABUW_RS08090","ABUW_RS08100","ABUW_RS08150","ABUW_RS08275","ABUW_RS08375","ABUW_RS08380","ABUW_RS08510","ABUW_RS08545","ABUW_RS08565","ABUW_RS08595","ABUW_RS08600","ABUW_RS08605","ABUW_RS08640","ABUW_RS08670","ABUW_RS08690","ABUW_RS08695","ABUW_RS08705","ABUW_RS08720","ABUW_RS08765","ABUW_RS08785","ABUW_RS09095","ABUW_RS09200","ABUW_RS09295","ABUW_RS19785","ABUW_RS09310","ABUW_RS09510","ABUW_RS09650","ABUW_RS09665","ABUW_RS09705","ABUW_RS09720","ABUW_RS09780","ABUW_RS09805","ABUW_RS09855","ABUW_RS09885","ABUW_RS09920","ABUW_RS09935","ABUW_RS09965","ABUW_RS09970","ABUW_RS09975","ABUW_RS10020","ABUW_RS10035","ABUW_RS10065","ABUW_RS10075","ABUW_RS10080","ABUW_RS10105","ABUW_RS10135","ABUW_RS10140","ABUW_RS10210","ABUW_RS10215","ABUW_RS10495","ABUW_RS10515","ABUW_RS10520","ABUW_RS10525","ABUW_RS10530","ABUW_RS10535","ABUW_RS10540","ABUW_RS10595","ABUW_RS10600","ABUW_RS10605","ABUW_RS10610","ABUW_RS10615","ABUW_RS10620","ABUW_RS10625","ABUW_RS10630","ABUW_RS10635","ABUW_RS10640","ABUW_RS10700","ABUW_RS10705","ABUW_RS11040","ABUW_RS11070","ABUW_RS11140","ABUW_RS11145","ABUW_RS11215","ABUW_RS19810","ABUW_RS11255","ABUW_RS11285","ABUW_RS11320","ABUW_RS11395","ABUW_RS11510","ABUW_RS11515","ABUW_RS11535","ABUW_RS11570","ABUW_RS11670","ABUW_RS11710","ABUW_RS11715","ABUW_RS11770","ABUW_RS11790","ABUW_RS11795","ABUW_RS11800","ABUW_RS11835","ABUW_RS11845","ABUW_RS12090","ABUW_RS12135","ABUW_RS12170","ABUW_RS12195","ABUW_RS19835","ABUW_RS12400","ABUW_RS19840","ABUW_RS12415","ABUW_RS12420","ABUW_RS12520","ABUW_RS12540","ABUW_RS19865","ABUW_RS12760","ABUW_RS12790","ABUW_RS12795","ABUW_RS12905","ABUW_RS12910","ABUW_RS12915","ABUW_RS12970","ABUW_RS13015","ABUW_RS13035","ABUW_RS13085","ABUW_RS13165","ABUW_RS13195","ABUW_RS13200","ABUW_RS13230","ABUW_RS13295","ABUW_RS13350","ABUW_RS13540","ABUW_RS13550","ABUW_RS19895","ABUW_RS13695","ABUW_RS13745","ABUW_RS13855","ABUW_RS13860","ABUW_RS13865","ABUW_RS13905","ABUW_RS14020","ABUW_RS14030","ABUW_RS14110","ABUW_RS14200","ABUW_RS14375","ABUW_RS14380","ABUW_RS14445","ABUW_RS14450","ABUW_RS14480","ABUW_RS14485","ABUW_RS14490","ABUW_RS14495","ABUW_RS14500","ABUW_RS14545","ABUW_RS14555","ABUW_RS14560","ABUW_RS14570","ABUW_RS14575","ABUW_RS14750","ABUW_RS14805","ABUW_RS14900","ABUW_RS14945","ABUW_RS15000","ABUW_RS15075","ABUW_RS15120","ABUW_RS15125","ABUW_RS15155","ABUW_RS15320","ABUW_RS15465","ABUW_RS19945","ABUW_RS15580","ABUW_RS15585","ABUW_RS15675","ABUW_RS15760","ABUW_RS15855","ABUW_RS15965","ABUW_RS19970","ABUW_RS16080","ABUW_RS16110","ABUW_RS16170","ABUW_RS16540","ABUW_RS16580","ABUW_RS16585","ABUW_RS16590","ABUW_RS16595","ABUW_RS16600","ABUW_RS16645","ABUW_RS16650","ABUW_RS16655","ABUW_RS16715","ABUW_RS16735","ABUW_RS16810","ABUW_RS16845","ABUW_RS16850","ABUW_RS16910","ABUW_RS17005","ABUW_RS17040","ABUW_RS17045","ABUW_RS17425","ABUW_RS17435","ABUW_RS17680","ABUW_RS17685","ABUW_RS17690","ABUW_RS17915","ABUW_RS18045","ABUW_RS18105","ABUW_RS18155","ABUW_RS18250","ABUW_RS18275","ABUW_RS18300","ABUW_RS18335","ABUW_RS18360","ABUW_RS18380","ABUW_RS18500","ABUW_RS18510","ABUW_RS18570","ABUW_RS18790","ABUW_RS18795","ABUW_RS18825","ABUW_RS18900","ABUW_RS18985","ABUW_RS19050","ABUW_RS19115","ABUW_RS19120","ABUW_RS19180","ABUW_RS19365","ABUW_RS19370","ABUW_RS19455","ABUW_RS19460","ABUW_RS19475","ABUW_RS19485","ABUW_RS19505","ABUW_RS19570","ABUW_RS19585","ABUW_RS19620","ABUW_RS19645"
"ACIB_As_1 (GE) - TPM",0.249994861359798,-0.0674227570790313,0.0557250585785726,0.650861245316193,0.167839372199335,0.614241433996153,-0.238594748124839,0.121547412554593,-0.130860723446148,0.113130371837233,-0.294169567473517,-0.227655930942075,-0.465179892611527,-0.245949638815073,-0.242329116819206,0.89667012563073,-0.153505871329727,-0.0125103094557486,-0.265854223705165,-0.353410365987698,-0.153019081193718,0.0238391199565566,-0.143285424718558,-0.369818373290327,-0.327656984550139,0.514607862111775,0.915319533697687,0.310917395724021,-0.226893423375277,0.248267307558148,-0.227564465420577,0.336430417557491,-0.176946898591515,0.168886496905143,-0.611736473251404,-0.164260864095445,0.254664691317317,0.158211215711177,0.0477937450741344,0.100032255747682,0.111443331603968,0.104845502718816,0.718415501154356,0.0285370548986016,0.188016480745955,-0.183750884498519,2.08528575440955,0.346196364789565,1.14384212251641,-0.293316108091056,0.0970605562447538,1.06969213929703,0.37136349108017,0.425971931276516,-0.535717877726874,-0.129110411727057,0.273484895036241,0.390339802420007,-0.21081491268966,-0.145390022037552,-0.0597447403704066,-0.220683341930504,0.0148520050764068,-0.102519079923756,0.997018933860807,0.54912256756402,1.66290981854369,0.456511176157057,-0.253569782644641,-0.329023524338937,0.223545972827977,-0.300217846884503,-0.0265672961497008,-0.222971191369941,0.137912636851926,-0.13003669700276,-0.0308156834700118,-0.066946528782034,0.581645882094743,-0.175816816549883,0.0378054307449207,-0.251726143395527,-0.191835705289869,0.0502305704910843,-0.184951706562278,-0.219775882446672,-0.158428368914669,-0.32151357713959,-0.362848134650063,-0.385699049481593,-0.265044519791813,-0.298122409679491,-0.278204483433494,-0.215850918783862,-0.337558837085743,-0.37231621331812,-0.415177871725408,-0.363965254788175,-0.360270695253871,-0.31922337497637,-0.325133626536856,-0.247675564351852,-0.143573957859363,-0.422217212841692,0.0314098424972126,-0.395718310782127,0.17966367524067,-0.0525335833453433,-0.0617580652750143,0.240125258525018,-0.590280225402417,1.05102857495313,2.35069816367511,-0.275725596024223,0.159053801333808,0.603578127755158,0.830312330265611,0.278914578649899,-0.299783637852859,0.312341454491508,-0.484340913825415,-0.293309128229994,0.60218478748729,-0.307491403403431,-0.273295143750977,-0.406935101335187,0.642451396811418,0.218968569231854,-0.0269376087817967,-0.336952285685782,1.22317193545576,0.459830265082288,1.63621954956028,-0.217226138265034,-0.144272785830021,0.139610033619705,0.303712576762149,0.467078781831033,0.029561447588722,0.334579203791715,-0.388422403617227,0.350977281052404,1.34687148235868,0.121635813376176,2.40402055695187,0.0908537713376504,0.210293280949207,-0.268815838765209,-0.00921664879245667,0.114969437000988,-0.128594105018503,-0.320934573624826,-0.114136074638791,0.159702348194139,0.30642122520365,0.14372677704118,1.14058088505116,0.934325016863265,0.314027333541091,0.254925941623541,0.326079325497131,0.911308814028172,-0.430738165368915,0.30274771076952,0.301222447312995,-0.120484156270034,0.792817246566432,0.0526522936810992,1.00127582218091,0.688586510510084,0.0571997182340804,0.0353843368498815,0.965361046099627,0.632879552006321,0.576815296285572,0.0795664587844732,0.698020577641606,-0.395700535077515,-0.175600664910706,0.898536420480532,0.695551985759608,-0.284477142197725,-0.269104866181898,-0.280562661177736,-0.579637218738366,-0.458555662886726,0.27011210869583,-0.339031787391491,0.470643495710095,0.537215781208673,-0.384497258226726,-0.442402309313202,0.213236197220507,0.0293141574182409,0.0215368569657692,-0.286986299018555,-0.232405606748622,0.311675852317357,-0.0893326564909781,-0.223786508982842,-0.239178084382931,-0.0628758990663302,0.110102620909807,0.330242379434485,0.402266026031025,-0.213252548310628,-0.18480054634908,-0.174196882437591,-0.301712861933533,-0.311622336838982,-0.319865560462074,-0.34967636572429,-0.391572850935173,-0.431486494159123,-0.314857362016195,-0.299920690531934,-0.17329245101482,0.497549204321812,-0.395686462564622,0.211614316483769,-0.0546525937821114,0.706457913475186,0.126801973365114,0.997427226687773,0.468205691652164,0.87479982375102,-0.15968735174713,-0.279935218632507,1.31942599117466,-0.0962991683465111,0.17648634365303,1.02694332453565,0.551854104937797,0.512644771825086,-0.222373648751519,-0.0285954088928564,-0.200269166226798,-0.431080413765887,-0.39601998571218,0.316270678268152,0.46929028754872,0.186884431896728,0.298211400020192,0.392734764824482,-0.0283802153803764,-0.441191826920764,-0.109972118395373,0.311037894998044,0.0759022096831538,0.549166502243658,0.799102491313933,0.0729334970776396,0.0154405303938009,-0.373079098172316,2.64614328399519,0.568119190479603,0.0956126177970417,0.229540081555897,-0.0962955378284906,0.380057820826305,-0.314488249118059,0.57443091872062,-0.394653709020307,-0.150583627712996,0.621034475473257,0.634110043880318,0.336017284449911,0.547849967027494,0.632738759445715,-0.489927780551973,-0.175475114075487,0.212818278698508,-0.60913489327779,-0.497792408647699,0.339292100803554,0.753031022738909,0.691025047826011,-0.394626869955443,0.606362906658251,-0.0200871137833054,0.394457940679454,0.511581384587567,-0.415912314442075,0.152429671792314,-0.18984260661967,-0.131341494025374,-0.400592218189971,-0.171654889946463,-0.363184279802518,0.639170019362789,0.312158293647797,0.0542141409504535,0.0442810181078845,2.51550717625262,0.255498814085531,-0.0772542602967395,0.330096195194406,0.409211617328787,0.590272721445919,-0.00936338049716095,-0.252916775741991,-0.0503628402032466,0.392290310669529,-0.176636662653409,0.389894722202519,-0.23968096201174,-0.0412377343251941,-0.317840851142086,-0.207882007927639,0.0650251478006012,-0.29352348226279,0.0166853970918959,-0.399033075220531,0.207599659699994,-0.195076394119937,0.339826032930045,-0.037386182257834,-0.157081703891975,-0.305182633695356,0.270231964841758,0.292084978433142,0.722391086880972,-0.0308887372363052,-0.139395174315333,-0.386716327613966,-0.422490682935361,-0.0523746074432125,-0.339075969595285,-0.339702372372625,-0.311081197594935,0.749171879768501,0.579040518113825,-0.0495245528188658,0.469305814445461,0.226829611465069,-0.499373263857091,-0.183005149673314,-0.25169245615426,-0.365652552800509,-0.119613152387735,-0.182767041827227,0.0625142261947205,0.634336208914027,0.585067139606914,0.850855867599493,-0.25987176228357,0.984255537336825,0.779234331480756,0.979619733101946,1.5129661835144,0.360564141327715,-0.100285703422336,-0.0726715006351334,-0.214911908390479,0.48014535862758,-0.0097370025243797,-0.351960199280901,-0.0337545962370812,1.36792904596645,0.546400386363374,0.339962142113262,1.03913054892503,-0.163491852502753,0.544236291984926,-0.00894342390739153,0.554089985079051,1.01824563262906,0.746647927928298,0.408846117649263,-0.330573323686889,0.181171507081644,0.71492580559073
"ACIB_As_2 (GE) - TPM",-0.218756579395125,-0.112635122341168,-0.156569833262479,0.488304055166875,0.255372378465882,0.655436262151286,-0.347266173615248,0.0512698718031726,-0.108033841897623,-0.449632513532418,-0.1531088466626,-0.189289501790335,-0.297295678721547,-0.321585239025302,-0.182978045623936,0.283560634358438,-0.208230549580562,-0.212054282903293,-0.608175910620793,-0.459049825746486,0.0385462426720178,-0.0448070977346079,0.0205132065244103,-0.199067258326431,-0.326432854214192,0.199776414347622,0.967385385483857,0.240336507314744,-0.0740284115175531,0.280572334601379,0.491010039185502,0.179458703812197,0.232182309447335,-0.212512957935349,0.139676185978826,0.00503248044032392,0.406029075200293,0.0844409549164059,0.368429292363844,0.0746565547180868,-0.126049175170213,-0.330104042370567,0.281857303283804,0.544724733828865,-0.188413711667982,0.0335008386112635,1.15570854891215,0.0799909512640534,0.156069656596174,-0.51351862674305,-0.158761390699661,1.54517423631802,0.648489458636724,0.506492730858873,-0.0605161238481503,0.571323978313141,0.0271991128209337,0.210975731740326,0.0538020471962776,-0.255837625864546,-0.143393573506778,-0.0821789594442758,-0.0720037848829402,-0.129546215302701,-0.00982358695207109,-0.199658304636039,-0.197252670611466,-0.132487759584386,-0.341095257162469,-0.131933572017924,0.00467829219113235,-0.258292496400423,-0.0697255260754694,-0.171870852487178,0.0595281531516394,-0.147452376340194,-0.145340604463698,-0.117427566721521,0.131127231124843,-0.221791650642007,-0.203952481249184,-0.22426729310995,-0.10044513892561,0.0627045932464695,-0.204414722518406,-0.294129427733275,-0.164126718890177,-0.260946647323352,-0.35938262336987,-0.382119059224129,-0.281652256376364,-0.302811461541969,-0.243029376707326,-0.209068730204524,-0.346500017210852,-0.380514440354195,-0.416656413035893,-0.375181657844225,-0.367431189022118,-0.299635096402271,-0.334699366902725,-0.20403015069165,-0.275903920792815,-0.424088711852841,0.074195090842757,-0.131519021929478,0.294722192432794,0.0520872512623434,0.0742451022523033,-0.109688119988843,0.512945891586545,0.265865630686575,-0.343028466681775,0.393551851801932,-0.411057138341524,-0.361941556892803,0.76072169569121,0.723575313110122,-0.232257717880965,0.375401099035782,-0.495088284787972,-0.314924237938615,0.269693512902313,-0.307491403403431,-0.0268460110270594,0.598876804838352,0.254721093226551,-0.256905780066802,-0.519675135672198,-0.676626310914152,-0.374882585961678,0.382019986758496,0.329036178395395,0.115809477393667,-0.254500433297182,-0.0139590630679651,0.080881763957335,0.0386610841308704,-0.0545326551546642,0.427553802005858,-0.356840757690783,0.0222819009395125,1.13606334190423,-0.304788578356425,1.39367399400881,0.0291575418151966,0.0591446553633777,-0.308316617194482,-0.319805763313395,0.151493777740774,-0.165413204630118,-0.056976377361074,-0.475939515634958,-0.59380046786653,0.453416758393725,-0.11925786758126,0.0616317300080542,0.503863664117742,0.230898473857964,0.69274183049971,0.00467240985760605,0.366934695270782,-0.601235492649033,-0.330861569285735,-0.377167401686602,0.309382372673116,0.774863920572221,-0.268702227599491,1.39301167872385,0.0874486431599016,-0.0940756413604157,0.399393177380261,0.55583425142086,0.716119245033048,0.163086106688332,0.111227015670692,0.574260208748962,-0.352738263850395,-0.00130144840659216,0.755354575632517,0.938680581017097,1.0920720719313,-0.483047851349901,-0.259695103711697,-0.00827415244506589,-0.466786573325893,0.421474260652862,-0.584826899270224,0.737138867067974,0.118599845981597,-0.383899825677404,-0.419287967714208,-0.130012159119952,0.178280115325256,-0.208178428515571,-0.201813048443638,-0.232405606748622,0.173891442136784,-0.0746825372713959,-0.295614927056195,-0.266650692772559,-0.0932915813884338,0.0243395624519802,0.405075112601987,0.108367414826325,-0.136902982935496,-0.00860282444250374,-0.153420904460002,-0.422232065705933,-0.395624066787748,-0.375956417202753,-0.336527772090704,-0.397395726182158,-0.434480055352537,-0.260865808518211,-0.212782812872828,-0.0274400298573872,0.32132403836297,-0.565337399864177,-0.0917648901363806,-0.0711294042204503,-0.287947218165282,-0.0121153851584662,0.193185546492145,0.478102689367043,0.69241147165915,-0.232724563194559,-0.299059686471161,-0.159384975890667,-0.28026996391212,0.231584717466897,0.919274141814594,0.202778104277022,-0.336126464901235,-0.176650332015785,0.0386630186032645,-0.663413741914775,-0.341799564004677,-0.552297806049518,0.356678734908399,0.0472971906097454,-0.195748224941959,0.762485028643044,0.561582576151026,0.100973544103673,-0.647080329643347,0.641903109888334,-0.0362960220843781,1.01547538336257,0.355798442473056,0.901386183651686,-0.182627899720991,-0.318716676935192,-0.404622548480601,0.783800378830106,0.354109544689397,0.470059360840276,0.0602816281341342,-0.128943616742116,-0.80817587477567,-0.35920398052204,-0.47565685465992,-0.278103922228395,-0.412718159140483,0.645389637878268,0.720586770666481,0.330841251904812,0.465670205789794,-0.133823188106254,-0.0149544552518138,-0.696142430051895,0.107623239803809,-0.523425630614477,-0.299452863190953,-0.208436201385459,0.00746909983161148,0.0747281196580242,-0.430292790122391,0.550729993994792,0.174668703493388,0.0553441946512056,0.101483596340046,-0.148402156893948,0.736863227450388,-0.295783144231678,-0.330066553325032,-0.490694834941483,-0.320064671742994,-0.360592242105493,0.600189306079544,0.35541392099823,0.0389631548091694,0.158865864323121,0.812433204355272,0.241189146794366,0.0170592773364149,0.572233738760373,0.976749258368999,0.71803577401419,-0.378554691007389,-0.15466136311485,0.0499397058108262,0.245530807923791,0.152948148797882,0.719789256575891,-0.0449740060096951,-0.028355472381523,0.204139507964996,-0.0971334146775454,0.653997905484511,-0.283548261206469,0.363711571233591,-0.189166388056279,0.144396617180174,-0.214765173113604,0.739194409056225,0.164319198251082,0.693449759283009,0.639151858192193,0.859941190539516,0.562734052694578,0.838610375941572,-0.064654886325631,-0.0863238981793005,-0.361355630602733,-0.522274216924796,-0.315282496797734,-0.238816155167509,-0.385411169192981,-0.369817050157923,0.244548013940746,0.148714524648122,-0.036431462752159,0.0778364544240786,-0.183029537359372,-0.465343613878778,-0.27622494241878,-0.264085868392079,-0.407488014194895,0.0629732486538145,-0.146000763614324,0.149864772967747,0.496165668525781,-0.172001946553528,0.227800408034247,-0.163503416711101,0.857138981298722,-0.184757220254564,0.494803264706293,1.20413508131481,0.360316403183947,-0.0533184685803254,-0.141919124481034,-0.221340365833939,0.148562511746722,-0.082622505642486,-0.61428763847579,-0.0407508322320693,1.45782995314935,-0.1955412566365,0.00181136384113484,0.00295322724649954,-0.100806788359777,0.233689242882959,-0.485419454504351,1.19816286232429,0.490271285336323,0.465014359514925,0.233351884668668,-0.309260972778566,-0.195089480189892,0.491603462048439
"ACIB_As_3 (GE) - TPM",0.265537362552347,-0.094539046885855,-0.2724068913545,0.2907712234488,0.27895409446989,0.671303578348599,-0.127844362135616,0.17867547168749,-0.295723592949366,-0.434631027018984,0.0392686317381531,-0.0790232713134455,-0.515351745325903,0.200940734619529,-0.340565711480071,0.565182059319687,-0.434068700477722,0.00490757264435052,-0.702213153272229,-0.44103194346269,-0.0199486065385844,-0.132623992517899,0.257960332662326,-0.256466223870124,-0.225692642579016,0.489673438066069,1.12572790345732,0.249405742229175,-0.0733727244956151,0.642372802357394,0.486118258450264,0.17457456325384,-0.213513364365124,-0.1515223306216,-0.867911753164592,-0.0734163126515331,0.0542150716027072,0.385497428083377,0.47176582305707,0.150381628653895,0.469344047864182,-0.114227991829084,0.169998882539297,-0.176874201448281,0.0694356552198365,0.192015345578529,0.00576315945583803,-0.00388896197941369,0.727530057667424,-0.409962345118138,-0.0274024815005536,0.594155532403443,-0.180888265942661,-0.0511358433602007,-0.560641254651564,1.78051221673134,0.532209711425991,0.187797389783157,0.153547802646919,-0.192798731352406,0.417095950360385,-0.0164636522442841,0.163292500081482,-0.375171072111293,0.70289224272446,0.554885303987818,0.0994388974950567,0.250868001636201,-0.446620659264512,-0.1045942660754,-0.0717853069708825,-0.21513435721794,-0.0517464732900392,-0.0205917132439215,0.247589652783613,-0.0945250711677051,-0.021033394561678,-0.0507009293055621,0.584335554359283,-0.190977275672764,0.0147520574570517,-0.231836696371744,-0.050442033977188,-0.103680356584777,-0.24844471275928,-0.407210178760544,-0.214569742428033,-0.221850111963827,-0.359541092241279,-0.377009604371487,-0.323503128746974,-0.295603328690203,-0.293229250877341,-0.217632683133498,-0.3698349013524,-0.383351738082362,-0.419057650176749,-0.367782618712343,-0.373631550302645,-0.316983300369897,-0.306417087798146,-0.24084793110996,-0.236080892800554,-0.423192284863689,0.048906176395496,-0.216082260949571,0.00526377858825889,0.0531447220916057,-0.0438111741582308,0.46011419547383,0.489966585020216,-0.398077092730394,0.410283758682005,0.455711941654758,0.456771029723217,0.0638894353503413,-0.0737412584365825,1.01215823530591,-0.226672933386915,0.322573586355398,-0.440263627385907,-0.30914175210675,0.875908172651017,-0.307491403403431,0.402400383331032,0.0838074450552035,0.156140774449064,1.56566144822439,-0.349290377080721,-0.206799892633313,-0.332283484359797,0.897583292237905,1.66738448706055,0.0258547675512037,-0.122674390186991,-0.0755470437042207,0.0745570754025279,0.727275041137894,-0.299310587568898,1.06229616572072,-0.357127026756832,-0.476669164124271,0.768863038174752,-0.254008765220532,1.6557470640192,0.123925877586523,0.341384422370256,-0.106808846458601,0.10799251467413,0.524458896297066,0.242251578399976,-0.221815527664785,-0.297424876561747,-0.411945124955099,0.361232343268247,0.0156106914208267,0.222217196983406,0.475919583616503,0.0980904508070404,-0.0411032903709302,-0.0633343923733087,0.838566638703699,-0.203155289458617,-0.381136547380926,-0.53034965656351,0.0832426524112755,1.03688095867783,-0.308950050375264,-0.0642142801539198,1.23964033090786,0.121712137207372,0.484299843562829,0.0323165315493298,0.11293397334308,-0.245856961381167,0.0564362403366865,-0.0403890076899691,0.542938160487956,1.39404334451976,-0.0459417647678487,0.0293465433261354,0.277695111635743,0.404709753632106,0.286330800568957,0.961953668703576,-0.161075076736798,0.714404386093236,-0.444209965096763,1.05184531176536,-0.0836961620809354,-0.38754589582427,-0.412112176518409,-0.0516026386762264,0.134958856242374,0.999431371047796,-0.362358253349183,0.322284918540097,0.212857481810559,0.00339717531390203,-0.277497700809331,-0.124781916961189,-0.0719294976730009,-0.587621928072897,0.854157422168578,-0.0503065570418728,-0.0268952210354565,-0.117910727681287,-0.136651810516612,-0.299444860047417,-0.337024449951931,-0.346876562377105,-0.375190805295831,-0.398976007620817,-0.419504221203387,-0.319743782777501,-0.225284264093997,-0.341161088428435,0.346784674389432,0.10174325223149,-0.172853477488681,0.0542077411539761,0.399767717973657,0.341517185150765,0.600420795811857,0.184852303288824,1.328720348495,-0.216874348588374,-0.302056464814093,0.0837607485463906,-0.14359910877794,0.259263398936076,1.08005959288603,-0.110716065297619,0.0620814676330015,0.0117097276635595,0.264413660691916,-0.710586084122242,-0.344046864152036,-0.522003856295058,-0.178344078053935,0.27796319639505,-0.314205565392161,1.23034265746182,0.663842318690181,0.199031877819093,-0.647080329643347,0.745867641184048,0.0603941021349939,0.0714490894547827,0.446846520664852,0.313926626296495,-0.341936587776117,-0.156927135156328,-0.294306678337272,0.954931421655529,0.944586766934312,0.294310989451396,0.485564919566474,0.169249440310547,-0.120017328003516,-0.536694381175245,0.510673319349936,-0.066667877122512,-0.239038316605851,0.510848389616907,0.878092090508751,0.309028689821144,0.980821804254177,0.840001161744574,0.895273770921437,0.352769675994178,0.566203154397259,-0.62557872086128,-0.44164513618344,0.0762606619453886,0.0695856181351482,0.708055758837223,-0.38897306472111,1.21612210337331,0.0874568320115262,0.634383337771964,-0.255255323683486,0.268210843146842,0.681459048792053,-0.495403066726975,-0.237628652168174,-0.378384663430885,-0.292511487435219,-0.327887697517497,0.840798386017938,0.600283102042515,0.110144503356154,-0.276604633658588,0.291428375226999,-0.141948581612705,0.0523508968327252,0.578306121281956,1.6461066736167,0.951735873034078,-0.0996709305436493,-0.0824886225404306,-0.147451801674884,0.139652229666298,-0.0731261101497272,0.03971744023574,0.261541336068303,-0.0465566754462143,0.0693897514480849,0.0510192024619851,0.333709533639423,-0.278706459438208,0.823806632592116,0.121662254467792,-0.164664283992721,-0.141732817091544,0.463811135271547,0.206302859681229,1.08560639784459,0.124251503143367,0.487630197112544,0.491101189840591,0.309301950548685,-0.0173783161608181,-0.0522266058542266,-0.317272265043942,-0.436059187099715,-0.583207354436421,0.0208324220251966,-0.358915191712951,-0.373229793726706,1.13444223869342,-0.119606158134032,-0.00899446981173241,0.242322813665327,0.393493880301469,-0.27208743394267,-0.346601057033723,-0.245015567446226,-0.369966426969407,0.191219275874919,-0.118222496667035,-0.0686115318113356,0.197069342512533,0.151580997201297,0.339281430072973,0.0676715927433412,0.741995368926495,0.915555467795897,0.0428114614116372,1.2253093284466,0.118652901771293,0.0741927311989991,-0.115287465171838,-0.223457868596101,0.908282970001098,-0.0878121782719013,0.000424867020234752,-0.104893918513246,1.19971929803203,0.178082784605503,0.353835545519619,-0.387777728795775,0.251933789731507,0.93809949757599,0.228810464475817,0.310160276366073,0.52401163802973,0.859511475368156,0.34609728260631,-0.0640358864057613,0.509181210905164,0.512935196315094
