"","YPK_0035","YPK_0103","YPK_0460","YPK_1747","YPK_1753","YPK_1756","YPK_1757","YPK_1758","YPK_1759","YPK_1859","YPK_1902","YPK_2381","YPK_2382","YPK_2383","YPK_2384","YPK_2415","YPK_2416","YPK_2427","YPK_2428","YPK_2551","YPK_2686","YPK_2847","YPK_3019","YPK_3446","YPK_3850","YPK_3936","piBX060"
"YPSTB_As_1..GE....TPM",-0.334878424569385,0.258035215744018,1.23379675817375,1.16436908321066,0.910825981957668,0.205339593254104,0.000499818270784197,0.133439069651676,0.180778279872528,-0.474248989476676,0.393209656686851,-0.0961618864948837,0.418251088174991,0.804037371143566,1.01541894452821,0.377012147074239,0.100190996309643,-0.159409938234668,0.364959239193184,1.186551727842,-0.279388941190065,0.29365062179036,0.911220050874142,-0.376652215650776,0.833324701324624,-0.240089264969332,-0.124334938175471
"YPSTB_As_2..GE....TPM",-0.375958741078359,0.156862199338881,0.852544525583765,1.18986981469659,0.776428466468041,0.260614735079549,0.0373068441588177,0.148775980457603,0.0570849864861224,-0.380291404082739,0.610980331138191,-0.00161636015883606,0.48592085949925,0.701410969519839,0.932982952660688,0.243188593842621,0.258737070487262,-0.118392366281605,0.296335315383727,0.937104796237581,0.189864986525142,-0.383463682586973,0.450559733971112,-0.393251832593129,0.48517133989461,-0.319907852232951,-0.100003656221734
"YPSTB_As_3..GE....TPM",-0.0164611164147687,0.523755697248697,1.64358559910031,0.910316130677639,0.796583377876292,0.357638079872772,0.23503866706286,0.112280831771132,-0.101328417946047,-0.298914417743645,0.43086630294284,0.221587108020421,0.615622073153423,0.636624139458549,0.967113998473392,0.452131865304587,0.340486706587529,-0.153342735136363,0.283209190878245,0.959466962590003,0.259728393704795,0.169233106479005,1.17373607260323,-0.406614423674317,0.54052281171886,0.264979298702835,-0.152007866490334
"YPSTB_Bs_1..GE....TPM",-0.575912573548884,0.215803671503909,0.861070331108469,0.419524040379939,0.367391272744631,0.158374243444231,0.186078474101422,-0.0094078297130603,0.153094850775455,0.464577071374778,0.0418131506050575,-0.0298776724851421,0.204393107415439,-0.0643381486970583,0.204045457922403,0.220247090424422,0.259838490416124,-0.104418481683637,-0.0132321072639801,0.854765711041593,-0.681228076491334,0.824556226945054,-0.00688932730047369,-0.0931333951276228,0.719523974776876,0.604633381593874,-0.41602555818103
"YPSTB_Bs_2..GE....TPM",-0.520829427332172,0.2253273280111,0.549947540540895,0.358409574796499,0.377830910112234,-0.0149149012068499,0.150314406027752,-0.14773937792867,0.219026516068889,0.472182182890181,0.142499280957928,0.2321911655043,0.225234459373047,-0.0195511944963044,0.0982367974772036,0.40869346205077,0.435341188492337,-0.152837479523388,0.0412115681979977,1.2166192257555,-0.395218608504176,0.195149682961099,0.0991214215404888,-0.0747277733243105,0.279694816678007,0.565956171422653,-0.410293933104943
"YPSTB_Bs_3..GE....TPM",-0.534259715862681,0.193905470230099,0.728362316840487,0.281813424754813,0.385799151080542,0.107180750955989,0.0698535505868533,0.113383650688227,0.0724380772320448,0.294837835577723,0.0922438753443683,0.0692702446983537,0.261010003895169,-0.0835188171637971,0.146104018662804,0.272171670360941,0.427626979590496,-0.107814133455524,-0.012510373703491,1.31789862235674,-0.556526774947767,0.407458575470738,-0.2190273877411,-0.06722699221369,0.45174935721225,0.774905681761692,-0.245514237587794
"YPSTB_Ctrl_1..GE....TPM",-0.148944267301072,-0.0170535118606065,0.634653849631799,0.299304499030355,0.494950975763801,0.0528902367434369,-0.197016836742039,0.550556699188749,0.214916938016124,-0.658650003091865,-0.586779959971405,0.111857377895249,0.264217981451409,0.39645922707124,0.273365068883578,-0.108174763869503,-0.0431240127586515,-0.161377442742085,-0.0329396554085302,0.328268783779852,-0.353031627204151,-0.973591379943001,1.13910022393672,0.0583109520804059,0.024840814976261,0.171196835691565,-0.918331121159389
"YPSTB_Ctrl_2..GE....TPM",-0.26564578515269,-0.414328669276716,-0.0750910893923149,0.247884072531147,0.217190768899783,0.124784176682892,-0.14258704936757,0.63351473674667,0.46167896870491,-0.590902472515443,-0.303288335422924,-0.163655456185505,0.159971000225016,0.182646931395936,0.222863615890628,-0.0973229681236322,0.112311770401283,-0.270695459760007,-0.0352031869318613,0.809998980153992,-0.393453538212547,0.268995712598991,1.34734747341364,-0.168122040598976,0.890464418220474,-0.434621828311078,-0.883227789424829
"YPSTB_Ctrl_3..GE....TPM",-0.225358283787193,-0.0466688179498302,0.208504871529318,0.353957393432048,0.281548345785766,-0.0163135040186637,-0.43770659308625,0.194420697109754,0.307993518666603,-0.550290770837856,-0.650582702188654,-0.0905472387914533,0.302816151795602,0.146937528027589,0.315304597743638,-0.12687750896147,-0.0130738661107536,-0.0724182561584597,0.0662195399609164,0.816369042567213,-0.176726985768197,0.223224046680789,1.2978936717171,-0.245716993101221,0.629758229393582,-0.589697623940777,-0.869065594267244
"YPSTB_Li_1..GE....TPM",1.16012003610611,0.778491897534864,-0.106572677805012,0.628902432167721,0.615680210216133,-0.102862328261597,0.213086837023428,0.185293342238653,0.462866299445607,-1.23905006872628,0.903271660329018,0.683672352440211,0.185257405602883,0.542820684518832,-0.073270947814577,0.201149189496483,0.225554985468075,-0.00530493572967713,-0.0115656581808584,0.573233082451618,0.27338381707524,1.26586115452336,-0.0474868207079339,-0.61102988896955,0.7104694921817,0.385726474328585,-0.393450936106129
"YPSTB_Li_2..GE....TPM",1.5271507563655,1.16786774226446,0.547114907573918,0.233406125619308,0.553466215948265,0.0228643537464428,0.206225251576477,0.380749829539141,0.584861563695242,-1.16226301718588,0.783827240719444,1.27320685635168,0.228595077693612,0.191920841055585,0.3134887601563,0.558931207825408,0.224709176625892,-0.132946636928792,-0.00515414894309887,0.170222643091631,0.629700815343084,0.462392218055361,-0.15934968601308,-0.434990076602696,-0.214770753180495,0.949376914894587,-0.677508919967885
