"","GBS_RS00015","GBS_RS00275","GBS_RS00770","GBS_RS00780","GBS_RS01160","GBS_RS01230","GBS_RS01245","GBS_RS11150","GBS_RS01440","GBS_RS01790","GBS_RS01830","GBS_RS01985","GBS_RS02125","GBS_RS02440","GBS_RS02445","GBS_RS02550","GBS_RS02580","GBS_RS02885","GBS_RS02930","GBS_RS02950","GBS_RS02970","GBS_RS02975","GBS_RS03060","GBS_RS03150","GBS_RS03210","GBS_RS11220","GBS_RS03775","GBS_RS04210","GBS_RS04255","GBS_RS04260","GBS_RS04300","GBS_RS04340","GBS_RS04365","GBS_RS04555","GBS_RS04610","GBS_RS04620","GBS_RS04810","GBS_RS05045","GBS_RS05170","GBS_RS05480","GBS_RS05535","GBS_RS05540","GBS_RS05545","GBS_RS05935","GBS_RS06190","GBS_RS06235","GBS_RS06500","GBS_RS06515","GBS_RS06610","GBS_RS06750","GBS_RS06835","GBS_RS06845","GBS_RS06865","GBS_RS06985","GBS_RS07265","GBS_RS07355","GBS_RS07360","GBS_RS07430","GBS_RS07710","GBS_RS07845","GBS_RS08065","GBS_RS08090","GBS_RS08145","GBS_RS08245","GBS_RS08320","GBS_RS08845","GBS_RS09085","GBS_RS09090","GBS_RS09350","GBS_RS09365","GBS_RS09425","GBS_RS09630","GBS_RS09815","GBS_RS09965","GBS_RS10040","GBS_RS10050","GBS_RS10125","GBS_RS10175","GBS_RS10200","GBS_RS10315","GBS_RS10320","GBS_RS10385","GBS_RS10680","GBS_RS10705","GBS_RS10950","GBS_RS10985"
"STAGA_As_1 (GE) - TPM",0.037526868273245,0.290467375250004,0.618077509302595,0.84564764278444,0.537392534199127,-0.603817223611761,0.391770065344129,-0.221739560488429,1.15725007132554,0.822370219922683,0.428154146242868,0.480175839255373,1.2438970074421,0.91340552085879,1.16740478763909,0.179737439344801,-0.105909804150932,0.557103679950788,0.846770322185898,0.640335504533065,0.673856715118431,0.112997375777295,1.32321352712022,1.22043080871629,0.523059039151361,-0.796594559629188,-0.040117129221378,1.59485539949529,0.403733628018133,0.203354830127898,-0.200231670256391,0.471696136254644,0.690719826828378,-0.249816653554152,0.305246312823306,0.0524110953470561,0.391055811303091,0.869025664246221,0.725778395147653,0.737136629136483,1.31043777445926,1.32231032840686,0.698464539092724,0.12005796164302,-0.214309455556979,1.04200934505653,0.962509125251186,0.879432408554573,0.985665322978106,0.145106222471705,0.295631880977206,0.136591514480013,0.177903581162343,0.994609009617122,0.190800737349682,0.0490769773486741,0.252450652189675,0.226255463306893,-0.121698500154571,0.593262549241548,0.235590756392085,1.22421948852382,-0.430862591962519,0.541982717499605,0.876268630138298,0.270681821974288,-0.165453298666427,-0.0271898669159769,-0.475457012708973,0.578535991847634,0.51642895398409,0.465218032856941,1.16468673462623,0.161125136368017,0.837909667512157,0.746247259959962,-0.110548585492814,1.39215158950976,-0.217055561659132,0.913385160578141,1.26856669133223,0.0497768841129375,-0.102977888059372,0.810998382984928,0.361273988593149,0.491986422452646
"STAGA_As_2 (GE) - TPM",1.06639218346424,0.117052589088293,0.711033124268196,0.309680651789777,1.16506119274915,-0.109361663015104,-0.867128270075459,-0.221739560488429,1.73471888260499,1.29701365891264,0.468659808901233,0.571060647907996,1.12409875253686,0.940596644455376,0.366216422906719,0.839617620503738,0.157520037272352,0.576107412144787,0.679026884713305,0.259769661394657,0.771861961731252,0.874390868215129,0.637101226025927,0.755709267662305,-0.202118231087324,-0.685933247659942,-0.161475882017453,1.12986384280991,0.669180110849659,0.576840523691487,0.187878658341222,0.498522448623491,0.0477556689281233,0.580561719861251,0.282189258392255,0.419565419912529,1.3458461176856,1.35565518910796,0.841239693969508,1.5928864292084,1.92391852144124,0.378907324362959,0.442481111440509,0.276909044888927,0.243177151224322,1.3531674957144,0.538090347429902,0.899953568910916,1.49788553862148,0.332634871789306,0.49588359812055,0.599914304488448,0.656337716706538,0.502293287413597,0.529906641393162,0.423618344145451,0.917388003703153,-0.0848185298014701,0.0871984719390754,-0.195656873841754,0.0771061564955518,0.730410721302524,-0.564265983479191,0.448751950825606,0.689258306021443,0.0380910477224452,0.458682662286183,0.478205151712255,-0.42147226941167,0.256391966436624,0.598696936122061,0.654921932506783,1.07649278800593,0.519840030500122,0.563249090493706,0.595581129490134,-0.118296340958825,1.23522736158563,-0.368251689439067,1.30677794565524,1.15208840714004,1.55104340179605,-0.00654322919175628,0.757696631544326,0.820202034965398,0.564999976253044
"STAGA_As_3 (GE) - TPM",1.29363949585087,0.336846994061073,0.508689600066027,0.0704887781159904,1.10780907861206,-0.485281527607569,1.36199127171418,-0.221739560488429,1.55759828464798,0.913972816019993,0.714095315139519,0.541062691978233,1.26852482875062,0.827018285904646,0.628811577084653,0.655974579261437,-0.286912348370813,0.971091704458074,1.8869910582038,0.596509764794433,0.653526660957157,0.723372287156474,0.945097742100088,0.923399396745912,-0.115437624910162,0.383039186914479,-0.0567932870326761,1.44945580787985,0.575480409748762,0.250591025988829,0.463309292841116,0.979453995422772,0.20093675281133,0.603690308264482,0.0695100373730347,0.149586646515956,0.286562879783631,1.55964008476429,1.15114753374165,1.40239807913902,1.18016476314445,0.515641807835169,0.935425015117293,0.548379277629876,0.254607272304715,1.07477237401334,0.627276393595702,1.12575947094355,1.48657841703163,0.562517674555417,0.566352994725667,0.141287954276156,0.789807714383255,1.25957525344718,0.546471216255066,0.820058445107802,0.681357584952687,0.0294632470457058,0.268805031408479,0.0091932000055938,0.00620909811288528,0.437545306143118,0.7960470488055,0.818180457316109,0.482624486626715,-0.2538456891676,0.614247113061922,0.695953821682597,-0.477925433050351,0.0447065735351573,0.901987320851963,0.0751205762160464,0.727062723229771,0.386793000590559,0.361800668775321,1.31138169770953,-0.242452377033902,0.858099630953249,-0.935003712634872,1.25465157844819,1.46407693523448,1.38641564698533,-0.104253984362968,0.530840006291571,0.700725219005521,0.551041264850389
"STAGA_Bs_1 (GE) - TPM",-0.610721512259055,0.967185170524697,0.872743254512714,0.413356156088925,-0.739057311895335,-0.94544361616458,-1.14227810470201,-0.221739560488429,-0.920271819395908,-0.688783469621439,0.0317622573439641,0.0624842885461528,-1.32766573075615,0.190846501590394,0.211821984522839,0.203685988424496,0.500839863420022,0.0829398763885529,0.0123138466199264,-1.26319343712341,-0.803976735504096,0.835190722219257,1.6722205017683,0.7361320065728,-0.347669729372278,-0.376204612656677,-0.096797089651304,0.148053404546742,0.301218778888426,-0.0149939807448004,-0.186616900913775,0.602577822231068,-0.637921398422254,-1.3872757374782,-0.0900499815070929,-0.380768648241948,-0.144141269903352,-0.47598971501307,0.21647681848178,-0.353689422668158,-0.969775471739163,0.0289773832838557,-0.99347575504573,-0.514937894370163,-0.658693229904896,-0.815018559804585,0.0978924580049814,0.293722723239163,-0.573835251680813,-0.161846731721229,-1.0660446246314,-0.824687561970771,-1.26824240247514,-0.229962729573849,-0.198571898931524,-0.304412940575902,-0.911249183444515,-0.213269629986717,0.516203332626017,1.72134765494115,0.00230818765823919,0.384255018935715,-0.528196301175415,0.153286730473902,0.544445462315131,-0.450138150457037,0.90419762119421,-0.148595790627112,-0.723781629009061,-0.593682212504457,-0.669838763162048,-1.28686368215937,0.0896706913410347,-0.615560997402051,0.591246680069647,-0.076774252098242,-0.561374661848486,-1.02364482362858,0.057884079077056,-0.901419231927671,-0.525114318490007,-1.47984831527348,0.28845430910505,0.108566125407315,-0.474209372207216,0.931144067096183
"STAGA_Bs_2 (GE) - TPM",-0.436693273947492,0.573067312352976,-0.518533474595689,-0.405030558441199,0.199634107117421,0.123669774944069,-0.380013693431956,-0.221739560488429,0.45462015776881,-0.588971450619519,-0.762220113929084,-0.337288028498867,0.419664270694966,-0.342819085314591,-0.583311743744541,-0.245292410469822,0.619642657875763,-0.363686550128779,-0.306892784606834,-0.448539039928747,-1.10762583591213,-0.376827468410658,0.15861837572906,0.479010849776068,0.1588874968645,0.716882944995575,0.936201312846381,-0.499764249857543,-0.00184150556037491,-0.396421488960601,0.321060640660319,0.193699558485532,-0.255425928453597,0.17708896012176,0.374710901081203,-0.754417687029405,-0.128857328203029,-0.516443250363775,-0.42974702602721,-0.350063329638727,-0.960125159524594,-0.297272617002648,-0.290816702970868,0.0108988799737363,0.742993428025281,0.420216854088443,0.0230848361040029,-0.635488177628388,-0.518454951284538,-0.81901187440973,-0.722590314825912,-0.403311823995916,-0.383972832893339,-1.91724007320624,0.0255185886774021,-0.953671365950924,-0.955553346119602,-0.633785415545952,-0.163086378325246,0.0373183266477848,-0.800899847564214,-0.337706080917181,2.01998759113505,-0.675808510271344,-0.567350610499488,-1.04291816086644,-0.195527096942562,-0.0164939589418527,-0.303549949170841,-0.684451426588244,-0.659363872378828,-0.581776237758791,-0.0883164081443012,-0.320264537329055,-0.101469751498527,0.0422614550623402,-0.581872233962703,-0.965700655840944,-1.59284509458646,0.544764299248694,-0.088512240536667,0.858185497463399,0.526681515139773,-0.2276412021856,-0.0717644524358441,0.283912729394406
"STAGA_Bs_3 (GE) - TPM",-0.922712664710478,0.301343429755824,-0.860287636809568,-0.498301681238337,0.266778880305249,0.486536511617538,-1.05484408024351,-0.221739560488429,0.491669894426708,-1.60798223922453,-0.490174814640043,-0.277511015086864,-0.0711325014322672,-0.245928844849744,-0.191128677007317,-0.306608894582099,0.296156594270606,-0.269032958880439,-0.63981944702919,0.580742688703784,-1.25135530127977,-0.742678088571741,0.453289534789096,0.281466301232235,0.598202509478038,1.52456497568756,1.28235533215171,-0.626289794324712,-0.246940863351932,-0.301293640162632,0.4381666261789,0.154956793892336,-0.390792836477431,0.271599820342941,0.100875342713239,-0.688254477507831,-1.17326569966248,-0.365251479178957,-0.374934733086801,-0.744526186057143,-0.644259263777349,-0.251675183512554,-0.504377977297597,0.0829849940915797,0.696109334092895,0.555779228276021,0.211865329661045,-0.669963756084808,-0.481129106209165,-0.732684079057302,-0.935036550103207,-0.386677662227232,-0.555903416444421,-1.09317011246768,-0.317648753235879,-0.837877088089429,-0.740621663343645,-0.716760132037255,-0.0321298115067266,0.680148480159949,-1.03392503561244,-0.0749709085577988,2.0001114156496,-0.729334237462502,-0.679500147320748,-0.972863267983449,-0.336578863285382,-0.270620081805711,-0.118287180577601,-0.723231595772844,-0.806436232721016,-0.563170630175399,-0.524841163077192,-0.442711688167009,-0.162858713370727,-0.311815886213873,-0.459795018338741,-0.653682861445051,-1.55376735345445,0.773412598101916,0.356445347609599,0.59043526199712,0.458531060525236,0.135800688654185,-0.261339879919558,0.123895083011419
"STAGA_Ctrl_1 (GE) - TPM",-0.146465259826908,0.00941076650187395,-0.0184083098268114,0.10113919084918,-0.0691869697210696,-0.333321746474507,-0.813225002452602,-0.221739560488429,0.392830793139369,-0.317673022375867,-0.173471889231252,0.41816730922121,-0.0702049513878791,-0.142727984072983,-0.408745635842565,0.167362482485683,-0.392811130760068,0.598759075204922,0.32687598046535,0.239426355115867,-0.140773283617665,-0.284238485922788,-0.673630777568187,0.0543005876487687,-0.370521923896256,2.19027079391591,-0.0492035916830486,0.224939701871013,0.181948328072911,-0.128469654403044,0.306105218433478,-0.150858446206706,-0.0356604057450742,-0.482572430491923,-0.151500628872927,-0.145934639959258,0.373339210333017,-0.219020090020378,0.0323058650226127,0.0516690283987661,0.0578994400525427,-0.189423987684283,0.0721075671156214,-0.0117652777378648,-0.348739338480077,-0.562056862907631,-0.187989745244282,0.534312118305773,0.461627716318911,-0.218536533555244,0.140754293738296,0.0442029710357394,0.0670443657808605,-0.0993999559585257,0.406891800314662,0.0161997237137978,0.0327280877918245,0.355740929662462,-0.332179392044147,-0.899114827961225,-0.400507951537802,-1.18490461504662,-0.325181747543588,-0.347533481544261,0.249825589813928,-0.088173815429617,0.259307430185262,0.445974492586478,-0.440478459008015,-0.647994372441856,0.213982966105269,-0.762068621123271,0.118219034216127,-0.195727562639166,-0.399029720756592,0.289283824431307,-0.310703550134417,0.0205041386722364,-0.445360393876833,0.299698188800807,-0.179219474403616,-0.799102098231332,-0.260846213844774,0.0811589380865163,-0.216544371012349,0.0148141948771573
"STAGA_Ctrl_2 (GE) - TPM",-0.432339804599717,0.230408373862839,0.403483981646433,0.34058625257361,-0.40796435852229,-0.534769736380695,0.218309870539846,-0.221739560488429,0.804486994258855,-0.531855393034055,0.381306536229439,0.971502556120146,0.518958992514096,-0.221515371381923,0.0873541447185255,0.169468130944778,-0.3960572837437,0.942361973853647,0.0819664664326709,0.298493398350312,-0.198000104538139,-0.219316650369067,0.335002579473962,0.0494506326749737,-0.0303221967329283,-0.781587630768243,0.316582167156408,0.140419116807839,0.498232914249073,-0.00923113007213308,0.018948319771626,-0.208785714173212,0.63538508346564,-0.811860226892323,-0.0468341423607292,0.184202084843336,1.34234275846091,0.0637737966984245,0.344709617447912,-0.0959835613044476,0.1784645125212,-0.304320201682872,-0.151307924871959,0.193455812061474,-0.492738015817056,-0.605627478013434,-0.0740083610336032,0.384565329249137,-0.179374522895427,0.0297463616780631,-0.279403394052337,-0.0805543814869438,-0.483597449486805,-0.683639965262939,-0.112250675980819,0.122491095394621,0.276484542821236,0.650354839704485,0.0118885637863714,-0.010445324007456,0.311006566617221,-0.31746398444388,0.755239854381556,-0.141922928414243,0.475689101534782,0.0145934488413741,0.272306463853889,0.321072546655396,-0.443162638123238,-0.0790676608268974,0.488654293829202,0.681268606595273,0.0264237423660298,-0.371358344318118,0.12120206142955,-0.353067308706789,-0.448881359953504,-0.67891308270061,0.982513284602014,-0.364797610834733,0.13310823511662,-1.23093344501784,-0.678956853909876,0.497379419244444,-0.312758832216429,0.526117613990519
"STAGA_Ctrl_3 (GE) - TPM",-0.831648856712369,0.11647945177349,0.493616383804117,0.446576247567833,-0.323673126637829,0.0823037147136521,0.154233177771442,-0.221739560488429,1.05256647024549,0.488853479231672,0.300515195260872,0.607187265950599,0.27247894377102,0.0196619952524762,-0.263165194193309,-0.0128265167193233,-0.227446949350867,0.385057866843954,-0.00258572950962919,-0.112610823755711,-0.157870865752758,-0.105883548183235,0.355393658118059,-0.106652517109244,-0.0527148880311958,-1.11313311654302,0.328867748338633,-0.0932840394407497,0.369014427919123,0.0997745547621724,-0.0339907808218492,-0.280823669283106,0.133931447769805,-0.27416854169471,0.0885173079989408,-0.150855115525123,1.33742308729691,-0.600119810809964,0.545241429905886,0.191309920980751,-0.392087975494006,-0.150922953144602,-0.0781616965243677,0.277006634060682,-0.33456589260915,-0.40757286716615,-0.0558780040736337,0.352867408662762,-0.0427387334348724,0.121136312001428,-0.250071181397616,0.0544968370620768,-0.403899149875153,-0.293348843998706,0.350158872884781,0.37907125655899,0.266115480688758,0.581696139344461,-0.113824552343521,0.299960530122131,0.270205217108177,-0.523454181099294,1.13100290502817,-0.121846451737716,0.132708863045168,-0.0914072507354537,0.237169604828124,0.581901536726006,-0.339627201533314,-0.051269728153216,0.383887645100338,0.115075899832207,-0.158750905491794,-0.417003775156933,-0.107242180344104,-0.388417063510381,-0.711211009843024,-0.590662403441972,0.850628957222823,-0.0114769043966129,-0.0615391160005483,-0.774434281761473,-0.674998713192428,0.531110110915304,-0.551797123901519,0.360320621275843
"STAGA_Li_1 (GE) - TPM",0.189273909386797,1.23398715041768,0.135381892282637,-0.447327919751981,0.73145684878331,0.513871529634584,-0.33939130741173,-0.221739560488429,-0.400845712002618,-0.718180576097521,0.83970901325315,-0.184805778804097,-0.213970216576516,0.00732329931440029,0.0871756216949698,-0.331304518737455,0.847467621741868,1.82526400720822,0.580537159634287,0.503271755287685,0.838044054831812,0.462648702475454,-0.191141746701638,-0.0131045292471943,-0.135424118348888,-0.877689685351087,1.1393252736499,0.142348011683063,0.625260275146252,0.206628449061561,0.425374696006633,0.946899221452809,0.993573343129506,-0.293900298470156,0.0217662711800079,0.140865614510915,-0.200088996513881,0.629794046109786,1.36490756592357,0.694942375692678,0.331072896068551,0.329900420282321,0.491449243986207,0.751902189584441,0.978138287322552,-0.230438821485703,0.66598159241518,-0.553988990222317,-0.208900200955293,0.0806971999295056,0.0664618508133146,0.490657429164137,1.12303305909121,-0.157495090343418,1.23513309267099,0.551104931909441,0.553302469398907,0.849417890253682,0.478826860530878,1.01239131934914,-0.306602993625635,-1.04306903853432,-0.184695047857648,-0.142900478757227,0.130024594342433,0.493775354840155,1.16473455248446,0.871584872962599,0.143662853733135,0.191966244835565,0.237502641475726,-0.0447192284858381,0.518731759979568,0.996004835608697,0.527488840614955,0.679378582702784,-1.5114097239812,-0.472130084121241,1.72326455733138,-0.460064962684909,-0.396292621473544,-0.100291210075509,1.27599065370584,0.954766214840638,0.915990943470103,-0.140682757301929
