"","OG1RF_RS00120","OG1RF_RS00345","OG1RF_RS00350","OG1RF_RS00355","OG1RF_RS00360","OG1RF_RS00365","OG1RF_RS00370","OG1RF_RS00495","OG1RF_RS00500","OG1RF_RS00505","OG1RF_RS00510","OG1RF_RS00515","OG1RF_RS00545","OG1RF_RS00550","OG1RF_RS00655","OG1RF_RS00695","OG1RF_RS00740","OG1RF_RS01210","OG1RF_RS01215","OG1RF_RS01220","OG1RF_RS01330","OG1RF_RS01335","OG1RF_RS01340","OG1RF_RS01555","OG1RF_RS01830","OG1RF_RS01970","OG1RF_RS02000","OG1RF_RS02130","OG1RF_RS02135","OG1RF_RS02245","OG1RF_RS02320","OG1RF_RS02540","OG1RF_RS13320","OG1RF_RS02845","OG1RF_RS03100","OG1RF_RS03105","OG1RF_RS03110","OG1RF_RS03230","OG1RF_RS03235","OG1RF_RS03245","OG1RF_RS03315","OG1RF_RS03390","OG1RF_RS03395","OG1RF_RS03480","OG1RF_RS03540","OG1RF_RS03545","OG1RF_RS03705","OG1RF_RS03810","OG1RF_RS03940","OG1RF_RS03960","OG1RF_RS04370","OG1RF_RS04540","OG1RF_RS04795","OG1RF_RS04885","OG1RF_RS05075","OG1RF_RS05080","OG1RF_RS05085","OG1RF_RS05240","OG1RF_RS05245","OG1RF_RS05385","OG1RF_RS05450","OG1RF_RS05460","OG1RF_RS05465","OG1RF_RS05535","OG1RF_RS05540","OG1RF_RS05545","OG1RF_RS05655","OG1RF_RS05705","OG1RF_RS05945","OG1RF_RS05950","OG1RF_RS05955","OG1RF_RS06205","OG1RF_RS06235","OG1RF_RS06380","OG1RF_RS06385","OG1RF_RS06390","OG1RF_RS06395","OG1RF_RS06400","OG1RF_RS06405","OG1RF_RS06570","OG1RF_RS06575","OG1RF_RS06580","OG1RF_RS06670","OG1RF_RS06940","OG1RF_RS07135","OG1RF_RS07195","OG1RF_RS07245","OG1RF_RS07265","OG1RF_RS07290","OG1RF_RS07315","OG1RF_RS07400","OG1RF_RS07580","OG1RF_RS07615","OG1RF_RS07750","OG1RF_RS07755","OG1RF_RS07760","OG1RF_RS07765","OG1RF_RS07770","OG1RF_RS07775","OG1RF_RS07780","OG1RF_RS07785","OG1RF_RS07865","OG1RF_RS07870","OG1RF_RS07975","OG1RF_RS07985","OG1RF_RS08085","OG1RF_RS08360","OG1RF_RS08535","OG1RF_RS08540","OG1RF_RS08870","OG1RF_RS08875","OG1RF_RS08975","OG1RF_RS09110","OG1RF_RS09115","OG1RF_RS09120","OG1RF_RS09125","OG1RF_RS09130","OG1RF_RS09135","OG1RF_RS09140","OG1RF_RS09145","OG1RF_RS09150","OG1RF_RS09175","OG1RF_RS09225","OG1RF_RS09275","OG1RF_RS09325","OG1RF_RS09345","OG1RF_RS09350","OG1RF_RS09355","OG1RF_RS09455","OG1RF_RS09460","OG1RF_RS09475","OG1RF_RS09480","OG1RF_RS09500","OG1RF_RS09885","OG1RF_RS09925","OG1RF_RS13580","OG1RF_RS10130","OG1RF_RS10240","OG1RF_RS10275","OG1RF_RS10280","OG1RF_RS10295","OG1RF_RS10315","OG1RF_RS10455","OG1RF_RS10460","OG1RF_RS10465","OG1RF_RS10640","OG1RF_RS10645","OG1RF_RS10775","OG1RF_RS10830","OG1RF_RS10835","OG1RF_RS10840","OG1RF_RS10850","OG1RF_RS10945","OG1RF_RS10970","OG1RF_RS10975","OG1RF_RS11030","OG1RF_RS11100","OG1RF_RS11275","OG1RF_RS11415","OG1RF_RS11420","OG1RF_RS11435","OG1RF_RS11490","OG1RF_RS11970","OG1RF_RS11975","OG1RF_RS12165","OG1RF_RS12170","OG1RF_RS12265","OG1RF_RS12270","OG1RF_RS12315","OG1RF_RS12320","OG1RF_RS12505","OG1RF_RS12510","OG1RF_RS12615","OG1RF_RS12665","OG1RF_RS12695","OG1RF_RS12735","OG1RF_RS12780","OG1RF_RS13690","OG1RF_RS13035","OG1RF_RS13140","OG1RF_RS13150"
"ENTFA_As_1 (GE) - TPM",-0.659281915005548,-1.03033983546686,-0.945364364787117,-0.909636676597462,-0.841475192158171,-0.868407521998841,-0.82083545290512,0.6104300652689,0.20189589618529,0.381883777161754,0.515647220331583,0.31263766131623,-0.553213049491906,-0.590768395422929,0.934814728804151,-0.459957666671524,0.656987393030548,-0.273326104580442,-0.289467057257139,-0.527585825651287,-0.661618626847031,-0.636354919937715,-0.670365421727662,-0.313370959825182,0.0861794522760672,-0.124575051164456,-0.92206631036506,0.382168873457126,-0.779129075233117,-0.447095658636881,-0.297527242114499,0.0829921641533779,-0.759865399736434,-0.849284747816277,-0.465591073841728,-0.317477311030781,-0.00931573252923093,-0.566771776759185,-0.549991051164246,-0.661302707518603,0.981259216522303,-0.49763951879153,-0.443398816906003,0.868639864936469,-0.264363282209698,0.190737086284831,1.16668625193726,0.384150061619191,1.08011171233283,0.201318987168861,0.399268405649489,-0.510032333478756,-0.168299886639746,0.0849112493436576,-0.992980045646422,-0.969382869042019,-0.822255268586087,-0.626115579919934,-0.529295557041541,-0.851654213416692,0.818497382552578,0.837892010437454,0.728222888253031,-0.35748776315917,-0.568099498056807,-0.704191317410089,-0.639263099006466,-0.67612309611723,-0.00744902106066157,-0.015163887490602,-0.36548165672989,0.33529827916907,0.677014276221861,-0.073989667597089,-0.175073276596308,-0.543162515642965,-0.386618276435375,-0.522520046234952,-0.593139301452325,-0.804338893800328,-0.745917397317471,-0.787390964895267,-0.0969605536973702,-0.44454429134,-0.978809593284824,1.12642817127306,0.642878049668523,0.145180782403559,0.676207112191162,-0.0647556437195835,-0.131817030486166,0.771159961379493,-0.613997365981729,-0.776515473126876,-0.65029123869462,-0.640718139601463,-0.675241748535153,-0.600468705851214,-0.634544294716819,-0.626934924121257,-0.580966809212827,-0.600873270985623,-0.73006034992404,-0.487389201518122,-0.0606036627535571,0.417176649917578,-0.595801816808288,-0.790593624327083,-0.638116774525373,0.377683643576426,0.689407537066387,2.82860036123601,-0.483755714524968,-0.481511487517414,-0.473689959428355,-0.472148706838358,-0.470620112732227,-0.488318996043505,-0.469928803916256,-0.46571090589307,-0.389889589332932,-0.905816254775174,-0.0414272562860239,-0.014088191531465,1.25794018913974,-0.313919542652741,-0.330045993485944,-0.154025059300295,0.603060269086144,0.668360845932312,-0.0889773042545033,-0.35702504390719,0.720204657671186,0.741667764470018,-0.249085387805167,-0.439523682451171,-0.763897324253243,0.870636161343185,-0.185154398092643,-0.146568959121153,0.789758370982258,-0.953175274525204,0.688210015635776,-0.75609973067835,-0.368102649200371,0.860955351358287,1.2009896642858,1.05664955114857,-1.05882521536184,1.20899253658886,0.969167771618222,0.639174440669204,0.755934615705721,-0.768165509680199,-0.808907690551426,-0.472008097591078,-0.0906265843395177,0.18849606271075,-0.267442899380701,-0.677349258689755,0.90819240271714,-0.665057776170309,-0.47076321978388,0.80750676036055,-0.493217727715644,-0.685805647852785,-0.485853985670241,-0.252872002498796,0.179952477190142,0.208477165283696,-0.580539195182929,-0.297858219828164,-0.691313373783547,1.74481865475786,-1.07543752635553,-0.830723159962468,-0.460268506147278,-0.575072901302208,-0.664790148091621,1.09004718688899,1.21999993526099
"ENTFA_As_2 (GE) - TPM",-0.701937329282255,-1.05872898902586,-0.941263918286938,-0.873589710470731,-0.851970188120742,-0.846342411054141,-0.833512748542573,0.568657209709403,0.151775267516979,0.38420689006313,0.627913705137047,0.365988132135413,-0.857269113407308,-0.639030889595338,1.16903244816067,-0.697007092825276,0.235737250249883,-0.631595407068628,-0.404788413017557,-0.103958951044285,-0.838315639705546,-0.728771100844212,-0.605168247325189,-0.511260308454971,0.15496011412713,-0.314359797996141,-0.924854277610154,0.271954706979385,-0.857500101858123,-1.11942511063026,-0.347871087258979,-0.392279713821618,-0.435034429097785,-0.911169993922604,-0.702789678060891,-0.47963623249526,-0.250390334810434,-0.531842069157287,-0.607582265555391,-0.639730898812936,0.694825500868893,-0.521081174083237,-0.466828017334278,-0.232775169561953,-0.390123045043606,0.135373023528732,0.730635047420388,0.138111117833268,0.186578217135927,0.732154072433178,0.552965073625494,-0.328092100172315,-0.277393689408592,0.793165164746299,-0.941679510649323,-0.985808302552948,-0.970381857062218,-0.264244824135909,-0.668312526191038,-0.752744789201712,0.98410298410769,1.39217924659797,1.27691593247913,0.169531326233436,-0.373241088358153,-0.420825537088085,-0.798632060962317,-0.438229686275451,0.153196692369105,-0.00722222922703491,-0.366310242239009,0.41098364361924,1.42915652538332,0.217034442431895,0.287991025347617,-0.394796177058574,-0.317795115145429,-0.312985119823643,-0.455751164726953,-0.7971448341134,-0.723961346852714,-0.778381813596275,-0.193840228274314,-0.423142202432068,-0.973615129857351,0.712357275440648,0.0955108874270242,-0.429354824337932,0.812055342213877,0.264072621932768,-0.239435456992961,0.562406224218389,-0.544204078913697,-0.7565697027855,-0.651001918318265,-0.632812879659201,-0.651860252568988,-0.574033173569233,-0.587752878954529,-0.597988558704279,-0.521582770771773,-0.580982244407073,-0.646587921882609,-0.278912331207655,-0.188049202677804,0.719058156723975,-0.661587277949455,-0.814046485488925,-0.673635130116854,0.36969287252469,0.818551913288898,0.939097552276834,-0.484159921215528,-0.474654844596579,-0.480479818574546,-0.479921839614342,-0.468848819938675,-0.493015037500711,-0.481712069273393,-0.481287977028097,-0.458975670134335,-0.854807131453405,0.054945714228342,-0.759408114620727,2.26136587839398,-0.367180979420379,-0.363707138419948,-0.297049659190456,0.920109603664329,1.28845473972674,-0.0667884803085431,-0.520319008341498,0.898065470721084,1.00101542025679,-0.629684799365546,-0.439523682451171,-0.68333868638547,0.580449220120405,-0.783363294153777,-0.0938974603094544,1.11066673637373,-0.935141819741842,1.07647385414479,-0.905021137786825,-0.564928748903135,0.68151737802591,0.957530461082812,0.577878747914519,-0.987058114234225,1.42978378167395,1.19127026058083,-0.0498647017342071,1.32516018020322,-0.806350713819103,-0.84234260084926,-0.452523664623701,0.182978527750337,0.0390521831643291,-0.444420465469234,-0.730425120748439,0.432755140655415,-0.498602206362355,-0.404980111916739,0.387716293976809,-0.355676292970148,-0.662811656465655,-0.579649211411704,-0.221842317694882,-0.0339224863501147,0.155018963127198,-0.56026570416726,-0.101786547662719,-0.409669463324672,0.87881991163451,-1.04771998069352,-0.752356945267235,-0.764573010493051,-0.0207582402496936,-0.684468854111377,0.572524805250741,0.744471734379252
"ENTFA_As_3 (GE) - TPM",-0.680773049590208,-1.04290138606388,-0.943977774889566,-0.863450810649593,-0.863520212704684,-0.898238047906211,-0.79840267349763,0.509288132253933,0.309718653742695,0.638256042381865,0.780560545030713,0.445476641537607,-0.597652583558916,-0.481265244790011,2.15240749575241,-0.470089496111325,0.493195580799203,-0.629737757152591,-0.412550174399738,-0.213932172834374,-0.778344502991482,-0.658036822450765,-0.757786911391933,-0.0370097317102047,0.51502086107761,-0.0520498723524079,-0.884294442009578,0.208173148217248,-0.795614957342034,-0.519700318694222,-0.338872459751269,-0.397533595018242,-0.631140595643677,-0.862671725748779,-0.464928265924737,-0.103228736492181,0.142377730699164,-0.494212907472759,-0.640720347387929,-0.618224432104201,1.01636668818075,-0.2612753074388,-0.50779162260273,0.83869123985468,-0.203203802494549,0.585620301460557,0.743334915869353,0.206389695215623,1.16939204611839,0.784403196219712,0.253851808404079,-0.662084024047761,-0.191550950135515,0.370615901606261,-0.854355516009341,-1.00142402726984,-0.814027493002834,-0.617113244340741,-0.383616634637683,-0.754237704593261,1.11685011193522,0.896668352766909,1.02303656502684,-0.219630894903073,-0.680007758905657,-0.477978268462579,-0.701950911333932,-0.549682452713662,0.185392431129457,-0.0557872319592196,-0.298579890511748,0.902003422218548,1.00827738462726,0.361486080902624,-0.170001575650567,-0.329055216074365,-0.468873613059222,-0.322251114992107,-0.41084258048284,-0.80487337186013,-0.760659686242672,-0.830088657967803,0.379985989449008,-0.613054329224524,-1.03320163531438,1.01835450714869,-0.0821877381026837,-0.491765970019967,1.05011110458231,0.182881944518504,-0.0355499658343366,0.497541022455731,-0.508424297595274,-0.75074143857879,-0.631556366554835,-0.642280386493728,-0.640978001137693,-0.637235176008449,-0.620092189196319,-0.603496228349208,-0.596159803463612,-0.630963852496565,-0.61483140321612,-0.520278327696061,-0.162955277686658,0.497279466624098,-0.384642130049706,-0.820408757385061,-0.69465387348631,0.55809315610512,0.766908367913934,1.50150615506788,-0.485257221102342,-0.474803844066687,-0.479604985054459,-0.466306661454067,-0.463476643035994,-0.489354971865996,-0.474989147789933,-0.469255823605052,-0.446287225124659,-0.940103743343526,-0.171081836298975,-0.304015009256685,1.58438841786167,-0.298972561778169,-0.245564356764143,-0.101072100179669,0.356189627227596,0.216073864213004,0.092776976612795,-0.312664529676893,0.943462002519575,0.326247550565056,-0.183860969300784,-0.439523682451171,-0.546226348302181,0.778976151885059,1.11965113485429,0.088369125984825,1.4443293158267,-0.956266510201958,0.701095198633025,-0.709569257934523,-0.636041244027688,0.652826292934583,0.642701533904503,0.643642672553809,-1.07315704034261,1.73238018190857,1.14398683449554,0.109373095774301,0.738994882488331,-0.773683244261939,-0.83154903094302,-0.487559752567153,-0.101979963282073,0.187863162267574,-0.573393504695808,-0.667254526230137,0.419226134652117,-0.774347971312651,-0.811619181557083,0.0208703311876718,-0.581395838164114,-0.74613212456959,-0.520982250161727,-0.33566472998129,0.132954036497984,0.289938961982084,-0.508938620691765,-0.299463295266101,-0.186621109645635,1.93374199232908,-0.879945407875622,-0.875189259873701,-0.651727176492194,-0.0135219010532315,-0.65738489570923,0.555621464116241,0.260752394480395
"ENTFA_Bs_1 (GE) - TPM",-0.539885063174933,-0.718407326748651,-0.7403618544757,-0.736953923977983,-0.764491819962451,-0.823195462646508,-0.758325731648515,0.856455537551918,0.437000405986811,0.589848218990846,-0.0703100980999192,0.0478077986053637,-0.870042583588592,0.289093471728199,0.823100136230083,-0.824215965054058,1.17330406099442,-1.17417557937427,-0.429455533474082,-0.666003717691778,-0.176159668290809,0.796982161986461,0.0359745302354876,0.378055906270955,-0.240142397423114,0.0554158737268149,-0.461827694657965,0.425912725893754,-0.794460134859229,-0.267493749344562,-0.759347949480426,0.455455693510539,-0.513981336507735,-0.78501799469269,-0.33589661592915,-0.189670872430464,0.342390769358001,-0.592224735473637,-0.554934920830955,-0.678876736943386,1.16114194346994,0.00820564506818231,-0.395380419104995,1.04042121030446,-0.174638093337937,-0.0504306862651318,-0.139026545979614,0.783112479291211,-0.609945777296376,1.18327396048583,0.334347734839742,-0.733754701487718,-0.0874877217863614,0.983633064019605,0.0361382477180315,-0.553068703799167,-0.636268943219592,-0.628503089846869,-0.409718437364226,0.49459198985412,-0.234343919079035,-0.462816770915116,0.258995260577509,-0.039224053366681,-0.190607209639025,-0.345250401577199,-0.558683697010929,-0.700605809715955,0.300691698539618,-0.10088227328399,-0.412939340775218,0.523327174017456,-0.05416882217518,-0.625271562868156,-0.710617190032101,-0.367448059677199,-0.491239301264406,-0.550306052898124,-0.449272630797036,-0.464417401334222,-0.562995879885846,-0.694473878762404,0.131495140101247,-0.914053221003789,0.00311154116356127,1.34679809082378,0.813323291894075,0.909604565905814,-0.757231863273714,0.369849116891107,0.140864539817662,0.510507726558454,0.4387709651908,-0.771740708618455,-0.64467010529813,-0.58956950222439,-0.588409855850498,-0.49488363194789,-0.692328222432782,-0.673292067886729,-0.579699431482559,-0.703530355777289,-0.82176779168475,0.0596614239792353,-0.403520824624964,-0.989969910450517,-0.97958086353734,-0.679603742673261,-0.509228847836984,1.13769660696638,1.20598539914499,1.25169780498768,-0.494762760310476,-0.486441036647769,-0.460951697873096,-0.46906151528036,-0.447975215515158,-0.475355508300556,-0.454713633228453,-0.457326618743859,-0.421676985589298,-0.490382975592145,-0.235994006051904,0.769409492741126,0.663790722678091,0.0603057480462984,-0.0153978170623568,-0.266464200235431,0.724979639331884,-0.647372436787727,0.107548646741196,0.307623754671607,1.04285847780206,0.325007852794152,-0.338713348512655,-0.439523682451171,1.47415475851377,-0.241677280861721,0.0992388177324888,-0.50450786060704,0.614539365104436,-0.865416339573996,1.2614877816123,-0.891429849111545,0.847046610951709,0.283277444673847,1.36451124735394,0.541701797499136,-0.952776574183571,0.628730678729229,0.686920422076727,-0.659058636620698,0.392245454243943,-0.633557469839371,-0.154205735168526,-0.0653918523371999,-0.490328473786759,-0.253953185710195,-0.134686628395827,-0.462792608247073,1.09794170747029,0.955109582389641,0.759184395615798,-0.999191724217494,-0.571660409325871,-0.0607849220994151,-0.314358156770913,0.222541320215685,0.30123936097387,0.206167023075697,-0.624055554396563,-0.470455106216994,-0.621545557262368,1.30769547010587,-0.913646506052172,-0.569587777640966,-0.908438629619104,-0.467516497047527,0.411818673018903,0.450176941809487,1.49653859337889
"ENTFA_Bs_2 (GE) - TPM",-0.600526231294883,-0.597757959979494,-0.733200233040374,-0.783645748494577,-0.763716234688493,-0.811408905638843,-0.787808866967765,0.340785126935261,0.203582475396912,-0.0267078332515352,-0.388095399337178,-0.366294113073103,-0.756372624028092,0.540336962237689,0.401391329163683,-1.13060499147817,0.366038287417533,-1.22586733003142,-0.652067820237587,-0.359356067691866,-0.132472171485179,2.02262866368872,0.9044956225206,-0.687853801686206,0.272393815131338,-0.344829841080338,-0.338035662444469,-0.0412962337655071,-0.674174090675124,-0.232395012967659,-0.497576956718957,-0.0430358237406568,-0.502409769762742,-0.806474352708214,-0.580587661612489,-0.332876042770169,-0.37683108799441,-0.616574685185573,-0.594281234997773,-0.588323853527052,0.262797342706714,0.313176524857111,-0.563592679480459,0.449420381514099,-0.185902748730662,0.0856424837863662,0.0418013203445254,-0.0761213406633108,-0.931061859032228,0.444504540706876,0.505426548514202,-0.824807414602866,0.0786093619745477,0.858259312134026,0.657198830363313,0.488914107327575,-0.29148381630481,-0.684540992302103,-0.68374477766795,2.20549455351426,-0.0112665963453971,-0.317997987933184,-0.464129667943818,-0.187270180596503,0.771382139913107,0.654057595747723,-0.600543997128393,-0.518008238514883,-0.14225720211654,-0.284573002625901,-0.427070995568229,0.257299904384477,0.00979590403397105,-0.458151228347253,-0.692568951482295,-0.350245660669734,-0.36806401488603,-0.551540414372698,-0.511916944576348,-0.45105835373124,-0.400325387022765,-0.508070623143023,-0.00689365868020643,-0.306299993628945,0.330224722880433,1.61424637780103,0.0503593035717746,0.617513996238218,0.399231064491194,2.0097709100552,0.831680563347527,0.733234804207267,0.645137389569394,-0.814280100924961,-0.6360763948909,-0.646700109152271,-0.651268047686381,-0.594720198250147,-0.681339472062408,-0.574133713458483,-0.529198397296963,-0.621039492357364,-0.820656764697712,0.192711590330815,-0.856588879748129,-0.0871879853729783,-1.10877537517455,-0.699768104300429,-0.694451042173336,0.882437054747068,0.687764071823316,-0.0355968371581062,-0.508291161419415,-0.495086844709307,-0.472712148334666,-0.484827755112847,-0.467434265821083,-0.486996342081523,-0.490246816413263,-0.482959641253066,-0.470897533473602,0.0413220039856742,-0.254212641003387,1.09978413170254,0.453075988468572,-0.242373019356823,-0.0181642313081719,-0.500113217285257,0.299748242524773,-0.321450452014847,-0.00944524066860316,0.553197038813386,1.01726172791946,0.399939180621751,-0.75408713782,-0.439523682451171,1.44705293182335,-1.17709736991592,-1.06697216987988,-0.699562349914996,1.09386334258973,-0.730697118789183,1.56709077135464,-0.870719445404528,2.56766950913592,-0.0764293697261688,0.505186824751374,0.254878124859753,-0.576122720125015,-0.0308725648735655,-0.460959014222315,-0.515038840475047,0.929936351299977,-0.515324226718497,-0.278727871254587,0.0432289797725564,-0.360229978083644,-0.50112338563773,-0.0557139149806234,-0.306265423616323,0.29915807436182,1.96851859400396,1.42542438666203,-0.734381539870203,-0.24734916421054,-0.0507125510799515,0.0305342942284672,0.509280867314758,-0.0473524812859643,-0.24649302333084,-0.551377485171742,-0.846903302540382,-0.738743221809507,0.190299987025995,-0.698845120704135,-0.646269562552841,-0.883456193556155,0.00310284562930491,0.636009353693838,0.302744232341422,0.0223108726010793
"ENTFA_Bs_3 (GE) - TPM",-0.527939585951112,-0.693985342058642,-0.741815462923772,-0.633152526933185,-0.74551466039807,-0.787727227565562,-0.675996017995667,0.680649620035451,0.52321782460301,0.522278559362318,-0.201603269907678,-0.0529160678874617,-0.263307281432934,0.333763523525907,1.07710488611884,-0.802458126485228,0.482223370663835,-1.18136242270208,-0.474918530414831,-0.355917465686409,-0.0890733581567519,1.2205178499224,0.280337845260502,-0.056605948187961,-0.0424386805202106,-0.40761549179431,-0.444004587939328,0.464761623785523,-0.737143640028093,-0.354985968100647,-0.473312535639557,0.525015533897675,-0.728192422131633,-0.830586065689426,-0.0442175382173416,0.0894725129460873,0.190969583755204,-0.618857993485186,-0.643014568897118,-0.695994380779774,0.945559814594739,0.385968606055817,-0.725826492800152,1.27774173823399,-0.172271960373355,0.0450816142211452,-0.129937585642748,0.774313082298675,-0.732733664590309,0.42332460884508,0.435587284508815,-0.772266172413731,-0.328078124285059,1.3757378300592,0.202783279498106,-0.234974893293587,-0.677560489372358,-1.07078669932297,-0.30176527646936,1.242046762315,-0.855497280107867,-0.827730046924481,-0.695000766194592,-0.0359936031881009,0.0138594328244688,-0.139783183571287,-0.373136150191661,-0.441788049147694,0.664015515506053,0.112839176707437,0.077561859755275,0.122504350254705,-0.320057487969894,-0.425720555383396,-0.604867616250685,-0.54077372309175,-0.445495206415174,-0.285907164586024,-0.547479150836928,-0.468400217099027,-0.581218900510945,-0.671035977127744,0.0149635003464443,-0.159051735231263,0.0492217282716129,0.405433529654858,0.23215972109307,0.381767815570796,-0.881134201545373,0.471918138325364,0.649017088713808,0.296374909354519,1.11738793853878,-0.729962342907319,-0.602435440333337,-0.578780160636835,-0.606978222131381,-0.549594194629392,-0.695843849261596,-0.665887701817471,-0.584757274590335,-0.621804628755946,-0.635331384830129,-0.204025765180901,-0.38594867561456,-0.692357107862517,-1.58823500961549,-0.750902201384104,-0.577702709453261,1.02605503120186,1.04080880221977,0.585861869387624,-0.497473906378831,-0.489465554835227,-0.468093600933292,-0.458229631559631,-0.438740420576214,-0.489174659435562,-0.472284616386226,-0.458681005643441,-0.476076206236613,-0.306164167508773,-0.446477572663563,1.11520428443076,-0.456747916452479,0.110936990217942,0.302385781075753,-0.190886869312045,0.306931179925447,0.290206644307797,0.124374354522055,0.706170980846838,0.913651547869788,0.615084205785705,-0.0227368409342467,-0.439523682451171,1.44169359282091,-0.333381698690869,-0.244260330685418,-0.79948666348005,0.577659923738413,-0.723957421369481,1.00551338743064,-0.893399707249756,0.979087377022586,0.28730687301944,0.196346039273538,0.937596557382952,-0.809964104076583,0.386380742772404,-0.196720370654859,-0.050287474214607,1.40783165867516,-0.543656489576186,-0.298399576978618,0.213033682027697,-0.484789252128483,-0.181217770695528,0.0792940186334626,-0.389091418818544,0.908992602816155,1.39555341418461,0.7173371449662,-1.60750460067122,-0.470876948215849,-0.101958556335654,-0.434420924083821,0.178296642148852,0.440133869235917,0.400592553144501,-0.609231969806946,-0.755442665526851,-0.572669961822667,0.0734058489016551,-0.799987919858628,0.317098688280867,-0.736400819486221,-0.5498880648863,0.841937733401191,0.777694731483471,0.409435158654244
"ENTFA_Ctrl_1 (GE) - TPM",-0.657132884812147,-0.722136125485571,-0.893346416801809,-0.833899398419637,-0.803856568796288,-0.731340336691439,-0.765648792583437,0.563343177011591,0.607866836314994,0.467034057796768,0.354476114773975,0.406402344604407,-0.991750679876422,-0.840010104589277,0.0747377287415967,-0.994625111365682,1.17615603804179,-0.86340541593538,-0.626630878428736,-0.193295316435409,-0.414674721435357,-0.810426635884143,-1.04351295844546,0.815507078755084,0.946707491319464,1.21835943481788,-0.400930602837333,0.885337840428996,-0.487777051302286,-1.39870032205785,-0.942639910705912,0.541677982918241,-0.590458087135372,-0.710589808591616,-0.0927931961118343,0.0920594667148812,-0.0296252237939436,-0.558030535661655,-0.560787915060514,-0.696649688630023,0.914237914293492,-0.830888779165391,-0.826613767282062,-0.128331450708471,0.0258929464771329,0.222018810758212,-0.192905341739021,0.0641339097610202,0.0111633396489086,-0.00755664543408023,-0.61222726257643,-0.328814786237699,-0.287239061730569,1.37312726449131,-0.62204512968989,-0.610746753608862,-0.233190425574565,-0.815985905374327,-0.984481398288987,-1.08574540947708,0.560425535254609,0.860541356798611,0.587541441050878,-0.854745454678897,-0.530770928590626,-0.866589603755766,-0.387811490797784,-0.320526029162805,0.271574031297345,0.0722343005726129,0.0192792533979947,1.35108231139727,0.702108782782831,-0.28584621766769,-0.206109311412736,-0.202532726300981,-0.314171853615511,-0.267521926501253,-0.324598350643469,-0.770351273733431,-0.8056576021173,-0.690592226931386,-0.778926751943992,-0.657072432768826,-0.667724006165482,-0.0777068028652292,0.858664011084484,-0.331784736992987,-0.173587406525796,-0.00316757026535518,-0.583763171409922,-0.460132855497564,-0.808572002623459,-0.659105897428668,-0.653235410288919,-0.597427914798196,-0.601105936656093,-0.511993266698308,-0.562213908058428,-0.495489807601485,-0.5110398961687,-0.585427937550602,-0.575825681026287,-0.989706317898054,-0.0962890769471807,1.00760375306886,-0.618836815642936,-0.768283721858166,-0.745269253367806,0.632488560492463,0.911900542896042,0.174927584754279,-0.478613286539149,-0.471694608877259,-0.466944112136639,-0.478760161281575,-0.478629011500881,-0.504418575551189,-0.490264379179979,-0.509076400219469,-0.497345265701164,-0.820240876014117,-0.616273316046618,-0.153169138933718,0.74371346264234,0.705716564182349,0.098372281595791,-0.383312295281179,0.311148005398599,0.619420724114362,0.440974424994234,-0.08111492055839,1.11388266861049,0.815603473687798,-1.15558147650179,-0.439523682451171,-0.524882400246111,0.102440881167903,-0.544083800406305,-0.868808261811757,0.757194190786029,-0.917975180412094,0.746084669328645,-0.619528543054258,-0.72701577453126,0.941739770595415,0.990540980827046,0.244801967251384,-0.949306007483326,-0.0257058746935311,0.252893432892322,1.38697971877727,0.0334904194277071,-0.825663060601115,-0.62975976105237,-0.116294532548743,-0.407313827323168,0.770787648075206,-0.930976188840669,-0.743900321846939,0.44314200831752,-0.472842471924758,-0.957384183069396,-1.4814337126857,-0.706680456600481,-0.413919545573841,-0.285940670115351,-0.190358513762479,0.50751519191721,0.387043067852141,-0.621025374139134,-0.594781368175722,-0.831069020303747,0.215831467439974,-0.4643551791122,-0.298720962451859,-0.303048405465437,-0.566122469222259,-0.698167931407973,0.178083667453465,0.0418588371100686
