"","SL1344_RS24625","SL1344_RS02890","SL1344_RS03960","SL1344_RS04445","SL1344_RS04620","SL1344_RS05430","SL1344_RS06670","SL1344_RS08045","SL1344_RS08060","SL1344_RS08070","SL1344_RS08590","SL1344_RS08755","SL1344_RS10115","SL1344_RS10505","SL1344_RS11010","SL1344_RS11175","SL1344_RS11305","SL1344_RS11805","SL1344_RS12290","SL1344_RS12350","SL1344_RS13525","SL1344_RS15090","SL1344_RS15385","SL1344_RS16820","SL1344_RS16840","SL1344_RS18665","SL1344_RS19395","SL1344_RS19640","SL1344_RS23470"
"SALMT_Li_2 (GE) - TPM",0.205174941329403,-0.336368404928643,-0.464916494527819,-0.910315061612468,-0.870280872375341,-0.378553230930167,-0.0231076468108407,-0.630917210694433,-0.481528728583162,-0.136788288744762,1.09219114961637,0.160073483409455,-0.195985501777391,-0.740715430226036,-0.467402240394208,0.0917114763307727,0.701239833120822,-0.546447787951628,-0.161063373873629,-0.193945382319026,-0.191404070608537,0.128641705205027,-0.571188095496412,-0.812475539367178,0.105951538814214,0.233582755866121,0.458476221561878,0.199354224410279,-0.56578049629002
"SALMT_Li_3 (GE) - TPM",0.63017595867262,-1.16111592552556,-0.689676677992332,-1.06512553249776,-0.345407629733964,-0.683270862181387,0.451677749067995,-0.598487599346832,-0.036526707616333,-0.861967761165772,0.64498992478273,0.301931327150805,-0.263597679296607,-0.447433061196263,-0.543054487259618,0.526286024984114,0.228131794573947,-0.525411629764009,-0.22599751417898,-0.396692536618283,-0.845810590701989,-0.730054481789435,-0.355006242314385,-0.741506975424331,-0.190352463849043,-0.200970271853387,-0.655521819850327,0.89106838701623,-0.678876163181334
"SALMT_Mig_1 (GE) - TPM",0.0153776495763461,-0.0630323124312911,-0.172071834447498,-1.29145373096086,-0.476974838990678,-0.683270862181387,-0.650771524077693,1.51741873801261,-0.49393329355131,-0.280871385782794,-0.852800012860573,0.205521942415206,0.23049180358753,2.36462623647497,-0.191591183110388,0.696848302104451,-0.177997204235977,-0.802939300537974,0.625619356352889,-1.05780267601314,-0.150066989654522,-0.850635718039205,-0.156096980815727,-0.179695840184792,0.812826141389578,-0.39547037705958,-0.867363481573344,-0.18919024159466,0.252313012557927
"SALMT_Mig_2 (GE) - TPM",-0.900410124493458,1.12527360226752,0.346584642757592,0.303538721580916,0.621755919347897,-0.489712660518071,-0.376718285638136,0.324835599089863,0.273816044010264,0.419438331714426,-0.34662275455763,0.982378241571961,0.692331341767899,2.19740225500373,-0.0388788945554396,-0.842213559762157,0.96626142358931,-0.675772857440718,0.960015490408842,-0.167435050341342,0.933396738370866,-0.850635718039205,0.104261229067716,0.651121933446723,0.879543943686611,-0.548103280181935,-0.119694999845514,0.533656420787577,0.971963874795875
"SALMT_Mig_3 (GE) - TPM",-0.00781453636385155,1.35653437139397,-0.274311172484859,-0.815630833538076,-0.136959218743072,-0.683270862181387,-0.981474118567619,0.107858964795653,0.16703443284581,1.08304548072953,-0.603397637824546,0.0811281319696574,-0.217674257882779,1.3230925887309,-0.216382801861384,-1.02912275909162,0.572235202640878,-0.908834440732122,0.788541776523344,-0.0201831854292937,0.847989463532714,-0.518215548718842,0.136972341529241,-0.0140527982396033,0.863144591755807,0.54263915561104,-0.705086491348032,-0.658906549755251,0.260546664766335
"SALMT_Nd_1 (GE) - TPM",-0.776446296867173,0.0259280453606941,0.162071039124161,0.423280598740583,1.10691828406661,1.09421502935155,-0.0519416317862633,-0.20975851366135,-0.23862363350562,-0.293073332696004,-0.655137020135228,0.965283978595169,-0.227218905644357,-0.440498205607925,0.103595715469493,0.217018405758518,-0.067028250145051,-0.710322780554072,-0.446463909007595,-0.664285196727826,-0.0999143639401265,-0.135053885558375,-0.186329491559926,-0.617606451509057,0.0749896845584148,1.09156837694235,1.6366401521947,-0.658906549755251,0.860343203670337
"SALMT_Nd_2 (GE) - TPM",-0.511210215543131,-1.01710466838632,1.7923780853455,0.453358398127653,1.28913819059581,1.50912295568243,0.171439873198656,-0.317136224323856,0.340058935274434,-0.49132030569305,-0.563339058159629,0.961829677142243,-0.397345722610452,-0.153573805687272,-0.0773973556267665,1.50805904792563,-1.26111153014992,-0.775913287726328,-0.606662051161741,0.0236353970680508,0.38778217136538,-0.138848758336193,-0.0923218119039252,-0.645664458421474,0.32438978091984,0.544783389406106,-0.149938115979541,-0.658906549755251,1.45441521732866
"SALMT_Nd_3 (GE) - TPM",-0.658394613039905,0.808102364263619,1.05161868560742,2.27655501342341,0.989020217850722,0.501383297551722,0.140905883357659,0.158091624834518,-0.775112481252114,-1.03556462724975,-0.0377046910903175,1.47515662739438,-0.0227824046115209,-0.38540069866665,0.546839485995482,1.75882789506538,0.789656591825704,-0.408264639984461,-0.0424028420517151,-0.0426369665946027,-0.546927835896728,0.28952574492401,-0.238685027531686,-0.64766008124073,0.117274361908144,0.24830478658454,1.3548497329433,-0.658906549755251,2.03913303969215
"SALMT_Ns_1 (GE) - TPM",-0.083596858011564,0.240570117169529,-0.974463492110551,-0.749887373407572,-0.403204558060047,-0.683270862181387,-0.363838160967945,-0.644357501302518,-0.667645125012116,-1.03787120697447,-0.945644418677684,-1.40663481731001,-1.1936702279021,-0.68937032117755,-0.729120896726832,-0.381179417530028,-1.12023891380464,0.00625005620319037,-0.587839113254322,-0.171031710568534,0.456557910318847,-0.705150033216159,-0.712535573058635,-0.895379100834257,-1.03194522710024,-0.599242947560155,-0.617469495963573,-0.658906549755251,-1.16993186691456
"SALMT_Ns_2 (GE) - TPM",-0.220876135490002,-0.833350426179537,-1.11661135932853,-0.28576624563728,-0.273509136666652,-0.639272372295054,-0.787611604605717,-0.695640736969753,-0.498681191014597,-1.01161005455053,-0.696773707156507,-1.40535370142833,-0.977165086575291,-0.717433545086493,-0.783773883637597,-1.03936445805728,0.385401698198755,-0.0696031566215598,-0.617184952423546,-0.299999777330458,-0.289868315609544,-0.121547811584288,-0.664085745838799,-0.752827766024873,-0.867458199561522,-0.240988964189036,0.427169566273561,-0.658906549755251,-1.12526791201794
"SALMT_Ns_3 (GE) - TPM",-0.244078218710356,-0.610155778779404,-0.785288579723968,-0.448506688495478,0.308948524436188,-0.683270862181387,-0.680100900496541,-0.560244701278439,-0.675089215831912,-0.421937723688398,-0.724482628385928,-1.68696300179459,-0.97891077640372,-0.77800230243821,-0.511020903601538,-0.901074362316845,0.0223399714716616,-0.203821359298377,-0.759251219703639,-0.480686059561708,-0.13596569308869,-0.673744918662578,-0.794027070489352,-0.637527123767164,-1.10775841285776,-0.0707209902583021,-0.49730617382086,-0.658906549755251,-1.13108278851484
"SALMT_Oss_1 (GE) - TPM",-0.573513053640051,-0.339187627324673,-1.12002424382146,-0.465057605468207,-0.0319111342462707,-0.433248164446501,-0.356563925980513,-0.562875604816645,-0.757276222126269,-0.469534009047694,0.00241383019390154,-0.395020649618247,-0.713941366381785,-0.427444805186068,-0.471522780059426,-0.396729379474915,0.173577964227959,-0.400060627809143,-0.813292216515814,-0.809180763693753,-0.172801909697688,-0.610003257874806,-0.152326345049211,-0.169304596017663,-0.134062098690057,-0.394312529328193,-0.205847146098668,-0.200437628146861,0.365114874258225
"SALMT_Oss_2 (GE) - TPM",-0.358483563086774,-0.451259568470307,-0.885984617773346,-0.242270728966275,0.512253419692107,-0.524562065884063,-0.51915702587719,-0.602764786250497,-0.34295507270229,-0.379774622727762,-0.556033543164088,-0.493780854816543,-0.476443190780527,-0.465887870412746,-0.57254450906176,-0.591430541434576,0.0905018859905087,-0.550392328222786,-0.732088459933606,-0.572314540639854,-0.19296853192802,-0.543242057924767,-0.354007220590885,0.161510099496415,-0.680280621156312,-0.31370446845988,-0.65171542985417,-0.179961266000847,0.370905109713506
"SALMT_Oss_3 (GE) - TPM",-0.265033978749051,-0.448866866770372,-0.970819965296257,-0.291231523620145,-0.814725384897556,-0.683270862181387,-0.767988690679013,-0.354850860053765,-0.831858493200457,0.484162169373247,-0.203248963531408,-0.558442225794235,-1.15553538903597,-0.77800230243821,-0.555985793598525,-0.29671103694017,0.134822006261846,-0.649866150787388,-0.959073403559278,-1.11799388609966,-0.558743561335458,1.10153360924167,-0.28373795865974,-0.461127205900782,-1.8275178732104,-0.951307896361516,-1.09115951766582,-0.658906549755251,0.24231976937089
"SALMT_Oxs_1 (GE) - TPM",-0.582988379436262,-0.409894422957332,0.0556633358967627,-0.32498002816334,-0.720363294871117,-0.487088538068466,-0.237273824497146,-0.487290275898414,-0.32497945904993,-0.0657435561854469,-0.613182712215882,-1.08379827494347,-0.335667280121438,0.0682061656913007,-0.590682544614089,-0.485790460565655,0.00946639564789212,0.145502726833016,-0.830326254568214,1.42196503862735,-0.116059840456902,-0.495993397574106,-0.429840412878512,-0.0475892522101473,0.713683962062749,-0.828706604333398,-0.812192015964687,-0.658906549755251,-0.63961079878316
"SALMT_Oxs_2 (GE) - TPM",-0.111954819340071,-0.139610847588709,0.628108615977815,-0.909226243541141,-0.747870331348604,0.291337818813443,0.124679272953628,-0.252044267524831,0.221238373100826,-0.51286424245004,-0.464934751266891,-1.11040427543708,-0.982992351731255,-0.151896181557702,-0.582277076078004,0.134432362431639,-0.649802507144062,0.209626773287814,-0.676544049329448,1.00758857056146,-0.603722524335692,-0.483590370903876,-0.259481042188135,0.0112215185493197,-0.637522821627369,-0.0377066015362475,-0.874771999540744,-0.658906549755251,-0.449649515672423
"SALMT_Oxs_3 (GE) - TPM",-0.743997635361981,-0.650564547879252,0.159654250622541,-0.543775791129591,-0.373097455175704,-0.364257725583756,-0.389864280154285,-0.389107575578601,0.0268858762676672,-0.670006594438987,-0.184765443164524,-1.3785698133975,-0.617168981276671,0.0515158081961386,-0.514685073943956,-0.316984840667991,-0.171177096516951,-0.116270026073642,-0.764329311465751,0.760076115828169,-0.443160283958939,0.0304120208319761,-0.659434822643818,-0.426511191560221,0.755410081508898,0.10088372567597,-0.746423970030558,-0.424915620070623,-0.54327504463752
"SALMT_Sp_1 (GE) - TPM",1.03600147598395,1.03915217009693,0.648111732567176,1.81651188829399,1.30313705581261,0.918217672337556,0.706662037574642,2.23652400158307,2.39674093716097,0.857852625454578,1.57590648332037,0.549271714258055,1.21523405229486,1.8127434547737,1.76304275686986,1.43735705692253,1.27678478353389,1.6320658432106,0.998845584692719,1.30298960973792,1.93418879003959,2.09347241843296,1.34750660565153,1.24035988499141,-0.041031917935283,1.76279917634272,0.249638199741138,0.201187661620787,1.31235863574176
"SALMT_Sp_2 (GE) - TPM",3.15939044563527,1.66944350987577,1.3516817888513,0.74697993280576,1.22371960754523,3.45683879671137,1.58525005152895,1.3682095561412,2.39849650476214,0.978434333746796,-0.0255539498393606,1.30676206211341,1.64776169158823,0.624210366182313,0.896938565556285,1.77897612193637,2.0214954250476,2.36966422679532,2.40656426359498,2.48746340543617,-0.024512161650305,1.82227528094634,1.90923026417863,1.56146750938067,1.90733574515248,0.280740369120291,0.974221214026492,2.46455926136759,1.64633721138598
"SALMT_Sp_3 (GE) - TPM",1.10836999824461,-0.094674674175479,-0.0992826434845626,2.20974619851971,2.43967840947495,0.894845843655993,1.30516000074115,1.66180815078682,0.125745376404289,1.11023612166883,1.78825018450382,0.519907392335163,1.70236975700782,-0.360223243869243,3.49334513208617,0.751629288680064,2.10422194558297,2.03054826414039,1.9157793515818,2.5124795331063,3.21832911197515,1.80099600574092,1.51070135467423,2.07323886738843,0.602544558592889,1.83034135548796,2.62290808509604,2.97393439678063,-0.000714911922871973
"SALMT_Tm_1 (GE) - TPM",-0.256993993262339,0.87314067824782,0.096166416963496,-0.714666803562225,-0.117087435356625,-0.414083624983183,-0.0369973658424784,0.00630530090509232,0.136131220672486,0.450456920425408,1.57835861052124,0.141455689295721,-0.609724138270801,0.0634909126992045,0.557830246106012,-0.886058598583967,-0.051877825108179,-0.828113117332996,0.659460275773468,0.25467687078807,-0.346968971198902,-0.217022935830784,0.575918368617135,0.330060368735083,-0.208668492642219,-0.846167489249979,-0.693512404928837,0.747885124388745,-0.0247631521271607
"SALMT_Tm_2 (GE) - TPM",-0.323148161035624,1.26293659563802,0.0950904137849522,-0.219787969396511,-0.211937334864319,-0.263436285232012,-0.42508433058842,-0.0254440380609707,0.857291463458945,-0.219105681584389,0.620525597394755,0.306718555146882,-0.108313399770285,0.126612648998565,0.4064084953328,-0.403855844094448,0.0575555199829416,-0.670103331193841,0.971555449955603,0.232100392515999,-0.318060882805836,0.166787233804512,0.330357047831702,0.785481850317489,0.637205970887708,-0.30489024627911,0.467715598686002,0.433617439969225,-0.293378498232796
"SALMT_Tm_3 (GE) - TPM",-0.255181442511669,2.0061601793903,0.140223635928819,-0.191815799692814,-0.01174306119999,-0.683270862181387,0.183305173088921,-0.0425917344563189,0.160328080209094,-0.0803062275561738,1.00952125338565,1.37194674138249,0.302559122403174,0.32908502042979,0.475303026571865,-0.0555179904271463,0.342754362487344,-0.731235719682481,1.27588998523994,-0.384667970488936,0.358362358942194,-0.0659195385000705,0.131333591968319,0.346454094143028,2.08910491533945,-0.351637260179175,0.630001075226666,0.98202392875316,0.0557061755722873
"SALMT_Vic_1 (GE) - TPM",-0.621385365094215,-0.939191320190113,-0.0796861277323991,0.240017682759588,-1.33656043784379,-0.683270862181387,0.573830349794105,-0.52295899197803,-0.940234178608691,-0.733725813512936,0.476335759934411,0.916176765397759,1.45100010463965,-0.77800230243821,-0.887799737584008,0.923439625144793,-0.0569247556836676,1.27148359948384,-0.408205502715404,0.279053523075738,1.98776224757954,0.00665736795930864,-0.794027070489352,0.0887911918074464,-0.864152557750633,-0.951307896361516,1.79958326517307,-0.658906549755251,0.183148890160154
"SALMT_Vic_2 (GE) - TPM",-0.900410124493458,-1.32311760148651,-2.02038803643729,-1.34875612666145,-1.33656043784379,0.813638520938148,0.662683812970037,-0.241425125104622,-0.940234178608691,-1.14173113839319,-2.59563720019053,-0.0546903174396865,-1.62205164069706,-0.77800230243821,-0.994876658005033,-1.6211239878009,-2.75396262799988,0.632389981763511,-1.1380537893467,-1.8842969796323,-1.30959533366413,-0.850635718039205,-0.794027070489352,-1.03891031754508,-2.11157163498824,-0.951307896361516,-1.40378011198371,-0.658906549755251,-1.32223020812295
"SALMT_Vic_3 (GE) - TPM",3.79591756781723,2.55405150118581,3.3896507003264,3.17664469083888,3.29195782192173,3.14811175042133,4.79703193420374,4.14843393015094,3.86606271175269,3.66532862554288,2.98850918635156,3.25912489552596,3.30396896649349,3.32424603524204,3.33048836941598,2.78405358509962,1.95360928006855,3.64702896200214,3.11418264931277,2.16146221606391,2.39030851485198,3.95912772229643,4.59419825253549,4.18075318363281,2.92736937118259,4.3695073858139,2.44739991746755,2.71340139604499,3.09556762522203
