"","SL1344_RS24625","SL1344_RS02890","SL1344_RS03960","SL1344_RS04445","SL1344_RS04620","SL1344_RS05430","SL1344_RS06670","SL1344_RS08045","SL1344_RS08060","SL1344_RS08070","SL1344_RS08590","SL1344_RS08755","SL1344_RS10115","SL1344_RS10505","SL1344_RS11010","SL1344_RS11175","SL1344_RS11305","SL1344_RS11805","SL1344_RS12290","SL1344_RS12350","SL1344_RS13525","SL1344_RS15090","SL1344_RS15385","SL1344_RS16820","SL1344_RS16840","SL1344_RS18665","SL1344_RS19395","SL1344_RS19640","SL1344_RS23470"
"SALMT_As_1 (GE) - TPM",-0.547780933665392,0.905221502622898,-1.17161456482496,-0.510709661669942,-0.709061918981636,-0.505688275699354,-0.409658289432148,-0.388496918312268,-0.628357081622856,-0.377829262504855,-0.667411261862478,-0.891302458207576,0.515009396457763,-0.566135279758819,-0.195468982440988,-1.09706793282642,-1.34895231752297,-0.283991466485298,-0.605913646084642,-0.987956975077737,-0.35783352373375,-0.195221436168757,-0.337000245418449,-0.184462200214111,-0.558448916622481,-0.599878651107533,-0.814729496662057,-0.330666648205858,0.663365023434264
"SALMT_As_2 (GE) - TPM",-0.8455262442192,0.187240410581813,-0.851327511420457,-0.146793982470685,-0.885798590071317,-0.459392591531543,-0.504488763799721,-0.559775457684985,-0.79981157600508,0.222590660037295,-0.698279987860519,-0.487782861975061,0.752636550044059,-0.675271286730332,-0.173461817330209,-0.906105389594498,-1.46699789301975,-0.248627193893007,-0.834368328573421,-1.23024345973494,-0.742081875008028,-0.176121081048678,-0.227299066192421,-0.026866992278316,-0.295862966028315,0.0980131385442057,-0.728674846782161,-0.658906549755251,-0.198543986236524
"SALMT_As_3 (GE) - TPM",-0.452739256492608,0.370816954563914,-0.849714779379021,-0.110996814708077,-0.601215390103689,-0.226744376910855,-0.594754556312407,-0.392614253327071,-0.785130119585679,-0.200730807854685,-1.07081679022122,-0.549412549657576,0.857843923205412,-0.428858476864809,-0.0500010162123262,-0.833778881403864,-1.59203954738129,-0.303761106887073,-0.490638144824766,-0.663051914994125,-1.13049587791728,-0.363496497781153,-0.248300463460883,0.0919013232190334,0.114958065870968,-0.356933747134251,-0.290982928506984,-0.658906549755251,-0.0952525755203075
"SALMT_Bs_1 (GE) - TPM",-0.44578220142023,-0.697568785459933,0.649066092720775,0.417039688397386,-0.567823814082101,-0.35600886577354,-0.163857276135412,-0.513585340491416,-0.090653909776689,-0.545382657072977,0.154337559469859,-0.529662896785072,-0.394829804746966,-0.440118220685419,-0.468914879969731,-0.356427418609973,-0.125934117638566,-0.183471767491163,-0.164113664704394,0.381127471129645,-0.190316803030526,-0.49458172415402,0.0420783666546441,-0.228285551853972,-0.652970137606233,-0.27905087803754,-0.493676768421206,-0.610898283089503,-0.582325632393216
"SALMT_Bs_2 (GE) - TPM",0.594486297043407,-0.858653076703506,0.599939191413646,0.00302182903351387,-0.465246960068408,0.0379827056418784,-0.227039649250211,-0.367359712480294,0.0879250370421356,-0.189798394205099,0.223515342388707,-0.187537321280657,-0.724239244390223,-0.53730295398188,-0.421203893056875,-0.942630483347977,-0.24211702830383,-0.139937801165145,-0.23569582598676,-0.0633573663933879,-0.644751718125772,0.137109028190458,-0.572719252816155,-0.0522540837970593,-0.214421417470883,-0.0634927228443236,0.533894802167605,-0.54348231949375,-0.61510909221757
"SALMT_Bs_3 (GE) - TPM",0.0999456031401522,0.273561174424841,0.81490640820241,-0.314703973011874,-0.383512392707262,-0.411232382099758,-0.315598154259999,-0.58007610994536,-0.325966145635553,0.496576947217162,-0.604379190901211,-0.0609348252122934,0.0777854806857565,-0.603239896971585,-0.227095254577163,-1.09982487631726,-0.354523126256148,-0.0330514152711023,-0.502008494922538,0.155247562104143,-0.836729692491186,-0.194943904817576,-0.289023445643363,-0.0685855336771198,0.178209976588237,-0.611294907963428,0.335324681282198,0.442530987127859,-0.940284110131245
"SALMT_Ctrl_1 (GE) - TPM",0.022341510139902,-1.10546035553993,-0.404422852318657,-0.424945947529493,-0.297213935761027,-0.038010236497502,-0.400254333100773,-0.396509408229609,-0.130783791692352,-0.447806396145959,0.423096232179863,-0.41696010533728,0.189271395601648,-0.31741673025498,-0.205717662054632,0.329787854168506,-0.0262716951010959,0.0341074439316593,-0.570447688432505,-0.127890032576161,-0.99803648993867,-0.580624316436516,-0.491541867387242,-0.639334252213557,-0.272871040013291,-0.951307896361516,-0.0201112079146652,-0.658906549755251,-0.928336479006514
"SALMT_Ctrl_2 (GE) - TPM",-0.19703058383176,-0.876431201577761,-0.0799649362092092,0.404938925254061,-0.358937454809471,-0.241859497352823,-0.447271073488568,-0.5058925073407,-0.340359283334682,-0.271444825331016,-0.0699074344150515,0.0465184081595731,0.761549043845966,-0.575451881966352,-0.538080765298286,0.860074873667325,-0.255248177958231,-0.247701637893018,-0.53928994618565,-0.221839525072065,-0.883331560651666,-0.518157686823499,-0.297407623061032,-0.656230245000235,-0.418349026150266,0.12145616897178,-0.161441913170645,-0.658906549755251,-0.947986147887777
"SALMT_Ctrl_3 (GE) - TPM",-0.574231640249453,-1.32311760148651,1.09903373694553,0.365645355724936,-0.9347243733441,-0.683270862181387,-0.864546251334904,-0.325556632972205,0.172486750901423,2.79315660994239,-0.0100305683217148,-0.223742567799168,-0.595656950651368,0.544828156421918,0.00650222143757015,0.503577122797312,-0.593694903413765,-0.417700820246344,0.43706405021236,-0.900818204628549,0.0555732914738683,-0.850635718039205,-0.139118438265664,-0.874125671843685,-0.653345258371582,-0.258398626085518,0.0673579360496217,1.0977441241743,-0.555146490803536
"SALMT_Li_1 (GE) - TPM",0.791826926826687,-1.01940716324233,-0.0693788837231221,-0.510874457759128,0.325199941402697,-0.283105737666289,-0.126664474795537,-0.361723778215982,-0.124501855546795,-0.684489910295802,0.612132611759689,-0.63019211502952,-0.888898329064695,-0.594378543203608,-0.571352924182736,0.180913175830655,0.485843433131377,-0.547052126605799,-0.442264530844652,-0.521555545507244,-0.440121197021231,-0.172461621712315,-0.582989038465567,-0.704378595982439,-0.335351606586441,-0.117716635279941,-1.40378011198371,-0.658906549755251,-0.965992457056117
