"","BB_P28","BB_M28","BB_Q47","BB_0089","BB_0097","BB_0114","BB_0195","BB_0196","BB_0232","BB_0250","BB_0284","BB_0395","BB_0618","BB_0667","BB_0774","BB_0786","BB_A13","BB_A14","BB_A40","BB_A41","BB_A42","BB_A43","BB_A45","BB_A46","BB_A47","BB_A48","BB_A49","BB_A51","BB_B28"
"BBURG_As_1 (GE) - TPM",-0.535212738142737,-0.5580718785463,-0.544440383698959,0.00835772640542469,0.49083400804976,-0.117736435338375,0.407693478335299,1.1824318506585,0.210482830893944,0.141621658297395,-0.468476849758524,1.16904237970759,0.545787697525065,-0.0656329110763841,1.11433363298746,1.14594751544335,1.13141001910786,1.23077348336046,0.983388109257099,1.27298801081585,0.70386432718202,0.715162718836405,0.683079739374172,1.09910374496715,1.38958328543298,0.886584964411538,0.348201349010234,1.59349586177414,0.292162880737493
"BBURG_As_2 (GE) - TPM",-0.85109476982979,-0.846692464437302,-0.558415894291484,1.08100096466963,0.581557287387989,0.311323967874881,1.16326291900245,0.446307079535692,0.654611241032237,-0.210424322111021,-0.469678888213571,1.1608568537541,1.44055469571989,0.160736477452899,0.843987082695287,0.808204990079026,1.211467476381,1.36499998911626,0.895328244375954,1.22775941258008,1.52843527520687,0.384571719344647,1.64348226975321,1.1249218711418,1.93393559068381,1.59419439295573,1.8835682101181,0.912019126917352,0.954585699837021
"BBURG_As_3 (GE) - TPM",-0.855080126688791,-0.492144889364326,-0.600163746760991,1.64082777106577,-0.138471281414476,0.666820767693941,1.59700873174622,1.08295406358855,0.45743411938762,1.82132852310124,0.887640158604947,0.0811089549151139,1.73896958044316,0.401809816799456,0.824720209948752,0.886881176570653,1.13006219632759,1.09606910324113,1.26282968660091,1.18704197712448,0.712698449284946,1.08703942632608,1.33492984239932,1.54145976212257,1.18745341854948,1.71818683139056,1.50878176852108,1.31869802674001,0.983763059154298
"BBURG_Ctrl_1 (GE) - TPM",-0.949248733561751,-0.844546703349285,-1.14628210073651,1.56452878270972,1.06033001879673,1.38722857122653,1.18480461776414,0.244119442664583,1.52172538293202,1.39598594327656,0.483662185688079,0.888846708169515,1.14037842694667,1.68117087824956,1.5977186215087,1.4451050070664,0.685952401658018,0.754489205977876,0.702715955512917,1.15378834080065,1.15966479230156,0.879101747865266,1.17865699031034,0.725134501272034,0.902024066233644,0.601488762590191,1.11585532699293,0.397660690123337,-0.0501842641554472
"BBURG_Ctrl_2 (GE) - TPM",-1.20747172857703,-0.393307340858765,-0.89578185245703,0.768100047243953,2.64325392711182,1.68580595899328,0.751788638602439,0.303651195075616,1.77457956168872,-0.378399109048516,1.07212981969816,1.60209593126682,-0.854417771237475,0.965314224797928,0.570832586180795,2.10202688924732,-0.0908962564927952,0.440096137395022,1.29209460828802,0.685737545354544,1.38188075967461,1.48872935204079,0.710699428696545,0.533352776912362,1.29301049335885,0.520872185645627,0.275443163561053,1.0194353856368,-0.645486737902681
"BBURG_Ctrl_3 (GE) - TPM",-1.18684878073168,-0.166696322846052,-0.554990488785009,0.663690021102904,1.7330120679563,1.72664183990029,0.447907370006972,0.795024424639521,1.2668813132822,0.176596415043866,0.856144883542718,-0.326921982948225,1.11433404319915,1.84886379494542,0.0351541670483849,2.01506469600172,1.13709225274239,0.549255057709817,0.685376358180671,0.832929795527243,0.785712526353853,0.973020644877574,1.07298311206325,0.745810963110337,1.1636610617625,0.636328906142703,0.270193346442699,0.747072444421994,0.429462711404041
"BBURG_Li_1 (GE) - TPM",-1.0309472782678,-0.381515835894639,-1.22378444957746,-1.21890145937868,-0.0791933393272289,-1.14944890340777,-0.679312723739589,-1.58771300732794,-0.608860246226144,-0.729080088285886,0.326521925075287,-0.666047219128714,-2.14853306111174,-0.893666952793003,1.68662972648228,0.23212820332704,0.0148480974598725,-0.375473637466029,0.118050815302313,0.225424546832242,0.0163782185816521,-0.00892959568347645,0.2886651474985,0.0847742912629574,0.0837455119026346,0.814452362096047,0.399303125564929,0.379286633322399,-1.0777183281563
"BBURG_Li_2 (GE) - TPM",-0.729311152138072,-1.40241177695809,-1.19869985810689,0.763498422122787,-0.875379302823033,-2.32436643858965,0.302005215006966,-1.80562615152877,-1.02173241241488,-0.216371640517637,1.19447448913849,-0.261678406088685,-0.318698053846976,-0.170202949602323,2.38033375442551,-0.511626127703423,0.80276403038178,0.706398344026209,0.350248904268535,0.655177277080018,1.49298899184059,0.277285543733218,0.540666792551511,1.06185992201024,-0.360807962040722,0.222993038607267,0.135387802621521,0.31368328664412,0.587980784544496
"BBURG_Li_3 (GE) - TPM",-0.54174173195286,0.759398128957423,-0.798593336842158,0.13896635521216,-0.575655047158161,-1.70094787414102,0.364508916039985,-1.21388565263475,-0.229348915234234,-0.605737828402504,1.25577738541818,-0.332120515436784,-0.742803917437422,-0.909958728572063,0.859040005984114,0.224545656775338,0.36182264458018,0.20448295542786,-0.353781715644664,-0.0534706069358861,0.288089758117982,0.0078653216948896,0.586926860910243,0.0131150761301465,-0.655977004263603,-0.216015788494112,-0.488815543346244,-0.194212038672489,-1.22608342094854
"BBURG_Mig_1 (GE) - TPM",0.695519243444378,-0.511110241609216,0.796860350491711,-1.20305430323844,-0.318521442194421,-0.778470660342183,-0.885939589719021,0.869710571359688,-1.10198113492658,-0.119111259194096,-0.927480369803463,-0.591693655499215,-0.360307414885705,-0.939015903529856,0.402598956995707,-0.299023313063397,-0.307024626790014,-0.357172031512848,-0.595491900935714,-0.162282070549374,-0.707700545957407,-0.108674749239416,-1.02670690323518,-0.540526260534925,-0.52134974310692,-0.308822808847811,-0.817129001714131,-0.134931405795014,-0.145572225459706
