"","FTS_RS00010","FTS_RS00100","FTS_RS01005","FTS_RS01020","FTS_RS01025","FTS_RS01030","FTS_RS01035","FTS_RS01040","FTS_RS01120","FTS_RS01225","FTS_RS01240","FTS_RS01245","FTS_RS01260","FTS_RS01265","FTS_RS01270","FTS_RS01275","FTS_RS01280","FTS_RS01345","FTS_RS01350","FTS_RS01580","FTS_RS01640","FTS_RS01645","FTS_RS01650","FTS_RS10140","FTS_RS10150","FTS_RS02130","FTS_RS02250","FTS_RS02255","FTS_RS02440","FTS_RS02530","FTS_RS02555","FTS_RS02560","FTS_RS02575","FTS_RS02640","FTS_RS02825","FTS_RS02830","FTS_RS03050","FTS_RS03085","FTS_RS03120","FTS_RS03125","FTS_RS03135","FTS_RS03140","FTS_RS03145","FTS_RS03150","FTS_RS03155","FTS_RS03160","FTS_RS03165","FTS_RS03250","FTS_RS03335","FTS_RS03430","FTS_RS03450","FTS_RS03495","FTS_RS03525","FTS_RS03560","FTS_RS03645","FTS_RS03650","FTS_RS03745","FTS_RS03750","FTS_RS03755","FTS_RS03815","FTS_RS04180","FTS_RS04465","FTS_RS04645","FTS_RS04735","FTS_RS05055","FTS_RS05060","FTS_RS05065","FTS_RS05635","FTS_RS05810","FTS_RS05830","FTS_RS05845","FTS_RS05850","FTS_RS06175","FTS_RS06200","FTS_RS06390","FTS_RS06405","FTS_RS06410","FTS_RS06515","FTS_RS06580","FTS_RS07130","FTS_RS07190","FTS_RS07195","FTS_RS07225","FTS_RS07240","FTS_RS07245","FTS_RS07330","FTS_RS07455","FTS_RS07555","FTS_RS07615","FTS_RS07620","FTS_RS07650","FTS_RS07760","FTS_RS07765","FTS_RS07770","FTS_RS07785","FTS_RS07850","FTS_RS07925","FTS_RS07930","FTS_RS07935","FTS_RS08095","FTS_RS08375","FTS_RS08500","FTS_RS08505","FTS_RS08860","FTS_RS08875","FTS_RS08890","FTS_RS08920","FTS_RS08990","FTS_RS09040","FTS_RS09085","FTS_RS09100","FTS_RS09105","FTS_RS09110","FTS_RS09115","FTS_RS09160","FTS_RS09165","FTS_RS09170","FTS_RS09175","FTS_RS09225","FTS_RS09280","FTS_RS09285","FTS_RS09290","FTS_RS09295","FTS_RS09300","FTS_RS09305","FTS_RS09310","FTS_RS09315","FTS_RS09320","FTS_RS09340","FTS_RS09405","FTS_RS10695","FTS_RS09475","FTS_RS09570","FTS_RS09575","FTS_RS09680","FTS_RS09685","FTS_RS09710","FTS_RS09920"
"FRAT_As_1 (GE) - TPM",0.513919350349457,0.081053013347339,-0.289524339487165,0.0290422408308355,-0.294201317347019,-0.421264253997002,-0.421646136845689,0.356908622332196,0.73575094425932,-0.359841420432041,0.0641537522490361,0.0491383586610456,0.712267218112038,0.378751378986407,0.252991760340745,0.152606512664018,0.186204812331828,0.208439502454139,0.461653752923354,-0.232350856693796,-0.473403493458213,-0.0843765146937717,-0.249031532334516,-0.133117084411721,-0.093520554334015,0.179689075795445,0.369344340180474,-0.00985746871710982,0.494667817132022,-0.334409783928338,-0.408708346462726,-0.111871635592244,0.447724682214871,-0.676786381685735,0.134838350194769,-0.350436136099341,0.0501296240550958,-0.39375990191494,0.433916109346508,1.00284514051896,1.40946448552796,1.45415916333259,0.131978562886431,-0.0620150264888447,0.95492547439895,0.0442500164594894,0.247256675746904,-0.588942546589295,0.439604076403877,0.739499037513655,-0.00681089446061106,1.31970795303745,-0.692012424405412,0.407244663529323,-0.576781413120362,0.0515295887704117,0.383094116368082,0.262003208773827,0.1235279316952,0.978944293382224,0.325759976153115,0.278750840732988,0.326177329567518,-0.759371450448913,0.57556718903345,0.211891706080114,0.0295957353836829,0.140830436268374,0.264253354121954,-0.0218309677852945,0.0548982508351386,0.0242600587185863,0.38410925611887,0.464443209147872,-0.0547522327939178,-0.15596420303008,0.667539210923175,-0.00615203474591392,-1.08665342294579,-0.234935996769603,0.506847908098744,0.717507434189974,0.0955284344593387,0.185581534103804,-0.401148736323579,0.578560376230074,0.969097288757218,0.186258588174994,0.235310337137653,0.451678451718451,0.259281353209624,0.144622450380635,0.260497298474016,0.159087021673124,0.277170411542282,0.655214340828831,-0.289524236464741,-0.155481424802267,-0.585063321923261,-0.370562148378677,-0.157982599905897,0.446613550901367,0.545003351382027,0.00757517568888747,-0.0250546671555301,0.803655347542996,-0.227674424387768,0.580473952195922,-0.655781075085906,0.189473455703735,-0.492850428090463,-0.345768175087197,-0.98921051922439,-0.868706076469568,0.179871174235852,-0.133494320558963,0.310174692263475,0.173231931468909,0.962962464806456,-0.370158214883317,0.0422563779013068,0.080101128419191,0.255377302874211,0.163046859158999,0.261932062332297,0.0541623950446181,0.122719978689916,0.12102756765119,-0.225903883806306,-0.149008821885866,1.29652323280482,-0.262576446937948,-0.293201948921375,-0.583715652594612,-0.0399410380900974,-0.16889059834728,1.05807192526999,-0.186113207793184
"FRAT_As_2 (GE) - TPM",0.936518245359423,-0.42249081572547,-0.276379382219104,0.602041787679407,0.0574780138978312,-0.0614570025270144,-0.0224464425545192,0.727542421847554,0.826658540720787,0.0201805941609221,0.344557549593608,-0.100295743909457,0.445555346033205,0.462673205079283,0.221991150175071,0.349831518878917,0.516772341110633,0.654448283839464,1.01043788257116,-0.0478593370712102,-0.113902069641486,0.16422866935347,0.0922324086905521,0.150205736899228,-0.335663814863469,-0.84162250029523,0.05155994866506,-0.180567247743691,0.257649218759642,0.352090420376692,-0.253880966388395,0.269544348323217,-0.054099662891684,-0.85342618586967,0.172469353273463,0.248749313455399,-0.514192941111999,0.0816888061261959,0.456697837213898,0.436974276315835,1.13232982720653,1.04648307725029,0.101990975955471,0.175734788645635,1.08833331532622,0.283600442726876,0.746021012212052,-0.282549881208737,0.0944514561739831,0.956666098234745,0.198953260223314,-0.135870173051415,0.331004359818192,0.559044792129371,-0.522698135899773,0.0817769792999346,0.714399684822326,0.690108583105772,0.17794253004656,0.501121017460088,0.372469247252506,0.838814321237526,0.0955872740136179,-0.626513925624814,0.204634298009407,-0.733020074675741,-0.520358620924968,0.751626541753594,0.292567336640079,-0.657315753248711,0.169023572921218,0.429056359252642,0.39298692866219,0.353646404628311,-0.20970459679023,0.446423175656356,0.961614017977332,0.346206250311505,-0.615626157873109,-0.245528145198381,0.505729948832749,0.258361643121746,-0.296486045908897,-0.0169727036068691,0.108154330101652,0.124430268533684,1.24902579075558,-0.0686603781067731,0.109761529328831,0.172371211524019,0.242397480191466,0.524813195297072,0.432731721277886,0.68374080619677,0.25724907173167,0.220245938771771,0.0527651253194861,0.2846795746746,0.103873536113454,0.488110701251418,0.0661081314756368,0.642251817867181,0.795188725437011,-0.594364244722121,0.439571938305666,1.89352855907714,0.448830213232519,0.334071961760254,-0.391263629242639,0.618869890692465,0.0819329329051384,0.209817900743755,-0.548218839821232,-0.852825366815765,0.589961798782995,0.53519180414529,0.683020161644681,0.89161376048254,-0.220374047301605,-0.0866868682703421,0.485827435784064,0.373135444406123,0.248900320046548,0.243546804098147,0.467453484941543,0.403407956239393,0.100638682842474,0.429761731142842,-0.302292947829029,-0.342190140826851,1.15739679352302,-0.00863639739494097,0.501104687683953,0.195822541373276,0.413472614360659,0.226412268554306,0.676247128653444,-0.311596412457096
"FRAT_As_3 (GE) - TPM",0.581975600901041,-0.680016686174731,-0.281568932888143,-0.0627304852519691,-0.0935834657530079,0.0850125832651908,0.329188572304113,-0.0556577582051228,0.910411348153018,0.757857740207078,-0.571562189786394,-0.263129311947405,-0.823750815335449,-0.876188671846668,-0.354676145649936,-0.350953948511438,-0.503624250918363,0.0574008617281533,0.143458146552371,0.165854870035023,0.0164785359280189,0.0631639404580192,-0.010154514619756,0.168707425452859,0.460697245599106,1.31809542082865,0.569343294685794,0.514258643244808,0.847629672242786,-0.28723304874784,-0.862478887132145,-0.258180343802274,0.2700933286634,-0.562364564271546,-0.92938377706765,-0.321871837949304,0.666428127614101,0.855143169071029,1.08453687869188,0.0764330944548304,0.909528386399734,0.806921582172251,-0.00256466858752083,0.131176697241266,0.592839071974642,0.262002237326558,0.707575710585472,-0.270066553691252,0.373377937630061,0.615231468334617,0.629057151571157,1.75799059877477,0.96971383300067,-0.159069129689701,0.330226396618874,0.844206567385569,0.61935074205289,0.580759855637156,0.135130140581442,1.62461957499882,0.234502868415704,0.106782781748547,0.364782232050015,0.50245305736466,0.733332378075422,0.656885823476121,-0.121005753462724,0.140846623260254,-0.441930675037939,1.81991235761886,-0.402995207098395,-0.107823352585244,1.06459111890246,2.11374565085313,-0.18987833236733,-0.00317790841799017,-0.0591888927296649,0.728235344873311,-0.299208193056665,0.0337968279881176,-0.369024583188209,-0.645123112633437,0.355858466847381,0.448778019394859,1.21389004481657,0.607034536298851,-0.251987295563631,-0.246404581833737,1.35313882073557,1.62225244170987,0.2944201675586,0.0357648206003002,-0.137477381673914,0.244260764001324,0.426931903183851,0.189940352524501,0.333797221942536,1.50883155662307,0.996064709751864,-0.0379699295483208,0.537554810978904,0.944118652390178,0.431588092352638,-0.11141620967091,-0.560717431444406,-0.361647945171619,0.434648085500156,0.970155868744915,0.12294409903057,-0.159296002343496,0.749855656414904,0.733492787353192,0.064300419043984,0.224756370353325,0.286323745281819,0.156136725254044,0.759309213087588,0.87207879312331,-0.560050669778009,0.18800113670269,0.578718358064923,0.399411067142801,0.544293566389014,0.212504712363619,0.241454933204767,0.399254777921109,0.0946201754432083,0.556651747570989,-0.251617410938002,0.447516824490497,-0.0645878063559969,0.103853748706045,-0.0956224205399736,-0.0336907814629181,0.886546513581743,0.910234225979698,-0.403290099207738,-0.324342697842515
"FRAT_Bs_1 (GE) - TPM",1.22727061362305,-1.58208842335009,3.2467862863411,2.23325494490476,2.2798910483111,2.2106504868288,1.57899464083496,1.55258718358839,1.87621828191407,1.37374696063002,1.99600714420957,1.14419838868109,1.76888628532318,2.54702810539261,1.80342743471973,2.65745597420719,2.20241753359637,0.789084798277816,1.18488819173248,2.27789182007784,2.8478381908335,2.43413212005308,2.48461722773852,0.957298794956332,1.71440874348117,-1.35653434887377,2.19045079322773,3.09388693130749,3.37341724158964,1.40696536396983,2.38215917734242,2.48601438393742,-0.0131155030352787,-1.02845686982459,-1.20465155302037,-1.68751662211465,1.84402628833923,1.56103656734108,2.46652174543626,1.87330615500401,1.66173607656094,2.08226318930858,2.32764327145164,1.80694554463492,1.37312478428272,2.17786573030817,1.22664308303662,-1.09132366317818,2.03024320521631,2.28641557127623,1.78514085912143,1.48079341930698,0.706025415705407,1.65427529035438,2.54134057913815,1.21293196430175,1.35949308413096,1.6884526329906,1.74524204737957,0.0118212139650626,2.76869881748152,1.28590882915724,2.28559908439664,2.37246052530758,1.67288239520189,-1.36160159760299,-1.15050951762501,2.51327864537768,1.55993039354122,-1.70227516516233,2.05912588905166,1.82995883838666,1.96675498153129,0.451440417296958,2.02937482214874,1.27766606880623,1.13465261527099,1.99159622534116,1.37641184942561,2.03170557108518,-2.13350933644341,-1.97084273448343,1.27260836194676,2.41509078362693,2.20285534834461,1.58623288055467,-2.17378867913649,2.63784494772289,2.81330061460205,2.52698139252416,2.84210079696241,1.36595406840887,2.03354441573449,1.79566429735074,2.48977082847638,1.96735931944064,2.13425334434013,1.20582621645788,1.37548410721032,0.404192926874191,2.58835440867632,1.73197079834907,1.97966737483318,3.08200668644177,2.41326010596004,-2.16009206997859,2.26264940133792,1.84449834296097,2.4028237585266,2.37894851850773,1.01092218519926,2.18373503416821,2.29794376205924,2.71727765641629,0.955850931923083,2.18313745651257,1.4481190521904,1.34280869293545,3.29150728907485,2.33883427520352,1.99421919586672,1.99585189908474,2.25350813586628,2.22953626346068,2.28853615728214,2.14271092152815,2.40521917235108,3.16199403665092,-0.274397329131998,-1.15769796544951,2.22399883939338,3.17685616371184,1.55271232236096,1.30389813425214,1.80910090802834,1.8021264090063,2.48276905491057,2.58659672815552
"FRAT_Bs_2 (GE) - TPM",1.17401331389707,-1.29868774767288,2.60334802205659,2.77020420991739,3.11385797810004,3.13469826064436,3.12968975194654,2.68109274883823,1.95540842857728,1.45243058427468,1.76827239549505,1.79022383956076,1.15085213542043,1.53704251012998,1.30498484288856,2.19216449116986,1.44643951679534,1.10389069107806,1.41231305258802,1.57741384583473,3.00523014259243,2.95727611439908,3.1135323616751,1.80428904285379,2.89755206694117,-0.857536193320362,2.18814062861391,2.38654495247817,2.14915196304717,2.80385921155859,2.53462350724723,2.65377326099767,-0.396287828946429,-1.42194283921964,-1.60271828544383,-1.73076466473769,1.17846882160794,2.5253435975298,1.9758579982579,1.2904348372323,1.04992925269896,1.59225530421706,1.95637986447266,2.28923001542545,1.52704322607027,2.2322011410236,2.27982863715687,-1.01718940595427,2.31844132822504,2.24942937061844,2.32703810419225,1.23569189062294,2.51780070010663,2.52540699965073,2.79290562598081,1.94257322422683,1.0747434190774,1.01430075961441,1.23637459356909,-0.588754241177646,2.42210602482615,2.79202162717082,1.78762150734115,1.52958419032584,0.729800853092112,-1.37267880358292,-1.25506113893473,2.29009190666833,1.24154709111565,-1.77239562819849,1.32248473280227,1.9131039699443,2.00192712851451,0.985951476985897,2.02169332065692,3.32401758191155,2.11640895158706,1.92188298489178,1.82712579399491,3.35435143500796,-1.85420470969115,-2.04074225202984,1.80136366483484,2.34463742052595,3.12155493789153,1.06096381531645,-2.29489131552555,1.4032654122873,2.03812984740295,1.82998447421295,2.97696725856844,1.96470526543723,1.74828618411903,2.17168153600474,1.72043972056692,1.63483103731058,3.30841463951071,1.63534614058517,2.62549127602091,1.4171614682771,2.01698812013346,2.26131796668165,2.48887250799833,1.89927303936539,3.09446237944761,-1.62455906244583,1.46425914455921,2.06761066203572,2.88264612504363,2.47898638348241,1.49914679813857,2.61129044820337,2.21890755120527,2.34370384676818,1.7491976193816,3.10919577306396,2.33999174763091,1.60492420578743,1.56712948071553,3.66285187421054,2.94662704520927,3.04644896681197,2.28439583831433,2.5523941706885,2.3005939000992,2.48741006213588,2.66407584713651,1.98547593869356,-0.78545472926911,-1.02088251557538,2.27687300441536,2.84494703206408,3.81479329953148,3.38301692709738,1.90293970512016,1.92399647782345,1.49820543329863,2.52985845756093
"FRAT_Bs_3 (GE) - TPM",1.37897884831384,-1.12817084022721,3.28136578016991,3.35759169111973,3.41090590109817,2.96638207350617,2.66638319563797,3.13744801286757,1.47582693427415,1.85017806741735,3.13781927293263,1.99936790146919,2.21361936847713,2.44517028233553,1.58968020136608,1.71832869130274,1.58564208967608,0.70634357359576,1.55834537430762,1.4164757778411,2.7924876950141,2.0112895324177,2.2768654100538,1.98348394226283,1.08195656459864,-2.81681263900755,3.00178157061464,2.95169226378851,1.92834459536078,2.94183072579348,2.38766079763673,2.84517763694971,-0.538145449710442,-1.68427537540656,-1.03218424090661,-1.62014998501687,2.78422576545222,1.84001038096197,1.58852556182765,1.38616859694376,1.3693070568408,1.5078494907568,1.46996616145,1.48038149466727,1.89930409253247,1.76200138645278,1.19367367056926,-1.39573288068121,1.66178137112721,2.48554802869796,3.31648723037814,0.402909618529398,0.0973724668087929,2.55695246291519,2.49042827544727,1.97847282150967,2.9047687985306,3.38900588148516,2.94510213589904,-0.849624195001959,2.55392958570435,2.47964165073983,2.82293383506002,2.41616490370957,1.23638245847404,-1.35036650617236,-1.58935004740644,1.53738700582826,0.858740996681977,-2.35549134549949,2.02331966091105,1.75021223616546,2.60256772321991,1.30559760081431,1.40013609290975,3.29281762205234,2.57209268214112,0.917998958648474,0.855449787430634,2.80835202813165,-2.87001899026736,-2.50277297011909,1.38170402996551,1.75750158739497,2.33690028331263,0.398100542142742,-2.2372093734129,2.08129378988158,2.37084601435367,1.81249412424879,2.74990033247141,2.46223601907349,2.63086611959199,2.82179683058923,2.50035399710542,1.78757335275225,3.38778953228483,1.44784727917592,1.39627479434737,1.70437104544021,2.95902202959877,3.31529825241183,2.99098346423186,2.75225957537928,2.0666301520102,-2.13548212513239,1.20891664430493,2.95225912600766,2.76306828635043,2.17257793376319,0.458636513571105,2.02707313365552,1.90611282828546,2.02841422571721,1.21118473641228,2.0720124225767,1.60694459785712,1.59103003307652,1.33379128413903,2.87464536345595,3.11720554155542,3.16919461458284,1.92109472433389,3.33290797786486,2.61020222492864,3.32070166692905,1.99953070033089,2.15791742304487,-0.693154825847137,-1.94460061832578,0.512395627116222,2.67161773364263,2.35348437745113,3.05653022696936,2.17305665013528,1.8460923388927,0.55874917709116,2.1637910289022
"FRAT_Ctrl_1 (GE) - TPM",0.721200786556902,-0.0698257607540276,-0.151643736733919,-0.174146580310213,-0.475051744405215,-0.709904003991421,-0.591130690699511,-0.210162675722929,0.639792312016394,1.01382971831999,-0.346223553384057,-0.449464418762843,0.188158391476022,0.184758803033091,-0.421307101175488,0.112224329704376,0.00264163684245803,-0.110308967456168,-0.12171144987528,-0.546798167698579,-0.136333346997954,-0.0740202510351374,-0.215601191345472,1.10889466731159,0.0154674938230102,1.2903194512851,0.0821682953107732,-0.0497265649773876,0.328215614122762,-0.334483880280575,-0.441528333575761,-0.517780261252475,-0.272119517190656,-0.820646341145422,-0.298080327821311,0.242018887308905,-0.387936147427252,-0.0798998999269962,-0.373859212142725,-0.471554983566934,0.203006169322259,-0.215824926393844,-0.801140404968976,-0.53339740240407,-0.322080283137069,-0.389622761940194,-0.303136126546045,-0.395811592545688,-0.0986607653970206,0.179597234565118,-0.352363743063264,-0.335390431379585,1.45389960103563,0.419927398014303,-0.197594221423641,0.100793425007465,-0.149427462932717,-0.37971805294894,-0.717128688569742,0.297441597716302,-0.0930164686164798,-0.166177043136666,-0.269198260587442,-0.172755015313614,0.270845157723148,-0.0571863934286413,0.716245052219482,0.380728432172383,0.248009190774992,-0.159180433881596,-0.236395746613383,-0.454645666689371,0.1476781811917,0.211647960091561,-0.687172472772986,-0.209580085538776,0.234609396431086,0.460232282776993,0.899054632125533,-0.329277589377741,-0.505817982453025,0.207834237826124,1.6260328039648,-0.0394103062594557,0.115967248051208,-0.278175828681081,0.32476169345166,-0.249204423286474,0.0160519366376684,0.196922473166253,0.0417652052156269,-0.294478853263495,-0.283421873392556,-0.160105093431757,-0.294866164483671,-0.193676222474745,-0.416936830684572,0.0386787806280342,-0.0754050763815532,-0.147648112624067,-0.235244225163239,0.397819066640854,0.0759315370077292,-0.438712456556381,0.119267425375118,0.337518762285768,0.369781950779073,0.405216033118827,-0.676274306821908,0.0691051823602592,0.0157007575040373,0.0963679265253971,-0.441470409233781,-0.879559698114076,0.0271881712859989,0.0937635761666174,0.342213017974206,0.676659443246616,0.420960311022817,-0.612363743212284,-0.6048804480132,-0.711577662049832,-0.775963536398321,-0.418508659368488,-0.548677142984174,-0.55226860423832,-0.371293210754377,-0.0314846468892068,-0.227639379053507,0.523519697359483,1.11698507037591,-0.300438692505985,-0.0380951731364688,-0.35876540072367,-0.461587535473616,-0.396865827797205,0.879102682316277,-0.546292895287784
"FRAT_Ctrl_2 (GE) - TPM",-0.46557776082206,-0.413755198859408,-0.738464333378033,0.466408182423061,-0.0677970046966374,-0.153088094649608,-0.0167682068670081,0.75791106417382,0.256042047290958,-0.295006278310906,0.615793796487642,0.350570017461376,1.06515305227122,0.808518738325102,1.0528077831095,0.924518521360007,0.66906770142991,0.657568942957759,0.523334630569009,-0.374112273831729,-0.280145725671092,0.246510679392947,0.03295897898855,0.135881214964508,-0.932858418961946,-1.10060107349493,-0.0566114167117475,-0.502636050716834,0.113844777172303,0.324358374759763,-0.228859947696689,-0.158937953878264,0.179580989353939,-0.972998108325518,0.967279843012644,0.317485858595354,-0.171116168516233,-0.746474955026764,0.398738996329549,1.26540674300059,1.34686054852863,0.690224044130271,0.121278099995599,-0.184657597886024,0.542636763004009,0.128466736176286,0.573527651381167,-0.546013425990909,-0.110025087068266,0.200760410800058,-0.0522579210173244,0.239199591124699,-0.811220923746132,-0.314566601369179,-0.746051603059089,-0.319811880797499,0.284466493312553,0.710121473906994,0.132083556557273,-0.00923646993975652,0.294901053682922,0.365599994695892,0.359293345638319,-1.35541762654913,0.223567549887984,-0.15232034084289,-0.672085678974911,-0.198472634031745,0.181928378348757,-1.11471226412059,-0.144806877605433,0.24415936813181,0.382734215337189,-0.309251800559576,0.187951161512423,0.0592678310692753,0.609897114827266,-0.0568735856669568,-0.297380642110903,-0.480871934017439,-0.115491052908866,0.630859756146268,-0.816171948503261,-0.112406135763726,-0.50724966567522,-0.185008044135195,1.35547250158826,-0.0610890671849104,-0.453331487418803,-0.289057274499962,-0.0327068386037711,0.624995791956143,0.403004177164519,0.16835236052495,0.439373256786626,0.609616500353982,-0.101470707377338,0.25198286118361,-0.503004764918319,0.0512124532406407,0.127990286637508,0.117775590500406,0.240404185897555,-0.616869935877738,0.0520365233732048,0.838995552073754,0.333652884583168,-0.448581285901374,-0.50530905331782,0.711566156193887,0.0459768318026007,-0.159149343340587,-0.6712459158334,-0.520086356670585,0.395544189461693,0.105506796073055,0.943984956893172,0.665382830934773,-0.140480558866935,-0.259282468856625,0.11010078230446,0.157563706050977,0.672755082621458,0.573516779383832,0.571879594439762,0.353717874795186,0.0322758825094182,0.338305361291873,0.0454525641900908,1.08639467444076,0.642476472683157,0.180096597759726,0.0280379219066787,-0.324816617603418,0.378994644021058,0.39886269198505,0.179567325674957,-0.262534067919906
"FRAT_Ctrl_3 (GE) - TPM",0.255159166454528,-0.699831156564575,-0.763789815877205,0.426497404072487,0.000488919975195003,-0.10838133170294,-0.139928145606468,0.577764294711977,-0.0740560500788908,-0.357806991765063,0.813581848440592,0.534342293225833,0.853725163264502,0.53392577953094,0.752711628269714,0.418685528542764,0.312853726435163,0.69306036717822,0.526196420345191,-0.245797733599545,-0.39063397982582,-0.0454577667035114,-0.176347535556633,0.0383986071835886,-0.159417434047485,-1.08317659065107,0.023973898680196,-0.322683845115922,0.28572185413771,0.0462103133104641,-0.28769817591702,-0.0211953306563851,0.0824882669072941,-0.885314453169669,0.566071205435164,0.406605321183231,-0.279655132587675,-0.359430151905951,0.134325732942748,0.359670113206427,0.889320029234931,0.585666922935435,-0.0215249840314367,-0.216988836469103,0.808964836468484,0.0810669166703339,0.634108239547892,-0.329530918568611,0.281472756232307,0.164977941282754,0.43409315013231,-0.0499879746196424,-0.986695655578097,-0.5129032893407,-0.440544223248816,0.158017270533434,0.894361174956808,0.619854390478774,0.917656751249256,0.684040521484113,0.198851928635319,0.49988422170606,0.543708282152799,-0.781129459153696,0.31600674168223,-1.29770563848186,-1.15779165582903,-0.294314957988275,0.307999595639234,-0.678839510255249,0.268120395627368,0.132522202557901,0.413604843418101,-0.319134058909831,0.0958256397671051,0.0732576816746946,1.00874521468522,-0.0561875313907782,-0.34868939011174,-0.527281395147786,0.523768745568056,0.495585907144503,-0.53751770394407,-0.466142232037171,-0.497872992427613,-0.333570269171937,1.17967364194965,0.0425773688996741,0.117202887293414,-0.1947366481208,0.0355732961912873,0.895409954056346,0.79998784823612,0.317953876315215,0.535668703126264,0.117375382771508,-0.141518678931342,0.0800457781420188,-0.270106138651322,0.0426876431556768,-0.170661944954376,0.427466516521319,0.391353663674472,-0.270861573137846,-0.346609198253815,0.747284530869872,0.240511906981997,-0.22002811318767,-0.375468281781289,0.290558653372021,-0.19402967146109,-0.178074462514497,-0.635543194212717,-0.51336182154351,0.176873925214706,-0.0309815412071245,0.308517862785202,0.485679747136565,-0.191300751412529,-0.265734451364996,0.181362418752947,0.24703384319159,0.551466244734365,0.435877895166724,0.468133139551208,0.314535065172144,-0.0539603354091315,0.283465213929552,-0.600198478672727,0.0936626741424657,-0.0487225863593881,-0.104603625377816,-0.152484886276916,-0.41738175543216,0.568982940081662,0.425945267375814,0.0773403300007762,-0.0918024216543029
"FRAT_Li_1 (GE) - TPM",-0.971258036368932,-0.906628122473371,-0.473286907110088,-0.597001226245981,0.1377162564209,0.597119206603258,0.943028500864432,-0.449683227244544,-0.0316925959724176,-1.0233487034468,-0.284372110957636,1.10960032691372,-0.541426382094773,-0.167263996908341,0.333127237782209,0.797791150166964,1.47481328836236,2.10314492145714,1.41854690154793,1.27199883126979,-0.444781380973658,0.483540044319981,0.913163780932611,-1.0481203136541,1.80918676126013,0.698969291781446,0.197116840997337,-0.891426633907559,-0.0336825557356982,-0.234032322086147,0.101131482313249,0.274361898176181,-0.97094857241459,0.209365772397952,-1.01387780206332,-1.52470731831207,0.398529456466107,0.569660276686521,1.48034835807462,2.05551062911412,0.959651595194845,0.92443997534274,2.31851310090677,2.12109804852553,1.43071567250011,1.83997801718538,2.01357250480258,-1.09343466059093,1.02264258795652,-0.182130021031021,0.194413397354216,2.04148138117135,0.693488311028812,-1.25502532799001,1.12328368202626,1.97209169591727,-0.224036993155642,-0.581221749260197,-1.19146834104671,2.66230094568848,-0.16501125004047,-0.532469963514547,1.37751421457546,0.807042223633884,1.20127658142205,0.907965021995822,0.0664566590313558,0.194001465487696,0.477293767166615,0.934598047088092,-0.0124374415250841,1.14725918479494,0.160754437421702,0.790671670596527,1.1647990473381,-0.26075421947409,-0.832550203146309,1.46294699901582,1.755335018211,0.812097182968572,-1.43466385136878,-1.27208699791422,1.52261590609882,1.30291956316772,0.207163511704955,1.14469939513932,0.366990391653106,1.06908698383112,0.502025570795845,0.875050624227533,0.272529992398806,-0.130575215320047,-0.241481916858212,0.192152665417671,-0.350927691513755,1.24638512613747,-0.193301505435181,0.807317762771206,0.672802513346738,-1.16984937444684,-0.213718144667542,-0.905322679620953,-0.349507996488507,0.951587262407541,-0.513450942079734,-1.60312026297187,1.08806847223861,0.23036443759347,0.789494168771284,-0.0910036060384848,2.54642673864223,0.95696768590709,0.582042961863471,-0.0409022596640164,1.85359704833075,0.505200661212411,0.0579637272754846,-0.612585936194184,1.57625218200854,0.373748022839868,0.0506222926294085,0.546884834469947,1.64106282052361,0.70671272924475,1.38310480247579,0.798905421412014,1.4122698757569,0.144631537657512,-1.35154563522025,-0.367521993948151,0.683415735776167,-0.339893801434365,-0.546461116403007,-0.699942871863606,0.552167694996794,0.539940703290541,1.0344932142494,0.0389889095583341
