"","JHP_RS00010","JHP_RS00025","JHP_RS07870","JHP_RS00135","JHP_RS00185","JHP_RS00305","JHP_RS00315","JHP_RS00320","JHP_RS00505","JHP_RS00545","JHP_RS00550","JHP_RS00580","JHP_RS00760","JHP_RS00765","JHP_RS01020","JHP_RS01030","JHP_RS01390","JHP_RS01615","JHP_RS02085","JHP_RS07980","JHP_RS02200","JHP_RS02205","JHP_RS02235","JHP_RS02315","JHP_RS08010","JHP_RS02585","JHP_RS08015","JHP_RS02800","JHP_RS03015","JHP_RS03195","JHP_RS03250","JHP_RS03265","JHP_RS03635","JHP_RS03855","JHP_RS04025","JHP_RS04065","JHP_RS08080","JHP_RS04290","JHP_RS04305","JHP_RS04345","JHP_RS04395","JHP_RS04475","JHP_RS04515","JHP_RS04675","JHP_RS08115","JHP_RS08155","JHP_RS04945","JHP_RS04975","JHP_RS05380","JHP_RS05385","JHP_RS05420","JHP_RS05570","JHP_RS08195","JHP_RS05680","JHP_RS05725","JHP_RS08205","JHP_RS05885","JHP_RS05890","JHP_RS08220","JHP_RS06050","JHP_RS06115","JHP_RS06190","JHP_RS06195","JHP_RS06485","JHP_RS06505","JHP_RS08235","JHP_RS06515","JHP_RS06750","JHP_RS06900","JHP_RS06960","JHP_RS08280","JHP_RS07075","JHP_RS07140","JHP_RS07300","JHP_RS08295","JHP_RS07340","JHP_RS07355","JHP_RS08300","JHP_RS07490","JHP_RS07655","JHP_RS08310"
"HPJ99_As_1 (GE) - TPM",0.102860211021487,-0.600841577313464,-0.303591002064098,-0.867074097193674,0.896258332276434,-0.149450748184846,-0.226031293600929,2.46497565544371,-0.503992953426316,-0.354509361227385,-0.0900450017901632,0.777367138879669,0.653786271025336,-0.122049400481397,-0.096911592702577,0.030994592136524,0.775580658559975,-0.185498567980927,-0.435837149471446,-0.344487297216382,1.6586542464448,0.65291101973324,1.42776878066579,-0.882976454317259,-0.677818382524524,-0.584107276718069,-0.373011136842584,-0.51373210933671,0.996630954214801,0.973372195893677,0.512335082645396,0.443473358982203,0.515055466100653,-0.215323775477066,0.588701191133743,0.0677619348520818,-1.05209439792601,-0.156319519205374,-0.677460867699158,-0.745541744022052,0.0628344505593578,0.273681870238828,-0.300224873695399,-0.120497228127099,0.859085985793898,-0.567120602752043,-0.174077655955698,-0.120304334180849,1.43027561353507,1.38259120718638,-0.414054557773075,1.58567701295164,-0.109532924019505,-0.949708365951805,0.0985557733869635,-0.165990050906957,1.66357884887879,1.81277891523021,0.766248852840159,-0.0600873658087172,0.201401714251911,0.0228268172338626,0.274483857089086,0.581440010899685,0.420962121657889,-0.292672536603516,-0.555179747185763,0.139624460416848,0.200565629391311,0.141712336294093,-0.0144396070189577,-0.341771267108126,0.506414462344756,1.21200458211986,-0.23108619639943,-0.51806300482954,0.779720115442012,0.0229457281892444,0.353859243194478,1.87696375509886,-0.16014921726093
"HPJ99_As_2 (GE) - TPM",-0.0553197220420733,-0.347062434765367,-0.303591002064098,-1.42802545184522,-0.864409874628612,-1.22979354513373,-0.790753455586848,-0.76730994764945,-0.712188622363844,-0.335932200452847,-0.152469612817421,-0.539508431161403,-0.0257145842623401,0.224988359353437,-0.333664686010081,-0.0735947727864946,0.605568839122661,0.489943246959904,-0.748864120222471,0.0700366660459712,0.456878072880737,0.28509588919787,1.13671553584181,-0.459142209164118,-0.95742290617508,-0.677985816570449,0.226938765683577,-0.585445302380432,1.50301197552376,0.41207438726518,0.262473249338848,-0.0666538331367802,0.0961992310410454,-0.917442683270989,-0.0409396688605719,-0.190030365499091,-1.05209439792601,-0.690623865145231,-0.986125396918909,-0.0384105139211681,-0.994507174744683,-0.549655054950995,-0.599395338259666,0.512083009683877,-0.536475339279768,-0.244377942083514,5.57048499058233,-0.784616743920269,1.55831566042067,2.35316811892032,-0.0421045863358122,0.177769903972788,0.155805770430343,-0.759885246511198,0.074784386682555,-0.357700648748978,0.969506242178914,1.56428246855157,-0.875362440943204,0.574753505677271,0.808875094632901,-0.375805196093249,-0.227294120399529,0.921073170161656,0.256508199910226,-0.292672536603516,-0.495022013729534,-0.893475604669775,-0.399141182471065,-0.423317793884195,0.187088396116976,-0.799021399174806,0.435874888859936,0.857408209632839,-0.23108619639943,0.111789072498508,0.564235594306817,0.0968096991830324,0.0234140485735437,0.614072619716186,-0.479810409707771
"HPJ99_As_3 (GE) - TPM",-0.60391538887183,-0.0606146155040574,-0.303591002064098,-1.21115943028483,1.121292064768,-0.863382943930647,-0.477887858908987,1.24298878084121,-0.52556965439858,-0.379661856754823,0.175453479966065,0.503867914207657,-0.304531475578794,-0.928785100179128,-0.599160892741945,0.209023794744633,0.502665065157348,-0.199793987498003,-0.468048098024379,-0.840691960981591,-0.187689230358083,-0.220817033914995,0.431407132149135,-0.094282857475062,-0.216548443347972,-0.68246273376082,-0.373011136842584,-0.51910857167829,1.69572785558352,0.450958238028631,0.69608813538833,0.151287647679854,1.09743138166752,-1.3214797889205,1.10512174965009,-0.511759961773731,0.8035897665005,-0.396291892927023,-1.24500587241599,-0.355610002910551,-0.665703846894013,0.840683115301042,-0.967632652071813,0.672126044425869,-0.536475339279768,-0.567120602752043,-0.174077655955698,-1.29389623750964,0.00641301484012942,0.648300907813983,-0.935401328336175,-0.340239682071141,-0.120490092473329,-0.640977089567738,-0.0852329356426628,-0.124799644437477,0.727533977903991,0.328886464736935,-0.00934805340552151,0.412473039092708,0.36965796630211,0.148251092000145,-0.742411319635895,-0.289765628226432,0.204792509243803,-0.292672536603516,-1.25254979281991,-1.85261520179743,0.204341807894514,-0.122324868369493,-0.0883799032249403,-1.18500430310439,-0.252617688063175,0.58800706413267,-0.23108619639943,-0.605093024750317,0.869708121418703,-1.41327274093604,0.211646417578462,-0.0802861310591731,-0.758466623028086
"HPJ99_Ctrl_1 (GE) - TPM",-0.592471060505132,-0.96769787126975,-0.303591002064098,-0.314151724018097,0.807290848600382,-0.321381419452701,-0.67655369284053,-0.364065826735142,-0.339344973368665,-0.338667011177769,-0.740147870850192,-0.997883114641123,0.00880500938658775,0.900373836947631,-0.62726089244058,-0.698971886809821,-1.07250828201643,-1.01404723895486,-0.243144581674175,-0.578358630335897,-1.09213399880258,-0.710548183782745,-0.541630237477599,0.589032087150302,1.2103851575674,0.18589239870061,-0.373011136842584,-0.313543752039353,-1.35290246481925,-1.30495452599228,-1.4984446608685,-0.378371645470129,-0.607712934107261,-0.825788701625737,-0.340334499081666,-1.11726000569385,1.18128630049314,1.19192611251818,-0.844660342583332,0.48962821285568,-0.730689649534259,-0.0806666978146263,-0.549582728583697,-0.58863466344176,-0.536475339279768,-0.567120602752043,-0.174077655955698,0.541272952050066,0.0767140147451637,1.26559201002346,-0.935401328336175,-1.08611433844594,0.297933216649077,-1.17309433306627,-0.703409292044667,-0.164303726012522,0.531789512865842,-0.0413505478988547,-0.914001392431371,0.411810625779627,1.2441982239971,-0.614856366430628,-1.51872383795017,0.499155422170757,0.0389789594048988,-0.292672536603516,0.947331416730073,-0.878406843102843,-0.980635067048764,-0.636091392899269,0.344891209970557,-0.662114394446017,-0.282426241310181,-0.0420025500912789,-0.23108619639943,-1.69914532160529,0.284724154983384,-0.240487112784586,1.0873244407046,-1.67842162421739,-0.703842481187712
"HPJ99_Ctrl_2 (GE) - TPM",0.239285390879367,0.73931969753306,-0.303591002064098,0.154221309288705,1.46627883405998,-0.0531144680346171,-0.879135505885573,0.138556901960642,-0.339423713486834,-0.375965708885941,-1.45291691659097,-0.960845167455126,2.08134449704506,1.6281124669884,-0.404848770692679,2.98342047777036,-0.654531975718941,-0.17547476383373,-0.341293173196611,2.0486952353091,-0.0691154877835025,2.84905993436766,0.902496440358089,1.09026507682476,1.02184478062494,-0.140101798811483,-0.373011136842584,-0.320597089724533,0.875088745161821,-0.71023878832037,0.0756780713024057,-0.497637348658361,-1.02672967426965,-1.28534621382747,0.31184621667739,-0.446883437254113,0.62029662045173,1.48074700662229,-0.0963843469785349,2.59054811551445,-0.994507174744683,0.590426668748704,-0.512680680530167,0.282354180207462,-0.536475339279768,1.54443218456017,-0.174077655955698,0.138311781591779,0.70498892484163,0.503420957876969,1.40236613173482,0.407517803222401,0.890659804565928,2.14529067105588,-0.322377303790109,-0.714287979297341,1.06288395481438,1.83823409496096,1.83927202205587,0.0500765516363377,1.10876495247397,-0.581509059915739,-0.588757385387316,1.9970487435691,0.844594011815056,-0.292672536603516,0.99240584298938,1.63733925797822,0.252490417190377,-1.20165054629679,0.840078337829878,1.90471485911218,0.946244364553633,0.587114119947181,-0.23108619639943,-0.290683513578619,0.162955403104931,0.343128351761539,0.57681334330975,-0.41374860386667,-0.710999169552573
"HPJ99_Ctrl_3 (GE) - TPM",0.450204917732387,0.308284667641792,-0.303591002064098,-0.238030780458625,1.20243350691222,0.511449902654424,-0.149811836263322,0.565907658904911,-0.478293271666003,-0.456133529917077,-0.976608905275727,-1.09559858652685,0.96140921348416,0.714346685264647,-0.559495491572296,-0.217230218403577,-0.636128937213628,0.330483158286586,-0.197276764991208,0.336630602175283,-1.07205350956872,-0.349848150094438,1.18650535682947,1.3482329001479,0.653189795811888,-0.312932816416282,-0.373011136842584,-0.452931381171348,-0.0302196236435089,-0.711246153989853,-0.629039044509619,-0.3169949448007,-1.1291891976337,-1.13915808133146,-0.202981053035224,-1.01220932645346,-0.231642271098244,0.521842739194201,-1.17411442234496,0.141558831216238,0.924423648609959,-0.534127547761067,-0.660197490856424,0.214294305425526,1.53577747789511,-0.567120602752043,-0.174077655955698,-0.336682166487259,0.0288386726764717,0.0679559497490472,0.268819201952601,-0.495709848861245,0.33556857027894,1.04435948092243,-0.512243823958844,-0.47425658064626,1.04938284564648,0.878782059686626,0.588352851936503,-0.175713793424798,0.387025600291987,-0.206045987332231,-0.440754204392923,2.13728422905737,0.536552514581479,-0.292672536603516,0.484524134266362,1.11815349807032,-0.44122010045935,-0.600706572438326,0.304887198582437,-0.185819369280753,0.45539202474854,0.335631604685814,-0.23108619639943,-1.12250463242172,0.0470596676883884,-1.02552289742323,0.28701600895511,-1.09890174328811,-0.612747857000436
"HPJ99_Li_1 (GE) - TPM",-0.488370876412965,0.117624424055679,-0.303591002064098,-1.08088520604162,-0.55563967996579,-0.800263210608735,-0.534247785635782,0.0866017491852215,-0.479112036330122,-0.697886204535128,-0.758930664133126,0.350417132805379,0.874759962455346,0.687790502528395,-0.422051186517531,-0.698971886809821,-1.49845121035128,-1.06337563087733,0.99769361747826,1.91951966658347,1.14107333051993,0.964105378901519,-0.916906886795655,0.642908804814264,-0.424964186334164,0.948201923609703,-0.373011136842584,-0.688136444553545,-0.519708488917219,-0.515951702941522,0.362508988010494,0.389268647970891,-0.924932476833424,1.24532482499731,-0.627845706121688,-0.447764708234811,1.92568714761683,0.893117751908058,1.16623182926878,-0.0061384103189174,-0.622066331583773,0.187321839423882,-0.454637897529651,-1.28741152021519,-0.536475339279768,-0.567120602752043,-0.174077655955698,-0.302826360593997,-0.479313346064354,-0.958689562571901,-0.384479584127793,0.503989745025134,1.60258240150766,-0.899315571319431,-0.504592144223354,-0.368994310606399,0.564232703228309,-0.131631089557985,-0.963265952137917,-0.605551487078958,1.28177367326736,-0.810654486807481,-1.83973002478788,0.38440515358794,0.0388933074223762,-0.292672536603516,0.304549545967047,1.14501973810923,-1.27008873088109,-0.723104838552866,1.61080061567129,1.16749857678949,-0.00880629957289424,0.063026788394623,5.11243647701302,1.89730692455908,0.517710125929894,-0.171524487290275,0.0521514553268729,0.5998620821143,0.505429481668527
"HPJ99_Li_2 (GE) - TPM",-0.114014348076704,-0.103958213377418,-0.303591002064098,-1.17226726405292,-1.4244427362842,-1.12493357368808,-0.653680538191676,-0.76730994764945,-0.451598318551038,-0.586035824207014,-0.596034749758184,1.39899922694242,-0.505524521491013,0.421594220660524,-0.795010201811771,-0.698971886809821,-1.67792725719917,-0.546286095165344,0.773542162823743,-0.981641882075513,1.26180525000081,2.32058142390626,-0.642607036413351,1.99655767979035,0.488069330300457,0.845389914392744,-0.373011136842584,-0.667946210170083,0.216081839943441,-0.601052660435813,0.356775387260342,0.697728040863689,1.61492041410341,0.186773154051535,0.131079009918581,-0.020091373548554,0.339857755141607,0.114019248727242,-0.341919310667368,0.316825530410925,-0.6985439875287,0.508989310048701,-0.707863524892111,-1.18942133480552,-0.536475339279768,-0.567120602752043,-0.174077655955698,-1.16985274273354,-0.288773907895141,-0.588197274596009,-0.205743816826278,-1.07090679904822,2.28511094229236,-0.470441378096482,-0.355386769346838,0.0221015343048044,-1.13111725948142,-1.28038826096673,-0.964297804573548,-0.0231795408335446,1.06727309481077,-0.9146511439269,-1.78854745742867,0.069416336541029,-1.99737317811043,1.92144785340678,-0.373828988973606,0.200501383067702,-1.91588886763874,0.575770358776777,2.36711064763849,0.0268581877088386,-0.640587047426532,-0.166232200847318,-0.23108619639943,1.65922480778316,0.932449290267357,0.450617627547365,0.135405127536131,1.10758908378464,0.636263068770936
"HPJ99_Li_3 (GE) - TPM",0.0480189278478366,-0.0935329715586312,-0.303591002064098,-1.44145062166957,-0.952918522082155,-1.238713741744,-0.423478644800564,-0.76730994764945,0.124795116566914,-0.352289790470983,0.218952068613248,1.35055214994535,-0.12158282446942,0.334496093173832,-0.593723025888712,-0.698971886809821,-1.48031912278639,-0.906513253157094,0.707625779452682,-0.176994885708018,1.92620876249953,2.276083216405,-0.706572581466216,0.985682897702192,0.991661579283752,0.974602407373842,-0.373011136842584,-0.668304479521422,-0.600157060219175,0.120294818500207,0.806987257726214,0.270855253847629,1.11132322342458,1.2319098247618,0.0203354801931026,-1.45268044118057,-0.856481312761235,0.349031841465276,0.575211991520303,-0.930166115575136,-0.994507174744683,1.29095152586599,-0.826367409925419,-0.736583319792803,-0.536475339279768,-0.567120602752043,-0.174077655955698,-0.580971676436233,0.412761606581675,-0.632176100170173,-0.115082574576782,0.767245037492678,1.07060522551141,-0.906203714052548,-0.183227535587362,-0.223909067063562,-0.420541176208799,-1.00121811468004,-1.07840149943067,-0.278125555356466,1.26004297520754,-0.98451756322295,-1.79259224988233,0.465204333386705,-0.694026491431967,-0.292672536603516,-0.910742137796375,-0.206892865081083,-1.17244551177899,-0.239812193230792,0.935828294872094,-0.0905075418672098,-0.44657579439402,-0.0657978677500255,-0.23108619639943,0.798099121351999,0.573285220502131,-1.10511361475455,-0.417352864873667,1.19105414859601,-0.00340518644393989
"HPJ99_Mig_1 (GE) - TPM",4.86236077763673,0.0292903174233813,-0.303591002064098,-1.15068531342736,0.429568130026875,-0.33303171962389,-0.723752647116873,-0.76730994764945,-0.801344022107044,-0.727789342524774,-0.715840341634118,-0.435487035070979,1.01361045871358,-0.033384365531432,-0.282323343184647,-0.698971886809821,-1.21688521542356,-1.64252970775134,-1.17874977653999,-1.27450639965714,-0.410645681499653,-0.810759308463056,1.11237734778346,-1.579895680654,-1.933883321723,-2.38160083222009,-0.373011136842584,-0.738613795904152,-0.396303244874847,-1.09380618927323,-1.28602540817827,-1.01963697586103,-1.21067659397215,-1.47864852461508,-0.264458120097013,-1.26328899537996,-0.211023467647771,-1.87058889544803,-0.43902787333937,0.708363640310777,-0.994507174744683,-1.21776993058593,-1.14258329798617,-1.28741152021519,-0.536475339279768,-0.142347771906094,-0.174077655955698,-1.23096101797751,-0.454466238017375,0.26499834059054,-0.935401328336175,-0.250079982684574,-1.76013449787088,-0.836394470984638,-0.742216929418731,-0.963330236074587,-1.55015245448996,1.65266616685129,0.839938127806307,-0.601648755159409,-1.29991090818776,-1.35112091398734,-0.843575268921019,-0.282695365311483,-1.42543191841414,-0.292672536603516,1.4889697823996,-1.01665935886059,-0.987540541924768,-0.961564287911804,-1.77132964207704,0.309483787404812,0.400171810919219,-0.0150269214033451,-0.23108619639943,0.425002120126677,0.399959870139658,-1.19244252159512,-1.11614636643714,-0.726163247038277,-1.22075527515911
