"","VC0044","VC0056","VC0164","VC0165","VC0166","VC0167","VC0225","VC0269","VC0331","VC0373","VC0389","VC0416","VC0434","VC0531","VC0594","VC0744","VC0760","VC0829","VC0838","VC0839","VC0840","VC0841","VC0842","VC0882","VC0953","VC0954","VC1001","VC1042","VC1391","VC1565","VC1566","VC1596","VC1606","VC1629","VC1708","VC1716","VC1745","VC1746","VC1748","VC1749","VC1750","VC1756","VC1757","VC1884","VC2057","VC2178","VC2237","VC2249","VC2253","VC2274","VC2380","VC2392","VC2402","VC2404","VC2445","VC2485","VC2552","VC2553","VC2654","VC2721","VCA0174","VCA0175","VCA0556","VCA0642","VCA0772","VCA0983","VCA0998"
"Vibrio_As_1 (GE) - TPM",-0.843494789701335,-0.165255273852304,-0.397039052427886,-0.308051940650384,-0.330501277588761,-0.0337003520022094,0.499483162998552,0.907162225463414,-0.711856150987786,-0.0924211783556857,1.06853516458134,-0.403574795787534,0.699020703088719,0.0945148914164739,0.000519247337036565,0.795940768756563,-0.197447918221035,-0.223600957082794,-0.371031703449024,0.192482843047527,-0.332746860847006,-0.187130851176796,-0.624682319381586,1.21929882149209,0.493359842633311,1.1234448664501,-0.128042435848732,-0.738570900685326,-0.476960670332675,-0.886165994855309,-0.307027634223569,1.16267724733387,-0.517971028325899,0.0801134596441489,0.285157562552614,-0.123185825143522,-0.498268483470027,-0.324587033276989,-0.252231839592709,-0.358655077025652,-0.338353674862338,-0.406485649846942,-0.589676483072097,-0.190548555295291,0.0990807744003766,0.725334173344313,1.04622683547278,0.751410005665224,0.264486965906218,0.203887940783615,0.500547511544321,0.357356390772805,-0.77194618349633,-0.198831670003027,0.512055554505193,-0.299169522696893,-0.471922717606741,0.440324265303153,1.250409694389,0.856385038338343,0.100234709047626,0.146717571712112,-0.116539529862458,0.517282030681108,-0.034236628515188,-0.191373071194217,-0.608126823200489
"Vibrio_As_2 (GE) - TPM",-0.531606308501151,-0.0973902722943263,-0.343130868780556,-0.382679559288557,-0.237794960847327,0.202362550893257,-0.155140962387955,-0.145611720913933,-0.0895400390964845,-0.0312868432756429,0.54848990704455,-0.123268034633918,0.409476107443408,-0.979248486758268,0.067215759604806,1.80877533251588,0.199462471515122,-0.321368534119603,-0.395754695211195,0.0678183364031127,-0.374251713042626,0.490006555353268,0.276999694713339,-0.0227096316236984,0.659213365526883,0.137086387741156,1.15642962521728,-0.68990042467653,-0.214302648782569,0.180740180581108,-0.473412753710726,-0.582382546942618,-0.795318243211646,0.561429639682251,0.893654027278288,0.110949315622706,-0.579513037403099,-0.378589608208936,-0.367539186215349,-0.36443701827168,-0.332165905159916,-0.39916799490233,-0.477617964033048,-0.109320616449736,0.139541648470543,0.101924713317737,0.4374796103555,1.29520443831529,0.133252403444313,0.519617576105304,0.739335551673853,0.190418148467549,0.662648791709252,0.0256611587859923,-0.619197496969087,-0.340764760168643,0.102775558506204,0.463847971425389,0.536098528530817,-0.115989085797437,-0.120119465953974,-0.008773692476104,0.39223258740679,-0.482691661130665,-0.197335106977447,-0.420366674736673,-0.613720283582148
"Vibrio_As_3 (GE) - TPM",-0.137239146297953,-0.111546668400342,-0.368990248182263,-0.332377947662469,-0.288744236422744,0.23484135760919,0.7943901731341,-0.0974924830904581,-0.382263928459374,0.561033332457455,0.848703115814314,0.487797465535599,0.15300011187399,0.542060489303598,0.309779005228207,0.290322384012229,0.370091483969823,0.0639653053683091,-0.27240375005186,-0.195607711355467,-0.357460253765833,-0.257364424188447,-0.0256764325352344,0.667677930897174,0.976131402152135,1.12440677758164,0.132825042790643,-0.523191699496417,-0.34231305632211,0.428193788429675,0.835342490352732,-0.282954173385712,-0.627407294162736,1.40684172222084,-0.0404356400842446,0.349788641034864,-0.59065441507199,-0.359555668441175,-0.317584695092595,-0.293744895832257,-0.338012113182285,-0.290631031820909,-0.435749623352384,-0.76801463961431,1.23984551455486,0.574439605360029,0.758670061443559,0.675352578615658,0.277909629866951,0.0672117212671628,0.901904124785879,0.316356956994805,0.329542755493543,0.198098688853635,-0.083251462351637,-0.309917050110521,-0.00183591099401416,0.00679190897778143,1.30767801060815,0.00097969089903913,0.141214558146372,0.732301403780829,-0.271534607195045,-0.482691661130665,-0.0410083018027101,-0.555096169353316,-0.545045132871937
"Vibrio_Bs_1 (GE) - TPM",1.22894353920101,1.70738336446169,3.32742389723212,3.94273850109037,3.27549003477981,4.17514266887988,2.4108926987535,0.271916632156779,0.849410761112699,0.992128950925903,2.24846725311485,1.78232364705265,1.08435892834134,1.63702390774582,1.66550072004606,1.06237160923203,2.23535712254344,2.72622036393798,4.40561352230827,3.55807311547772,4.15524614934352,4.16554560428966,2.48017280809262,2.61259200050649,2.53259484256234,1.80009566324273,1.12567984415533,3.4739243614832,2.59952801130913,1.38262132783524,1.63493115626029,3.66246894068062,3.13898585543859,1.30754600049202,1.74575472289612,2.08322196151548,4.1209283672402,4.02714010964967,3.75393240688735,3.96258919261198,4.01886678607705,3.96568144685166,3.29110340210236,2.16093748908268,1.89204651206024,1.49742095318371,3.41831498450599,1.92343894391955,1.20301615918852,1.78174845393225,2.18306411760978,2.16002526447444,1.05433305570009,2.12965470781737,3.27077788874527,3.29456792991922,2.81835833555318,2.04187387528543,1.15693139943843,1.41479509016059,2.42494693341778,3.50445929166993,3.92088023508573,2.28073407987043,3.76994614937014,3.94660982606922,3.08181059729139
"Vibrio_Bs_2 (GE) - TPM",1.58111168319801,0.266117803618936,3.20149485834798,3.46678593137059,3.82066822133991,2.20656643815297,0.872806861640865,0.373669878219082,-0.223373083120046,0.713934704404285,1.43439356373302,1.62841788646554,0.674783948085706,1.48268084836776,1.08597412337607,0.875453444599821,1.85370999805462,0.495617239933709,1.51661781875879,2.96852901239438,1.93889044216946,2.00796021452063,2.62759130732596,1.21952190589981,1.52467516500203,1.07806138886404,0.0429113611791894,3.05380277364707,2.81722426236399,2.46323181021428,2.2388929906632,0.989639631292759,2.17869911448966,2.22402397114097,1.3428659573905,1.8589682026231,3.25845621106338,3.0229581053754,2.88972217145213,3.63570288224799,3.29854038540743,3.62224700669209,3.8262420514196,2.03294543489094,1.57030940420911,1.58273793234466,1.47307179764106,1.44619207499514,1.3484655905051,1.32292643546257,0.990569546293231,1.04215555912071,1.82241099904411,1.64258471113764,0.956271465257165,4.12631568750991,1.95046741923894,1.06799060448058,0.825857195100846,1.55392323540638,1.43058876053477,1.55941479396056,1.91747124447068,2.63641280955967,3.57396525834793,3.00781324391842,2.85925402272898
"Vibrio_Bs_3 (GE) - TPM",1.81706181412891,0.417162796088093,2.54294854785375,1.73966570766904,2.1582959480164,1.97788895658587,1.7571286204275,0.08921090426838,0.381326886967097,0.150056146382684,1.68731028218116,1.4699311500296,1.17304056670169,2.81654375168128,1.25255977214228,0.989895037841601,2.22508350636105,1.37998356492641,2.24268369964373,1.36138197410166,1.89903851343823,2.27249589284422,2.01375032056861,1.72957807165145,2.10347093380386,1.4752548851664,0.473880535377366,1.58807999758129,1.46806202893836,1.70528282441096,2.0920562291669,1.60629757504519,1.41953314891551,2.23954474274595,2.7903775061411,1.67566394334828,1.52403098221214,2.41999118207418,3.03732368442444,1.70015813939198,1.86822210737185,1.74280182052879,2.17942761227326,1.24589909234355,1.42506900531135,1.92491971496265,1.97253686695555,2.38164204597661,2.00693278897415,1.53056766909425,1.56557806218102,0.617937435145752,2.09927551636472,2.22313922785282,1.18644114895253,1.80953840875854,0.560139061859378,0.49185762266229,1.20041911305984,1.2627520523454,1.51905629753182,1.46387035431962,2.23725769946234,-0.290442348128196,1.69307139675361,0.790023644506421,1.99587168350167
"Vibrio_Ctrl_1 (GE) - TPM",-0.247560935320513,0.551752590012413,-0.322060357883618,-0.255985230034832,-0.345388864767521,-0.223690281141235,-0.143418937595121,0.547825934240431,-0.32729069031878,0.403078002317664,-0.338848039598269,0.763586996119747,0.84932472181834,1.1721676449157,0.9993664551943,0.0999857467483393,1.67109294305458,-0.52287194608605,1.06265152632431,0.770335544986212,0.611894532256467,0.557659078213289,0.372160058026747,-0.237895941200175,0.37759550253174,1.25729888716035,1.05665758834936,-0.450979388350732,-0.0893516735522087,0.817816745370044,0.046282022814403,0.269052144646544,-0.486782021893228,-0.027746242366221,-0.134640522523547,-0.244333288148614,-0.530609534138722,-0.354807916542024,-0.36719303737086,-0.399803019815246,-0.253317226618433,-0.435645282405755,-0.447853513878506,0.24951951704689,-0.0323444882716676,1.27658211554289,0.236383103981183,0.71621030443553,0.0811852043315595,0.40671018084765,0.954211592362447,0.0744067103477559,0.597368651526319,1.89584087864287,-0.522500819800028,-0.332532624985687,-0.384056238496759,0.946657655179393,1.1367316086424,-0.696781962098227,1.06702289246711,0.556280374343633,-0.683643767172302,-0.44169571809848,-0.119902448142421,-0.706107389721643,-0.329996320496506
"Vibrio_Ctrl_2 (GE) - TPM",-0.0237852273511001,0.891593722814146,-0.298685749924912,-0.213107422783909,-0.428822069760109,-0.251971103652456,-0.152900485373789,0.859000433886326,-0.105437967600638,1.53050396289943,-0.838347691573327,1.48990213089887,0.982754499438706,0.81600962014854,1.02584047405906,1.18150141947759,0.849806129342099,2.31524617377758,0.0370730256313518,0.106012222555779,0.159239363743096,-0.28231384465948,0.160920563007082,0.895818021848011,0.429785804063166,1.39872691746318,0.820602106499732,-0.458698074066161,0.116036095338335,-0.0155109840730834,-0.382395157936379,1.10346717750045,-0.446428905698104,-0.23082515823845,-0.290706351205316,1.07374511271344,-0.230285952232723,-0.308561340780539,-0.347297004369092,-0.380342981145729,-0.175030233710286,-0.305814244686548,-0.243593707122433,-0.30808575409428,-0.858499296946126,1.79287028327119,1.06913044486888,1.14419462949784,0.226381431063168,1.43978932110182,1.03871253811649,1.48062030376512,0.619507349153523,0.51456767571127,0.170618747670663,-0.337840191919757,0.91508650281162,0.788253843626046,0.483478199878637,0.612586784753034,1.23447032172244,0.104612458021983,0.39149760187865,-0.482691661130665,0.297983558297072,-0.721338532788225,-0.456375321576309
"Vibrio_Ctrl_3 (GE) - TPM",0.175008070369897,0.0682396121609249,-0.171061249862109,-0.317776260470885,-0.323044801621322,-0.104380861698561,-0.318368199698319,-0.0330230323896183,0.504677167306748,-0.36582236011186,-0.629466380157807,1.34021410779195,0.553970139670045,0.34126848699727,1.03170545481743,0.835927676828635,1.22218067948848,-0.0285093661599601,0.0619850671352006,0.624868948602156,0.214292915564032,-0.110371517077724,1.0242542232326,-0.270073810236951,0.420642071282905,1.45575013581616,-0.0764745516242737,-0.552843531765956,-0.104205022445497,0.149337456725974,-0.0315769285276969,1.10490200033355,-0.626354914839543,-0.590774219378492,-1.20084589851352,-0.164954609264647,-0.568011782703278,-0.484864556084966,-0.36939950735835,-0.332919563754293,-0.36552566279906,-0.399498354195382,-0.344286748704923,0.0414432482048447,-0.667760744266244,1.03561685158467,1.17150823338336,0.447153916477279,0.442633912780995,-0.114221168857168,0.751910534539357,2.03392057955273,-0.453608972188794,0.280420811884388,-0.714955129334487,-0.325558596938318,-0.0892269794537092,0.810975925633403,1.03491942879343,-1.06165784855077,1.12337229868426,0.0454229489757933,-0.223172706553524,-0.482691661130665,-0.392870524419251,-0.533277842566126,-0.458757139395845
"Vibrio_Li_1 (GE) - TPM",1.94432237668252,0.84714403175401,0.0595655988227965,0.0995191896909086,0.329550661348889,0.320004606977427,1.03069299768572,0.982344413663154,2.04914826632181,0.88105167784072,0.461597539108635,1.03129802979188,1.68316660320469,-0.320556441585989,0.885024815648872,1.79786854789358,0.546892924568452,-0.4521517173293,-0.0669226442957795,-0.0178539216895439,0.31941444269628,-0.298463516807441,-0.506399902847093,0.555684236769195,-0.22665246089539,0.0891073499711894,1.8374714389679,0.940386912532013,2.50844227576984,0.727900182386656,1.47913243725004,0.10887751490359,-0.217546565327931,0.0149552052731144,1.72902181117207,1.85292313870532,-0.0285513003462042,0.0317067079969239,-0.087024935656965,0.020130469501325,0.217551625300095,-0.258666948571346,-0.309580552491129,2.43800419552109,0.713405419747297,0.05786504141796,-0.553064909076234,0.0329756918027876,1.37443078975912,1.65712720493254,0.940674647626869,1.26970287244136,1.08228059508425,0.757964684405402,1.25819551249498,-0.294765667100952,1.17639897738641,1.28161158017747,-0.164888950147493,0.333941553906184,1.12972555765605,1.27355422706307,-0.295599520444743,0.520445985431964,-0.562475417244633,-0.614743765635002,-0.418881066465143
