"","GBS_RS00010","GBS_RS11195","GBS_RS03120","GBS_RS03215","GBS_RS03250","GBS_RS03800","GBS_RS03805","GBS_RS05105","GBS_RS05110","GBS_RS05755","GBS_RS05760","GBS_RS05765","GBS_RS05770","GBS_RS05775","GBS_RS05780","GBS_RS05785","GBS_RS05790","GBS_RS05795","GBS_RS06215","GBS_RS06805","GBS_RS07470","GBS_RS07475","GBS_RS07880","GBS_RS07905","GBS_RS08075","GBS_RS08500","GBS_RS09285"
"STAGA_Oxs_1 (GE) - TPM",0.698162688510356,-0.144952849405937,-0.389804960827551,-0.315048072278186,-0.267769386961939,0.810321003499526,-0.136346947858207,-0.804095106042877,-0.208593696152042,-0.492748894982495,-0.371102651951496,-0.335559648200909,-0.382941108254758,-0.365215637181734,-0.421857942510987,-0.271923661919905,-0.141306487131692,-0.161684032321332,-0.904777220637246,-0.902866602387669,1.30332554645303,1.72314374154109,0.617689811560227,-0.431111703505433,-0.491233166445787,0.388895598075965,-0.469222005221651
"STAGA_Oxs_2 (GE) - TPM",1.21095516494521,-0.654640495975221,-0.27459643577535,-0.0565939172633235,0.29547809296737,1.46686276405005,0.796795127407633,-0.86948381888169,0.230552114892834,-0.759791847219232,-0.318267326323767,-0.260083493629487,-0.348046461209552,-0.27089015282663,-0.281590957159394,-0.116675081931162,-0.0670666711113576,-0.200661186868426,-0.822837922235285,-0.749545587522517,0.769598660290113,1.93537624494755,0.57501112317975,-0.633768066011962,-0.473499220385574,0.16782379348589,-0.477839711641702
"STAGA_Oxs_3 (GE) - TPM",1.40331414578713,-0.307554663533281,2.41946958474159,-0.234801336553407,0.30098185664855,3.53172708340965,-0.318676749925355,-0.91164458235674,-0.0690665378794366,-0.623253894187626,-0.24504930858772,-0.306466863850596,-0.381465141574001,-0.283682375709548,-0.386409818083011,-0.190705996531514,-0.0329428760935969,-0.381668691054271,0.499247029210821,-0.816486071341015,0.749285000730503,1.38443358886193,0.381002983707676,-0.440980414457786,-0.649311757235487,0.455718558769456,-0.485554522243107
"STAGA_Sp_1 (GE) - TPM",-0.61382848051056,1.43348145192823,1.51781077596782,1.4915151434982,-0.851163402335482,1.06045666599396,2.31579455759866,1.97144966178402,1.0432526346219,1.44524236637801,1.11753752717381,1.20475622459635,1.52250943822428,1.65176568006849,1.54920827477627,1.7604079979196,1.4138483624401,1.39606472397253,1.73371670805947,1.62229946002121,-1.02926673216194,-0.69563613091086,-1.02839346555403,1.00232357557488,1.51591785895278,0.948738823559586,0.944175455614971
"STAGA_Sp_2 (GE) - TPM",-1.27717528793863,2.223567062524,1.38719090458048,1.69441789242567,-0.671719714809795,1.04215239544783,1.5746747605142,1.84339847022783,1.12306456288248,1.21400082544949,1.35384658336262,1.73567185707446,1.95319243187045,1.9741214656056,1.70070994701429,1.76022983385492,1.9571459132866,1.69645563773175,1.5812856932367,1.45830871965782,-1.75636316182301,-1.61936110687278,-1.55532917510217,1.14566030977048,1.99726122159722,1.06904965961563,1.33019278219482
"STAGA_Sp_3 (GE) - TPM",-0.745079957677704,1.78980395862198,1.27992089660451,1.52309618503677,-0.458535748706606,0.987617159280026,2.08981513234201,2.01240143290278,1.05908970972877,0.999828884139636,1.09396758453964,1.69639209302726,1.79926404462285,1.81669329975452,1.52836266264842,1.78409968173359,1.75912062003492,1.68201863271809,1.43102408641777,2.43555856468201,-1.94145605971213,-1.45869438724091,-1.59969181462275,1.31772536471412,1.81707459641189,0.808509291278325,1.6071999002471
"STAGA_Tm_1 (GE) - TPM",0.0977910714180511,-1.34114561841353,-0.816488325660243,-0.769927054272701,-1.41082475068921,-0.585753844615031,-0.392175577469569,0.271856757144758,-0.356535154430077,-0.519533848830636,-0.4553722789499,-0.479402073075219,-0.563928704955318,-0.568907573666406,-0.577699565636176,-0.513375237829441,-0.713101535763671,-0.62817381395401,-0.745311216902121,-0.323425012174132,1.11345473254149,0.510086448697821,-0.705476235280724,-0.819378416083056,-0.6030528910513,-0.779748719467284,-0.50592752575329
"STAGA_Tm_2 (GE) - TPM",-0.144391485302057,-1.32366372151334,-1.35695526710355,-0.723341683755666,-0.577707921993501,-1.08020187259617,-0.643932659993771,0.0331341800430533,-0.15123355933256,-0.507513990947904,-0.520902108866998,-0.565332842896932,-0.603563550145952,-0.587090298673709,-0.539909953887482,-0.585376885356968,-0.702568594554651,-0.679033058840181,-0.723137209297852,-0.450702392190687,0.476042446731972,0.288981003247959,-0.435237013391909,-0.878754508318578,-0.756255229447642,-0.678645722444042,-0.502096902502994
"STAGA_Tm_3 (GE) - TPM",0.264978992899239,-1.29397689209228,-1.30027512145739,-0.749837322156608,-0.24889913797725,-0.514743013880213,-0.479662960897727,0.0827424575519046,-0.329384903934417,-0.412068625616011,-0.466914566513124,-0.520272083533331,-0.551570854613478,-0.567383233799771,-0.556927536415436,-0.541139922088875,-0.64099976517126,-0.634858114467189,-0.232214985799079,0.105219535168185,0.835197238553761,0.237637304191088,-0.475700111164325,-0.934427807385849,-0.642724203642993,-0.445296465165486,-0.498538038398147
"STAGA_Vic_1 (GE) - TPM",-1.84839891580092,2.29678005970289,1.82451104032994,2.88217634900742,-2.04196101567838,2.33341143050167,3.05844101332096,1.88772197295151,3.67822222038413,3.10439141801042,4.68672712954051,4.09876970662926,3.37317446938119,3.5149981727602,3.85877384548146,3.63463937338585,3.21094601286705,3.81990041795602,3.99927299771297,2.73582853180615,-2.01724033765662,-2.12246909450883,-1.8132741974265,2.42276746494095,2.54792551706488,3.58196049021674,4.01770625353
"STAGA_Vic_2 (GE) - TPM",-0.245972433231412,-0.180588723915593,-0.510628804606048,-0.250038266192026,-1.32908795088451,-0.754998258050255,-0.410796590823936,0.194296571894291,1.46583893642828,0.308057249027442,0.00424337724946637,-0.185146499508873,-0.14978697574023,-0.165854032060142,-0.133480731136102,-0.394893988115738,-0.483595531627902,-0.196558063418931,-0.376924508859926,0.00200703290313131,0.0951547320096088,-0.198270754557153,-1.32525938959325,1.48005949059141,-0.324445972125938,0.101956224834468,0.197101427163517
"STAGA_Vic_3 (GE) - TPM",-0.217979998170298,-0.480346795214636,-1.22655414565809,-0.676482264327872,-1.2856698891314,-0.870954211529968,-0.783703244237424,0.0929160199253476,0.664908004981994,-0.323927281611484,-0.579786454622143,-0.660725165369301,-0.695221661013772,-0.652063389707502,-0.611785962509932,-0.809023074748304,-0.870103223569721,-0.725439717046675,-0.737905444103816,-0.15666146633968,0.0016295199468216,-0.425213575878619,-1.38435009206323,1.14968665228022,-0.780235130942309,-0.150580157837991,-0.248138851328536
