"","ETEC_RS01615","ETEC_RS01625","ETEC_RS27390","ETEC_RS03780","ETEC_RS09790","ETEC_RS10540","ETEC_RS28100","ETEC_RS10855","ETEC_RS28130","ETEC_RS11595","ETEC_RS12335","ETEC_RS14130","ETEC_RS14235","ETEC_RS18210","ETEC_RS28755","ETEC_RS21065","ETEC_RS21330","ETEC_RS21500","ETEC_RS25250","ETEC_RS29330"
"ETEC_As_1 (GE) - TPM",1.17024385964422,0.312158789498833,-0.310732482578087,-0.166666666666667,1.65557267148258,-0.23720305804451,-0.414119985852539,0.942460459327154,1.57512134066632,-0.166666666666667,-0.166666666666667,0.145103102587125,-0.250921385493177,1.58402328356085,-0.271917201544628,1.71515719397303,0.851886968577989,0.688146119449067,-0.553348571887179,1.3641726742233
"ETEC_As_2 (GE) - TPM",1.56178718469176,3.25359344992548,4.46883363207456,5.83333333333333,3.57225261444757,4.56426119298185,4.72089689060176,3.11714203248167,4.54661700097036,5.83333333333333,5.83333333333333,2.90805661627074,5.21338285858873,3.20247724307971,2.31537443091655,3.36709882674155,4.37316360345708,2.12588853298759,3.27759504565303,2.31046650243392
"ETEC_As_3 (GE) - TPM",-0.280863571360872,0.485721811252623,0.929533709089258,-0.166666666666667,1.10703524476662,3.50064278053149,0.585257521597942,-0.469993642232442,1.55299011676221,-0.166666666666667,-0.166666666666667,0.297197626567394,0.812542058336918,0.80475411081061,1.74223864202337,0.478509495474344,1.40083383318655,5.29296092647218,1.43486112612255,4.25602154633676
"ETEC_Bs_1 (GE) - TPM",-0.280863571360872,-0.583386555032038,-0.310732482578087,-0.166666666666667,-0.145307147021609,-0.23720305804451,-0.414119985852539,-0.469993642232442,-0.354862929854835,-0.166666666666667,-0.166666666666667,0.417409095021574,-0.250921385493177,-0.548971717154562,-0.271917201544628,-0.316682133697026,0.353762240759716,-0.245666532694207,-0.132858087321214,-0.190376950651797
"ETEC_Bs_2 (GE) - TPM",-0.280863571360872,0.396004820722754,-0.310732482578087,-0.166666666666667,-0.114191038724519,-0.23720305804451,0.671714388346023,-0.469993642232442,-0.354862929854835,-0.166666666666667,-0.166666666666667,0.478185492664756,-0.250921385493177,-0.0761078089653031,-0.271917201544628,-0.656235935507537,0.0445636336276549,-0.245666532694207,-0.553348571887179,-0.484011756586543
"ETEC_Bs_3 (GE) - TPM",-0.280863571360872,1.16931300402648,-0.310732482578087,-0.166666666666667,-0.227124643239456,-0.23720305804451,1.71744225038915,-0.469993642232442,-0.354862929854835,-0.166666666666667,-0.166666666666667,1.17990443539798,-0.250921385493177,-0.734575623116075,-0.271917201544628,0.998125087606273,-0.120836864798802,-0.245666532694207,-0.553348571887179,-0.140840626318504
"ETEC_Ctrl_1 (GE) - TPM",5.26096418871732,-0.339643788522306,2.88364292593844,-0.166666666666667,-0.289252971784926,-0.23720305804451,-0.414119985852539,-0.469993642232442,-0.354862929854835,-0.166666666666667,-0.166666666666667,1.12376616878941,-0.250921385493177,0.519324521339891,4.91565457803281,-0.138905478085518,-0.725548916075784,-0.245666532694207,2.0070244389937,-0.60129000233699
"ETEC_Ctrl_2 (GE) - TPM",-0.280863571360872,-0.820105450725458,-0.310732482578087,-0.166666666666667,0.100790863359584,-0.23720305804451,-0.414119985852539,-0.469993642232442,-0.354862929854835,-0.166666666666667,-0.166666666666667,-1.32038157278627,-0.250921385493177,0.414252617074919,-0.271917201544628,0.317087676249797,0.0461081770996986,-0.245666532694207,-0.553348571887179,-0.60129000233699
"ETEC_Ctrl_3 (GE) - TPM",-0.280863571360872,-0.820105450725458,-0.310732482578087,-0.166666666666667,-0.416206620508473,-0.23720305804451,-0.414119985852539,-0.469993642232442,-0.354862929854835,-0.166666666666667,-0.166666666666667,-1.46282421633405,-0.250921385493177,0.779769709098135,-0.271917201544628,-0.0956845734801257,-0.725548916075784,-0.245666532694207,1.97126362428895,-0.60129000233699
"ETEC_Li_1 (GE) - TPM",-0.280863571360872,1.12079177517222,-0.310732482578087,-0.166666666666667,0.527703830262053,-0.23720305804451,-0.414119985852539,-0.469993642232442,-0.354862929854835,-0.166666666666667,-0.166666666666667,-0.434464027984957,-0.250921385493177,-0.823977714961691,-0.271917201544628,0.788155018196639,1.48681358384429,-0.245666532694207,-0.553348571887179,-0.60129000233699
"ETEC_Li_2 (GE) - TPM",-0.280863571360872,0.0673491531827844,-0.310732482578087,-0.166666666666667,0.414457660621025,-0.23720305804451,-0.414119985852539,-0.469993642232442,-0.354862929854835,-0.166666666666667,-0.166666666666667,-0.689040279476134,-0.250921385493177,-0.0278058251128428,-0.271917201544628,-0.174263685544688,-0.725548916075784,-0.245666532694207,-0.553348571887179,-0.60129000233699
"ETEC_Li_3 (GE) - TPM",-0.280863571360872,-0.820105450725458,-0.310732482578087,-0.166666666666667,-0.260766118332496,-0.23720305804451,-0.414119985852539,1.06665752774663,-0.354862929854835,-0.166666666666667,-0.166666666666667,-1.02740661087229,-0.250921385493177,0.267510481087665,-0.271917201544628,0.193359474205178,-0.413523498052311,-0.245666532694207,-0.553348571887179,-0.60129000233699
"ETEC_Mig_1 (GE) - TPM",-0.280863571360872,-0.820105450725458,-0.310732482578087,-0.166666666666667,0.109769179293452,-0.23720305804451,-0.414119985852539,-0.469993642232442,-0.354862929854835,-0.166666666666667,-0.166666666666667,0.527701864933099,-0.250921385493177,-0.5490637503549,-0.271917201544628,-0.367602373589952,-0.725548916075784,-0.245666532694207,-0.553348571887179,0.357374167080766
"ETEC_Mig_2 (GE) - TPM",-0.280863571360872,0.558154709904365,-0.310732482578087,-0.166666666666667,0.00540002265209283,-0.23720305804451,-0.414119985852539,-0.469993642232442,-0.354862929854835,-0.166666666666667,-0.166666666666667,0.13722700578332,-0.250921385493177,-1.21268371881105,-0.271917201544628,-2.0007133476997,0.321805559521232,-0.245666532694207,-0.553348571887179,0.196203141401533
"ETEC_Mig_3 (GE) - TPM",-0.280863571360872,-0.820105450725458,-0.310732482578087,-0.166666666666667,0.163514820346333,-0.23720305804451,-0.414119985852539,-0.469993642232442,-0.354862929854835,-0.166666666666667,-0.166666666666667,-0.588523596187563,-0.250921385493177,0.855441132994833,-0.271917201544628,-1.60980384628537,-0.725548916075784,-0.245666532694207,-0.553348571887179,-0.60129000233699
"ETEC_Nd_1 (GE) - TPM",-0.280863571360872,-0.820105450725458,-0.310732482578087,-0.166666666666667,-0.10886034818119,-0.23720305804451,-0.414119985852539,-0.469993642232442,-0.354862929854835,-0.166666666666667,-0.166666666666667,1.69629050651965,2.25448080434918,-1.03665185705319,-0.271917201544628,-0.608684485795452,-0.0576125905916638,-0.245666532694207,-0.553348571887179,-0.60129000233699
"ETEC_Nd_2 (GE) - TPM",-0.280863571360872,-0.820105450725458,-0.310732482578087,-0.166666666666667,-1.05919207547412,-0.23720305804451,-0.414119985852539,-0.469993642232442,-0.354862929854835,-0.166666666666667,-0.166666666666667,-1.141369025676,-0.250921385493177,1.58820963294844,-0.271917201544628,-1.28805414513536,0.33722369475132,-0.245666532694207,-0.553348571887179,1.01717612343333
"ETEC_Nd_3 (GE) - TPM",-0.280863571360872,-0.820105450725458,-0.310732482578087,-0.166666666666667,-0.648099681514989,-0.23720305804451,-0.414119985852539,-0.469993642232442,-0.354862929854835,-0.166666666666667,-0.166666666666667,-0.787927877555612,-0.250921385493177,-0.781114413261269,-0.271917201544628,0.0643812748294597,-0.725548916075784,-0.245666532694207,1.36057719891884,-0.60129000233699
"ETEC_Ns_1 (GE) - TPM",-0.280863571360872,0.822377381163211,-0.310732482578087,-0.166666666666667,0.714312592554783,-0.23720305804451,-0.414119985852539,-0.469993642232442,-0.354862929854835,-0.166666666666667,-0.166666666666667,-1.79488840445143,-0.250921385493177,0.760969278302983,-0.271917201544628,-0.0403412535006943,0.522591162520429,-0.245666532694207,-0.553348571887179,-0.126100762080162
"ETEC_Ns_2 (GE) - TPM",-0.280863571360872,1.3620047955794,-0.310732482578087,-0.166666666666667,2.08399055476097,-0.23720305804451,-0.414119985852539,0.891053743110266,-0.354862929854835,-0.166666666666667,-0.166666666666667,0.0744964950064457,-0.250921385493177,0.681043822877184,-0.271917201544628,1.68301006780311,-0.725548916075784,-0.245666532694207,-0.553348571887179,-0.390853442568063
"ETEC_Ns_3 (GE) - TPM",-0.280863571360872,0.548898498463501,-0.310732482578087,-0.166666666666667,-0.424347628290128,-0.23720305804451,-0.414119985852539,-0.469993642232442,-0.354862929854835,-0.166666666666667,-0.166666666666667,-0.195605420428665,-0.250921385493177,-0.390167131654475,-0.271917201544628,-0.156669199006267,-0.205388624817455,-0.245666532694207,-0.553348571887179,-0.205221359341657
"ETEC_Oss_1 (GE) - TPM",-0.280863571360872,-0.820105450725458,-0.310732482578087,-0.166666666666667,-1.10539671145396,-0.23720305804451,-0.414119985852539,1.72751638617297,1.64692945267753,-0.166666666666667,-0.166666666666667,-0.331490619781976,-0.250921385493177,0.120099236611854,-0.271917201544628,-1.63094983776596,0.166883926096608,-0.245666532694207,-0.205664295789488,-0.0350147748514871
"ETEC_Oss_2 (GE) - TPM",-0.280863571360872,-0.820105450725458,-0.310732482578087,-0.166666666666667,0.344403898638657,-0.23720305804451,0.65131308066351,-0.469993642232442,1.67909291442346,-0.166666666666667,-0.166666666666667,0.342545700646126,-0.250921385493177,0.778782782583941,-0.271917201544628,0.105047309929892,1.08799479681849,-0.245666532694207,-0.200077937677055,-0.486215250435405
"ETEC_Oss_3 (GE) - TPM",-0.280863571360872,-0.820105450725458,-0.310732482578087,-0.166666666666667,-1.06530929527185,-0.23720305804451,-0.414119985852539,-0.469993642232442,-0.354862929854835,-0.166666666666667,-0.166666666666667,0.195915303730026,-0.250921385493177,0.493777956567209,-0.271917201544628,0.255708711940057,-0.725548916075784,-0.245666532694207,1.96925976009386,1.04214423469119
"ETEC_Oxs_1 (GE) - TPM",-0.280863571360872,1.35149075218356,-0.310732482578087,-0.166666666666667,-1.18647058542701,-0.23720305804451,-0.414119985852539,2.23898528236391,-0.354862929854835,-0.166666666666667,-0.166666666666667,0.911115461981186,-0.250921385493177,-1.21268371881105,-0.271917201544628,-0.452250200014233,0.374597034976029,-0.245666532694207,0.732474059014859,-0.60129000233699
"ETEC_Oxs_2 (GE) - TPM",-0.280863571360872,0.587438539081801,-0.310732482578087,-0.166666666666667,-0.743711722729262,-0.23720305804451,-0.414119985852539,-0.469993642232442,-0.354862929854835,-0.166666666666667,-0.166666666666667,0.836000896658245,-0.250921385493177,-0.367011739948258,-0.271917201544628,-0.224647752633954,0.344058650947652,-0.245666532694207,-0.553348571887179,-0.194071280743686
"ETEC_Oxs_3 (GE) - TPM",-0.280863571360872,-0.179149746741044,-0.310732482578087,-0.166666666666667,-1.44085007001635,-0.23720305804451,-0.414119985852539,-0.469993642232442,-0.354862929854835,-0.166666666666667,-0.166666666666667,0.301668543567744,-0.250921385493177,1.09788681711043,-0.271917201544628,-1.02691160809363,-0.725548916075784,-0.245666532694207,-0.553348571887179,0.882197060191985
"ETEC_Sp_1 (GE) - TPM",-0.280863571360872,1.01763793228192,-0.310732482578087,-0.166666666666667,-0.0716359946664717,-0.23720305804451,-0.414119985852539,-0.469993642232442,-0.354862929854835,-0.166666666666667,-0.166666666666667,-0.936140926437757,-0.250921385493177,-0.844636468926444,-0.271917201544628,0.517185967111572,-0.725548916075784,-0.245666532694207,-0.553348571887179,-0.0696096311237491
"ETEC_Sp_2 (GE) - TPM",-0.280863571360872,-0.820105450725458,-0.310732482578087,-0.166666666666667,0.0795786943957508,-0.23720305804451,-0.414119985852539,-0.469993642232442,-0.354862929854835,-0.166666666666667,-0.166666666666667,-0.749860046562217,-0.250921385493177,-1.21268371881105,-0.271917201544628,0.103659086796816,-0.725548916075784,-0.245666532694207,-0.553348571887179,-0.60129000233699
"ETEC_Sp_3 (GE) - TPM",-0.280863571360872,-0.820105450725458,-0.310732482578087,-0.166666666666667,-0.0584356533206901,-0.23720305804451,-0.414119985852539,-0.469993642232442,-0.354862929854835,-0.166666666666667,-0.166666666666667,0.814047084802975,-0.250921385493177,-1.21268371881105,-0.271917201544628,-0.298144333509105,0.688693859877212,-0.245666532694207,-0.553348571887179,-0.60129000233699
"ETEC_Tm_1 (GE) - TPM",-0.280863571360872,-0.190276603161007,-0.310732482578087,-0.166666666666667,0.13053507309391,-0.23720305804451,0.710596790276175,0.315692514373446,-0.354862929854835,-0.166666666666667,-0.166666666666667,-0.0290359817286081,-0.250921385493177,-0.455863879895492,-0.271917201544628,0.655816674354459,-0.246935312543614,-0.245666532694207,0.565434263493036,-0.358334329241187
