"","FTS_RS00115","FTS_RS00150","FTS_RS00155","FTS_RS00185","FTS_RS10065","FTS_RS00340","FTS_RS01000","FTS_RS01190","FTS_RS01220","FTS_RS01230","FTS_RS01515","FTS_RS01995","FTS_RS02090","FTS_RS02160","FTS_RS02170","FTS_RS02550","FTS_RS10205","FTS_RS03035","FTS_RS03290","FTS_RS03445","FTS_RS03520","FTS_RS03530","FTS_RS03635","FTS_RS03795","FTS_RS03830","FTS_RS04250","FTS_RS04375","FTS_RS04450","FTS_RS04755","FTS_RS04760","FTS_RS04770","FTS_RS04790","FTS_RS04955","FTS_RS04975","FTS_RS05045","FTS_RS05205","FTS_RS05225","FTS_RS05240","FTS_RS05245","FTS_RS05695","FTS_RS05745","FTS_RS05760","FTS_RS05765","FTS_RS06330","FTS_RS06335","FTS_RS10420","FTS_RS10425","FTS_RS10435","FTS_RS06625","FTS_RS06940","FTS_RS06945","FTS_RS07045","FTS_RS07125","FTS_RS07215","FTS_RS10500","FTS_RS10520","FTS_RS07550","FTS_RS07610","FTS_RS07835","FTS_RS08100","FTS_RS08120","FTS_RS08695","FTS_RS08795","FTS_RS08825","FTS_RS08885","FTS_RS08895","FTS_RS08900","FTS_RS10635","FTS_RS09130","FTS_RS09190","FTS_RS09230","FTS_RS09235","FTS_RS09390","FTS_RS09540","FTS_RS10710","FTS_RS09600","FTS_RS10715","FTS_RS09630","FTS_RS10735","FTS_RS09885","FTS_RS09890","FTS_RS09965","FTS_RS09970"
"FRAT_As_1 (GE) - TPM",-0.169279419042644,-0.76638837331269,-0.46959083248902,-0.878079260151105,2.9749828110241,0.252137148204463,0.330205805558037,-0.786017322863173,-0.513882969373964,-0.113776297976119,2.89703417216016,0.0104126983725993,0.297724087054162,0.386107113893313,0.573453519136397,0.150216107091463,-0.335598394041811,0.459366480084557,0.803845189921986,-0.0393192208403035,-0.574656366348406,-0.658220390916453,0.177304020412259,-0.290167759529815,-0.205379132408342,0.661202285809662,-0.174513937784894,-0.654677887654493,0.699328916819829,0.639656905795506,-0.0619336457385889,-0.385747112087761,0.853400751413854,0.023485975376574,0.234684535644216,-0.20624276764415,0.665488364834176,0.338657232127967,0.00339481693652745,0.667340243695365,0.0909459760968806,1.19014556106787,-0.0119601207970214,0.382520840753838,1.48914224346659,-0.489737799189787,-0.291194973245983,-0.332843160493458,0.230419838699111,1.16815398231105,0.735183020246932,-0.844515927913909,-0.591463800320341,0.997920942838458,0.942343441714424,-0.847906846805067,0.221575538633247,-0.290205321353286,0.0287186113271897,-0.730698328220623,0.837810340962148,-0.780611830010403,0.470909546495181,-1.04976047020081,0.353199122373604,-0.13040111285849,-0.488986535114463,0.317967197722951,-1.22076804740133,-0.464553618070448,0.471287382535569,0.157728205146707,-0.140156125251343,0.0941811757410052,0.414353685142661,-0.716434038004663,-0.531030194526734,-0.301009499756748,-0.180170926322106,0.155868295950926,-0.749026370504589,0.357934088376172,0.487783758753905
"FRAT_As_2 (GE) - TPM",-0.536121180911887,0.835321330052445,1.26731258968421,-0.0327539983294061,-0.291176424030264,0.251394666430307,-0.265925847742547,0.111687862534603,-0.47343861848032,0.765794929101349,0.0925055667832692,0.417295874195781,0.794076863686629,-0.604657109718503,0.387388873435395,-0.069589119082853,-0.335598394041811,-0.441692031466968,-0.167013153821459,0.0639657610322054,0.0889922587770936,0.561226615590376,-0.28379358298903,-0.415791678287333,-0.382949673042525,0.412408930481225,0.443736956716209,-0.980497344276972,0.147952544615444,0.187587265942296,-0.0619459989464699,-0.711746728895889,-1.30427995259365,0.516230867184661,-0.510266038447625,0.469041918850349,0.287888256055919,0.245556776460797,0.193434425419337,-0.770842811534769,-0.0427924397018311,-0.294151591142152,-0.427514428410866,0.415422534796881,0.456965179573857,-0.853142007491973,-0.291194973245983,0.346904228997907,-0.0756040673322815,0.0324446438228955,0.223955697293878,-0.540360417045699,-0.736759031631299,0.0813426906419413,0.538434158817019,-0.270215391038505,-0.337146652852075,-0.647437430656335,-0.355414896002817,0.150860242398313,0.369029409185596,-0.979868393574414,-0.274497123577306,-0.402345390138412,1.0646677944592,0.294788189163824,0.369839525432595,0.713436875361153,-0.757942828942346,0.294665522314793,-0.414009030108089,-0.398187772701624,0.0231852798140439,0.142227868099811,-0.660151857644879,0.104400391947604,0.455756876367948,0.176831041099467,-0.343886905309646,0.878390931720135,1.11204876214221,-0.465540448991854,-0.563699895348334
"FRAT_As_3 (GE) - TPM",-0.452734371133062,0.236156751820674,1.38882695443818,-0.888707706703034,-0.291176424030264,1.59972366143944,1.0868966456122,-0.731957255065717,0.389755986889145,-1.07351835086671,0.336571533669264,1.17498560662259,0.868519473531128,-0.604657109718503,1.4165397113738,-0.936741618021301,-0.335598394041811,0.702742319162713,0.894453458106144,1.73146660999005,0.858316492885641,1.0627658926744,1.34461423725847,0.0412161946144839,0.426853394492394,0.376080914183859,-0.343438344240804,-0.0288423921645633,0.71451197058023,1.01497615789126,-0.172554155707252,0.247340568098643,0.480528559989456,0.670826719226812,0.413572912676716,-0.56489262177163,1.09114560049869,-0.114981822875146,-0.280032129072689,1.19640794128367,1.11468504164292,-0.679053321126082,0.766383143547099,0.775953902878652,1.08093202211719,-0.606360723879667,-0.291194973245983,0.460199505820628,-0.529757707746247,0.535061164440977,1.5452038004195,1.37660298671425,-0.0144516502445825,1.48301461624755,-0.322007922081696,3.17228933425364,0.0617480759081768,0.589045977017055,-0.671331218241591,-0.0901440644625867,-0.45979650207575,-0.847775506004372,0.716984933452218,0.880623599420315,0.229273447279893,-0.676370808719304,-0.608358257784755,0.561258134816586,-0.161476613296958,1.9031166458281,-0.489688901065354,-0.730680515247222,1.04902397822204,1.90579232135,2.65800920440668,-0.244958602219022,-0.211510382669938,-1.38480847919502,1.16825282819831,0.749203167028857,1.74698539621667,2.53036084350825,1.41421657397471
"FRAT_Bs_1 (GE) - TPM",0.872009906070176,0.806453929424175,0.024192511780334,-0.127182668288399,-0.291176424030264,-0.31278444549723,0.251106536527844,0.334865257831915,1.30051760194918,-0.883635991259887,0.778207984961688,-2.05976250776642,-1.87969836849328,-0.426401490974691,-1.28211143901827,0.354128651392279,-0.335598394041811,0.581507042606536,-0.37141456820105,0.0184803707915359,0.253096781531536,0.423494804701069,-0.813966148998524,-0.913381020524293,-0.846856795465206,1.66636574888554,-2.08365555029193,0.333684792728596,0.575142098419562,0.900394052952459,0.599092751807325,-1.11936366477858,-1.63000872129519,-0.568757173915657,-1.44038030582972,-0.56489262177163,1.10469680890224,-1.25353132587942,-1.31860034877476,-1.12422168739163,2.48421565799675,2.97221691922197,-1.34141213909027,1.10326971104154,0.152522577972526,0.155958435429219,-0.291194973245983,0.202337279646989,0.713350311111197,-0.864839713690672,-1.11959090598408,-1.10470455574591,-1.45026967195486,-0.785346733105552,-1.14223799503562,-1.35206746116279,2.2757577965769,2.278369162011,0.317816752690146,-1.07717559845847,1.04832063789254,1.32708871718005,-1.34838040045035,-0.310838134442776,-2.15159776848409,0.453684664711786,0.503035097610556,-0.577923761604807,1.38549206942704,-1.0534751485269,2.22506720376245,1.62033124705086,-0.805374489750304,-1.69901448228085,-0.660151857644879,-1.53176823204872,0.677549817360995,1.41310792796173,-1.10864540448393,-0.409528291405045,-1.04885494488242,1.71477960189078,2.18816506584651
"FRAT_Bs_2 (GE) - TPM",1.54269046023884,2.92515126651071,1.55382454523982,-1.10749826093499,-0.291176424030264,-0.304872882780747,-0.47055022302544,1.3305001307932,0.859715103003076,-0.415526873354515,0.155457726086927,-1.62781209356539,-1.35301600150046,-0.604657109718503,-0.858092068634036,0.242755232436121,-0.335598394041811,0.136580759438418,-1.19294604104776,-0.36132380116347,2.20074254804838,1.59643629860173,0.36343668843137,-1.48722880957443,-0.918461530916418,0.983805738188031,-1.52244325952567,0.979258910334452,-1.21521099936734,-0.371879065634377,0.880121375682928,-1.40485013659279,-1.53558413123949,-1.06897508995814,-1.93058119256317,4.25486307873052,0.448149511631956,-1.58217877175877,-0.925277991197829,-0.751624787121821,-0.898651021112136,0.517110287628451,-2.04450504210519,2.53581607860745,-0.0429621457017704,2.12335691848571,-0.291194973245983,0.144524713542723,1.81482325441781,-1.23700979513465,-1.11625237874997,0.0201745155604308,-1.18580578412885,-0.744109466851666,-0.95363160448442,-1.11798899743579,1.34967047643439,1.90186394428646,0.171835086802576,-0.146348859284949,1.88233993867327,0.232315143128111,-1.52847486849487,0.640262788517915,-1.43103539517734,0.069088210957967,-0.13655356339738,3.43525279611436,1.91184038071507,-0.529830614737287,1.00017046144635,0.580408719680744,-0.739877654791101,-1.87920601725551,-0.660151857644879,-0.745051799717306,2.04450926773344,3.19382698926539,-1.10864540448393,-0.779355205534968,1.63733134665933,0.627157153752778,1.0603955548179
"FRAT_Bs_3 (GE) - TPM",-1.70745253639844,1.01542394536965,1.01291710979326,4.0495948421197,-0.291176424030264,-1.81512089066378,-0.531114728628243,0.760012914234831,1.55619317967717,1.28624589811028,-0.0846268879159688,-1.68071662640597,-0.159314837644925,3.49795395795474,-0.680092383048476,1.44049545266424,-0.335598394041811,-0.42817243809246,-1.83962369755419,-0.249188895275404,-0.269676708860206,-0.204061847110308,1.54881593847438,-1.7864713759634,-1.15955929092611,-0.160076664017596,-2.06699078664205,1.72297520323849,-1.59941304427967,-1.68156137031846,2.39498539173901,-1.1003668262109,-1.66275064126787,-1.20775552731873,-1.80514580619069,-0.56489262177163,0.446104322897071,-1.52180438761418,-1.85220784544433,-0.981785098579308,-0.898651021112136,-0.679053321126082,-1.82695994242448,1.59820612822941,-1.49915815045403,-0.259680972564343,-0.291194973245983,1.24348927172082,-0.320881168683415,-0.704816059884983,-0.964091002232768,-1.79872460807754,-1.32346643217414,-1.46621014359517,-1.75515090470862,0.406007843188614,0.650692338275107,1.23424218883126,1.59192702308368,-0.0952999902528027,0.938405291763748,1.75715580590523,-1.14227849345016,1.39080728307084,-2.18150164958064,-0.45124233892202,-0.371343374715196,-0.577923761604807,0.926346023737985,-0.0671049658679299,0.656656688623886,0.572438925432441,-1.90281263027508,-0.00835976655517842,-0.660151857644879,2.61029233886771,-0.73809025589024,1.99412338211685,-1.10864540448393,-1.70611159918206,-1.04885494488242,-0.137783160167467,0.821178091764195
"FRAT_Ctrl_1 (GE) - TPM",0.433770723583679,-0.429986199399413,-0.339120689799321,-0.472762076778479,-0.291176424030264,-0.426845900909089,-0.981460704805221,-0.788591793234257,0.549562454224417,0.218672720050864,-0.0428073749817301,0.624552399167922,0.760928437937462,-0.604657109718503,1.15712242612144,-0.244295163282983,-0.335598394041811,-0.219554544949063,-0.232288091583586,-0.560540539799214,1.46434711292198,1.83664540238828,0.664249204745523,-0.160830522321036,-0.3090043949518,0.0931916795477215,0.947334515646055,-0.794937194417903,0.507690005707256,0.498446265707181,0.469750165576319,-0.142311608172115,0.621883480832902,1.45851217019636,0.566498663561318,-0.56489262177163,0.798275106972287,-0.393105197580395,-0.750829027368976,0.217043096254882,-0.16853652070295,-0.679053321126082,0.800457610952654,-0.228140817135096,-1.00040406704903,1.03794958048928,-0.291194973245983,-0.185259510457034,0.0866571004945829,0.238023395293744,-0.169892124518141,-0.300840855468454,-0.384449735489683,0.490051666462885,0.530968747550562,1.32572117408241,1.54598165316361,0.14108240108539,-1.18789418792875,0.1140462136598,-0.411049187431781,0.323629114705819,0.161487279498372,-0.609326815330022,0.536948965483876,-0.337139403152446,-0.613428333199097,-0.577923761604807,0.142046696349606,0.722785900123891,-0.00615217305517764,0.0349551527085721,0.561520843699159,0.610297810497113,-0.660151857644879,-0.334780514788797,-0.73809025589024,-0.36030601492685,-0.374696546953986,3.1274519570948,-1.04885494488242,-0.467000926080743,0.204592833052454
"FRAT_Ctrl_2 (GE) - TPM",-0.022854940188296,-0.113917379249968,0.451798388560199,-0.441663878631999,-0.291176424030264,-0.3367182980954,-0.826481721180723,0.122235874726658,0.396857582695712,1.49896944788874,-1.15284733090475,0.641852016329383,0.452671194878475,-0.604657109718503,0.684669296808118,0.267961954116447,-0.335598394041811,-0.474820338442319,0.307181940125425,2.52544259685283,-0.600540928004318,-0.791328074056029,-0.197569704794797,0.212198124807892,0.169295127557004,-0.841415504309167,-0.399965211810731,-0.663200615020304,0.736035839380161,0.584166321182155,-0.15670415323029,-1.0268385053638,0.682538221567565,1.68494410992249,1.327617032069,-0.56489262177163,-0.668002252068286,1.0842708288823,0.749923253076617,0.423722752049976,-0.898651021112136,-0.679053321126082,0.0963095046320494,-0.402466290118647,-0.0913036741570871,-0.783060187314384,-0.291194973245983,-0.408792114853862,0.656337191697547,0.474423552881493,-0.601402569499907,-0.384580786678782,-0.511602589261429,0.472256982020387,0.746262483243699,0.217849029593196,-0.805756269581483,-0.872575121770689,0.255081354691369,0.221038566286962,0.0968699694632201,-0.670297665826715,-0.0762052240095491,-0.714410951372294,1.51676672501551,0.211917730779543,0.120025948209187,-0.577923761604807,-1.44902174507251,0.417963515381388,-0.210769595043174,-0.203843695314306,0.17287353014772,-0.644074108264432,-0.0661522059344138,-0.676734867273149,-0.73809025589024,-0.956521856788822,2.99752990712169,0.0952071367608426,-1.04885494488242,-0.867631743727084,-0.502475439689387
"FRAT_Ctrl_3 (GE) - TPM",-0.707881920421016,-0.665663259247833,-0.0770594812293897,-0.847578120024527,-0.291176424030264,-0.214658558854545,0.298575630525097,0.0276649671536774,-0.667720097939466,1.02640408848565,0.0846430320283691,0.299247072084002,0.270210282480502,-0.604657109718503,0.261989659766096,-0.0845763311179533,-0.335598394041811,-1.08769479596882,0.0235554985409063,1.099685724176,-1.19264880380325,-1.18880620234858,-0.258513581105281,-0.117414757953955,-0.77634363183534,0.00338849243292369,0.851290552328925,-0.712621499327176,-0.351386305001672,0.360836076084476,-0.29985783422383,-0.748915350997658,-0.130818418094209,-1.51665843797662,0.464139848666667,-0.239826885203197,-0.344188970962848,1.24785958816461,0.932662560385247,0.424393355084987,-0.898651021112136,0.773089257782535,0.359491614455157,0.0112684623802642,-0.475806015219881,-1.05787337265886,-0.291194973245983,-0.839343019902669,-0.234252925102043,1.53521217061556,1.72176436114001,0.114999734571933,-0.797943974516609,0.611444422562499,0.502027997786883,0.177238440725191,-0.988760644777576,-0.603172769526377,0.0870813582031805,0.0788146324709596,-0.231103215722731,-0.737152799913737,0.331056761241279,-0.387089378698569,0.597000397559618,-0.123174594784938,0.27216587809982,2.67007370501762,-1.37820567836031,0.1953895599565,-0.0956406313532997,-0.198655920851506,-0.543203755324959,0.0453205009834792,2.12238645313028,-1.33363356562938,-0.73809025589024,-0.426171686592838,-0.507551295712722,-0.268506528388265,0.400491749684821,-0.690135340924831,-0.325179884844169
"FRAT_Li_1 (GE) - TPM",-0.205273515314332,-0.923305582563026,-1.34201958170574,-0.972558773307428,-0.291176424030264,0.844943348311963,1.65645448218565,-0.593194459540643,-1.35200013740926,-1.21994470871375,1.09226991239931,1.8176911892864,-0.456758529854034,-0.604657109718503,0.115576346425418,-2.05038835662664,-0.335598394041811,0.154400891954396,1.06747391781598,-1.09450840499085,1.00330837256841,0.47603931058373,-0.280560403077504,0.94888875864403,1.87223060495854,0.270659270771338,-0.0221300791640201,0.778266662323459,1.03058799671129,2.17111242140669,-1.95066068322477,2.19853097136253,0.0602897844233808,-0.803500850243995,0.709100825114817,1.12271049128109,-1.48712704885271,-0.551219517947708,-0.633055448802,-0.973586768335811,0.0326455937661448,-0.679053321126082,1.62711596061587,-0.489999433948544,0.318671408859352,-1.05787337265886,-0.291194973245983,-0.823103868951493,-1.39533066709572,0.594480358808448,0.618658458486258,1.06721094192974,1.78853427462053,0.791566039978291,0.392388417661193,-1.10215767037379,-1.05717943004007,-1.10973516629883,-2.31806842435075,-1.59104961651584,-0.377610039731892,0.223916179657137,0.438100233013895,-0.998819371090788,0.243273338140783,-0.877680497045164,-1.46745543186209,-0.577923761604807,-1.15621982122576,-1.05293716657568,0.894213510713257,-0.458513208592537,0.809844258698077,1.27826008609562,-0.660151857644879,-1.19806135090465,-0.73809025589024,-2.22933313112109,-1.10864540448393,-0.570371584015308,0.361968537469414,2.0609619646433,1.65511328295067
