"","SP5448_RS01485","SP5448_RS01605","SP5448_RS09210","SP5448_RS02045","SP5448_RS02970","SP5448_RS02975","SP5448_RS02995","SP5448_RS03620","SP5448_RS03970","SP5448_RS04145","SP5448_RS05095","SP5448_RS05795","SP5448_RS05800","SP5448_RS05805","SP5448_RS05810","SP5448_RS05815","SP5448_RS06095","SP5448_RS06100","SP5448_RS06105","SP5448_RS06110","SP5448_RS06115","SP5448_RS06175","SP5448_RS06585","SP5448_RS06770","SP5448_RS07065","SP5448_RS08490","SP5448_RS08665"
"SPYO_As_1 (GE) - TPM",0.800264804855171,-0.38428826526432,-0.33449685425799,-0.187206865572599,-0.0997548147610421,0.481998950546217,1.51351810478626,0.215641042225206,-0.261108721550983,-0.0830616525618381,-0.901415428985249,-0.00486166872943305,-0.0278858481051884,-0.107455926050307,-0.248130367682171,-0.282528582310724,-0.266177378906375,-0.248891494086374,-0.257665715681747,-0.276151813356588,-0.277123261322918,0.85787176051494,0.883235514617062,-0.708316445902219,0.465393741271474,0.3330445246275,0.310420858186001
"SPYO_As_2 (GE) - TPM",0.376355058129774,-0.378242723850541,-0.326794937843695,-0.110701844016136,0.130899330704364,0.459950216853246,0.67145436064382,0.61474361224052,-0.248056237741785,0.0497543342135876,-0.886413627358018,0.294251194682193,0.0522375092413362,-0.125484944610058,-0.282892863342775,-0.254863652237912,-0.274814937697466,-0.242292558470076,-0.270921184532474,-0.264009010168534,-0.286751770477344,0.136825512927293,0.171487373526109,-0.640711372301318,1.35879200348529,0.0137249105824401,0.132379457022831
"SPYO_As_3 (GE) - TPM",0.613723965716422,-0.356249744241073,-0.343666611803881,-0.187189859846612,0.238063951922849,0.231766738131898,0.815208272384043,0.665633425237367,-0.273253165607631,-0.00564636443542028,-0.836408055670266,0.0461357571550211,0.0449433040145807,-0.168453768757448,-0.30541011286782,-0.282450102944729,-0.274978605814661,-0.2601014522458,-0.255483486711221,-0.271936115498444,-0.301769570517021,-0.224808359517445,0.641310533859398,-0.659733867561629,1.14508700123473,-0.459800364761439,0.334967524617078
"SPYO_Bs_1 (GE) - TPM",0.444053205376023,-0.381754820613498,-0.327034089860448,-0.241389425536249,0.161888088504865,-0.0408797094349093,-0.129892721059392,0.257703250783847,-0.29389893239645,-0.351170267593283,-0.901339421700087,0.31651993312588,0.445939132730459,-0.0996014793328053,-0.180884233935449,-0.233632355043799,-0.299502633906117,-0.254310428198671,-0.246709262620606,-0.186330496008468,-0.218304032424602,-0.261102954588862,-0.507046461529795,-0.480377127457551,-0.685446088178846,-0.618784444061085,0.00567532435829963
"SPYO_Bs_2 (GE) - TPM",0.52117848740525,-0.383950996916624,-0.341770999387117,-0.184611707020571,-0.273943266970106,-0.154414050432249,-1.30896723449274,0.480842627875233,-0.299854213899405,0.182465521187598,-0.852942472581626,-0.0448322459387727,0.281978561147726,-0.217107888526196,-0.30407628486112,-0.321100951643581,-0.319470580772132,-0.311569615395914,-0.312941053374383,-0.239627620695655,-0.253006237865106,-0.945989986456612,-0.907856388045521,-0.697875367803059,-0.332056271125699,-0.323577475616496,-0.1792712472108
"SPYO_Bs_3 (GE) - TPM",0.597485200572042,-0.383633855116092,-0.312142113224368,-0.192917787718026,-0.00113899161194568,-0.0105407579202309,-0.268322975989134,0.414394463813096,-0.295407508448644,-0.270035644086252,-0.843189334150265,0.0806617338590068,0.334004309050923,-0.116208391047061,-0.207703261698146,-0.228522005047776,-0.294126905504584,-0.272266318291975,-0.234403868755394,-0.201467572867855,-0.216909184627855,-0.234179163072132,-0.696046450516661,-0.469459520797484,-0.765335095203976,-0.572423934744527,-0.0413379264752904
"SPYO_Ctrl_1 (GE) - TPM",0.027506562338799,-0.385667864111065,-0.343666611803881,-0.592165426820097,-0.238561689581774,-0.44856501648134,-1.33458188684167,0.0437057436622865,-0.294710787516526,-0.493250223850886,-0.101431984719981,0.252039959901917,0.598141549047417,-0.29991214648228,-0.331211065946582,-0.320880114550927,-0.325850923822242,-0.313389524910658,-0.294598604120789,-0.300635780473013,-0.282258312274196,-0.91970089853109,-1.28634533063491,-0.191338643010817,-0.584555820748967,0.0886614612642826,-0.372943559290458
"SPYO_Ctrl_2 (GE) - TPM",0.41229643604236,-0.384664553049482,-0.312703637784624,-0.63725059225033,-0.545006588554263,-0.572596705600969,0.461480836067705,-0.0877949283636148,-0.292482577195657,-0.378727721862349,0.0279574304244937,0.196305775844235,0.246499079575132,-0.368666726286262,-0.313203995784308,-0.318769272569501,-0.311258677598306,-0.302615947429739,-0.296852165913213,-0.303012306747488,-0.313372503991207,-0.347642011336407,-1.07349186147158,-0.177173877216326,-0.639756942661141,0.589556130585886,-0.568663089966599
"SPYO_Ctrl_3 (GE) - TPM",0.329709817481857,-0.384954557250866,-0.319646872940715,-0.569736867971543,-0.459308647744282,-0.244167248645152,-0.461402297684388,-0.174758841329913,-0.287215438037296,-0.580261305260857,0.0545405859479808,0.109367429414516,0.376035200153926,-0.318095080523137,-0.313689941906294,-0.323412786611475,-0.319890300876435,-0.327401540976031,-0.318892803822893,-0.31135690867872,-0.302128267307753,-0.844621939237779,-0.864614196033625,-0.195538551783514,-0.676748427237371,0.066039811435202,-0.87152791941728
"SPYO_Li_1 (GE) - TPM",0.101010034727901,-0.259916159345443,-0.169706749917078,-0.140459377929921,-0.590961750069923,-0.535953310558845,-0.119096477399664,-0.308045261296155,-0.282417541985222,-0.626880007526208,1.18060820470585,-0.031044285656595,0.0166124467626665,-0.348235812519168,-0.331444939910797,-0.281129622744309,-0.318695146823557,-0.275499894528949,-0.256319677860667,-0.267409521762027,-0.307924157848742,1.03789114586265,1.3527064937163,0.649808482390183,-0.675365334768866,1.28172338468075,-0.990502806044774
