"","SP5448_RS01485","SP5448_RS01605","SP5448_RS09210","SP5448_RS02045","SP5448_RS02970","SP5448_RS02975","SP5448_RS02995","SP5448_RS03620","SP5448_RS03970","SP5448_RS04145","SP5448_RS05095","SP5448_RS05795","SP5448_RS05800","SP5448_RS05805","SP5448_RS05810","SP5448_RS05815","SP5448_RS06095","SP5448_RS06100","SP5448_RS06105","SP5448_RS06110","SP5448_RS06115","SP5448_RS06175","SP5448_RS06585","SP5448_RS06770","SP5448_RS07065","SP5448_RS08490","SP5448_RS08665"
"SPYO_Li_2 (GE) - TPM",-0.17160223158837,-0.274551364180961,-0.197088520126524,-0.133388458339257,-0.387319041756633,-0.40363666851444,0.0607392669899104,-0.271075209193143,-0.292682935336471,-0.570551660545631,0.611541510332625,-0.216181434477268,-0.00518836448889293,-0.444236693238361,-0.382661159270169,-0.326359877303366,-0.320840299137344,-0.316413566062553,-0.304463984540688,-0.280393350100242,-0.313911523947306,-0.805119924410976,1.02808072839323,0.553667064286912,-0.606901047378172,0.454114460285301,-0.406419898511607
"SPYO_Li_3 (GE) - TPM",-0.0372738629472157,-0.250218517429635,-0.231144014125737,-0.289302275089821,-0.377487430819474,-0.218366987004759,-0.355704496805386,-0.353338948219992,-0.286723122187089,-0.719582044398427,0.53898889275788,-0.299917252141373,0.123518042826173,-0.404745988185034,-0.364564976417627,-0.375856152664138,-0.307083617766792,-0.301243824539277,-0.279879358466708,-0.31240251878832,-0.314967675310751,0.194011924436459,1.7114535730492,0.343497201083632,-0.48467827414242,0.349078206156162,-0.770821324979467
"SPYO_Mig_1 (GE) - TPM",-1.37640503386073,-0.0254823206550217,-0.208576671936933,-0.396845734558055,-1.22296481316058,-0.600200028122744,-0.953603999240166,-0.735798583971975,-0.237482111823329,0.500953809515974,-1.04388952988472,-1.12377220164762,-1.1400360484661,-0.481426428744116,-0.345223743051581,-0.315773189083222,-0.3216543277999,-0.335892689025612,-0.36159624375259,-0.386066907375758,-0.33803469058132,-0.402843087795369,0.569682899082881,-0.853511991061619,-0.595322611103119,-0.521940694566342,-0.987337019015006
"SPYO_Mig_2 (GE) - TPM",-1.43668392340451,0.0125812585511146,-0.230060895507519,-0.156678036068836,-1.20196657402609,-0.863119807658041,-1.25403887156347,-0.764910715673821,-0.249481830174674,0.44696391017834,-1.10920874017613,-1.12998951969285,-1.17704344998803,-0.516960841786089,-0.345910068409823,-0.351607622187798,-0.320178158698316,-0.337501897093023,-0.352736976554023,-0.36778295290391,-0.357021608025297,0.358032377970262,-0.357792876768589,-0.898457939661182,-0.783832780461066,0.344046925618735,-0.63897651543066
"SPYO_Mig_3 (GE) - TPM",-1.50364210640053,0.0189428895475628,-0.189646913057239,-0.307498815300826,-0.813720115766112,-0.657959645365031,-2.12986328352278,-0.808693725362134,-0.228747135688043,0.109879687786936,-1.10083020147641,-1.10341990259464,-1.27327487097382,-0.496788500614404,-0.397047422772816,-0.400570592368149,-0.349163316734313,-0.343579461973105,-0.375743840152571,-0.377639720035931,-0.401095280234539,0.517458072095992,-0.259346627362799,-0.978801365724146,-0.685060464471034,-1.49470443772268,-0.546367635619281
"SPYO_Nd_1 (GE) - TPM",-0.0404296961796987,-0.374942022129652,-0.343666611803881,-0.573736764628976,0.0782074675721504,-0.0830242085671141,-0.262120565475715,-0.495116054567677,-0.2223585119526,-0.113278620600861,0.211208275888755,-0.0467888801078039,-0.320757355445045,-0.119446125051384,-0.1169830978966,-0.118257450315889,-0.249691744400259,-0.251386951013905,-0.258213874780784,-0.253519660989818,-0.30026934769661,0.423959832586997,0.384257347960129,-0.178619503917893,1.18782699912526,-0.462975649792279,0.6664152803557
"SPYO_Nd_2 (GE) - TPM",-0.0947544048606289,-0.377249322309941,-0.343666611803881,-0.456193014559531,-0.0789821982182348,-0.143450749280654,-0.452408534731678,-0.507406407310291,-0.221297213386877,-0.232620902623373,0.0634643355435254,-0.0707777011501571,-0.345841521628243,0.0303958805242617,-0.0927209140988792,-0.0649632795686377,-0.229552621771094,-0.272328994009934,-0.229693847987658,-0.249975116550382,-0.294625510409095,0.668922108837326,-0.288338197810018,-0.276513321783388,0.972361710426435,-0.00878923292176813,0.277370915351012
"SPYO_Nd_3 (GE) - TPM",-0.00926096206784539,-0.224049576451014,-0.304265263069538,-0.614986052127721,0.25698621073157,0.208378180497105,0.560486417644145,-0.443173843830108,-0.0909036456583917,-0.463847406360485,0.170675854634357,-0.0879841728826325,-0.242902397656918,0.0712413051337299,-0.0128579493554313,0.00930311982529733,-0.157546073760316,-0.149809609426834,-0.17484507108291,-0.128334974494015,-0.196535979907652,1.17515213477207,-0.103734271922012,-0.0718116087511202,1.13565714553445,0.101735325311035,0.0667335797162951
"SPYO_Ns_1 (GE) - TPM",-0.0910481564711145,-0.384790585637067,-0.343666611803881,-0.393840101372231,-0.33379988888445,-0.593600486253736,0.129567556242737,-0.137433769259841,-0.29308153949478,-0.83581775872104,0.512660214371289,0.0523653071188963,0.201878170705779,-0.379433714794167,-0.336644624522277,-0.339770418142397,-0.31486639444369,-0.311601722166884,-0.287089280721088,-0.309305585821288,-0.352361780414037,2.5105427885464,-0.0915552312681091,0.58684302702714,-1.17729712780871,0.150836427093287,-0.94919912486073
"SPYO_Ns_2 (GE) - TPM",-0.149731105891762,-0.384380305551696,-0.343666611803881,-0.55156018929292,-0.255438835899484,-0.499116404336184,-1.54304100248158,0.0222064955391513,-0.300072188791114,-0.546622995498838,0.454002392932678,-0.203899298102493,0.11414496096268,-0.41785065824978,-0.367304443046426,-0.383886633876083,-0.332050548762956,-0.339489890257389,-0.32635492101352,-0.338179480127538,-0.342857033706879,0.496650730906485,-0.627224092195291,0.324355644760726,-0.826712706694931,-0.222504664849653,-1.066098246105
"SPYO_Ns_3 (GE) - TPM",-0.117438425073217,-0.381120352468122,-0.299797841524046,-0.406897907788865,-0.211844291309712,-0.33353392570127,0.0837484242479667,0.0172787544137717,-0.297036307838474,-0.771230904683207,0.168945555935637,-0.157439086468554,0.0111488219004407,-0.413294331737463,-0.371478752575539,-0.427820387860263,-0.342066295531863,-0.340771801038049,-0.335005624387734,-0.328933179344996,-0.346804213909898,0.821947767877078,-0.445648325213849,0.167026722539112,-0.654961500751955,0.213863353139224,-1.12761850321778
"SPYO_Oss_1 (GE) - TPM",-0.831633433740791,-0.38123999164413,-0.336222229599055,0.013450121831909,0.378337832581437,0.530695427967994,0.947459392884866,-0.354304798658206,-0.284072756312456,-0.52937089816062,0.230760339168572,-0.556161306296749,-0.656425705149508,-0.212780438827319,-0.312042919758938,-0.326121618350113,-0.110389672857168,-0.0971265654482221,-0.127973430279479,-0.170683311979396,-0.207856334071662,0.483813985884138,-0.361312667048352,0.503467718657006,-0.31339562117443,-1.62503398962581,-1.32929196590418
"SPYO_Oss_2 (GE) - TPM",-0.822954874508164,-0.380907297628364,-0.340519159979649,-0.212581346350891,0.0213479322253608,0.472900461990245,0.443905801606999,-0.425008883104847,-0.293717064276833,-0.234465572408863,0.276211479496831,-0.64354747213512,-0.631337407731684,-0.319716025543861,-0.329794494904008,-0.341145414835345,-0.0982465677200476,-0.160692613016085,-0.16440217534724,-0.178374153057236,-0.216623949167433,0.255129066330942,-0.0156447704697751,0.297521223079889,-0.429282510447997,-1.83898472953066,-1.36070095388331
"SPYO_Oss_3 (GE) - TPM",-0.834114247003071,-0.382748282446284,-0.343666611803881,-0.282572323510004,0.0908158248463226,0.129296809013575,-0.407270959719756,-0.43673013807978,-0.295266745623963,-0.457519636525857,-0.0154396323880623,-0.686111397098834,-0.787197218801731,-0.31758591203272,-0.335150177603615,-0.341761997228872,-0.1125113284856,-0.147799905172309,-0.152257289513306,-0.194275068112473,-0.175871059050553,0.397378337821502,0.373883273203942,0.337032966562333,-0.776646344209041,-1.85733202150109,-1.49732074533749
"SPYO_Oxs_1 (GE) - TPM",-0.496982175860879,-0.3766844847472,-0.330535168902731,-0.185215791343306,-0.119849842220901,-0.799156979538982,0.99668327590745,-0.240203507441462,-0.283084744918277,-1.30946857363523,-0.812188959523458,0.125969114465733,-0.178785914660251,-0.214044999082515,-0.244944659427419,-0.27937440798113,-0.295612297650983,-0.295184993010927,-0.302826495661798,-0.238573123887945,-0.216562399797516,1.04063830861045,-1.79080016648998,-0.679423685391738,-1.08244768337908,-0.613997119134175,0.347245466177887
"SPYO_Oxs_2 (GE) - TPM",-0.29549784945869,-0.375790286048791,-0.32245659877847,-0.220870183645174,0.305541628425559,-0.955815983207508,-0.293345525087863,-0.254709750119095,-0.269610651449689,-1.18652058374549,-0.787093221545194,0.173587705696122,-0.168815300516136,-0.249425821808682,-0.2688021666278,-0.226910938239879,-0.301349690169656,-0.298063211779875,-0.235152900415819,-0.225533794770424,-0.208316794704679,1.72414854286524,-1.46720646063328,-0.639504643491568,-1.00318647121831,0.203695139453684,0.176529190438864
"SPYO_Oxs_3 (GE) - TPM",-0.0543249757681805,-0.363752858893754,-0.343666611803881,-0.0556444167185424,0.332592185481119,-0.766382568608159,-0.506009480937091,-0.240148175582928,-0.286393360495811,-1.07110489622717,-0.871463887234059,0.0111480412685952,-0.0887118750980381,-0.311335279704503,-0.272982733199287,-0.244287359952708,-0.281988851911073,-0.299335466448746,-0.281637444615018,-0.253826143808142,-0.204828628021105,0.559322631936989,-1.3883536283319,-0.546895145572902,-0.891215383633738,-0.80995353017131,0.547627349200172
"SPYO_Sp_1 (GE) - TPM",-1.18029640130603,0.0526067730487868,-0.105394214044416,0.825448904232081,-1.13038437652261,-0.921939298901638,0.926089140063008,-0.735546946299148,-0.237381893811921,1.01333950068927,-0.77105829644655,-1.11994201831662,-1.10631312780853,-0.487051982810912,-0.30211437611681,-0.29550257547384,-0.322928070492647,-0.295224214945358,-0.340216592531909,-0.369129183619556,-0.31584771717276,-0.112632673742351,0.0361645079209462,-0.713606452294889,-0.750554323338226,0.682597070719259,1.37934112094332
"SPYO_Sp_2 (GE) - TPM",-1.22601804370834,0.0213475305309265,-0.216457559053824,0.1509150170947,-1.10458521051343,-0.961772170820755,-0.546035504111972,-0.757563213643439,-0.233616756907904,0.587168763311593,-0.980417880963175,-1.04815896088493,-1.03499915448011,-0.440230145149121,-0.341740684371247,-0.335875390326474,-0.2891276257701,-0.311228734905132,-0.34266909328058,-0.363227479446972,-0.327515734718722,0.0185556723776323,0.390844068181806,-0.895284905351539,-0.086739559959292,0.735546298919892,0.545616133180732
"SPYO_Sp_3 (GE) - TPM",-1.25952407290557,0.0563732241491527,-0.18474043335774,0.366788416893227,-1.09272435341228,-0.669137812602949,0.396815229398821,-0.723614654584809,-0.22382686872499,0.775486573789525,-0.825644697558755,-1.0976209742309,-1.06003884045815,-0.4524292127991,-0.317050932250106,-0.344652336596505,-0.295595051582248,-0.315642552637385,-0.336778893468935,-0.347971640286902,-0.30049338564793,0.160920264446702,0.552533025297971,-0.871621270786158,0.856587815681696,1.56891829335146,0.762286751339302
"SPYO_Tm_1 (GE) - TPM",0.140971623187496,-0.38154395979616,-0.314624271360711,-0.734148778531173,0.190980959579103,0.335453813882056,-0.62370603892378,-0.496849058142083,-0.209629193899613,-0.157250689729252,0.68832132106426,0.117833236204267,0.0732198221656807,0.0470635968736407,-0.0374931889320585,-0.00161342276748591,-0.219401310014806,-0.189250746629825,-0.197293704602776,-0.214499616100741,-0.262716949711417,-0.967231904756192,-0.0960065032857703,0.0755433342800878,1.09092691527258,-0.220113341705268,0.864206834609062
"SPYO_Tm_2 (GE) - TPM",0.295633712298327,-0.3821175808237,-0.333256853180508,-0.775634306725656,-0.268230263982431,0.129275275565826,-0.48732992140964,-0.464025287516914,-0.237930948445969,0.0658578729004127,0.284101053396501,-0.0592447855631794,-0.119589952127498,-0.0474249633502205,-0.0717024305161168,-0.103828950990687,-0.23066498210073,-0.237633149421124,-0.252750232818785,-0.246798743835759,-0.265401875514862,-1.0027444438619,-0.721006595278083,-0.137219459769774,0.561468908676389,-0.364086530259387,0.451238526239461
"SPYO_Tm_3 (GE) - TPM",0.110301027806823,-0.380148216094713,-0.322123875795814,-0.754631471497969,0.128362049122976,0.120912977618483,-0.13181060403225,-0.501453205063223,-0.200849627797003,0.00787675659585944,0.641365784674554,0.142081829269177,-0.0259226455554864,0.0687963828311209,0.015175816767768,-0.108777854418249,-0.213643780923448,-0.202634423619049,-0.188455416987126,-0.222187809998828,-0.252061266678553,-0.608390903165087,-0.443388148076095,0.0402467608231547,1.64863976554736,-0.19504893555522,0.524324268271053
"SPYO_Vic_1 (GE) - TPM",3.03997407070702,3.60348170982664,3.84576880165866,2.79591859557846,3.28204576139958,3.59412570414183,3.13955910686732,3.70075760895336,4.02845018622575,3.44750902145252,2.59860468516005,3.72558529035731,3.14073803306895,3.69230441096328,3.78102080548745,3.98189000472326,3.98505050828407,3.92073762165783,4.25515761027138,4.32541590739439,3.97053777343637,-1.94750798181678,1.94159132250466,3.42168088007026,2.14052924484351,3.0857805218449,3.02109998142132
"SPYO_Vic_2 (GE) - TPM",2.90779051447774,3.46785872840751,3.31698068278607,3.81062660790633,3.36919480339633,3.30946041243198,1.41940963799966,3.71178746245902,4.01996371474075,2.74511515601832,2.38406847935366,3.39276445898476,3.77619842318977,4.17347482101687,4.15482607631433,3.92132502533888,3.90110402834204,3.99845980958462,3.63376911468607,3.52622053959805,3.76368909362155,-1.89269973665743,2.85670214750248,3.42228981746731,2.54609723882434,2.18016861911222,2.48222783444846
"SPYO_Vic_3 (GE) - TPM",1.31136146188232,2.53184875063351,2.49779014860281,2.58270805859514,1.84270895929217,1.4731155549172,1.0024275577754,0.573009419411737,0.555238378409373,2.0559154234015,2.54234897657251,0.695077796768901,0.553829632595726,0.81215383030157,0.834840284490486,0.989489166348524,1.13476418358112,1.03897832693234,1.06389779139899,1.12791421470092,1.53790116999939,-2.32195699866113,0.898826441569868,1.23881522436408,0.39812990017289,-0.233079767662027,0.808692085392854
