"","PA0071","PA0355","PA0450","PA0567","PA0687","PA0937","PA1111","PA1146","PA1242","PA1243","PA1270","PA1323","PA1408","PA1443","PA1542","PA1562","PA1605","PA1754","PA1785","PA2038","PA2138","PA2145","PA2151","PA2176","PA2293","PA2320","PA2453","PA2659","PA2747","PA2751","PA2754a","PA2884","PA3046","PA3114","PA3350","PA3371","PA3372","PA3446","PA3460","PA3461","PA3591","PA3689","PA3691","PA3719","PA3795","PA4122","PA4172","PA4344","PA4345","PA4655","PA4660","PA4738","PA4739","PA4904","PA5303","PA5482","PA5567"
"PSEUDO_Li_2 (GE) - TPM",1.05103674721818,-0.0527535530091836,0.950740220198833,-0.23789871415478,-0.0922007956468429,0.0380212191383507,-0.202232420139753,0.133844119519009,-0.31841837298466,-0.563379648255208,-0.109966087466859,-0.269862122407429,-0.120026986572488,0.915615091696548,1.50685800672273,0.00897042164743664,0.176482703839156,-0.707697609874861,2.13587610153546,-0.0920580210138926,-0.61215869236476,0.161676478615482,-0.656988321846461,-0.255839534929304,0.61052016040868,-1.33672419594739,0.370673127996088,-0.188225636834445,-0.504792717077878,-0.661477303852742,-0.389910160836652,1.2795332592391,-0.181522464905091,0.680605270223227,0.573959254583002,-0.385301021653753,-0.446224904278815,-0.613013272348019,-0.199596050425861,-0.323001947709029,0.74147355443687,1.44469975695396,-0.513023117561219,0.0484011366211839,-0.360140373573427,-0.114741822157147,0.278844338645824,0.0475858666867595,0.291861767287047,0.441471078603828,0.97705385874653,-0.456636688931818,-0.438285015993645,0.441029505493717,-0.803562111070098,-0.446822646797428,0.485488444531764
"PSEUDO_Li_3 (GE) - TPM",1.31184021710246,-0.284815615246232,0.807204867983118,-0.206463552115374,-0.254164832513052,0.507886733283483,0.239381994623654,0.848563098603108,-0.257897426048102,-0.586836068706324,0.191830600776489,-0.334048651027838,-0.39428386072056,0.0288737051572177,2.1269321189048,-0.318153989897207,0.410874127745971,0.0160714362484516,-0.244640553438183,1.18394927889601,-0.767564074794652,0.351738153801713,-0.601186283550697,-0.338525857965162,-0.295277791334605,-1.25643121206797,0.347454772803464,-0.0497595524745264,-0.502173349734536,-0.0616399102501481,0.673389709550856,0.340810794734599,0.0609670484252416,0.349605295207918,0.453458820715537,-0.431308496292171,-0.435332136201943,-0.613733518628383,-0.454788957419958,-0.335813216174449,0.625382553525882,2.125069753091,-0.481964181437608,0.328420992925001,-0.386099044817907,-0.274674487179369,0.502568495751111,0.22140612755141,0.0679153780598232,-0.426366809573003,0.0973236067385297,-0.460028741427908,-0.433986546544472,0.0897626478779836,-0.431459725554932,-0.46327748914282,0.729806930870998
"PSEUDO_Mig_1 (GE) - TPM",0.731917440271914,-0.359333292857108,-0.731083698737516,-0.490674158242004,1.19701139848011,0.924458001631805,0.644601491468539,1.37348489425031,-0.299869724107036,-0.37276416721718,0.152500032379922,-0.256097406445093,1.26277369782489,-0.2021911710254,0.526017444884491,-0.16946100550331,0.287290663547228,0.345425634632708,-0.880449868945896,-0.777081967558202,1.48222576732165,-0.215476380768072,-0.138943491517688,0.0054058600910592,-0.811667311328212,-0.146942749616221,-0.0317789536180971,-1.07768255839487,-0.586618087846814,0.893373391950089,-0.51280434471927,0.498147674794122,-0.0764633076622488,-0.733207096190128,0.625457611233015,-0.471434003103613,-0.488014450676588,-0.744069878301262,-0.638738475185883,-0.609867082883838,0.45564700542921,-0.969323884298689,-0.0439874437193937,-0.500032270722141,0.753438943288519,-0.159994073250264,-0.00198429418778794,-0.263184712242497,-0.345075012791677,1.26315633106573,0.22479629022915,-0.453318594297898,-0.448364403458034,-0.553900331071798,0.655628140471274,-0.461444454238609,1.41795408976428
"PSEUDO_Mig_2 (GE) - TPM",-0.169141020679594,-0.40616627537148,-0.809497604774391,-0.620255991942941,0.575660311163385,0.37845816677624,0.426148559113555,0.240987687882501,-0.22881961815288,-0.258048232111866,-0.184256215124494,-0.242028957699529,1.11682534847706,-0.406530017359832,-0.415494338441144,-0.227238378991125,0.369904057841371,-0.567297899162711,-1.33350111129988,-0.771800968669011,0.976899675416726,-0.223731179642148,-0.206411753962726,-0.145694749130087,-0.617876027880736,-0.210125056980133,-0.0118590404324865,-0.850216271452404,-0.549236052862334,0.878724129251161,-0.279275712785232,-0.355300629938244,0.682077063591229,-0.054677649503143,0.71184917562437,-0.487631329565557,-0.455228459935205,-0.729398839650032,-0.709156705336758,-0.566337211281507,-0.0604488188538418,-1.00283598246885,-0.184160473678331,-0.0207442653413064,0.906054892098282,0.0991555175658427,0.130599764439991,-0.232425628529297,-0.0945451569702991,1.38765160843718,-0.182773991001527,-0.450520833424893,-0.45601815087367,-0.49823718121738,0.942825155197937,-0.46744601835149,0.905124003557871
"PSEUDO_Mig_3 (GE) - TPM",-0.244938940347714,-0.469966518262271,-1.04883700644551,-0.340402481197371,1.23404744838298,0.207001427927346,0.29402117326497,0.0925606221154203,-0.058021269039839,-0.402324396298499,0.678219524121571,-0.376886417534406,0.906115574204936,-0.265544136845351,-0.377285750557556,-0.315550867023057,0.45620240759363,-0.201088156732641,-1.30638871432496,-0.529806625410397,1.1684167866435,-0.195950545776465,-0.297054848523473,-0.176409398101261,-0.656385017455641,-0.41573821610983,0.0945449683136945,-0.982663299349848,-0.552756264906119,0.983678257385424,-0.620344074013107,-0.518996369212365,1.01671475109116,-0.318283171961333,0.18290087229652,-0.469664982080148,-0.416211609826821,-0.730689467414617,-0.702574257058062,-0.558613868137391,1.31372944483778,-0.911671648341301,-0.259207991311097,-0.101485534993805,0.870809807719463,-0.539258233275303,-0.0564562899312931,-0.709792579449617,-0.377306901597628,0.585338988429459,-0.148914962586101,-0.458811322930404,-0.465747675866907,-0.698135261540057,1.47770060260617,-0.459382347862901,0.646443189500766
"PSEUDO_Nd_1 (GE) - TPM",-0.177725705117332,2.02281576934794,3.03452838705517,2.53497234224901,-0.442571317830365,-1.80131709671406,2.14568509985605,-0.46144919688802,2.28069597272302,1.39496767155573,-1.18311758592061,1.5105952212336,0.755065904404798,-0.989652040787144,2.9617982385052,2.30536704889187,2.12544808516523,1.69607640862452,1.80752447289479,1.43761480249072,1.05945775099927,1.26685512317288,2.0099087401292,2.62011814623825,0.981177957051874,-1.82826651398871,-2.00150156324699,-0.433448551584569,1.90085022305632,0.550936475087339,0.75530874819046,2.10375962538032,-1.05907120995052,-0.817809289646432,-1.40222636368712,1.49124243007964,1.25202537165878,0.171247936661755,2.61218080577444,3.10529055832403,-0.0441928043028505,1.14682244846994,2.2312271089813,-0.35607874337181,2.00044013740463,0.306158906044592,0.850098578723451,1.88187534246981,0.962643481400271,1.41690453805817,3.13702331645958,2.41773820902923,2.46012538216512,1.01976353794054,-1.33005930028666,1.96503985457284,-1.62972408597126
"PSEUDO_Nd_2 (GE) - TPM",-0.947734683421651,2.19421219209831,1.88848029690487,2.52550561057491,-2.73688371595169,-1.75892204734646,1.91416643759258,-1.81862750218328,2.43798885092083,2.49933970809873,-1.50941939841985,2.18032434439097,1.09024433646083,0.139780628853262,0.789474055609942,2.34574161322386,0.458411056059402,2.38091634018757,-0.238674852457924,1.55040508688162,1.17983310668388,2.28037288519618,2.24981543533055,2.71405130376658,3.06030586585887,-1.81688875155051,-1.74852709145211,0.647425401517849,1.95511773449724,1.15675405392902,0.9277276835145,2.11173358322478,-0.930602763786536,-1.98698590389339,-1.36978602050932,2.02365517012141,1.70641871031688,1.75905750422198,2.23895942028397,2.93197386400119,-2.19432842317898,0.768950872150264,1.9867367605826,0.191474426565892,2.13842866014871,2.93647049707988,-0.961372917314304,2.07502282476682,0.848009716061517,1.27252574064365,2.06543414091709,2.2749708440311,2.04147100590521,1.78517549611997,-0.753838472021185,1.86186329877628,-0.91170447792854
"PSEUDO_Nd_3 (GE) - TPM",-0.408816459091252,2.25005388829511,1.14942395366643,1.30290658511501,-1.56289218952407,-1.62448940773638,2.08592858009318,-1.43228599485808,2.7454584150653,2.66469937673367,-1.70075527478375,2.2015588591677,1.97556552678375,-0.522206705588502,2.11905535913999,2.07958091305705,1.1761905621313,3.07933322364939,1.77236371660753,2.57488885539918,1.09310717243513,1.96175266185832,1.01559763346473,2.13641792945913,1.75908699915761,-1.52527591714384,-1.83957590005638,-0.147205380730413,1.72946925268952,0.860709660320736,3.04463301642343,1.09412173433068,-0.493613377725062,-0.839764123602548,-2.04894677267384,1.52982686633881,1.40750367781723,2.24722853700177,1.90008433414784,1.08271299267661,-1.23911950416588,1.33050238521102,2.09647271448184,0.0539113257450434,2.37401660982347,0.382619573324452,2.35722899436065,2.57872948712416,2.09465069869432,1.27362264099187,2.4892365947099,2.13718892926348,1.9046362259921,1.88170119223762,-0.350383203009421,2.05805348023834,-0.455979408823685
"PSEUDO_Ns_1 (GE) - TPM",0.40356923175191,-0.446063024849871,-0.314596857915357,-0.673131852387523,-0.272441833977584,2.25021559821972,-0.572147400566764,-0.754441982446158,-0.851663871080775,-0.907785816578385,-0.198518408110828,-0.486871682127968,-0.861225367749863,1.51484093247908,-0.12686810538154,0.329029606816181,0.156743817378892,-0.221196400471122,-0.438661235920086,-0.557300433410432,-0.433362465960352,0.880179886933338,-0.543520582882925,-0.152179372725281,-0.579959236499434,1.11915680759033,0.498151492076686,-0.201585736611007,-0.567496762299758,-1.03485794281643,-0.0722532976756683,-1.58711626723152,-0.311620268418941,-0.572395203124739,0.873549061842294,-0.475930561282548,-0.531160182200051,-0.161666769634304,-0.360921149662316,-0.225440036466017,-0.0662576496756564,-0.174124551221851,-0.55135881574324,-0.142510369960962,-0.347997670454772,0.580203612951892,-0.605650152383613,0.147744090756228,-1.10032335682087,-1.21061498796765,-0.819895199921387,-0.472445544135787,-0.456528828606847,-0.154081738536252,-0.700316974132222,-0.459785108549686,-0.0248342464804616
"PSEUDO_Ns_2 (GE) - TPM",0.626366414274899,-0.375851422195492,-0.506321196158069,-0.5632373346419,0.832867736502954,1.23825790092636,-0.805224513077094,0.373754934859979,-0.700100878889216,-0.876831281519898,-0.277241160643561,-0.620030839204586,-0.87960620215974,1.17602465893878,-0.0328970155854537,0.430741035372443,-0.181639427596003,-0.320267692547712,1.43491731962979,-1.34904374975322,-0.220355620684645,0.432746643969895,-0.553447812834124,-0.131264551187538,-0.648784831607826,1.28652817173329,0.524330234989679,-0.482220755076921,-0.57887967626022,-1.05155211145913,0.265710243176296,-0.713325089369378,-0.705579720333198,0.297541066240467,0.946948736683798,-0.496854591488266,-0.509427863371995,0.248877036232885,-0.236524648709781,-0.0535686482165043,-0.16334668634104,-0.198518560807673,-0.565145219470476,0.00234217963573654,-0.690873761767234,0.729041409521643,-0.710753573176435,0.020884876314984,-1.42369985522818,-1.18165933404615,-0.735014491702951,-0.462222192280117,-0.457989961730094,0.0941359045602816,-0.500919425011343,-0.471907186901046,0.187095647516704
"PSEUDO_Ns_3 (GE) - TPM",0.866460209862042,-0.365021267765715,-0.232234178887707,-0.573635576810958,2.00313087972844,2.50029723279083,-0.886531308864472,-0.651561085009981,-0.596893609670064,-1.02403525154034,0.403271884037073,-0.583572113179257,-0.804930218698388,0.862267671303613,0.120765673679889,0.440017006430296,0.0241641490900173,-0.0679578290897032,-0.423218649409013,-0.914167463660402,-0.616055525331766,0.0787089067926677,-0.445518221386102,-0.147691628984257,-0.594243915257298,1.5607966776994,0.362904800606797,-0.240193686221796,-0.581268860296272,-0.939246512174934,-0.500299207548977,-0.468343473433102,-0.408316711122213,0.264694888485067,1.2120391567058,-0.460868310191597,-0.538313015914193,-0.0168048271622155,-0.363949147270182,-0.233165581268258,-0.814231210522861,-0.290031532859844,-0.532703535878718,-0.385233338275107,-0.707054239555678,-0.171855240764567,-0.628408270707561,-0.213348128685575,-1.26388328582722,-1.13305573326799,-1.04834929295566,-0.466554927003617,-0.452426366920269,0.0374344810066523,-0.504363133090031,-0.477015353644599,0.00558293768331477
"PSEUDO_Oss_1 (GE) - TPM",-1.82811016539065,2.29543060654482,0.93125351080639,2.23801941155127,-0.955225052186755,-1.70761776189676,1.16343602407139,-2.10847530931218,1.25659891845773,1.80509680426294,-1.44906723713567,1.9743176112745,0.815638306781621,-1.57319995453183,0.757057884733585,1.36102207655631,1.64887828728801,1.13641965698734,1.15839831576856,0.642642428166171,2.17174121730745,0.888153087894167,1.13195589327639,1.37890565054146,1.01095945514308,-1.00951736757391,-1.01940039821013,0.919596651256144,0.876769399502723,1.09601094445209,0.759389629301007,0.278399895121866,-1.19669361950173,-1.16483477455767,-1.85305367295807,2.77952411132987,2.37051707570813,1.61358902015215,1.22948973869346,1.24773953002269,-1.45355754546165,1.54157381370826,1.7381629652969,0.595926625933164,0.92514407893254,1.04237714904381,1.26032965832716,1.46884319354042,1.85368855776926,1.58566884979647,1.08675373524917,1.84134731280754,2.26311486570732,2.20882264712888,-0.629122206831134,1.78444922531764,-1.63230854470165
"PSEUDO_Oss_2 (GE) - TPM",-1.92334641788067,2.14488342492504,2.07605154030219,2.50211795482515,-2.07062701555008,-1.57303631045132,2.00213338253663,-1.77288511899474,1.43821205945471,1.91163795889634,-0.925078364976632,1.98702728868242,0.852776700336828,-1.43615867565709,1.18725581657981,1.94627351694564,2.77997514412426,1.20925489871652,2.52113125194536,1.17762757115505,2.68636428718124,1.13140719547272,1.4622135817253,1.9072656696302,2.15187699802851,-0.794397031476436,-0.929528760660434,1.81672814199963,1.44549719723735,1.32751943260862,1.72981345962485,0.448354050480499,-1.2368382391568,-0.638756933158512,-1.84315409869717,1.84437035777368,3.03457590988921,3.38265317305188,1.25819770517394,1.23030314204378,-1.14268789388375,1.80791892783868,2.40758147106899,1.40645455999127,0.838620826000423,0.672669451044316,0.819253773885353,2.27402296530645,3.07529550369002,2.07878587413954,1.15795639032645,1.9436215328433,2.2117509349234,3.25887140353838,-1.32435620333514,2.76560057753412,-1.73017415827801
"PSEUDO_Oss_3 (GE) - TPM",-1.60671313351758,2.17091459860403,1.5256972426161,1.55835773675303,0.388007954323043,-1.62340656619141,1.75088148391122,-1.87650859558718,0.968805503812255,1.38579109960789,-1.41924028857376,2.07866206772769,0.0948675251822362,-2.13469498253617,0.652554494049575,1.58337569446663,2.71160566018474,1.39531146696004,0.0237083994738711,1.8077530966347,2.2545827275451,1.24040835525245,1.57078781499176,1.50327750958369,1.55667458525166,-0.786558480349594,-0.673142509615831,1.67573025514511,1.60512931786523,1.55722295226603,1.07091332738329,-0.0447253205053787,-1.08980132808866,-1.44155123450573,-1.69830373277694,3.08933015124077,2.83764416865507,2.40124136348503,1.22619479218446,1.22932177019136,-0.327682101382583,2.01989029624493,2.2355284022314,1.77604164047431,1.22777547327446,2.97232350035205,0.798657567820846,1.56771551913312,2.22978044899507,2.07465406584708,0.965078133104874,2.50982612933803,2.29224984847607,1.95797522702663,-1.23062241726988,2.56530816929497,-2.95822112508267
"PSEUDO_Oxs_1 (GE) - TPM",1.36671959097729,-0.547073045960732,-0.87612763421566,-0.48036939657365,-0.973355517156522,0.47843081967647,-0.703054406480868,0.358682706465151,-0.813951785056527,-0.604605895409456,0.488334420008932,-0.636009563625958,-0.456636256003746,-0.402993856580064,-0.677936523366174,-0.779240222219534,-0.55230810744675,-0.803211037700994,0.494486950878466,-0.230357345805553,-0.736800603570489,-0.920133655546979,-0.732694147446979,-0.697953411348011,0.283370575614691,-0.218735578157322,-0.280691750720584,-0.590225965242061,-0.574321030261678,-0.564126795417835,0.449731545000618,-0.17176822756215,0.0257177791841799,0.532057105529633,-0.625539245682083,-0.468769731687665,-0.46416629948289,-0.554900377207063,-0.539153714216443,-0.599962827199083,-0.459471102288646,-0.816047077412965,-0.548754794915813,-0.852823194045154,-0.663511673717853,-1.34564455864053,-0.0431360158945869,-0.94425572720566,-0.0533472982983366,-1.10294647059808,-0.814065699052949,-0.48121504701754,-0.471266412194483,-0.442083606552699,0.337361761852389,-0.485196213131966,-0.43960034319636
