"","PA0071","PA0355","PA0450","PA0567","PA0687","PA0937","PA1111","PA1146","PA1242","PA1243","PA1270","PA1323","PA1408","PA1443","PA1542","PA1562","PA1605","PA1754","PA1785","PA2038","PA2138","PA2145","PA2151","PA2176","PA2293","PA2320","PA2453","PA2659","PA2747","PA2751","PA2754a","PA2884","PA3046","PA3114","PA3350","PA3371","PA3372","PA3446","PA3460","PA3461","PA3591","PA3689","PA3691","PA3719","PA3795","PA4122","PA4172","PA4344","PA4345","PA4655","PA4660","PA4738","PA4739","PA4904","PA5303","PA5482","PA5567"
"PSEUDO_As_1 (GE) - TPM",1.66525970802509,-0.635650541254051,-0.383674870043788,-0.595065933451377,-0.344817458638884,0.353802187975264,-1.00370787906631,-0.324328939142368,-1.0042835720076,-0.449187137075011,1.15616145367247,-0.644859265286561,-1.08174103946563,2.43113548275271,-0.719513023874441,-1.23019942905331,-1.16814400144583,-0.275417677229766,-0.650828229228913,-0.27295787826539,-0.620318265027737,-0.71557133211522,-0.840218296177562,-0.774282375995673,-0.348761222950969,0.110342065221253,2.03866117205458,-0.205488206349788,-0.599498870477898,-0.98055975815637,-0.596396929441874,-1.24894564307427,1.4296426819495,1.21359681457967,-0.0265680188982058,-0.441754188663306,-0.470242519781966,-0.620270106862323,-0.967929645226843,-0.796492830686482,1.31428002826008,-0.623239527845313,-0.677222058507982,-0.760329559028747,-0.972542601816779,-0.164811678900087,-0.556373798113697,-0.730353021076378,-0.591557003343391,0.0301863397915443,-0.290032672890414,-0.480363639727257,-0.471675703346495,-0.694560903031344,1.25335453849809,-0.480545034708685,1.57946423452333
"PSEUDO_As_2 (GE) - TPM",0.116865314449004,-0.703396456339639,-0.833279659846343,-0.690753142073302,1.34035821742772,-0.404630101827682,-0.933189870693599,-0.419219266134938,-0.86014042337313,-0.327191373547256,1.32585605207075,-0.877975826994848,-0.91131296962134,1.38623781011424,-0.658813405066687,-1.21562959631045,-0.677607256219962,-1.30389098746835,0.469989879640296,-0.134395510878495,-0.563301870828313,-0.955634734833106,-0.722998235054533,-0.740629441709525,-0.0378433637754693,-0.165128006976373,1.13200146141757,-0.0385238281702647,-0.576783240734113,-1.02140866148072,-1.64237899381476,-2.2584567182502,1.74115461491226,1.68819791918861,-0.770892743871584,-0.45727518606482,-0.4297247734702,-0.623994361800088,-0.925396875170613,-0.830887330596909,-0.391747760625946,-0.918943553705591,-0.698617944990414,-1.13975781944142,-0.86238298219063,-0.028670663163855,-1.0274377497652,-0.80476389611918,-0.466283136885707,0.83368489713789,-0.456526515767599,-0.474877350961403,-0.467125379554934,-0.828459726755433,1.35752795328914,-0.490973098963567,0.697638562821415
"PSEUDO_As_3 (GE) - TPM",0.298439582664372,-0.621357115295646,-0.745454889773549,-0.560694174300902,0.157156990521138,-0.705835717025278,-1.14911714507827,0.806492139346691,-0.89971193997247,-0.440427084060486,-0.373525138793436,-0.74603198424039,-0.81345009051634,1.7683343385114,-0.616341445050495,-1.17298614525388,-1.17217015926192,-0.835271166474656,-1.18007361986513,-0.271955416800211,-0.697466040676571,-1.09522779767465,-0.806779792534195,-0.817335141659864,-0.638794505841144,-0.220020104528527,1.68078497478551,-0.271752852842644,-0.605424145421118,-1.09248256890708,-1.28924923784964,-1.95715207061572,1.91898362518971,1.32046363778031,-0.854015238477385,-0.473974405495568,-0.425093874081563,-0.608447276165227,-0.930428721432302,-0.861673800291923,0.875228036230351,-0.927086125272013,-0.711041914843663,-0.564380836768985,-0.981755511030719,-0.534151308819035,-1.09053420940322,-0.784929165639394,-0.523814610329483,0.60634163953759,-0.39145626731324,-0.474396474970369,-0.465034799848197,-0.593540694001417,1.18068477734561,-0.482306838465547,0.315902855115488
"PSEUDO_Bs_1 (GE) - TPM",-0.301961039902108,-0.358490030597539,-0.00756279490973621,-0.359175796836778,-0.0196219381334257,0.703921908156564,0.0170204436322472,0.638459295530902,-0.340956413599196,-0.478965476817345,1.58298744827092,-0.433631851598637,-0.231977027784021,0.506026815822765,0.0963496496161614,-0.00379274982318255,-0.461388406176789,-0.182023338006155,-0.310947218960939,-0.0155854013359222,-0.238247136419043,-0.587976832493115,-0.560880229826508,-0.213751801710646,0.319717660609146,-0.0476813015338309,0.247707067023842,-0.51637096493461,-0.562425018184084,-0.157086573575703,0.101292383646811,1.24971844965354,0.313470343583105,0.730206157342769,1.64276751458016,-0.475394904601467,-0.400589194145461,-0.289872301029701,0.13552134108662,-0.18124106787383,0.528770219124095,-0.619016350258268,-0.349574321366869,-0.459178154495547,-0.30238574885774,-0.453900386480913,-0.594951303606202,-0.344648821048182,-0.0618695150172847,-0.840012692365827,-0.457871427996638,-0.464953395418029,-0.463060681949173,-0.445505541124524,0.365574344459063,-0.472676912895976,0.554603630942569
"PSEUDO_Bs_2 (GE) - TPM",0.154354770597555,-0.455513380550446,-0.235964279659498,-0.26370181478602,1.25620643465544,0.0387968259742161,-0.205066719035583,0.772886673400292,-0.41571788869653,-0.597118853151153,1.73002589727178,-0.368405296559221,-0.577985525751574,0.30990483196831,-0.106016194804856,-0.214129869412685,-0.452370667261888,-0.0182541588645781,-0.606839902393468,0.561037203516214,-0.500994878323932,-0.534690140304522,-0.595102881835668,-0.351912295187047,-0.347626695522597,-0.0348073739389704,1.06128735275974,-0.609656273687857,-0.531620112913591,-0.389662229764978,0.469222642581228,0.698394223174936,1.0446583120352,0.593583718208522,0.149456120342657,-0.442294359301069,-0.442107184694886,0.0567748520577732,0.0629055404083039,-0.268175936739509,-1.05825132900815,-0.636751356886485,-0.35792007984991,-0.962296618684693,-0.446794220016426,-0.781923034676321,-0.136054911995467,-0.228492747538644,-0.33580461101719,-0.547194194995804,0.0150980801310225,-0.471987172370149,-0.467627466954439,-0.580038934601307,-0.205070559716668,-0.459945861843055,0.101231732402282
"PSEUDO_Bs_3 (GE) - TPM",-0.1856039903087,-0.401520637086382,-0.482938430138627,-0.400156033247651,1.30131657177957,0.329655276481787,-0.487488464875433,0.876742140348922,-0.402545826777092,-0.569513345124979,1.54920180321734,-0.577014798806332,-0.197627502836554,0.0623696121981941,0.0875075739563566,-0.255869603373453,-0.112258149102099,-0.387865209571361,0.548260765589041,-0.251093268607852,-0.384931176376742,-0.295228183285104,-0.40244168984717,-0.458434512693794,-0.565874867251875,-0.0334180063848627,0.479275249626811,-0.727519768346815,-0.543942044384709,-0.287981349333178,0.84649862841061,1.75019055720701,0.844706474048569,0.964013448297417,1.24029838577505,-0.450483022358863,-0.434485073045255,-0.0717780661002581,-0.127925859494815,0.0395249654811476,-0.277312247422094,-0.610672193451525,-0.369930043984762,-0.8403098381505,-0.569061812736227,-0.698333021824211,-0.708628133984326,-0.117947623921988,-0.371875960538208,-0.625623354880543,-0.229309553552866,-0.473735514556752,-0.467350700047384,-0.683488749187842,-0.127887044604401,-0.482592678839435,0.295706605741424
"PSEUDO_Ctrl_1 (GE) - TPM",-0.379241019028245,-0.516792407847057,-0.391622307527828,-0.587506638745063,-0.0821664040244378,0.130243126594674,-0.754873556704831,0.36591456048163,-0.644688582230131,-0.50507686312839,-0.285732263139192,-0.597263424786094,-0.680706915177884,-0.451595329934254,-0.633173672626691,-0.317136804765951,-0.472627603880874,-0.810805131677237,-0.870432435353153,-0.381888536945363,-0.745755749711155,-0.702289033836494,-0.517489775417422,-0.607659036715661,-1.17546084579944,0.35960406995953,0.740919396486796,-0.442994763886335,-0.575087377182134,-0.60655275626974,0.425447052127843,-0.476606045607025,0.645642132152811,0.313299073349637,0.428466351767803,-0.460880097907115,-0.431566152315073,-0.446152711440794,-0.302713934554194,-0.300886659100186,1.34328829681829,-0.501472940047113,-0.503718802509781,-0.909510200079335,-0.80710542785368,-1.11248728644208,-0.348681004666083,-0.68749338148724,-0.401294030662755,-0.226223044156708,-0.110679621013003,-0.467941004038972,-0.460089681358857,-0.338027414956306,0.442146536136403,-0.470259994653429,0.0504629977798114
"PSEUDO_Ctrl_2 (GE) - TPM",-0.134063993401535,-0.529466801276136,-0.110727497072147,-0.496702956181528,0.338683144078069,0.51677884539513,-0.539958790521307,0.23249399953119,-0.370046556835121,-0.544650599747837,-0.0530114654041692,-0.654645934679692,-0.683470429042093,0.0733858991506506,-0.784881860470215,-0.301751441157124,-0.197463920620758,-0.564900968510355,-0.923014090352589,-0.0368655714955077,-0.444915859039129,-0.675251854241332,-0.558841306072174,-0.627609482139148,-1.24175866718801,1.30950496561697,1.23569142027079,-0.255219462564776,-0.536174894428199,-0.515373726428621,0.619820561941863,0.0138532443023624,0.865105150354318,0.45415733340876,0.482657481606753,-0.464583207059943,-0.410713953278617,-0.344769907079135,-0.173330100522183,-0.496687345277564,0.232337466544047,-0.562030775913299,-0.521986638306717,-0.79991277002098,-0.84888427799066,-0.286501814792137,-0.454800732061464,-0.178648979557615,-0.386288060911572,-0.374101577948377,-0.314340557811382,-0.466325347933467,-0.47064383174402,-0.293621336762058,0.343823758540267,-0.474352932666857,-0.0230083537344958
"PSEUDO_Ctrl_3 (GE) - TPM",-0.203895554540893,-0.515920562751484,-0.67134339070659,-0.42189201080788,-0.363914501554346,0.383558044421128,-0.713937711055172,0.255205891190101,-0.478628655696692,-0.430730505781584,-0.804448492493939,-0.585478972999921,-0.715171051291752,-0.219745534422703,-0.953228023659739,-0.361015167364548,-0.743313609032389,-0.885582251426161,-0.69135029345125,0.228658715233766,-0.884943787655663,-0.47232710023538,-0.705023583312627,-0.633293575988273,-1.37058908939964,1.01254994412584,0.555645974046328,-0.339684917520926,-0.536882642481927,-0.579599118421213,-0.0106058897663122,-0.0933108838451756,0.665460374418416,0.333304171188347,0.36799287708613,-0.497833974527479,-0.424086622072769,-0.388199274711231,-0.384974971730442,-0.426860792011544,0.218408634851589,-0.733634322737134,-0.558231225499072,-0.804751434289745,-0.649427909499293,-0.899589979236387,-1.01501766091536,-0.32690471812666,-0.544905870277288,-0.078483491617082,-0.309266765245818,-0.466537095075658,-0.465415206938377,-0.733903617500237,0.915679243665559,-0.475356504760126,-1.06175238006516
"PSEUDO_Li_1 (GE) - TPM",0.394580180522958,-0.272113965973257,0.574840258152576,-0.26058518310878,-0.148626535315662,0.102691890225425,-0.130883492193529,-0.300897055079358,-0.484092928266706,-0.632044308766367,0.0805134746257352,-0.396684473317711,-0.234945413570392,0.0675047922420273,1.20423643531329,-0.180162836073826,0.168274811367309,0.0218249565582276,0.330730126596798,1.03740620000435,-0.677747449279924,-0.012472338576199,-0.393109059726557,-0.331450391590414,-0.23598812969102,-1.39620232296933,0.280432009369146,-0.275660771088974,-0.476444867942263,-0.733349248760487,-0.137148014500208,0.354008497361543,0.112953666277714,0.123423551544889,-0.156077081004054,-0.418550024445507,-0.377657025543265,-0.651006963626962,-0.311128367450942,-0.382981041460408,-0.480646345015963,1.91229741930744,-0.516368298388375,-0.292085078064483,-0.159812861285585,-0.191873955851323,0.25707157500199,-0.0202662949580608,-0.0449863248965111,0.0123274033055532,0.511616910327661,-0.453453861146971,-0.44672548006945,0.101791263247666,-0.618701035087156,-0.477253832840238,-0.289995208845418
