"","ECP_RS00435","ECP_RS00440","ECP_RS00710","ECP_RS00715","ECP_RS00990","ECP_RS00995","ECP_RS02060","ECP_RS02255","ECP_RS02700","ECP_RS03190","ECP_RS03635","ECP_RS03645","ECP_RS03900","ECP_RS04095","ECP_RS04250","ECP_RS04520","ECP_RS04720","ECP_RS05050","ECP_RS05265","ECP_RS05465","ECP_RS06715","ECP_RS08565","ECP_RS08705","ECP_RS08735","ECP_RS08745","ECP_RS09380","ECP_RS09565","ECP_RS12540","ECP_RS12560","ECP_RS12565","ECP_RS12825","ECP_RS12985","ECP_RS13245","ECP_RS13385","ECP_RS13800","ECP_RS13925","ECP_RS14125","ECP_RS14195","ECP_RS14565","ECP_RS14770","ECP_RS14810","ECP_RS15385","ECP_RS15410","ECP_RS16310","ECP_RS17140","ECP_RS17955","ECP_RS17960","ECP_RS17965","ECP_RS17975","ECP_RS18015","ECP_RS18175","ECP_RS20165","ECP_RS20375","ECP_RS21065","ECP_RS21185","ECP_RS21980","ECP_RS22785","ECP_RS22830","ECP_RS24000"
"UPEC_As_1 (GE) - TPM",0.0384781988276202,-0.575608932808654,-0.179115223580788,-0.278225386381193,-0.709340830007107,-0.832568741941903,-0.628659009015993,-0.613853191782762,-0.916913683449117,-1.07422381162778,-0.973319292029644,-1.24309447947682,-0.60855371107796,-1.11751410564083,-0.348748355092516,-0.906273690079222,-1.01863931885717,-0.264035462843213,-0.731660576696244,-0.626130297491143,1.2836192380995,-0.0683187329930242,-0.72256379945195,-0.916329725824669,-0.411217947740627,-0.621407723881538,-0.531957439850034,-0.00775011198846652,-0.631793889837875,-0.271391942970205,-0.355602070623455,-0.459135142283582,-0.626659640995661,0.0206893510528738,-1.35100266594378,-1.56403789897645,-0.576217766597672,-1.14109136020059,0.835540246368106,-0.706522003656597,-1.4723748027254,-0.127986102161924,-0.398994722496626,-0.446904099812927,-0.449437037043218,-1.52384791407234,-1.317274099491,-1.21717810128741,-1.63852148838054,-1.2364240738691,-0.452950762421556,-0.837447799352513,-0.573858395742299,-0.354510323326999,-0.956639102888216,-0.638974476227266,0.262342150071119,-0.330189247145101,-0.861432153493082
"UPEC_As_2 (GE) - TPM",0.196405670656189,-0.171721110065564,0.456248173718729,0.579964719408592,0.0819170579022707,-0.0638547063631512,0.0714544072567759,0.104116270558605,-0.00445852635742881,-0.492973028566918,-0.513892678801684,-0.785113942446393,-0.16759116672178,-1.02118044975038,0.228135459149679,-0.754429141681504,-0.55197586444459,-0.0339809162197796,-0.226776266335377,-0.0406844670593179,1.91912627967451,0.210923363180546,-0.38046455303753,-0.8492978151091,-0.264336787144078,-0.444243980724854,0.154971491615142,-0.811874262644069,0.016992767796093,0.849012785646321,0.659263899699684,0.15523802387408,0.164052380560195,1.01694899605288,-0.274869015828896,-1.33202906281463,0.777970768103088,-0.411308828009918,-0.10046704921282,-0.394167719576499,-1.13012481177901,-0.0915129525518416,-0.0825415027715429,-0.160282444169862,0.919949961268569,-1.02948974796921,-1.10617130455644,-1.03430042406837,-1.36855176275974,-0.633536343263224,0.403988242641228,-0.839938848939387,-0.0678678681825612,0.575016312917705,-0.589648974703934,-0.00273186157924261,1.066737419881,-0.191257377730546,1.20150896818613
"UPEC_As_3 (GE) - TPM",0.278637883445994,-0.153010293532701,0.90176343672156,-0.0860637761936188,-0.0874665797005951,-0.0572283521508801,-0.15242071082652,0.103038322525546,-0.356120506010771,-0.163252091606829,-0.677107695211007,-1.16350757967634,-0.0112108372842754,-1.07922183970415,-0.796802250628197,-0.835577148401375,-0.672164184636198,0.174027002493071,-0.297724997499152,0.257395413638594,1.17870709479996,-0.618254797736373,-0.516630371186724,-0.931346073640607,-0.724151362408474,-0.402913690892692,-0.037327856091171,-0.460694442898175,-0.715468259001546,0.297622964517316,1.04203989537657,-0.0486456747797402,0.0609863681160505,1.07924562865975,-0.822995631265783,-1.28217343970245,0.545684444620975,-0.304533854766567,0.622197110879489,-0.504210547430388,-1.38821327979858,-0.182542022520738,-0.0923127830012618,-0.400991281044036,-0.451134302115561,-1.26451670384325,-1.23024499421073,-1.09658826935772,-1.32668066731148,-0.853963746473462,0.0352853659575389,-0.670169619124266,-0.422815630305091,0.417877430868743,-0.0223337069710056,-0.159309655740662,1.0433143321319,-0.701249489064958,0.436766862520808
"UPEC_Bs_1 (GE) - TPM",0.634171046213375,3.16306775826142,0.211889896205838,0.0371821109258864,0.316648378332233,-0.070726259931138,0.828536231946101,0.417840678858924,0.0346246344719628,0.833327895862068,-0.243994178755285,-0.319859331933656,0.388238881839464,-0.121612876886994,0.700047655419789,0.142954922833958,-0.0423753340992971,0.754169958622101,0.442472804027117,0.84570757686531,0.410191941209488,0.820472451759505,-0.239569727452269,0.403095220041055,-0.246024043905503,0.511676177822287,0.148067152280689,0.26289165584387,0.388314649463229,-0.751305234262117,0.562913898635769,1.02908882541968,0.634120352573142,0.426729077358542,0.410846705668635,-0.0473310650561348,0.93509133582783,0.707839159160197,0.599116009733861,-0.290670376520866,0.401355798697558,0.602967571165182,-0.894848941497871,-0.150100423793624,1.01987582485939,1.32731437322725,0.60261602858501,0.811645781623573,0.712255865392977,1.06975453428685,1.11516178479188,0.508856001877053,0.320589739637296,0.59196573601281,1.28212313621386,0.665977696402702,0.215959383761112,0.913820395009114,0.23783350948593
"UPEC_Bs_2 (GE) - TPM",0.712321115684796,0.366605815612977,-0.240724547919684,-0.0635868080971552,0.068191228889332,-0.574130213733983,0.396953684573973,0.351047356924119,0.020144391669205,0.39345326616615,-0.421701632816787,-0.245901009732777,0.179956790707983,-0.541671245757776,0.373979640148472,-0.189207440945232,-0.178742991248235,0.106259917343382,0.0288329958427057,0.604520997033845,0.267631345569908,1.44974406616808,0.124977462992294,-0.124449253117943,-0.63284263235685,0.392075726009814,0.0762294318875508,1.24449791094822,-0.594064468585547,1.05133807467661,0.73892957797812,-0.1150019343819,0.502619284479265,0.104281198238075,0.730389307493287,-0.129846994592148,1.51174616007308,0.448641161622786,0.72949759945521,-0.354830719801533,0.623261380935178,0.470661455646472,-0.613159686924971,-0.227525417003753,0.651633704654622,1.21808245241284,0.631385517560397,0.557499677948895,0.756685647793534,0.293293174755457,-0.268721199699644,1.28391822237696,-0.115027881348841,0.510477961349447,0.881639087587217,0.168009902883358,0.428532926122237,0.023805096281639,-0.354463706254819
"UPEC_Bs_3 (GE) - TPM",0.314596074962865,0.346387937176685,0.396920550507541,-0.434757757010969,0.297591697951718,0.757293358807215,0.111352819310465,0.141259944491039,0.159056713124559,0.437788085945942,-0.274073496165298,-0.0118033795710679,-0.0896993753840154,-0.382230174054083,0.529526761116905,-0.168524716311869,-0.336609547632259,0.0289063845894341,-0.544091435625289,0.803704655993196,0.0463443173674567,-0.0422056239374757,0.686664404957595,0.362029920394918,-0.156372564595636,0.615438736131647,0.425597013716367,-0.0729842333702203,0.224613542830472,1.13292186171332,0.339099652348287,0.434918449624138,0.147598164616972,0.222438009107071,0.530282380282411,-0.536215373098135,1.80906293780764,0.546197839180837,0.166963946093399,-0.205467162861791,0.293011976393418,0.068379597660758,-0.671821471249389,-0.215540698566132,0.726518143378844,1.18785823808974,0.266854411720987,0.447730137012724,0.396637056994581,0.720749002561352,0.196806955302117,0.818198324954022,0.39302978494253,0.193228217231885,1.37919029698367,0.246196197328595,0.377370950068578,-0.285585071610119,0.499355989654038
"UPEC_Ctrl_1 (GE) - TPM",0.502460796043555,-0.226987734868261,-0.299786318461798,0.191255313624557,0.330416589824381,0.505536334428243,0.711332163440977,0.197173593020018,0.496598789384367,0.291145278430678,-0.169709711252678,0.626062968545621,0.197891353972328,0.158198154085208,0.646217252967868,0.112522453697592,0.109679256146986,0.994031915554695,-0.321995877353522,0.941914470296155,-0.0300311927786707,0.642576545070967,1.06633598817264,0.638255781965552,0.162546045977472,0.895787234464617,0.773367730403429,-0.252912517820893,0.386418129296852,-1.01555943121778,-0.28662318039917,1.04862307963567,1.02661306947483,0.399727311016352,1.0466182942371,0.696353879937807,0.322083632819362,0.868852008155833,0.205929998589241,-0.226719837966806,-0.0138587818410787,-0.406439007487128,0.755080390681396,-0.316128034054873,0.775005373938641,1.48883893841644,1.18636466708451,0.946506203179004,1.48694889386052,0.604504167157827,1.15561820500622,0.767410367669226,0.201242888171332,0.727736163119195,1.05974573756072,1.01177033699389,0.517082874132979,0.221844126658842,-0.00281269663621948
"UPEC_Ctrl_2 (GE) - TPM",0.349045359007664,0.142997094166343,1.01158940045053,-0.3565178605577,-0.00810062343920386,0.308295270568508,0.613577250537801,0.753129391899414,0.19642410068827,-0.00397961822318139,-0.0354724506134655,1.1539897878699,0.917649821964903,0.423789801557292,-0.0644395297426805,-0.0842698598586859,0.0450480372029258,0.320130990534339,-1.09557441577644,0.788478895475815,0.295417873497979,0.0986723844263858,3.22150564778112,0.37174575060331,0.0126728416730126,0.498111564322888,0.401466722523795,-1.07521534379644,1.82799275731953,0.828309366365204,0.0424299644942,-0.123693013762047,-0.436811242618382,0.0195098463326634,0.394433411939991,-0.0151374970971095,0.661016650728002,1.30939387370011,1.28206884600635,0.188602114095671,1.68812674603388,-0.147571705191574,-0.914248634271069,-0.172559535604162,-0.0857631724011657,0.812357501945477,1.64313922148181,0.703694518979232,1.14849352198738,0.0591977069098875,0.068287913627006,0.674245935133363,0.288058823490717,1.6726111100808,1.52170723632577,-0.115364465769098,0.595284894912775,0.497500080851579,0.357325187993248
"UPEC_Ctrl_3 (GE) - TPM",0.256825939140755,-0.208127743582852,1.59558505344059,0.565894067521126,0.0435726608905457,0.260085979990767,-0.525281487820757,0.247251119829326,-0.00956770848923158,0.411405047046331,-0.0104159770707296,-0.131317325587462,0.245906628581932,0.203338076605338,0.197570401586908,-0.115791394368376,-0.225715560915154,0.422121725315451,0.0194115853000624,0.661914307262728,0.333624898031579,-1.23154319358496,0.561198791916739,0.0381648778310358,-0.274040491082787,0.76216908540459,0.933872554883079,0.612425969475053,-0.562168030642789,-1.01555943121778,-0.310785691377967,0.373071920325344,-0.278244236589712,0.492970975415842,0.745778969260172,0.123530419891153,0.151092713082251,0.771839641533885,0.101244432581878,-0.332794532681889,0.863974536294386,-0.508220656401372,0.726443291280664,-0.506973684918485,0.0694871191542959,0.967421401288652,1.06673491728391,0.504108231372971,0.155265358284398,0.710865387923312,-0.11804733844127,0.405528450775799,0.125824019651861,1.67115658888556,0.534726168104499,-0.224565537489884,0.25999026722405,0.117963574218177,-0.261557840187304
"UPEC_Li_1 (GE) - TPM",-0.0545392191043955,-0.236287201478554,-0.778590673465169,-0.230079964475744,-0.207767747915502,-0.519215018410503,-0.607750907525073,0.0761900884678137,0.840965543937566,-0.119953409009933,-0.0667171848060613,1.53001430252794,-0.0682804004501484,0.561111834320912,1.15270506011346,0.35176653351286,0.197330324468896,-0.187126764185395,-0.232700039416381,0.398625436078577,-0.948942173753583,-1.1859653931345,0.426537779531083,0.367400861381193,0.44831949391684,-0.510539290579029,0.632212230295267,0.247936153149069,-0.769490805364528,0.0644255768053801,-0.4010142423743,-0.100866550605027,0.0459454767387628,-1.05373826087968,-0.175595701262013,0.331270022331942,-0.179204418164197,1.37040362136867,0.593288575170938,1.12323760754685,0.34632306176601,0.53935410748491,-0.346375064017074,-0.0508889310311101,-0.551163986324299,0.225801501275475,0.0880163260335384,0.207406348338148,0.404916479023569,0.704323469926195,-0.363328124731527,0.897003507786542,-0.0382020559470349,-1.08585046241761,0.909948379644825,-0.67646837359208,0.533745931859175,-0.737843747450137,1.74939644522746
