"","NGO0049","NGO0120","NGO0161","NGO0163","NGO0207","NGO0226","NGO0227","NGO0228","NGO0229","NGO0357","NGO0363","NGO0364","NGO0373","NGO0424","NGO0455","NGO0466","NGO0470","NGO0492","NGO0563","NGO0633","NGO0641","NGO0700","NGO0701","NGO0736","NGO0854","NGO0861","NGO0914","NGO0915","NGO1070","NGO1073","NGO1129","NGO1132","NGO1141","NGO1173","NGO1197","NGO1208","NGO1246","NGO1266","NGO1383","NGO1384","NGO1386a","NGO1387","NGO1388","NGO1389","NGO1426","NGO1435","NGO1586","NGO1588","NGO1590","NGO1593","NGO1594","NGO1596","NGO1617","NGO1648","NGO1653","NGO1739","NGO1805","NGO1816","NGO1843","NGO1857","NGO1893","NGO1965","NGO1966","NGO1967","NGO1969","NGO1970","NGO1974","NGO1992","NGO2026","NGO2127"
"NGON_As_1 (GE) - TPM",0.285965311307932,-0.810460700519995,-0.448766632775288,0.428186020541728,-0.342417426797171,-0.289666120233006,-0.479444558311482,-0.633435692228622,-0.702257675370037,-0.577238919965617,-0.95437250223559,-1.02247446116076,0.304846846484508,-0.579755302498589,-1.22262035246932,-0.685373007756429,-0.0242835875089113,-0.877322807230946,-0.231898304758769,0.539027125898787,-1.15076277220991,-0.810775170284772,-0.620557201108893,-0.559848150959161,-0.172188765384706,-0.0239128919061566,0.0154707407780548,-0.76690243508107,-0.0962848589002444,0.00828102030285815,-0.719422644285997,-0.248979474957612,0.18340759803518,-0.841657266999897,-0.489536258562557,0.0861258261919636,-0.906313595752339,0.249532978939976,-0.342548162400972,0.750392155978467,0.332517772506725,-0.359323169428004,-0.719973400768217,-0.111046794798213,-0.836637372227753,-0.714616940196571,-0.0585685303624518,0.672607441517354,-0.105318548796893,-0.388255599296922,0.228548102197697,-0.540972766402782,-0.515224554122474,-0.41822758855293,-1.03065357980135,-0.0567673661960955,-0.818775139381685,-0.632651824129383,1.02915044130829,-0.420982379325463,-0.132051743736596,-0.0105104291457757,0.272986489990617,0.318133099903906,-0.0274074199886752,0.62275824902516,1.08869227527264,-0.796916109452051,-0.350193211931479,-0.964170445071844
"NGON_As_2 (GE) - TPM",0.888904408275693,-1.11815117191846,-0.235822164872935,0.437318325715248,-0.021603093860661,0.202703710995759,-0.387266629073672,-0.463353844979612,-0.169920929650527,-0.35978190431371,-0.840656806789357,-0.654197499768155,0.230874610663655,-0.960370392967618,-1.00334049974792,-0.730576323890146,-0.16054073241311,-0.313097213504268,0.237944372043616,-0.0275411433067168,-1.02594430056153,-0.00202194302976208,0.290005811149631,0.740582478614438,-0.295949315561551,0.536102140411588,0.145776722618544,-0.555214108184777,-0.0241191074657351,0.922660722334285,-0.499171066964336,-0.396396982484651,0.279854302427237,-0.917302273562364,-0.085261523305863,-0.186959048139282,-1.23116359602792,0.166026409369567,-0.454591605002304,0.918006114698016,-0.543310130758997,-0.0358480132479147,0.0499755734200274,0.592197548653654,0.161992096859049,-0.229288016725103,0.138528768315709,0.327768125706277,-0.299234961735594,-0.388966741846935,1.17172468802863,0.464082353905074,-0.826290585311483,-0.632584193462722,-0.661026342625,0.496062306297498,-0.891103951670886,-0.11448792487176,0.323211494650634,-0.136046215190008,0.248946625218168,-0.0450487635650168,0.618043995088427,1.14065091505188,0.127633458512851,1.16335713943888,0.769915962452524,-0.540507222970723,0.329074250044884,-0.491737405592449
"NGON_As_3 (GE) - TPM",-0.49572102975877,-0.906567211385637,-0.592232078980936,-0.234040512966518,-0.518048935680893,-0.884853520900703,0.0748807909626175,-0.999763763252281,-0.732675788475715,-0.510802850007397,-0.598596112533478,-0.801101150194237,0.263738812153752,-0.070251123722963,-0.983368444274539,0.238001113961307,0.745991287314032,-0.451017784607446,-0.643866097852742,1.15132922603341,-0.707968668511159,-0.504796560690482,-0.645661258631945,-0.279917529669297,-0.443102893694807,-0.921268704789739,-0.382631170258763,-0.977832531821992,-0.563202786910183,-0.051187391375416,0.143778546324839,0.918757589916207,-0.558081203288607,-0.803760804531952,-0.563079515639676,-0.0601156159414855,-0.803087425937206,-0.384285638488518,-0.522659892962307,-0.449080358026009,-0.625289172827681,-0.554844939649792,-0.0681050088114297,0.471546594715709,-0.687106511548981,-0.735799836499573,-0.22493714417651,-0.188159153324538,-0.619814531354179,-0.668117944767579,-0.0766334791982714,-0.910428334165655,-0.148100311613464,-0.0754077772084698,-0.650916449577026,-0.546444375226598,-0.930654187773457,-0.647253870728184,0.680126113371763,-1.20318613000662,-0.758367610856334,-0.148642984594273,-0.283223444667392,0.473858727616314,-0.423472146897381,0.05839327615966,0.810183992627729,-0.881535898540338,-0.228716734882202,-0.716363516683133
"NGON_Bs_1 (GE) - TPM",2.64038501620756,1.93031166373449,1.84514417149378,2.73492589167689,3.10750105282546,2.6534851655543,2.60984296163054,1.37633563648133,1.99410094741274,1.99723525737265,1.50140278131344,0.816552718860307,-1.77567143893454,-1.63335088455258,1.64889531250411,1.49984999957407,2.56197895446458,2.12925878131583,2.61814651939522,-0.531943117713209,1.70253547081463,2.63298171424816,2.67694691856947,1.79415010653098,2.70971903892941,1.60769274444556,1.25108064301938,-0.150828662074029,2.79173384582582,1.96224297683815,1.30961796612372,2.69950051135426,2.74863568093688,2.66608463545118,1.92353209492312,2.21608556868756,1.51347132969818,2.784100380148,2.29777658093678,1.47923242062259,1.7703234579568,2.34488621531934,3.08860645059066,2.27214011083709,3.04200669446495,3.15698219423588,2.92702765778148,2.80122182141643,2.74430047483773,2.92394178349962,1.28950627899083,2.13506563375131,1.26101152141925,1.2985807239109,1.44865205813119,2.57559540656021,2.07732755726601,2.25437114834182,-1.38675048112908,2.16057697447029,1.34500440940104,2.35304110021095,2.51073991661404,2.65376016321955,2.77437505796119,3.05454060997473,-1.99661385303811,1.79049656927852,1.60207932513372,2.54982535251225
"NGON_Bs_2 (GE) - TPM",1.85197274237088,0.890441197883179,1.29138601232007,1.35061892222754,1.6497860757308,1.83636550845779,1.24509707551354,0.864052142447801,0.920382039243513,0.951877914041493,0.15996713762895,-0.309495909965418,-2.44766082242445,-1.94296906222938,0.098073631164243,0.864535771356439,0.462825621137316,2.27177703987496,1.24600078989679,-0.0921763944436895,0.511809577436838,2.39209476852946,0.682020896526754,1.07218644647915,1.62313733512188,1.24062483507186,0.21911046202703,-0.210768864354164,1.79546324420747,1.1415434973239,0.956050345062334,1.59232908487215,0.920191341689355,0.767223772762702,1.06746690843098,1.56913605741679,-0.120868297539231,1.24583717148502,1.14667715773798,1.04867659010048,1.58675923777331,1.05462047793861,2.09377032462893,1.33263518630754,2.26859481038881,1.77149137413953,0.906610854306023,1.37605444570892,1.6219457133913,1.53163239002282,2.25390948807724,1.43903617738902,1.08173300069443,0.939467796320187,0.593917448812142,0.894580388050107,0.310051569665828,0.867811950064154,-1.85097735694527,1.72056811586713,0.404820418803383,1.86531287235154,1.85837753336486,1.36120121923545,1.86503718318621,1.28943240906198,-1.47111365239077,0.62654754044636,1.12586766316578,1.09343205037251
"NGON_Bs_3 (GE) - TPM",2.22723412067559,2.23838375356608,1.86674432214467,1.25210443392585,2.72352577688999,2.2666893345423,0.992628748503335,1.80992184182619,1.85800801735631,1.93802886408301,1.56551994692584,0.780544593589139,-1.4194131479855,-0.838189676836006,3.28409771095171,2.41531432830127,3.57230842542409,2.10716527200274,2.30746463952258,0.267488577511729,2.17100787228107,1.79494743683579,1.92993443275762,1.31211079017448,1.52014012769247,1.75363153424742,0.334916561590527,-0.344227557719294,1.69910314664425,1.6374813736012,2.02345710165556,2.32518008699821,1.44445255867693,2.33592517156041,1.74519009555483,1.25275864220764,2.89872393403531,1.4364744039285,1.06361088341004,1.08271062793975,2.19615337428111,0.873301296025513,1.80761468352407,3.07626735216775,1.84291878938461,2.43319882985602,1.46546328132594,0.883816758445506,1.32452048030762,2.58309227914114,1.07078626393157,2.612248811685,2.15476600771295,1.1731410820368,0.912579781159832,1.52395869091957,2.13521016848881,2.72960013662368,-1.88487394828279,3.20835344660382,0.205861854163835,2.08570041312975,1.93060398883877,2.66659375647936,2.39877021833757,1.36590999646455,-1.28745096069937,1.89578190822637,1.11297972653657,2.10420101134723
"NGON_Ctrl_1 (GE) - TPM",-0.519264440108626,-0.202864610571183,-0.462474768621399,0.210426184053645,-0.168970025076197,-0.629036608543756,-0.563762883703436,-0.415480832533152,0.0308056829308393,-0.930660131217101,0.161969054790684,0.0983302506738685,-0.161668883194888,-0.0371660436195012,-0.345172491629713,0.0155608665741442,-0.124380167381352,0.168838885889125,-0.393502240731753,0.546637501862646,-0.856213859360734,-0.537618035163633,-0.520700167657322,-1.00823077906355,-0.636913322149354,-0.45136634685397,-1.20216887139983,-0.404383998061724,0.230471409524157,-0.169214906755182,-0.196914737467801,-0.400914505553042,-0.230869913081513,-0.153188150390914,-0.744443255935222,-0.204119379375126,0.0840291919166464,0.0270516262832653,0.0497225663412606,-0.542869296035787,0.0678100475019891,0.179822240296767,-0.0531310872309763,-0.134014623554415,-0.883290050427315,-0.0178453114878908,0.245616405589635,0.177727855290044,-0.340856200867496,0.54190438721475,1.2421229800563,0.0214805750451554,-0.654102775277623,-1.22760844247174,-0.58208636957345,0.00606390182486808,-0.743436296571432,-0.69142713970141,0.946163135148286,0.0402106311846094,-0.336675004283756,-0.606170139353065,-0.585934964602041,-0.683663723421957,-0.397718386810389,-0.346209482361545,0.181615699579395,0.171705784425131,-0.484216387645395,-0.401537380404016
"NGON_Ctrl_2 (GE) - TPM",-0.210019804949856,0.481108841121097,-0.874672865110814,-0.630808571166763,-0.239277439067627,-0.718222028411608,-1.06548475757059,-0.225904226552093,-0.666644543762617,-0.958433218766542,-0.0830811996391678,-0.0371816885798627,0.725382621531405,-0.313685455047718,-0.646963478336466,-0.836392208003401,0.120465346348898,-0.0887961724318539,0.25786947832292,0.381419625300541,-0.368557058999185,-0.977341884285343,-0.550310437229883,-0.410364621164224,0.980785838364268,-0.28417511253816,-0.349478141169546,-0.446156793816023,0.2095958508551,-0.739859965324441,-0.666626811206092,-0.620923644430386,0.306109678745292,-0.573831833508876,-0.720560833812881,-1.08671222670273,0.426440129639372,0.121232916864259,-0.000593772430220173,-0.497142054082899,-0.171080086808896,-0.1105289779015,0.117981980765136,-0.0269143486652257,0.0650700005419588,-0.467169456671857,-0.283414614504262,-0.0281328948125599,-0.342348344485831,-0.126920631053943,0.169718867762787,-0.211845752829252,-0.489469962528097,-1.06889351134575,-0.987604494455774,-0.275783523768535,-0.980772977643738,0.225983795098703,1.69874831694078,0.278121604214931,-0.619421643872351,-0.603491055018018,-0.255205195209756,-0.648965216470741,-0.104956526910068,-0.293235428704844,0.84306794385598,0.0325729631914927,-0.393859440869483,-0.586442130043391
"NGON_Ctrl_3 (GE) - TPM",-0.491148954205846,0.838741761209035,-0.799953398122421,-0.845682644595985,-0.235223635859914,-0.720909472837058,-0.55541319959156,-0.769935096780736,-0.64411670502902,-1.13209219657152,-0.0265379419903895,-0.325078149155282,-0.0296231707488621,0.28722085955427,0.823929557983365,-0.325802503874054,-0.456304710936233,0.242814449070869,-0.375679488862759,1.16094054870936,-0.609369399789856,-0.81207246240612,-0.871778594906143,0.696539487784463,-0.136268176202571,-0.481880271188421,-1.59075881011289,-0.596426011110163,-0.731994675779518,-0.861660777574116,-0.547638035439926,-0.384921605277309,-0.0561493049171899,-0.180714255847482,-0.963872996020499,-0.404693082228698,1.11881793786733,-0.552792435778711,-0.537091612333035,-0.378367857698363,-0.429326605016482,-0.149781006164131,-0.0932029468652107,-0.512525382039433,-0.843909985566991,-0.541515457481146,0.102592328508216,-0.782674772159949,-0.559713338992186,-0.496971212442091,0.315094118144892,-0.572350850061526,-0.212326737292725,-0.920312082389823,-0.625732094671484,-0.521048295865438,-0.808378526832753,-0.13765681422335,1.17325153126998,0.482945631466931,-1.0828103433796,-0.6175253868929,-0.897919380898783,-0.633847524368025,-0.252096800017022,-0.528696880815742,1.09199598252771,-0.127046934532139,-0.813016534029661,-0.69980002444921
"NGON_Li_1 (GE) - TPM",-0.839422473840751,-0.948587680473615,0.550533973115151,0.93567276893606,0.31458822497203,0.0109710789927805,-0.362578257784104,0.263446164060834,-0.133717728120809,-1.23932393526793,1.29145755364355,1.39633985341965,-0.218526077224874,-0.0731669277672837,0.244160022824624,-0.831858799643328,-0.923135984469971,1.62688690650287,0.14767369013546,0.4914399471667,1.00068199390904,0.983021060463395,-0.375228190524512,-0.414888127004145,-0.389168644409421,1.45428599038911,0.1900318031968,-0.307721008210628,0.160535660021474,-0.657206695811273,-0.769728661586286,-1.22135619195893,1.78553188613599,0.961321515599758,-0.48216054706713,0.997042642465679,0.215758312951136,1.32827636598109,-0.970395778443085,-1.11859075879775,-0.621510094239089,-1.02719403932623,-0.324405968934315,-0.705455731372008,0.828871781265892,0.578118573096457,2.14508064022589,1.34752645891672,0.330271101425834,0.329090389673021,-0.193870567025054,0.519643040792677,-0.485948093834683,-0.275071251663114,-0.426212810504488,0.743512499079171,-0.234345774205678,-0.169087715771075,-0.854882491972861,-0.00426803792751262,-0.427473791264138,-0.12693950195002,-0.634383657145619,-0.701893823190539,-0.384408235394069,-0.483732764572888,-1.49963010450787,0.791835236188172,-0.654376074657232,0.388841115557857
