"","NTHI_RS00245","NTHI_RS00390","NTHI_RS01940","NTHI_RS04765","NTHI_RS04820","NTHI_RS04825","NTHI_RS04830","NTHI_RS04835","NTHI_RS05045","NTHI_RS05730","NTHI_RS05735","NTHI_RS06630","NTHI_RS07855","NTHI_RS08890","NTHI_RS09050","NTHI_RS09055"
"HINF_As_1 (GE) - TPM",-0.502094237151173,-0.196202228282016,0.0144105442685776,-0.577173224766412,-0.193121014157315,0.00540610586137913,0.159708266580827,0.577866465648874,0.795657616926198,-0.562912383990838,-0.634754719579306,-0.0272158354177979,0.496262981279473,1.06761977181119,0.208373230225275,0.993774652083751
"HINF_As_2 (GE) - TPM",-0.19051051688735,-0.0147467776536789,0.410741767197898,-0.31589650059348,-0.551722159149673,-0.361608701232393,-0.192348528115551,0.416409833934957,0.858369363407629,-0.398989623143047,-0.657819933269578,0.0898590311393887,0.093016944343938,0.0577020405791224,0.171785992820628,0.765681445678646
"HINF_As_3 (GE) - TPM",-0.890454754700644,0.000475080030131942,-0.636827773286219,-0.686490169449402,-1.16398828685963,-1.08543902893015,-1.12376464840235,-1.02124862859076,-0.742895100436032,-0.723954405427256,-0.70525078444806,-0.246576360146679,0.897609482602365,0.528901933597199,0.439227595033237,0.878018564285977
"HINF_Ctrl_1 (GE) - TPM",-1.41925995308174,0.19021229404044,-1.38800878163325,-0.85359133714805,-0.892459763169349,-0.827694977782769,-0.667980428790774,-0.767423174857072,-0.787121665627939,-0.850703071310708,-0.77653121434659,-0.318156668595705,0.622485331576742,-0.575790610733576,0.763143139475601,0.966530840525981
"HINF_Ctrl_2 (GE) - TPM",-0.971650747827382,-0.11176417029295,-1.05481955309061,-0.996580423778089,-0.419628494916232,-0.731036901664487,-0.628136494012796,-0.676140474883621,-0.694733558200914,-0.906115831061156,-0.675075822696951,-0.666337541733155,-0.384806910655708,-1.61608503311792,0.084565730908618,0.0606882180949642
"HINF_Ctrl_3 (GE) - TPM",-1.58066923866907,0.325620405569398,-1.80844506802483,-0.895093856895099,-0.736838401573154,-0.707532879663235,-0.750010677828902,-0.668254291933012,-0.819090319973735,-0.723673571400596,-0.634744518651479,-0.810761141593582,-0.219256383541313,-0.911839992941199,0.337488784141666,0.4766485896261
"HINF_Li_1 (GE) - TPM",-1.65279232403085,1.00779592869644,-1.00605449160589,-0.822744769089721,-0.710441486048528,-0.787760285592122,-0.722011052819116,-0.57255505807699,-0.463415170823684,-0.699214324230424,-0.649043080440925,-0.65299558500762,0.543578350978906,-1.11153943776011,0.652087175182443,0.359383448014342
"HINF_Li_2 (GE) - TPM",-0.71883528938888,1.54574612140699,-0.917639662406939,-0.792663005022494,-0.954512059086724,-0.887125099755574,-0.904959550613602,-0.892897265413298,-0.81723534981101,-0.729181214710099,-0.738328667683813,-0.130912469381106,0.897627446541672,-0.754981952651098,0.585810878586356,0.568989907939462
"HINF_Li_3 (GE) - TPM",-1.14177834926854,1.49519733079578,-0.969895591189038,-0.743753608704617,-0.94248045469478,-0.879262828284135,-0.851736611916678,-0.888247203303612,-0.607596327248512,-0.60621550772852,-0.599952251632373,-0.0793463612902438,0.723236084260612,-0.966038604664555,0.452885656731058,0.459160946933172
"HINF_Mig_1 (GE) - TPM",-0.0190579689420152,-1.4938532618537,0.827598092774191,1.19788932695406,0.783187588468348,0.835445575728235,0.768473151073926,0.51293705287435,1.08921480276973,1.23993191989373,1.47607848184306,1.96783689178617,-2.05258894478156,1.11003771076827,-1.21425144015447,-1.39416603794115
