"","ETEC_RS00235","ETEC_RS27300","ETEC_RS01280","ETEC_RS01530","ETEC_RS01600","ETEC_RS01765","ETEC_RS27425","ETEC_RS01960","ETEC_RS03065","ETEC_RS03825","ETEC_RS04340","ETEC_RS04530","ETEC_RS04550","ETEC_RS05495","ETEC_RS05905","ETEC_RS27755","ETEC_RS06550","ETEC_RS27810","ETEC_RS06855","ETEC_RS29850","ETEC_RS27870","ETEC_RS07790","ETEC_RS08485","ETEC_RS27970","ETEC_RS09960","ETEC_RS10810","ETEC_RS28175","ETEC_RS11640","ETEC_RS12020","ETEC_RS12215","ETEC_RS29980","ETEC_RS13090","ETEC_RS13600","ETEC_RS13720","ETEC_RS14080","ETEC_RS14655","ETEC_RS14945","ETEC_RS15335","ETEC_RS15445","ETEC_RS16600","ETEC_RS16905","ETEC_RS17565","ETEC_RS17730","ETEC_RS28695","ETEC_RS19885","ETEC_RS20715","ETEC_RS20815","ETEC_RS30170","ETEC_RS21390","ETEC_RS21510","ETEC_RS22715","ETEC_RS29060","ETEC_RS29105","ETEC_RS24020","ETEC_RS24320","ETEC_RS24335","ETEC_RS25280","ETEC_RS25840","ETEC_RS29405","ETEC_RS26695","ETEC_RS30370","ETEC_RS30390"
"ETEC_As_1 (GE) - TPM",0.381789104325774,0.235754872769277,0.42719590272995,0.0294197178025652,-0.226202698316922,-1.1411938636733,-0.178427559802108,-0.44346665191318,-0.549562919751361,0.0171723742331526,0.233621674176808,-0.288448576499857,-0.377172736964267,-0.348732216342247,0.247897422981632,-0.185442501396065,-0.0631833952105306,0.36220734439076,-0.338267983189714,0.677264291988347,1.10797680757091,-0.604962825352693,0.418078299620174,2.66967102745052,-0.172066770711259,-0.315160990036622,0.260558440350108,1.72963568870564,-0.473086144757977,-0.140329779591799,-0.346821826443332,-0.347633072714755,-0.671927730969804,-0.0465630151759253,0.71190598177572,-0.410428131617906,0.174268770420525,-0.167892614394977,-0.262193565438972,-0.134331935483006,-0.30983415223818,0.147106519443147,0.0313674313635262,-0.61047863558959,0.951918416253213,-0.293343417295932,-0.166666666666667,0.154658125918052,-0.143836215667903,-0.270290785013979,0.342825577688314,-0.264979094112502,-0.0427256691535819,-0.708983980664386,0.692410473525436,-0.507593271052325,-0.43800546805522,-0.527295114249622,-0.289421379299005,-0.323402305266188,0.133120516080607,-0.288917067693544
"ETEC_As_2 (GE) - TPM",0.237038297793199,-0.00851601161157533,0.386453024490203,-0.27190384147443,-0.330175229364726,-0.423845531025455,-0.462660555091085,-0.081413475084584,0.760532652564362,-0.347295302641602,-0.0196254252474816,-0.25285513012853,0.758866398988972,0.518348668569407,-0.0717652042530062,-0.292060494801943,-0.682250232950975,0.373263282262094,0.603918478832885,1.79885487841365,0.581306688600774,-0.123820081183366,0.831206118265482,0.599271835536868,0.143729838452032,-0.537967237250258,1.39172228771399,1.22279677586343,0.260477044571999,-0.215977472687259,-0.346821826443332,0.134326419323847,-0.487227275947067,-0.360388331392786,1.19516280667049,0.120725890708155,1.07518821608725,-0.035641172997799,2.33129241782646,0.0367761582603982,0.856634997768958,0.163805615390883,0.299085679123544,0.526300490061599,0.533723411220142,-0.0352506431086072,-0.166666666666667,0.514087897245418,1.09500128371643,0.0046076824396271,0.0128360910214072,-0.0840693222650286,0.153329369416564,0.241359776649836,0.476604938070666,-0.507593271052325,-0.206421904960944,-0.432109499454266,-0.257112147716217,-0.323402305266188,-0.439922311040552,-0.239789486999282
"ETEC_As_3 (GE) - TPM",-0.150093758290808,-0.433318934151327,0.0838110586781959,-0.219736864764216,-0.227394956375793,-0.635454544330325,-0.0412000328801016,-0.255565782143258,-0.120543832486796,-0.347295302641602,-0.460038567624994,-0.420362239987569,-0.377172736964267,-0.213731120210886,-0.306374380484671,-0.0812696956270714,-0.252343663530795,0.354213230527676,-0.338267983189714,0.741082934559496,0.841917886662346,-0.27506891048167,0.771437086567282,0.385958001815226,-0.142544037918665,-0.39957716738099,0.0430401751385224,-0.035372088280172,0.383510711194575,0.666223682893852,0.255325447380812,0.0275629487675551,-0.318884909125696,0.510067363598309,0.839342988380008,-0.317702546405868,-0.10090246697652,0.432136365348375,-0.265440749527587,-0.229978762505881,-0.271485248749264,-0.205624673646666,-0.0592229394648545,1.74941543559562,0.976793018603593,-0.0130450428619807,-0.166666666666667,0.392090512259257,0.736043620443016,-0.271412801929474,0.404377002357462,-0.464937790607633,-0.259424355725511,-0.591278827793668,0.830753049042643,0.0607514455695654,-0.317816623848829,-0.403647723263337,0.246284124320788,-0.28932463027659,-0.251098405553426,0.428935025914752
"ETEC_Bs_1 (GE) - TPM",0.647410830351455,-0.433318934151327,-0.356856270629703,-0.275681559928934,-0.330175229364726,0.152392221564099,-0.462660555091085,-0.44346665191318,-0.372841761579793,-0.347295302641602,-0.460038567624994,-0.0894169819749277,-0.377172736964267,1.02174719728035,-0.306374380484671,-0.292060494801943,-0.014520948166566,-0.334930478387479,-0.338267983189714,1.25562092567883,0.149070520891353,-0.553666475665588,-0.238334840448181,0.111945491569546,-0.134528007354817,-0.436855787151417,-0.00914247823263808,0.0310797671500144,-0.110759346324667,-0.427176421896484,-0.346821826443332,-0.347633072714755,-0.669517674485826,0.531539632003487,-0.397296126671943,-0.214350918958857,1.39188064537863,0.725339623819658,0.520277074142745,-0.0862183629859207,0.757337287408968,-0.401540251202457,-0.136658027238104,-0.61047863558959,-0.526994319022801,-0.296548116891632,-0.166666666666667,0.344578528436847,0.123966765055914,-0.122658975689685,-0.0511850394140211,-0.214109405662602,-0.259424355725511,1.28616012558441,-0.223904320131239,-0.267192527162186,-0.43800546805522,0.87821996146691,-0.352238988194546,-0.323402305266188,-0.439922311040552,-0.0142052383319672
"ETEC_Bs_2 (GE) - TPM",-0.278761084334945,-0.433318934151327,-0.0908505335709794,-0.582938820098026,0.00484037528762412,0.0979384067304031,-0.462660555091085,-0.44346665191318,-0.498122501987937,-0.347295302641602,-0.0875251055187457,-0.420362239987569,-0.1849941523688,-0.348732216342247,-0.306374380484671,-0.292060494801943,-0.560147739086349,-0.334930478387479,0.060195535560991,1.04894263355111,-0.0311296429508694,-0.445653172936289,-0.189036686565957,0.0435625209785049,-0.326582094814539,-0.290987942930423,-0.523951509542036,-0.505571172457891,0.147381632410392,-0.280318234950949,-0.346821826443332,-0.347633072714755,-0.229124390663427,-0.444530020115605,0.435695708951535,-0.214872103490672,-0.343815035698434,-0.131596939521266,-0.545368798963684,-0.0187619401417695,0.642256446844669,-0.165609130029402,-0.106767480556714,-0.61047863558959,-0.340302099784625,-0.362685928013854,-0.166666666666667,-0.190970423473904,0.741711764222105,-0.368137827267032,-0.401340806965201,-0.464937790607633,-0.259424355725511,-0.829451957901252,0.0413067250514219,-0.507593271052325,-0.242125766768299,0.585248114230494,-0.50215471377366,-0.323402305266188,-0.439922311040552,-0.47098988878553
"ETEC_Bs_3 (GE) - TPM",-1.02695314941388,-0.433318934151327,0.241728578176297,0.449954244723903,0.108262791988145,-0.128217590892031,-0.462660555091085,-0.44346665191318,-1.11107025876033,0.421160006319016,-0.460038567624994,-0.142231251399653,-0.377172736964267,-0.348732216342247,-0.306374380484671,-0.292060494801943,0.183615200225218,-0.334930478387479,-0.338267983189714,-0.275349115832109,-0.127524633761256,0.0436721737342149,-0.364045938631692,-0.363685125400033,-0.295358552769299,-0.297462993286311,-0.173279797046056,-0.677913528095384,-0.473086144757977,-0.286837246186727,-0.346821826443332,-0.347633072714755,-0.586706695032262,0.906231723206136,-0.0379924849810042,-0.223868000009744,1.06877977256176,-0.141319185830939,-0.545368798963684,-0.323456884359589,0.51304385851722,0.0225485076887967,-0.38323587021861,0.0186956563639495,-0.217131083475353,-0.320891155815034,-0.166666666666667,-0.591881458387122,-0.245300194170078,0.663381342925157,-0.4780665722241,-0.464937790607633,-0.259424355725511,-0.829451957901252,-0.384473625878321,1.10869570481815,-0.24574328496494,0.698877757371922,-0.273654116081257,-0.323402305266188,0.365558907967789,0.296786432079412
"ETEC_Ctrl_1 (GE) - TPM",1.70143039852034,-0.433318934151327,0.28452553347184,-0.271123124914758,-0.330175229364726,-0.540707103103994,-0.462660555091085,-0.44346665191318,1.00673872898699,-0.347295302641602,-0.460038567624994,-0.420362239987569,-0.377172736964267,-0.348732216342247,-0.306374380484671,-0.292060494801943,-0.45336449129842,-0.334930478387479,-0.338267983189714,-0.583724110825907,0.371186547283198,-0.12210626593437,-0.4269144145914,-0.363685125400033,-0.217345566309092,0.812847776423946,-0.863698282165945,-0.872853970103351,-0.473086144757977,-0.424118296354547,-0.346821826443332,-0.347633072714755,0.153984657182104,-0.906150925866092,0.279235185553018,-0.372070274570495,-0.632736991002641,-0.658032625729604,-0.545368798963684,-0.323456884359589,-0.00646259854610489,-0.66214668279059,0.0854491922379241,-0.61047863558959,-0.54464202959131,-0.367333634399445,-0.166666666666667,-0.591881458387122,1.10075313190447,-0.368137827267032,0.117049522542424,0.213861269115913,-0.259424355725511,0.0906905013416625,-0.515017419747137,0.468275941460066,-0.43800546805522,0.754836305642921,-0.580244468117712,-0.323402305266188,1.505384090559,-0.47098988878553
"ETEC_Ctrl_2 (GE) - TPM",-0.584863310848112,1.36683379871069,2.13765177334817,0.0760849732556179,0.788783151873286,0.154924806228597,-0.462660555091085,-0.44346665191318,0.115040675235005,-0.347295302641602,-0.460038567624994,-0.420362239987569,-0.377172736964267,0.386139387007752,-0.306374380484671,-0.292060494801943,-0.655259730718293,0.415333270806188,-0.338267983189714,0.0866745141633112,-0.479949283026563,-0.806598643027156,-0.48789709801786,-0.363685125400033,-0.479382406179906,-0.641595961409145,-0.302318338623597,0.10606371806162,-0.473086144757977,-0.633306641345938,-0.346821826443332,-0.347633072714755,1.59029792620763,0.635671526231174,0.38398365231204,-0.179032119248192,-0.632736991002641,-0.658032625729604,-0.545368798963684,-0.323456884359589,-0.352746163173736,0.330368226426576,-0.56194397827364,-0.61047863558959,-0.704047006017808,-0.48806749307759,-0.166666666666667,-0.591881458387122,-0.387301862751886,-0.368137827267032,0.670614595562224,-0.1062766182586,-0.259424355725511,-0.829451957901252,-0.713939559027195,-0.507593271052325,-0.110884536019311,0.581398666909835,-0.38462853876024,-0.00947907362300869,-0.439922311040552,2.46822742536254
"ETEC_Ctrl_3 (GE) - TPM",-0.646813520097418,-0.433318934151327,-0.356444133026742,-0.582938820098026,-0.330175229364726,-0.478490447464814,-0.462660555091085,-0.44346665191318,0.182614382816941,-0.347295302641602,0.846017136113271,-0.420362239987569,-0.377172736964267,0.165537602371725,-0.306374380484671,-0.292060494801943,-1.13660037755282,-0.334930478387479,-0.338267983189714,-0.484203426207383,-0.479949283026563,1.21819750497439,-0.1212642209379,-0.363685125400033,-0.536978377554048,-0.641595961409145,-0.265761784108511,-0.227221820445376,-0.473086144757977,-0.633306641345938,-0.346821826443332,-0.347633072714755,0.877557644387303,0.172830421306177,0.57844522079286,-0.701977741595793,-0.632736991002641,-0.196603442497699,0.520982152622627,-0.323456884359589,-1.05855109539506,-0.473300418312915,-0.24276847390016,-0.61047863558959,-0.811240044950005,-0.495600876425324,-0.166666666666667,0.813737926371483,0.502371107638561,0.368785986163184,-0.400045349742529,-0.464937790607633,-0.259424355725511,-0.829451957901252,-0.713939559027195,-0.507593271052325,-0.43800546805522,0.387909705214372,-0.443350665103336,0.285727965421144,-0.439922311040552,0.214640430196462
"ETEC_Li_1 (GE) - TPM",-0.330999250839509,1.28704383512008,1.57387134186877,-0.582938820098026,-0.330175229364726,-0.0887191265729531,-0.462660555091085,-0.44346665191318,-1.24421888170941,-0.347295302641602,-0.460038567624994,-0.420362239987569,-0.377172736964267,-0.348732216342247,-0.306374380484671,-0.292060494801943,1.16342815089066,-0.334930478387479,-0.338267983189714,0.0477516275795642,-0.479949283026563,-0.460959890920532,-0.183982842893713,-0.363685125400033,-0.304526338998607,-0.221921356689247,-0.686286458135238,-0.47366414738248,-0.473086144757977,-0.210782733562116,-0.346821826443332,-0.347633072714755,-0.417738041612937,-0.906150925866092,-0.767620286619816,-0.368800020019212,-0.632736991002641,-0.658032625729604,-0.545368798963684,0.162832546549712,-0.832864783144498,-0.905863515822045,-0.126070280649889,-0.61047863558959,-0.0215074396299613,-0.611110658814091,-0.166666666666667,-0.591881458387122,-1.19651682895671,-0.368137827267032,0.385353177752415,-0.464937790607633,-0.259424355725511,-0.829451957901252,-0.312151592869813,-0.507593271052325,-0.43800546805522,-0.426827010819546,-0.580244468117712,-0.173397855607831,-0.439922311040552,-0.47098988878553
