"","D7S_RS00400","D7S_RS00405","D7S_RS00565","D7S_RS00920","D7S_RS01410","D7S_RS01735","D7S_RS02550","D7S_RS02835","D7S_RS03470","D7S_RS05070","D7S_RS07160","D7S_RS07170","D7S_RS07175","D7S_RS07745","D7S_RS07750","D7S_RS07760","D7S_RS07765","D7S_RS07835","D7S_RS08190","D7S_RS08195","D7S_RS08200","D7S_RS09065","D7S_RS09075","D7S_RS09635","D7S_RS09640","D7S_RS09645","D7S_RS10500","D7S_RS10720","D7S_RS10725","D7S_RS10730","D7S_RS10735"
"AGGA_As_1 (GE) - TPM",-0.743704604585956,-0.767949456814357,-0.358303541509509,1.05525212048791,-0.205089683556355,0.321059025412185,-0.121019372325592,-0.194096885324129,0.600217557628603,-0.710184037616011,-0.162942542992109,0.156891956014262,0.0490110384951974,0.24983840423092,-0.149454437135342,0.442459735835935,0.262006083149178,0.220881522310123,1.62350429141259,1.69080559651053,1.74274182439461,0.363719618465615,0.225538844129242,1.14330795261191,1.09008433076478,1.36661245681667,-0.161723967125716,0.309556281781808,0.468975464909829,0.18637001325651,0.522283737318809
"AGGA_As_2 (GE) - TPM",-0.775411401166613,-0.680614548304917,-0.0838588200751537,0.0465251148160099,-0.311192428081803,0.654323487533702,-0.29647527115471,-0.721473841210938,0.361363247496165,-0.904919846098726,-0.640463139820502,-0.405809853000605,-0.803949281440749,-0.485350653035199,-0.202298022367164,-0.308071300605127,-0.454568478957687,-0.427464118896862,0.207016797191444,0.493610143965184,0.937739016854509,0.774818021648695,0.364093196261478,-0.396814839156923,-0.0364837795481819,-0.115197712677792,-0.102828642150467,0.473099204898456,0.579366879711077,0.37192305812054,0.887520244215104
"AGGA_As_3 (GE) - TPM",-0.141665397408342,-0.313181926140819,-0.120278533767575,1.19041411287395,-0.134570154679431,0.713833266069687,-0.176585634186707,-0.358322100427327,-0.127896852381509,-0.824308730489901,-0.281926492675257,-0.120526300375324,-0.260480386020334,-0.13374016979221,-0.0366425603070779,-0.2095633728033,-0.281023397487132,0.2118388578395,0.535899080113712,0.519933302274204,0.308373620960037,-0.156675225287171,0.39535778847549,-0.363527290499673,0.131079980400788,-0.0296974299281695,-0.113199969622158,1.24862977703162,1.34975415000167,1.22726478243019,1.94851373860327
"AGGA_Bs_1 (GE) - TPM",-0.21350744141204,0.0670814741340511,-0.069652478790732,0.121299132539563,0.675013839872842,0.694733029146669,0.368009276015015,0.512497545382957,1.45834821143943,1.22935713055871,1.0429352268355,2.22434832719249,0.894864926963217,1.59684638129997,3.21527848838024,0.531870029099791,0.550583682603559,1.58185980442815,2.7183431118508,2.61907443705395,1.21797745316939,1.37467642469833,0.626525513966103,3.32489789351682,3.33789993299895,2.27015372450281,1.13265019275575,0.288594706893489,0.481193845879447,0.559366510699627,0.635821827434346
"AGGA_Bs_2 (GE) - TPM",0.173125756739254,0.924896112880544,-0.369552120374273,0.290964953744703,1.32895459754434,1.270103515681,0.420993811872572,0.206076839673847,0.98672931556621,-0.553840937129537,-0.171528280932896,0.281982963699454,-0.119344062050506,0.237575101419331,0.449620236376343,-0.828375000547932,-0.973921454803665,0.311850164733546,0.956730559142746,0.104344944764043,-0.756919742386847,0.275968078040892,0.0618096113047819,0.696571542904677,1.11555727108999,1.74582461817805,-0.67316800515421,0.31455212613441,0.48969644152086,0.377560999553672,0.462166049884351
"AGGA_Bs_3 (GE) - TPM",1.48323585587244,1.61007131782026,0.0139706779506193,0.604919513165145,0.956475165747844,1.37024256423906,-0.39552810418307,-0.884467804996757,0.878321086786018,0.448066674546698,0.706550310789458,1.12505705720875,0.910575602224945,0.959856073686328,0.789466391679337,0.00273508597401716,-0.361314903744381,1.5021987186852,0.444718079153053,0.771662134415736,-0.991848698737002,0.742922829039492,0.386685908647699,1.15048743542666,1.64431495865028,0.868394266627499,-0.149524511652937,0.490427939244956,0.590355900855897,0.722231341237425,0.935762811169014
"AGGA_Ctrl_1 (GE) - TPM",-0.871991181720796,-0.307131801846793,0.189780303370212,-0.581595125592913,0.0640463318965888,0.905967051334126,-0.669738244902528,-0.616628993290785,-0.238908854024428,-1.26207300655323,1.60966302751891,1.63947749317306,1.73303806209851,1.17626690572505,-0.068382826567061,0.714470086805428,1.06369572570821,0.491761927049157,0.766927205963805,0.0188163326617127,1.24171962815511,-0.418973194586173,-0.293029436134849,-0.503439162810369,-0.802633097432309,-0.822999760203389,0.642549403034809,0.109336531724584,-0.495594982648485,0.102233962797188,0.413089966752501
"AGGA_Ctrl_2 (GE) - TPM",-0.954658631396536,-0.370214886968287,0.531887280743055,-0.978316302672112,-0.0522797888658116,-0.455896350206843,-0.576207624620273,-0.857675412450084,0.00394959932579033,-0.496354422699726,-0.31818248166588,-0.133581067994321,-0.0133339929458981,0.130701627547169,0.82790228102098,0.874391335334695,0.87351116628921,0.367457317782396,0.292586882814977,0.136500757131735,-0.319526468728738,-0.524040022246451,-0.303231831381226,-0.701391400321059,-0.813994424396755,-1.10988142238959,-0.100798249707044,-0.0054467035739545,-0.0701349063388894,-0.242846612866618,0.101810414319441
"AGGA_Ctrl_3 (GE) - TPM",-0.465436774990241,-0.139586453668378,0.550668511787367,-0.456063635639142,0.538646263224851,-0.066951829538592,-0.583409384738606,-0.755328291637645,-0.58624354279807,0.187441594811337,0.0960963926060719,0.880436707994211,1.01609024916822,0.195005095971902,0.693116350307093,0.7226126876606,0.698740226746058,0.804372802578132,0.102900903121521,-0.428640254999094,-0.432425908491604,-0.602675163907228,-0.605618385482105,-0.514770131698088,-1.00297160824374,-0.692062964002101,-0.537896362786049,-0.283295410212325,-0.708955412300762,-0.306652357879712,-0.201491102789918
"AGGA_Li_1 (GE) - TPM",0.386745313591256,0.490594413198815,0.72306237425432,-0.0957708634641503,1.30546870858153,-0.447990372675989,0.020623681851256,0.178677238782221,-0.545874870974798,1.25127523212626,0.183823106085482,1.89484478375198,1.60023087638808,0.166304001973404,-0.260989247699148,-0.483542001574719,0.653013348594608,2.16857953846314,-0.812249758038868,-0.928679553316785,-0.789199177028894,-1.21117320011835,-1.32780018946853,-0.794507497322611,-0.914070418685717,-1.108137446214,-0.670013101863739,-0.189464927903284,-0.35529792650786,-0.241977765179661,-0.260925141564724
"AGGA_Li_2 (GE) - TPM",1.08292896046271,1.38022248102985,1.44437422618762,0.550445266235661,-0.00646729505128365,-0.557183214729933,-0.814144681589454,-0.334780381233701,-0.160353297666065,0.904416094960809,0.277828615755579,0.726458716955251,-0.192879287892315,-0.0697473211765773,-0.311572209487649,0.943130264983801,0.463103034529153,0.456307395393606,-0.696659893083852,-0.809427502407668,0.0123557697519964,-0.675381897438815,-0.46108288762893,-0.176825763731886,-0.398647895210651,-0.969290593065116,-0.543660152432398,0.392152544614012,-0.133277074886519,0.718623936054788,0.0789620089867981
"AGGA_Li_3 (GE) - TPM",0.448166348869697,0.945540415241354,1.99091565803664,-0.154276463201826,-0.0850586414498892,-0.208321594615593,0.981352072890307,1.11548550493729,-0.865828436835774,1.45017209705082,0.0637813972192704,0.84325877517387,0.290526893765038,0.0392610729013067,-0.759881812285731,-0.564603105967815,0.689103276576219,0.152471743319772,-0.987615302527108,-0.884429523540814,-0.896205773932363,-0.740540068069708,-0.840063398833642,-0.327204535840182,-0.798529001885197,-0.97570234598234,-0.429905631882455,-0.272623246310599,-0.226263219189485,-0.0875598491987745,-0.399076852709727
"AGGA_Mig_1 (GE) - TPM",-0.573715150685472,-0.654290502811001,-0.367040582862725,-0.715421071482857,-0.456721373622382,-0.313704614569592,-0.0763144214211016,-0.517682465405204,-0.119830201307776,-0.681279780696127,-1.01657373021029,-1.197775063366,-0.945570302257033,-0.108400923880118,-0.827560774666894,-0.157014112133104,-0.659206952878186,-0.857563474839595,0.145310584239016,-0.478194633219351,-0.871231082345216,0.0844519731802868,-0.082297708732462,-0.608715872538876,-0.40568168183688,-0.191562519077921,-1.47906554193979,-0.437437599186503,-0.44254772636736,-0.295323107883211,0.231031082625234
"AGGA_Mig_2 (GE) - TPM",-0.450565233229352,-0.928376570087383,-0.82311996907933,-0.598212996630147,-0.880537914396222,-0.446086598174354,0.120248632369753,-0.750931363074112,-1.02141076545521,-1.77843387457613,-1.05071649107517,-1.29260001605001,-0.977751676539037,-0.12619198132235,-0.401117993831685,-0.593308689695441,-0.763329170908781,-0.503263532105885,-0.160958775168578,-0.391712299404144,-0.712705865416261,-0.485076886472442,-0.16198142850561,-1.25688637454031,-1.01612260184289,-1.15303203169345,-0.958611691499942,-0.44532641154205,-0.379464058318577,-0.223755925528968,-0.192410956644317
"AGGA_Mig_3 (GE) - TPM",-0.147098944719448,-0.670546670146737,-0.714648277371998,-1.01728050508978,-0.623141079593252,-0.328238634860051,-0.205030966329859,-1.09805507987982,-0.291510324109833,-0.911037544873887,-0.97552775659285,-1.13656745608791,-0.812305853753368,-0.0979051355782992,-0.659334285459319,0.00143537186050198,-0.785550343272197,-0.906487686406471,-0.288470277031325,-0.292705513218354,-0.0479122302884503,-0.928015068092125,-0.288759357813595,-0.69967510415626,-0.582423556252139,-0.164883297920343,-1.37466475656688,-0.439009704898063,-0.793813361343203,-0.431136379584805,-0.24391471489196
"AGGA_Nd_1 (GE) - TPM",0.513313745147229,-0.0492296654423689,-1.10987362777941,-0.729784185861067,-1.16833912156078,-1.44523503117407,-0.856355596952987,-0.595373141226192,-1.05489256713281,1.03620645359419,-0.881592643850141,-0.326919645697559,-0.612552730521962,-1.0983458048235,-0.446528096151947,-0.819844637182904,-0.680501623393938,-0.958092508671827,-1.6845019403027,-0.877786195865941,-1.48510540656212,-0.908761004191602,-1.38350185921513,-1.25919948846405,-1.16001126349083,-0.364942439118898,-0.480345152372535,-1.28079902660256,-1.21091578683149,-1.45197603578073,-0.813967448295061
"AGGA_Nd_2 (GE) - TPM",-0.411674215006194,-0.652360255063064,-1.34414469966088,1.06233632410502,-0.955547949687772,-1.36944276285028,-1.0684839078153,-0.257608974076682,-1.55373053121957,-0.792421380833232,-1.14626410038089,-0.147011274858673,-0.0581043438980342,-1.03459230399637,0.17581238715508,-0.936422314448813,-0.593982295666245,-0.801024657897196,-1.6922475487813,-0.91477270908853,-1.3209891872349,-1.11646757459095,-1.23925189293282,-0.973955507208256,-0.398499181718252,1.38836824320001,-0.365616218079887,-1.30161593195782,-1.26581562844267,-1.44647982378301,-0.840556731984473
"AGGA_Nd_3 (GE) - TPM",0.00383052066736088,-0.143097129119768,-1.20162298683269,0.143852858123349,-1.0881383323261,-1.33097038311919,-0.816780005802441,0.24307913316766,-1.41868172022544,-0.151358709428022,-0.890888026467986,0.0766128841639936,-0.455856969527543,-1.01640053361752,-0.677706053417547,-1.10604434739169,-0.556712171981109,-0.426448450625834,-1.6755029165839,-0.940301697629615,-1.2660100800491,-0.852480679209837,-1.22844314705717,-1.08857276351829,-0.994712301087933,0.597521094914408,-0.355636186890279,-1.22815847893642,-1.29824796810994,-1.38961333801482,-0.76226386652407
