"","PA0186","PA0226","PA0257","PA0283","PA0441","PA0443","PA0499","PA0573","PA0691","PA0906","PA1095","PA1096","PA1285","PA1286","PA1313","PA1347","PA1384","PA1418","PA1473","PA1474","PA1679","PA1883","PA1919","PA2064","PA2083","PA2206","PA2334","PA2705","PA2912","PA3003","PA3293","PA3349","PA3351","PA3357","PA3526","PA4080","PA4195","PA4309","PA4326","PA4441","PA4633","PA5115","PA5264","PA5272","PA5378","PA5392","PA5547"
"PSEUDO_As_1 (GE) - TPM",-1.06168939800196,-1.51462534308226,-0.883591793421591,-0.514811261607957,-0.485803334383742,-1.33007944912876,-1.28557086568172,0.0607255666895082,0.459200691308082,-0.244991504143104,-0.706421098334365,-0.529016945568026,-0.174059994035754,-0.224835545543374,-0.454442078289685,-0.449051494358787,0.380345070289861,-0.213095648802984,-0.28877221082433,-0.749999245393862,-0.468475937456213,-0.169028796940898,-0.779716298883527,2.06041089358491,-0.291068742744869,-1.38758976748181,-1.15239411805164,-0.957473160755045,1.26297203753902,1.28788479532456,0.989676786346218,-1.23571751179435,-0.218295686793101,1.78495558147135,-0.674485087398673,-0.860104325196423,-1.22047504838132,-0.834479518327388,-0.691077443795709,0.136504010568051,-1.00271655569629,-0.997285518483815,-0.611577224959432,-0.856011697965495,-1.31318435238705,-1.02288808043538,-0.662893475238843
"PSEUDO_As_2 (GE) - TPM",-1.08764676615375,-0.698717178032734,-1.25342945121271,-0.35900997505224,-1.07435100038717,-0.537016746282112,-1.65980042195556,-0.794339632768982,-1.5721006614684,-1.43686191713337,-0.976881078600257,-0.67830077337502,-0.0817628236746605,-0.487479361861591,-0.509303754838715,-1.08707998010374,0.163091070955581,-0.179375510862319,-0.363002446981246,-0.295523995559282,-0.439996697277736,-1.130619392317,-0.944267357683665,0.788552155230776,-0.826112864466013,-1.33888217459127,-1.44570764310281,-0.756290139525326,1.50802756716684,1.73853712203988,0.807264925030736,-1.04498872090146,-1.53939642829981,2.95456770975271,-0.750635279977089,-0.173373233725241,-1.43160145257178,-0.858566369537911,-0.891311845346971,-0.449294140668746,-1.08962320307893,-0.45025615692376,-1.26808904485039,-0.577556202765566,-1.55864083243867,1.43738891361079,-1.44205978406525
"PSEUDO_As_3 (GE) - TPM",-0.820579882533737,-0.560718968667254,-1.47496668716313,-0.328581138949282,-1.03990592109354,-1.2936461502103,-1.63040647597813,-1.35512079375987,-0.832821594114324,-2.01624259485225,-0.899740850175143,-0.746895983863092,-0.226307216291112,-0.080875213837401,-0.298052475570874,-0.824233627307695,-0.546456316266848,-0.315543126815249,0.012732537450644,-0.583499721174445,-0.502980642008575,-0.671215280438168,-0.985314817589474,1.693559187742,0.0727501563882203,-1.29961401741246,-0.637144813035907,-0.368651008019269,1.22667858926263,2.4232234303444,1.11024906992447,-1.25616118818789,-1.34599798688542,2.04163872656804,-0.880421594853859,-0.42067820838661,-0.831436268282143,-0.816179382256666,-0.725113030518676,-0.908491873244556,-1.03014757310691,-0.877001392629857,-1.03410353574155,-0.859776669076493,-1.43958466374985,-0.671969856024465,-1.51666010714677
"PSEUDO_Bs_1 (GE) - TPM",1.00130330138314,-0.402281012126637,1.68064524428128,1.18260487666031,-0.0171475729719804,0.503857554261245,0.860121873628193,1.10174927319995,-0.479038384725612,0.802009991533317,0.810114031645051,0.466535402089998,0.249535229842397,0.409607732815696,-0.189131372927966,1.52342508110747,1.32626354900831,-0.0150553506120461,0.263186261362537,0.612553868324204,1.43663884230551,-0.0565999947119886,1.40243738927359,-0.548088325003539,0.423140724216664,0.633834496359308,1.74745238656405,1.61989972732015,-0.368559514179072,-0.679487793027631,-0.191691197055695,0.930470266248754,0.480759299330121,-0.550492788873779,1.37194557665265,1.61167135695397,0.845489394457004,0.448324986771142,1.52727178632176,0.946595007654612,0.501223083064816,1.96769173727406,0.388462464336832,0.939818775906887,0.806041307939786,0.0903184392611367,0.726713251895316
"PSEUDO_Bs_2 (GE) - TPM",-0.065049235105324,0.00437501988702584,0.350500407599345,1.72102580581228,-0.100402114537303,0.246695657016677,0.859388830976228,0.735709521236691,-0.717052438911105,0.482718913536511,0.430688997047895,0.300713428899752,0.234346285627621,-0.169317988176254,0.255142092511517,0.143542276296255,0.975909426242499,-0.357146549846358,-0.138508029999225,0.343761625620879,0.982241199992897,-0.330833023938717,0.667662217406711,-0.453826726183266,0.330162969484707,0.871591956731703,0.52915899397117,1.39881962772489,-0.0711647555570818,-0.315989430489791,-1.12663043228932,0.798026976149488,0.400576478087826,-0.374881823672094,0.910896804563322,0.624942240297775,0.288438064552645,0.315062036544119,1.21123532319808,-0.11445170160848,0.304382970194797,0.880473322221949,0.117510441092015,0.587156093759054,0.169677230716333,-0.300478884016126,0.633080026311839
"PSEUDO_Bs_3 (GE) - TPM",-0.0347636712532449,0.214401652876413,-0.0589688588705361,1.14910926099945,0.530651552740315,0.537249423633562,0.436406733489538,0.617310392960335,1.13316459061384,0.595680937410007,0.355913688748109,0.550998604853615,0.712917530404274,0.502982948119135,0.943939031416757,0.129738602871665,0.790810921240848,-0.260164165055452,-0.041412786350174,0.295965564101442,0.261298230523373,0.355177863742826,0.452438624195277,-0.268295931030087,0.161401569797793,1.14921860204525,1.33855633477015,0.971512245256421,-1.04454427378506,0.0973758237659485,-0.240885269837165,0.569664182379707,0.275526483566629,-0.479467543703029,0.627152141239182,0.515346461923192,2.26510095130424,0.338502994512443,1.00785757664534,0.320994220904165,0.149552308266619,1.48488371738799,0.286576803201216,0.533164683482194,1.16417005872851,-1.11534260922854,1.20653109875366
"PSEUDO_Ctrl_1 (GE) - TPM",0.31247677799244,0.529883257809769,0.464483145047212,0.349475517109085,-0.0173216686489056,0.671947665900225,-0.308222776938582,0.187959596298077,0.147446292536638,0.0717227721728836,0.784736583571256,0.416321243131084,-0.411556317642343,-0.516968679760399,-0.228582328977857,0.380932529758268,0.353015652081767,0.0553290498348119,-0.446276818210015,0.204563200565335,0.5067391241407,-0.570294940663266,-0.157354976404401,-0.481646856160805,-0.142860036461953,0.447727479537232,-1.32069297844805,1.0120783506325,-0.700465205229055,-0.0517110769593628,-0.495480105224451,1.09073505666862,0.425562086635425,-0.769181958866779,0.305371884700288,0.505759846362224,-0.0896524021941867,0.309631339692653,0.261474216919007,0.811647742487431,0.27344048992429,1.15513632415961,-0.158244238493914,0.389928693658061,0.540976008493166,0.184744164947777,-0.047653058419913
"PSEUDO_Ctrl_2 (GE) - TPM",0.341587442872026,1.19315446833556,-0.606259321116574,0.684197854108123,0.128430042883784,0.976589780013586,0.435684076139947,0.216934788442376,1.07301144244785,0.164397511224604,0.429382409796271,0.760520507750048,0.93948837562038,0.708659637524999,0.887261133352221,0.180403844735992,0.0642887435460532,0.0203041541749751,0.0223203419408452,0.398527912849912,1.10674355646132,0.246356958365105,0.0832827351416556,-0.346913884994654,-0.170828210556443,1.20966761737462,0.023452029980723,0.696219504643529,-0.0323039201593525,-0.924850725801505,-0.215614459263106,0.939338777794696,0.107493240305899,-0.27387722183183,0.640576521032679,1.34637410622718,0.483335535092672,0.435966693030996,-0.453050087571902,-0.051853218521132,0.895583484910005,1.16166874278618,-0.471568825276294,0.710872143943453,-0.690718970569419,0.0911649198319055,0.300656371968222
"PSEUDO_Ctrl_3 (GE) - TPM",0.0995967822289408,0.181034126131322,0.36871007414334,0.324862176846827,-0.487576325784186,0.201982648197229,0.463353824414171,0.249593490817031,-0.462381769424613,0.661266968290819,0.707128311023454,0.829334591196557,0.478480448596157,0.211137391979704,0.55768608141503,0.589390396681962,0.60949194823544,0.0591690952443153,-0.192382334705376,-0.110059135571804,0.732321809868664,0.761013549127446,-0.305212358273377,-0.720718827592045,0.122589802474707,0.687930510135475,0.307056563667105,0.450962716519174,-0.00331642842342463,-0.234227114161387,-1.23798537372372,1.03189855746749,0.270847538506104,-1.14216115275869,0.357118307203879,0.273983786678587,0.0945591044089953,0.468045547196301,0.00557256134867457,0.665560466839519,0.601802785057282,1.03530184269731,-0.123783871499636,0.336955270386648,0.148383881147316,0.469823783526275,0.285523417132023
"PSEUDO_Li_1 (GE) - TPM",0.421101885091719,1.21019278513859,-0.0975489829306923,-0.505704259380533,-0.37280658409105,1.11239588956037,1.34979691823627,0.137707436355485,0.147595795136283,0.466982762331177,-0.0660300186662084,0.127724724829899,-0.390546415079781,-0.29176626883552,-0.519510764120704,1.10738700461469,0.357693750228879,-0.258353803835577,-0.159478404966959,-0.814869510207746,-0.123713013609355,0.4485202469733,0.902126482130896,-0.0639632284550413,1.17506689818958,1.17160883184993,-0.626998744150252,-0.38955506869087,-0.211663483584874,-0.328276723206911,-0.101856544818719,-0.117723280993133,-0.731072827023286,-0.172939347578838,-0.252682000657985,0.179063006110797,0.469725148734534,-0.388302745042124,0.402001800850727,-0.235056962128701,-0.134435968388428,-0.197073849131464,0.751480396939736,0.20754282782361,0.543770281552302,-0.0718293479440588,1.59598450116955
