"","YPK_0001","YPK_0041","YPK_0057","YPK_0076","YPK_0077","YPK_0078","YPK_0079","YPK_0125","YPK_0126","YPK_0127","YPK_0170","YPK_0356","YPK_0357","YPK_0426","YPK_0469","YPK_0474","YPK_0499","YPK_0500","YPK_0559","YPK_0649","YPK_0699","YPK_0791","YPK_0792","YPK_0839","YPK_0867","YPK_0868","YPK_0869","YPK_0983","YPK_0984","YPK_0986","YPK_0988","YPK_0989","YPK_0990","YPK_0991","YPK_0992","YPK_0993","YPK_0998","YPK_0999","YPK_1001","YPK_1063","YPK_1075","YPK_1105","YPK_1150","YPK_1181","YPK_1253","YPK_1265","YPK_1302","YPK_1303","YPK_1350","YPK_1351","YPK_1364","YPK_1387","YPK_1388","YPK_1389","YPK_1406","YPK_1466","YPK_1502","YPK_1503","YPK_1517","YPK_1534","YPK_1535","YPK_1566","YPK_1598","YPK_1599","YPK_1600","YPK_1601","YPK_1611","YPK_1803","YPK_1843","YPK_1855","YPK_1866","YPK_1940","YPK_1963","YPK_1964","YPK_1994","YPK_2017","YPK_2018","YPK_2065","YPK_2094","YPK_2095","YPK_2163","YPK_2214","YPK_2429","YPK_2447","YPK_2451","YPK_2624","YPK_2661","YPK_2817","YPK_2820","YPK_2866","YPK_2956","YPK_2965","YPK_2966","YPK_2967","YPK_2968","YPK_3036","YPK_3153","YPK_3155","YPK_3156","YPK_3177","YPK_3178","YPK_3179","YPK_3180","YPK_3181","YPK_3182","YPK_3183","YPK_3184","YPK_3187","YPK_3188","YPK_3189","YPK_3252","YPK_3297","YPK_3299","YPK_3300","YPK_3301","YPK_3302","YPK_3303","YPK_3304","YPK_3305","YPK_3404","YPK_3421","YPK_3422","YPK_3579","YPK_3582","YPK_3583","YPK_3617","YPK_3688","YPK_3710","YPK_3761","YPK_3766","YPK_3821","YPK_3825","YPK_3921","YPK_3922","YPK_3923","YPK_4028","YPK_4102","YPK_4144","YPK_4145","YPK_4182","YPK_4229"
"YPSTB_As_1..GE....TPM",0.0977764995519024,-0.575214535885983,-0.507005333343054,-0.50076809605177,-0.473282861385145,-0.615033685259185,-0.565579918311217,-0.388447217898718,-0.785421880033463,-0.744769539301638,-0.186887644417218,-0.3653540487756,-0.400260180975595,-0.378503770327428,-0.821567462125781,-0.741932040887041,-1.06031877945639,-0.862211528148793,-0.634095531978023,-0.26054821864818,-0.370526570627162,0.218235814012861,-0.00197032481798858,1.11516168635549,-0.834008527562123,-0.748134034015423,-0.749668974391674,-1.04030892139518,-0.67810920975103,-0.866183692995443,-1.03135680187007,-0.773409986354545,-0.889372380850649,-0.723000092735523,-0.756169500857591,-0.955375952065026,-0.44933824364712,-0.452328089836632,-0.613396750699441,-0.889159848999742,-0.692481444230037,1.44892176722583,-0.875778319847708,-0.827171875485376,-0.274332433931202,-0.291401092244466,-0.337208522529333,0.0903531702736812,-0.337321848143434,-0.263184073087767,-0.449755045151704,-0.797532874297454,-0.800903002112809,-0.826765050678958,0.41390278018494,-0.514198769146847,-0.110702049425832,-0.497414117060547,-0.506688351575942,-0.0749262475217027,-0.177062006035829,-0.552520799523048,-0.168005928687551,-0.309205270883263,-0.489908246476068,-0.59766685031086,-0.430401585418739,-0.771216068608512,-0.464843095120413,0.521622392651238,-0.128532211964279,-0.345838895520548,-0.57848419502843,-0.392418416806498,-0.408376956047597,-0.447219202207978,-0.646437958132101,-0.625575567790119,0.137305202336352,-0.358293480647298,0.0133194261663623,-0.440577858275776,-0.310564502127886,-0.321150351296808,0.656418792496165,-0.368448819036889,-0.641678526199859,-0.956640455312779,-0.00435644676928003,-1.07865901881874,-0.312914883308256,-0.82385921541587,-0.761842118117357,-0.787431333525362,-0.658920128863327,0.0611843284003687,-0.294327715580976,-0.15668860845973,-0.29085622230791,-0.0283824965689943,-0.129378168452716,-0.133072107326374,-0.0383034233946873,-0.550679954896743,0.402051126318743,-0.658673868980145,-0.162758748156017,-0.492913843144766,0.131788866806626,-0.03618876208781,-0.532856295949205,-0.653361813461854,-0.473235563501556,-0.302393563975578,-0.327480878489725,-0.300757557311807,-0.126521506495348,-0.109400709949498,0.20007559466605,-0.472973733440164,-0.497123075945336,-0.887210284432779,0.200967635236171,-0.322935275967842,-0.00629661512771779,-0.312116935306732,-0.789313850509203,-0.442502160919293,-0.60829166766254,-0.726608697097628,-0.277967114312304,-0.644522213062843,-0.407283908493867,-0.368949119492726,-0.410358843824716,-1.21244758706351,0.628242126865435,-0.639420173204579,-0.875787142454087,-0.412872373162617,0.484703875641201
"YPSTB_As_2..GE....TPM",-0.669255352886518,-0.686728611691799,-0.496768307264244,-0.467729142045723,-0.438495953078614,-0.612164430067492,-0.285069750660641,-0.412347494026709,-0.801945344018601,-0.64639313683364,-0.0601937173548899,-0.399802531065395,-0.393559243775467,-0.396692743560246,-0.385507879468282,-0.741932040887041,-0.877828136153132,-0.747194240692187,-0.630497993694175,-0.246428577907376,-0.342542497123918,0.117639219689046,0.153449150133895,0.0519855412232162,-0.679817471069377,-0.689163432903752,-0.704865381906212,-0.64498026743037,-0.700140622173473,-0.530765127511025,-0.936935060396807,-0.0897850460920624,-0.81335382785943,-0.614040094297848,-0.853747873152941,-0.990585786808053,-0.313257422912485,-0.366099194359651,-0.604800064871302,-0.6697291233823,-0.832526633217827,1.30992754625757,-0.87479008271137,-0.51464148322886,-0.30898545541686,-0.343235193248353,-0.660916389861236,-0.0926883257556133,-0.381192524263895,-0.265161780603746,-0.472969353053262,-0.707915672594259,-0.695977960353419,-0.871534161787339,0.549698754328738,-0.680670057240701,-0.764088716601375,-0.473179722905127,-1.11167792649989,-0.128287059571949,-0.24763525641875,-0.311419553848926,-0.187215336168092,-0.0895198684499639,-0.35922357680992,-0.523975050269667,-0.568312899132146,-0.478536494145601,-0.440521557817534,0.112357370631886,-0.143244639301611,-0.428520833170913,-0.48511226174731,-0.131171883703733,-0.420027933063322,-0.347495512125767,-0.523464832391713,-0.582323224915409,0.501175344325044,-0.0259333287909839,-0.0556085195982701,-0.58283852752002,-0.395284354522348,-0.390155419874677,0.485285249972242,-0.447099934833133,-0.646197700273878,-0.373720094153906,0.497260151486256,-0.877980475546336,-0.440686441811329,-0.789812549533618,-0.727379281090811,-0.724060069531616,-0.57763699481485,-0.127000289637684,-0.532307707208651,-0.121057071468647,-0.298563365810013,0.322085211207094,0.136408836701452,-0.107188720616149,0.335321803179805,-0.342670447863418,-0.045556233000466,-0.505160369167977,-0.193271730433003,-0.393349958316102,0.189549397985425,-0.163643463842747,0.16668303093624,-0.621740053212235,-0.329881528153094,-0.253946477523675,-0.411272158691106,-0.274661055401306,-0.0577321966376991,-0.120751672350839,0.100681987215341,-0.50157133705541,-0.454178088638072,-0.899443346156414,0.196693051208716,-0.383838257242609,-0.19880965962446,-0.479797161388477,-0.358752853913208,-0.533694514842443,-0.435545663499053,-0.665055034333327,-0.54310387171561,-0.486970293617997,-0.381060919832814,-0.376749019524502,-0.415256609540106,-1.09951966362304,0.0140557489712581,-0.660140941438447,-0.698630821769023,-0.537034027068648,0.127899506985785
"YPSTB_As_3..GE....TPM",0.0169947015713512,-0.224462128342435,-0.570124635413737,-0.454226986248708,-0.456292963490371,-0.512034297353874,-0.113522284688362,-0.289390049550374,-0.455729995712382,-0.634923629097833,0.155401129601818,-0.297315093576931,-0.366888999744184,-0.392587398528525,-0.346161801715657,0.0573295088554942,-0.499974336760191,-0.796710297687028,-0.414660415943004,-0.231890746912511,-0.410227614677199,0.364006471180365,0.264606248601582,0.778681406618253,-0.543414746424409,-0.63449070038797,-0.626071492715519,-0.704522506352173,0.0141840123328523,-0.367842022083984,-0.791957985118246,-0.366223836121184,-0.593118605814437,-0.213736508102474,-0.603455951995584,-0.831973635697617,-0.250567661024216,-0.329239793455755,-0.59268449713561,-0.880541889668739,-0.734715899669705,1.45796291720801,-0.654917119565703,-0.622737598941135,-0.291558827571227,-0.327287927823502,-0.637299915185742,-0.208214857678643,-0.306040770481925,-0.245111835609602,-0.496260337852783,-0.786914473179647,-0.764271061513814,-0.956367073459085,1.52412228910247,-0.417126991514501,-0.86360909497869,0.0660222481784817,-0.47126223368616,-0.0482888503864725,-0.182836654206202,-0.363472970561081,0.049688234436785,0.312509054602804,-0.27238702772491,-0.53503548050924,-0.557563580327404,-0.653195147285492,-0.434724136411568,0.0329175262908004,-0.393627595438356,-0.367862947823954,-0.476238710031001,0.0753645318356952,0.117585440545024,-0.343692437412384,-0.471726672107267,-0.375861932697652,0.196630255863955,0.171733169327121,-0.0497201754632462,-0.728665080136209,-0.387277339085993,-0.350513287912636,0.531649971890738,-0.497752180920961,0.0886402801980438,-0.261015334109512,-0.0778791396362354,-0.367408743687952,-0.139836054828296,-0.770734686449715,-0.724358534533293,-0.739928688495841,-0.497772649791937,0.292983101810886,-0.00897287325135752,-0.109230335575029,-0.277051377551728,-0.0191470096875758,-0.20726872399344,-0.0960204436859681,-0.397349986364257,-0.795415452212066,-0.104610538531708,-0.821444577305123,-0.567019472069206,-0.430312540645279,-0.205080901299036,-0.0436766229796231,-0.261364009499313,-0.515499615299404,-0.341203934267313,-0.246251245625982,-0.227184435691294,-0.212282361429564,-0.227916470370932,-0.0524257155340726,0.162173848497599,-0.366041425303227,-0.430156510765835,-0.788821367473529,-0.0818620023736406,-0.352022678317261,-0.125134275582445,-0.38563658099491,0.283694563764931,-0.412317416135442,-0.321255224041388,-0.697520159117102,-0.331514628199944,-0.471832545957522,-0.357156082402903,-0.418482102297804,-0.384801536193274,-0.794623242495706,0.528370940355826,-0.570295829975578,-0.597746945538201,-0.275395651730496,-0.169678798103091
"YPSTB_Bs_1..GE....TPM",-0.205188438156392,0.460337505363538,-0.679906834196716,-0.460742702054376,-0.449691281610684,-0.316306210597865,-0.779579404016182,-0.524802250556332,-0.183857590255709,-0.489829262608629,0.153247987163048,-0.3358947961085,-0.258128805488353,-0.308282720349469,0.272210796216527,-0.741932040887041,-0.0409698224934606,-0.470624296000387,-0.564535372651661,-0.33344295209046,-0.568248922724366,-0.50162391664825,-0.499403057001519,0.518018140189801,-0.0847923645324128,-0.353416874894431,-0.514570223434061,-0.705211315526284,-0.25345533895814,-0.466813153034867,-0.546352838426861,-0.605984558600608,-0.501950327583742,-0.173917245945132,-0.3928002374795,-0.119318849891579,-0.491546054217127,-0.430533149112227,-0.599315470466581,-0.664379446481741,-0.553583386022495,-0.42112340954157,-0.722714435091215,-0.15983131772926,-0.259938230184018,-0.136592732035188,-0.503330660231895,-0.428461186290957,-0.387706653669526,-0.303448008736795,-0.487262678713155,1.8093574204419,1.59173441800618,1.17686888993478,0.515277988382094,-0.36459597083373,0.346691394894816,1.16375600119884,0.414820214295244,-0.0698805346121146,-0.283190221560718,0.934703876810094,-0.61720834295199,-0.41432730527009,-0.522217231405807,-0.618377668401589,-0.392422111746511,-0.345477085377922,-0.36998309400804,-0.479531443480903,-0.0978007520299718,-0.275378784590213,-0.307103611291934,-0.433406470472077,-0.811411302577796,-0.47685531766687,-0.519129621828521,-0.536966872021417,-0.575451163641371,-0.6029657172226,-1.26536196200332,-0.561688459946362,-0.27468435615596,-0.239499914938261,-0.960750283797999,-0.461801631379644,-0.206156095367976,1.01212023584329,0.790342804578365,-0.519436055222459,-0.342231552404519,0.0632369347586729,0.112791773729195,-0.0440076520490151,0.0869054506659107,-0.564100384647543,-0.282710520882523,-0.130511288817079,-0.263195940175135,-0.480813794980447,-0.366548652544189,-0.657387307651541,-0.710554332556011,-0.866942689926313,-0.637302999533261,-0.515128967081976,-0.439054271305949,-0.604750294643243,-0.245859370055049,0.156791409826726,-0.191842679235461,-0.724568111941347,-0.0486176301418748,-0.190687450772515,-0.168548635410084,-0.198833429842088,-0.13797457309367,-0.034483278238835,-0.073406774066283,-0.0499311250982152,-0.490543951797027,-0.70892552068479,-0.132279096833332,-0.11350414679173,-0.183332936955689,0.153868074610404,0.0933357240239626,-0.816351649751708,-0.516876899925139,-0.785408992382841,-0.611439575693107,-0.277893865983898,-0.403100390428757,-0.419413411882355,-0.380040022381305,-0.564815989982919,0.129376302721915,-0.0684919489169364,-0.209346855628414,-0.266359439482603,-0.169649774816172
"YPSTB_Bs_2..GE....TPM",0.108959002224226,0.732362529659447,-0.670578867380526,-0.482298408787581,-0.481849545854169,-0.362780384549987,-0.49949958909272,-0.373128510693985,-0.417363581734154,-0.549986248813872,-0.0523333960502009,-0.303569471067856,-0.269754925407011,-0.320358056117257,0.322072962557521,-0.741932040887041,-0.21183879088835,-0.353507215852596,-0.672146736226777,-0.329402519696263,-0.673762694272991,-0.536015641040243,-0.665512432640353,1.7244861897989,-0.188283379189313,-0.321825109542394,-0.436935967706921,-0.481964455261532,-0.37686634985524,-0.104151847543667,-0.587087595893318,-0.317306650130432,-0.255833892906624,-0.301189741796524,-0.488724482839268,-0.665174380888379,-0.530114887975552,-0.50001152815985,-0.591842006830385,-0.553886899192889,-0.439927085553914,-0.553854641008806,-0.486011729747539,0.193274476185257,-0.216148993885759,-0.22059933579553,-0.616700761758848,-0.521439075516102,-0.245602459092209,-0.425512741718917,-0.427897559155451,1.44271849020971,1.53574487324379,0.861252997216503,0.0117888912173922,-0.239731951966166,0.812172278296043,-0.297276909916525,0.657239144806326,-0.177038371670446,-0.232135591041296,0.932502739186342,-0.574750365223173,-0.566753834161519,-0.569809515579842,-0.609751979951617,-0.409880687488309,-0.779146483881412,-0.410662323263706,-0.415308111113367,-0.0194787200872443,-0.162474917934574,-0.354357450706881,-0.459303452230447,-0.640123229728381,-0.484613184385578,-0.585545108391614,-0.93523833120093,-0.545474995480863,-0.604670998753685,-0.752812697744902,-0.470597854145075,-0.279127463342501,-0.341697673610241,-0.451382597509436,-0.292390154053307,-0.426827709207294,-0.766995715236811,-0.846636795204513,-0.139654442115253,-0.164236987358347,-0.0129058619554143,0.0124158623204496,-0.0112929845789579,0.0822856514501396,-0.575483387193845,-0.245053582811501,-0.380259031950522,-0.147638960651374,0.0663450368062489,-0.322129363632909,-0.478811105188507,-0.21760455100837,-0.846063724976002,-0.523594172897734,-0.352591509596158,-0.322453180655048,-0.695551336124996,-0.161118790759507,-0.159139171648905,1.2784771250941,-0.576154826403239,-0.272374586651928,-0.130716589300595,-0.20237728831878,-0.195218383025051,-0.0546363899408295,-0.0313852295871888,-0.173107124097837,-0.104980975287399,-0.454427685525744,-0.817747777681708,-0.286027059280665,-0.162023757715696,-0.169655741008442,-0.463378788848718,-0.570163173018696,-0.974082500707146,-0.451124556684423,-0.598009182954843,-0.284714239600828,-0.233422348718056,-0.39418821842625,-0.424505310054675,-0.403868579617439,-0.575736286792893,0.57029405926621,-0.00267123754558217,-0.138922763295306,-0.276291134690624,-0.166119951536913
"YPSTB_Bs_3..GE....TPM",-0.347050576702645,0.791243054807661,-0.684368776440618,-0.465154324234749,-0.461575056600039,-0.29645561597461,-0.749187639648969,-0.48838652632986,-0.360466027552309,-0.563744295226735,-0.113830859716412,-0.313464998514337,-0.296920739427246,-0.318557601238957,0.315724733731201,-0.741932040887041,-0.14201077932706,-0.640929409686881,-0.553285960110354,-0.320224767752279,-0.626255574109539,-0.589604626559565,-0.634670045535227,1.11539944595836,-0.156080650061086,-0.301311141703294,-0.49254532855019,-0.5857259628526,-0.428133017917624,-0.355521039219189,-0.51510664368933,-0.390195744847557,-0.289828974945351,-0.61509708224837,-0.747626448642832,-0.290009813814129,-0.565389584243591,-0.479205080312424,-0.581273420718833,-0.601860716894217,-0.511646089784225,-0.545806379303365,-0.58693581754187,0.274108313267257,-0.187937018038798,-0.172581517271052,-0.587324699795412,-0.419431018030145,-0.211162640255367,-0.358768434591536,-0.473921843834936,1.71196964388723,1.7935167652547,1.10784125069187,0.753051497528009,-0.334722119702767,0.603957370870346,1.2929289980587,0.327315187889121,-0.114896438294187,-0.26406491327896,0.783373284093267,-0.50125549691276,-0.448592699315034,-0.509511184477499,-0.604703016949675,-0.563380891596709,-0.682460342191667,-0.421888740961145,-0.44357386547063,-0.226196468745572,-0.320763632395019,-0.34883761311239,-0.426592452027791,-0.939794166870458,-0.468894894887508,-0.554828601202169,-0.690841431554831,-0.471237242087027,-0.643454345698829,-1.13530965662203,-0.326242868524545,-0.276255628626486,-0.287492453024292,-0.714711895791002,-0.475967268659438,-0.129678840094945,-0.386231122904932,-0.846636795204513,-0.534845175477569,-0.236655915590586,0.00790891857733176,0.049889527501708,-0.0539157848350295,0.0930802582190318,-0.327380247581966,-0.281398695094082,-0.164869888430521,-0.17837983333352,-0.187694213335922,-0.22910584826403,-0.518411412999849,-0.394835600094522,-0.907603772994502,-0.581541865113128,-0.38769416737742,-0.589774896524256,-0.49484556357398,-0.319238865359656,0.029779185511316,-0.65790497374973,-0.581885571940487,-0.186012998951103,-0.285444264160226,-0.216797357488887,-0.217709592138009,-0.0781535062923365,-0.108335230421526,-0.133597246802954,-0.126486980491663,-0.499110751310538,-0.759278797786293,0.131243443604955,-0.123144244400443,-0.187412682345516,-0.0861594577706449,0.147836003855853,-0.794919768612903,-0.481979678073193,-0.763071905957355,-0.311943703660109,-0.259827069864015,-0.389502596195716,-0.415328699894102,-0.382772505925062,-0.527700838063575,0.302706826983853,-0.0641478955755833,-0.0901616523459,-0.285517600852251,-0.190100034436238
"YPSTB_Ctrl_1..GE....TPM",-0.281264407883604,-0.230925395280954,-0.657555307148041,-0.476743899931305,-0.492236417097604,-0.687449037489436,-0.883048589467894,-0.519361996213181,-0.0222767467456108,-0.539365762469605,-0.749190340218607,-0.372389701854667,-0.592804778190694,-0.485262409208545,-0.388877072148067,1.41807748772146,-0.85177816319248,-0.550500743360766,-0.650583977122412,-0.439871130642128,-0.338754588504353,-0.435488688116558,-0.0472762895495714,0.38280321170334,-0.584560515876434,-0.287637700447568,-0.550440882971016,-0.99323943699498,-0.922462080406558,-0.656354206845133,-0.766000793101986,-0.719862385017313,-0.817827602495156,-0.747605379971622,-0.346436909399373,-0.382099057970979,-0.451199051714975,-0.534854676621381,-0.605340283196003,-0.520009413642195,-0.477783005248485,0.138526380799377,-0.734026006411696,-0.658488051345584,-0.380193803500544,-0.34433133107481,-0.761870550693145,-0.606015367379977,-0.670148759751641,-0.324554867434444,-0.446047505679668,0.526364177180858,0.884377995959383,0.325416465061463,-0.578604337753074,-0.475493225617945,0.637802005772994,-0.307661137529919,-0.621122131123073,-0.0403485150472317,-0.222194587915769,-0.488511294783626,-0.453437510925625,-0.433650589574486,-0.476244989676561,-0.605089459398484,-0.537781296909366,-0.452348433619399,-0.443112947458527,-0.248216954291606,0.287951731866408,-0.340460717677496,-0.427807102760001,-0.245804542880636,-0.266946514925129,-0.472975989228236,-0.600353546105175,-0.457853589122341,-0.471256510785107,-0.419950410187303,-0.482176365294945,-0.675975324164373,-0.430900348885656,-0.482773254613598,-0.524672497089749,-0.382989533357001,0.254964143278473,-0.0366951141169586,-0.846636795204513,-0.810502352601852,0.282874077378614,-0.21957443571502,-0.225065393647497,-0.390291787935793,-0.347388070163576,-0.375891595233337,-0.204118132329071,-0.348998266562238,-0.304172086614467,-0.149933884904303,-0.170593422986761,-0.548023012645685,-0.168816316984287,-0.636782058047922,-0.33890921542647,-0.27344038212398,-0.118974658687689,-0.497550340735136,-0.527352083511637,0.308100869159894,-0.35078390411982,-0.517807120428145,-0.192089493945562,-0.245673078592705,-0.191601069847119,-0.126554436463962,-0.301646395603764,-0.212819925520464,-0.229000048300418,-0.32956118292005,-0.543871159840392,-0.92376137795461,-1.02135809381434,-0.445143563247896,-0.370320639096091,-0.314162042339227,-0.276434043684932,-0.671278835527185,-0.559993078744358,-0.671216378871,-0.783035395194817,-0.163376220168916,-0.43119031607412,-0.383115650003141,-0.422035611629722,-0.868814130680167,-0.789081438374749,-0.484098018121694,-0.448211881547145,-0.466819510202892,0.129929382190045
"YPSTB_Ctrl_2..GE....TPM",-0.526353700258282,-0.727667016284755,-0.666181435554229,-0.495207757335577,-0.484231688442008,-0.761508580961801,-0.89456155834434,-0.46917985415812,-0.462111490767206,-0.726480343224584,-0.928006434001095,-0.51699861220443,-0.551929701384156,-0.511607010223948,-0.132671378880095,-0.405492925213422,-1.27933592397434,-0.681978817087111,-0.863866149531926,-0.495517054945625,-0.376222901602509,-0.837743310290761,-0.419580570607129,-0.712719322998583,-0.646107200960181,-0.39311915199342,-0.583557572967683,-0.844366140947902,-0.655253610012718,-1.05427746059888,-0.733919355388445,-0.802420463644984,-0.811541347633151,-0.643356969136815,-0.585831668452999,-0.774371081807783,-0.487949713567312,-0.596965233908755,-0.580182130321081,-0.44819057739789,-0.00077708614692067,0.364269559226818,-0.658079035442561,-0.722661284286205,-0.396188613801861,-0.371731863124241,-0.757391726156957,-0.572129048167267,-0.605396198475895,-0.393083677289342,-0.446990483367079,0.727333474971809,0.45020971006799,0.640680117432119,-0.841516297937625,-0.439430318998899,0.870566150854217,0.0104786295926013,-1.01790944377377,-0.205462845176566,-0.274803682382819,-0.619503030260436,-0.391646075391174,-0.590864177524069,-0.59858924502908,-0.596839558709215,-0.624060507280353,-0.352510208881036,-0.428740067808011,-0.435754653548735,0.218345240959958,-0.770155772265593,-0.490010342321296,-0.55915622819573,-0.996533921893584,-0.481195658756929,-0.504059842041848,-0.637812049873608,-0.211238235394198,-0.611278824408803,-0.439752064077956,-0.861353711368749,-0.471692605325178,-0.585909126262201,-0.435329708944506,-0.603887834150617,-0.056150544414958,-1.02672220446421,-0.846636795204513,-1.02280640779311,-0.249818501834244,-0.175109416847147,-0.219462833939921,-0.327536849315704,-0.412334601536901,-0.259638602436591,-0.808338211140198,-0.239258618768272,-0.347141051000633,-0.24615424311496,-0.548631938749174,-0.636455532204486,-0.490745978582404,-1.07092709091747,-0.409181772915589,-0.633048899302484,-0.806998389816661,-0.661091679883604,-0.68672574455021,0.0501379248392874,-0.711163289565225,-0.708045810458137,-0.148469571481456,-0.0948656741880794,-0.306554154746633,-0.236224452568079,-0.0474072898422345,-0.269405339674991,-0.137826225205485,-0.471205205274246,-0.515597760926202,-0.964783489171698,-0.377826534725435,-0.400533915991505,-0.0988250864826084,-0.551425288317723,-0.738798715041395,-0.826533543855351,-0.59662760917239,-0.879334894273909,-0.689936918386738,-0.222080027711923,-0.445908379949687,-0.407606467420427,-0.438713226430551,-1.0049670097479,-0.493566969422595,-0.595464767070723,-0.729872679283358,-0.448736123482621,0.213857721639783
"YPSTB_Ctrl_3..GE....TPM",-0.646998398689252,-0.578411889547227,-0.553940760051837,-0.48882405824265,-0.467485381696754,-0.693717904314142,-0.664216280359348,-0.327181089770266,-0.321108793318105,-0.753725399240971,-0.84223909628879,-0.653112365841781,-0.615169990381598,-0.589647136725459,-0.456713833641381,-0.741932040887041,-1.1865573457438,-0.822438306872757,-0.823675789564273,-0.438874116490284,-0.531992971747287,-0.662093447314713,-0.641714524606195,0.490193988083785,-0.674063633022053,-0.353541942051457,-0.652946252165416,-0.396764030686779,-0.690108105691642,-0.585023326371422,-0.801908277824054,-0.772908756247723,-0.645882550527961,-0.735351899602862,-0.451352050757168,-0.632093678279465,-0.582286962536977,-0.624557163543537,-0.573817681301411,-0.124745764040262,-0.176221785816186,0.0541718354674703,-0.455974796296344,-0.794471664527379,-0.329663646417757,-0.388397509948623,-0.693445047620041,-0.566498730489453,-0.417404805892856,-0.322495964481566,-0.522200712330491,-0.0609056468612628,-0.244688352544324,0.360943075748908,-0.685771239678639,-0.268792191231599,-0.435609528440717,-0.333589194798812,-0.795960851707679,-0.20648251898343,-0.260122642909048,-0.753051630433601,-0.25616389849012,-0.54997562782736,-0.568787509168216,-0.575138115791283,-0.49294501059057,-0.361707079645941,-0.394079685013668,-0.316200530721792,0.206251113487981,-0.437766841903306,-0.526060222301278,-0.256897878505919,-0.997355713407299,-0.474407342450213,-0.562124411279147,-0.288974986334743,-0.130373999956121,-0.295276373599453,-0.74406373874549,-0.48080690362984,-0.501217377864606,-0.53752591282173,-0.371407270914491,-0.175361563747125,0.423223752269128,-1.11730772125681,-0.846636795204513,-1.03588864507732,0.0142896558957792,-0.247603364304222,-0.31335813515727,-0.36837558382876,-0.463146186170761,-0.425401685997466,0.133983777544746,-0.44991659881501,-0.261891493674081,-0.250499158832837,-0.52916308292563,-0.575105373603583,-0.654431148650824,-0.750523958130057,-0.820192570232702,-0.310883212975051,-0.170279200500287,-0.559265649261867,-0.448394911272074,-0.220353879732771,-1.68059487506702,-0.174598084832078,-0.236971363537595,-0.287620240574054,-0.423971745042454,-0.591754695088697,-0.417468940803289,-0.385441734908533,-0.331614322140629,-0.478187090726184,-0.474061562461704,-1.01626210564104,-0.518986481368542,-0.413397440700958,-0.270309700062274,-0.442003709122117,-0.384406509640537,-0.820007746726144,-0.587095877714242,-0.809834214662908,-0.384914519759136,-0.245297685454813,-0.410477306340708,-0.4286092637197,-0.42530727396908,-1.04114294824556,0.19033299446276,-0.539850770273739,-0.618736490985414,-0.44600468930582,-0.191176020565983
"YPSTB_Li_1..GE....TPM",0.596858088140717,0.352840261951652,-0.528918019624664,-0.461096052296594,-0.44156575096284,-0.330811020235201,-0.655566010083708,-0.272739705729188,0.181035766995298,0.0602303776668723,0.55187401066482,-0.425858922421943,-0.262035911339527,-0.323938017300181,0.478279180149025,-0.741932040887041,1.34762917743897,0.90144983361901,0.20862000757768,-0.287095676409833,-0.584635424219099,0.272873094019479,0.311150970943061,-0.394694500729964,0.524125811185833,0.115928627205597,0.0600669743630948,0.621405947143909,0.658491247278189,-0.301236768391147,0.288470646638868,-0.376803609495269,0.0741726283051379,0.373480902215638,0.740532943085934,0.378098264054968,-0.492576223342051,-0.423044013652362,-0.395060862428235,1.19365945568815,1.55649984120898,-0.80344779185781,0.33857119515814,0.00462111187635635,-0.336076598740151,0.254667668573351,-0.693791818940781,-0.806143924297467,-0.221836226862689,-0.369186173696758,0.18722595471803,-0.815070163157278,-0.73739684419413,-0.770688803797967,-0.507599914749002,0.14674513586894,1.05425067315069,1.84705256274923,0.598285658360822,-0.482621250304752,-0.404642339972628,-0.221687249312277,-0.973183897956522,-0.935621769557852,-0.689984354607619,-0.422747413026508,-0.591845380136599,-0.496098031585601,-0.402457594813685,0.343436467616684,-0.394338876415439,0.842417363969037,-0.261163479466747,-0.250183138895605,0.260224777066024,-0.36400724692263,-0.368864753077946,-0.807397678332498,-1.05069153894582,-1.12664084318051,0.241439474101257,0.273076162165156,-0.238977695506105,-0.415598973011237,-0.793018336242877,2.18930963265213,0.834578559868748,-0.211828750692975,-0.846636795204513,0.932471970365023,-0.402345615726852,-0.468218732318421,-0.413963381593855,-0.503786919115635,-0.732698674308181,-0.56325450283871,1.60753607700038,-0.39220236577696,-0.430464140055259,0.146442753171375,-0.106628177488146,0.0371846359235065,-0.415170802270373,0.218929143353045,-0.082795030945953,-0.244305923553649,0.280058998154268,0.111878174203498,0.476338052760878,-0.111421672455577,-0.254196282613173,-0.452683527956901,-0.30035303352439,-0.13023716740414,-0.0963274438106925,-0.176592845650112,-0.188968844800313,-0.242729096964834,0.0172198611933709,-0.348172990965378,0.0483547723208284,-0.101650373721467,0.5831815432504,-0.454500083333157,-0.372231102486905,0.616317206126322,-0.651128313991622,-0.171575565395629,-0.470718296499641,-0.225576385610321,0.755221554144261,-0.00225570794440432,-0.416643619070851,-0.449589842636348,-0.377418306362904,1.1610388674129,0.630965307660085,0.328916251669645,0.612939771818384,-0.0934460046198167,-1.6824457798647
