"","ABUW_RS01825","ABUW_RS02365","ABUW_RS03695","ABUW_RS05280","ABUW_RS05290","ABUW_RS06065","ABUW_RS19740","ABUW_RS06265","ABUW_RS07720","ABUW_RS09715","ABUW_RS09765","ABUW_RS09865","ABUW_RS10870","ABUW_RS10980","ABUW_RS11615","ABUW_RS12115","ABUW_RS12150","ABUW_RS12215","ABUW_RS12350","ABUW_RS12745","ABUW_RS13750","ABUW_RS17360","ABUW_RS19035","ABUW_RS19125","ABUW_RS19130","ABUW_RS19160","ABUW_RS19220","ABUW_RS19235","ABUW_RS19240","ABUW_RS19340","ABUW_RS19345","ABUW_RS19350","ABUW_RS19355","ABUW_RS19360","ABUW_RS19635"
"ACIB_As_1 (GE) - TPM",0.898710392679629,0.811408542839878,-0.502342237146173,0.628515886349568,1.48135948255134,0.328745824525145,-0.456490162146836,0.514156742133643,1.21351122079995,0.274249161904587,-0.161480284444775,0.697154983208969,0.586726990952373,0.654581256464872,1.25959357534704,0.699489407896857,1.07148153621175,1.34262049836851,0.318813944589947,1.04250599194837,1.46385884937577,0.142294577065894,-0.21954280815273,0.33407493943808,0.819166425312657,0.601722646901525,0.471629563330089,0.101666142881639,1.15562899849728,0.442439149387865,0.864616536481407,0.523458619978725,0.245768140751541,0.0973365067443513,0.389933738908298
"ACIB_As_2 (GE) - TPM",2.4406167578419,0.845888582900049,0.157775892693359,0.277445751141876,0.513673911983242,0.184474887789409,1.2094488352882,-0.226903253099374,0.321698432518886,0.00974807570466407,-0.302601128932026,0.223176922692771,0.653141917789597,1.10290125221802,1.43786054889275,0.493696051676086,0.967904708013052,0.504374582626979,-0.12840720760772,0.200715746101578,1.12042198457649,0.611253721976813,0.469127458298255,1.61413882749737,0.635773393377275,0.617846897472168,1.40090904385337,1.5102039078326,1.0958650756042,1.48604914485363,0.929858664949117,0.915888882597485,0.799093790089719,0.450291195067627,0.537173550819194
"ACIB_As_3 (GE) - TPM",2.88506211853768,1.05396539356842,0.930356163535455,0.37447038630808,1.28190071636663,0.444797296648995,0.803557642498866,1.43382496578722,0.480406217688243,1.50429330375846,0.555654657064936,1.06476014067663,0.930169245879344,0.519615003561998,1.48913159012606,0.0220334693342692,0.242931168986986,1.96299535993513,-0.0804485597909871,1.39447436226655,1.32165166197335,0.982382535437375,1.11172662812702,1.98344791916522,0.601173381723611,0.652932580626304,2.40219360769755,3.12272074780115,1.09118327091571,3.28152357775921,0.922375259355677,0.976927291900461,0.268063702343303,0.0930598755275432,0.651123381284424
"ACIB_Bs_1 (GE) - TPM",1.08305468586928,-0.00322435718975032,-0.103774051084714,-0.345430772530804,-0.742422907074457,-0.31101693373421,-0.236173235171787,-0.695302363419726,0.0594553410164122,-1.21985087643342,-0.536261012573971,-0.639620826421369,-0.397398239601699,-0.501837750992996,-0.484909041758966,-0.208460920704064,0.432595788409878,-0.748151429304,-0.328956839103516,-0.339963514555664,-0.13267626685851,1.05185371650215,1.60203488151328,-0.587121098950936,-0.532907809270543,-0.768391907488606,-0.608877612694829,-0.514310728976956,-0.596825605241992,-0.506633779935734,-0.682703580539743,-0.677146270087694,-0.680254517833502,-0.709422838064697,0.842404162530807
"ACIB_Bs_2 (GE) - TPM",0.336719731098888,-0.310160879806524,-1.21219637631029,-0.709600356664851,-0.131640036114027,-0.44466388805517,-0.629122836006474,-0.695302363419726,-0.278437532411169,-0.756960916539444,-0.46512603336522,-0.0782578819350121,-0.982395829010602,-0.0511439063960071,-0.615212668873394,-0.0546502714237249,0.0777153407498634,-0.748151429304,-0.276764157982568,-1.30609509628393,-0.223289527997118,0.644015559627884,-0.732311422058336,-0.551961594029181,-0.615246439928775,-0.768391907488606,-0.704564556688465,-0.514310728976956,-0.660168930004101,-0.506633779935734,-0.760099268172246,-0.663139691194046,-0.680254517833502,-0.692738686355712,0.274441986794493
"ACIB_Bs_3 (GE) - TPM",0.593252124155202,-0.437488046407439,1.15949534794062,-0.820882329923135,0.208453163124157,-0.526812212194445,-0.629122836006474,-0.695302363419726,1.32408144076357,0.280468549682264,-0.646945296322506,-0.241820648406425,-0.404040072971391,0.193285257831439,0.391131079811136,-0.315251403531487,0.135827915691496,-0.748151429304,0.00528987997204029,-0.889353699634071,-0.634132592117888,0.969179416072857,-0.732311422058336,-0.627465344258739,-0.342773115195526,-0.768391907488606,-0.640483336889878,-0.221667695748018,-0.608937970393086,-0.506633779935734,-0.306189788697029,-0.6018526922753,-0.680254517833502,-0.74297973199171,0.677173598270444
"ACIB_Ctrl_1 (GE) - TPM",-0.896612825524538,-0.711237506095429,0.213306219270018,-0.0520265860631906,-0.596538765178091,-0.0325908916097052,-0.629122836006474,-0.695302363419726,-0.352787872568493,-0.761035254935477,-1.11510011170536,-0.0888686992701837,0.0588883256181606,-0.178977709241394,-0.288667891378316,0.70665509551723,-0.0346890564358144,0.134659858711954,-1.04522851655708,-0.159094573778969,-0.495006747358792,-0.617863504464426,-0.732311422058336,-0.402947836261685,-0.697277150853727,0.851463046924188,-0.298920142860718,-0.469563859470562,-0.37816220870202,-0.415036464361064,-0.576943330750661,-0.428108351897598,-0.349403737295254,-0.643382079918058,0.136459551658844
"ACIB_Ctrl_2 (GE) - TPM",-0.213404685716434,-0.567893727862826,-0.823397062316257,-0.492082880693228,-0.407518724602531,-0.622995162538889,-0.629122836006474,-0.695302363419726,-0.944072711012757,-1.21985087643342,-0.703721027886311,-0.82597359687136,-0.0942474344262482,1.16286266794017,-0.201852262771033,0.193000766796414,-1.38499896901085,-0.748151429304,-0.0841109331528772,1.25731089342267,-0.604113635022657,-0.341027808779238,-0.0687064613230744,-0.512775243361775,-0.697277150853727,-0.768391907488606,-0.671379140031673,-0.428593199271072,-0.480097342272712,-0.506633779935734,-0.806397648038187,-0.365066927933804,-0.56502162532701,-0.74297973199171,0.481632119663488
"ACIB_Ctrl_3 (GE) - TPM",-0.415726518495226,-0.276850349604917,-0.25438495954034,-0.686436862648528,-0.172679890369937,-0.626944233002675,-0.629122836006474,0.618512185417465,-0.558852622053253,-0.205466450648496,0.214305860161231,-0.861081723711524,-0.258453492225421,0.0147837489243584,0.333235963916615,0.987229132900032,-0.00247273451787969,-0.748151429304,-0.486170053295502,-0.545332333279788,-0.472047427606546,-0.370830544469155,-0.732311422058336,-0.495097248244129,-0.625371788629421,0.459481819143517,-0.645368031451978,-0.454952862258263,-0.597820742070035,-0.506633779935734,-0.725230442742323,-0.637260478379744,-0.653655607448969,-0.654900510314084,0.107981548508188
"ACIB_Li_1 (GE) - TPM",-0.188705312610873,0.428464128902598,0.0812835899670582,1.57033374226305,-0.273448462303131,-0.755638588935699,-0.377615440818092,-0.695302363419726,-0.143283836186826,-0.774607700310343,-0.929857126598145,-0.923015752625309,0.163865647015815,0.523397659476129,0.525358386892467,0.291502285332833,-0.213318611069501,0.58448745077259,-0.338331986711064,0.878821165914584,-0.341475344064384,0.144544864744998,-0.0599671549694716,-0.388608749755699,-0.293992856863431,0.628885644513864,-0.584069770356702,-0.42746434730079,-0.482793762036598,-0.2893526588845,-0.608471675736503,-0.578254754637399,-0.582962480079232,-0.506720739398709,0.150886718238519
