"","ABUW_RS01825","ABUW_RS02365","ABUW_RS03695","ABUW_RS05280","ABUW_RS05290","ABUW_RS06065","ABUW_RS19740","ABUW_RS06265","ABUW_RS07720","ABUW_RS09715","ABUW_RS09765","ABUW_RS09865","ABUW_RS10870","ABUW_RS10980","ABUW_RS11615","ABUW_RS12115","ABUW_RS12150","ABUW_RS12215","ABUW_RS12350","ABUW_RS12745","ABUW_RS13750","ABUW_RS17360","ABUW_RS19035","ABUW_RS19125","ABUW_RS19130","ABUW_RS19160","ABUW_RS19220","ABUW_RS19235","ABUW_RS19240","ABUW_RS19340","ABUW_RS19345","ABUW_RS19350","ABUW_RS19355","ABUW_RS19360","ABUW_RS19635"
"ACIB_Li_2 (GE) - TPM",0.335080879079611,-0.668619918313706,-0.113311228826595,0.226483048163051,-0.466551823922044,-0.420336541698936,-0.629122836006474,-0.695302363419726,-0.659286432303273,-0.810172121244372,-1.11510011170536,-1.28376426309024,-0.289694442695397,-0.566460490220575,-0.800124524834184,0.25051463122049,-1.4218896298504,-0.748151429304,-0.861747287962158,0.230148629098092,-0.479250721547699,0.0824265385551986,1.74224789557509,-0.520546516570452,-0.697277150853727,-0.768391907488606,-0.664655103131397,-0.274582512290354,-0.53426632652265,-0.506633779935734,-0.31468347946258,-0.678554537470434,-0.680254517833502,-0.476186012162336,-0.0228802165640548
"ACIB_Li_3 (GE) - TPM",0.601520851944992,0.0652908689724489,-0.754955651281576,0.915240719457766,-0.0989719742930391,-0.332624959375358,0.581026869627225,-0.695302363419726,-0.239121746733426,0.684439135720645,-0.223787378648059,0.204041021686576,0.631824828084956,-0.517700075901162,-0.293313733010669,-0.347498378504452,-0.356627110307048,1.08387939032084,-0.351683151285109,0.280759940384722,0.988907512005864,-0.406089683339624,-0.0134129967013129,0.211197912183334,0.146391307415607,-0.768391907488606,-0.519651255234562,-0.421450969340626,-0.367555428190407,-0.506633779935734,-0.615930042232112,0.207176311754001,-0.680254517833502,0.187113559577776,0.110659235416022
"ACIB_Mig_1 (GE) - TPM",-1.02860687024721,-1.3503624528001,-1.42260314957223,-0.827314428081525,-1.2050944114522,-0.924741630809852,-0.629122836006474,-0.599073718341612,-1.47364072571381,-1.10097523893131,-1.03163958146298,-1.19088775758602,-1.22141540163681,-1.36774619545827,-0.418426065884338,-0.916476083010725,-1.6962543895848,0.109584906581474,-1.38978318195243,-0.575529782505727,-1.00597987469642,-1.13446329612546,-0.418169901214107,-0.586745799291634,-0.63407776935047,-0.528567852051984,-0.73245817051928,-0.450546074631029,-0.593191949983117,-0.506633779935734,-0.770727727105941,-0.709157396229675,-0.680254517833502,-0.74297973199171,-1.5579346760751
"ACIB_Mig_2 (GE) - TPM",-1.01904294972793,-0.963606899442821,-0.196136755367831,-0.841104799238146,-1.27874174611212,-0.507665077349895,-0.629122836006474,-0.695302363419726,0.461504743564608,0.0484048680265835,-0.917228903939181,-1.06356932467023,-0.844718024630359,-0.564383094516826,-0.954308376319227,-0.844452451187331,0.689290016922584,-0.748151429304,-0.465008024616501,-1.0418840251598,-0.798064770289118,-0.521668114602777,-0.732311422058336,-0.558508663943268,-0.697277150853727,-0.768391907488606,-0.237396979822907,-0.287547447015069,-0.595208804506764,-0.337838565801738,-0.721830124652265,-0.0746237011121306,0.261994693713973,-0.74297973199171,-1.11883621874048
"ACIB_Mig_3 (GE) - TPM",-0.995403170951219,-0.953650413661104,-1.02264703666044,-0.625309414520288,-1.15501287089244,-0.0560900547851104,-0.629122836006474,-0.695302363419726,-0.034528196006015,-0.720567738915658,-0.881408071611641,-0.763650144835208,-0.664169790431562,0.338039695489533,0.699746883008212,-0.8187814928526,0.338614514070314,-0.267813828600867,0.767537877667178,-0.786025965386649,-0.714719258550421,-0.389495264536935,-0.732311422058336,-0.562313359850069,-0.697277150853727,-0.768391907488606,0.268498235141603,-0.197802710735185,-0.583449004845145,0.0914233867723153,-0.606643906318175,-0.106591367268934,0.530761549006872,-0.74297973199171,-1.09661275921882
"ACIB_Nd_1 (GE) - TPM",-0.991655186496463,-0.683846216192106,-0.462273256466111,-0.889600421075909,-0.220467325849053,0.915822324821252,-0.026052969221792,-0.119153918746122,-0.854909711353485,0.32225781289692,-0.00465103119351185,-0.295180750994421,-0.799637421527555,-1.17387809079369,-1.16124185508668,-0.906676419156309,0.421961379037647,0.621318699473482,0.804461547852473,0.0778021097719888,-0.702601128285711,-0.806922248008754,-0.374053286357432,-0.58102733048682,-0.529102578001856,-0.289760149657481,-0.603729950619986,-0.410189663745605,-0.587257956804093,-0.506633779935734,-0.664020296171193,-0.602283096160525,-0.633596727770323,-0.665728788747546,-0.703660455772766
"ACIB_Nd_2 (GE) - TPM",-0.762455763528644,0.260134991952118,0.509918997617405,-0.750710261931002,0.0544156879043893,1.84420677733187,0.836042034025972,-0.695302363419726,-0.148287068088644,-0.451323694637259,1.04317848622064,1.31815812190336,-1.09544624847152,-1.22077079166151,-1.36220509980583,-0.599574655391443,-0.659938399919579,0.730578673524857,0.47442844139155,-0.425520614952753,-0.516644977804845,-0.739828417227376,-0.732311422058336,-0.489572198250874,-0.561083159751274,0.588256062702122,-0.286265525141948,-0.345668547315216,-0.483030919195596,-0.353206077190866,-0.22988541220997,-0.545003528310261,-0.629874245027627,-0.74297973199171,-0.474658854230092
"ACIB_Nd_3 (GE) - TPM",-0.990887340674177,-0.267022287083137,-0.828658581570861,-0.688201939239631,-0.529628165658332,0.634515680137805,-0.629122836006474,-0.695302363419726,-0.238337516869161,0.593887969252345,-0.171844784968209,0.500679702253432,-1.0538018112837,-1.14581254840074,-1.4611833092181,-0.884859198004121,-0.0152986056742448,-0.36039239360978,0.860149972023213,-0.172546396534475,-0.302067006223886,-0.684962881636982,-0.732311422058336,-0.49597828908162,-0.590137009722373,-0.361824904081463,-0.568788586172477,-0.455347947677412,-0.495013732756652,-0.466401300783428,-0.483889819659178,-0.58031891293719,-0.653832649558076,-0.677360006595804,-1.00428945578531
"ACIB_Ns_1 (GE) - TPM",-0.29367949975371,-0.591556456109323,-0.891075133495424,-0.846203762653038,-0.479301878714833,-0.852586652858273,-0.629122836006474,-0.368877552856212,0.14500914377343,-0.816603408358544,0.206094245942618,-0.233585088373503,-0.787469446667416,-0.517480547929487,-0.26538314998854,0.0282066818351005,0.0688882198171766,-0.748151429304,-0.0177725712844366,-0.80205269340675,-0.707981036466482,-0.774230050138311,-0.732311422058336,-0.601155250069613,-0.697277150853727,-0.768391907488606,-0.713532340058371,-0.514310728976956,-0.660168930004101,-0.506633779935734,-0.604733039982791,-0.458368450618072,-0.521646849039176,-0.611676984844593,-0.933834540762512
"ACIB_Ns_2 (GE) - TPM",0.164022192954502,-0.554753787713127,0.550826897833111,-0.633942975056725,-0.676465378323693,-0.667657649212012,-0.629122836006474,-0.301830969710972,-0.209295621844688,-0.612259410828091,-0.546327491637484,-0.650823000615989,-0.671419982662939,-0.286306741119191,0.793744963356776,0.562662306381269,0.0276923592288433,-0.514336982292922,-0.783990789863503,-0.344107591768742,-0.654474427673737,-0.808059677305441,-0.732311422058336,-0.532323041097278,-0.697277150853727,-0.768391907488606,-0.688897842887214,-0.514310728976956,-0.523237116916511,-0.506633779935734,-0.660546134626533,-0.652179199013248,-0.520933549009345,-0.584707832193573,-1.06287921153028
"ACIB_Ns_3 (GE) - TPM",-0.0638466274493872,-0.447012105130185,-0.630540223029412,-0.886149657022966,-0.968421229364489,-0.693596761664352,-0.629122836006474,-0.695302363419726,-0.708319163416523,-0.343285396130698,0.408800674405904,0.151165860701853,-0.752506195883862,-0.396297534273844,0.029259584128176,1.07193513065025,-0.481474050176755,-0.748151429304,-0.700513010462741,-0.836522220523105,-0.753587285958967,-0.732739203874653,-0.354120801692151,-0.55393280102864,-0.564128647680318,-0.642076533617913,-0.648640898985645,-0.355545959424085,-0.570373470608867,-0.506633779935734,-0.430650570347077,-0.604529513401362,-0.548911319131262,-0.443966840105646,-0.857134799575024
"ACIB_Oss_1 (GE) - TPM",-0.26922172464899,0.246034240192324,0.769354232210346,0.376486654475379,0.214932423433735,-0.285267384132597,0.246384232999196,0.559333452479581,0.278734809222865,0.330058014424134,0.416390300130226,-0.297080245210633,0.253384477448714,0.105523101215851,0.0767590881470522,0.37122810450782,0.524119804407424,0.0802357147069919,-0.0638788836894594,-0.265681949011722,-0.222730747303678,-0.0451122553717131,-0.342235311865424,-0.206112740952007,-0.02587140234772,-0.420964925499709,0.181023141791315,-0.270778679539696,-0.0956433166678245,-0.0940715592119042,0.140960909927506,-0.480226959340616,-0.1722384411694,0.322436783019273,0.370622449467767
"ACIB_Oss_2 (GE) - TPM",0.217119193803683,0.352121555597046,0.233542684618991,0.680955493412549,0.53564931763507,-0.352324378162632,1.19549771247863,-0.579091141639684,-0.277183049965628,0.0721983649850208,0.631956287317639,0.286517543985353,0.395924150090374,0.798859552982891,0.399960299709675,0.362079025911031,1.44984845565107,-0.748151429304,-0.334016336254238,0.757525341444371,-0.140690211749873,-0.0333496714138444,0.134832094620566,0.112505146663192,1.49065435181589,1.0417659789041,0.377072455448224,-0.297294248847605,0.729586492468239,0.123893362518311,0.342323392955579,-0.378621048574425,0.185561598713632,1.14241736862855,0.72634246854884
"ACIB_Oss_3 (GE) - TPM",0.282756239954948,0.170140337601291,1.65207405915419,0.224224068133487,-0.0985560860027436,-0.432330908157511,1.38850433606956,1.87477632177221,0.134398736882816,1.42592871545321,2.35233797047615,2.02363520442853,0.83251620636654,0.702824036581368,-0.215813155166508,0.167463437666175,-0.399777293252293,-0.748151429304,-0.369954930269914,-0.644672417623384,-0.421937112991931,-0.364014375878831,0.066746187873617,-0.0232768367397507,-0.040859255782542,0.0322619581384411,-0.0227326999933094,-0.282079493505315,0.207139670806218,-0.506633779935734,0.357981371993819,-0.43830173496013,-0.194616166882723,-0.111212274399458,0.601375471515978
"ACIB_Oxs_1 (GE) - TPM",-0.781850181003951,0.26623531300165,0.37515216642658,-0.210008075011193,1.23196703291063,-0.244654084383725,-0.629122836006474,-0.0391968708293849,0.26388298768054,-0.409333813521167,-0.356366752896512,-0.650514305590295,0.8730189847915,0.215637579242962,-0.00631414932520982,-0.510479408588813,0.329890890726634,-0.748151429304,0.276584111615873,-0.461834850384018,-0.0968815578453042,0.407982391560892,0.1856361118422,-0.177963123830291,0.667257226427869,-0.563996064570142,-0.00910080529431232,-0.237645444755171,-0.161992214330699,-0.344823275463145,-0.198386617385518,-0.267566572210067,-0.0957927202867458,0.13673744243582,0.11619436353208
"ACIB_Oxs_2 (GE) - TPM",-0.664650429641915,0.374985376361409,0.503502338569012,-0.250522477987436,0.430213410727618,-0.361815295046336,-0.142188946732287,0.855353806649243,0.522398626487853,-0.45361233779563,-0.0391744465845558,0.113098641238588,0.93650967307004,-0.115249931940711,-1.08351972855985,-0.600726178848951,-0.980148986486518,-0.0109881775082704,1.86785347576003,-0.268515264036196,0.167911561072334,0.884450333236561,0.714022054743222,0.797353351439321,1.13586639577271,0.197756611077149,0.88359167967485,0.0648380634150739,0.909702188976424,0.334705626251114,0.534791631096765,0.328458239516579,1.85637272221568,1.16983424285422,0.806066819191155
"ACIB_Oxs_3 (GE) - TPM",-0.595837879680579,0.548077114340375,0.0993416727079164,-0.187972935347786,1.19453614057216,-0.481021677338346,2.46473887027864,1.86634742477377,0.38701480501503,-0.367863939477243,0.252134860963497,0.237721475088748,0.52061200023042,0.20835392234698,-0.620995172392969,-0.577995219431835,0.684238248031581,1.82791621367848,0.909728881417757,-0.0382999812494393,-0.0464769245276782,0.489900743416951,-0.732311422058336,0.309595210837056,0.467458503503069,-0.522844824244384,0.905419922477061,0.174162964806987,0.786146095391543,0.902679159425846,0.386625869507938,0.0587068923510085,0.532519170696458,0.868688462097765,0.513790886681184
"ACIB_Sp_1 (GE) - TPM",-1.16401415913216,-1.40216053619267,-1.34564275079586,-0.814144773782052,-1.1654203240839,-1.01588570033481,-0.45476353882059,-0.658285521728726,-1.47299164519684,-1.17412228234126,-1.07229310445435,-1.11703660952141,-1.24920049731144,-1.40432374008309,-0.825545192058626,-0.970917828635614,-1.73115370549962,-0.308217421191908,-1.42693433785426,-0.858350986529293,-1.00596790747952,-1.19762509890219,-0.732311422058336,-0.603596653911205,-0.648654591572162,-0.768391907488606,-0.748953297217348,-0.498701539402495,-0.629720057248238,-0.451858620534061,-0.788102502271907,-0.703418951322318,-0.677256811180708,-0.738016452190386,-1.60012278894643
"ACIB_Sp_2 (GE) - TPM",-1.13307092915405,-1.3695181451727,-1.25563028331888,-0.886306067570445,-1.21682590881843,-0.911491817495319,-0.629122836006474,-0.695302363419726,-1.53703238421085,-1.06994148729887,-0.97476839070943,-1.2577369504547,-1.23911490693974,-1.3819445179774,-0.572272107292253,-0.877307344455649,-1.55799476343703,-0.41163574907734,-1.36508273662268,-0.972974311101299,-1.0005120411723,-1.18027383334433,-0.732311422058336,-0.575300451864101,-0.635289620541805,-0.717986460811606,-0.748284699664995,-0.494817129788217,-0.621777096306571,-0.506633779935734,-0.786405677474204,-0.505053544604467,-0.680254517833502,-0.732132511101711,-1.57222844147533
"ACIB_Sp_3 (GE) - TPM",-1.04716829372179,-1.38108409623283,-1.35339631196814,-0.881754293091649,-1.17939585030763,-0.84716744857238,-0.459282627275931,-0.3707854955889,-1.4053499115872,-1.1530357932286,-0.927461251828261,-1.07495608092833,-1.13355741476277,-1.35302135555951,-0.300303328698171,-0.986256624966882,-1.7087005959824,-0.619591923144119,-1.4520506052275,-1.02770826793649,-0.936701907461122,-1.16605936296893,-0.732311422058336,-0.596949646300008,-0.436784239873382,-0.633596716732241,-0.718351730008829,-0.449148043350561,-0.632790753575648,-0.506633779935734,-0.806397648038187,-0.706791762138651,-0.680254517833502,-0.64145228672031,-1.5600724653898
"ACIB_Tm_1 (GE) - TPM",0.391693560160807,1.03068524834325,1.24819683121497,1.61487624884353,0.562341202931233,1.52034825854553,-0.291892089617768,1.02297257909045,0.0316071560660046,0.504813190929088,0.00261388379089313,0.0982512144126271,1.56004897900871,0.341151133973045,0.643637778701543,-0.274249112838184,1.41254773784504,-0.492886680730151,1.13433411713196,1.40242094415362,2.03263920133976,1.05252232871015,0.0690263018270809,0.359306541982273,1.74780365475495,0.703662072454759,0.431556947792108,0.313756500541632,0.53578334040273,-0.188809582740961,1.76785356270089,1.90793840962418,0.693849254577927,1.474515997275,1.74696647657888
"ACIB_Tm_2 (GE) - TPM",0.97784683508288,1.99065206575763,1.062394510447,1.53658955448357,2.20795731719424,1.58907750383112,0.685761029273786,-0.0253361692766224,-0.565032609585159,1.57343351649228,1.30603160116412,1.41051831819359,1.08735255394102,0.56317190897625,-0.534884795577758,-0.0493019440379722,1.18936421707966,0.645259177587382,0.815770751900056,1.10777328999253,1.27402958987874,1.05563365271245,2.23593139682383,0.655029846843411,0.0727382216938203,2.9884574357126,0.515204236301723,0.29286080767884,0.749356918105476,0.360817777248476,2.1944049119711,1.82815669396393,0.933842481077618,1.63752012838425,1.85566554375808
"ACIB_Tm_3 (GE) - TPM",0.600974290699853,1.05556540697615,1.00933944308165,1.51649167797549,0.889666158953806,1.76297450092024,-0.0437949430687655,0.423094604525875,0.245214091948891,1.42822886937366,2.22601881145446,1.8346105592379,1.1372481126108,0.695344365233385,-0.020643020718751,-0.0207691091942172,1.06597940845075,0.137969299938347,1.35824259738685,0.420855419495404,1.03916539235838,0.588923697548343,0.136984539045104,0.596986138682568,1.09821954360642,0.276847128731927,0.518421398129707,0.19309444858225,0.365937688285169,-0.368722743041682,1.33552706028695,1.21974347049192,1.17643639924173,1.83127400785891,1.22600815934969
"ACIB_Vic_1 (GE) - TPM",2.02891239461547,3.57191330521312,3.1500067813867,3.37390617749523,3.0122651311437,3.69092074796951,3.77238060244385,3.66545655612546,3.87037575748914,3.01282697575468,2.84715315907393,2.72466546573165,3.34706856987887,3.90729575020208,3.80272505897402,4.7573669834395,2.36098313106966,3.69410334018434,3.49261214118485,3.90441282830838,3.5456668152638,4.08358875977508,3.62559828763653,4.51921440582264,4.14421902969255,3.30711578763893,4.07292146931325,4.30794368695108,4.64152714344752,3.94885212386294,3.58108503056814,4.11185064653497,4.38988453283715,3.7257821796568,2.28164288329273
"ACIB_Vic_2 (GE) - TPM",-0.0946188477179743,0.235341570787729,0.482736936151242,0.961309671328204,-0.311635206054017,-0.26363022968499,-0.629122836006474,0.884241424358574,1.64758468340283,1.21925229797608,-0.430119241460697,-0.521504193799935,0.66967658137274,0.638920105896723,1.10647080554818,-0.00447511702469224,0.387271257456719,-0.748151429304,-0.378711343101983,-0.289836246036695,0.353470523271751,-0.288936078525673,0.74096621522494,0.168237534656461,-0.610828368350758,0.953865650188602,0.0734150585725045,-0.205069076890756,-0.185431160504548,0.175081073969123,0.46219312419494,0.458083291069565,0.69483162286951,0.368906545563517,-0.316422561072842
"ACIB_Vic_3 (GE) - TPM",-0.226883052602116,-0.366855862296791,-1.01563971607448,-0.951623009697309,-0.444592131940817,0.0556663586123546,-0.629122836006474,-0.695302363419726,0.713872162786139,1.13637991567469,1.09059176676231,1.17077266947151,-0.699290591009546,0.056787023908364,-0.501496977840327,-0.195903349276292,-1.23440919665337,-0.748151429304,-0.356262295245556,0.0963761193761141,0.102287347938341,-0.587401466028956,-0.732311422058336,-0.429807957081143,-0.458672726257971,-0.768391907488606,-0.436754283796534,-0.0875469022803274,-0.142942083212534,-0.237836834999468,-0.671728593375503,-0.0939693077047259,-0.327200586261242,-0.158431059628516,-0.722977668870276
