"","CE206_RS00080","CE206_RS00130","CE206_RS00470","CE206_RS00505","CE206_RS00510","CE206_RS00520","CE206_RS00525","CE206_RS00550","CE206_RS00980","CE206_RS00985","CE206_RS00995","CE206_RS01000","CE206_RS01005","CE206_RS01010","CE206_RS01150","CE206_RS01230","CE206_RS01270","CE206_RS01480","CE206_RS01485","CE206_RS01490","CE206_RS01535","CE206_RS01540","CE206_RS01570","CE206_RS02485","CE206_RS02655","CE206_RS02780","CE206_RS02945","CE206_RS03115","CE206_RS03210","CE206_RS03355","CE206_RS03720","CE206_RS03820","CE206_RS03850","CE206_RS04130","CE206_RS04380","CE206_RS04665","CE206_RS04710","CE206_RS04715","CE206_RS04885","CE206_RS04890","CE206_RS05380","CE206_RS05495","CE206_RS05530","CE206_RS05540","CE206_RS05630","CE206_RS05635","CE206_RS05640","CE206_RS05690","CE206_RS05810","CE206_RS05870","CE206_RS06185","CE206_RS06280","CE206_RS06285","CE206_RS06460","CE206_RS06745","CE206_RS06750","CE206_RS06980","CE206_RS07065","CE206_RS07180","CE206_RS07520","CE206_RS07835","CE206_RS07920","CE206_RS08075","CE206_RS08475","CE206_RS08505","CE206_RS09025","CE206_RS09090","CE206_RS09095","CE206_RS09265","CE206_RS09680","CE206_RS10000","CE206_RS10100","CE206_RS10245","CE206_RS10375","CE206_RS10380","CE206_RS10385","CE206_RS10435","CE206_RS10490","CE206_RS10520","CE206_RS10790","CE206_RS10995","CE206_RS11280","CE206_RS11540","CE206_RS11625","CE206_RS11630","CE206_RS11635","CE206_RS11640","CE206_RS11985","CE206_RS12120","CE206_RS12125","CE206_RS12375","CE206_RS13865","CE206_RS14275","CE206_RS14855","CE206_RS14885","CE206_RS14965","CE206_RS15145","CE206_RS15245","CE206_RS15315","CE206_RS15640","CE206_RS15745","CE206_RS16650","CE206_RS16770","CE206_RS16780","CE206_RS17715","CE206_RS18255","CE206_RS18280","CE206_RS19775","CE206_RS20090","CE206_RS20340","CE206_RS20380","CE206_RS20385","CE206_RS20555","CE206_RS21045","CE206_RS21405","CE206_RS22060","CE206_RS22065","CE206_RS22110","CE206_RS22840","CE206_RS23105","CE206_RS23110","CE206_RS23595","CE206_RS24215","CE206_RS24285","CE206_RS24290","CE206_RS24650","CE206_RS24985","CE206_RS25195","CE206_RS25425","CE206_RS26040","CE206_RS26195","CE206_RS26615","CE206_RS26620","CE206_RS26710","CE206_RS26925","CE206_RS27110","CE206_RS27115","CE206_RS27435","CE206_RS27440","CE206_RS27575","CE206_RS27695","CE206_RS27700","CE206_RS27715","CE206_RS27875","CE206_RS28100"
"ACHX_As_1 (GE) - TPM",-1.1501038679901,-0.997418196478954,-0.287742221915107,0.172711717396824,-1.1365242862011,0.290341917804723,0.684655197019472,-0.544772306431656,-0.329473033188056,-0.242572600163351,0.0744632255459481,-0.609044023140121,-0.980467490528965,-1.09508050104692,-0.642352533175876,0.3340063600187,-0.923054144795684,-0.795837378471283,0.389549567655527,-0.553850291397035,-0.0673936841588835,-0.624493480863461,-0.660690826589383,-0.893053513216855,-0.62854594091992,-0.860065431057364,-0.407118554840836,-0.516242630113963,0.366355156484736,-0.441712309668703,-1.00165515502185,-0.430852137094356,0.591381829791352,-1.6019747321135,-0.7465003188736,-1.19333887917102,-0.885679752242962,-0.102037929320749,-0.611572341649643,-0.682897948612033,-0.529396265060322,0.295742065862614,-0.729042160338304,-0.655708476367913,-1.24375903786245,-0.193140503747159,-0.770622961267695,-0.596876099101924,-0.754400953816092,-0.66156089139767,-0.959076613007552,-0.488424783693181,-0.218963028629065,-0.784377567589475,-0.985784706745903,-0.503167389010976,-1.13984046172466,-0.8974884351548,-0.489161387489968,-0.109257273828857,-0.290240487134086,-0.844388528198365,-0.637225566683765,-0.70582020489771,-1.2785130806943,-0.126933373007451,-1.48209794483583,-1.00477919399255,0.216074227950637,-0.205039767590408,-0.0659956107091336,-0.180589570878372,-0.564755592989703,-1.78392621843464,-0.825645496723763,-0.557472589711116,-0.906495257941318,-0.507582828554618,0.466890646085902,-0.984038328819272,-0.391507015105588,0.572158819456073,0.546023260200588,-0.692062498741119,-0.75874941001952,-0.686885279274846,-0.174718527150033,-0.926896996887369,-0.881217942506342,1.37398165819658,1.0210619971638,-1.33970308290363,-1.28009135686341,-0.190455806987673,-0.717993164942694,0.225975189460507,-0.557048104006238,-0.476265046730688,-1.25407404947969,-0.481290301660873,-0.683020381790125,-1.20655460921848,-0.647397591969928,-0.307927364301608,-0.830772843468655,-1.0862969332183,-1.20906385291913,-1.17557432183071,-0.488227057440479,-0.157263927049581,-1.22114649114327,-1.02245331488999,-0.576870946552943,1.52469528037295,-0.208100827334371,0.483234166392113,-0.319905097791874,-1.01375295876193,-0.589087915376319,-0.637483969888447,-0.805252683100579,-1.06467848648542,-0.747285782439521,-0.0613406461852758,-0.268281630140895,-0.893448314474033,0.00210432654366967,-0.481228100733093,-1.2070466641031,-0.312418013680813,1.83556025838173,-0.0390601955721169,-0.313486174334289,-0.207588599188961,-1.11928546781751,-0.818894277884475,-0.423267004380697,0.320085616088096,0.0260695931290171,0.804107904735104,-0.842440153726846,-1.07028574988025,-0.806982125795048,-0.423452826246749,-1.35479868352382
"ACHX_As_2 (GE) - TPM",0.817243752266412,0.0751480880161846,0.681517829512271,1.15130586885431,0.114847418376278,0.741566979910717,-0.110311116379294,-0.647207508705372,-0.556982091029499,-0.479948639839191,-0.279669447481534,0.413224716145353,0.346196726120467,0.0743709735047061,-0.0770574839935731,2.19469998114806,0.251225077765515,1.60357847753289,1.84122975638462,1.42500014976135,-0.236841098597466,-0.264265628485241,-0.702849535883357,-0.256119628680958,0.649632519714783,-0.17638621601862,0.806606736503317,0.525692255416253,1.15594724575939,-0.264315723502283,-0.388500725088417,-0.407007089423708,1.13191463556271,-1.57364242284528,-0.524361956741525,-0.367347497806959,-0.691272080480085,0.939374411070728,0.444137160101126,-0.241797790413611,-0.804382921282477,2.45237858421414,1.03581847501785,-0.00880722812793582,-0.500233309723646,0.0488013474784509,-0.1197064443778,0.868581305993824,-0.126104285967276,0.199131494700217,-0.164628444481106,-0.26942895342003,0.0470003404547846,0.109013237701986,0.476330108984935,0.10532521506649,0.34424273562781,-0.633137652480903,0.472989360578749,0.382054155803222,1.7352329897587,-1.02955669508771,0.383034719208496,0.786557735383847,-0.671185504375149,1.4198082210261,-0.38251424965278,-0.749919553622958,1.11589606589541,0.43914801443179,0.515141749513927,0.646942447766501,0.590883223158968,-0.938219376971427,-0.260591181898275,-0.28740625475993,0.103432904180435,-0.151443565764596,0.980266368386091,-0.246701552954793,-0.500578988262338,0.228131004979418,0.405046605514002,-0.496929678364264,-0.0947304196917183,0.249448969962186,-0.232673891636593,1.19941977141682,0.724514321317637,-0.936079042947449,-0.570050398851211,0.133266532836801,1.04959015177741,-0.378876945883336,2.1669605680884,0.168608066360854,1.33107855069197,0.00788465093558777,-0.744193770833187,-0.481290301660873,-0.683020381790125,0.351154722930234,0.0987779372153366,0.744603571895799,0.200548236430756,0.317038987631448,0.327612782024444,0.0195712774703957,1.70311353443804,0.708898218663001,-0.548521024400372,-0.172170690944096,1.70767556104445,-0.570899374192583,0.618068887383871,-0.095078092551947,-0.587168152342677,2.23104517623697,1.09105813528278,0.239389118463125,-0.297584342273384,0.314862561053019,1.22431333365511,0.299613438242638,0.475544735623861,0.649150358318073,1.4217013042632,-0.76522945372049,0.268767391547089,-0.646567324659411,-1.1902188717545,0.72243515739469,-0.122784416537876,0.155823672538666,0.271898475488227,0.224367615456285,0.0433820290492,0.055145073649606,0.66911406352775,1.75030228017801,0.619029572457077,-0.256300804931501,0.980887740433439,-0.423452826246749,-0.379015887455541
"ACHX_As_3 (GE) - TPM",-0.389988439692693,0.22711155140924,-0.397154721365745,0.0517042483183266,-0.155773252654063,1.63090197737368,-0.695471804545343,0.469792454634055,-0.501866927512403,0.0947658557830656,-0.269235630052172,-0.212414817255288,0.470371364664676,-0.173186415524364,-0.185556806743611,1.44298755404065,0.324486223505612,1.76338853512215,0.885318100646334,-0.112245056571771,-0.519231333853771,-0.425151691198023,-0.712434949922921,0.148414873335306,0.510688204400834,-0.101001151793001,1.81073089560641,0.404482159507166,1.25965794975788,-0.26494507031079,-0.106048331120657,-0.20141969155189,0.616111495347635,-0.364200589101844,-0.488760982320461,-0.238919572257598,-0.524235798974889,0.705352720721063,0.235441092696082,-0.257821759434767,-0.00544172811469908,1.59233737284002,1.17591834855652,1.21949014287908,-0.592034447520571,0.0522921663660663,-0.221712812151805,0.464428313408685,0.916076666463259,0.117627128704948,-0.105035122811651,-0.160411041743058,0.224601099201695,0.590745777755762,0.304234186835127,1.12177119858927,-0.186958518038421,-0.565097171507732,0.446169994912361,0.470742916060377,1.41743781811688,-0.817116001524651,0.106941274629034,1.19896250716056,-0.0553631450508234,1.49045241003661,-0.419651002638424,-0.654579458124154,0.405489980552109,0.135657215803603,0.656604758031644,-0.00628560311130457,1.28476965319488,0.33090377370708,-0.196496389577545,-0.328755902938099,0.325631407384775,-0.184111091971337,0.367184618002834,0.485591997076205,-0.028960129449499,0.561666936431345,-0.403328052517209,-0.592808815868701,-0.429885565784912,-0.4338330459499,0.113486836299017,0.0725941222861325,0.546190303594903,0.262406069565893,0.304422453262503,-0.233104866991889,-0.410441309088913,-0.689663779956694,0.135700112854045,0.331046739602071,0.813964542919586,0.017583925828472,-0.640539234539767,0.100755897596225,-0.225153120855117,-0.298059236946942,0.104420538010565,0.154692016785683,-0.380335837212386,-0.0536563852577398,-0.217883081089541,-0.387755985625493,0.221321303529981,-1.08073937752163,-0.340304465036504,-0.793952911109068,1.14116890678792,-0.570899374192583,1.62867161768361,-0.159532012952781,-0.389350944684201,0.91351167493018,-0.086548897901333,-0.675300126758005,-0.557820818347991,-1.1721170694664,0.493859518019762,0.137159860699892,-0.136211364190487,0.739858654352964,-0.678255201647518,-0.116455607671169,1.42550416364338,1.19507941311535,-0.331693509185854,0.0144530430581606,0.012958790355718,1.17607649675931,-0.728840521498158,0.603521834749326,1.11147420295381,-0.371115666818119,-0.350342481245475,1.6256518021018,0.416032088492095,0.0623668396962639,-0.0163373164203865,-0.423452826246749,-0.117611510622394
"ACHX_Bs_1 (GE) - TPM",-1.03295164954206,-0.388621094178326,-0.495086536868924,-0.461746169396473,-0.562016344139553,-0.344247763932142,-0.579525957127881,0.132754440082485,-1.33885758887219,-1.11188334237718,-0.706010785835519,-0.59373267211767,-0.29002810002515,-0.787151396091732,-0.660441818048891,-0.391530501340536,-0.156703463574173,-0.711427073051095,-0.390932920020998,-0.674572178160553,-0.611153539344382,-0.554516418939278,-0.694736488053188,-0.448291422169802,-0.363736626100895,-0.586531986039511,-0.486829556788041,-0.711618178874108,-0.181826154952471,-0.210150123200618,-0.575142518564974,-0.576813869823118,-0.609678592911253,-0.366133694884342,-0.280431464926591,-0.839702216632711,-0.280376591779801,-0.598659955487765,0.0359046643437899,-0.330718029661687,0.346710569912725,-0.450502756068397,-0.425395103057864,-0.316313556930711,-0.581753656128749,-0.552777371435702,-0.588984167181521,-1.03252460918605,-0.77671671748713,-0.890127534939653,-0.387654488410597,0.0514163075034462,0.0559814406583332,-0.642698791980969,-0.166936035696787,-0.308649249030649,-1.02590589105525,-0.00125119424087727,-0.314606324137262,-0.251138959371179,-0.614313713142559,-0.860113546211746,-1.20241659626392,-0.2264646227219,-0.681236362942001,0.0428198994025703,-0.47393247677003,-0.275788444620612,-0.33858103599785,-0.862785673241238,0.227049371465774,-1.09242250827313,-0.304805628236694,0.0529657558704611,-0.361513945818631,-0.665191288955337,-0.926072632269226,-0.101701935905093,-0.766566006109839,0.167946514571338,-0.225857079387619,0.429152680124124,-0.766843243653958,-0.428566047536858,-0.306911635188695,-0.351038458334861,-0.911860326748526,-0.937655059957135,-0.0988635329764647,-0.20042529710512,-0.0345711980695846,-0.493461818333431,-0.724498456805854,-0.657145429156718,-0.489176426044558,-1.03663685004122,-0.407637183003362,-0.738358702696044,-0.723597665030481,-0.481290301660873,-0.683020381790125,-0.675192161788645,-0.0653862811525467,-0.988189303512807,-0.135751194516728,-0.777781693078685,-0.25996233951238,0.455050390844251,-0.244788162917365,-0.0617531155013971,-0.958324609690707,-0.293755702671521,0.190442134725195,-0.570899374192583,-1.11554814320035,-0.815699668233082,-0.286937628698851,-0.383338611943341,-0.726282410014087,-0.691360158406008,-0.39545707958184,-0.991383325434838,-0.866053986540597,-0.602694923112311,-0.487159183685995,-0.798501271805272,-1.40064076219543,0.128818153597915,-0.282398130231435,-0.158280250517968,-1.12698295908169,-0.0875439024850996,0.534114489110408,0.361319957932833,-0.595137023888126,-0.488296260647309,-1.35194681042406,0.862782450479454,-0.362291467058734,0.101722052306225,-0.0643546795737372,-0.52983820746189,-0.762572689857621,-0.423452826246749,-0.420412781932458
"ACHX_Bs_2 (GE) - TPM",-0.5062774565916,0.0230742474415148,-0.757412062238311,-0.804768572965343,-0.826282315759699,-0.22281469281586,-0.07357095926637,0.483550378471639,-1.36030942770847,-1.06394334218996,-0.722959745883052,-0.47457413581393,-0.251425970554551,-0.73174586658722,-0.525799154442458,-0.258995951800011,0.300252390050449,-0.744451149095021,-0.482198813510567,-0.771131800479167,-0.916205477612679,-0.584016800127945,-0.50734771407292,-0.337732852724909,-0.266284424032262,-0.541832085706791,-0.303295880796479,-0.538839597832712,-0.163572753257378,-0.345221196527669,-0.484374428660698,-0.542517030043012,-0.573607649128164,0.125049183793247,-0.454445432251802,-0.580354347109324,-0.0903842007428626,-0.221666587031952,-0.168816006296607,-0.051234774425847,0.330244039400507,-0.247609351956424,-0.15427342702366,-0.0285560715931272,-0.75255774356665,-0.632976827578012,-0.70782808187996,-1.04011557354177,-0.680285236046579,-1.04043426779734,-0.0963714287858653,0.124150435292114,0.451931260776832,-0.630497034640559,-0.148824216222971,0.209531580964544,-0.971129915858298,-0.49045262745731,-0.41346782030145,-0.409501824888391,-0.92076691435306,-0.993273910033571,-0.916660351251941,-0.135767616984727,-0.548243254347253,0.082447640094324,-0.389153300683983,-0.505320914792757,-0.611626607625412,-0.323156741483947,0.295836366114124,-1.05639595468005,-0.604008801563778,0.570960316296787,-0.351668423077581,-0.502172133659193,-1.02815305094581,-0.0781264573915423,-0.803169619926808,0.195382871815324,-0.322533908611422,0.793611748982716,-0.872415079382645,-0.600100821219324,-0.385932169004906,-0.307525132347294,-1.0091034257882,-1.05211501869112,-0.340155965493089,0.174375500717511,-0.503302483734846,-0.121052467872276,-0.855143595296755,-0.782908632044243,-0.96909605272578,-1.03172242762069,-0.472345209221907,-0.643683137994252,-0.758887255983519,-0.03365028515553,0.0212526099221381,-0.838904521049912,-0.371985565026337,-0.812395899346394,-0.175843823175671,-0.727193308203675,-0.346779323598831,0.495102902194794,-0.567210909153658,0.885251478551345,-0.536381559634997,-0.551261227371703,0.20085011935335,-0.570899374192583,-0.763794112246022,-0.964525395906024,-0.696706105778458,0.0146549178424181,-1.03284164799407,-0.620651823993471,-0.339562896147683,-0.807333847374708,-0.902453788276012,-0.48472807190791,-0.598331868221614,-0.212027195839207,-0.82384452671298,-0.356524232561769,-0.275347930285622,-0.389580511478068,-0.821509189817613,-0.357266163149301,0.339425178672861,0.342458899514363,-0.660224227582837,-0.525163712705719,-0.451408994104762,-0.394112990802158,0.0645136829423588,-0.172159966866139,-0.11503778515587,-0.527644289956561,-0.994770197295047,1.87940653319072,-0.209552528072766
"ACHX_Bs_3 (GE) - TPM",-1.00818514308667,-0.466109289826973,-0.543898867497696,-0.911500168141052,-0.476868636305919,-0.781383106486117,-0.643307452205886,-0.390840650665976,-1.28673753707574,-1.13722066234198,-0.621481379282754,-0.586693092952165,-0.423475829565614,-0.717859212727051,-0.774632167105561,-0.3531185578543,-0.347599449757452,-0.610357684531064,-0.310368251801777,-0.879755920034049,-0.354424375771921,-0.626762080298695,-0.96983341471157,-0.539982103956831,-0.403912211004926,-0.686404004889277,-0.672276583035388,-0.504902498357142,0.450639537343112,-0.242314505637902,-0.521903720161447,-0.458996656119259,-0.822535292680185,-0.595322894759236,-0.298831575855453,-0.735675897121145,-0.666290583787687,-0.741285254246942,-0.00201460503099387,-0.430609034130397,0.21736121032252,-0.889742003027517,-0.372739419154974,-0.459420953841827,-0.514922789799257,-0.5861057963903,-0.505076640643777,-0.968188402597721,-1.07581912001737,-0.587861280278532,-0.385613856678746,-0.0273803063088578,0.438009669835915,-0.792033891336927,-0.0790608999009529,-0.450627631300787,-0.646987018715796,0.361034118884227,-0.324901913214117,-0.166981879388445,-0.292981534566041,-0.931584391304467,-1.13625692875908,-0.166309764408502,-0.796670061964227,-0.325082763293775,-0.424742086239257,-0.17198431699466,-0.256106383347555,-0.506053921903098,0.492362543510899,-0.82741911390097,-0.250883220737035,-0.795604664952973,-0.390367627134931,-0.537389219677383,-1.03232514407441,-0.136544345230617,-0.692545779004823,-0.346144802700022,0.126671479021977,0.499806348129055,-0.636028507281292,0.117340529114792,-0.305156847233558,-0.000607447743601815,-0.788032081496062,-0.881648922514741,-0.738998064961288,-0.35321833819158,-0.0655452346770346,-0.373589748799286,-0.664871373428992,-0.805401352099942,-0.54891113896207,-0.848040545113889,-0.0123906331480872,-0.764232686878326,-0.745863991355641,-0.481290301660873,0.362886958075801,-0.499033948705522,0.0491887302800944,-0.292006188423782,-0.337752024660009,-0.96554488848253,-0.35321790337894,0.617338714987679,-0.360073118382235,-0.836616914185865,-0.685922306178981,0.158017874736125,-0.274632368932082,-0.570899374192583,-0.767291025511681,-0.372469752293606,-0.46132572868981,-0.268479495670491,-0.547217425944176,-0.672263087197538,-0.606175943645536,-0.1591838432789,-0.87119284555812,-0.574651874339527,-0.198826783796341,-0.752163393282463,-0.229394882814782,0.24362307494165,-0.0665555194521802,-0.163171817311916,-0.679701678930931,-0.556051765411772,0.239121842703357,0.185828944766966,-0.570881406524671,-0.26925649617535,-1.19096509774285,0.243416765160518,-0.319526045229196,0.331455380630131,0.00926827548960902,-0.659146093193863,-0.925387729188238,0.716530076398263,-0.564619531710062
"ACHX_Ctrl_1 (GE) - TPM",-0.147109636805258,-0.474469703369995,0.400823912246114,-0.745435556977046,-0.314809857646958,1.38117377786801,0.759659381991842,1.06412364136367,-1.01280419710406,-0.389448846673183,-0.423169949871356,-0.174257626445811,-0.158355003955567,-0.472198537289403,0.237576450251126,0.0863479694857867,-0.235917001353743,-0.534552838627351,-0.679557069554396,-0.523142955502615,-0.734141042173141,-0.699429980444,-0.544087000892528,-0.209695718706188,-0.315291583130949,-0.660812899956205,0.060013275642597,-0.697465611464412,0.106880113211575,-0.184941060174284,-0.396148788271528,-0.497235613709122,-0.723689843204346,0.501442367681786,-0.264682428901047,-0.70577065858284,0.180576215970442,-0.937168430722567,0.224598961249167,0.357781297246598,0.248349001430851,-0.332506435384922,-0.227909106634764,0.265931470456834,-0.272315984344454,-1.04458166147482,-0.752911239185382,-0.708410353112391,0.387306538835593,-1.00706185991059,1.17733537265166,0.389471675148519,0.763919803260474,-0.634828176831684,-0.290562446936989,0.694266085528289,-0.598303195089391,-0.465814264834902,0.307800977662134,-0.567113682159686,-0.564962928040227,-0.257596588373447,-0.815520420102815,-0.0773280499554955,-0.0146662236688006,0.204843155313374,-0.277161366137812,-0.0103037546169108,-0.804451116973288,0.153062148100054,0.277062139411558,-0.597915900533054,0.723872920578663,-0.695814336070593,-0.30944493979137,-0.246334626331489,-0.776508455387751,0.180940365542044,-0.608335286230736,0.255486506679586,-0.320549257001493,1.10241403802863,-0.675799919973516,-0.391966050995969,-0.764078979543033,-0.756512127846886,-0.864597150784577,-0.91077868337569,0.389430876983473,-0.205578933790255,-0.135750338771716,0.14893700603199,-0.916110043393404,-0.916851869129305,-0.319799075783716,-0.777996891450095,-0.750305098920741,-0.669908875935195,-0.789337922565672,-0.123262316393841,-0.119734191474666,-0.170912332113891,-0.172443777863505,-0.566384130369395,-0.590043142515317,0.0155353041768684,-1.43290325816327,0.599160791300163,-0.826612613896353,0.641614714106541,0.392198189452016,-0.669749466834699,-0.268452231025414,-0.570899374192583,-0.834210947960271,-0.838730683250288,-0.240051421508036,-0.50250760500511,-0.93578101260584,-0.482224659256484,-0.501347279587468,-1.13691795858917,-1.08383457443971,-0.151306109852853,-0.678658048321375,-0.977862009063389,-0.625280002764961,-0.0329752920779595,-0.310062202095087,0.0529486251409008,-0.501492956829821,-0.926906206164092,0.162261937449279,-0.404899836749121,-0.73875459772326,-0.386639768584992,-0.621317850313076,-1.19357845954251,-1.41097135856346,-0.649801032703402,0.0394813415909404,-0.212572481051523,-1.28645669598514,0.497474778297851,0.154786403970492
"ACHX_Ctrl_2 (GE) - TPM",-0.372417150961789,-0.765313696750268,0.165083679474499,-0.0211922833368588,-0.135831102388583,0.969564980939377,1.10199012119654,-0.91923755191734,-0.255978362087441,-0.227323867330287,0.097475445325642,-0.0146482819906036,0.196061828333728,-0.300493215174027,-0.0432474242427079,0.722036355618796,-0.144101633915476,-0.115988736535166,-0.000652765430457851,-0.030271921131462,-0.622740002357871,-0.498130678405346,0.172481880647711,-0.416635630162118,0.31033675249462,-0.65857367885532,0.735984592281331,-0.22254382334146,-0.346176360490482,-0.250500746996347,-0.207778144956152,-0.019603233299674,-0.32353708840799,-0.803566837592092,0.398694479323117,-0.389839842575105,-0.205481658359043,-1.20154725351474,0.718155007714409,0.304913614871468,0.267395756429322,0.0509592344130264,-0.117966215788659,0.0030254175449737,-0.178115611931928,-0.491928369327974,-0.562054352007038,-0.672944366623594,-0.0173972556339857,0.147883012350414,0.210920568476693,0.486678809686363,1.01813437220832,-0.414040539420051,-0.0610633229649907,0.671891079411496,-0.420635403845836,-0.470354606363263,-0.0977294146544924,0.183004168485999,-0.678524815824537,-0.2120975382475,-0.55058034467936,-0.200249869746736,-0.216534198008364,0.387942356067276,-0.428108884796116,0.203290464067013,0.00280662227521992,-0.0406603477130759,0.320251556739304,-0.404397886339289,0.127183585119638,-0.683018224330224,-0.250659404328861,-0.0316373467063104,0.559579500495547,0.100860698444638,-0.517287018263042,-0.320197378262974,0.628174103723615,1.41743313304544,0.618012406886055,0.340601750200353,-0.584490714821446,-0.292326753982417,-0.749687632748057,-0.413635685659246,0.194244492772937,0.498410557181218,1.16209129676404,0.553255507339981,-0.26454894798199,-0.790381368987184,0.201822513199518,0.320770846272167,-0.0632395163882437,-0.617559926426544,-0.216192441256734,-0.195798278183621,-0.346146475818371,0.144592154175211,0.162325047027806,-0.231406204123844,-0.108199661541937,-0.687263899895324,-0.822921209388463,0.294364794377974,0.0389009374819681,0.584368424411623,0.560420116191565,0.611109935266538,-0.145245651937746,-0.311863434324784,0.510907280919169,0.268317883309276,-0.141246233367831,-0.304347212545483,-0.695676844562059,-0.723937094692306,-0.486300574877334,0.3715078282383,-0.629369250608157,0.147178083821876,-0.251837247660417,-0.795484302514608,0.565573498416342,1.11450726331562,0.348511312013006,-0.027913988425362,0.642785812951494,-0.503171239186063,0.543748866660477,0.0845773116032064,-0.104461377965196,-0.169808838547552,-0.173020242024391,-0.0226326632918787,-0.827987116683605,0.621166993446848,0.170023354356829,0.0854595934352136,0.0762290672059787,2.51394308957729,-0.55315444670133
"ACHX_Ctrl_3 (GE) - TPM",-0.268341103605673,-0.517962558401086,1.42574310669016,0.168524849121916,-0.150765060212993,1.74519483223543,0.425571389374197,1.18732510114541,-0.440788045426314,-0.756680616599696,-0.0217289996857374,-0.11322405444151,0.369788715730019,-0.233748357451507,-0.116041178911765,1.78902624277546,0.845197662113425,-0.13934510888183,0.287259570410702,0.470611814054447,-0.282855338313517,-0.37460812322982,0.0256865924355102,-0.367035937254776,0.255737473376805,-0.634400877566081,1.62554764381898,-0.254396000016926,0.635605983581737,-0.245399331153549,-0.602846836889889,0.0986606166378289,0.184831255972564,-0.908213210534275,0.341353064300465,-0.259768421466707,-0.27441893969029,0.259972666190842,0.126146810029656,0.458363687146404,1.05998600763709,1.11081860291016,0.359955247010876,0.0582196571721131,-0.305921737333753,0.0763324008406406,-0.0362425380557536,-0.983078129088958,0.534781018720091,0.491829810854259,0.304538020603539,0.118382817541048,0.0125873018153388,-0.274870375411734,0.388499197025967,1.02878238417998,-0.306655358989311,-0.415816077996632,0.475268605262913,0.0630277926652969,0.419858399533379,-0.447600265033714,-0.267470194965324,0.258432239969528,-0.567480751785701,0.641961879884091,-0.484377177565737,0.246194607066111,0.408989301522973,0.183771358148054,-0.0864668800127925,-0.537370062427694,-0.956159086198707,-0.367047431585232,-0.189663822310095,-0.304173473108911,0.0498049197075767,-0.119462548229243,-0.183037244606439,1.26417392128073,0.432552020112768,1.18570092894892,0.652376264392254,0.269627862894846,-0.265018400328272,-0.520994526269943,-0.661369752047015,0.571683311558718,0.969315653349414,0.0684477134554813,0.373889460978581,0.542751684332244,-0.605845772490179,-0.55937865175869,0.386442500187844,-0.310048410107646,0.017246927396192,-0.205737922628001,-0.0048267071613549,0.317430023591518,1.51607929753488,0.104989638013169,0.285434964643466,-0.517689259877945,-0.0597449584349118,-0.638102233158995,-0.832924655923114,0.497691394707059,0.0578022204080608,-0.408726078648527,0.476472427395188,0.441147887197,1.74294084972788,-0.570899374192583,0.296623328581666,0.582371463388559,0.00592335735542714,-0.156678862861332,-0.386771430869834,-0.560596256177024,-0.459982890527821,0.284389464451211,-0.522954373906379,-0.240854416569501,0.199978368464991,0.112145148934339,1.44089017052393,0.711701842603221,0.632992552072023,0.506265444863363,0.115970143055014,0.729252712009401,0.624782623061286,0.259599158877645,0.189059668702706,-0.11335213036949,1.31417438617309,0.259487251705655,-0.0565201580123708,1.12546524490035,0.392147294052731,0.384047002255027,0.274977437365819,-0.423452826246749,-0.403895131033378
