"","PA0126","PA0141","PA0162","PA0274","PA0413","PA0415","PA0423","PA0427","PA0973","PA0974","PA1013","PA1037","PA1052","PA1056","PA1057","PA1058","PA1059","PA1081","PA1279","PA1280","PA1460","PA1547","PA1587","PA1599","PA1600","PA1601","PA1602","PA1718","PA1734","PA1777","PA1804","PA1994","PA2045","PA2123","PA2199","PA2231","PA2285","PA2462","PA2560","PA2633","PA2661","PA2664","PA2833","PA2864","PA3016","PA3236","PA3343","PA3359","PA3529","PA3556","PA3557","PA3558","PA3559","PA3560","PA3561","PA3584","PA3653","PA3742","PA3870","PA3871","PA3872","PA3873","PA3874","PA3875","PA3955","PA4086","PA4175","PA4437","PA4445","PA4525","PA4539","PA4587","PA4630","PA4694","PA4919","PA4921","PA4922","PA5015","PA5016","PA5061","PA5116","PA5339","PA5420","PA5552","PA5559"
"PSEUDO_As_1 (GE) - TPM",1.60347808828224,1.09762873424592,0.17379565111876,-0.833943248197664,0.955551071902547,0.806921442663919,1.20769594991601,-0.208197290237476,0.744592597920452,1.62928783081272,2.00298323203596,-0.0557824472845136,1.33983052481257,-0.200334199207821,-0.146127205838953,0.692300590641739,0.254412145432446,0.513346991210664,1.22612773054264,0.99790172096906,1.24957532330121,0.38057939344359,0.230847463100862,0.932806499854052,1.3110623118582,0.697149623089591,2.99309063117145,2.46856834962546,0.0758957118024693,0.574365316928032,0.570473360230193,-0.991884225046672,-0.971022749095143,-0.486098437305023,-0.253653418533098,-1.16363629559687,0.176460599430195,0.82333697171763,0.324112268308963,-0.890955878210451,0.237046392808531,-0.113486075104984,-0.661206199939712,-0.224584618255651,-0.222236542606655,-1.17806290494231,-1.20171917401382,1.49229812709013,-0.169540741231263,0.811378656490475,1.81518494963703,0.914398149938104,0.467072813056371,0.351191490258501,0.700178205604152,-0.325325773331254,0.695168093332257,1.5450861471613,0.109010669800858,0.0994588282388395,0.372226811767732,0.320895303357266,0.315081863128076,0.952763114005814,0.0996951604923454,-0.0879501195401674,1.19408661827767,0.559182969905236,0.727477035591521,1.76265879524046,0.11724024633452,0.914710697726458,-0.149039910617822,1.56972687780297,-0.326374108170039,-0.166189942811231,1.62121562097455,1.13338028866488,1.00164992361674,-0.516205113835556,-0.679039459175114,1.12856404966398,-0.246711474414082,0.827695132491263,1.91969757621065
"PSEUDO_As_2 (GE) - TPM",1.01578050166056,0.93005421260555,-0.0747597995615041,-1.31820576378528,1.89393629306556,0.994585152502543,1.77480261213189,0.380568289049838,1.17562130896026,1.55043665818108,2.45105283492854,0.425795137383669,2.34775679289758,0.445988925018024,-0.114701836846743,0.612783296959479,0.692431499403259,-0.0870126405689842,1.81779723273798,1.70845029391087,1.08255932421902,1.20174958902192,0.962066609256219,1.3783650416133,1.61477596560559,1.27377031545528,1.8588205940417,1.3584875020665,0.672112385438377,1.0738045990309,1.69192383725129,-1.65899836814361,-1.34463986069201,-1.5446806833057,1.78176421118621,-1.60862628054985,1.32522264813734,1.00418918501459,-1.9658025625342,-1.38181501826568,0.655054705387944,0.536539466889875,-0.662682203389817,0.771736677102406,-2.02977692812492,-0.995020933453608,-1.25973333130029,-0.545203697028333,-0.11975611103182,1.6835972195668,1.12380571927979,1.46416002287003,0.784450493119174,0.902727630002168,0.976496257302451,-0.316935013591075,1.46504483690425,1.65394272973175,0.833687416677057,1.0048346859828,0.968474553114436,1.04211935941074,0.712016928375263,1.45783379764204,-0.0555420120038471,-0.34289521772106,2.10515012328705,-0.756433626411742,0.929311236878936,1.7682363262663,0.413398943995982,1.1770748510507,-0.850926158028124,2.22950493808266,-0.123016536100832,-0.184168401520188,1.57546859488141,1.58377371462283,1.3769333955962,-0.665243403649028,-1.06984751484806,1.71756603540692,0.745466410502829,1.24970980822178,2.08143108468769
"PSEUDO_As_3 (GE) - TPM",1.28425263490694,1.21282054958156,0.524832147419412,-1.19302652671499,1.79659789819655,1.09681252526018,1.08361414074644,0.621581604736985,1.0517979902946,2.14947954130864,2.09760414655367,-0.110465920824725,2.07995980921022,0.845221630088636,0.548521404617238,0.674538204001506,0.425700404118167,-0.197247264665061,2.26556780990886,2.0740744373364,2.25516771342387,1.31148245897621,0.845848050349138,1.8007669781625,2.14615194965968,1.62234041649253,1.93933405052016,1.53117340257898,-0.815910836623078,1.2566559669575,1.3533782565549,-1.93139130579558,-1.49663951667343,-0.996692029036538,0.372234239808996,-1.43554195070894,0.268593237844739,1.39050534024554,-0.53328269913516,-1.45754299768577,0.729088821089692,0.323511272073014,-1.60542994101937,-0.342782943830716,-0.841231975224972,-1.54865704577402,-1.72000056528306,-0.399351048011141,-0.146306846490223,1.47230683457234,1.53337410401548,1.25133659645104,1.03545099221071,1.08055913110047,1.59450493922494,-0.215723969436592,1.26192728968186,1.77440152712642,0.8942084953705,0.699674320789977,1.13799079048473,0.758406858422764,1.06696586455767,1.63085892546421,-1.2717299758221,-0.32261060552755,1.24169457952771,0.22963906123583,0.626074599576814,1.50060096494109,0.0431320688815462,1.24055286592148,-0.695127436512619,2.0410238974188,-0.0156063556713109,0.0600451965943488,1.36117260564852,1.65167770274359,1.62309499757781,-1.09323299760628,-1.03773650587969,1.18607566541579,-1.14144961080395,1.10533400858665,2.21106630417694
"PSEUDO_Bs_1 (GE) - TPM",-0.284086613331299,-0.19634539091579,0.767763458648347,-0.489682773093858,-0.126568503477936,-0.439292105336956,0.0489282585877824,-0.0795633527992402,-0.0290583318537771,0.0679552945397835,0.109450253560374,-0.524438971970624,0.528250031809009,-0.283994153102,-0.0707270812079799,-0.262385364487679,-0.216494817385284,1.34603019105554,-0.454470747563115,-0.207815602753831,1.05262705882006,0.851420492533027,-0.506685321751958,-0.163419152280738,-0.0223662965145523,-0.135549935287216,-0.28544679082958,-0.222770068606981,-0.61668033602962,-0.224321403111916,0.627461289658023,0.160982861625051,0.449334776977988,0.196221299717307,-0.314124911894603,-0.170773584862722,0.598851724616423,-0.0903785009038475,0.179467477998239,-0.158405457144553,1.43028627603507,1.4217973693886,1.4293424830734,-0.0705980867341564,0.763372338311674,0.369685907848911,1.19875512514546,0.656567759237186,-0.169774417280539,-0.411146210557609,-0.328920873889148,-0.142073951476959,-0.200920167837563,-0.292059038593882,-0.116399002165026,0.649046398646393,-0.303648204400219,-0.252225321100906,-0.0864887215991804,-0.179612108223085,-0.261849174909153,-0.323821002568286,-0.239086538617162,-0.411182553995993,0.810704151961723,-0.39714584952622,-0.271169575669483,0.266718587700343,0.254466620224426,0.488101073789394,0.538046612616293,-0.136743484732925,0.732621279738864,-0.118272568694315,0.00928063460961063,0.0618846299357339,-0.324812693400115,0.384904692037604,-0.22256832958385,-0.145433813249853,-0.645757851674492,0.122593789434035,0.180493922870822,0.394179987988185,-0.435976612150798
"PSEUDO_Bs_2 (GE) - TPM",-0.56681648789738,-0.357129338637029,0.292191557010053,0.0327692593848556,-0.20489147161921,-0.374125949590568,-0.169631612745588,0.199776009841386,-0.0653812918014134,0.397133065685593,0.114234799799949,-0.320652869701055,0.414211649000681,-0.389713733266547,-0.389263816787356,-0.580352156798222,-0.239385940527568,0.881700428292052,-0.44590859860672,-0.460969465736939,0.5645399704092,0.978751357429626,-0.60774210936018,-0.331760090102286,-0.270602687300686,-0.333785216159437,-0.324506576111039,-0.493902243726427,0.74740265856696,-0.208097360289059,0.253207212206879,-0.0337263079511284,0.49033225495488,0.267985708135955,-0.358711059359425,-0.270756136702571,0.0717461548817551,-0.230300680969464,0.0435494977654788,-0.160837496814434,1.42877302311721,1.26158499410559,1.91088093134099,-1.02612393868142,2.17563057600088,-0.167000445318144,1.04513965133002,-0.117480957406984,-0.483495335545342,-0.110956673715821,-0.300436037207641,-0.315515807536426,-0.419568745627904,-0.296793436960368,-0.0275040590442333,0.401570276096511,-0.314219857391992,-0.21054980121284,-0.320555604486906,-0.369306232842237,-0.353252341336027,-0.528518720841644,-0.409737423342711,-0.625155611720944,0.285982821153204,-0.0826275128600245,-0.0989250897222343,-0.244908183823569,-0.0233215005181003,0.910411074908324,0.268138702993861,-0.274268699259719,-0.401464268120894,-0.0138706689447528,-0.153712394087563,-0.0641513311571098,-0.405062845253847,0.389125945899973,-0.188522659782362,-0.132132572117836,-0.0765141542296314,-0.461168784316666,-1.22739691752861,-0.0543952666844515,-0.448645457996665
"PSEUDO_Bs_3 (GE) - TPM",-0.666022909556028,-0.323703734820082,0.132176834470661,0.715236252987788,-0.194540703344016,-0.136762276009697,0.189462647706131,0.0149700757976276,0.0747258582127071,0.312101309112725,0.0618791742472514,-0.137425503140307,0.754478546598614,-0.332612810489944,-0.0877503801618894,0.0775639338301499,-0.110567193843234,1.05641255360264,-0.301783726059261,-0.534492828867123,0.538265417949688,1.37886948557215,-0.693487475459863,-0.10367256583126,-0.520955737115544,-0.388572995552213,-0.481025461288597,-0.73782213852461,1.62147807138234,-0.0432812293908681,0.326205900897915,0.431841571054531,0.716067162543668,0.962661827867606,-0.799131677826321,-0.376288778504296,1.25544525471567,-0.303550990246042,0.594781538206275,-0.313826270499281,1.36755281965054,1.09058699147958,0.257553292475271,0.85734490380083,0.959079756069657,-0.626106464179369,1.19775893808507,0.339505506798339,-0.554232822739289,-0.283853284016173,-0.432306009578064,-0.178948823285546,-0.39239310554134,-0.208083552354207,-0.174998730849406,0.283163284106134,-0.398931444565944,-0.140805722116847,-0.452599850833892,-0.419274794870419,-0.332341701415576,-0.448712478319875,-0.447434644106792,-0.610601248781032,1.3959296578496,-0.935773148544962,-0.144284087829903,0.193889027122028,0.410535333873159,0.538615989314274,0.629965678262423,-0.219242154616209,0.133858708461752,0.0297751355493845,-0.132205370388321,-0.0973169618292686,-0.197354593408875,0.2247409665061,-0.249854390609305,0.0968646360203199,-0.56110424964176,0.0272033626928525,0.302204500409674,0.0453475247101417,-0.458179049827886
"PSEUDO_Ctrl_1 (GE) - TPM",-0.380070286886862,-0.129399539622121,-0.273369300487949,0.042001106959224,0.0108464923208875,-0.244245275997708,0.429981931465051,-0.0754194984279019,0.71629337970916,-0.0136005373058412,0.203265891041938,-0.617070670823444,0.60387920934595,-0.578567490324919,-0.115051560026084,-0.054897797041202,-0.0701099855175612,0.253142795906407,-0.434647242857665,-0.253025522632757,0.829363208797604,-0.00946911133204808,-0.419475211385635,-0.373354260393828,-0.436983029915362,-0.44109068437062,-0.452876324228067,-0.355377934324467,-0.410205550037039,0.580180049453587,0.663141830727844,-0.251817005878613,-0.330910359872138,-0.156802904909463,0.222602698374812,-0.526612740589257,0.851380634737679,-0.105149424549059,0.0737403195943715,-0.59778911273929,0.658187500625948,0.603653528474188,-0.389525546637495,0.655946345781635,-0.276163690222659,-0.403538543752046,0.611411204057131,-0.771069847858471,0.037054411413151,-0.334905968918453,-0.433345082032858,-0.18490906381593,-0.503322257045601,0.0717371845671993,0.305662619770974,0.154682319753588,-0.471779033463839,-0.194221601473974,-0.292086165193382,-0.36782412255044,-0.297596004772267,-0.336390998628016,-0.395783902242438,-0.578929546860335,-0.145026485341575,-0.0304199232313828,0.553516806003548,0.5130172721721,-0.270275190942721,1.50185578856638,-0.198999474047837,0.221341512147212,0.0949722448792971,0.173228217097419,0.855131839057481,0.728096811497301,0.218153651763486,1.08379706387906,0.515011334476402,0.229754393870894,-0.251323813594642,0.327891846114065,0.00346457173489162,0.23283090402931,-0.555225356701189
"PSEUDO_Ctrl_2 (GE) - TPM",-0.639464774850978,-0.24706230230019,-0.325764505714699,0.587289921194259,-0.00363132770117321,-0.344521425043418,-0.0395100175094731,-0.273256296690218,0.117134666457711,0.239616393746842,0.0800043829330446,0.497910350642636,0.518626106124836,-0.212216569294044,-0.356581889270584,-0.896844002407956,-0.234928218472971,0.0160517914905502,-0.332970696329967,-0.635286341660199,1.24734028460598,0.739398822443792,-0.535645352126891,-0.455760396138495,-0.378026817816271,-0.406329641159819,-0.311103512163855,0.141571968983302,0.357441149362788,-0.14373775666216,0.127628742513353,-0.139870178098986,0.188102202687134,0.0978174196042778,0.633449526307804,-0.669526105433015,0.462097783289398,-0.123294753057755,-0.219004577115475,-0.196840756061315,1.54959938908617,1.03541527792463,1.52698106828417,0.844652035053353,-0.266630043443233,0.472147535811585,0.621654925583143,-0.331874275271236,-0.0714766752970639,-0.133189394807388,-0.0653454492191974,-0.380247342354522,-0.0359227575167232,-0.116444957197266,0.0966878265476668,0.36973327048209,-0.592896329240634,-0.258158472432591,-0.291846236039624,-0.178304100455787,-0.24235544301019,-0.423889357137187,-0.31590225694867,-0.562624697781339,-0.431876649321152,-0.613784092579969,0.446937402962791,0.621982099729898,0.409427070426492,0.78891491609649,0.220337677150148,-0.173242171997284,-0.214938350777562,0.0624672468411698,0.0563908371333766,0.335444988954519,0.033742451738784,0.595055769329726,0.32443960683756,-0.33786184089209,0.181640578306993,0.0689570815309077,0.546967045421465,0.256597877080878,-0.370817153295195
"PSEUDO_Ctrl_3 (GE) - TPM",-0.497060136440851,-0.26953755590043,-0.0861264210844046,0.535006651169527,-0.303927008297348,-0.600734986417469,0.419276492294673,-0.529368160708017,0.304449238318485,-0.254251469002337,0.123243605912206,-0.197670432282154,0.435192096856123,-0.673680129063318,-0.292203282062183,-0.533151577106457,-0.0798336885959164,0.0344142028744119,-0.461593308903843,-0.121315172213114,1.34779140181739,0.59032696371694,-0.555829414908679,-0.137707966295682,-0.394210796282666,-0.4385333275696,-0.322680929077426,-0.163385448883214,-0.102539885088938,0.0884537276755106,0.513148582486813,-0.398331351300078,-0.0704243662726845,0.39558341000356,-0.553987113520756,-0.655033178666811,-0.102956228159587,-0.252086721242951,0.370608150875874,0.00113817069987745,1.38724522442178,0.962086580143774,1.21670020862443,0.647767966042255,-0.821486763509168,-0.452647321120034,0.442557993202297,-0.048892699416107,-0.052275706023932,-0.422944092854675,-0.123519206036129,-0.277751111991424,-0.471526702182474,-0.365223331189837,-0.111020472983105,0.371627511249605,-0.482830548308329,-0.160342978062134,-0.42064675995818,-0.359283828129856,-0.130057130821947,-0.462966034883519,-0.335979117903436,-0.530803778614191,0.67213973252459,-0.840320010241619,0.0310333749177144,-0.321715618948157,-0.0153891397832946,1.27586811164776,-0.378550149883995,-0.179662125132877,0.016434449322853,0.0871348976235243,0.25266250303557,0.0577947748350662,0.519219893629638,0.781844437521495,0.268331516531867,-0.185197691649443,-0.557220856023966,0.0408160434667658,-0.802521513105278,0.429872719409769,-0.506097981514293
"PSEUDO_Li_1 (GE) - TPM",-0.350050901556396,-0.0752833741383423,1.31039563106845,-0.724571462249888,-0.17538515738739,0.13990775754115,1.07412931682218,-0.118179456628217,0.683590840131714,0.559766285673583,0.500293740968153,0.507658943078671,-0.426369347922968,0.964147153952667,1.8106600357237,0.334701594851887,1.45804119089783,-0.392064668759753,-0.332060193269184,-0.114114155004941,-0.542720672396054,0.848962301709805,-0.102731257252031,-0.445416169798647,-0.554997541527806,-0.568923239365602,-0.434557176187693,-0.424222834866729,-0.23341779316904,-0.0613353494130274,1.08175655912795,0.103021525212547,0.655683137001042,0.0426477747354974,0.100144150158945,-0.851172560311336,-0.123188107844356,-0.0791672162956894,-0.779364917166691,-0.203153663891184,-0.746671246744424,-0.888899572481687,0.136390134804068,0.470394331975718,0.852309661815415,-0.336249760051732,-0.724168779402107,0.733545458354795,-0.0277497691205547,0.101424936385871,0.182316017385777,0.0430583176957682,0.368107777337232,0.115814342554836,0.208381132348599,-0.182217645698251,-0.0191741591604208,-0.271155057283308,0.187752620832986,0.115818633485405,-0.168369187532947,-0.158308887066492,-0.11025470366398,-0.107896055777273,1.45747239162889,-0.0872873483723466,0.313323929973219,-0.255578229249498,0.413593990372582,0.707190442800634,-0.214072796709961,-0.452641576766049,-1.22811412489809,0.0372250199419899,0.0455347444188809,0.877839904771667,-0.0157447543794024,-0.682971808299588,-0.574455714615823,-0.619354410584037,0.601048133230005,0.694187710728585,0.699301119921017,1.03772595774418,0.510825303375005
