"","lmo0135","lmo0136","lmo0137","lmo0152","lmo0519","lmo0609","lmo0611","lmo0837","lmo0903","lmo0926","lmo0973","lmo1005","lmo1015","lmo1016","lmo1064","lmo1210","lmo1234","lmo1329","lmo1384","lmo1567","lmo1568","lmo1688","lmo2024","lmo2050","lmo2072","lmo2100","lmo2115","lmo2390","lmo2433","lmo2513"
"Listeria_As_1 (GE) - TPM",1.55984292521671,1.23833285964345,1.80814104878202,1.51398964224908,2.08547185900278,1.83783347623249,0.29050230519183,1.52453405069329,1.1098134125294,-1.53165524250981,1.75104273621945,-0.293083244356455,1.00659085627452,1.27361307197543,1.62843661510672,2.67444054660128,1.19184523165327,1.23134283896712,2.06897776928571,0.0734235321217378,-0.528082169627024,1.16612709176269,0.364312546700005,1.29313904946663,1.29363789427501,0.016118806924254,2.11207577967793,1.43114564652498,1.77465209135828,0.648933902926659
"Listeria_As_2 (GE) - TPM",1.47596433243354,1.63564112921309,1.49876850502437,1.3822684179113,2.61105340841239,1.30624252533515,-0.0192257125074223,2.15113092118585,1.48999431441306,-1.22767737537729,1.0106079819566,-0.123879485894076,1.84782371470412,1.74064700077326,0.937065400426292,1.41502864915083,0.804786809467566,1.62164153375338,2.02121279506392,0.0753096635309926,-0.75956630578896,1.11267289881722,1.3848624542897,1.73007540702078,1.44258468964344,0.58605598098888,1.31747366606298,1.12915724233732,1.23580820989229,0.81353312556149
"Listeria_As_3 (GE) - TPM",1.89417086000891,1.45198508469656,1.3347863833359,1.58895433909568,1.8039268953276,1.41873482753619,0.847018532845108,1.94630510477047,0.709012853416962,-1.48365306367097,1.73652122416898,0.455365146123407,1.21601626794993,1.19523764834716,1.11468446752588,1.36240239563461,1.1580799254782,1.60600277285302,1.92218391503095,0.42355674438347,-0.351362656753999,1.0691843233935,0.965292463654191,1.73906095337758,1.38321798846275,0.082986073160311,2.08057327667529,1.50668403902687,1.27325551399886,0.86741342274711
"Listeria_Bs_1 (GE) - TPM",-0.915851541193987,-0.802253547193029,-0.746737761176194,-0.889917025414114,-0.678482831459618,-0.295244520630894,-0.285569432557065,-0.809190059987119,-0.772419112841763,1.23357262100179,-1.45348405081682,-0.587318973783152,-0.994630463071507,-0.858485052023525,-0.591525178553668,-0.610972248210224,0.384303925880174,0.268524925685075,-0.288233253876854,-0.606061010516965,-0.161335400748487,-1.05202635809488,-0.20137811605586,-0.624109084528872,-0.543277969833342,-0.0802558764439112,-1.08191469313033,-0.11294240886078,-0.811647022749106,0.149031356418456
"Listeria_Bs_2 (GE) - TPM",-0.899144258724559,-0.807460513494782,-0.76511160407995,-0.888852495899948,-0.675646642818574,-0.319262927235935,-0.0178217102275459,-0.92327705350027,-0.765514456160178,0.276046799860224,-1.27885710528798,-0.547991629205378,-0.916728991979397,-0.750769655757415,-0.841425771122174,-0.570313154520436,-0.0889059490057899,0.0721812069604882,-0.135689589586386,-0.636751258801923,-0.388657263820301,-0.467253046623519,-0.172993714929768,-0.680884271370651,-0.383492170279165,-0.22929567143474,-1.04629003692115,0.0329794966995684,-0.544722808877425,-0.187139948508649
"Listeria_Bs_3 (GE) - TPM",-0.900820182445347,-0.758292541273591,-0.676289014509004,-0.882224472413339,-0.841405417089094,-0.303189188880326,0.0522096384806328,-0.848495432862632,-0.677398276548519,-0.617967864614176,-1.26419296650094,-0.573863226432066,-0.996587632343996,-0.829377047364111,-0.417194427819309,-0.874848334336362,-0.106797119197373,0.163163211358472,-0.364436548842573,-0.447388800861463,-0.514180303082391,-0.831009063228331,0.79581684905971,-0.805964169570063,-0.280199748830254,-0.402615255198431,-0.979616517054658,-0.37506296646411,-0.622932000553209,0.258089311339997
"Listeria_Ctrl_1 (GE) - TPM",-0.77622961930167,-0.698124931273539,-0.679605026274904,-0.782384256179416,-0.753500125281144,-0.884247068648429,-0.762441443243112,-0.258961728216915,-0.608335307476976,1.45782936084964,0.352133506338809,-0.234525148600652,-0.449320978637107,-0.400124826373808,-0.455491064933873,-0.137880498112242,-0.420961364197868,-0.447552711934584,-0.770817462488876,-0.801734855947331,-0.548991563499699,-1.04859935959856,-0.202563444923817,-0.0529308154563948,-0.608092464908641,-0.925107061352041,-0.709539284507867,-1.08953882239278,-0.941268485919635,-0.954585517485103
"Listeria_Ctrl_2 (GE) - TPM",-0.628649689139325,-0.677861108693392,-0.647584086726602,-0.744225294677399,-0.500408755581076,-0.868022545666854,-0.550491912037653,-0.595127607602136,-0.509935786206151,1.97087955272306,0.270408086611865,-0.0936310566488643,-0.672425992132885,-0.394405235174721,-0.514073108994704,-0.257799474043052,-0.354418043342982,-0.596847525686888,-0.797482891352336,-0.934757696742376,-0.557353964673796,-1.33526349229943,-0.00170524074829069,-0.367898665322944,-0.543569027919225,-0.576230283901712,-0.681516626645847,-0.873040363934735,-0.920956325045427,-1.17447790630284
"Listeria_Ctrl_3 (GE) - TPM",-0.691073189748019,-0.700420181891609,-0.58179793473765,-0.7660775120899,-0.495276586943196,-1.06514151303259,-0.748423909876162,-0.383458532530904,-0.707620899970833,0.328368696423224,0.367433982885333,-0.0745879015592868,-0.644524226370679,-0.352427764197074,-0.642052056958799,-0.237333734145698,-0.282008857259941,-0.658586287494145,-0.712738899962107,-0.923066159343962,-0.446246944643819,-1.07204525330038,-0.231945703043662,-0.0784047284502286,-0.390290486460738,-0.989567142747747,-0.735301022165247,0.243757901820043,-0.890963500684557,-1.17617039044308
"Listeria_Li_1 (GE) - TPM",-0.643905299800868,-0.598933304085699,-0.584392873666573,-0.568135328591844,-0.62213085603695,0.203923454200476,-0.460985454855348,-0.371712277536687,-0.392017529120991,-0.589895100734434,0.0230264618902924,1.55028195600869,-0.118541785103533,-0.111328563569173,0.436325714800635,-0.306259764119294,-0.34811111273538,1.29911581816214,0.416728001913014,0.245976656451132,1.32465638042348,1.39245755477503,-1.31752324336303,-0.613462945420322,-0.189539071151326,-0.746610083339269,-0.241992759957095,0.121883394559589,-0.210068110001455,-0.160367640196849
