"","pWR501_0219","pWR501_0221","pWR501_0242","SF5M90T_38","SF5M90T_62","SF5M90T_92","SF5M90T_488","SF5M90T_531","SF5M90T_630","SF5M90T_984","SF5M90T_1202","SF5M90T_1278","SF5M90T_1359","SF5M90T_1506","SF5M90T_1674","SF5M90T_1828","SF5M90T_1870","SF5M90T_1963","SF5M90T_1967","SF5M90T_1980","SF5M90T_2067","SF5M90T_2092","SF5M90T_2240","SF5M90T_2644","SF5M90T_2647","SF5M90T_3015","SF5M90T_3043","SF5M90T_3081","SF5M90T_3478","SF5M90T_3512","SF5M90T_3702","SF5M90T_3708","SF5M90T_3773","SF5M90T_3776","SF5M90T_4032","SF5M90T_4103","SF5M90T_4183","SF5M90T_4191"
"SHIF_Oxs_3 (GE) - TPM",-0.631209819746266,-1.15274349946693,-0.386192416807335,-0.049182669444249,-0.0715767561547968,0.596664930996453,-0.181621020570477,0.0153044211311254,-0.223791938112075,0.0906155641883296,-0.180583061004905,-0.587484369399591,-0.980468588424547,-0.818980394380096,-0.237777175933093,0.396791963329072,0.0986064299237058,-0.416196804706737,-0.269971962166184,-0.145166106205102,-0.170185834705135,0.146816834654959,-0.201990997625282,-0.415375119816377,0.779848917865837,-0.572631429983872,0.412147091860408,-0.372004999247378,0.333925059601327,-0.475509720255871,-0.553476308948087,-0.948811977810907,-0.857285880539967,-0.497139468559756,-0.056851061481762,-0.583608398806045,-0.490928885891739,-0.215138432049628
"SHIF_Sp_1 (GE) - TPM",-0.569618106421153,-0.471873267820572,-0.386192416807335,-1.09700124266497,-0.492102633807187,-0.547549065707965,-0.397024902389824,-0.519217203338509,-0.547050937165356,-0.694465072534019,-0.934610175059956,-0.189809846452395,-0.127199536773633,-0.112562991423407,-0.237777175933093,-0.605702729701121,-0.850811700319516,0.507487076502839,-0.269971962166184,-0.419019913756168,-0.592608251278659,-0.384927244318097,-0.658996097457905,-0.442139534741239,-0.866405167090465,-0.572631429983872,-0.581218816587366,-0.657845196719607,-0.223859931752643,-0.384948728925112,-0.368086392023902,0.594864765184941,-0.937987798370585,-0.0965210714384928,-1.00410687475985,-0.566480987328845,-0.72929287146359,-0.0422383004944091
"SHIF_Sp_2 (GE) - TPM",-1.29294054578843,-0.836771302174798,-0.386192416807335,-1.09700124266497,-0.523653694501168,-0.524080393096472,-0.776048644370338,-1.1634537503981,-0.547050937165356,-0.694465072534019,-0.979892776614914,-0.843963806511183,0.447067067738169,-0.767696372795684,-0.237777175933093,-0.605702729701121,-1.22626828459478,-0.670482437057046,-0.269971962166184,-0.419019913756168,-0.721636766656694,-0.384927244318097,-0.658996097457905,-0.317351041293597,-1.31074579560283,-0.572631429983872,-0.581218816587366,-0.736181007112873,-0.340201977060009,-0.804515960701972,-0.0562317626644008,-1.32522443328672,-0.407089520810476,-0.427426905489963,-0.758753621027903,-1.43129351762842,-0.614022066995992,-1.30035080569274
"SHIF_Sp_3 (GE) - TPM",-1.29294054578843,-1.00880751726412,-0.386192416807335,-1.09700124266497,-0.521343617083684,-0.459825390475457,0.238335838256163,-1.1634537503981,-0.547050937165356,-0.694465072534019,-0.986734768183071,0.0313951127113671,0.583025574770178,-0.315437111498931,-0.237777175933093,-0.605702729701121,-0.72384944985669,-0.459867442894545,-0.269971962166184,-0.419019913756168,-0.599987689834627,-0.384927244318097,-0.658996097457905,-1.45236424269203,-0.716149483445019,0.242135021993639,-0.581218816587366,-1.05668830156131,-0.645650396629027,-0.804515960701972,-0.939656347879381,-1.32522443328672,0.101272711178845,0.187348443472524,-0.967765398246659,-0.852667225026052,-0.545105994242714,0.0464880975791376
"SHIF_Tm_1 (GE) - TPM",0.769429237939202,0.510122107570232,-0.386192416807335,-1.09700124266497,-0.161663394745482,-0.622051283841948,-0.776048644370338,0.0611305805521733,-0.25320299170485,-0.456581174669032,0.379049901241021,-0.144531253533215,-0.30759173490293,0.178778817726855,-0.237777175933093,0.305582050928724,-0.423379137935561,1.17641718936971,-0.269971962166184,-0.419019913756168,0.0596877989194634,-0.384927244318097,-0.658996097457905,0.538260080149146,0.114543902253475,2.89946314855061,-0.581218816587366,0.686215586273092,1.07575147063699,-0.804515960701972,0.609723400656375,0.55668496068962,1.03341546982654,0.0613146954961642,0.241362397242822,-0.198397139924842,-0.626882166892382,-1.30035080569274
"SHIF_Tm_2 (GE) - TPM",0.530161650515732,-0.585931718526332,0.333782022852956,0.635075205514392,-0.17680976812186,-0.078387607980688,-0.366628972866011,-0.35156889796324,0.343544236793605,0.0265141097735163,0.318653460950304,0.392610772306395,1.01567188790808,1.08177668763612,-0.237777175933093,-0.605702729701121,1.00434716254558,0.931688491106536,-0.269971962166184,-0.419019913756168,0.114086345317607,-0.0186816703815249,0.28530832411597,0.860492203254414,-0.470790129655175,-0.572631429983872,1.01523279209015,1.54315872075705,0.910959472090942,0.328520437945886,0.744555588677494,-0.0289298315401674,0.212862906637288,0.121931761331412,0.150673626593786,1.13766420942582,-0.391429847379936,-0.48494646285189
"SHIF_Tm_3 (GE) - TPM",0.482473763926526,0.0969528606498456,-0.386192416807335,0.589768329424792,-0.143546636830107,-0.0428668233259621,-0.377338388278292,-0.259856111626054,0.103423602511,-0.167874972507377,0.278071305123641,-0.671931118358057,-0.158326637817011,1.67324258185137,-0.237777175933093,-0.605702729701121,0.156084087032341,1.13477758489348,-0.269971962166184,0.315726033329024,0.18878184290626,-0.0282617574084906,-0.658996097457905,2.09627167606029,-0.142196532519423,-0.572631429983872,1.63977024928606,1.10202293418813,-0.0459251800948322,-0.142476594544194,-0.549354534341698,0.315878291210271,0.427117845905253,0.0942591582233989,0.541087352079566,0.615601098953578,-0.319019448530773,-1.16800491196409
"SHIF_Vic_1 (GE) - TPM",-0.771185955650471,-0.260680470832935,-0.180142547901124,-0.766531987493489,-0.492066830006194,-0.309745192833855,-0.424532541570047,-0.167651925975479,0.345028740525346,0.0277158861602945,-0.214184994804512,-0.641737555992281,0.516130983867686,0.194562054587296,-0.237777175933093,-0.210484413062152,-0.181644790059852,0.648413965065304,-0.269971962166184,-0.419019913756168,-0.0952580501067537,-0.175295211946777,-0.118494125032797,-0.371677816145827,-0.829971075173583,-0.572631429983872,-0.450679005893942,-0.614006370788063,-0.447705965565017,0.362835488226467,-0.496802641454202,-0.509052497471032,-0.321764349203738,0.102068975477259,-0.313151864667931,-0.22822034649431,-0.488182881165429,-0.289119789202985
"SHIF_Vic_2 (GE) - TPM",0.163074533580244,-0.569794627172582,-0.386192416807335,0.516869336210546,-0.593941413492119,-0.689473427424542,0.368387613517735,-1.00135140226405,2.56476036132515,-0.442549136906189,-0.538772919054382,-0.843963806511183,0.0502991129892495,-0.209488622020044,0.112204247057641,-0.605702729701121,-0.37601918233162,0.1913610514065,-0.269971962166184,-0.419019913756168,-0.388771976281947,-0.384927244318097,-0.219065998843478,-0.363788569853587,-1.14303877952636,-0.113018588386279,-0.262468499106054,-0.285184612599686,-0.536315231824357,-0.487802322564973,-0.902817470831229,-0.419352875326843,-1.06111492240608,-0.724762325354621,-0.440463842125917,-0.125672383739826,-0.725764853811131,-0.730533110567237
"SHIF_Vic_3 (GE) - TPM",0.215932760454991,-0.694193938931344,-0.386192416807335,-1.09700124266497,-0.461325563167954,-0.384866192276811,-0.301655392643398,-0.222725393071547,-0.289068498942054,-0.694465072534019,-0.498804333707697,-0.434588100116485,-0.389365348147213,-0.240053729282104,-0.237777175933093,-0.605702729701121,-0.521375488984973,0.170595798459431,-0.269971962166184,-0.419019913756168,-0.261612356638559,0.463807883580923,0.0704455588700356,0.595531246551766,-0.615564425046133,-0.191592767453433,0.211554036824027,-0.280780578930141,-1.0996236721958,-0.541946836736077,-1.22699410569421,0.326989173799228,-0.140276360288286,-0.410641896016894,-0.418746177273856,0.192329950171288,-0.819485535401543,-1.30035080569274
