"","ETEC_RS00390","ETEC_RS00400","ETEC_RS00580","ETEC_RS00585","ETEC_RS27290","ETEC_RS00700","ETEC_RS00920","ETEC_RS00925","ETEC_RS00980","ETEC_RS00985","ETEC_RS01015","ETEC_RS01020","ETEC_RS01245","ETEC_RS01390","ETEC_RS01710","ETEC_RS01870","ETEC_RS27420","ETEC_RS01910","ETEC_RS01915","ETEC_RS01920","ETEC_RS01955","ETEC_RS29710","ETEC_RS01995","ETEC_RS02015","ETEC_RS27435","ETEC_RS02250","ETEC_RS27465","ETEC_RS02375","ETEC_RS02780","ETEC_RS02855","ETEC_RS02910","ETEC_RS02930","ETEC_RS02935","ETEC_RS02940","ETEC_RS02945","ETEC_RS03030","ETEC_RS03170","ETEC_RS27550","ETEC_RS03245","ETEC_RS03395","ETEC_RS27580","ETEC_RS03525","ETEC_RS03800","ETEC_RS03865","ETEC_RS29760","ETEC_RS04295","ETEC_RS04305","ETEC_RS04605","ETEC_RS04620","ETEC_RS04745","ETEC_RS04885","ETEC_RS04895","ETEC_RS04900","ETEC_RS04905","ETEC_RS05005","ETEC_RS05390","ETEC_RS05480","ETEC_RS05505","ETEC_RS05830","ETEC_RS06045","ETEC_RS06050","ETEC_RS06125","ETEC_RS06405","ETEC_RS06515","ETEC_RS06525","ETEC_RS06535","ETEC_RS06560","ETEC_RS06910","ETEC_RS06925","ETEC_RS27845","ETEC_RS07145","ETEC_RS27865","ETEC_RS07740","ETEC_RS29865","ETEC_RS08060","ETEC_RS27920","ETEC_RS08415","ETEC_RS08475","ETEC_RS08565","ETEC_RS08725","ETEC_RS08730","ETEC_RS08735","ETEC_RS08875","ETEC_RS08885","ETEC_RS08920","ETEC_RS08970","ETEC_RS09230","ETEC_RS09305","ETEC_RS09320","ETEC_RS09805","ETEC_RS09840","ETEC_RS09845","ETEC_RS09850","ETEC_RS09900","ETEC_RS10310","ETEC_RS10315","ETEC_RS10715","ETEC_RS10720","ETEC_RS10745","ETEC_RS10885","ETEC_RS11215","ETEC_RS11245","ETEC_RS11250","ETEC_RS29945","ETEC_RS28190","ETEC_RS28195","ETEC_RS28200","ETEC_RS11550","ETEC_RS11680","ETEC_RS11815","ETEC_RS12075","ETEC_RS12080","ETEC_RS12115","ETEC_RS12245","ETEC_RS12250","ETEC_RS12255","ETEC_RS12260","ETEC_RS12495","ETEC_RS13115","ETEC_RS13445","ETEC_RS13545","ETEC_RS13705","ETEC_RS13750","ETEC_RS14035","ETEC_RS14070","ETEC_RS14265","ETEC_RS14450","ETEC_RS14625","ETEC_RS15150","ETEC_RS15160","ETEC_RS15265","ETEC_RS15270","ETEC_RS15355","ETEC_RS15370","ETEC_RS15375","ETEC_RS15420","ETEC_RS15425","ETEC_RS15430","ETEC_RS15560","ETEC_RS15565","ETEC_RS28465","ETEC_RS15605","ETEC_RS15610","ETEC_RS15615","ETEC_RS16025","ETEC_RS16410","ETEC_RS30090","ETEC_RS16560","ETEC_RS16585","ETEC_RS16855","ETEC_RS16860","ETEC_RS16925","ETEC_RS16940","ETEC_RS16970","ETEC_RS17375","ETEC_RS28620","ETEC_RS30135","ETEC_RS28625","ETEC_RS17470","ETEC_RS17475","ETEC_RS17640","ETEC_RS17735","ETEC_RS18180","ETEC_RS18520","ETEC_RS18600","ETEC_RS18675","ETEC_RS28710","ETEC_RS18840","ETEC_RS18870","ETEC_RS18935","ETEC_RS18945","ETEC_RS18965","ETEC_RS19790","ETEC_RS19945","ETEC_RS19950","ETEC_RS19955","ETEC_RS20040","ETEC_RS20125","ETEC_RS20140","ETEC_RS20175","ETEC_RS20180","ETEC_RS20195","ETEC_RS20235","ETEC_RS20240","ETEC_RS20245","ETEC_RS20725","ETEC_RS20730","ETEC_RS28845","ETEC_RS28860","ETEC_RS21005","ETEC_RS28890","ETEC_RS21345","ETEC_RS21420","ETEC_RS21465","ETEC_RS21710","ETEC_RS21765","ETEC_RS21980","ETEC_RS22005","ETEC_RS22035","ETEC_RS22165","ETEC_RS22170","ETEC_RS22280","ETEC_RS22285","ETEC_RS22305","ETEC_RS22310","ETEC_RS22540","ETEC_RS22640","ETEC_RS22860","ETEC_RS22980","ETEC_RS23195","ETEC_RS23245","ETEC_RS23430","ETEC_RS23485","ETEC_RS23705","ETEC_RS23720","ETEC_RS30220","ETEC_RS23920","ETEC_RS29125","ETEC_RS24035","ETEC_RS24045","ETEC_RS24055","ETEC_RS24160","ETEC_RS24165","ETEC_RS24195","ETEC_RS24255","ETEC_RS24460","ETEC_RS24550","ETEC_RS24970","ETEC_RS25050","ETEC_RS25110","ETEC_RS25190","ETEC_RS25195","ETEC_RS25200","ETEC_RS25445","ETEC_RS25490","ETEC_RS25795","ETEC_RS26130","ETEC_RS26135","ETEC_RS26140","ETEC_RS26215","ETEC_RS26275","ETEC_RS26280","ETEC_RS30300","ETEC_RS26335","ETEC_RS26395","ETEC_RS26400","ETEC_RS26060","ETEC_RS26080","ETEC_RS26520","ETEC_RS26750","ETEC_RS26755","ETEC_RS26845","ETEC_RS26850","ETEC_RS26875","ETEC_RS26890","ETEC_RS27015"
"ETEC_As_1 (GE) - TPM",-0.44331974291297,-0.521426369184119,-0.534887882598941,-0.566351795075303,-0.389031855143058,-0.791835812625652,-0.238735952392725,-0.0601687817386425,0.660987715321885,-1.09405268467158,0.595388596344926,-0.146331465108079,-0.85591394768081,0.0562033075099582,0.0653580897992445,-0.257793364390979,-0.217160950703396,-0.383732107244408,-0.275799891322263,0.0789488806712618,-0.300323674921956,-0.421708025749195,-0.28854155954466,-0.412541174675586,-0.332298852015757,-0.447151748773838,-0.250566997094699,0.352146355748596,0.899796595032358,0.614935983919345,-0.757367868417294,-1.65926856740251,-0.311259195975375,-0.355858274677085,-0.297194106200066,-0.791876440294508,-0.571488487910152,-0.760102960052227,-0.149543702641783,-0.565102343690129,-0.166666666666667,2.09987544503794,0.512022030765411,0.420010541200803,-0.153087782657883,-0.166666666666667,-0.378757886735613,-0.405514569352482,-0.290949509393764,-0.288460242363774,0.0960289787945356,-0.605875674981969,-0.527619554812267,-0.775882628334132,0.0337167371237917,1.08914899054776,-0.417261058228559,-0.166666666666667,-0.357464451726088,-0.241592136654101,-0.378649771272744,0.3008388762436,-0.107282102400083,-0.156172175812589,-0.309269228602877,0.0379184597539105,-0.166666666666667,0.0931072569473337,0.0733298027361712,-0.021030534404538,-0.343518279100539,-0.436464601979667,-0.189173081447185,-0.238988141364105,-0.20239431052125,-0.166666666666667,0.67138606178536,-0.181611587533221,-0.166666666666667,-0.279769335351776,-0.681931783151886,-0.447311537999334,0.142325165931613,1.86003440935468,-0.462482247303799,-0.409995094720585,-0.465554722469746,-0.745379102274655,-0.848374626831283,-0.524964971180838,-0.504140525661775,-0.0599730268006857,-0.630119253023609,0.403119680402258,-0.642016721919225,0.346711467388301,-0.15915920222866,-0.0455310713765886,-0.280781927854071,-1.10873809767303,-0.86158241684667,-0.318233448930601,-0.410715676000734,-0.0908479636565022,-0.598643128871082,-0.769486575531378,-0.281882723395983,-0.275434039917659,0.305552492212504,-0.757539626589762,-0.329237383104542,-0.132008142723243,0.510767569505852,-0.268016727702919,-0.222262900775388,-0.253785882281477,-0.339492349290198,-0.335403474304885,-0.356048460824114,-0.534661800862452,-0.384077551862549,-0.576402887738385,0.619288303149783,0.252183366616918,1.4007213207877,-0.430104872959565,0.414773500220979,-0.15939427017029,-0.573197633852914,0.637247148676717,-0.334736540493962,-0.340763557014009,1.35935603229931,1.24856202348339,-0.890573461234637,-0.0611089852345282,-0.313198897322043,-0.400863635547411,-0.692920664501008,-0.273801368113177,-0.216749489509678,-0.294968587316657,-0.278617485990741,-0.282203154819461,-0.535843363386331,1.54265143687547,-0.182699064970341,-0.257735107761864,0.873064237856986,-0.897747656966867,0.240068780080597,0.271732363440581,0.338878183753583,-0.556575563884279,-0.545091299327814,-0.218378206861396,0.690133642797609,0.656706682164395,0.110231827528985,0.486939364338777,-0.166666666666667,-0.600555212179008,-0.713570980208094,-0.369255934898657,0.767658494969845,-0.0672141683668618,0.0373858654831317,-0.333145735168198,0.0186374160794313,0.197906367405287,0.203173203848999,-0.00600032070587421,-0.368204542486598,-0.235538503502248,-0.0660206559919466,-0.511791921773504,-0.184936054040663,-0.492342472170992,0.826466887984481,-0.109042554543425,1.14849802817361,0.382940566522222,-0.660888072942052,-0.545951229989692,-0.389962752542067,0.248562930037632,-0.328291122520426,-0.562005407653211,1.49591908051097,-0.133983631215097,-0.273531909285784,0.242777424881387,0.566252966113104,-0.245772578833116,0.356335767997682,-0.461320608902677,-0.57583863932255,-0.254996228084562,-0.463497567081655,0.846980856075946,0.244029998989252,1.49912885286257,0.235590241555866,0.194008158303682,0.174974654713034,-0.155682852342616,-0.132629331194552,0.14070067248172,-0.35964444024329,0.332629472246148,-0.434406386027411,-0.285286045686492,0.59168642433425,-0.38275776892135,-0.210205731633327,-0.212193058011088,-0.489533594389344,0.16703888513273,0.0170385125088257,-0.635151183390254,0.0805923520129077,0.44730420524573,0.120616187283066,-0.307927819953038,0.93162330944958,-0.509437023623803,-0.318484556949023,0.628448121373048,-0.40768509839876,-0.363549817489573,-0.0201056620373967,-0.294745570484133,-0.348130006647162,-0.419563520132231,-0.348253366429767,-0.549611336078166,-0.487205423221388,-0.562619406499936,-0.884981860174175,-0.893301565980485,-0.415940826835206,-0.971414114397146,-0.959968040524995,-0.867871951856261,-0.450815372362021,-0.585658822785672,-0.594301320773297,-0.374075123458777,-0.314975365865065,-0.451689336444394,-0.351773256954656,-0.381556818972962,-0.566469998292247,-0.288026444347245,-0.677940651988089,0.618246852116848
"ETEC_As_2 (GE) - TPM",-0.143566934888186,-0.348096425198205,-0.308243500351993,-0.531744227871001,-0.508338000368487,-0.408439327496494,0.59446663113614,0.351517235543585,0.719620783313802,0.0428997870334536,1.07994039854467,0.439766040867052,0.301876064909187,0.448158810675514,0.326450966089003,-0.132591929785257,-0.217160950703396,-0.465502395336125,-0.303194524645722,-0.0857232908180592,-0.290554409948507,0.143940628266089,-0.17648106615332,-0.43129631013615,-0.170628906197112,-0.209100749016487,-0.250566997094699,1.33041646625585,1.87201227995625,0.548425957183003,0.606129127275734,-1.49703924280388,-0.164484550175726,-0.412428290497313,-0.594176848536322,-0.64111646885495,-0.402527995585098,-0.588616866484864,0.849391567759727,-0.407693893750401,-0.166666666666667,-0.278857215220511,0.666003730526655,0.0407648666873625,-0.34951821184983,-0.166666666666667,-0.378757886735613,-0.751275986140818,0.466457921346437,-0.549320068857993,1.18443063066252,-0.182501332596749,-0.512628383853451,-0.591288140115381,-0.476235318831909,2.17884904417914,-0.316184659418214,-0.166666666666667,-0.34384982497114,-0.241592136654101,-0.327470033461782,0.477723977646719,0.248535295041514,-0.329087143855562,-0.309269228602877,0.219016696972367,-0.166666666666667,0.00547918834547024,0.808788011733504,0.321411327165123,-0.20293524951258,-0.436464601979667,0.289080800472997,-0.238988141364105,0.0881129106250299,-0.166666666666667,-0.293590155216161,0.826979804566951,-0.166666666666667,-0.260360243689988,-0.707374568085406,-0.383156726074544,1.23830423274842,1.18850514435698,-0.335369737842757,-0.438969439808469,-0.255014668309465,-0.701348857986029,0.320042616828319,-0.372947538819552,-0.667169132468444,-0.114182441282022,-0.568670812390848,0.425272909465618,-0.679339410278821,0.104327510014083,1.07629985008994,-0.689144140936631,-0.280781927854071,-0.586294108443041,0.753877926850326,-0.486728969219402,-0.0893829582479908,0.225537990135262,-0.598643128871082,-0.447188266301276,-0.528895489385491,-0.375947119692534,1.43941949233812,-0.484634141333579,-0.126279123834476,1.68413695905666,1.20595440551702,-0.219254784518089,-0.171020804233262,-0.24806821091342,-0.323924295359504,1.06576893756163,0.0674670971812963,-0.414701879910348,1.12163706873922,-0.407648466067063,1.54143411500256,0.880909456127434,0.653173953106841,0.53090502157057,0.972389093586404,0.710703756107253,-0.151202111170368,1.02170447924357,-0.0760651747550703,-0.238678402021856,2.69669147366034,1.80113737647017,-0.411770338792632,-0.26979701867638,-0.453148377315366,0.478129414006268,-0.539445209198168,-0.212241545028061,-0.216749489509678,-0.294282972674266,-0.271531807245067,-0.268973912145472,-0.360401274721332,2.16228288980513,-0.182699064970341,-0.604404015899047,-0.455846543102012,-1.00687503366797,1.27015264512855,0.650376173296512,1.60759272107211,-0.46609303513568,-0.095664315903456,-0.218378206861396,1.22213692621131,0.981640114516851,0.145265911907628,0.800642587458463,-0.166666666666667,0.533425500408199,-0.565821497944934,0.771896389027994,0.77741787600952,-0.513798294911755,0.151616046454211,0.623533293262231,0.54618683186568,0.28488615400314,0.448391576316067,0.76199226047,-0.508347265348214,1.37206784831383,0.0831332101000415,-0.354978140843337,-0.247667748610476,-0.0963528013937593,2.15014238772685,0.0128250224380677,0.852236263956808,2.7142539494191,-0.131152676514096,-0.468827504576532,-0.060342511212585,0.6267625386121,-0.213586561226635,0.100412246467218,-0.15712039123911,0.681095892659357,-0.268297005513505,-0.0610853925551338,1.19621519475554,-0.28599194617486,0.714332152171832,0.110703986994124,-0.113014684708097,-0.237470974190821,0.338695072237352,0.953840574498126,0.338805903503334,1.43698994721386,0.802334064868126,0.371217698858684,0.190224263199244,0.242472022053817,0.273664916443696,0.814812325036006,-0.339431154229518,0.178600594315709,0.400830810049963,-0.529948541572464,0.818277827735887,-0.282424791104772,1.87085464222211,0.91363613009827,0.622454910150097,-0.398996955550828,-0.210684105652748,-0.307079999171567,0.628038281657093,0.0274108091049594,0.155836313496921,-0.403678572126057,1.39696274444503,0.739755891852264,1.48078548321655,0.923356416887666,0.0950916187227864,-0.58378002226228,0.471248561347185,-0.244959330149914,0.137795118163402,0.217992974554218,2.83379114054516,-0.408245748724926,-0.181712916736029,-0.385582703488409,-0.713924937862451,-0.955882002688313,-0.319743598119574,-1.25020101076629,-0.87067556658344,-0.888719148967609,-0.457401158645569,-0.574846382083817,-0.596819768227128,-0.353124694389254,-0.558808637622802,-0.475742412244762,-0.0802045614319658,-0.344756658853803,-0.584320688195547,-0.288026444347245,-0.544125262184203,2.41394978276845
"ETEC_As_3 (GE) - TPM",-0.443305146062511,-0.369348229896747,-0.298979231525335,-0.552796100687783,-0.323556286257262,-0.516035900349494,-0.209767667280068,0.00258962237477561,0.201841112453879,-0.583499685309755,0.533706791815597,-0.227714884366062,-0.295576816094663,0.49777396864765,-0.249759102492979,-0.359949239546914,-0.217160950703396,-0.183980875802148,0.136105425014264,-0.18994093916076,-0.510368189047673,0.0925402134669135,-0.116033460515647,-0.417169745935434,-0.0386327865243149,-0.340906076509048,-0.250566997094699,0.214111569271161,0.758152655361334,0.67864097658863,0.141974619862678,-1.01606497154359,-0.286391318294062,-0.496592035972104,-0.00702239546148071,-0.500876178994074,-0.57913291538352,-0.3987711157244,0.645927296866336,-0.531797029456574,-0.166666666666667,-0.278857215220511,-0.371118978453,0.0415055984945101,-0.34951821184983,-0.166666666666667,-0.378757886735613,-0.26664736956694,0.0244969358808998,-0.617993255259033,0.081274397834669,0.839574909356433,-0.0263104693645595,-0.364269343982418,-0.137113240520363,1.14861990275695,-0.5466130963446,-0.166666666666667,-0.437247365236403,-0.241592136654101,-0.568328137052601,-0.175549633103622,0.60310021621931,-0.426745867256374,0.120197397221342,0.361960016758026,-0.166666666666667,0.0561903227661304,-0.00237400150289321,0.161708726916601,-0.272243607101772,-0.436464601979667,0.196891360402245,-0.238988141364105,-0.116542744752435,-0.166666666666667,-0.293590155216161,-0.243704196897302,-0.166666666666667,-0.389985599058297,-0.783457690039865,-0.470756272891212,1.11800195904022,1.46481658502878,-0.396023407449787,-0.328170310187931,-0.444138706136706,-0.6401201946544,-0.00117376734833761,-0.467253608503291,-0.186331404946607,-0.0180519028568713,-0.512647713572859,-0.0731867857887475,-0.595427302619321,0.145232261832899,-0.161807688697856,-0.0571136539090463,-0.280781927854071,-0.159742476230509,-0.781689053192748,-0.574143011730057,-0.666444760324074,-0.259965138284675,-0.598643128871082,-0.54994652144281,-0.528895489385491,-0.319931749707018,0.147168596110699,-0.30720977573514,-0.651990834983161,0.120861432192612,0.160781296843762,-0.173727195694851,-0.237469395907698,-0.275121633978344,-0.286680890525785,0.362231541306222,-0.458264373367854,-0.448990368866643,-0.601180046677864,-0.336409924048714,1.24335967396891,-0.336176843300111,-0.350243364573653,-0.186085883852145,0.220063057029067,-0.169658317623639,-0.368397731310302,0.846162121766372,-0.28383360453019,-0.281276467661394,0.513679681502154,0.956198225141303,1.0799415976757,0.214864028010708,-0.696529606393272,-0.456398547417172,-0.697181567521493,-0.357915385621995,-0.216749489509678,-0.294210400526384,-0.279020971404427,-0.26837125950352,-0.4879305423707,0.260923758572885,-0.182699064970341,0.529731494506071,-0.455846543102012,-0.913315730725205,0.726017422445715,0.52509715950813,0.606757523051898,-0.213936873784703,-0.398173308393835,-0.218378206861396,0.298879709299364,0.0782582419572624,-0.210941944950004,2.20919983951041,-0.166666666666667,-0.0930930601455106,-0.3492130475858,0.592430476044045,1.01327787996877,-1.04447498857989,-0.385965149446369,0.135905373921173,-0.176016467762188,0.132566726510243,0.389308153786364,0.057053676263705,0.57603939943076,0.286315196605902,-0.29307939418087,0.437705209468286,-0.324330114223284,-0.323481544639958,0.471489581710923,-0.242564195402495,1.3491316634539,0.726335413212631,-0.407803274104423,-0.545951229989692,-0.0274075156819273,0.402602667430186,-0.282084041982187,-0.0463262423516591,-0.255422200981973,0.731677318731665,-0.283343743205131,-0.158578632815376,0.553952511366726,-0.0302165602707808,0.228375055547691,-0.113513856714966,-0.482604478306033,-0.207300605096553,-0.469503075559007,0.455500119575892,0.483797823815208,0.437018509845732,0.755246348015627,0.612937280625788,0.924361505872098,-0.343348019882466,-0.281826894382584,0.211437841898494,-0.51450688148999,1.55729961323102,-0.0966770893210595,-0.707009306302587,0.375268233782002,-0.495497548935752,0.70802088504781,-0.214606528021071,-0.144975623941735,-0.398996955550828,0.187849346078586,-0.316022645038865,0.284961423628889,0.02816077186198,0.151966314076634,-0.310935254622276,2.54946387826577,-0.318061574355321,0.135705797819726,0.771358750458589,-0.231586938737346,-0.366075208139013,0.607184176277574,-0.233767357543293,-0.322339586635075,-0.510667807616079,0.22840258750537,-0.501102290344067,-0.508987011639001,-0.700238949946668,-0.698057277861758,-0.829160293558612,-0.327640545031534,-1.21226990273782,-0.803009119490427,-0.805568750527755,-0.436624201384418,-0.427058286102937,-0.441964343771412,-0.408127979155939,-0.749358466932163,-0.400946949392298,-0.287240659832003,-0.366789489734925,-0.594478277412981,-0.288026444347245,-0.598660238025268,0.549612844384953
"ETEC_Bs_1 (GE) - TPM",-0.439904950210565,-0.421673500909737,-0.717085033942204,-0.612158097173871,-0.627978642331006,-0.82119206944099,0.440624582868944,0.676765177822521,0.814335473066479,-0.313320386138569,-0.276092235841905,-0.437910540526404,0.345237402366037,0.00205937766744556,-0.658842762959714,-0.00802128517334239,-0.217160950703396,-0.554837599369485,-0.191434823061957,-0.42340372253255,-0.864815106280933,1.60011248281911,-0.0473474929629827,-0.563775311847405,-0.225827944709809,-0.347772853702466,-0.250566997094699,-0.421075999018316,0.332126756659452,-0.0516772658082451,0.315638712079336,0.0454591189561,-0.269987901291095,-0.314988561596638,0.0577601771957414,-0.218424450571643,-0.495848020999539,-0.208606869113341,0.00480148821894373,-0.823556053963465,-0.166666666666667,-0.278857215220511,-0.461806197343553,-0.142764603764239,-0.34951821184983,-0.166666666666667,-0.378757886735613,-0.569505025662884,-0.591584548998983,0.96423966553317,-0.631659296640953,2.22084963276728,1.12360122983905,0.782686239688428,-0.608939794121479,0.278517862638396,-0.45261960923234,-0.166666666666667,-0.542529020758754,-0.241592136654101,-0.568328137052601,-0.581287749875003,0.270711357463805,-0.294703202357999,-0.309269228602877,-0.633253748353962,-0.166666666666667,-0.388604371779286,-0.842922219149255,-0.162134900636754,-0.311785113273608,-0.165167364923008,1.27991036267749,-0.238988141364105,-0.620187467058255,-0.166666666666667,-0.293590155216161,-0.482722799394504,-0.166666666666667,-0.453159027196826,-0.828734055680281,-0.56312006854568,0.78501998520884,0.604185821874728,-0.445378298282214,-0.552249280331257,-0.981312330144834,1.27106190678621,-0.664328969278953,-0.446239807414507,0.457029216535331,-0.72943343881214,-0.712224304487431,0.408037805230605,-0.45349617476335,-0.145221834953151,-0.390124160955178,-0.572924642433638,-0.280781927854071,-0.764672382283397,-0.898836977197523,-0.683528438758547,-0.704245787010271,-0.479512260831339,0.192019760458525,-0.650092654151124,-0.34298365581427,-0.840141025686975,0.223760903641453,-0.595662834978489,-0.45661814597117,-0.796456990956636,-0.367005034199103,-0.280469357638896,-0.321254123576375,-0.32988516057851,-0.313921228478813,-0.619597732003857,-0.665602591078324,-0.547645547417137,-0.585792797502629,-0.497795562272521,0.103180116044878,-0.37455823666549,-0.0338397863450921,-0.61929661764091,-0.820723325252425,-0.216235128833116,-0.567922313542104,0.579662536702644,-0.402723887584169,-0.379197044983105,-0.11642581194474,-0.569324823702614,0.139579489200668,-0.393709643736308,-0.696529606393272,-0.640310046872728,-0.268961311188432,-0.410742863086185,-0.216749489509678,-0.297401741315485,-0.27888598656648,-0.285984010352932,-0.365990530822542,0.157435806843384,-0.182699064970341,-0.456940770178382,-0.455846543102012,0.318556402546476,-0.288987468169603,-0.527669152659787,0.81634704871206,-0.30501819878151,-0.848725129551315,-0.218378206861396,-0.398252734059962,-0.582161832474684,-0.465965603697072,1.24905696868481,-0.166666666666667,0.256502003073965,-0.329930638521278,-0.764319101139647,0.141507376573452,0.208917491817802,-0.385965149446369,0.26185768023997,0.721812566162847,-0.49348557678705,0.577939469148728,0.0332751567865578,-0.0297929881008073,0.0702024074217564,-0.752363519034444,-0.169027688460152,-0.593742624737373,-0.57460501898376,0.291099414238746,-0.450260801997584,0.0576077157778539,0.125462690386168,-0.143953429036067,-0.393577212926297,-0.297061349610487,-0.302261931049177,-0.407811704699233,-0.562005407653211,0.714232802663178,0.767685693661773,-0.292933102688782,-0.4415331953608,-0.506425302793932,-0.184312493142461,0.635039386849019,-0.564280092062862,-0.713927590855101,-0.32754606857323,0.709300444079229,0.998978093646199,0.289924734621755,-0.254656967151017,0.0355892233604954,-0.228287130552734,1.11541963224195,-0.491692498431465,-0.377373328460828,0.00441236902713833,-0.0911611292851262,0.973123856317516,-0.866646469562222,-0.430037269451086,-0.58247378407893,-0.733270782292945,0.133294420383299,-0.422663078427219,0.289684876621899,-0.398996955550828,-0.439509083426027,-0.41112858845166,-0.317081720412603,0.0128218304908132,0.0742406528666407,-0.460532464758857,0.322221304907695,-0.234726520680536,0.140704103361338,0.109170246815218,-0.643513572827658,0.521247916592957,-0.339239872492898,-0.303243819000022,-0.485585858504171,-0.575029600343474,0.113009448539575,-0.621640547744929,-0.548744111485596,-0.561817985174365,-0.942590396325477,-0.358628389753769,-0.333497221911906,-0.197985123151198,-0.432680052648821,-0.362979009124126,-0.48991232335182,-0.548097450550261,-0.771876315805112,-0.369569744829298,-0.823319992553902,-0.431849583757809,-0.480903826483213,-0.385266366923625,-0.454161247661284,-0.288026444347245,-0.618320471373759,-0.702392268963886
"ETEC_Bs_2 (GE) - TPM",-0.563025160613385,-0.470725098546739,-0.815362561326113,-0.63435103306966,-0.490185009160498,-0.684311150884974,0.237612536404157,0.0853458125825113,0.622276734182802,-0.27042630123171,-0.137702614368278,-0.493482950882912,0.675789114138762,-0.121651894535908,-0.38104664925846,-0.0282628083556956,-0.217160950703396,-0.505841650262414,-0.660979279775247,-0.499342561095527,-0.739897072799219,1.44360677854905,-0.00341464174713708,-0.554803157838055,-0.332298852015757,-0.32860331952512,-0.250566997094699,-0.673156988330715,0.0135062402854949,0.156350539645206,-0.154811513061669,-0.707825456063586,-0.212124521815973,-0.529143299912653,-0.115714643329577,0.54204368309329,-0.591782518682368,-0.55890725119551,-0.133273749614502,-0.741299498793157,-0.166666666666667,-0.278857215220511,-0.18671676724897,-0.28380417591941,-0.34951821184983,-0.166666666666667,0.214743293043238,-0.469050179678931,-0.395049279612873,0.776737047291369,-0.509789019971659,1.52970827520896,0.657676634860186,0.235506261741342,0.00927493981842142,0.317370484958303,-0.459561225692168,-0.166666666666667,-0.465792335559557,-0.241592136654101,-0.3646037764782,-1.09573553835837,0.281250314623577,-0.526519883947824,-0.309269228602877,0.808493481758826,-0.166666666666667,-0.356800982188765,-1.08758880033149,0.616789714544257,-0.429296920905934,-0.204172656528281,0.824270660192993,-0.238988141364105,-0.260115605936831,-0.166666666666667,-0.293590155216161,-0.196063992419074,-0.166666666666667,-0.429217979155519,-0.806471968343595,-0.555482127914056,0.298965196457865,0.442935832033162,-0.479567979103822,-0.473512267480373,-0.901358752738731,1.31820814618393,-0.256430417436958,-0.508723206513404,0.403494480133347,-0.517604449815926,-0.710322156975966,0.106474606694738,-0.434012311780053,-0.0617444411760861,-0.390124160955178,-0.384018277193265,-0.280781927854071,-0.372242444379754,-1.10588779562886,-0.638097788159164,-0.61683647694928,-0.300607034410736,-0.598643128871082,-0.701334397849503,-0.422773702154329,-0.776648396491795,0.00172228915182191,-0.270775624889911,-0.641000663363703,-0.352122711544617,-0.562784439453608,-0.250266130260886,-0.320164335976234,-0.329434829766752,-0.273881843910431,-0.47536644436122,-0.203756529840108,-0.475972643017418,-0.844184644083871,-0.546911953148199,-0.0589037719327038,-0.420580284735676,0.534184801464043,-0.681470325490385,-1.14814538696874,-0.207659499777831,-0.530498053734825,0.432302857472229,-0.504544806059707,-0.378410946888375,0.191816511968766,-0.462962957753088,0.668180131523549,-0.428072808984106,-0.284812627064138,-0.929401553075063,-0.194293821904275,-0.441684945916945,-0.216749489509678,-0.298236058434104,-0.28147517315374,-0.297076345182248,-0.320138544328209,-0.221628491155778,-0.182699064970341,-0.64720561196503,-0.0990168401529973,-0.1082612516832,-0.102476572187623,-0.528190398411815,0.693344164718655,-0.640385056976021,-0.865108335044921,-0.218378206861396,-0.348391619651083,-0.325943851169004,-0.359287716236891,0.321431218974505,-0.166666666666667,-0.688632253462157,-0.261168463857119,0.00512723437665743,0.44205959819397,0.0640338174747986,-0.385965149446369,0.0846636507796489,0.375797943565091,-0.351861853255753,0.228214220793903,-0.337822991754097,-0.339779076217079,-0.0831699879690444,-0.676865882634004,0.034054531646459,-0.593742624737373,-0.7136429225977,0.111870670291174,-0.722785709131498,0.207813521317903,-0.17759786631469,-0.481314780949925,-0.480717876952157,-0.33027838688232,-0.508129021485779,-0.433781656326038,0.278431002864774,-0.600881633775462,0.577989978938597,-0.292933102688782,-0.449262894553359,-0.506425302793932,0.105099393738056,0.191303050607503,-0.448217394845159,-0.808248911387497,-0.324210782184949,0.416169524210379,0.39035430939419,-0.0133071867894457,-0.0157513322154409,-0.170371866238468,-0.27971028521271,0.0339416692083509,-0.719956544135253,-0.440416626825208,-0.424273850529591,-0.0516124797386518,1.35510764660314,-0.73207069484851,-0.685518037322087,-0.520438370085029,-0.701658008350307,-0.179563800616432,-0.422663078427219,0.580149322451143,-0.398996955550828,-0.333645844866867,-0.446957281707047,-0.313736849599954,0.0884701044520888,-0.198246198176519,-0.429350911429948,-0.262616440332028,-0.469061144657796,-0.506621909285635,-0.148076553672826,-0.376048326675554,-0.58378002226228,-0.339239872492898,-0.308788291943676,-0.508727639653919,-0.686748730466492,-0.236764472657478,-0.53364750427234,-0.68502934182682,-0.643556078455703,-1.02869696859663,-0.912600838604461,-0.443782771523372,-0.324714901002199,-0.518893256670805,-0.32346604744306,-0.510775687934066,-0.655058438703238,-0.715699901137803,-0.377420760250343,-0.84270137218272,-0.575103510380893,-0.52736587379899,-0.410567735418048,-0.287147368872768,-0.288026444347245,-0.759716834107863,-0.825225647240103
