"","SPD_RS00155","SPD_RS00435","SPD_RS00515","SPD_RS00525","SPD_RS00695","SPD_RS00905","SPD_RS00940","SPD_RS00990","SPD_RS01220","SPD_RS01250","SPD_RS01265","SPD_RS01390","SPD_RS01425","SPD_RS01655","SPD_RS01660","SPD_RS01690","SPD_RS01700","SPD_RS01880","SPD_RS01995","SPD_RS02160","SPD_RS02250","SPD_RS02400","SPD_RS02810","SPD_RS02900","SPD_RS02930","SPD_RS03450","SPD_RS03490","SPD_RS03540","SPD_RS03565","SPD_RS03660","SPD_RS03740","SPD_RS03810","SPD_RS03865","SPD_RS03950","SPD_RS03960","SPD_RS03970","SPD_RS04285","SPD_RS04375","SPD_RS04430","SPD_RS04475","SPD_RS04925","SPD_RS05170","SPD_RS05525","SPD_RS05550","SPD_RS05670","SPD_RS05805","SPD_RS05920","SPD_RS06085","SPD_RS06605","SPD_RS06705","SPD_RS06865","SPD_RS06870","SPD_RS06985","SPD_RS07325","SPD_RS07625","SPD_RS07655","SPD_RS07690","SPD_RS07740","SPD_RS07770","SPD_RS07910","SPD_RS08105","SPD_RS08125","SPD_RS08225","SPD_RS08395","SPD_RS08495","SPD_RS08510","SPD_RS08560","SPD_RS08700","SPD_RS08855","SPD_RS09085","SPD_RS09435","SPD_RS09460","SPD_RS09490","SPD_RS09545","SPD_RS09740","SPD_RS10190","SPD_RS10240","SPD_RS10285","SPD_RS10440","SPD_RS10600"
"STRPN_As_1 (GE) - TPM",0.0269895892558963,-0.844541850856701,-0.759138030761112,-0.263036883070344,-0.658353273810463,-0.755325209292914,-0.469835155930153,-0.603643881822777,-0.687147376896699,-0.644506165144861,-0.639925558856579,-0.711968570370004,-0.522382887202727,-0.845187427124832,-0.610664896611228,-0.717326539195979,-0.848818735679256,-0.4695423551884,-0.529785535752007,-0.761965393693549,-0.90877931821204,-0.340617604900883,-0.688125015277484,-0.550708024846285,-0.646381075298843,-0.34890536762705,0.0275916448236092,-0.753231834043731,-0.458014994987531,-0.00928414604483122,-0.677330432638931,-0.0521206120669844,-0.143779688447311,-0.453635235067035,-0.557542633402147,-0.419695401457829,-1.0690347292459,-0.730659786505613,-0.86832122606075,-0.565547239827878,-0.728479294131873,-0.344508206967232,-0.740698988352596,-0.699969556654247,-0.772002985536573,-0.628744766062727,-0.219310153240759,-0.486019259507564,-0.740932891518563,-0.724376949117687,-0.560918060994539,-0.477489124327304,-0.748973062901727,-0.454237182547931,-0.730035633046166,-0.957276276810619,-0.921643538008438,-0.751192601685184,-0.71430719165629,-0.864235841599765,0.10643972418274,-0.974640769102167,-1.00799668793851,-0.689444500684913,-0.879306652279728,-0.819414749241872,-0.435326869803941,-0.524349016545519,-0.441486681280372,-0.559391765861624,-0.925125682411291,-0.401178513816041,-0.855687508331239,-0.564056607418162,-0.864821687264417,-0.832117625706576,-1.05162439422183,-0.769881058772807,-1.21561723028362,-0.222571300203006
"STRPN_As_2 (GE) - TPM",-0.00149580370232475,-0.883930150755488,-0.749886911781414,-0.0858714864678481,-0.675162244973072,-0.779724195021075,-0.410232032891007,-0.679354182119606,-0.690929298627816,-0.663331361204899,-0.604939200919139,-0.791970482733091,-0.679092481308583,-0.841954214919066,-0.615354897312545,-0.623110235443505,-0.534098746809076,-0.434736982783441,-0.600605728486256,-0.606011852055754,-0.785355110331639,-0.502121492963724,-0.886095228958667,-0.624177993441993,-0.702583466827653,-0.0724993128094133,0.129453131007358,-0.626526065046953,-0.553953201547076,-0.0356455743733369,-0.377660591156482,-0.11698977975348,-0.326315986251053,-0.223433729119156,-0.526824095727643,-0.44864741099437,-1.10387779930086,-0.770639123061261,-0.877419778042081,-0.505579834328613,-0.808539381041813,-0.257684341759144,-0.720637361189695,-0.603602042780097,-0.845012641591732,-0.530891110711245,-0.286827835772437,-0.34420250889351,-0.757312015077978,-0.708011381444643,-0.512209725184098,-0.498782446059233,-0.754902090865304,-0.562058504352302,-0.676111935220368,-0.898604762140833,-0.811969619655806,-0.778761512230746,-0.734865170140845,-0.790644178149593,-0.132130709628099,-0.985560037980645,-0.897662298538478,-0.646439436847988,-0.765949985891615,-0.815377745190193,-0.437500577121988,-0.654316306722214,-0.509165735509376,-0.67196986671005,-1.11968791749564,-0.49521303111062,-0.852221071745172,-0.428735003317479,-0.536279649656756,-0.677991433318578,-0.966669668450833,-0.712838972654431,-0.937437941538328,-0.128979599823484
"STRPN_As_3 (GE) - TPM",0.195734406241826,0.223974967953108,-0.692388006333598,0.0928333221072124,-0.366768409401399,-0.727495713133151,-0.156708645325971,-0.175392251331088,0.576990479100246,-0.378240301136027,-0.602370075130862,0.373648419352286,1.76054015694296,-0.847812688229361,0.0444819069636135,1.20671977016236,-0.461946242744132,-0.0325338043724155,0.0842008501467684,0.102049144742755,-0.854043031850092,0.453346418326887,-0.0607586269387369,-0.294887868852498,-0.315252913013019,-0.229877501219252,-0.400606724937223,-0.365755436792047,-0.798754862307568,-0.482952217946557,0.685153649066695,-0.111353380088384,0.533812338929859,-0.523468004894106,-0.372985837200424,-0.547291363020156,-1.13469957087235,-0.508841111307702,-0.410457558877546,-0.464452010518027,-1.0497925756023,-0.248804137284049,-0.636556278595211,0.958429036238652,-0.739795600916506,-0.670586133391216,-0.208648857159888,-0.355463029829118,-0.727185287851099,-0.684430177694555,-0.439923311852474,-0.415535517216421,-0.647284709591077,0.166205040340842,-0.0778904307936834,-0.500762512702705,1.75504821903585,-0.690828272682266,0.155569338013999,-0.75774611653726,0.783307725494282,-0.722488535483745,-0.341444388034609,-0.609598078509612,1.42247901354901,-0.479429126609246,-0.649079229303802,-1.24177995239778,0.601375271902978,-0.76784710020757,0.518920840492399,0.0984991243653708,-0.528611336307715,-0.190089361607979,-1.06449572966156,-0.727737500954371,-0.768077868919928,-0.330477145828362,-0.730366720703034,0.239764990258567
"STRPN_Bs_1 (GE) - TPM",0.257223314559904,-0.842620939208379,-0.720798116790731,-0.106299225774927,-0.703295059664122,-0.715131174815582,-0.918968653287365,-0.771473209947736,-0.344680410660204,-1.50374418374918,-0.652095003771132,-0.727282357304748,0.313830592129985,-1.0799499239139,-0.652757230873532,0.030200790724786,0.170865563961172,0.46203198203167,-0.727431423076216,0.068574150225395,-1.0035205948362,-0.173964927397625,-0.252934100462497,-0.990466446015472,-0.640456150278328,0.977679193697049,0.268330251324863,-0.0738557786038723,-0.908877510944769,-0.147527672351218,0.335644677373018,-0.57284086830301,-0.835578370941164,-0.113716787008375,-0.600292879580638,-0.534000539284221,-1.30865986425288,-0.697256206693125,-0.337627354655247,-0.41081219264001,-1.31745795628527,-0.337206221884344,-0.426625263518804,0.194827918071727,-0.91277136616289,-0.266399566023828,-0.271450736119096,-0.595135115444182,-1.04042063966146,-0.762503762830774,-0.70390913574991,-1.01478975746304,-0.618427225176562,-0.152166969973128,0.146403206194029,-1.05776065861549,0.179907194560878,-0.943188284170677,-0.645372539244142,-0.490996247504696,-0.193383286477734,-0.909275243596825,0.170681521947189,-0.369382545737276,-0.319574888826449,-1.01158764822788,-1.33730456652821,-1.37859267110442,0.194479666300215,-0.868903762930803,-0.654812132250901,-0.944999695818507,-0.822071330263197,-0.688132085142083,-1.12610083550935,0.651513843320214,-0.604362043129142,-0.354884981326991,0.799840314864175,0.227830486426798
"STRPN_Bs_2 (GE) - TPM",0.181937342904885,-0.787957173276761,-0.645714088269926,0.420899267352454,-0.692529544678846,-0.539974168268447,-0.673845177357923,-0.694213954965363,-0.292690338253703,-0.29086144913416,-0.672027564807728,-0.90142976442344,0.271845157459498,-0.770342498411891,-0.612935549853528,0.608628154254635,0.495743244122211,0.0121565554774313,-0.698299445987586,0.413690796923868,0.750501539413959,-0.309653924765606,-0.247808692155505,-0.860741236960894,-0.48160355406659,0.71868152116826,0.180764781520221,-0.237728900380046,-1.01821532335573,-0.204005306399864,0.968005474697525,-0.384332128090437,-0.81592756288739,0.31526094541444,-0.482636534137224,-0.53651733568481,-1.1480272219366,-0.685998679138354,-0.536639434160325,-0.497710085756066,-1.33634097814765,-0.255773046981407,0.0684146802897681,0.0891106381345384,-0.91277136616289,-0.0685654381052662,-0.366906187538762,-0.534666920389384,-1.06077108254473,-0.75893635896994,-0.313748951539712,-0.979002016294342,-0.49016661096453,-0.212899440522382,-0.0857039099242938,-1.02439496205367,-0.452798804999034,-0.920202183764892,-0.663543481457887,-0.479507214699676,-0.349601431059358,-0.676342481170516,0.756567631429916,0.319726157281975,-0.873867716519006,-0.956821543758055,-1.18484727734237,-1.18607072637576,-0.0582592655519977,-0.710310264786005,-0.471202954924314,-0.866631327553086,-0.806784656026532,-0.143448277301391,-1.05505860458523,1.4719330092494,0.47793058900849,-0.404363559446284,1.024409959492,0.980104359870226
"STRPN_Bs_3 (GE) - TPM",1.04268203755647,-0.303786519904909,-0.173421067754137,1.75194318742089,-0.421733427409655,0.138905405363108,0.00826201923087599,-0.046703789466551,0.681206783168134,0.805970346721588,-0.190007520397682,-0.373739453423673,3.10749999442236,-0.212220995067574,-0.543927080357197,2.26402364749995,1.80442952928124,2.63424060834138,-0.499028514700325,2.23358524250769,2.45077826503443,0.191365537654175,-0.371816952364803,-0.669113640904708,-0.394148835213752,0.483052082937615,1.29540172225291,0.57150426671142,-0.676017779317724,0.195021345348143,1.14977164518916,-0.362840209863363,-0.460804127465881,0.885821456617933,-0.406329452343903,-0.33364208836895,-1.44229848242941,-0.531846604195392,0.4424250340555,-0.0182373353025797,-1.26091229476822,0.0762289508591006,-0.0119932423132227,2.00255793763084,-0.91277136616289,-0.411109938297867,-0.609173870670989,0.0513817070649188,-0.996923757286911,-0.735049604783126,-0.393619793701875,-0.489046599083516,-0.713699608398557,0.270143219783211,0.564563492584803,-0.932482132307265,2.487371176874,-0.773555026016415,0.198118314112414,-0.33005007863218,-0.151923806802917,0.192857114012819,3.07405585980234,1.61058935551879,2.20010886970059,-0.840060365437944,-1.05941750963655,-1.07451439026055,2.28061065136773,-0.585107114025169,-0.436618219166628,-0.859890442109469,-0.631616767830655,-0.603268427495194,-1.11225880441082,2.17401694634515,1.28103626894238,-0.289418707454989,1.15305740041284,3.34867249054892
"STRPN_Ctrl_1 (GE) - TPM",-0.328829635199667,-0.266316245822656,-0.656109301398005,-0.700361335636553,-0.506202904545413,-0.773349246373753,-0.334155333346702,-0.613863215958757,-0.650871363633058,-0.63351059745115,-0.515856127281008,-0.767536712913997,-0.592140477261379,-0.331987786795062,-0.483311113443806,-0.785552376442623,-0.196636556145591,-0.575797443080122,-0.616924826996317,-0.810899276331209,-0.303088933283542,-0.465704015951423,0.101488428400213,-0.673214094962966,-0.411864002192953,-0.541918210641703,0.0631195995113312,-0.354763113352142,-0.254585177360643,-0.0359178588274231,-0.80692532301455,-0.679629758674547,-0.441628118043254,-0.723722214855059,-0.520294760009383,-0.550843354444902,0.390919589174983,-0.451316937831076,-0.660880208308542,-0.625693479669765,-0.160742282905266,-0.66944373123466,-0.30007107253964,-0.787770757896857,-0.400319531475495,-0.392857938779685,-0.518017141994059,-0.605821123269278,-0.725014120656331,-0.581718634358802,-0.268834974833953,-0.683355457463092,-0.499512199031362,-0.506918342214109,-0.614569417727973,-0.698109352331531,-0.818767091677186,-0.617882972707223,-0.781411410621999,-0.719304454775248,-0.8139172177197,0.214226524134997,-0.992319007628571,-0.7541065786468,-0.28716666598106,-0.241132416697796,0.150700555081279,-0.153609678321047,-0.834999796886219,-0.568492112442743,-0.56632989840846,-0.65150390564494,-0.524864718142416,-0.81257257744805,0.64190097866496,-0.695544192225103,-0.805343078129375,-0.582013543846967,-1.01130648888505,-0.777815093350914
"STRPN_Ctrl_2 (GE) - TPM",-0.315331165611135,-0.187037545894083,-0.6809547253905,-0.643014549663407,-0.504281012021992,-0.781816472945705,-0.542206293976417,-0.604793522338714,-0.64960170431473,-0.689395911277118,-0.504541896913724,-0.782588584441723,-0.546725371525852,-0.313589877295129,-0.489773915308544,-0.757283328022533,-0.312598913836623,-0.615949880310282,-0.671201534714127,-0.842504251550437,-0.514491642405847,-0.482126704254289,0.114731161498127,-0.619739870846399,-0.440315979096069,-0.538025779799907,0.12866380666612,-0.367349200186087,-0.300721789996625,-0.0647257094878415,-0.581411370351359,-0.675492826109642,-0.446539532483304,-0.724898986458065,-0.500955567341601,-0.551627999093609,0.361342817703824,-0.485768511823183,-0.662319617687869,-0.638494875512981,0.0303472041252444,-0.663622525675903,-0.314560246782024,-0.770518513438282,-0.27462287413379,-0.401056435484815,-0.498177016282085,-0.634767690991289,-0.731839917056931,-0.607883066631257,-0.287186583335872,-0.684008802576445,-0.535019955469525,-0.446695928979648,-0.660511920540431,-0.646402274558667,-0.822813398810583,-0.602879466119217,-0.783065159528277,-0.8159876448973,-0.822638757781012,0.196507515518312,-0.985693245558996,-0.743290535714512,-0.365585298200855,-0.267388648672898,0.138201858071187,-0.348623069071155,-0.847485690705849,-0.594277546022212,-0.387729255000767,-0.684665597122734,-0.551626029769481,-0.77348020800514,0.666931321650255,-0.635007196667394,-0.750733290179477,-0.582615939813836,-0.834090805129269,-0.819719635957205
"STRPN_Ctrl_3 (GE) - TPM",-0.313986900800649,-0.243816026457105,-0.664509409933144,-0.646202578692752,-0.493472373894882,-0.690756778678316,-0.318839867102703,-0.611272508535469,-0.678606789367506,-0.572597417957537,-0.587899145750019,-0.74795697768318,-0.583246408788502,-0.425781821461253,-0.456440117642285,-0.765070261943048,-0.226306255773414,-0.524079293141759,-0.614025459220073,-0.813042374059863,-0.32218685738927,-0.46375708177723,0.128142684466285,-0.648108384795355,-0.412595308535511,-0.552076541380568,0.103898237346691,-0.435395349177616,-0.322451953988123,-0.134752526789614,-0.22536489405976,-0.685017178777317,-0.45841387023833,-0.759528706435249,-0.551385247905093,-0.577585182755954,0.394411051075515,-0.449851064024485,-0.616451283515725,-0.644757182178155,-0.0523678838531657,-0.669667072443095,-0.324729799423679,-0.733616506133001,-0.382597731697619,-0.388355085422783,-0.500825757705998,-0.604531137622853,-0.744196705397466,-0.599101230066291,-0.268665974211092,-0.638877965930302,-0.576278168597611,-0.479114505713911,-0.46366184830937,-0.64431214350906,-0.673053751240021,-0.600951225333022,-0.782378379013533,-0.754935345745571,-0.811151451111016,0.196455405663094,-1.0095409065888,-0.836787007278505,-0.0158673650062667,-0.26428445877875,0.182170206439332,-0.201039479737389,-0.88956115576716,-0.568888213482658,-0.388110557300783,-0.70893676415338,-0.541422112755757,-0.550639968375956,0.547549446695037,-0.671803023600187,-0.792195175087207,-0.590683200049771,-1.10899069415319,-0.823555126172604
"STRPN_Li_1 (GE) - TPM",-0.643157295592522,-0.300396745749665,-0.673078712528285,-0.409529000209603,0.0573078849267597,-0.676453250144157,-0.746702622462998,-0.42909599229167,-0.616909432149736,0.346871525453597,-0.528474228884276,-0.78333856225051,-0.0660122655977499,-0.51687748282732,-0.574076819565585,-0.571071869153849,-0.561658166173403,-0.578273773056698,-0.698040302375506,-0.429917017206425,-0.190880269204652,-0.761552478886832,-0.206148704003804,-0.272189196230393,-0.45685876897861,-0.516332178937171,0.0548450634819906,-0.306980364020405,-0.15406590036373,-0.494974334510044,0.421091154378815,-0.398843898771412,0.109111026004609,-0.576004144247246,-0.458595849730649,-0.494337771068921,-0.00954650025173538,-0.586212760024597,-0.155996640003227,-0.503981846589012,-0.279756265424682,-0.495466984107886,-0.811891906994358,0.205791344467012,-0.721162108059977,-0.306963527347493,-0.586258284315206,-0.363487061999306,-0.527471618466048,-0.617904460214569,0.27488085560053,-0.186779254533955,0.651634053835816,0.0922768847238098,-0.091551590017294,-0.561686857251231,-0.377301767525164,-0.507542175457538,-0.714922517489235,-0.46918382854102,-0.93888352755745,-0.11429476705448,-0.269049703598624,-0.483829004033405,-0.174278772108543,-0.474879519924773,-0.361649660548767,-0.0259186105897162,-0.402640375929227,-0.542306884748998,-0.559120186962974,-0.394895747812463,-0.348002754489988,-0.72777251968865,-0.503659304907812,0.12128812592317,-0.52718042000958,-0.591166806520469,0.241603091171587,0.120208835106193
