"","NGO0063","NGO0302","NGO0303","NGO0440","NGO0602","NGO0682","NGO0781","NGO0955","NGO1367","NGO1375","NGO1676","NGO1820","NGO1821","NGO18211","NGO1822","NGO1830","NGO1904","NGO1941","NGO2170"
"NGON_As_1 (GE) - TPM",-0.752806489636085,1.42201478648994,0.462512415062364,-0.188326691784859,-0.0515684506438316,-0.0733708353419943,-1.39178165294494,-0.327388124410614,0.259375912708709,-1.08725750266553,1.46058131148563,1.42173327063962,1.29622660944532,0.89927555448229,-0.104923479528949,-0.29375189545517,-0.0565381459165331,-0.270382692341972,-0.50854636450633
"NGON_As_2 (GE) - TPM",-0.960947342876702,1.78847741309207,0.462094279330456,-0.0424969556399865,-0.425967155135015,-0.391609414074819,-1.02461257972065,-0.470407470002875,0.243071443657425,-1.40048348698958,2.6671233709186,1.69739830530524,1.1430570217395,1.96784834786293,0.229372537835017,-0.173448857267619,-0.177371128896082,0.282705905669646,-0.0235758762872017
"NGON_As_3 (GE) - TPM",-0.121421362505018,0.874674342446598,-0.454163116210239,-0.178857493727115,0.569301578402378,1.16346300304256,0.0626940951311364,0.660758450885385,0.00372841053155642,-0.311899860850911,2.60098322905458,0.297544657459123,0.429573012372197,0.498501041422811,-0.361366872619455,-0.242098396526592,0.405862793490444,-0.298841707386387,-0.473792982677736
"NGON_Bs_1 (GE) - TPM",-2.2432736777806,2.8217078406151,2.92050213530329,3.26224602962848,2.45177470969207,-1.98300383056415,-1.52535979717472,2.53777989594556,1.799950401677,-1.49581225705921,1.37138024158199,1.05598401663266,3.26904254742685,2.39744445400335,2.94903982423336,3.90412256749058,1.9312011199265,2.84776651078471,4.06765317334062
"NGON_Bs_2 (GE) - TPM",-1.65629538868061,1.26157969802512,1.33935638711158,1.10661284051851,0.434415352428894,-1.40615441540738,-1.51689508783532,1.62688869061318,2.14791196509513,-1.69941891071374,1.51187004510397,0.752873836355172,1.7513723058323,1.33391812903088,1.69309364238645,1.63666464190104,0.406931632603806,1.5894677377635,0.83564008566858
"NGON_Bs_3 (GE) - TPM",-1.33318122841986,1.42764164887554,1.8332401595997,3.26829104102025,2.01192935679986,-1.99512589117391,-2.0813564310656,1.29943505379428,3.6083237654506,-1.3313705408213,0.345838982172378,1.23904650506779,2.00766454164269,1.56522213225789,2.93941659461963,2.66664775928686,0.692894975243087,2.10344040122326,1.84006612035502
"NGON_Ctrl_1 (GE) - TPM",-0.804518860685426,-0.355334145598476,0.516958218900604,-0.432154269127456,1.43924698371016,-1.22698613456245,0.411428585802087,0.959165879403163,-0.0998294689958494,-0.426293963315848,1.08506930533347,0.830499746544921,-0.0898000220832507,0.525476667053487,-0.0979694047135446,0.284058251866131,1.21459734645691,0.638377559193394,0.372531590456169
"NGON_Ctrl_2 (GE) - TPM",-0.909030728625411,1.26802695170282,0.490788450064954,-0.0657978960316139,-0.00719365438699392,-0.676281694647236,-1.094823981688,0.366672641792577,-0.0813777160981755,-0.295117631204921,0.844902165640631,1.02011360046327,0.62470112868188,0.288778931674715,-0.0628663992688825,0.751689758271581,0.832297492755051,0.263784491790965,0.253345403019497
"NGON_Ctrl_3 (GE) - TPM",-0.545817030886204,-0.164829189915509,-0.14036182067208,-0.117044789546898,0.401032928356031,0.324734527104452,-0.646806354788283,0.987365805760066,-0.345307560285076,-0.202703565435574,0.250997529722388,0.562704007443248,0.319243693055159,0.476640400796094,0.0362413781625918,0.461191182403338,1.07909294425695,0.819048104118317,-0.149746182432741
"NGON_Li_1 (GE) - TPM",-0.303053051261305,-0.136549890004983,-0.305120358632254,-0.134416507590355,-0.801446651721159,-0.103372522134553,-0.588596745330158,-0.389998949795253,-1.07079856960295,0.907804313039651,-0.467465545831575,-1.19020384368603,-0.868934953695621,-1.04038128264438,-1.20714832946745,-0.176160981104999,-0.895539625093532,-0.722747600963904,-0.37594806696958
