"","NMC_RS11510","NMC_RS00525","NMC_RS11780","NMC_RS04665","NMC_RS05270","NMC_RS05320","NMC_RS12345","NMC_RS12475","NMC_RS06560","NMC_RS07075","NMC_RS12665","NMC_RS08130","NMC_RS12860","NMC_RS13025","NMC_RS09515","NMC_RS13340"
"NMEN_Ns_3 (GE) - TPM",0.0938146123045201,-0.244412691824729,-0.0305918938213273,-0.747856975933537,-0.488253365562764,1.2730989391587,-0.102468829034577,0.218529810196212,0.0794362911069942,-0.494527173960699,0.491240874623461,0.340462257449751,-0.380342729538477,-0.312388468653743,-0.260007104463217,-0.246493725503019
"NMEN_Oss_1 (GE) - TPM",0.669083500241546,-0.229543404128119,-0.497291121438305,0.173706829110711,-0.488253365562764,-0.42455346317728,-0.038217478199693,-0.41994553291251,-0.0916754138325634,-0.535624935711138,-0.856574393495141,1.07495937930945,-0.380342729538477,-0.312388468653743,-0.130859315152554,-0.40656505130071
"NMEN_Oss_2 (GE) - TPM",0.934831654263601,-0.336834641125539,-0.194098462028586,0.147638581173419,-0.488253365562764,1.34792447376988,0.424621351426279,-0.651554579632681,0.116878904960295,-0.272506697931355,-0.856574393495141,0.715730997367879,-0.380342729538477,-0.312388468653743,-0.116816624431213,-0.239438439833387
"NMEN_Oss_3 (GE) - TPM",0.854231372899118,-0.157789930044583,-1.01687145944383,-1.16783818808033,-0.488253365562764,-0.42455346317728,-0.66968580419597,-0.651554579632681,-0.77006707263564,-0.69856164920465,-0.856574393495141,-0.889544508691352,2.07314845315874,-0.312388468653743,0.0621971132404829,-0.40656505130071
"NMEN_Oxs_1 (GE) - TPM",-0.572514613520548,-0.110914392524013,-0.779552846452816,-0.150395900986215,-0.488253365562764,-0.42455346317728,0.347481813638621,-0.651554579632681,-0.77006707263564,-0.69856164920465,-0.203533633768205,-0.889544508691352,-0.380342729538477,-0.312388468653743,-0.339464963685397,-0.40656505130071
"NMEN_Oxs_2 (GE) - TPM",-0.572514613520548,-0.182331139555636,-0.0868880425689491,0.446995371928515,-0.488253365562764,-0.42455346317728,-0.585928608036009,0.742398125866708,-0.225675045303015,-0.69856164920465,0.179899270020782,0.29280374123055,0.794536808740529,-0.312388468653743,-0.301670098405717,-0.40656505130071
"NMEN_Oxs_3 (GE) - TPM",-0.572514613520548,-0.124449583329587,-0.918316765949973,-0.514327345908654,-0.488253365562764,-0.42455346317728,-0.477049933174764,-0.425905762649608,-0.77006707263564,-0.381074252588508,-0.856574393495141,1.02440481572431,-0.380342729538477,-0.312388468653743,-0.32529592635992,1.83514266000979
"NMEN_Sp_1 (GE) - TPM",-0.326217494528278,-0.2223205057815,0.208187859061325,-1.16783818808033,0.554408050961758,-0.42455346317728,0.0789035497553183,-0.169137021768561,0.171945777708705,-0.472308163006132,-0.258738360383932,-0.207568292111148,-0.380342729538477,-0.312388468653743,-0.0451418893273599,0.125943420089381
"NMEN_Sp_2 (GE) - TPM",0.23285294934212,-0.243866428844584,1.15063514070939,1.87785663212666,-0.488253365562764,-0.42455346317728,-0.854711980903048,-0.651554579632681,0.256696315648347,-0.69856164920465,-0.856574393495141,-0.889544508691352,-0.103354080981695,-0.312388468653743,0.0453390751587447,-0.40656505130071
"NMEN_Sp_3 (GE) - TPM",1.12614946631036,-0.281358388785831,-0.187145070313148,-1.16783818808033,-0.488253365562764,-0.42455346317728,-0.420115280755638,-0.651554579632681,-0.77006707263564,-0.178419321908569,-0.856574393495141,0.678275295058495,-0.380342729538477,-0.312388468653743,0.0578504088531681,-0.40656505130071
"NMEN_Tm_1 (GE) - TPM",-0.121996273815528,-0.193903454441304,-0.231020171488533,-1.16783818808033,-0.170386546861406,-0.42455346317728,0.984795163196773,-0.651554579632681,0.665847900497678,0.336076366067456,1.60389376271761,0.669765208167595,-0.380342729538477,0.0360511050781126,-0.12086679005558,-0.244223977727178
"NMEN_Tm_2 (GE) - TPM",-0.572514613520548,-0.090958066195084,-0.014057131781348,0.719987183467766,1.62500958258931,-0.42455346317728,-0.648592939246779,0.000287034137480844,-0.133644157780406,0.218578089053814,-0.250728278059094,-0.889544508691352,-0.380342729538477,-0.312388468653743,-0.169159708787573,0.312959302042958
"NMEN_Tm_3 (GE) - TPM",-0.193492269524656,-0.23520867001813,-0.739711545601097,1.69889358256989,0.581435622710851,-0.42455346317728,-0.530221803764679,-0.156631931599589,-0.77006707263564,-0.00220655558139958,-0.856574393495141,-0.889544508691352,-0.380342729538477,-0.312388468653743,-0.128228361592836,-0.40656505130071
"NMEN_Vic_1 (GE) - TPM",-0.453997246156374,0.0111438313728168,-0.785770798062034,0.624971696715158,-0.488253365562764,1.38717520451121,-0.0358062065787656,-0.651554579632681,-0.77006707263564,1.26114221457864,0.869486058099518,-0.889544508691352,-0.380342729538477,-0.312388468653743,-0.325107971341341,-0.40656505130071
"NMEN_Vic_2 (GE) - TPM",-0.572514613520548,0.0207095044659007,0.294167766805942,-1.16783818808033,-0.488253365562764,-0.42455346317728,0.254141984896981,-0.651554579632681,-0.77006707263564,-0.69856164920465,-0.856574393495141,-0.889544508691352,-0.380342729538477,-0.312388468653743,-0.303575093665741,-0.40656505130071
"NMEN_Vic_3 (GE) - TPM",-0.0820051070283052,0.0309405972733418,-0.681356863808282,0.687143725541477,-0.488253365562764,-0.42455346317728,1.24239896865132,-0.331303982775246,1.73133589465125,2.00498972644208,0.92934331447513,-0.889544508691352,-0.380342729538477,-0.312388468653743,-0.161327868612818,-0.0530618400432166
