"","FTS_RS00035","FTS_RS00040","FTS_RS00170","FTS_RS00205","FTS_RS00245","FTS_RS00450","FTS_RS00515","FTS_RS00655","FTS_RS00755","FTS_RS00885","FTS_RS01060","FTS_RS01125","FTS_RS01195","FTS_RS01200","FTS_RS01300","FTS_RS01305","FTS_RS01360","FTS_RS01365","FTS_RS01370","FTS_RS01450","FTS_RS01525","FTS_RS01560","FTS_RS01675","FTS_RS01705","FTS_RS01885","FTS_RS01980","FTS_RS01990","FTS_RS02035","FTS_RS02040","FTS_RS02080","FTS_RS02095","FTS_RS02185","FTS_RS02415","FTS_RS02510","FTS_RS02520","FTS_RS02545","FTS_RS02595","FTS_RS02750","FTS_RS02765","FTS_RS02810","FTS_RS02820","FTS_RS02890","FTS_RS03000","FTS_RS03005","FTS_RS03040","FTS_RS03055","FTS_RS03060","FTS_RS03065","FTS_RS03070","FTS_RS03075","FTS_RS03080","FTS_RS03110","FTS_RS03235","FTS_RS03275","FTS_RS03330","FTS_RS03365","FTS_RS03405","FTS_RS03510","FTS_RS03690","FTS_RS03895","FTS_RS10275","FTS_RS03955","FTS_RS04095","FTS_RS04100","FTS_RS04125","FTS_RS04255","FTS_RS04260","FTS_RS04290","FTS_RS04295","FTS_RS04305","FTS_RS04335","FTS_RS04390","FTS_RS04460","FTS_RS04710","FTS_RS04810","FTS_RS04970","FTS_RS05155","FTS_RS05200","FTS_RS05270","FTS_RS05475","FTS_RS05485","FTS_RS05545","FTS_RS05570","FTS_RS05605","FTS_RS05640","FTS_RS05645","FTS_RS05805","FTS_RS06005","FTS_RS06045","FTS_RS06080","FTS_RS06615","FTS_RS06690","FTS_RS06930","FTS_RS07200","FTS_RS07220","FTS_RS07250","FTS_RS07290","FTS_RS07295","FTS_RS07405","FTS_RS07450","FTS_RS07485","FTS_RS07530","FTS_RS07635","FTS_RS07640","FTS_RS07655","FTS_RS07660","FTS_RS07750","FTS_RS07755","FTS_RS07800","FTS_RS07810","FTS_RS07845","FTS_RS08205","FTS_RS08355","FTS_RS08595","FTS_RS08665","FTS_RS08880","FTS_RS08995","FTS_RS10650","FTS_RS09045","FTS_RS09120","FTS_RS09125","FTS_RS09150","FTS_RS10690","FTS_RS09510","FTS_RS09635","FTS_RS09660","FTS_RS09810","FTS_RS09940"
"FRAT_As_1 (GE) - TPM",-0.542118897859747,-0.620836871098086,-0.932708125688703,-0.318880168323627,0.851872633157012,-0.653481195986807,-0.505060844541808,-0.393879232659448,-0.600981879509633,-0.356326341242137,-0.903441967453414,0.709507260838571,-0.104377842781449,0.107018457343846,-0.0292706456940108,0.433176698222263,0.769377130281628,0.847805282021279,1.09360103538738,0.446819181667093,1.18689856181469,-0.272343286450875,-0.691830172535451,-0.480699837744444,0.0312404755163446,-0.459379406836753,-0.604268666953778,-0.71671618148373,-0.0418006677239112,-0.144993020556386,-0.271705126718048,-0.554147816907111,-0.373325370162757,0.317504281845338,-0.733756476278733,0.102100257456717,-0.497833603233066,-0.0297457480918243,-0.554668762538401,1.6536248331626,-0.512386447833928,0.152887290212668,-0.486783296179962,-0.165213422604845,0.0884841183703817,-0.351945431863611,-0.316566829143213,-0.509329945174711,-0.690981387046889,0.286455781521,-0.869109141348063,0.353563602627827,-0.8115766256846,-0.640833146412002,-0.307424603434973,-0.517222767991599,-0.919181701522501,0.708882343037089,-0.545027496810423,-0.746192788823382,0.087983017171042,-0.0321737721539187,0.925540552864058,0.38238916395961,-0.630157275299801,-0.381584242560563,-0.528056621232068,-0.41121014622361,-0.404569412324356,-0.535118799509718,-0.407354265324025,-0.286392581168474,0.541548054327935,-0.956146287830584,-0.401807833692993,0.318917301235992,-0.0207152511614917,-0.413327552572867,1.11839878563481,0.150731083872068,-0.0804310981157333,-0.527036039535573,-0.258561904408401,-0.272861753048315,-0.636662547317519,-0.277703788494757,-0.399250478555068,-0.904151549866366,-0.421640160343353,0.970541385480034,-0.81889084178078,-0.34241933188761,-0.712046244305657,1.01961861543205,0.0237414677744871,-0.836142681935793,-0.398094412194524,0.0834725516874785,-0.330579670205056,1.12092557605596,-0.341619239187649,0.775230211862388,-0.366429490477853,-0.401396967462546,-0.363565796328488,-0.470365589369271,-0.563244327622628,-0.26830452080883,1.3126071153912,-0.554232009758386,-0.380555169551712,0.799624946147138,-1.00241105779239,-0.321897654495583,0.782497196468008,-0.0859309316727534,-0.824892006452522,-0.699464887395123,-0.190942970470194,-0.978587488972916,-0.788862788216924,-1.12798388279955,-0.278066210037398,-0.0123349470016018,-0.161995782758361,-0.864284181745785,-0.00212107752719164,-0.791199092261799
"FRAT_As_2 (GE) - TPM",-0.442863404445347,-0.442892060569124,-0.484466247536366,-0.112148278911843,-0.00448740441162017,-0.829669067871543,-0.28033105320141,-0.374447172717787,-0.682409010960462,-0.464692969106624,-0.195236671900955,0.98707677692938,0.68521022765057,0.620372342993385,0.928840463352953,0.694987390580229,0.915941985627162,1.1374736081564,1.33512958789345,-0.154874345149179,1.08576409962446,-0.244083639512814,-0.530286934202677,-0.508657129330321,-0.862467082886618,-0.292006048717259,-0.461119554780742,-0.375195650862973,-0.255656576620928,-0.243622700529641,-0.304149091536662,-0.441592703362401,-0.845415128309621,0.264946402012429,0.0613268087507198,0.0209189022428091,-0.953279422432423,0.134057462123804,-0.774511539976547,1.19179673999656,-0.409805622614193,-0.142363511950088,-0.521921342523992,-0.187768135595959,-0.0629143521837655,-0.612144828262657,-0.665040136394994,-0.597308251064732,-0.739459084904607,-0.716254494201099,-0.693573003392024,0.57195684740152,-0.878192281186219,-0.764531206074036,-0.0880349586994448,-0.590830287347281,-0.689230986547266,0.854333867704796,-0.697391863312583,0.00325853557611162,-0.12357227727684,-0.510481927786863,0.853792711025796,0.715857424327835,-0.471963232443505,-0.471097980109241,-0.520874123699227,-0.26362822288951,-0.265108107885183,-0.824083809096385,-0.524399565019544,-0.595916719532497,0.676738684228831,-0.9162618916459,-0.564801135320737,-0.566767160312248,-0.0831666286041706,-0.19972840064551,0.699927333566343,0.200065943448957,-0.136911013186632,-0.554402928139263,-0.507235740220889,-0.298796056830423,-0.728744719207677,-0.893684075447969,-0.450907649757773,-0.760100133596845,-0.526131465471461,1.21761911982629,-0.526711817343594,-0.432897376412975,-0.0608287256284812,0.948838246201493,0.0246727107098498,-0.365267506156218,-0.732556835758885,0.541224989974274,-0.263776830969304,0.772799766532865,-0.531441006246267,1.09979655995845,-0.706986141224351,-0.54845265361974,-0.564571885010792,-0.335034832444636,-0.609141073264095,-0.106712657320018,1.14057672779066,-0.645873732414099,-0.374266287652904,0.663239393122572,-0.551044672290181,-0.466365966834511,-0.0340650000893364,0.563869117359522,-0.679256565217379,-0.330101067897786,-0.104178865428139,-0.890236092264158,-0.759396532795993,-0.0647013506905207,-0.156686471840091,-0.126105101870166,-0.0535068027946607,-0.365231772594491,0.180034088822384,0.0931669023615479
"FRAT_As_3 (GE) - TPM",-0.188962173778464,0.236064750018314,0.0107404304919046,-0.171564702748635,-0.429298382461419,-0.361813604273219,0.0317455851578392,-0.216142191846684,1.36313572719723,-0.142081468828129,0.292042821203272,-0.0621041006950962,-0.64289597230584,0.28634898653461,-0.364366903810144,-0.180264321653774,0.386147996407288,0.0112944910559334,0.15043611996635,-0.182028728369319,0.681939542202645,0.4710437066896,-0.359604880739006,-0.159592620292427,0.0973129269590549,-0.354614856707408,-0.485120194111953,-0.30784114870602,-0.218090858464398,0.845430504830738,-0.378623657221531,-0.125972574541635,0.494048501929351,0.116713395834352,-0.105672228965542,0.207088127946665,-0.0567603891956347,0.224143813766377,-0.471688470436512,0.996857528181867,-0.289606291155083,0.20044417858693,-0.413890996646798,-0.141941736878764,0.238923636633644,-0.0875871012602956,-0.216070873070813,-0.391814340106916,-0.547641650591069,0.945107215270182,-0.402160983542938,1.23686206701862,-0.545980415092695,-0.0903932454505491,0.024706989065391,-0.27110075364384,0.219947230051023,0.511454877727376,-0.187098122420866,-0.828623148441998,0.486500325076908,0.626445963792393,0.240273087363536,0.425241645849457,0.16981250465679,-0.321336028415705,-0.214488776683239,-0.535021278326989,-0.440416765884254,-0.165289143552582,0.28472422737777,-0.146805208659742,0.349330120478911,-0.386431858152206,-0.104249480724084,-0.145187479710485,-0.277773872739454,0.785178501514836,0.887835049779197,1.01265663473775,0.120631950430303,-0.305073419314693,0.537029672893374,0.515713200897147,-0.0996384644268235,-0.362327117273313,-0.347693500390924,-0.509224189997175,-0.313397998614668,0.842404445859646,0.158549169126242,-0.149447528448996,-0.286617924511013,-0.12962212709918,0.347999100614728,1.27379706114656,-0.033130598245284,1.06322859696986,1.17867969539952,-0.534659927314927,-0.0915144405451801,1.13639987268285,-0.520030641081802,-0.637022030847098,-0.697033278527245,0.3193527109387,-0.157284026089971,-0.710397908025628,0.970532133772583,0.0376038612580642,-0.405374228093896,1.44764259110192,0.388119575659423,0.159611925580187,0.970767926733791,-0.615293087938013,-0.770940113063114,0.0534851354573642,0.00508930029153182,-0.150741944404591,0.131941705215278,0.0128284108006449,-0.390875911066052,-0.526200176582414,0.0217033852945455,-0.112248872391377,0.111523030412903,0.299896241190254
"FRAT_Bs_1 (GE) - TPM",-0.801893563753556,0.933429808129499,0.853084915312461,-0.795850563489854,0.0479440148861911,2.20006688378112,-0.266432036611682,-0.178608738541993,-0.895348136894505,0.831403930231532,-0.214834028247438,0.149824306547859,0.577558112078375,1.23262987215583,-0.446295748881235,-0.787115559932109,-1.31859503995806,-1.29591533626006,-0.509638205893245,-1.22681176641577,-0.287930564459827,-0.0344654792037143,-0.5758197031104,1.43559839627576,-0.0318933348186157,-0.513569786079517,0.0300898074659452,-0.643450484371684,-0.589701942792971,-0.798792045028344,0.82530445381714,-0.503426897958898,-0.709768651996017,1.95011360930262,-1.05542049296421,1.52278357421049,0.28344445618123,0.275400604952321,1.90506330458761,0.82407254079093,-1.09425913122843,0.0767557139994173,1.46697876684504,1.41229954743009,-0.838699667284217,2.46116401692574,2.7369597675955,0.775367645431748,0.678512730814474,-1.2753819861281,1.36462134469297,0.298928235417019,-0.832119046154377,1.2899690272858,1.07355661406946,1.11184313833735,0.579806538827736,0.958990682614331,0.966541155713436,0.0328323888315023,-1.30289224795189,-1.6976427177145,-0.386163801897202,0.964282282348608,-0.0399537529383844,-0.693154756833745,-0.685796455523175,0.673377981534991,1.57475839820226,-0.1820348787668,-1.1658992531293,-0.649679949656255,0.777231571264704,0.980870162420149,0.516825091706273,-1.21758239037199,-0.967758029068223,1.1925215994955,-0.106761468326623,0.123264872049275,-0.48127706653603,-0.466595291080464,0.195927621007661,-0.772744546135126,2.29268981334902,-0.272773862250603,-0.67777220107973,-0.158825505075252,-0.66418604612237,-0.747824170102394,0.265337021592494,-0.328731125648188,0.154695954423221,-2.01342611894384,-1.1166946935829,0.631294895604241,0.220270221221727,-0.483313213175987,0.578114367810879,-1.8330816653263,1.5227759613084,-1.23508148607854,-0.657707991021173,-0.498652585046964,2.04444528793881,-1.011856727259,-0.377194395290606,1.43290721257097,-0.94308036353405,0.482506066081207,-0.886139151523886,-1.02257591139595,0.767649766312431,-1.08582036542187,-1.46827520825621,0.931860115464513,-0.604437219135287,-0.913915367502578,0.972394448793311,0.751013738008599,0.246184347566827,-1.85992697444354,-0.68341614345864,-0.0846706092982641,-0.0957814237158815,0.333479373392266,-1.25658992927003,-1.4080736209948
"FRAT_Bs_2 (GE) - TPM",-0.839449947642996,1.49378300493847,1.34278032231991,-0.509918779443321,-1.12042917164508,2.2607702645166,-0.171087276794312,-0.0727566943108642,-0.498569047812043,0.858609554020685,-0.00385960980957582,1.06394093416715,1.24247401944711,1.29837035306818,-0.436199386556724,-1.02057997654352,-1.06176434987192,-0.887607528248498,-0.561491571481006,-0.970964228464614,-0.784895977893119,-0.0758659810417873,-0.280483891317523,1.75412759714949,-0.238016987540571,-0.423320829249054,0.386522281009992,-0.332041602861945,-0.673504125845396,-0.557159770995319,0.790497000869618,-0.388742665392704,-0.617084508627183,1.92827356541926,0.174909865657443,0.811045830187227,0.739835495344428,-0.244139795440643,1.274609624552,-0.021646968075695,-1.06830341717432,0.238884522925678,1.40065471194327,1.48300513601627,-0.772216562940146,1.86239437391328,1.93023930155159,0.679336189068447,1.08465453727562,-1.37777169719402,1.36334260856222,0.758799409941818,-0.756156548059185,1.66281444893059,1.2105770504164,1.62861210660169,1.76908278857997,1.16195943789872,0.614713627600541,0.108244825265163,-0.276696036872132,-1.66867869101061,-0.820169307894964,0.464199010469558,-0.319559967402013,-0.794707930229189,-0.618982577548843,0.90398493766177,1.73704283487807,-0.173647410136235,-1.32614699804968,-1.16281173204934,0.83945092805658,1.5216556216989,0.503335758120214,-1.0105427706871,-0.854590994856559,0.456003412533308,-0.0663342749875474,-0.687194204010178,-0.595916659856626,-0.482430168583579,-0.326427363881885,-0.25091049304481,1.76577699511325,-0.344064948122632,-0.523416216470392,0.5881687835803,-0.617869891689517,-1.47631903593843,1.61309241391355,-0.461198104942137,1.76227016854673,-1.92743994839785,-1.68117119597504,2.55624743412447,-0.0960598204334898,-0.61721916666611,-0.0758122017019154,-1.71890690553788,0.886858950086403,-0.906013103452243,-0.946572685655288,-0.829046978874733,2.40738427161056,-0.782533849839572,-0.10424313957168,2.19454762957896,-0.928870997134157,0.185313479473365,-0.788097333076865,0.81849557341819,1.07756206522425,-0.747901035757141,-1.37724859188277,1.44272533381024,0.289820629124573,-0.745558028774672,0.724028717787657,0.358810532467453,-0.269786752327332,-1.18553559389528,-0.475335160859155,0.0166000576177276,0.126544790582489,1.89917543861796,-1.61175365419743,-0.773745704678626
"FRAT_Bs_3 (GE) - TPM",-0.988748401596271,0.510974143352967,2.1985709854685,-0.484638730329302,2.30951502780942,0.899839885643353,-0.60266363555456,-0.159715500189791,-1.31057450482347,0.410119141252036,-0.32490216777413,-0.138492788214411,1.31426983660034,1.44444278593705,0.334942059425314,-0.475036488458644,-0.787760923435973,-1.12096039112394,-0.249376523086962,-1.25222110048169,-0.545197599022705,0.231661230258965,-0.591506375053386,1.69994317835294,-0.781234028420588,-0.404006106534023,0.0627193252569913,-0.709520730041821,-0.495516540422479,-1.35714132676733,0.363736753550577,-0.603733247217932,-1.53007483631154,2.37457849752929,-0.260210786443141,0.731547075478541,0.616878907224338,-0.486601315611193,1.27210960053553,0.56057197382653,-1.25404418806744,-0.760624629232973,1.04748328040741,1.35287782771022,-0.528986036220975,1.91841183337523,2.09286365019468,0.553207673417278,0.21531121517286,-1.21815099969497,1.14699095791654,0.0198202497680415,-1.09735384406437,1.00715629309135,1.0826202082954,1.10464791821027,1.13118220028587,-0.297410459762215,0.689743627396546,-0.314684501763515,-1.30289224795189,-1.75729743028415,0.230896215047739,-0.073166098898947,-0.166226406393991,-0.762013922292855,-0.995937059453278,0.492981097823377,1.01968829034191,-0.972257738961535,-2.13054541558707,-1.3695412016448,1.80952387225761,1.47629067219501,-0.0694727671941889,-1.3338211374957,-1.01771897857041,-0.123753838702575,0.158959355130242,-1.63508715686169,-1.15184320993607,-0.696605038081176,-0.288641867780279,-1.35293755127556,0.40414844938579,-1.43189899271308,-0.832889493542824,0.00454329610115722,-0.813892263627388,-1.80174049819447,-0.59483508208073,-0.212358564350201,0.475390992800783,-1.89856033772657,-1.83226959420767,1.19951177643486,-0.242988472117058,-1.38906356377095,-0.480132898654629,-2.16172620651635,0.831787711765174,-1.28810420052109,-0.38193588330322,-0.798325665403557,2.14546966173933,-1.2678874899985,-0.587471575770226,1.99882691242695,-0.426264769778143,0.376766246022998,-0.861911570271187,-0.549236795340083,0.980664302301525,-1.35068831617567,-1.5877038857005,1.02164339125234,-0.293697613959799,-0.642713684391636,0.0665770067239332,0.390221939116738,-0.0488459335542817,-1.2684082896032,-0.612613816524916,0.828295103602217,-0.476954405692063,1.70002143369689,-1.36241233952872,-1.25913573536191
"FRAT_Ctrl_1 (GE) - TPM",-0.128794821699917,-0.441520051525005,-1.61322520803527,-0.323070756340246,-0.377086818754136,-0.932109669720816,-0.472431685772261,-0.338814561177107,0.579139812567588,-0.63061097933995,0.218424460713791,1.31631567674605,-0.347344982521643,-0.154633051049465,0.666760467974348,-0.0580520238780386,0.699577228097374,0.455826628028237,0.382078188209092,0.0967448383688307,-0.00939413766650142,-0.715068351504054,-0.441122311577622,-0.336225621183525,-0.447737462719401,-0.3939763601689,-0.156824832051039,-0.264896840971021,0.743068531775864,-0.585568498379197,-0.437163139420537,-0.315023594655177,-0.271045725333609,0.115149420136434,-0.428373177310351,-0.212677135417838,-0.148453456140959,0.613986266890633,-0.815965636354105,-0.212217244081799,-0.189261832852757,-0.401932330877615,-0.648456311908253,-0.588332518847795,-0.329352979317317,-0.866180159374557,-0.6223469442438,-0.460619122310293,-0.624563481071981,-0.554408544515312,-0.583252608013446,0.435472859896625,-0.380366307134403,-0.103266926891011,-0.469214312117823,-0.0649319306543443,-0.429995356931274,0.304459482954286,-0.410726257927634,-0.340199486579813,-0.819987078550351,0.648437084998789,0.64031682133252,0.817102452660718,0.0668083598939494,-0.409931348340064,-0.489690135630935,-0.406431145926159,-0.467659192115256,-0.454206583465619,0.0453264461494938,-0.190202377855736,0.14909707866197,-0.726396688705426,-0.339545264004867,-0.520491100985808,0.193825749575153,0.0712725345344778,1.52759350990099,-0.10085085701979,0.186347510467256,-0.372714029764372,-0.580079742583552,-0.571181677373909,-0.692726712041141,0.0450612402475636,-0.297721024826565,-0.56530791186575,-0.287149024235451,0.780341682682369,0.532370430915086,-0.487493320988168,0.547734356823377,0.538340499366832,-0.301616184652361,-0.484346008488629,-0.903878340873171,0.843200892995198,-0.0209424956157233,0.942408822200022,-0.413306896521436,0.830874081045013,-0.528741805210379,-0.314251878612913,-0.523171943435151,0.27520052987083,-0.231702467860839,-0.754417022947827,0.829569882761029,-0.389019617488555,-0.493050347523336,1.10273242380189,-0.549418553193389,-0.422756695593056,0.409759783937439,0.440542752386397,-0.554829122712105,0.0903481237964129,-0.636428611202706,-0.981070616272463,-0.972461127270954,0.32832679995225,-0.222616485521965,-0.374848865387059,-0.365163548336107,-0.375187140310703,-0.205114714390624,-0.615230830841807
"FRAT_Ctrl_2 (GE) - TPM",-0.573057246616526,-0.578783687040575,-0.531509938181574,-0.156659411349769,0.621546891189901,-0.916395174383708,-0.346701610193102,-0.257996907055182,0.130354443575523,-0.45727147757446,-0.988474512225312,0.337408635701509,0.73892983698941,1.08579145160348,1.627275749913,1.57090138265364,1.36634330016362,1.70032293763101,1.71413325533936,0.299603622370418,-0.0593368085009681,0.00984640370436103,-0.626993358524275,-0.799646876632738,-0.792170286760831,-0.3116979036721,-0.629191665971834,-0.611692813425938,0.191942029123397,-0.458197597721585,0.131364731695301,-0.526356045440004,-0.903085853277088,-0.068955122602798,-0.120611217695868,-0.607376815330297,-0.593242387175368,-0.369845269732372,-0.743596449440602,0.874856900289951,-0.824413242642522,-0.428065281640886,-0.598898035343426,-0.400070912421325,0.270925095672052,-0.697418803836398,-0.705830788342232,-0.633903887074922,-0.806820663804053,0.0136658194200608,-0.662038710149187,-0.314966184435771,-0.947251236644572,-0.675367448516276,0.0186573785620115,-0.92849072737977,-0.868018267805424,-0.0757377735227107,-0.848957015326975,0.0174952000261551,0.533404335187406,-0.234489957100311,0.505528973162137,-0.393462075227743,-0.829323525604772,-0.13318244435751,-0.577044354228603,-0.255027177147719,-0.413006400067399,-0.818899799325372,-0.0934085962685698,-0.821925389792612,0.401292650736011,-0.957860719544159,-0.486786733102656,-0.325689646914037,-0.122993415157657,-0.961274095185138,-0.632628114951622,0.412787504326441,-0.474745922239385,-0.662298153995834,-0.179169529077536,-0.488485233258374,-1.25772728047474,-0.821494065445031,-0.269054366795758,-0.915704374959575,-0.34595572513147,0.786329253080707,-1.47122254956557,-0.445995103756687,-0.987682965837464,1.54622546783169,0.0616676725357447,-1.10696825251551,-0.646147615960017,-0.0300336483618378,-0.298929893125879,0.503234942795832,-0.592384843742991,1.37437813139122,-0.209717137393035,-0.616294713186191,-0.301985755583757,-0.438382071134053,-0.671127086369777,-0.109234384470987,1.3836282656805,-0.59233328335025,-0.149250024268127,-0.24392303087032,-1.10397281486578,-0.22820464362724,0.711836643828767,-0.0020864088836764,-0.858976215094805,-0.896243463550689,-0.300434348890645,-0.98101972474391,-0.796196085734661,-0.687779792156568,-0.353089981816925,-0.187051191672026,-0.230847528403908,-0.764164667715124,0.181511240756905,-0.925810294136075
"FRAT_Ctrl_3 (GE) - TPM",-0.318471298780353,-0.200707984861532,0.283062510710558,0.0519685852013605,0.337453836149332,-0.995755268383957,-0.358383769823208,-0.287129642168502,-0.659949335915178,-0.457515900032221,-0.84614481024948,-0.0252259218676835,0.354063262532985,0.216740693757376,1.06122231154584,1.2908669901743,1.49206742687269,1.51602574064963,1.62742721648473,-0.101375932744325,-0.104859536992843,0.0350878431629306,-0.522674841165642,-0.595415359842937,-0.784272539265442,-0.484722229679735,-0.696240145359703,-0.663645957488294,0.117483535662703,-0.00541876519979715,-0.0431670993400293,-0.312304350946161,-0.419052169019966,-0.0444663854288426,-0.245119065953255,-0.514825375170378,-0.446993856942844,0.0729478233383039,-0.59432911160001,0.711726482706631,-0.153887335731129,-0.061601024872172,-0.388790536053069,-0.177516736200363,0.699793960534201,-0.459737346337954,-0.550744200062995,-0.560422542186232,-0.80320348648359,-0.619926332408785,-0.82226058206345,-0.25248564266869,-0.937953079978666,-0.714031399781064,-0.0862267347846615,-0.883098845175051,-0.791880572134224,-0.734451524900806,-0.760364045779957,-0.353789083388853,-0.116413996435079,-0.212269169496678,-0.25794907737279,-0.683630481049412,-0.740547927935624,-0.19710552908945,-0.557020191232124,-0.381918035945399,-0.548530218916611,-0.700262428625385,-0.209254492615038,-0.702146675086658,0.57161324995552,-0.839981654338103,-0.438275197837343,0.140919189838303,-0.149046395068096,-1.04614374222585,-0.468912258874654,-0.224568797974418,-0.554408056066169,-0.563513865258182,-0.403344345303374,-0.560758655031763,-1.11251968966031,-0.67420724372733,-0.325366399012107,-0.892734916258708,-0.331995025643926,0.244099688679826,-1.41124323069532,-0.37863854548093,-1.03034236834134,0.854374268033193,-0.140137753832439,-0.919933479980571,-0.440333670970296,-0.276399211306986,-0.225305805493443,0.677753869335195,-0.464693033150123,0.903920452141132,-0.421228009258662,-0.356873582388069,-0.257259606857566,-0.560268292141633,-0.714554809430132,-0.0623414960188319,0.621802797460635,-0.554465835235735,-0.27054705312599,-0.0776903123240974,-0.648617921088712,-0.61638451502184,0.134645530962438,-0.229622194097186,-0.799129986529024,-0.898562926807728,-0.33752845172758,-0.833046061469836,-0.754843354767745,-0.388676886139222,-0.050278402912299,-0.310926594802897,-0.229665580693412,-0.579535037244321,-0.233592051455288,-0.356360418633012
"FRAT_Li_1 (GE) - TPM",0.741631001609586,1.96320831282819,-0.336187778378,0.343068345028667,-1.27110919927381,1.14277956823362,0.124905155605616,-0.28142982319174,1.68325828207641,1.13419502564345,0.616565131151952,-0.579797773199962,-0.32478925152103,0.00398918742802641,-0.16227406866896,-0.117469977364955,0.152034008074855,0.115752011990245,-0.0670570301114831,0.335889163893117,-1.05804994133205,0.117774357849791,0.166957005126141,0.455376948599011,0.423196750796671,-0.452982549796224,-0.475239542218448,0.625270377002909,0.932564235742638,0.519681506955995,-0.133417200975185,0.770776809924263,1.49035258626847,-0.908691413250444,-0.485652315901297,-1.30629014019876,1.09629643482297,1.42565598406227,0.770850447830864,-0.845293682907975,0.330498283041506,1.40608831117125,1.70134794870175,1.85154144898185,0.232238790551439,1.50484674291196,0.933585656633169,0.200966778287167,1.00142341933237,2.54251608876392,0.0182181532704477,-0.100677237703461,-0.477113552945346,2.42427923102303,0.560415835252989,-0.0847495556150236,1.00298369446114,0.548746793324123,-0.00072019325929358,-0.0761006533988887,-0.147950242711316,-0.893630259696492,-0.865335607097162,0.159761470582958,1.07043641973827,1.0706057042657,1.08152983359678,0.0430012269869511,0.0900354905145855,2.24763623731427,0.7223371634975,0.621920896451167,-1.50804906012459,0.765180598376785,1.42791555268641,-0.298868767410731,-0.406137549605177,-0.242186308601167,0.228520153780699,-0.279585252516101,1.45366481534136,0.859433179915282,0.416989888580129,0.166886031336889,1.11299052569653,1.80285136831933,0.148860872089259,0.649869833455111,0.631705747344357,-1.07226227520252,0.281374964837005,-0.110645097543571,0.888646392762281,-1.40529466999706,0.0526407969250253,0.286721671568564,0.382620784501019,-0.585792625485306,0.300467664268472,0.69448366671325,1.08306952979937,-0.543033959147799,-0.592699921134385,-0.885865547337367,0.259286858320597,0.160340153141831,1.18400012452497,0.406739334150278,-1.08839060864339,0.961344192304076,-0.747858949656725,-0.0168355743524125,-0.138900132321114,-0.0292816659739802,-0.825171098274482,-1.69854020877637,0.0543119249445342,-0.327159451626775,0.713912582609421,0.0694328640950882,-0.0088416046304739,-0.523871784022196,0.118636340464797,-1.73102081688347,0.70551192677601,0.538092755635749,-0.356664118579276,-0.52656057795828
