"","GBS_RS00055","GBS_RS00270","GBS_RS11120","GBS_RS00905","GBS_RS01360","GBS_RS01400","GBS_RS11160","GBS_RS01620","GBS_RS11165","GBS_RS02195","GBS_RS02715","GBS_RS02720","GBS_RS02940","GBS_RS11235","GBS_RS03565","GBS_RS03600","GBS_RS11255","GBS_RS03990","GBS_RS04160","GBS_RS11275","GBS_RS04565","GBS_RS11280","GBS_RS11285","GBS_RS11295","GBS_RS05200","GBS_RS06335","GBS_RS06945","GBS_RS06955","GBS_RS06995","GBS_RS07015","GBS_RS07045","GBS_RS07255","GBS_RS11350","GBS_RS07555","GBS_RS07875","GBS_RS08070","GBS_RS11365","GBS_RS08190","GBS_RS11400","GBS_RS11410","GBS_RS11430","GBS_RS09560","GBS_RS11455","GBS_RS11465","GBS_RS10195","GBS_RS11495","GBS_RS10280","GBS_RS10300","GBS_RS10345","GBS_RS11510","GBS_RS10580","GBS_RS10585","GBS_RS10590","GBS_RS10595","GBS_RS11525","GBS_RS11530","GBS_RS10735","GBS_RS10755"
"STAGA_As_1 (GE) - TPM",0.408356838530458,0.495698974810377,-0.299596933536229,-0.292120128943559,-0.380708479395089,-0.343857094951544,1.16570758065588,-0.454127530477474,-0.292987283467049,0.115811355228144,-0.204660833387694,0.474283031902964,-0.1365563761108,-0.475471428075788,0.453406502164329,-0.885876846503316,-0.499849564810484,-0.166666666666667,4.09939739153168,-0.166666666666667,-0.427760804163641,0.600902920741441,0.718097520871402,-0.307755252794746,1.58961335470374,-0.154491116716373,0.784180889724376,0.399143439498207,2.18813823194628,-0.514723532517343,-0.220543530303273,0.138080981904308,-0.80659547497539,0.0862087419215946,-0.688163315283215,0.887330057353099,-0.196883244372778,-0.135052577652952,-0.166666666666667,0.718028448438997,-0.166666666666667,-0.881908282584435,-0.166666666666667,-1.24200431634824,0.8558595157688,-0.434953604135727,-0.636760730395373,-1.24638786381279,0.194334177206796,-0.232494242610371,-0.22659955253904,-0.307972473874618,-0.242404960356863,0.272599291279871,-0.385372289887636,-0.406009200883602,-0.779074707500232,-0.194969473926278
"STAGA_As_2 (GE) - TPM",-0.522683037191453,2.44896510810774,3.23545538469584,-0.292120128943559,-0.380708479395089,-0.343857094951544,-0.955963954538385,-0.454127530477474,-0.292987283467049,-0.835378607581569,-0.746603690203218,0.0353465299297289,0.617326851775119,0.278959703771887,0.494415014868125,0.294535225099392,1.24348463460042,-0.166666666666667,-0.260907237402502,-0.166666666666667,0.450536682594534,0.413252411268579,-0.992519543255641,-0.307755252794746,0.27144863588824,-0.924711889807113,-0.596400167465221,2.83877337809405,-0.546825216776956,-0.514723532517343,-0.220543530303273,0.506733238104368,0.391626545524474,-0.838025560599452,0.0495447307652656,-0.89299629448041,-0.93471741876046,0.907357175954749,5.83333333333333,-0.507240331756072,-0.166666666666667,-0.881908282584435,-0.166666666666667,1.759224875738,0.744600196733409,-0.434953604135727,0.92279620421237,-0.0819569940387548,0.144975137092022,-0.897051576778195,-0.348590448512559,-0.271900680649398,-0.360877639950669,-0.551088150780954,4.26251420365207,-0.406009200883602,-0.2610991380026,0.1389239689792
"STAGA_As_3 (GE) - TPM",-0.522683037191453,-0.189038980713943,-0.866789748238833,-0.292120128943559,1.20525314657245,0.310917135578243,0.221622974191207,0.191261375972431,-0.292987283467049,-0.405891839828731,-0.523718620279356,-0.35099572045174,-0.025415531621317,0.768880439339037,0.470176827433025,-0.108669648700875,0.540720942792831,-0.166666666666667,-0.260907237402502,-0.166666666666667,-0.0463657696977534,0.973559294208458,-0.515821949695512,-0.307755252794746,0.897886661570141,-1.06586231179031,-0.0156273664726019,-0.487658223119794,-0.546825216776956,-0.514723532517343,-0.220543530303273,0.363994252304861,0.0776753660355525,0.200133846322038,-0.16145521874513,-0.89299629448041,0.163283865859198,0.906100221193655,-0.166666666666667,-0.687769393622382,-0.166666666666667,0.498600247957616,-0.166666666666667,1.48903151703266,1.41373746351992,-0.434953604135727,1.79949075092259,-0.101865978654053,0.791988455542014,-0.117326114976955,-0.256797628353834,-0.333547585363042,-0.313300456482357,-0.344808182021437,-0.385372289887636,-0.406009200883602,0.5021679447585,1.0107760046163
"STAGA_Bs_1 (GE) - TPM",-0.522683037191453,-1.64170720277425,-0.241717817975564,-0.292120128943559,2.55550669314223,-0.343857094951544,-0.652727315023946,-0.454127530477474,-0.292987283467049,-0.15722148995184,-0.723121807905856,-0.772515316547682,-1.3420331126335,0.518977971573488,0.525572081830205,-0.885876846503316,-1.01631112945375,5.83333333333333,-0.260907237402502,-0.166666666666667,-1.25718856506376,-1.35516710197787,-0.830938327672942,-0.307755252794746,-0.865331219780429,-0.889282732827132,0.622874398526132,-0.920729365593656,2.46722720481233,2.21373462910147,-0.220543530303273,0.978781554105607,-0.765023117937942,2.11091574762131,0.466207271156248,-0.402496414833407,0.284972128441826,-1.39446597329296,-0.166666666666667,-1.03575250562853,-0.166666666666667,2.03905598966742,-0.166666666666667,-1.21573156656097,-1.35012885865987,-0.434953604135727,-1.36874460313223,-0.465235114299702,-0.620742602977684,-1.13367786856537,-0.310307434936891,-0.572035186279484,-0.442188021664114,-0.682556475691699,-0.385372289887636,-0.406009200883602,-1.72282668051355,-0.0830905622725673
"STAGA_Bs_2 (GE) - TPM",-0.522683037191453,1.83554625150529,1.01881253096453,-0.292120128943559,-0.380708479395089,-0.343857094951544,-0.585259410947629,-0.454127530477474,-0.292987283467049,0.58894713028461,-0.857226512835329,-0.748470883004687,1.70754338209625,-0.172982898910737,0.504978912709201,0.19927902306802,-1.12998168248261,-0.166666666666667,-0.260907237402502,-0.166666666666667,1.19926355703997,-0.890677778677218,-1.39122349907946,-0.307755252794746,0.605583581563272,0.315810511529614,-0.644455894781365,-0.308919632829968,-0.546825216776956,1.54295442036794,-0.220543530303273,1.57416068054746,1.60033247840542,-0.93661982063904,-0.212722836426719,-0.89299629448041,-0.0148835246809923,0.195965709362179,-0.166666666666667,0.907697927515346,-0.166666666666667,-0.881908282584435,-0.166666666666667,1.17528644406093,0.183815216160907,-0.434953604135727,-0.560060726452923,0.435494370529329,0.196724604007897,-0.772562076674601,-0.634114818710633,-0.623861747566327,-0.490435934435187,-0.506307462279062,-0.385372289887636,-0.406009200883602,1.25902652777037,-0.191047374734463
"STAGA_Bs_3 (GE) - TPM",-0.522683037191453,-0.467664950310242,-0.866789748238833,-0.292120128943559,-0.380708479395089,-0.343857094951544,2.88656196116926,-0.454127530477474,2.94143517301983,-0.0530322315022015,-1.26512780715177,-0.500428860163254,1.69720637415901,-0.957796298580722,0.346603403694676,-0.885876846503316,-0.817537644822555,-0.166666666666667,-0.260907237402502,-0.166666666666667,-0.100328380883546,-1.19330167817353,-0.31209544758902,-0.307755252794746,0.465489947224499,1.08855832039275,1.86050105926863,-0.901611766755674,-0.546825216776956,-0.514723532517343,-0.220543530303273,1.66999562703986,2.69695589090237,0.463975209398721,-0.737509080920287,-0.377367269527492,-0.507325311163006,0.388447710387486,-0.166666666666667,1.67326500947125,-0.166666666666667,-0.114255719332496,-0.166666666666667,-1.20119531410695,-0.306330099459469,-0.434953604135727,-0.964888569226801,0.371014841360365,2.00000979980343,-0.350458317334767,-0.543262835391046,-0.497355834143207,-0.454869877155482,-0.48207222776487,-0.385372289887636,-0.406009200883602,-0.57891937397313,0.194519011193921
"STAGA_Ctrl_1 (GE) - TPM",-0.522683037191453,0.698452314001558,1.3109672693345,-0.292120128943559,-0.380708479395089,-0.343857094951544,-0.910959135158868,4.30347407650422,-0.292987283467049,-1.17871048853477,-1.05501559199864,-1.07839889490218,-0.539054390402382,-1.43200187031223,-0.848847068385492,1.26261968694528,0.536087710395386,-0.166666666666667,-0.260907237402502,-0.166666666666667,-0.204001338812727,-0.895346660909399,0.955625122611616,-0.307755252794746,-0.642722118118239,-1.20647617313763,-0.830607555063484,0.191930069012337,2.45345751711226,-0.514723532517343,-0.220543530303273,-0.901393527264574,-0.563499607129585,-0.224429024997261,-0.720168870953083,-0.89299629448041,-0.530011618960088,0.0490051386507986,-0.166666666666667,-1.03575250562853,-0.166666666666667,0.208449163012054,-0.166666666666667,-0.652149344195981,0.256187656950094,-0.434953604135727,-0.728941691007734,0.261537023578991,-1.23991509314901,-0.0761516280970137,-1.00374417971335,-0.80973352981765,-0.738448955396057,-0.856345186832579,-0.385372289887636,-0.406009200883602,-0.0298627482020791,-0.394344496143585
"STAGA_Ctrl_2 (GE) - TPM",0.000515255874448088,-0.125089653194602,-0.0699540802974865,-0.292120128943559,-0.380708479395089,0.274281048015469,0.275012974568859,-0.454127530477474,-0.292987283467049,0.855307935551386,-1.1011769921671,-0.852530156339739,-1.70410928224466,0.481504896981078,-0.644644852921726,-0.152156136265756,-0.439753758898457,-0.166666666666667,0.555851170843655,5.83333333333333,-0.903043661225262,0.529200548997271,-0.354458544284785,-0.307755252794746,-0.43167343112681,0.271879208285038,1.21409691653409,-0.342488577354675,1.75854575598987,2.26784615908657,-0.220543530303273,-0.44730717710148,-1.5163989729801,-0.227273954660906,-0.732251411532329,1.60814176888055,-0.727404289250092,-1.0178515031185,-0.166666666666667,-0.378727154801421,-0.166666666666667,0.793719404663021,-0.166666666666667,-1.21010444383955,-0.769598269146011,-0.434953604135727,0.408890810746796,-0.816079591579338,-0.752679134425409,0.0577503178908976,-0.84781922709075,-0.713405426357888,-0.677350966738602,-0.187680982759705,-0.385372289887636,-0.406009200883602,-0.25495951076769,-1.12974865726501
"STAGA_Ctrl_3 (GE) - TPM",-0.522683037191453,-0.581644541248521,-0.150988805457766,-0.292120128943559,-0.380708479395089,-0.343857094951544,-0.725288317632378,-0.454127530477474,-0.292987283467049,-0.00758714913742688,-1.33796000991384,-1.10978573016632,-1.01822241970359,-1.03441695978589,-0.535980100568169,-0.0619962188223293,-1.32571186466797,-0.166666666666667,-0.260907237402502,-0.166666666666667,-0.343758500521407,-0.120880691703302,-0.44288417487769,-0.307755252794746,-0.608468093567377,-0.26361216417316,-0.25671781453719,-0.011918341588039,-0.546825216776956,1.0475229944802,-0.220543530303273,-0.998817227211928,-1.09002527852945,-0.0069619850879767,-0.750385615023527,0.792091097891294,-0.00356599349281738,-1.22005615067732,-0.166666666666667,-0.666872051069807,-0.166666666666667,-0.463790607145252,-0.166666666666667,-0.281018536936435,-0.901275848579922,-0.434953604135727,0.170194164244156,0.414857119822663,0.0910999218635228,1.6134617772107,-0.680103191384299,-0.727462231696938,-0.739267463803364,-0.45568038095717,-0.385372289887636,-0.406009200883602,-0.609044485493553,-0.598098533104654
"STAGA_Li_1 (GE) - TPM",-0.522683037191453,-0.464385170427592,0.961657165570667,-0.292120128943559,-0.380708479395089,0.300870787240231,0.131961355584488,-0.454127530477474,-0.292987283467049,1.86515795343828,-1.65582139901945,-1.27538761415461,0.195459268523985,-1.09360625822647,-1.44106797592809,0.262046651417482,-0.512847217506719,-0.166666666666667,-0.260907237402502,-0.166666666666667,-0.359487141154331,-0.0448835476087529,-0.773642541295192,-0.307755252794746,-0.0964071224199487,1.43029624861162,0.545439771787379,-1.09542376106011,-0.546825216776956,-0.514723532517343,-0.220543530303273,-1.67641142921104,0.0747542614465098,0.620186667990936,0.237278023819381,-0.371250964608027,0.146436983975052,0.0566860769575448,-0.166666666666667,-0.350464649222655,5.83333333333333,0.283229211216279,-0.166666666666667,-0.216775480449851,-0.725262147454734,-0.434953604135727,-0.364469329853457,-1.16972562966447,-1.17992005432543,-0.616121634823665,-0.597991736465203,-0.460366400226986,-0.510053322316607,-0.097597295845503,-0.385372289887636,-0.406009200883602,0.554256154640963,2.11170830414996
