"","lmo0108","lmo0109","lmo0110","lmo0178","lmo0179","lmo0180","lmo0181","lmo0182","lmo0238","lmo0239","lmo0240","lmo0241","lmo0242","lmo0243","lmo0244","lmo0260","lmo0261","lmo0301","lmo0323","lmo0327","lmo0351","lmo0504","lmo0507","lmo0536","lmo0581","lmo0586","lmo0592","lmo0594","lmo0595","lmo0615","lmo0630","lmo0631","lmo0640","lmo0641","lmo0733","lmo0734","lmo0762","lmo0766","lmo0767","lmo0768","lmo0769","lmo0776","lmo0930","lmo0931","lmo0943","lmo0965","lmo0986","lmo0987","lmo1031","lmo1032","lmo1033","lmo1034","lmo1035","lmo1038","lmo1039","lmo1043","lmo1044","lmo1045","lmo1046","lmo1047","lmo1049","lmo1098","lmo1142","lmo1143","lmo1145","lmo1146","lmo1147","lmo1150","lmo1154","lmo1195","lmo1196","lmo1288","lmo1368","lmo1379","lmo1380","lmo1387","lmo1423","lmo1424","lmo1434","lmo1477","lmo1644","lmo1678","lmo1679","lmo1680","lmo1712","lmo1713","lmo1723","lmo1724","lmo1725","lmo1727","lmo1728","lmo1729","lmo1737","lmo1738","lmo1739","lmo1780","lmo1798","lmo1799","lmo1847","lmo1848","lmo1849","lmo1866","lmo1867","lmo1877","lmo1879","lmo2007","lmo2010","lmo2013","lmo2016","lmo2029","lmo2030","lmo2084","lmo2101","lmo2102","lmo2107","lmo2109","lmo2126","lmo2138","lmo2140","lmo2165","lmo2278","lmo2279","lmo2280","lmo2281","lmo2282","lmo2283","lmo2284","lmo2285","lmo2286","lmo2287","lmo2289","lmo2290","lmo2292","lmo2295","lmo2296","lmo2297","lmo2340","lmo2341","lmo2347","lmo2348","lmo2349","lmo2350","lmo2352","lmo2424","lmo2437","lmo2539","lmo2580","lmo2582","lmo2583","lmo2584","lmo2742","lmo2761","lmo2762","lmo2763","lmo2764","lmo2765","lmo2785","lmo2795","lmo2796","lmo2797","lmo2798","lmo2799","lmo2800","lmo2801","lmo2822","lmo2823","lmo2824","lmo2850"
"Listeria_As_1 (GE) - TPM",-0.741846878189317,-0.9822643077364,-0.894081639019567,-0.675242322580309,-0.749414578165505,-0.600682999959387,-0.607262907231003,-0.615579888152919,-0.520522077886592,-0.405453685132604,-0.420938307353096,-0.384419256885058,-0.423352105518057,-0.317828856075715,0.0670035815066975,-0.959116573302003,-1.41434213489305,-0.323131892902003,-0.887699926497496,-0.743257524503937,-0.624691638049584,-1.18228465358564,-0.621063505344503,-1.21685328649728,-0.381211579582835,-0.532344069516448,-1.00293624271147,-0.938393111869623,-1.00209317320254,-1.14619919699406,-0.855294752615618,-1.12060608300587,-0.91467707924315,-0.564106689221446,-0.624398039755613,-0.540791316322145,-1.01540159144774,-0.720197673615176,0.660055724590799,-0.364971727537758,-0.328657811929251,-1.107179176746,-0.72198790399715,-0.670927042097179,-0.969006091621556,-1.15452336282594,-0.866768097135308,-0.968523610694466,0.0567546325604027,-0.58605597621587,-0.66168842785369,-0.922706118305835,-0.713786928876711,-0.581969625534529,-0.610708579307886,-0.833259381008585,-0.699589755750142,-0.625698568932015,-0.82821628310738,-0.689572544428142,-1.16143317663062,-0.327294627986741,-0.910039854057188,-0.850445014223506,-0.707880693444172,-0.56892699148604,0.566060192631869,-1.14376324865713,-0.834858849145327,-0.720087830798715,-0.710247345903269,-0.25215486036475,-0.556485577946465,-0.718897022464013,-1.08578566635103,0.442680334727385,-0.909738007937045,-0.813652143969719,-0.708308997578731,-1.26439199008116,-0.60724892419403,-0.801168431923617,-0.918675582097977,-0.777238740717198,0.531167057746175,-0.937352373095559,-0.820302393533287,-0.545194909260896,-0.773332909969053,-0.740424955130093,-0.520417874093373,-0.526178786838775,-0.225980465127436,0.0191870627303236,0.509371470867389,-0.795413556877881,-0.404469407940712,-0.499740251222176,-0.669409253105748,-0.73252480898729,-0.796624851088643,-0.518743950768899,-0.894575479810388,-0.838332349999098,-0.823153462260085,-0.624959062126236,-1.04151996221048,-1.25074452997572,-0.116344774190241,-0.26402471583331,-0.765720125356684,-0.27034345408241,-0.379076068187834,-0.436475910573259,-0.979376921933663,-0.353316122026791,-0.864573763324944,-1.09836856718606,-1.09756590112781,-0.270540359361319,-0.63033840883819,-0.382620985927241,-0.555656582680911,-0.52114313854935,-0.127797830183258,-0.509676038045492,-0.797033474856165,-1.16209720970852,-0.956235288372374,-0.929377308768939,-0.46894657698332,-0.655939002246898,-0.734560061108843,0.390261789632591,-0.588524023645804,-0.610466559398444,-1.12609043323951,-1.20452338654795,-0.315485713888079,0.321698576396993,-0.228920284795343,0.561153052500972,0.150947711518161,-0.454987835200263,-0.748107374591274,-0.251166340073404,-0.999735631822656,-0.741920984733006,-0.863727960997199,-0.670240880395741,-0.857784140374896,-0.45977499306498,-0.440116160775997,-0.44557215857459,-0.44447681893775,-0.426199454765743,-0.793003807970939,-0.918389434486924,-0.856985439415715,-0.807359057872206,-0.845909201481659,-0.766861360278399,-0.713048190116586,-0.778844952938332,-0.725272183138848,-0.573527462170691,-0.935511173157032,-1.12992967356954
"Listeria_As_2 (GE) - TPM",-0.548322879733688,-0.946961392161717,-0.937862120145869,-0.699438639450842,-0.68418195622448,-0.672361306815176,-0.595232082792475,-0.570662594100465,-0.53542637989332,-0.3767202684517,-0.410421108999594,-0.302189850215213,-0.328573463251228,-0.33163679355713,0.116173170138471,-1.09646929949649,-1.40612934612598,-0.76537839672335,-0.807800135271813,-0.957547302032805,-0.876324240660733,-0.118826518029297,-0.700539708785688,-1.15161828112011,-0.300854008918256,0.332708498976658,-0.84208769367574,-0.455184626622909,-0.221818407347971,-1.64164644139717,-0.976117271823535,-1.12060608300587,-0.963016352945325,-0.551151889198695,-0.769436124722905,-0.821782848539683,-0.497140435588234,0.139312061596407,-0.973659581850854,0.413033637393586,0.4380731154152,-0.983018911374808,-0.715341695389864,-0.412563223435384,-1.0139240363432,-1.13185321128594,0.344079803631552,-0.687887407662325,-0.758937099163558,-1.13262105604721,-0.850070597407016,-0.785660267785287,-1.41528875680475,-0.760043757692219,-0.921628070450945,-0.843709049877877,-0.777092883108114,-0.662516163059817,-0.819272724851503,-0.682416574411974,-1.02280002862225,-0.327294627986741,-0.788609252497371,-0.636050806981359,-0.937592750173514,-0.275539470818617,0.50674098986819,-1.08054599093578,-0.655515871064901,-1.17926819536079,-0.526774771483762,-0.416622488925034,-0.720475504205741,-1.30868578993746,-1.79944934747591,0.148499106824155,-0.939415963822317,-0.821302369798912,-0.703245122254058,-0.00433713210622789,-0.846689317568043,-0.745363438075176,-0.88047983632896,-0.907464384670531,0.675732954910739,-0.905818619851869,-0.835272153710712,-0.753336182047633,-0.518819189208272,-0.59654024430961,-0.562348278686436,-0.572220563733841,-0.168959481088214,-0.0301381873997337,-0.454650862684621,-1.05142970648901,-0.544952133144145,-0.534915268480022,-0.674486077144722,-0.72152131534339,-0.757303175641867,-0.615286185877505,-0.842463918459015,-0.718057935849475,-0.836666605948735,-0.843510536433144,-0.850834489357305,-1.00432757485663,0.775308234608784,-0.487069942761273,-0.0742592750436097,-0.482511600648066,-0.419885664510173,-0.504874721528468,0.457884457124904,0.345200504620133,-0.723036666695436,-1.13539850260533,-1.23592509402456,-0.193962302675447,-0.639171713515043,-0.644195940694703,-0.347849470199854,-0.52114313854935,-0.808014682583057,0.0544572141346511,-0.99963901307472,-0.902993976080476,-0.982597996993699,-0.911904866833253,-0.836570959141741,-0.77472857451246,-0.456599871358489,-0.605983694873329,-0.607889483606028,-0.641030845449715,-1.04972834516127,-1.25531440840885,-0.746469198519121,0.616111052274696,0.627669167224844,1.29496574359394,0.342718684237142,-0.065668943426304,-0.314653566232429,-0.273357411414354,-0.939007050919896,-0.856605924958782,-0.795242834348702,-0.6703762127173,-0.867291339990656,-0.460460842352136,-0.454053223754477,-0.446061694521817,-0.45039747571637,-0.426410442235947,-0.794609736314168,-0.800976939894231,-0.793627671057455,-0.761683603280398,-0.76180759424211,-0.759705108790093,-0.782600027070257,-0.74226035088957,-0.54270400405001,-0.381766059454797,0.273080914558934,-1.12992967356954
"Listeria_As_3 (GE) - TPM",-0.742444628185525,-1.00195552408094,-0.953991552262629,-0.62599271279547,-0.687467483820939,-0.577859165097319,-0.564213666623811,-0.54496724624348,-0.593299602884721,-0.439948614225357,-0.376988367494035,-0.306424348685671,-0.382269741965934,-0.326882999455452,-0.117616918485801,-1.15819469327668,-1.48709291340248,-0.603398901098825,-0.906672666676625,-0.854735798187711,-0.876324240660733,-0.358800293292138,-0.659976445889011,-1.15457220149293,-0.340088462512772,-0.157716273992274,-0.940161630336228,-1.07807835038591,-0.925785495250454,-0.668814331039972,-0.837378386707204,-0.723576162419894,-0.955364599158787,-0.553499815405685,-0.544401594926599,-0.727155915392841,-1.11972363349476,-0.118766129883615,-0.132436610198995,-0.133637543075337,-0.594092136634355,-0.750344454821532,-0.70339211035041,-0.817803320426323,-1.0347688428276,-1.07057306826575,-0.533090348127219,-1.12766608052119,-0.705378469300827,-0.703647289766387,-0.89698288292744,-0.960153965808156,-1.12181131332373,-0.253898023716193,-0.87542015025435,-0.689572196120618,-0.718267245488612,-0.675751602112279,-0.737986597540235,-0.696932092847924,-1.09907786533367,-0.327294627986741,-0.868327767800088,-0.598391999235306,-0.398411656246962,-0.392914872614541,-0.741356006265222,-1.17727541436224,0.189970766181003,-0.842904637026064,-0.562109464825234,-0.824481981109081,-0.556835714177569,-1.13191522567604,-1.14379444031256,0.0689797236390823,-0.94226331171712,-0.839123552372795,-0.83163659698768,-0.637777351959524,-0.595064056903547,-0.887227296734172,-0.913603134785814,-0.869934492283102,0.809611022158086,-0.881763624212396,-0.917422438753754,-0.794116148341495,-0.864382095975171,-0.822652795695182,-0.639480256775013,-0.547907262757649,-0.213760566501869,0.27079730211698,0.647483311934775,-0.873665787965201,-0.514910577542585,-0.513980620610059,-0.694686387657475,-0.67570418713665,-0.791807983592376,-0.64608571263425,-0.887410733611214,-0.770885551183847,-0.821818423914278,-0.496441824889763,-0.971835992964729,-1.15177223744595,-0.245580859969784,-0.502092110644861,-0.95572980843473,-0.599684221532959,-0.371664560809521,-0.486794644221002,-0.160894016573199,-0.262187294474166,-1.09634291993056,-0.728515222769324,-1.23941772695619,-0.38217623446307,-0.644157378604777,-0.0693611525023414,-0.435347465630976,-0.52114313854935,-0.309735186136995,-0.472100477625823,-0.934179055712699,-0.616991019925925,-0.798991432786888,-0.792465289141501,-0.634598943118591,-0.644203122111439,-0.382041175372643,-0.248606221812375,-0.671304489830816,-0.365470237306159,-1.04008188303364,-1.20617544961349,-0.0416351978974497,0.896769224503567,0.796850779411462,0.498081708572748,0.150845111819335,0.147003299985805,-0.661652727313895,-0.276665768824094,-0.963779426457693,-0.793404994645409,-0.854364390292951,-0.637178390335252,-0.905342191981179,-0.46887598286258,-0.454053223754477,-0.452850527286388,-0.45522849647787,-0.42654844239604,-0.862126038542287,-0.983396890223719,-0.820973368821251,-0.787714160319041,-0.809020164396309,-0.756832095163559,-0.75994703737155,-0.825057153073046,-0.756598918594789,-0.532591392718362,-0.866627976624174,-1.05861928282291
"Listeria_Bs_1 (GE) - TPM",-0.132953731004391,-0.551438214683925,-0.526454271266745,-0.622620847583379,-0.694080188910062,-0.821648547141724,-0.739196961055573,-0.712846442886832,-0.392546781903529,-0.486940823254991,-0.529647056693824,-0.574511626150039,-0.547567946880678,-0.582291473537109,-0.498583999935104,-0.55527998056711,-0.701731932356515,-0.349593067770663,-0.260109338835992,-0.860628026202497,-0.521459441798584,-0.578340988762376,-0.540222862074596,-0.821346766055159,-0.908128600322123,-0.386073684553545,0.36371798391391,1.24393855722865,1.35427732582426,-0.0917434971177245,-0.798344376422684,-0.356253708250464,-0.25878626816824,-0.529362265143083,0.0264025952753781,-0.613076586735496,0.494425153901775,-0.336577356751148,-0.940301099461808,-0.594584293221645,-0.944177730901283,-0.570741264806501,-0.197289046368145,-0.215718710609832,0.155928407850854,0.146357483124744,0.402542449569674,1.22203281527069,-0.404067675413976,0.0786254518842554,-0.0294094222999985,-0.530042643512099,0.56156680217857,0.700720184850044,0.919600694415093,-0.404921074909355,-0.430042158256765,-0.359891002633762,-0.497677949283535,-0.401744716898086,-0.524866536852479,-0.327294627986741,-0.505279201654127,-0.587971110312704,0.44837273590377,-0.203825181542858,-0.486109364736547,-0.633085374528035,0.690847792853942,-0.639635724307328,-0.572279368345677,1.21620109438439,-0.308288943834277,-0.929958476925921,-0.467526457360411,-0.165164642999381,-0.0924917738059296,0.298272905792224,-0.434050852636067,-0.0854485131029156,-0.423437414850071,0.098893557831009,0.246700664283445,0.596230743617446,0.609283641172523,-0.130960910131433,-1.10251323333754,-0.984569929887033,-0.96275534322312,-0.510105919606342,-0.507767270669693,-0.440500657884459,-0.173385202025279,-0.741335755949906,-0.457326270187616,-0.826230552379547,-0.413402267929861,-0.460176679728508,-0.210043157857458,-0.0642645678823693,-0.189904511599952,-0.296471665618111,-0.577493146409277,-0.263616366339887,-0.303073219795357,-0.858514877426885,-0.180356940882948,0.794741289943735,-1.05532352592121,-0.269507284764096,-0.2692458523554,-0.156057285404849,-0.930425976378114,-0.974100351019804,-0.83565965314244,-0.748164335897473,-0.59328143449021,-0.665405408910491,-0.47200612068734,-0.00198475569284267,-0.378922271870944,-0.459752941659627,-0.386395639249717,0.129714901462359,-0.434963059267123,-0.13421915161783,-0.291315330422731,-0.443759374379468,0.176228599875345,-0.415841134629215,-0.706960416698356,-0.467603153262738,-0.593818755397478,-0.302807903223531,-0.469858511954197,-0.412553926435621,-0.951001443361632,-0.646534297145412,-0.748656493091397,-0.720619880139805,-0.591831129787798,-0.642198700723643,-0.789125876487955,0.319509895484061,0.0960337183072316,-0.700833283267407,-0.527364098807646,-0.403113322981377,-0.511776913612311,-0.633474708207678,-0.291015412550435,-0.451058772265367,-0.385261638342915,-0.451167477641787,-0.469537776253111,-0.404401933110706,-0.281452966736968,-0.212824688398329,-0.563252195624387,-0.578144342746368,-0.625172482821166,-0.61779210310015,-0.634361713844534,-0.648406879548257,-0.16809927651126,-0.411077840872782,-0.0906733713321711,-0.626551212292342
"Listeria_Bs_2 (GE) - TPM",-0.13947018181796,-0.557272500398811,-0.510238299745791,-0.621370967893246,-0.665085994726367,-0.749678969671776,-0.706795705197598,-0.673879592217471,-0.396813772131595,-0.556274902594552,-0.51580726795684,-0.531819774963006,-0.509301278924393,-0.626694586251154,-0.391782705099175,0.062680697396874,-0.742984317693531,-0.278110900416333,-0.404423557161598,-0.743988261489571,-0.321826298081928,-1.18228465358564,-0.701185024068947,-0.760459206193334,-0.939522906348377,0.122337563083907,0.956852117294978,1.32479721034171,0.848279122773601,1.71510798547164,-0.165616551699251,-0.822019254680177,-0.390390451477127,-0.538400562493655,-0.11736198107869,-0.132613470251087,0.287389857155773,-0.284786429099926,0.0884998322586433,-0.825292846721509,-0.723558907434038,-0.392807378440818,-0.333684635238886,-0.155025299739543,0.589749576576431,-0.260143246631817,0.338434255212337,1.179011091974,-0.340266638026607,-0.745488773060573,0.310348900077034,0.0568015740478902,0.945243448807372,0.4507650333413,0.982887590889887,-0.561477660502153,-0.46874061190231,-0.539711115233984,-0.499083745049401,-0.514172046956444,-0.34365069147959,-0.327294627986741,-0.660309190012133,-0.612906549791234,-0.562776072689878,-0.564571031813947,-0.210788366405308,-0.614390970852935,0.46740410422143,-0.167417724307502,0.392656554399892,-0.0229761990326314,-0.460250110870016,-0.732818328400586,-0.281183326017216,0.0603604478391179,-0.166912711028134,0.13153491504562,-0.638997406684754,0.225993061145172,-0.155662895916125,-0.0186091026988561,0.261497501281384,0.493590301332729,0.478292726856379,0.53221807089751,-1.07306900376259,-0.838415051324404,-0.613728394602176,-0.692573480791723,-0.47515581444532,-0.572424920466824,-0.155722228230813,-0.723996618811678,-0.52758417473198,-0.989113217397541,-0.375013404535975,-0.464303030424473,-0.137406574654234,-0.23855980544491,-0.126141386489907,-0.0739257485375692,-0.670988584930778,-0.373205456441635,-0.412336067233129,-0.275994798086696,-0.529266568642603,1.25353777514564,-1.3294286794823,0.649219120514517,-0.268145366351494,-0.170198583747332,-0.868545950211709,-0.898679109490301,-1.15168723972254,-0.514050045027297,-0.796873886851731,0.0885897330781404,-0.302272260479347,-0.11648933013918,-0.451928396701112,-0.644195940694703,-0.434875143346913,-0.52114313854935,-0.558193553616428,-0.204286074016726,0.064399171532599,0.53979554718119,1.66602767792575,-0.31348836783829,-0.0771044737797573,-0.447522497361009,0.320900868905877,-0.607827774981173,-0.380659232659293,-0.250270853216603,-0.911193089559352,-0.844453282259981,-0.688041014885964,-0.398723937082561,-0.565542498743096,-0.398849029872102,-0.705329619154018,-0.642899310026499,-1.21566377683663,-0.749433304099607,-0.181745891268389,-0.501473823217059,-0.405780490936763,-0.596979883030577,-0.0986397265611205,-0.438149640382481,-0.442536324718657,-0.454190770474274,-0.466772888935143,-0.42125964475632,-0.345757664738104,-0.158295087499573,-0.594394588884134,-0.569943417483613,-0.662926762327441,-0.639428122833487,-0.659022662751402,-0.685405133420809,-0.187755072833772,-0.0964806244933122,-0.103041915459034,0.586200404887197
"Listeria_Bs_3 (GE) - TPM",0.0374164840741383,-0.620805991184533,-0.657480498850038,-0.642101157346938,-0.728132551130815,-0.635116784988283,-0.640538480867835,-0.584033176455422,-0.42597997504166,-0.506690719215013,-0.578771423484709,-0.579305218831072,-0.572920041500997,-0.577150110310142,-0.443052672860126,-0.725020915710246,0.390102552451527,-0.76537839672335,-0.620791632518256,-0.789369719505812,-0.764339101103253,-1.18228465358564,-0.569116670628815,-0.816143432839444,-0.885361728868702,-1.20059000039256,0.27369351755134,0.510111313907144,0.389482993202662,0.225646382938291,-0.745107156577891,-0.396983106712125,-0.403467665682911,-0.546171750579444,-0.159226358372176,-0.5924083782156,0.397397946923405,-0.719655520203845,-0.955167030167888,-0.482430422839268,-0.848140231431561,-0.675667468444195,-0.354891001928423,-0.772784703974107,0.215033655552651,-0.954714288293374,0.520785195631348,-0.122861131539463,-0.720970989029672,-0.611392037834,0.0524480821050433,0.213926527998782,0.883868396286341,-0.256449651350613,0.147110197919354,-0.524580926088536,-0.405442654129928,-0.519481999540956,-0.443059131997305,-0.357531911948273,-0.544159029945379,-0.327294627986741,-0.643293194337123,-0.287875292164847,-0.808177298248909,-0.325316482922038,-0.778822650372375,-0.585264183320397,-0.420970423950445,0.659890920325274,-0.00820579898373386,1.23062142585264,-1.14329251764066,-1.26691819009575,-1.41602873177089,-0.411088655606984,-0.359908578833932,-0.070995696497907,-0.437491737401357,-0.900179564613351,-0.567445998463058,-0.246963142361096,0.117705296622973,-0.0154960961826258,0.533361578974066,0.8668099982781,-0.914714081831114,-0.892997900093641,-0.817864290908166,-0.792254111169908,-0.558533762711628,-0.539891276878117,-0.194760706885175,-0.618523092662799,-0.771933782768087,-1.16437667923943,-0.432347248494184,-0.434731343329035,-0.272196094857099,-0.0820312650800651,-0.17437022700052,-0.624276542668432,-0.687403601009826,-0.569506092050505,-0.295423484356816,-0.670775800725036,-0.356536967578894,1.21885561686324,-0.784981393777976,0.265845504691047,0.712691564652364,-0.15320418400007,-0.871972113905577,-0.854921270735232,-0.388242426730295,-0.644863500710643,-0.844244589245736,0.298325954336531,-0.647640876822364,-0.307385062615652,-0.584622124257047,-0.294966458967144,-0.46815346627776,1.53277792302803,-0.404388240267185,-0.566874502047742,0.788822921211114,0.29578716288408,-0.0962786923412586,-0.308495533662199,-0.100346388622318,-0.668997705837757,0.0365856722387173,-0.670510379700027,-0.448337943890969,-0.59048928510948,-0.280117778911759,-0.862394137955475,-0.672075351403194,-0.479232095351893,-0.492812672870598,-0.528740810115249,-0.767427686246935,-0.0784861361130393,-1.62812047198797,-0.703543255605725,-0.499939048243881,-0.469812258098272,-0.449462187027048,-0.625724675175365,-0.365365390740614,-0.43862353948372,-0.370319864097154,-0.453075095615592,-0.479222931965801,-0.453481469026396,-0.257003806192099,-0.30680841301749,-0.654083992029432,-0.690978256160757,-0.625723210608057,-0.649015365971488,-0.675906288080438,-0.739297370577536,-0.311817607520038,-0.326524199774083,-0.267081840048168,-0.869990386757681
"Listeria_Ctrl_1 (GE) - TPM",-0.321675920896144,-0.0723642051762513,-0.0261533149578128,0.324004445798863,-0.0265831348925341,0.348827183743201,0.0652082662579029,0.0216861611832851,-0.0786272814026612,-0.0261724117901643,-0.171110548823407,-0.0669063522850931,-0.0475441160169051,-0.230844250251723,-0.366987464264955,-0.605178894327041,0.143465531807901,-0.76537839672335,-0.378260988370163,0.263322040566224,0.0689769273303459,-0.195062731058954,-0.688524911058231,0.329817773057656,-0.0437853721494635,-0.893093623177653,-0.668184096997329,-0.225370253175962,-0.156992199504685,-0.332228653894343,0.120125154338309,1.10060306403236,0.0192015761464787,-0.0998318683102015,-0.934511444159932,-0.811002129806035,-0.384981892857495,-0.500906146838385,0.0981440048381448,-0.148838178856874,0.442225423075641,0.388470069936709,-0.525596838839314,0.363108340511273,-0.876931819774026,0.127016207008996,0.391752098294426,0.568563177991088,0.505270330751984,0.627321027900059,0.325582184660973,-0.414840012696067,-0.60487275353874,0.164141642213568,-0.251892014207498,-0.239345093688081,-0.4690546677229,-0.381552795872712,-0.4020364599092,-0.28591856057082,0.0896329159347268,-0.327294627986741,0.878667439697116,-0.0697438159044129,-0.460258861131983,-0.000565016805725079,0.116229004960942,0.382327562518925,-0.18292190177379,0.859356406000391,-0.0735463929213371,0.492390416803435,0.0718958801168862,0.120286559930958,-0.420200907054437,-0.382585739329673,-0.514589093064036,-0.567126857654702,-0.053094936845037,0.31156957606525,-0.469211122281031,-0.33273769870752,-0.218013538912809,-0.193140214181425,-0.642095848837122,-0.957965041916372,-0.4679383121874,-0.675107795293851,-0.666166777419018,0.229334365972676,-0.497508053653897,-0.43653636989579,0.028962484077636,-0.568657413935014,-0.261965857578069,0.207756009591495,-0.528547391881383,-0.506717327574769,-0.556002684230857,-0.585503066620263,-0.645200103707316,-0.110836678596918,-0.0833413495071571,-0.183939210185193,0.50628382751257,-0.0476926249611736,-0.0092395975462744,-0.694847545827754,0.873621458571164,-0.540860716419908,-0.237938800734147,-0.497713713264882,0.0432474922497311,0.12922792586046,0.276213812377387,-0.101012442227784,0.635186195779898,-0.604253811202629,0.0526332484645287,-0.412287593956384,-0.377460290145736,0.159791506801523,-0.608047201771772,-0.52114313854935,-0.420840190942981,-0.677463895667354,-0.539716428524105,-0.620885755570888,-0.895555834244409,-0.47462252331102,-0.365760420973823,-0.328475107113661,-0.193152810566187,-0.346503777444597,-0.32530914203404,-0.545512228229404,0.980489666299508,0.857755012164964,-0.84508639394873,-0.583823917841526,-0.865981044624265,-0.865262906877833,-0.747540595829493,0.0707853751290486,-0.317133943198594,-0.275981236347836,-0.553750950515678,-0.243735595867341,-0.239983794290462,-0.566288172262442,-0.548902252932714,-0.414898706887533,-0.418355286191576,-0.428914231571849,-0.431749165194878,-0.412523157205222,-0.707292471424238,-0.366840255193425,-0.203125851779573,-0.121485268350004,-0.0770725832683304,-0.0752687211895151,0.246398823118582,0.400134637631533,-0.0765225233133433,0.056378099590601,-0.489626531571453,0.0669218785078766
"Listeria_Ctrl_2 (GE) - TPM",-0.545179250976902,-0.243795240285157,-0.171553204622656,0.093070037762619,-0.126584021241361,-0.188089021346209,0.00656445876831132,0.0300267257219358,-0.157878560937891,-0.0327165371403557,-0.141501503994432,-0.0828520591528669,-0.187373250352775,-0.236666688441861,-0.666861485075995,-0.621943404671382,-0.0254654656339662,-0.76537839672335,-0.358360410752472,0.111004475781444,-0.318526418557053,-0.114305328138347,-0.315370566099266,1.21857675774261,-0.22311900167781,-0.493140201862635,-0.705293064513739,-0.493943217635925,0.456712673752135,-0.892753951209048,-0.00185008680543473,0.0808489252753472,-0.0584116525255268,-0.111025233008363,-0.913682537906173,-0.914997046609899,-0.370744790489018,-0.78912473467229,-0.561500742746752,0.0916487769289276,0.213951367525226,0.38006596192193,-0.582239766051659,0.178032213870795,-0.750674864171454,0.00631704567956742,0.358284794677748,0.746753352639227,0.424860397044129,0.425123546531967,-0.370018096456119,-0.546923950578235,-0.352541120731066,-0.697503737993257,-0.0969518366697279,0.382953279276316,-0.420406843625362,-0.257948984605138,-0.355786724471198,-0.251948147119237,-0.224573814419728,-0.327294627986741,0.123615269086548,0.0178751023159878,-0.558307357003849,-0.0347328045890853,0.753496219499726,0.268749364171098,0.0682369863763314,-0.161396088314037,-0.422643864549618,0.36440994703656,-0.137621026623212,-0.137727536876471,-0.364583751941459,-0.670091751976749,-0.618580675974285,-0.600840536550084,-0.218286088686118,0.00564058192811472,-0.612714478674429,-0.473637410105809,-0.397306750456106,-0.420342938035131,-0.788774949888271,-0.932236427266689,-0.784280071480081,-1.03030915435153,-0.684510885564718,0.241073534002236,-0.544969217114982,-0.438678600217068,-0.021806855837094,-0.665472117930614,-0.162286893957729,0.346712000748157,-0.496301428405616,-0.49956791669424,-0.453645330518995,-0.548348247008466,-0.6199755994748,-0.174598329213591,-0.158019022283989,-0.0926791662840667,0.241705884363221,-0.037505940840627,-0.166213981931137,-0.287439323676531,0.97716260611195,-0.890345189378808,-0.467065303799951,-0.574914345170244,0.0361907933034558,0.13810322104134,0.543376892687552,-0.00736633263071599,0.400008464773486,-0.273507873531993,-0.0287905211528617,-0.558130175897728,-0.0220282277625651,-0.644195940694703,-0.608047201771772,-0.52114313854935,-0.808014682583057,-0.660076838120571,-0.262675872724367,-0.901149760970343,-0.942674151224838,-0.387778600644047,-0.836570959141741,0.0152393870623581,-1.1586042110847,-0.966688930976746,-0.258623241918789,-0.197904432693615,0.939161994780943,0.803486671060543,-0.507445374252991,-0.685257116309763,-1.05701505650999,-1.07477332450466,-0.686311281013178,0.163873022629831,-0.933070242363383,-0.360680425180345,-0.957761176468986,-0.356124956512997,-0.321397328704293,-0.623284517890531,-0.659472370977155,-0.393827185067963,-0.407711474149299,-0.425831643004182,-0.440846654776032,-0.38440061442684,-0.729170737078049,-0.101285308907533,-0.233905693251764,-0.0854225417048271,-0.138279046008435,-0.0175564902104597,-0.0591606255392224,0.404404866442844,-0.292264770754158,-0.0485092754733892,-0.478435610675058,0.164827547571437
