"","YPK_0191","YPK_0208","YPK_0250","YPK_0439","YPK_0701","YPK_0720","YPK_0893","YPK_1051","YPK_1738","YPK_1911","YPK_1932","YPK_2191","YPK_2250","YPK_RS13450","YPK_2962","YPK_3074","YPK_3789"
"YPSTB_As_1..GE....TPM",-0.272800932488925,-0.558614301434006,-0.166666666666667,-0.240455407118618,-0.22479991330875,0.199500044419696,-1.0761062102572,-0.225045738927331,-0.302626282243173,0.613949675154042,-0.21736767370098,-0.602658119932558,-0.201539875436785,-0.302537779414907,-0.182092574587505,-0.166666666666667,-0.30026497350274
"YPSTB_As_2..GE....TPM",2.26887785787403,0.314065283891952,-0.166666666666667,-0.240455407118618,-0.22479991330875,-0.791252875837146,-0.490247160795227,0.50716851116969,-0.302626282243173,2.91182272325936,-0.21736767370098,-1.15620116389607,0.286565832059422,0.717955473588378,-0.0993989728346322,-0.166666666666667,-0.0647664441717895
"YPSTB_As_3..GE....TPM",-0.272800932488925,-0.133183293752702,-0.166666666666667,-0.240455407118618,-0.22479991330875,0.715863871834253,-0.234224945653453,0.263616131371246,-0.302626282243173,0.386531761626685,-0.21736767370098,0.0545555239367554,-0.201539875436785,0.0379883306651033,-0.148404781928398,-0.166666666666667,-0.16939056264913
"YPSTB_Bs_1..GE....TPM",-0.272800932488925,0.0485091485593836,-0.166666666666667,-0.240455407118618,-0.22479991330875,-0.41369652131425,0.279351505517932,-0.225045738927331,1.07942193622696,-0.335966610778401,-0.21736767370098,0.00724371024246076,-0.201539875436785,-0.302537779414907,-0.246729710418413,-0.166666666666667,-0.0622947683737307
"YPSTB_Bs_2..GE....TPM",-0.272800932488925,-0.364294618155614,-0.166666666666667,-0.240455407118618,-0.22479991330875,-0.791252875837146,-1.12874044645542,-0.225045738927331,-0.302626282243173,-0.335966610778401,-0.21736767370098,-0.572758608292713,-0.201539875436785,-0.302537779414907,-0.246729710418413,-0.166666666666667,0.221748065810972
"YPSTB_Bs_3..GE....TPM",-0.272800932488925,-0.285618889621533,-0.166666666666667,-0.240455407118618,-0.22479991330875,-0.791252875837146,-0.690111123159581,-0.225045738927331,1.60556637617856,-0.335966610778401,-0.21736767370098,-0.671544220563504,-0.201539875436785,-0.302537779414907,-0.246729710418413,-0.166666666666667,-0.854908298731336
"YPSTB_Ctrl_1..GE....TPM",-0.272800932488925,-0.788028662234957,-0.166666666666667,-0.240455407118618,-0.22479991330875,-0.791252875837146,-0.887218816436729,-0.225045738927331,-0.302626282243173,-0.335966610778401,-0.21736767370098,-1.05453968552251,-0.201539875436785,-0.302537779414907,-0.113867831556088,-0.166666666666667,-0.854908298731336
"YPSTB_Ctrl_2..GE....TPM",-0.272800932488925,-1.03053985598518,-0.166666666666667,-0.240455407118618,-0.22479991330875,-0.368318292974284,-0.7967056342716,-0.225045738927331,-0.302626282243173,-0.335966610778401,-0.21736767370098,-0.886138095383143,-0.201539875436785,0.270822986633184,-0.246729710418413,-0.166666666666667,-0.854908298731336
"YPSTB_Ctrl_3..GE....TPM",-0.272800932488925,-0.345389038146159,-0.166666666666667,1.54327332386519,-0.22479991330875,0.647141733560012,-0.34572595079763,-0.225045738927331,-0.302626282243173,-0.335966610778401,-0.21736767370098,-0.289486732865537,-0.201539875436785,-0.302537779414907,-0.246729710418413,-0.166666666666667,-0.452287245217856
"YPSTB_Li_1..GE....TPM",-0.272800932488925,-1.03053985598518,-0.166666666666667,-0.240455407118618,-0.22479991330875,0.299469162503266,-0.146870432842415,-0.225045738927331,-0.302626282243173,-0.335966610778401,-0.21736767370098,0.389082179680818,-0.201539875436785,-0.302537779414907,-0.13999096596431,-0.166666666666667,0.747937804777332
