"","PA0015","PA0032","PA0121","PA0129","PA0137","PA0159","PA0166","PA0183","PA0185","PA0205","PA0214","PA0221","PA0224","PA0322","PA0324","PA0325","PA0328","PA0347","PA0348","PA0353","PA0364","PA0367a","PA0387","PA0425","PA0444","PA0467","PA0498","PA0589","PA0590","PA0591","PA0596","PA0645","PA0648","PA0682","PA0685","PA0686","PA0696","PA0722","PA0723","PA0812","PA0815","PA0816","PA0826","PA0862","PA0871","PA0942","PA1022","PA1023","PA1024","PA1070","PA1094","PA1148","PA1151","PA1209","PA1256","PA1328","PA1388","PA1402","PA1423","PA1501","PA1509","PA1513","PA1514","PA1515","PA1525","PA1544","PA1576","PA1622","PA1628","PA1633","PA1642","PA1643","PA1779","PA1843","PA1864","PA1895","PA1897","PA1916","PA1938","PA1949","PA2017","PA2094","PA2095","PA2197","PA2282","PA2450","PA2457","PA2481","PA2529","PA2578","PA2623","PA2650","PA2678","PA2845","PA2848","PA2881","PA2942","PA3005","PA3059","PA3123","PA3124","PA3168","PA3224","PA3240","PA3247","PA3303","PA3482","PA3514","PA3541","PA3547","PA3563","PA3588","PA3662","PA3663","PA3695","PA3775","PA3919","PA3970","PA3994","PA4008","PA4009","PA4026","PA4027a","PA4039","PA4070","PA4087","PA4100","PA4115","PA4124","PA4145","PA4189","PA4232","PA4279","PA4295","PA4336","PA4342","PA4343","PA4355","PA4367","PA4368","PA4407","PA4463","PA4464","PA4535","PA4536","PA4549","PA4556","PA4575","PA4598","PA4612","PA4634","PA4791","PA4794","PA4803","PA4805","PA4814","PA4820","PA4833","PA4834","PA4836","PA4843","PA4862","PA4899","PA4936","PA4937","PA5018","PA5112","PA5132","PA5166","PA5218","PA5288","PA5305","PA5346","PA5381","PA5398","PA5399","PA5400","PA5468","PA5501","PA5551"
"PSEUDO_As_1 (GE) - TPM",-0.492953808927744,-0.208082770967985,-0.954923942544055,-0.726987680153533,-0.966287627568345,0.631857490658681,-0.882502224249628,-1.00651546809685,-1.08346956975036,0.0770176708193937,-0.744315919703159,-0.185841913323603,0.161604095558239,-0.0633861859039937,-0.668765123585599,-0.915054066289508,-0.767693079240789,0.364178864993228,-0.660292090853524,0.543641467070642,0.40830812310428,-0.0915779301156773,0.240816927801785,0.0692036160692565,-0.867143653952509,-0.324410754560539,-0.251816709350488,-0.433939983708694,-0.485491844914489,0.593710870862684,-0.0653247832707538,-0.146200524674404,-0.612399144682898,-0.697861475043905,-0.272096574632762,-0.714987589074262,-0.114466439626593,-0.401018270442149,-1.1380898929817,-0.876808966461362,-0.379876005155969,-0.274747683893519,-1.0477298714918,-0.605290295544207,-0.645639868086612,-0.960281975772407,-0.637714099822007,-1.0885798989068,-0.430557188431885,0.282443545548957,-0.382959031147697,-0.798971974405032,-0.578768266018775,-0.942680498792187,0.224708322612496,-0.222521518239905,-1.66583401398579,-0.330530229527543,-0.871536881555021,-0.701071874585298,-0.243643820121822,-0.768449323794429,-1.05904800902067,-0.988640517888784,-0.698122093652373,0.525645556619045,-0.273061366692537,-0.970708282183775,-0.70951668631589,-0.350994423864976,0.391074156189132,1.26444149757705,-0.903397907675054,0.760475081810177,-0.423094123741299,-0.73995183965442,-0.35399976813702,-0.59041139818019,-0.310745556816693,-1.60662519781382,-1.01430738068345,-0.959974949405246,-1.09351114701971,-1.10289858395171,-0.589865118186703,-0.158447816089698,-0.206797706507278,-0.820569759442577,0.874614064544787,-0.82039161708924,-0.551805574451606,0.38408670512543,-0.917526355989075,-0.276815135503597,-0.670490071317502,0.645814031921882,0.189479396862509,-0.0363076503474257,-1.31413245796486,-1.17199235399275,-0.834312426686276,0.634409350556775,-0.773893241079363,-0.748215707832913,0.130047587821784,-1.5780378704393,0.648235985003186,-0.896398676193988,-0.966911863582835,-1.18595468881461,0.307883196215611,-1.04785995904391,0.675242680095109,-1.27222796615494,-0.284362921079706,-1.11758877640328,-0.617179182265685,-0.303147641782393,-1.37386839500084,-0.639862540433073,0.2320210505776,0.417184402747734,-0.847951658850888,-0.911228773378863,-0.794411449206967,-1.33974887537738,-0.44192405569721,-0.906441348076038,-1.16094389781119,-0.0843749546371303,-0.525172378779117,1.23379328030303,-0.108991111083929,-0.448740908054226,-0.364727111906182,-1.00993424420518,-1.0291705556449,-0.0385223644141203,-0.741450611200767,-0.815356913729775,-0.43439640005455,-0.588978224260918,-0.242972016571086,-0.280437786984596,-0.784961112881009,-1.01275825574227,-0.194004459457966,-0.81097219987015,-0.443497194014691,-1.39780615685332,-0.970013952629823,-0.763655892893072,-0.839104542040097,-0.574385702103695,-0.832343149102188,-0.424483524254231,-0.585462917085051,-0.91958158796008,-1.15650909777065,-0.566248904959432,-0.840688618424574,0.948537405077147,-0.873652603113068,-1.06306500954431,-0.739106446643338,-0.681548290091158,-0.547567346787135,-0.584178966821206,-0.148677488715875,-1.19850165050642,-1.02857529213155,-0.274226312232536,-0.352836959171579,-0.326909862199894,-0.962304743112154,-1.32962340727402,-1.59077556384461,-0.784671715320181,-0.260246959850357,-0.0166463020801701
"PSEUDO_As_2 (GE) - TPM",-0.289098467509529,-1.55783127550989,-0.881356009696217,-0.692915772436258,-1.31981500450515,-0.701777916143346,-1.08830209521582,-0.68740956426822,-1.03966337358487,-0.557641265196057,-1.0320753094888,-0.318581369148421,-0.691310618672594,-0.807516697795475,-0.601345425058891,-0.442158850334792,-0.540475089942045,0.981489883707854,-0.57031144150074,0.551918497907864,0.216702398461752,-0.254737323781376,0.510544864189207,0.404821847115215,-0.343295809713299,-1.29475093031145,-0.443962744170265,-0.154246879116815,-0.699068984804807,-0.575911999435536,-0.091265788735458,-0.619910582850824,-1.14799430943703,-1.00164405687871,-1.81463908701098,-2.51638496443937,-0.00913659813998534,-0.618847082917589,-0.596042979515571,0.426025340713648,-0.768112885540442,-0.661985238119032,-0.98790763595221,-0.549675358419019,-0.667621128432897,-0.844217658206555,-0.251960452889767,-0.510466417077228,-0.0594110302799655,-0.280464405399759,-0.287106723990729,-0.0045043148293912,-0.583415465175065,-0.480478266009673,-0.574530446538987,-0.764518919938219,-1.48535070372326,-0.972581062891199,-0.985848586427988,-0.410706998524661,-0.41401238013226,-0.724497023992927,-1.11142455110024,-0.948259056759426,-1.14765771704248,0.215585134398851,0.0836670057814304,-0.111672539500538,0.34815037617923,-0.598186632493021,0.520751040669699,1.28433594389487,-1.19725642231608,0.905239853624825,-0.439209776253938,-0.855032137013184,-0.748685298819227,-0.383444603477058,1.92613743318857,-0.659280633157528,-0.928795726615504,-1.12793862576876,-1.31936942349129,-0.559329324489574,-0.751217160414942,-0.0564590734356039,-0.458827695136994,-0.723666388463208,1.24046646416967,-0.874696037670332,0.0942721232237347,1.09638144745507,-0.958523810100269,-0.702541769744391,-0.449880039977271,0.221102782757397,0.69939962591198,0.960744159847683,-0.307935610915794,-0.987010341644214,-0.785961024074888,0.89814679675613,-0.915339136764429,-0.627620770654372,-0.0840577164054319,-0.522192988152318,0.331777665272062,-1.29364566833884,-1.16113380334929,-0.107656137418378,-0.684993568900594,-1.24093095796218,0.0759233107688034,-1.52715308857723,-0.132499711552883,-0.14490981036605,-0.650336782890305,-0.367856122729662,-0.760714616715874,-0.706013040492615,-0.471436273913024,-0.444879626596897,-1.03010606418982,-1.01310110640643,-0.438439452765699,1.92885060348744,-1.19094090820464,-0.595470979809972,-0.144664998217753,-0.530959311501706,-1.99078868388282,1.13029281252858,0.160236144776875,-0.612416395072454,-0.577882116942918,-1.4261483727429,-0.927401154968922,0.331342303759155,-0.895937735210412,-0.458110373572852,-0.243269188792822,-0.584510321260764,-0.449281458844114,-0.457659973818827,-0.708071194352652,-1.16285934090242,-0.884646916658678,-0.945865878028187,-0.882531736937653,-1.17376745771401,-0.848084867065765,-0.970622008029084,-1.0137842648793,-1.11331022069483,-0.857619850880143,-0.046272363234079,-0.870853913522695,-0.452302193200463,-0.481391731964664,0.281336977311713,-1.04163928724868,-0.652949962609094,-0.717176438410503,-0.487132356963139,-0.797577324697016,-0.773577939213911,-0.377118873106812,-1.41609065900935,-0.239746365719329,-0.955985405466149,-0.899336035183515,-0.0332847152662702,-0.728927481518749,-0.1889999720439,-1.94259087149149,-0.663313765017177,0.340573134984757,-0.968123693086324,-0.0604927992909913,-0.808760812216749
"PSEUDO_As_3 (GE) - TPM",-0.313276401867419,-0.521755911704056,-0.90040913492019,-0.533477309446574,-1.14067883402443,-0.886490525274894,-1.11525280003393,-0.92616938113439,-0.672731676589652,0.0389521929989588,-0.819851341782018,-0.760241974049643,-0.535296918456272,-1.02458440973892,-0.824641938963158,-0.977607161564411,0.36013979595739,0.937853470710522,-0.301896077320541,0.383934579895588,0.125528296658876,-0.0190349217551974,0.70295685336075,0.190721244652852,-1.04696082254351,-0.757428093397501,0.123180535153772,-0.818693697155375,-0.524530918896274,-0.508334306808971,0.24073613951613,-0.500545968510716,-1.10830548458483,-0.445600627815965,-0.493189339391715,0.0396043230089064,-0.774946461215987,-1.1675944149223,-0.955196400704153,-0.748729897777275,-0.523976569997129,-0.905522372934556,-1.00503444307384,-0.725025426192472,-0.610282645282529,-0.795083597586321,-0.934028813589035,-0.842993940152333,-0.559764955253424,0.29734907688456,-0.191371886635837,-1.61760907953767,-0.193950989074135,-0.958664141119623,-0.659855399425302,-0.510420471914961,-1.35106424712084,-0.15347462283979,-0.835987342602759,-0.694679232169816,-0.369795855825388,-0.777365219015031,-0.967587697364978,-0.825481596157691,-0.857249586598015,0.0708051781988706,-0.551338275259849,-0.800786910147645,0.0783370503068681,-0.342318690429152,0.497006008819178,1.69423296802254,-0.820113995149313,0.898873803293015,-0.352975483756457,-0.568442838905439,-0.579859466593135,-0.296271752506435,0.634755300851819,-1.23654099286693,-0.626755362724824,-0.57450720669525,-0.627040156418035,-0.296549193978605,-0.471101171209976,-0.504021397765673,-0.245577037642887,-0.777991000127522,0.932344195239119,-0.695048432365199,0.356575174810018,0.751293667481351,-1.0411312512543,-0.79104900721434,-0.219225666356826,0.73968249982604,-0.298906118000207,0.575457258299849,-0.905482274104432,-0.93048270975002,-0.688422624861979,0.957507161083663,-0.546255566669113,-0.680275895314096,0.623311057146058,-1.45673474687695,0.423365621469642,-1.51059852151778,-1.08592623244507,-0.442346536957804,-0.221000184770917,-0.966008643483861,0.418702755225824,-1.07326339864383,-0.196030333616434,-0.749521987953871,-0.605220230922472,-0.532744278150195,-1.02622277822545,-0.172096255695189,-0.567367467694744,-0.637944117987053,-0.782381859214575,-0.682530059478521,-0.926893465109246,-0.757347240785138,-1.40772189340044,-0.783164794905329,-0.554183819269531,-0.357120462524725,-1.43995616897904,1.04096304441132,0.929855145000292,-0.816066658863876,-0.631343134964089,-1.26426711285858,-1.03046631080635,-0.199372500760194,-0.490528926658031,-0.480827542819239,-0.34943592320505,-0.505723917918651,-0.268861845654437,-0.245390771647594,-0.700215616727167,-0.931964109632912,-0.232930040932699,-0.650958663608364,-1.02013597310315,-1.32136237982069,-0.844790903867478,-0.471282126644447,-0.784301087891163,-1.14887018648303,-1.01909731736335,-0.61123486174404,-0.223994049065056,-0.776726494884097,-0.642326568209981,-0.749569960530713,-0.791428867436158,-0.347551192081616,-0.750312840537664,-0.363786735585817,-0.83159165915352,-0.659793501714939,-0.121231966404227,-0.623060053095503,0.19701317666197,-1.04798636188064,-0.928501899833372,-0.0323402012848972,-0.492963294092994,-0.938996434339495,-1.40440303702572,-0.618106327934048,-1.22073068094147,-0.749735893923803,-0.458660148809269,-0.203098022847543
"PSEUDO_Bs_1 (GE) - TPM",0.374161528088786,0.581934295858507,0.203927041152788,-0.116623472077567,0.406182184938749,-0.100089343659071,0.212681987161044,0.189682667782121,0.244454039940809,-0.0206371533351102,-0.294359008036849,-0.0910346376182808,0.961823766508309,0.334269078342073,-0.235299420613952,-0.0661854514569608,0.206574609343776,-0.23284505588989,0.040030104246209,0.28794414708928,-0.508880002713297,0.301054730048453,-0.0928164267119317,0.864904050749758,-0.0144304398062597,0.214062450853211,0.314984074006319,0.133099113298993,0.367974653443622,0.20044737236655,-0.603018442019085,0.530453895338963,-0.191579160627039,-0.303884538978814,-0.333091429522466,0.551291140012828,0.682182317658896,-0.71020880938671,-1.02675958973213,0.102556867388452,0.143011386569419,0.458330382577005,0.324129635914999,0.5062124761778,-0.314484805550525,-0.274032644882104,0.14154054523904,-0.25597498937189,-0.434694329931994,-0.126358944098281,0.102551957427587,-0.210248776819607,-0.0649261496474644,0.0479056011964224,0.343888280930323,-0.241307176009681,0.45284077534498,-0.216254681477389,0.279305305318979,-0.179828294003241,0.375009353470575,-0.101827974841099,-0.179210018848266,-0.386908182138792,-1.33057223656932,-0.0635169649098016,1.37898450363949,0.320028943254668,-0.541692222022524,-0.339544948646632,1.05924525652589,0.361054284220224,-0.314301174322004,0.271688312878077,-0.49148464828148,-0.155888828392922,-0.174213459535279,-0.243453875131637,-0.0563015348550316,0.340507056662565,0.254414540446545,-0.184866792200886,0.0950860449248511,0.225763560736057,-0.25217241076112,0.346407450284527,0.890359591683484,-0.632432972397515,0.923233800890621,-0.311155454003638,-0.394226718507387,0.445385564989919,-0.435402877448147,-0.694214988712243,0.260484001675407,-0.198050402004887,-0.505678264251014,0.665049238422228,0.125384329946923,-0.281813883365433,-0.273040280767948,0.136210984878815,-0.380927615632555,-0.237186087639097,0.525358190044615,0.159491853846176,0.266922981273437,-0.0650100239021979,0.870686202813466,0.636594725006252,0.888771230806028,-0.169228285395183,-0.757854234753052,0.320038724903692,0.12546941381674,0.134399342170798,-0.10344267419803,0.179571309611557,-0.284912590222399,-0.324804650464888,0.109663788873521,0.614243944322674,-0.201374405378756,-0.0241172006429514,-0.163061078905187,-0.191761565603041,0.360790554641696,1.05828592803167,0.0995056887236099,0.14450279780926,-0.118179968357652,0.0891264419768409,0.217246353646182,0.311276109846245,-0.0202661972260428,0.0283555095471977,0.468262794235434,-0.865620147658073,0.299699043204843,-0.299056091544511,-0.428571417431522,-0.0457587665585718,-0.159598934591185,-0.432255287903817,-0.149387563835617,-0.098347139399011,-0.332154591046991,-0.338624605237094,0.542725347871321,-0.0494901062991451,-0.266759722727019,0.445872685933739,0.506845818217964,0.312400845063381,0.246024178190109,0.0645171221579907,0.886425588473184,-0.13840118787734,0.0160982409034008,0.831633177472144,0.410054487447155,-0.00901972776801355,-0.284955417102262,0.292642194994036,-0.00818507612298745,0.23014712560121,-0.47249115677645,-0.110722577940011,0.197802746106055,0.129536883347431,0.709482892064307,-0.537753624967249,-0.106007655277137,-0.182722966181866,0.443322245975959,-0.0666449733216573,-0.476807491844638,-0.227359413367684,-0.386075243560171,-0.265526300547688
"PSEUDO_Bs_2 (GE) - TPM",-0.445938663374136,0.0980922632532299,0.301118608519751,0.00842803865286682,0.358943904198629,-0.416669502092491,-0.638527096799883,0.175008782745172,-1.12539669248406,-0.704639365957808,-0.260948305007385,-1.16083021560785,-0.0151378019993829,-0.501214753007858,0.131273863533497,-0.0766578438116567,-0.21997602664931,-1.20422870628649,-0.531354214995688,-0.194861111926894,-0.567820585392644,-0.0110596174717252,-0.2823409807839,0.740463328778242,-0.241376372372443,0.158228970681525,0.118302336553518,0.215049463465699,-0.204748638546291,-0.000531005616914668,-0.714335722437716,-0.352819259927914,0.332039268140414,-1.03055524582515,-0.288999932067256,0.353747783009409,0.0972832302813598,-1.09188744836789,-0.458665506009256,0.0671557645368065,-0.244282755695128,-0.237677187745745,-0.0283654029182609,0.291972000647378,-0.384089116376283,-0.547896435760951,-0.262119387202243,-0.0946319794533611,-0.51429539851256,-0.492994570470698,-0.0477169957151232,-0.562346297460685,0.444302580684892,-0.392085891783198,0.129934240004603,-0.479692835808559,-0.168048188352948,0.22612993604096,-0.0287159053844677,-0.453508789431355,-0.00960450826930209,-0.364377042896882,-0.178648079772458,-0.616076207049455,-1.05091691989143,-0.231593851987211,0.586451018064035,-0.0797766039500368,-0.296221052926596,-0.473566421596305,0.586589121945972,0.472533066477636,-0.463132436876672,-0.191162799626695,-0.608205651646183,-0.439901758036396,0.149138197726773,-0.602466549023403,0.434116659193581,0.467875681997793,-0.178759530577773,-0.41476142584919,-0.219163129188123,-0.250344553804404,-0.668567882782098,0.338781461037449,0.604265062431718,-0.651131891699401,0.336968384501423,-0.169362247425836,-0.172146792222487,0.188146386047088,-0.458479322904189,-1.28046089454048,-0.294607513251231,-0.310426835783635,0.187093471692464,-0.0558825812821232,0.338644125603326,-0.560011304928452,-0.508546551478252,0.455508194555469,-0.235719216065233,-0.438363062741358,0.0337530185295166,0.42376266606489,0.252031659748151,-0.0179691250435914,0.0587174769434682,-0.32869974356339,1.15715315899033,-0.542050084961677,-1.09302998737023,-0.555389680267079,-0.00886222351394898,-0.309268855172457,-0.167612602880979,-0.207107560368643,-0.557563211916179,-0.246409854551222,0.00607550241236436,0.241855663111915,0.104050159264998,-0.291963223690683,-0.40261529457194,-1.09025615041054,0.298041306650874,0.660809713335639,0.126462474970688,-0.217911486225276,-0.116397064994535,0.441616122959906,0.394882711759503,0.252387662272511,-0.261730245717593,-0.248307548631423,0.0831411648370412,-1.40212755038561,0.349282473711107,-0.258041550739957,-0.36150167889335,-0.153128632826211,-0.245779402296942,-0.544094437286356,-0.277461421808596,-0.527059065026267,-0.495190077333767,-0.552436072224582,0.0297770996399592,-0.375296064461047,-0.187105560629753,-0.0955615271386911,0.601819563979571,0.212509485047559,-0.42160243317296,-0.736212479339857,-0.461936041858745,-0.227405681015068,-0.333513329765827,0.335933969414872,-0.0264404856179587,-0.362912609353219,-0.0807843962051967,0.655801122102744,-0.104962569638307,-0.287507044705459,-0.584917374308371,0.0202923616305298,-0.105363279567267,0.248165302013251,0.875962207387281,-0.538957873999208,-0.151369163897905,-0.416549212653746,-0.450247212269897,-0.254287334450826,-0.228581541305575,-0.441987106039715,0.0444286797728826,-0.424631591961656
"PSEUDO_Bs_3 (GE) - TPM",0.0762271082844751,0.191937608201464,0.173450099418066,-0.445065552626188,0.225161477157836,-0.420715631378543,-0.147720327603678,-0.16840744378494,-0.327485649766029,-0.640733806810472,-0.202744964573031,0.536392216916913,-0.321085469535667,0.0816074831289744,-0.30878183863811,-0.407776942060826,0.266715740487033,-0.485256369516889,-0.292700252773536,0.132936618149966,-0.848832806725349,-0.0651132258093142,-0.2810775283396,0.984507336401765,-0.168642708519091,0.156717366496496,-0.0449903602963718,0.181628308250094,-0.345116913144796,-0.270331800972517,-0.843314901669094,0.0700905739466062,0.0854344369413093,-0.15040512072766,-0.215718046773371,0.294756511328681,0.329423703644137,-0.134339034764999,-0.582161317177216,-0.0278425416448407,-0.0302270680236195,0.127628042205313,-0.0731344213416982,0.251032127522205,-0.42487907756643,-0.594582279942843,-0.243017895013623,-0.296553398651115,-0.491904533406037,-0.206627794987613,-0.1373052808553,0.364316946781097,0.227749033213509,0.0814679603333345,-0.163425829670098,-0.0298231317281813,0.919420691995684,-0.480619000447943,-0.123973928399363,-0.0925119411560132,-0.344350920636638,-0.231058441208523,-0.324092788583844,-0.502806611903851,-1.474809527783,-0.116225146789801,0.994423873430395,0.284310368528256,-0.892769295682794,-0.583227382351692,0.643556322759758,0.00153314745505086,-0.217567239168508,-0.31489432309135,-0.644639184623029,-0.29114834828424,-0.293439170909529,-0.644956164667896,0.721939368493906,0.495123417923487,-0.133730928386999,0.149093156817133,-0.148792741430013,-0.174451766934221,-0.144301235759539,0.425346064356283,0.138978290145515,-0.66815725796607,0.255215698773439,-0.0579472722727836,-0.391013319851046,-0.500785606252696,0.121730858778232,-0.205698420937468,-0.333559310678162,0.370427526823129,-0.440955752894622,0.330716452860907,-0.115931468858284,-0.573963585979689,-0.301267172445631,0.149155228162225,-0.414226417164508,-0.224137371844694,-0.402741483596882,1.23105607230684,0.424290901394805,0.134236849318556,-0.265393687922693,-0.741048317233859,-0.00479195545747242,-0.135941089577122,-0.903828435366068,-0.500748085710655,0.347674352613738,-0.0636858862351027,-0.151269860009632,-0.00568958839686826,-0.0202327234383286,-0.0117563023329422,-0.384128773550826,0.294608361221941,-0.183800042719003,0.00669571364761305,-0.338141426259684,0.282494685884265,0.39713959030626,0.444987282748925,-0.424908335097671,0.379575005191994,-0.0671696529312231,0.0431749554110009,-0.990026672890981,0.206854601801904,-0.10240669618188,-0.0759062632566673,-0.901092821556375,-1.24882745521014,-0.031492296439456,-0.326734346295872,-0.476751462518904,-0.251528158021668,-0.275212541891088,-0.322982013552749,-0.461616562320151,-0.271722832157399,0.0136640614606454,0.000577562022161267,-0.216453988413931,0.0717329408533638,-0.164850068049087,0.202351265707464,0.358999527373216,-0.0510251044942322,0.597026929567118,-0.386136397090827,-0.465791033584196,0.0164966781944778,0.101829184577508,0.193252727659179,-0.0919711256689535,-0.195809573867413,0.101537367939178,0.173918133223566,-0.128304651838154,-0.182092686726099,-0.558376434299118,-0.0579817412746917,0.226632525341465,-0.245742801999136,0.539327935721458,-0.498713495555873,-0.148420440754569,-0.143883814020598,-0.336433557337391,-0.482811301779307,0.329963652829647,-0.281817304669886,-0.120369834179738,-0.345514118761525
"PSEUDO_Ctrl_1 (GE) - TPM",-0.960163741490055,-0.57351416923086,0.218484833339162,-0.152592196686002,-0.0668361738948658,-0.171761072929704,-0.302895918981093,-0.136437013697873,-0.755275492425038,-0.526559136730057,-0.484955548459127,0.193429818222687,-0.0894490178866784,-0.419679857095833,-0.162216607458864,0.0497415130961432,-1.06420956203959,-0.685086588094156,-0.183697907799438,0.16365853485988,-0.386616066999534,-0.23639388696835,-0.36430958306231,-0.142730460214182,-0.243347191415046,0.0125943891446806,0.0920096946758792,-0.532410381167394,0.27369304335252,0.116871395880657,-0.813695335755149,-0.203661486548362,-0.197983529628381,-0.0724226837043778,-0.239399953409161,-1.07813548320183,-0.167663792638668,-0.205892051530732,-0.269476532418349,-0.593258035443033,-0.143432921361545,-0.176477054066002,0.391185677288373,0.39183736759313,-0.287410607733649,-0.615583204351123,-0.451754833329713,-0.304727505680457,-0.307967030189501,0.195108050645825,0.0749587381347478,0.0098787990719232,0.158368718319928,-0.146643803133199,0.257730400212699,-0.436557711460582,0.0720576157860679,-0.509883259986228,-0.0500632424816476,-0.269797527608158,0.0686256566044723,-0.279338529747866,-0.187071091249043,-0.449782801812937,0.0129403859615671,-0.366345780997643,1.12246044622429,0.529213020531752,-0.601701739416111,-0.730082768063357,0.467339791664858,-0.254791836672865,-0.568413991481352,-0.0325449052326792,-0.734818202296558,-0.0517299336926875,-0.145468137547704,-0.6632375993013,-0.577584988474531,0.621834095613717,-0.352586171485024,-0.480199913942341,-0.172350775319201,-0.710369047280597,-0.223430906059169,0.416944012443644,-0.0825084178832329,-0.585921762250046,0.262427377333789,-0.230108285796671,0.791271665663134,-0.381704107368333,-0.250841199458816,-0.454326420765791,-0.430434693378151,-0.140846419828553,-0.387265508039378,-0.461595896116719,-0.568292265409758,-0.326016844044262,-0.566194103305835,0.0340428807516225,-0.746420130392315,-0.342894730035972,-0.0638979337597038,-0.0712542223727557,-0.271487063422329,-0.23842619311536,-0.351992418291552,-0.698408682657512,0.219148911926114,-0.309224401351829,-0.310979219057974,-0.581027853238913,-0.170219519607216,-0.128892048685054,-0.134140932622466,0.179762179566966,-0.268431902687088,-0.500268945686873,0.255953488667933,-0.00595190447336161,-0.216244521946048,0.0230198312939783,-0.503219549614224,-0.254176942254224,0.079583482136534,0.363646500679734,-0.23347202008512,-0.100843240860612,-0.717773336253171,0.526545459161536,-0.403326322256007,-0.330273464863464,-0.137479089974352,0.440086344837199,-0.437704434981555,-1.01699433762262,0.0203483015599251,-0.394686044872476,-0.226532209366579,-0.0157782002626014,-0.121583950102486,-0.37500046415767,-0.309043378395554,-0.200048202550464,-0.0101807436615826,-0.722060218204653,-0.279338043881967,-0.21790425651213,-0.129630823568149,-0.465841740751527,0.480441966353629,-0.160954254356184,-0.303587629608292,0.107148600389255,-0.515997144692777,-0.370164372291073,-0.199476196168098,-0.707793021406716,-0.231749804871595,-0.600866330970277,-0.218323406653466,0.833971106691604,-0.156271965729585,-0.501742642323224,-0.377193678776677,-1.03791447185191,0.292773481746912,0.31921842563183,0.30278110450958,-0.252412906130323,-0.328181858531467,-0.143961123184208,-0.128305541597084,-0.083107859361008,-0.820773894574601,-0.21370748357003,-0.482488637020395,-0.193166478124331
"PSEUDO_Ctrl_2 (GE) - TPM",-0.552997830763963,0.308571569221272,0.184593280935012,-0.0308884253261834,0.653276759291807,-0.145240531490942,0.177897773798027,0.339253430406373,-0.0423743702953888,-0.247950594412555,-0.082261913043181,0.212538148134837,0.225374605709395,0.330463676394532,0.397294174606592,0.196139753910497,-0.361238176452758,-1.10477171645533,0.314792677809409,0.0275568313566248,-0.0657084682450868,-0.0567519431295524,-0.0494909735940187,-0.0551638277742497,0.863482031333957,-0.285620367035975,0.166442609979095,-0.61710597368705,0.754776656645889,0.406136299556736,-0.732818361941014,-0.162190953010292,0.317123614245554,-0.264483963651551,-0.354155163637152,-0.334268445635315,0.942069831024129,0.849514762270074,-0.688642509916571,-0.31116893026937,0.050566631932972,0.295731346264527,0.242240682244947,0.306653877359825,-0.41589837360971,-0.487901256702572,0.315741528166287,-0.145662241157218,-0.159906357733852,0.730986624221922,0.000701238671275377,0.292109056368411,-0.188084245211731,0.0712737132545185,0.682004018347139,-0.165192613693847,0.405410584965545,-0.50484373292344,-0.13797365632277,-0.189357017639192,-0.16920808525278,-0.187818877426447,-0.540166652695817,-0.569986724394785,0.620666834536358,-0.309520449460553,1.08579103195511,0.441031280428855,-0.160468968458373,-0.269871767079481,0.5153442643911,0.320793412227956,-0.302464515000893,-0.285963966715961,-0.66234623463386,0.0424705960113161,-0.783729950484037,-0.305510999827012,-0.0191902552086162,0.398941045897892,-0.0892438383371211,-0.214152575010447,0.045319224963794,-0.55698232902431,-0.0930666464779841,1.06502884609311,0.0791505484897707,-0.711940301303429,0.475226469229385,-0.188696553995123,0.303418131989224,-0.0837470730277951,-0.070633457591794,0.417264683965644,-0.281073267462969,-0.0810075954976585,-0.186570659592002,-0.765060491452529,-0.0533183968903807,-0.250288751544943,-0.342038986305798,0.268515325497625,-0.589661272390693,-0.45295813142882,0.453773680147453,0.43738424461191,0.11167029245771,0.0533655921445165,0.305031350752057,-0.594900342819981,0.271294642531637,-0.134794429591925,-0.150810773070493,0.548156330546255,0.639910696433807,-0.0420251844960947,-0.0404577004261925,0.203085049372215,-0.485504202270448,-0.195004268929074,-0.432038056417266,-0.132237559676324,-0.385762029512387,-0.20021666695047,-0.276825662015593,-0.259469540531652,0.771278456795919,0.259351876285498,0.52367898755848,-0.145741488679748,-0.321219523259432,0.128441573269294,-0.437425927388204,0.0804993632868395,0.09781209726831,-0.0620235989821603,-0.514887601260478,-0.732166163136716,0.33989948811616,0.156581563388408,-0.330411627134737,0.0131015171898467,-0.275548933780645,-0.387956861178194,-0.345644006747515,-0.816005709274541,-0.21054542124985,-0.662930619438145,0.601239597382197,-0.107768373634068,0.118819011318819,-0.443442183450893,0.591859051686417,-0.0465690724511692,0.318376270656306,0.202176568040674,0.131331062975693,-0.260598625382488,-0.507142607130775,0.441352347957486,-0.0649504241318619,0.146054435797954,0.565652559411844,0.87009467747365,0.382837884718707,-0.10324625517035,-0.432850719998445,0.170329563182599,-0.0142130530652675,-0.197315354032316,0.00290302936902822,-0.425270692225931,-0.371822254162817,0.133633284388668,0.777313643939953,0.227844030859012,-0.532985058534268,0.104037382828856,0.109004175475629,0.18126675992136
