"","NGO0025","NGO0056","NGO0116","NGO0275","NGO0322","NGO0383","NGO0388","NGO0554","NGO0555","NGO0562","NGO0618","NGO0639","NGO0680","NGO0715","NGO1063","NGO1133","NGO1215","NGO1310","NGO1318","NGO1340","NGO1357","NGO1377","NGO1378","NGO1496","NGO1654","NGO1655","NGO1656","NGO1657","NGO1658","NGO1659","NGO1746","NGO1749","NGO1751","NGO1760","NGO1947","NGO1949","NGO1998","NGO1999","NGO2092","NGO2093"
"NGON_As_1 (GE) - TPM",-0.489655275129846,-1.14368906290761,-0.314218901232517,-1.0705878569775,-0.396111310203248,-1.27119583695043,0.316921112947111,-0.448519887483865,-0.563602537374745,-0.991306731785228,-0.551400203003336,-0.525972193794019,-0.249637022891196,-1.17202964220406,-0.885914654785132,-0.722084353828733,-0.110430498841562,-1.6504475851757,-0.434889455205109,-0.127867889449069,-1.15333398805377,-0.408144665396387,-0.484045644055789,-0.60276649060601,-1.42209738135206,0.113837285031826,-0.347294013953251,-0.192441626926127,-0.21854965766344,-0.275310534235863,-1.81418510669197,0.854034469292374,0.74879330908772,-0.737900263001406,-0.152358536171325,-0.452770042492965,-0.0860027936986421,-1.19946111682067,-0.43819856899682,-0.516762638754017
"NGON_As_2 (GE) - TPM",-0.510368641390285,-0.831632543115843,0.896644480779418,-1.24451721330183,-0.516095375409777,-0.479529177429166,0.511900655470509,-0.460166147997339,-0.555503467445203,-0.667333910433598,0.327244589166745,-0.476939325072292,-0.231482604876739,-1.16717984683559,-0.41392825603259,0.0380001503242027,-0.385425741582468,-1.06779633953892,-0.605530337314806,-0.547424493747727,0.371968155988305,-0.800702016647297,-0.692156258071988,-0.680990908815912,-0.653503233628403,0.862134616788498,-0.0512357092306863,-0.440545910771398,-0.589994232291207,0.651409729284927,-0.444714050673225,0.332595055719628,1.22734250132372,-0.600807874206314,0.484804786286201,-0.510935530855674,0.118776731680096,0.204784059717345,-0.598110942270844,-0.298638263597272
"NGON_As_3 (GE) - TPM",-0.479505199599494,-0.939148433611432,-1.48313178657722,0.00902797434503362,-0.411717045591404,-0.551770928921261,0.598439153768006,-0.488102386534248,-0.597586109915799,-1.8349570143387,-0.889315213836677,-0.41644304664907,-0.889064881827776,-0.480181210443645,-1.06181108189779,-0.76334490611911,-0.748282639031508,-1.46436086706186,-0.658742171692038,-0.699370347817832,-0.920728547491208,-0.6166996877854,-0.597758095123679,-0.38756666245935,-0.660606952258301,-0.527616254372394,-1.35356637209267,-0.560241653377395,-0.316301260062528,-0.477341787661441,-0.438713282225003,0.156033761254066,0.194675664892484,-0.400814263934876,-0.867513511346944,-1.29719016644993,0.400870356536008,-0.821615477911145,-0.479417113448612,-0.582735502734558
"NGON_Bs_1 (GE) - TPM",-0.256602828007713,-0.69812037617219,-0.0667009197362754,-0.116890256655145,-0.299165346307474,-0.283819197261321,-0.272400133497095,-0.441661143964389,-0.380420361866539,-0.372204048375049,-0.164703268236059,-0.400223370604362,0.00489491217027896,-1.30482254944984,-0.306566258088053,-0.0330124982136006,-0.510493007738424,-0.0410944718206469,-0.24700011347317,-0.177056902424108,0.341883468247713,-0.201647048488567,-0.169129495524352,0.00366789575350984,0.0856138197182063,-1.00177242908619,-0.115383965648113,-1.19555129001213,2.03029340045171,0.575481740758153,0.302605343770852,0.465188457995067,0.738904080724406,0.791996567314317,0.67169882487834,1.24976210338391,-1.5153582427406,-0.829118894221309,-0.648982693476802,-0.444615301869192
"NGON_Bs_2 (GE) - TPM",-0.500760284220543,-0.669262687601206,-0.12700120110525,-0.829951190426317,-0.443227697182259,0.17541534390435,0.113799833914093,-0.481053869039399,-0.425114669864649,-0.779317542453969,0.662844307912154,-0.553294307284646,-0.058466824284604,-1.28905221020418,0.144907242261768,0.291356234048978,-0.0142377711367694,-0.06051297571758,-0.230602290297081,-0.0778151668486337,-0.188087532720047,-0.577942676874585,-0.538215696466664,-0.323408551765574,-0.86250156662889,-1.00938515046125,0.0636524544229208,-0.476172652180073,0.587619742427454,0.169930318079488,0.283902264694095,0.738086845810806,1.27659587801051,0.999233068976183,0.700610218735257,0.109248107328231,0.162720617687351,-0.524646622891676,-0.599521930755513,-0.569275254173965
"NGON_Bs_3 (GE) - TPM",-0.431589675378423,-1.12349806758645,-0.683893067080623,0.017837972318152,-0.371919751459196,0.0885454068279205,-0.18567452613377,-0.454028555809494,-0.175305091762278,-1.14231102480512,0.080708987444101,-0.259436026941421,-0.273947888180199,-1.44469971905907,-0.191609158763621,0.495802878554105,-0.511820438230683,0.162539853221191,-0.365555600054544,0.0317409966612954,0.0798607458991444,-0.0711979798404954,-0.0305175950142684,-0.103734520813198,0.30461580527522,-1.14341454889691,0.331649408925154,-1.0475912346711,0.719717616258196,0.259788595752715,-0.355444792695682,-0.0270515869109715,0.111855675176189,-0.282538458350095,0.0599306455956322,1.06350376208439,-0.742882627171898,-0.950205129886056,-0.454239875333156,-0.276490980297615
"NGON_Ctrl_1 (GE) - TPM",-0.499909941487374,-0.365042422777087,0.0902881294094517,-0.494016591260302,-0.362841049578287,-0.405475907598316,-0.335016208092084,-0.394958466826875,-0.371914373791778,-1.3907003452283,-1.2972507279876,-0.147253268478961,-0.434528876969094,0.127286752599267,-1.40459952840475,-0.552515669887778,-0.502143746890164,-1.21517940322536,-0.401023036640287,-1.07812908534335,-0.482587985154765,-0.268123774737576,-0.555482213945292,-0.488904032040825,-0.959920102978577,0.243156507983753,0.723659182327762,-0.394574107632399,0.671459534450097,-0.0794197686563197,-1.53951312362731,0.911149249698798,-0.220342627119108,-0.0888361232151595,0.164516574808588,-1.7326106196577,-1.10804707284211,-0.199401631182035,-0.597079325417356,-0.622636060242523
"NGON_Ctrl_2 (GE) - TPM",-0.529718114417156,-0.638941516712376,-0.119055740671123,-0.567471958988105,-0.534105676139081,-0.452622466889467,0.259638416426702,-0.548972865449656,-0.063502048152549,0.506697720952474,-0.958478441981779,0.0714095496249334,-0.368177398257856,0.101094503279475,-0.794855040179968,0.154763298648881,-0.456766655058191,-0.0957393038986177,-0.400230132190603,0.583384383272866,0.146115156508666,-0.322674852052347,-0.3618331887974,-0.635171900574272,0.501185353365329,1.3855695055114,0.63143250507368,0.433054703969862,0.260808973260818,0.753306039554781,-0.0157101793752051,0.173114158200505,0.837919974357874,0.958359318668184,-0.00366781262153809,-0.207051511826643,-0.0328849346396151,-0.228029886799196,-0.205052941150437,-0.56712170357509
"NGON_Ctrl_3 (GE) - TPM",-0.555248565264876,-0.782914816609135,-1.30016718537554,-0.573182509106315,-0.467458100202006,-0.0771146641460939,-0.135574757417451,-0.4936524089976,-0.840250853213606,-1.15621784734538,-1.20432068682337,-0.00660664082244749,-1.27084778999546,-0.119332747992532,-1.79639497563172,0.0844373816611207,-0.46873206445889,-0.446774527380291,-0.662351455065917,-0.596907441604679,-0.641614644186117,-0.327492975325319,-0.17677977477699,-0.440435823728,-0.365335501965193,-0.460496640699468,0.54472603651926,0.0114510702837,0.419326854615295,-0.0714857413893647,-0.587077213704854,-0.384178384185319,0.402023922118667,-0.932366620015929,-0.507522978310413,-0.579978304916394,-0.767161572329428,-1.12460407241906,0.193020716617654,-0.541351623547989
"NGON_Li_1 (GE) - TPM",2.64090446282214,2.4270642422023,1.86379851654821,1.96549070758078,3.04278124290041,0.564939455309069,1.2716220684661,2.8279659091102,3.28731040815984,0.614970278561971,1.30851384313702,2.65971244326831,2.31007111198536,1.74219000263064,1.11603809279811,1.29944219881514,3.4205615701245,1.49696767979886,3.21417606753112,1.98678980786326,1.33269368090904,2.9384006613716,3.52693252146527,3.1263227288351,1.72553615850919,1.94986661785657,2.5910288487352,1.65475551819291,2.24714124035064,2.18737915075488,1.9256760271492,-1.95248704939519,-1.86487364729219,0.977172231008781,2.40596229956522,1.16458467930058,2.25392115935438,1.55457875335274,2.39287121576982,3.40924356202243
