"","ETEC_RS02125","ETEC_RS02465","ETEC_RS02480","ETEC_RS05340","ETEC_RS05730","ETEC_RS05735","ETEC_RS06320","ETEC_RS06340","ETEC_RS07865","ETEC_RS09100","ETEC_RS11910","ETEC_RS15235","ETEC_RS18755","ETEC_RS18955","ETEC_RS18960","ETEC_RS19090","ETEC_RS19095","ETEC_RS19300","ETEC_RS19305","ETEC_RS19310","ETEC_RS19350","ETEC_RS19355","ETEC_RS19360","ETEC_RS19365","ETEC_RS19370","ETEC_RS19420","ETEC_RS19425","ETEC_RS19525","ETEC_RS19530","ETEC_RS20795","ETEC_RS21030","ETEC_RS21670","ETEC_RS23760","ETEC_RS24400","ETEC_RS29635","ETEC_RS27025"
"ETEC_As_1 (GE) - TPM",2.19145821149033,1.60877332637469,0.621313108798065,1.52151779768343,3.05571163619952,3.3434058769081,0.158941291646993,0.892409972171393,-1.00476872096031,0.553275987807288,1.86324242199575,0.0760595560287237,2.07592131852543,2.3555385123409,2.07096003165274,2.38100254641013,3.26288461726092,2.92443967601417,3.02591312245578,1.8936209559959,2.79231465966291,2.00420070557077,1.52788041749722,2.88894688861685,1.86803330092663,2.60029900907894,2.05064269660754,1.85003121682787,1.61725451367247,-0.66055859553964,1.92841990590581,-0.0144302110986884,-1.3054937849078,0.923655623842833,1.21341952424997,1.25775363886625
"ETEC_As_2 (GE) - TPM",0.376790539576011,1.1701031837912,0.85910621640964,-0.0188502003872006,1.54488086435009,1.11022580915869,1.72086692915138,0.960029323758886,0.021419041894896,1.50830911978318,0.55903564557888,-0.0994433908432867,1.8881141598361,1.01791936054794,1.68481363543309,0.812157435836084,0.642355920378692,1.61538594589202,1.54205747470871,1.61361024106414,1.19922260079329,0.746686633740973,0.487377492467545,2.33853699726156,1.43007557416281,1.22882784800004,0.692653540588907,1.28986445139475,0.888742365725387,-1.14507818165276,1.42449979914746,0.212856993460426,-1.0042725469336,0.904913394414193,1.03211074662655,1.92487861670588
"ETEC_As_3 (GE) - TPM",-0.161493364133144,-0.0888999813247194,0.417937838610785,-0.536694257906573,0.219644386616995,0.131088337683385,0.500197640183173,-0.0236631899836446,0.248210585966845,0.555731168103792,-0.380743101189875,0.0791352559473647,0.00446862020623785,-0.0190080198874818,-0.278718552006032,-0.33523716043601,-0.0346726907328011,0.210164495361407,0.222410797409747,-0.49605294480356,0.0263572263482511,-0.464316626981666,-0.330659348793905,0.47181199280301,-0.272893904413219,-0.173539330773056,-0.396368945468574,0.0943122537700512,-0.229232879361243,-0.756415349162164,1.5286427195839,0.136369130615608,0.509454999156741,-0.243420754915855,0.260796019283378,0.986581168894532
"ETEC_Bs_1 (GE) - TPM",0.0950784953381816,0.102195080824347,0.465705736401791,0.280936837245749,-0.602845839912722,-0.424849039034185,-0.0146065861908979,-0.0214731661364129,0.450677486771193,0.130787136098495,-0.612854540608088,1.05753465845288,-0.0880687412581543,-0.00618687822658537,0.11102710225344,-0.148978188423671,-0.0899303530737867,0.00975358844785721,0.254674036184024,-0.126570830977535,0.1314466289053,-0.147236900071379,-0.327094863108339,-0.366234872427788,-0.295966363631875,-0.0510119063569564,0.058039989508952,-0.403900829410166,-0.249671220626011,-0.146041693719301,-0.367822322180762,0.436484850944068,-0.248653224501381,-0.275209576326124,-0.713126282608573,-0.858222905601135
"ETEC_Bs_2 (GE) - TPM",0.139232801666076,-0.315285540298906,0.142929083919979,0.242947682934608,-0.474241875819216,-0.506584792951312,-0.0114115178825057,-0.303034129470469,0.82900405590506,-0.226101405235225,-0.392560308005373,0.0139664039254118,-0.270501646673064,0.145618051166565,0.440357617709134,-0.271105208035549,-0.350920132018802,0.110461141256425,0.0953098752808238,-0.291044276380555,0.0837658969556668,-0.138480810798539,-0.198511279441696,-0.291966918281146,-0.362205132694677,-0.0598245432738206,0.0853231424232889,-0.236816947298414,-0.175668128582631,0.154448924057864,-0.926182780317678,-0.44805080196527,-0.438329522515186,-0.614488317232536,-1.07834600699704,-0.961996245619869
"ETEC_Bs_3 (GE) - TPM",-0.57195655417286,0.475730329823167,3.7938890988549,0.707415914457657,-0.0514175991615754,-0.0479466013090462,0.121768547808551,0.121422840448908,0.227912450806921,-0.276375537822726,0.292131504490447,0.0392857554352142,-0.35640321037232,0.745834090045219,1.1057097804228,0.38146375741946,-0.11131810401074,0.515845902197077,0.479552967904621,0.765839941125341,0.387629726461981,0.0577990313625978,-0.113272095016062,-0.03532955554283,-0.0551342154682918,0.308781650001791,0.319326557136828,0.353890121048807,0.302620389692508,-0.809161989947652,-0.401589760310547,-0.246225550819412,-0.671151747221097,-0.472290427025331,-0.764825235107187,-0.782692024649773
"ETEC_Ctrl_1 (GE) - TPM",0.0578350021257071,-0.334555669823387,-0.168101136729336,-0.0441051440333356,-0.577679085703616,-0.784565213778899,0.440541710183599,-0.143493966421204,0.536354886496166,0.231407856127482,-0.461411375198839,0.973574897043773,-0.54829117426691,-0.279707602029892,-0.0568813949334043,1.15323602515888,0.54958162262053,-0.484718818119896,0.0481726839063818,-0.226837286957432,-0.220519470086467,-0.403942554504418,-0.566486577333926,-0.850746154232446,-0.848529481566439,-0.242609254054622,0.13807233923363,-0.47195371516339,-0.520524833448075,0.211001804470724,-1.06963219345144,0.673013617509874,-0.886956461278812,-0.386722318047672,-0.492497932423817,-0.540227330732239
"ETEC_Ctrl_2 (GE) - TPM",0.346004184767418,-0.767493974443089,0.0404552105590914,0.0298142222826606,-0.561286093924882,0.136403619129757,-0.0910492825717687,-0.140294316182713,0.261320702708513,0.0336749643855906,0.508399686735573,0.240048170136017,-0.734730266980896,0.134250250532124,-0.285924255460672,0.803550950030413,-0.00492456729804616,-0.296418169219912,-0.16602401267617,0.145762579208546,0.0685941645218181,-0.101533334036651,-0.568940899676336,-0.694005173423045,-0.419284164278886,-0.262523669261324,0.331727545985637,-0.223334618142965,-0.541285578679929,-0.892950704908777,-0.733583615469125,1.46960890421326,0.113783416124227,0.00973819420602512,-0.538917295717873,-0.422560647231253
"ETEC_Ctrl_3 (GE) - TPM",1.60607841212775,-0.17471360765894,-0.324007356796996,0.452985895631837,-0.187219181763007,-0.281519571122832,0.302185724279636,0.155142618117908,-0.251981431812268,-0.55220757948876,2.18235315343394,2.32155555713133,-0.483232660546612,0.443623357738131,0.342018201411784,0.810234339748472,0.245710081390235,0.247724770424883,0.354013391694526,0.615571161724476,0.490182564697258,-0.144532007815845,-0.308018504180914,-0.480352757870931,-0.145347023920218,0.0676665119676563,0.792691646012942,-0.106363580593675,-0.23012718269782,1.63687751288507,-0.954762276003128,0.952079353420683,-0.618496638113454,-0.986403423590171,-0.251688259278711,-0.604456292896808
"ETEC_Li_1 (GE) - TPM",-1.01701188246084,-0.528109353198437,-0.373874416303923,-0.350379982836255,-0.442618578675676,0.209256303528772,-1.06045031170463,-0.698936120137779,0.606028053092084,-0.455454193400317,-0.35698190317187,-1.14167348759695,0.0211532953364112,-0.663241435603876,-1.20363341714709,0.0765812448358262,0.554257613502886,-0.283904971076103,-0.713759646502575,-0.341580105997272,-0.546339566353972,-0.613833184017491,-0.447765521637772,-0.0148370535422671,1.30093427805384,0.156028645200888,-0.294969903219779,-0.421600654060222,-0.192947534796044,1.82378756063778,-0.946587285860682,-1.21846547400325,1.0171882991332,-0.160540758472012,-1.08595090624028,-0.0176063738893469
