"","HPG27_RS00135","HPG27_RS00205","HPG27_RS00300","HPG27_RS00325","HPG27_RS00330","HPG27_RS00335","HPG27_RS00340","HPG27_RS00345","HPG27_RS00520","HPG27_RS00555","HPG27_RS00565","HPG27_RS00575","HPG27_RS00580","HPG27_RS00620","HPG27_RS08105","HPG27_RS00740","HPG27_RS00750","HPG27_RS00775","HPG27_RS00855","HPG27_RS00865","HPG27_RS00955","HPG27_RS00995","HPG27_RS01040","HPG27_RS01050","HPG27_RS01095","HPG27_RS01105","HPG27_RS01215","HPG27_RS01260","HPG27_RS01390","HPG27_RS01455","HPG27_RS01460","HPG27_RS01590","HPG27_RS01600","HPG27_RS01620","HPG27_RS01630","HPG27_RS01635","HPG27_RS01865","HPG27_RS02050","HPG27_RS02125","HPG27_RS02130","HPG27_RS02240","HPG27_RS02245","HPG27_RS08165","HPG27_RS08170","HPG27_RS02470","HPG27_RS02475","HPG27_RS02505","HPG27_RS02580","HPG27_RS02585","HPG27_RS08175","HPG27_RS02675","HPG27_RS02740","HPG27_RS02835","HPG27_RS02985","HPG27_RS03020","HPG27_RS03105","HPG27_RS03120","HPG27_RS03125","HPG27_RS03130","HPG27_RS03270","HPG27_RS03325","HPG27_RS03465","HPG27_RS03545","HPG27_RS03655","HPG27_RS03890","HPG27_RS03940","HPG27_RS04050","HPG27_RS04065","HPG27_RS04110","HPG27_RS08220","HPG27_RS04170","HPG27_RS08235","HPG27_RS04295","HPG27_RS04415","HPG27_RS04420","HPG27_RS08240","HPG27_RS04465","HPG27_RS04590","HPG27_RS04730","HPG27_RS04750","HPG27_RS04780","HPG27_RS04820","HPG27_RS04860","HPG27_RS04920","HPG27_RS05105","HPG27_RS05285","HPG27_RS05345","HPG27_RS05525","HPG27_RS05575","HPG27_RS05595","HPG27_RS05680","HPG27_RS05725","HPG27_RS05780","HPG27_RS05830","HPG27_RS08300","HPG27_RS08305","HPG27_RS05945","HPG27_RS06010","HPG27_RS06015","HPG27_RS06045","HPG27_RS06055","HPG27_RS06145","HPG27_RS06235","HPG27_RS06240","HPG27_RS06650","HPG27_RS06670","HPG27_RS06865","HPG27_RS06890","HPG27_RS06895","HPG27_RS08320","HPG27_RS06975","HPG27_RS06990","HPG27_RS07215","HPG27_RS07220","HPG27_RS07225","HPG27_RS07245","HPG27_RS07285","HPG27_RS07420","HPG27_RS07450","HPG27_RS07455","HPG27_RS07505","HPG27_RS07525","HPG27_RS07620","HPG27_RS07650","HPG27_RS07685","HPG27_RS07695","HPG27_RS07715","HPG27_RS07720","HPG27_RS07775","HPG27_RS07790","HPG27_RS07795","HPG27_RS07815","HPG27_RS07980","HPG27_RS08020","HPG27_RS08025"
"HP_G27_As_1 (GE) - TPM",-0.174077655955698,-0.710469491328063,0.015935438114233,-1.46525244043641,-0.419358565686917,-0.982282723649784,-0.734444033611559,0.0115478306637191,1.93369437338848,-0.587213324423208,-0.136693805435726,-0.64658259600666,-0.764047902292781,0.295778197197355,0.619689044055143,0.562224006906493,0.732647862500085,0.262859027018623,0.934454208668932,-0.786558773140896,0.456663608910923,0.56951871919775,-0.19738872612432,0.673640353337359,0.53233259273723,0.601853220055892,-1.35373657588657,-0.627505111213046,0.93625542232132,-0.181590577420989,-0.51784674338003,-0.323406122322363,0.784322564292327,1.40195490384527,0.630603297373939,1.20923046416276,0.194977331144453,0.763472859132205,-0.870595470297916,-0.807652613584952,0.07401184506744,0.352522127920093,-0.174077655955698,0.358884333266963,-0.432276305212518,-0.399514714235288,-0.265199950074692,-0.136998685864284,-0.142766716629195,0.479671301732181,-0.0384552092306174,-1.21863469926254,0.143034611295772,-0.265597272348429,2.83530557163798,1.20304035333966,0.161186021525294,0.0356004944272257,0.447363418928938,-1.1929349881863,-0.47659878083021,-1.62457538200909,-0.500554709031992,-0.86521120377938,-0.445006746242713,-0.53056180443888,-0.783548466526686,0.649926961495848,1.01533972785846,-0.512661438883544,0.707715315022787,0.391055482771623,-0.753417972261638,0.530955166358763,0.601049183505508,0.722778514353432,0.779620640742942,-0.4747378091983,0.158570511360206,-0.00245102214874255,0.239382067627666,-0.114995003330646,0.905289054204512,-0.648751527396172,-0.0427074043151684,0.592931260622065,0.548306209068846,-1.27692500102447,-1.01767691708161,1.44348295418185,0.476527998193308,0.838406647845118,0.164297574886886,0.478425202603252,1.05547407109056,1.69633524079336,0.485177122285658,1.11822789963752,1.43735048564005,-1.44239151074626,-1.03072400871789,0.206535964892188,0.856019688009173,0.13247007177913,-0.0638313908726167,-0.96212349711818,0.135370475852887,0.98925002834151,0.835325400955444,-0.482311298583387,-0.780936374978976,0.615824553309963,-0.947863430595148,-0.856907662941808,-0.47040294022996,0.351642127385339,0.451728639573189,0.793944515545461,0.885533468157238,-0.308087789726165,0.708700546572868,-0.100601220292057,-0.250823118205659,-1.81983149129052,0.998419214907201,0.0972514299820233,1.6006418906641,1.22808508045554,-0.100493896080809,0.0615772250907677,-0.0296237601160393,0.142815234384907,-1.29861697994519,-1.75568085348256,-1.40568950577154
"HP_G27_As_2 (GE) - TPM",-0.174077655955698,0.0139192252273587,-0.143896658586309,-1.40564826144739,-0.894212611859821,-0.152426350104537,-0.360169021451735,-0.610268122843437,1.87127312493946,-0.476897302553023,0.02067992608076,-0.784419720454384,-0.733795372275268,0.029511539526149,0.592967146552778,0.833890608655492,0.671103974097053,-0.0695534560992181,-0.0405595689177233,-1.12160643421184,-0.532703920563433,0.244700055232034,-0.223007911214647,-0.906020133653283,0.558537562144761,0.27576763535659,-1.23975396331181,-0.814976249213432,1.10095598441795,-0.0699283967294704,-0.132138299996243,-1.15545051761838,1.27143176699105,0.409950138593443,1.38674874117063,0.920519787476882,0.531551777123491,0.787814694739494,-0.89391983706711,-0.824046285511882,0.0296795235718903,0.391981471297002,-0.174077655955698,-0.632680408960828,-0.962756018590015,-0.573402126947319,-0.435650242409497,0.217503982875724,-0.375985669248012,1.01929345896446,-0.145251519898066,-1.35982062024125,-0.142523601466285,-0.333310774561208,2.42280210309877,1.79661318282826,-0.122271614466055,-0.0279636005192526,0.583764104542142,-1.20480613805815,-0.5448702350094,-1.64685255887277,-0.582251414627413,-0.967745811428938,0.0168813978079904,-0.528218462882291,-0.970431880191438,0.635655403518136,0.0740961539379287,-0.68730902589383,1.31839310417744,0.0606032138887998,-0.693923817647539,0.976326700585961,0.213910603930994,-1.07731572117003,0.338049608608005,-0.335848606415749,0.0291251979821294,0.0256584022359244,0.227209505294754,-0.365865938312748,1.37306565570767,-0.496838980089097,0.276121575377203,0.100612845474928,0.499424464299475,-0.84384518689298,-1.00933078423215,0.86910844969163,0.413629795047196,0.355145064102315,0.535076210998312,0.587944552076632,-0.287774998256534,-0.590246889433455,0.372130128856822,1.22924454776176,0.693503450832159,-1.43500978906469,-0.702545126330125,0.217595078576316,0.278708952216185,0.261827941894828,-0.0705029046910434,-1.02516066535724,0.766214835210482,0.393983142371595,-0.286348089243786,-0.425862618063326,-0.769956108839438,1.2199356729103,-1.1604440731217,-0.712683081102406,-0.643675070953019,0.335571445853401,0.416990959214769,1.02080160430411,0.937855519776638,0.0791064983565063,0.715829930418987,-0.187014644814202,-0.336374802908231,-1.29717102726042,0.604420493566277,-0.0170287517510489,0.895016801061473,1.10234959613317,-0.262143923474905,-0.0526579202219605,-0.190025555316477,0.0370316916282799,-1.26830716621294,-1.31305706363754,-1.4847495479544
"HP_G27_As_3 (GE) - TPM",-0.174077655955698,0.746376918342791,-0.228944243791139,-0.5278160212739,-0.74184044672304,-0.0879722205689352,-0.803199922949998,0.503467871495256,1.81767873676985,-0.417459019505123,-0.120981630466088,-0.0474248632305029,0.217656564201095,-0.271025806771484,0.548689699063181,1.4362424119488,1.00169380145321,-0.260655498123998,1.03974357651728,0.499294555410324,0.871280558266158,-0.737365588728497,-0.194503635216549,-0.382401608234771,1.40435521802142,0.201654940965513,-0.477235537307111,0.131211665104073,0.607609554940163,0.170734001729196,0.274639024254577,-0.991709589834238,0.535934100709804,0.0780478073125838,1.11397204091308,1.70062924278493,1.01334717782547,-0.0993652101261105,0.57606487577242,0.626945129354799,-0.569458942875716,1.24231206566764,-0.174077655955698,1.74860100024809,-0.422977053630255,0.0830350365566723,0.599802604876693,1.78865579759956,1.22526319143568,0.352004292697378,-0.136269152733752,-0.33253283627386,1.03075734847402,-0.365428167983531,0.612781117633853,2.48669262951964,0.087295802629416,0.397045231506265,0.299985853035313,-1.15658000842868,-0.813878147432262,-0.48794702666891,1.4533010243074,0.135880904187392,-0.322866290223047,-0.578910935281,-1.23025855957146,-0.0960396956150463,0.43579297873533,0.837520966037493,0.899177900126214,0.622032871071149,-0.021364674069001,1.57099170897571,0.677756321377846,0.383657991887712,-0.679262498373967,0.227181856389453,-0.543078459363104,-0.0235098063913458,1.44605521248354,-0.142123768901529,0.50481743283022,0.327482173586587,0.486876306572977,0.800592817638596,2.14051286448444,-0.572633382732444,0.534225607493025,1.42794058028731,1.16540086326324,0.695821214985051,0.868638201373894,0.392586652051976,0.0203671275928567,0.535133245082719,0.261246609959688,0.0134019029436144,-0.403718088472419,-0.012024057558862,-0.778858934856116,1.11378100363928,0.0753981925392157,0.388888265443738,0.378896723370052,-0.411263511091874,1.03139072736375,-0.416922395486683,0.995793047912433,0.412305524514499,-0.436818094363282,1.80840914224756,-1.04226893097891,-0.847501191532478,-0.121213057983824,1.12681107286704,0.0664717012665333,1.53375300076282,1.09293013120553,0.552431935613579,0.728939506252359,1.08526935343339,1.03830170013988,-0.301604795750149,1.33010335485751,0.679387339138543,0.449857025605601,2.01512204898031,0.773208977188407,0.232460616991635,-0.107709489003778,1.15609391892027,-0.0165068267494616,0.604990093733392,-0.331080004578131
"HP_G27_Ctrl_1 (GE) - TPM",-0.174077655955698,-0.945269866998721,-0.807057514369036,0.505747575469287,-0.564906454889249,0.0266393944107915,-0.776634933403839,-0.220203764862935,-1.87493942170932,-0.429380837797532,0.00236079761105615,-0.340378620420916,-0.455085289196177,0.544489118511707,-0.622789744347146,-0.520024434363182,0.315419348421606,0.408294121053537,0.117798658301393,-1.15105574106599,-0.826011157389707,-0.0259536217168938,-0.786002006836581,-0.0340419344478796,-0.669084430713928,-1.16776744695515,-0.63670958187503,-0.689801446747992,-0.332411302311131,-0.874403982569489,-0.690630352007764,0.695641350758395,-0.956471110934935,-0.786732497148554,-0.0870207874755905,-0.934059826003839,-0.623498058093226,0.332424248476698,-0.477829876600914,-0.311312968821387,-0.974250442113654,-0.409729436448668,-0.174077655955698,1.9734261609874,0.580973283768945,0.879023775262835,-0.329742791231164,-1.32643792286942,-0.928294587451744,0.312289022470659,1.19713181223086,-0.677473710038087,-0.441547346237855,-0.367315683640777,-0.455917021376366,0.397171912140183,-0.785025569952911,-0.399570343962581,-0.268723761430435,-0.308252848535469,-0.615431276623775,-0.897848748945299,0.598717125646839,-0.238089047640249,0.0654232445628837,-0.594141280743635,-0.305661449755234,0.245994213288129,0.0348583686410937,-0.657963813266054,-0.887947925984232,0.0138223312266112,1.08327012008525,0.0876573003850648,-0.539161020967428,-1.60067094891513,0.37673804366498,-1.19396412388524,0.130216150486474,1.32402017335039,0.0192461599889101,-0.673929693342928,-0.474935833715532,-0.473110740987422,0.174649048325585,0.043125613298898,-0.177551375759959,-0.245408787859875,-0.145109170455319,0.436441189162176,-0.942016322471316,0.219290000124113,-0.877721436432763,-0.621129895817267,-0.758700319338696,-1.37422293084651,-0.553671781572051,3.09233213938312,0.366503701603272,-0.602763294948952,0.459061077877722,-0.205116051694214,-0.0740517508231325,0.243918838932526,-0.55787820302868,0.721253352416693,-1.39706089351059,1.45782774532537,1.72805095432116,-0.463124874413743,-0.60232952625444,0.257768062529329,-0.982276425447463,-0.904803215431955,-0.657475114866007,-0.0893799293810199,0.118205616732476,0.40932793522482,0.425669074450556,-0.145762518899536,0.480086451957269,-0.435327107948994,-1.10527598907344,-0.724977044667537,-0.422830816007093,-0.891437090125236,-0.587119896116193,0.000366030677021006,-0.00867793599076442,0.545008972425898,0.388575508712667,-1.11342731759667,-0.121144727996191,0.0574601501993343,0.5559248852903
"HP_G27_Ctrl_2 (GE) - TPM",-0.174077655955698,-0.0753582681943833,-0.884811667438485,-1.26828401764116,1.42818096352236,-0.505960395392956,-1.25957497332122,-0.954829503051117,-0.885674709562942,-0.468633865231721,-0.163414168808911,-0.205815225764161,-0.304521747086259,0.679401387462009,0.00259005875069736,1.25545870029506,-0.232374091583383,0.520961609645193,0.84685233505296,-1.37046782510032,-0.680740169325312,0.783431479225028,-0.659133566387881,1.86210248933521,-0.326587002936739,-0.948274513457212,-0.644872998654186,-0.16728073027914,-0.235292338407041,-0.739607108579147,-0.697996885779267,-1.16691251391964,-0.459531151629394,-0.182380754356453,-0.077708192031346,-0.0156655409098644,-0.643226294744768,0.735543356597943,-0.487285320599645,-0.397024480619303,-0.560336304153562,-0.899082042066094,-0.174077655955698,0.591868554796501,0.737063904950627,0.467834663145211,-0.376245756751348,-0.234287331039031,-0.0632204547059688,-0.0298282536547911,0.939314570474936,-0.359903090360209,-0.053955021665605,-0.101230344826221,0.472713588994403,0.447767012844128,-0.56519631572815,-0.792931407801576,0.239802322743818,-0.278884066891664,-0.679208437952118,-0.845265370588642,-0.582251414627413,-0.2081754842954,0.143391291314071,-0.600230987926819,-0.658491316242953,0.575295490475997,-0.271844081107139,-0.719858801156886,-0.777785177562326,2.49069819075069,0.681589934246187,0.362109428837609,-0.051898921765886,-0.0655068819103895,-0.0147781428341124,-0.925322397517963,1.34970129032303,1.55324964482032,-0.447914495453653,-0.920993629003701,-0.380136896097806,-0.606758191569939,-0.77629957088774,0.0808538246483934,-0.016579760595094,-0.903343401948124,-0.302200257718953,1.27478555481617,0.327763760395095,1.1678972169739,-0.485931731755663,-0.8062222943281,-0.700218488540572,2.01152316345612,-0.716784129496508,1.80892414265642,0.764860161483694,-0.785765765667252,-0.0903422479643047,-0.2174927653622,1.5503129135746,0.284122961532522,-0.547828752517868,0.478400300500931,-1.24106057648456,1.45538227601885,1.17197997710493,-0.514266748695369,-0.50875391531983,0.32349690917633,-0.17517711414576,-0.316020940523232,-0.355751353613582,0.035282272948477,0.29028571501526,1.1911969258039,0.532262165565626,-0.0195962372269723,0.164204756390272,-0.296059516348154,-1.15156560214891,-0.687443506471447,-0.00847296039899279,-0.253529590524045,-0.593468700863022,0.328108304605059,0.461289516483344,0.653247873111551,0.166152388954576,-0.629460387717662,-0.152961629362548,0.106026620544025,-0.0667930726609804
"HP_G27_Ctrl_3 (GE) - TPM",-0.174077655955698,0.13456227943723,-1.16062868030404,-0.0394446847758411,-0.356017977603376,0.219306827340729,-1.2891175089487,0.480409647666357,-1.02371211693932,-0.339091083281697,1.07573722939984,0.799473795584641,0.326239684126395,0.507789366487241,-0.336671150867017,0.235751265140318,-0.282075338287219,0.309313757145889,1.12333429089856,-0.76175373440767,-0.468429158901529,0.135975197216298,-0.666103684009861,-0.361635667653298,-0.327794949388765,-0.592778336174997,-0.275797304499903,-0.0416390314969171,-0.408063577908244,-0.613302799906553,-0.380990011774583,0.583608243987416,-1.05506793649104,0.494679735011009,-0.160389664614184,0.171300165787235,-0.883632792151882,-0.0567877495803974,0.0838539496454877,-0.108144191216113,-1.26237617518864,-0.96941243464197,-0.174077655955698,-0.632680408960828,1.36002014591145,1.52709336382803,-0.308072177341527,-0.11879336952847,-0.561152516576462,-0.304753827960312,0.602200343620051,-0.0507087176189355,0.407136143551959,-0.0515528648194214,0.127967903531459,0.483752032306997,-0.0544382638151325,-0.344501960641805,0.301523213941162,-0.451601421019619,-0.853374382431364,-0.661122189724155,-0.582251414627413,0.00602927414040064,-0.732862661584894,-0.60262193933477,0.0188128113467244,0.272498189053502,-0.287374204090992,-0.674136701307238,-0.546842394375395,1.49479842710375,2.14927522466553,1.35123653149074,0.335485802649129,-0.711004202065546,-0.342210828204463,-1.05701174739253,-0.400671117484726,1.99713294161386,-0.0110314768073836,-0.527178554928981,-0.293244137155579,-0.461917561554008,-0.208878575600529,0.0413008456151001,0.294097654144061,-1.223042416496,-0.430494055880683,1.0418093673576,0.484669090774165,1.03640410738517,-0.106709236853158,-0.442711495628639,-1.15126000777462,1.52568765651968,-0.763729613383995,0.0254983276961321,0.0198435476213543,0.243997907449398,1.31859110282504,0.297958835955204,0.335688012379632,-0.205080694638203,-0.345776940360669,1.56650387620026,-1.28263394853116,0.325558558635854,1.64403522743584,-0.448887999267755,0.69113132300566,-0.227107616172191,0.109809005589824,0.0365313192863223,-0.146909487605858,0.326358654473773,0.0420912979333145,0.141600255812572,0.0983761480820858,0.353550402466154,0.0683375081086817,-0.171216547763687,-0.928124370743943,-0.921825661616172,0.0325716922937945,0.6280821482869,-0.352840338086416,0.265022855343689,1.21865564223264,0.427933555399776,-0.0563768808357223,-0.577311219147749,0.791630206334904,0.264123022937366,0.608419873663364
"HP_G27_Li_1 (GE) - TPM",-0.174077655955698,-0.759829728215845,0.824186407243869,-1.68220235530617,-0.511677019516388,-0.752878169732181,-0.592640541293908,-0.639330809494554,0.574882792059213,0.293402258639589,-0.394906941266794,-0.19116965847065,0.050324824492249,0.395135948217762,-0.567886823904472,0.70373373072511,-0.268200945725481,0.0525988791536472,-0.668298454889291,0.205605793956067,1.54066572242974,-0.694977465531335,-0.602390799057693,-1.2028044226012,0.652865846555551,-1.62656861435399,0.44029003037756,-1.38486658817658,-0.620887718207414,-0.83820692979717,-0.606261320713079,1.04338838455516,1.66273951180615,0.450376455272644,-0.538153898469831,0.175562031442915,0.569987995522068,0.385204409710592,0.309297169016301,0.176120173179167,1.2789262925224,2.33021271440765,-0.174077655955698,-0.632680408960828,1.26137586253977,1.11963203709675,-0.434386990691983,-0.216658008433581,-0.421023610482491,-1.20790825805193,1.06789639986175,0.97176202954004,-0.424913201696935,0.838123833131158,-0.75177781094138,-0.389463025915307,-0.599881469465183,-0.717395099236075,-0.914647454856451,0.946070079138638,1.65927661908536,1.28133390314863,-0.582251414627413,1.7204627242084,-0.416760844397102,1.62904578078253,1.13785563285597,-1.5779898844571,-0.701741486688525,-0.68200295682331,-1.34007637446573,1.06670411864418,0.351912377940265,-1.5853375409466,-1.19179803619601,-1.07070590132517,-0.797784336040868,-1.24149132442834,-0.195514892990202,-0.356884229020746,2.05765081588652,-0.969353621630246,-1.51112420032199,0.437484093213423,0.153578896038603,1.75597464038732,-1.04398664349957,-0.153259586039695,0.989651258793723,0.813283795729105,-0.370617064719985,-0.086762321421472,-0.168669414723901,-0.68782203023837,-0.646034092492088,-0.767958213116952,-0.048223157707564,-0.39998761696064,-0.0949402193911578,-1.03400304577099,-0.977346576616393,-1.20332288826061,-0.393857585957122,0.220358563866312,-0.655332014310527,-0.795497153842217,0.365910401395492,1.40122478120693,0.905654167188583,0.210952615449273,-0.545463218024035,-0.744590324174844,1.92695187411721,1.37864105526023,1.72790892672129,-0.951625795660405,0.00904188809764378,0.906254012523825,0.191645662911984,-1.51121248778937,0.674311311539191,0.768963987575661,0.433129083829636,0.655311083972215,-0.436267966419385,-1.3234599680656,-0.54543169707334,-0.151353187899778,1.5582652461638,-0.888660524732099,-0.729139724017672,-0.340928052744538,0.756504244862837,1.04905618207168,0.818497681887478
"HP_G27_Li_2 (GE) - TPM",-0.174077655955698,-0.804785533103601,0.907986383380755,-1.04180977831225,-1.2426018921608,-0.611370585608067,0.0232839086293303,-0.9073688791962,0.65890960171079,0.595132450142278,-0.385130978035317,-0.449346719145055,0.0447471946622571,0.0505462608148001,-0.783530801443098,-0.071359031730786,0.744062197328896,-0.22723872060117,-0.807219063555168,0.817849712026332,1.81414683457754,-1.50694634523603,-0.540103654482196,-1.32897833231029,1.08286585208538,-2.05812031399249,0.840747071363551,-1.16044369393693,-1.3319494167102,-1.01321127130736,-0.82661340646486,-1.10755205211533,1.30020833269744,-0.025551172777575,-0.267506854763497,0.0462825862420139,1.25920847185891,0.313944314117554,0.453111184445891,0.148589026698477,1.98129091253116,2.89120053808485,-0.174077655955698,-0.0394134179461882,0.421822599460053,0.669149519836512,-0.136469862741887,0.144683041820561,-1.05448699677771,-0.622477722908854,1.90165205487487,1.09482420861375,-0.745987407222948,0.718984006508382,-1.07021723945871,-0.531394240801617,-0.764327320152699,-0.808251031164763,-1.159582225728,1.09330896281828,1.38649045180836,0.592539943654717,-0.582251414627413,0.862080559651294,0.100876331097022,1.9350763252358,1.57821623320858,-1.46253309177683,-0.171293168080445,-0.515956779480521,-1.17290749069449,-0.516101451408109,0.566832476703701,-1.26360163022554,-1.40164052568182,-0.281182357400856,-0.464202282017415,-1.05269550581463,-0.638361987159645,-0.426953481774843,1.16005525942119,-0.204444949572338,-1.27262157396358,0.745407003108979,-0.84365079293855,1.2325771308071,-1.0001541709773,-0.274647373601383,0.849835405907027,-0.119263652285695,-1.14414010836751,-0.953696684957756,0.99404060942714,-0.720414945618635,0.322962001923522,-1.17738460524977,-0.227986281295535,-1.50254464010808,-0.745535596792966,-0.829018154336322,-1.67542427221145,-1.19089951887275,-1.58137344786027,0.375846988280925,-0.592530596774839,-1.18361160679139,1.0745810582985,0.400541949134668,0.335657876182277,0.38481965502094,-0.722147954002078,0.173796046625496,0.798107988665665,0.912237618228007,1.27631459758793,-0.953657895772093,0.106230292488379,1.20206777937417,-0.025209243621915,-1.21974743625703,1.14709756965162,1.18071422519138,0.348399784430581,1.02659468931101,-0.526460203549184,-0.530902581439621,-0.309800387520238,0.0625474392759889,1.29248051334157,-0.813846401136925,-0.702998884426178,-0.208143305448501,0.812623460527365,0.832898839605529,1.19514187764927
"HP_G27_Li_3 (GE) - TPM",-0.174077655955698,-0.180641833649024,0.171105213813453,-1.2569895228321,-0.531438640240495,-0.202881955605656,0.00549017539215825,0.0813330664851152,0.381801563067843,0.312661886199791,0.0955264371683289,0.836342459658438,1.18390771214241,-0.208807250777074,-0.817371743535611,0.247360826222096,0.591740589642025,0.0410248784214714,-0.654112367505709,0.970406483143712,1.83523536762796,-1.75745168692178,-0.292874671390817,-1.1879137295644,0.414912483730587,-1.26086098379292,1.82110487570419,-0.951890040043357,-1.04479075010296,-0.64334896444192,-0.631493694285157,-1.07445406581024,0.749447386191914,0.487103697988389,-0.452285533111514,0.50629746336957,0.505204527379114,-0.10318114506101,0.84651140730142,0.823805838908479,1.76458541602035,2.05984058770992,-0.174077655955698,-0.632680408960828,1.69918579975924,1.45887457233394,-0.425344912632684,-0.171078935983876,-0.154243377460176,-0.347314476488014,0.894283149258869,2.11913908844638,-0.286353143221779,1.30497558824272,-1.38547323384062,-0.974025919274085,0.051390715524387,0.0490650652281912,-0.488782720061842,1.01681281765962,1.42610790570237,1.65104714484644,-0.0501603467677387,1.18976358587804,-0.498466006312354,1.38803148746984,2.25372876364554,-2.22764846690792,-1.64664565205047,0.011912409876015,-1.23209805980013,0.318945682665479,1.36210084278205,-1.09238575478922,-0.930731002685052,-1.26342267948813,-1.3203560760508,-0.959980582805125,-0.733120591125976,-0.113487956145982,2.23937418800062,-0.577218953541129,-1.07052345938828,0.98506521604465,0.237639535424543,2.13690929468875,-1.01743125810532,0.504895118022115,0.953057674008503,0.35952108480721,0.175619081456291,-0.587989664830613,0.99190460894219,-0.65287068272935,-0.234138374971544,-0.183832375841289,-0.599417819410734,-1.28380817117748,-1.10048953922085,0.0169735438831033,-0.34555002485009,-0.994427346206451,-0.958383553649131,-0.503026224310124,-0.530283898713505,-0.465170427693999,0.549866177378881,0.600628349362166,1.85066713520001,0.725295815890771,-0.138589198293364,-0.839289553147459,2.61985874687952,2.19510857403302,2.47878456463132,-0.768483939132929,-0.258765009527838,0.224197835838117,-0.412650126773132,-0.674587521218306,0.348374866099473,1.81490381452723,1.1572359077799,1.4909659878883,-0.252187572765705,-0.355125901194957,-0.500921384897874,-0.392258283981159,1.20573147062226,-0.918209212340442,-0.998998507001546,0.268042161341965,1.64794488033819,1.25529790781605,1.52155223278887
"HP_G27_Mig_1 (GE) - TPM",-0.174077655955698,-0.945269866998721,0.937096459127758,-1.36416560533341,-0.0893483979901629,-1.85697010144037,-1.09564099848415,-0.753041319814993,0.208473786784207,0.00672932058423498,-0.943385777098471,-0.689980839210508,-0.94071323462136,2.30634055626818,-2.20542649754957,-0.964157527098966,-1.27143857579912,3.32515649608286,-0.977747369698031,-1.35536711398843,-0.244725548434136,1.35629383169931,0.016302478744506,-0.133681741999934,0.809152199159479,-0.149288609746625,0.93845410890022,-0.501495308402252,-1.48547816602507,-0.721467222270241,-1.04972545503746,-0.107328371346549,-0.736095509966645,-1.07801454494231,-1.53969324461763,-1.51301510789238,-0.405648315372222,-1.98442938577621,-0.694582998411626,0.247717377485699,0.818142442132219,0.540092857366635,-0.174077655955698,-0.632680408960828,-1.0710760964791,-1.26776580991434,-1.29929743843083,-1.75139000577296,-1.84822328315127,-1.61488552042716,-1.87832176171504,-0.286516842979904,-1.42346825870448,-1.38722105265672,-1.2626323750175,0.120576002518886,-0.395188118044394,-0.324687363154294,-1.23586438911576,-0.783774233426052,-0.772953172172149,-0.64651365391323,-0.582251414627413,-1.57128828290303,1.76541511006483,-0.574761795064515,-0.093290327777952,1.75750099111522,0.451352211857259,-1.35152294045396,-0.604251689584006,-1.13717696640716,0.902721029997688,-1.50092484560122,-0.861627124672225,-0.449352298533001,3.09541326232667,-1.15381115931631,1.61554314945067,-1.42847247604552,-0.0620271171507645,-0.0712980016141579,-1.06854049824645,-0.805222688211416,-1.34269292010823,-1.8836878808083,-0.229566366938501,-0.712337824856257,-1.76930456440231,-1.05426400950863,1.71435558977136,-0.984307036864666,-0.816243405582938,-0.684489744825689,1.81015109916078,-0.999631190467827,1.43825368821767,0.656266027797482,2.85317612479612,-0.167393368914254,-1.43081762842083,-1.19220901573252,-0.239790395543661,1.53315817543241,0.253640495117996,2.01755197348236,-1.16720433013582,1.1153999902023,-0.197112134922026,-0.804278446844319,1.2201743187432,-1.69415489777806,0.533332275279071,1.97445469137046,-0.508496487158449,-0.137975729966387,1.68395023103784,-0.888570721708636,0.711249308137988,0.0417033877145957,1.24965429533046,-1.40065729016051,0.0728799718122514,1.20819831511485,-1.21823336910833,-1.13828871088071,2.83964360359767,-0.805739362750247,-2.25501970225061,0.128168434562151,1.25949728860631,-1.34134578050559,-0.736719740923304,-1.92470426581279,-1.77833881642783
