"","NTHI_RS00835","NTHI_RS02050","NTHI_RS02055","NTHI_RS03495","NTHI_RS03500","NTHI_RS04390","NTHI_RS04395","NTHI_RS06410","NTHI_RS09705","NTHI_RS07465","NTHI_RS07650","NTHI_RS07655","NTHI_RS07665","NTHI_RS07670","NTHI_RS07675","NTHI_RS07685"
"HINF_As_1 (GE) - TPM",-0.730205013106399,0.551112804001111,0.0254905754718546,-0.0847772093000107,0.914036971042848,0.325650923038073,0.380196751296449,-0.200719862176783,-0.174077655955698,0.256385043858274,0.0600111185755112,0.306159965732342,-0.430355943057305,-0.247688537359292,-0.0970202655195402,-0.0255711254698804
"HINF_As_2 (GE) - TPM",-0.589746457898176,-0.000412111119276035,-0.0217755515314042,-0.36244305708042,0.166256556064067,0.304301862955498,0.102411564872787,-0.429591176387122,-0.174077655955698,-0.151083607350897,-0.114907424729594,-0.0805966518605595,-0.469814374015222,-0.344341293586304,-0.258000187469411,-0.306187489400481
"HINF_As_3 (GE) - TPM",-0.415255516710512,-0.0183363330139433,0.239228243043292,-0.255173856700227,0.0248564474200216,-0.573365702224977,0.136804489867352,-0.398755031862081,-0.174077655955698,-0.0100204927299569,-0.313678727804155,-0.288047541075448,-0.310197021442159,-0.291828730751255,-0.315937645082897,-0.580059276285414
"HINF_Ctrl_1 (GE) - TPM",-0.73814570724313,-0.856381001181689,-0.461561696704849,-0.708690437462987,-1.06600672551266,-0.890721307332977,-0.76906449835892,-0.815505700916071,-0.174077655955698,-0.657068154185548,-0.536377749242223,-0.737703884432027,-0.79288931668733,-0.535951673100612,-0.647068608523932,-0.869062104472091
"HINF_Ctrl_2 (GE) - TPM",-0.858734885197999,-0.668464571148556,-0.782398512461934,-0.905668481155156,-0.956215117982842,-0.768038911461621,-0.735999847091657,-0.983193012461169,-0.174077655955698,-0.833008964352173,-0.507566839558022,-0.676707433336404,-0.552193714934241,-0.559430735805997,-0.774733937989717,-1.01211071825224
"HINF_Ctrl_3 (GE) - TPM",-0.860970364072722,-0.779802582578364,-1.0398457362818,-0.874148574202633,-1.03653094020524,-0.909166989561264,-0.776780776349048,-0.943514046038908,-0.174077655955698,-0.791960322970724,-0.693050340284933,-0.545787838622316,-0.371153130290427,-0.535613009120285,-0.690970469531978,-0.886829852868624
"HINF_Li_1 (GE) - TPM",-0.34414393402111,-0.961969956297236,-0.855062531589152,-0.591614263273542,-0.838269291245357,-0.703112191560634,-0.93143173905044,-0.943941250855019,-0.174077655955698,-0.69121959546471,-0.694219196613697,-0.634671047545544,-0.547697194369962,-0.537400403290241,-0.690593646458275,-0.960793832233206
"HINF_Li_2 (GE) - TPM",1.21680627236274,-0.893084736217257,-0.9709073307793,-0.555002630143216,-0.933514703889666,-0.678983763158411,-0.709922499851312,-0.923953453817158,-0.174077655955698,-0.693841242603789,-0.716424840927643,-0.749144333820564,-0.596558322579135,-0.626472000870389,-0.506244974355518,-0.957351304081502
"HINF_Li_3 (GE) - TPM",0.805263657168532,-0.767502023329083,-0.929068571350884,-0.682944001393851,-0.83835320481448,-0.897515357832758,-0.693558911509905,-0.870895508438422,-0.174077655955698,-0.627260888963132,-0.733568361921901,-0.738685372984312,-0.545727419966653,-0.562092597925625,-0.559686973061119,-1.04183452283226
"HINF_Mig_1 (GE) - TPM",0.605870931603275,0.552383305240264,1.60015354389297,0.79642403938598,0.8105940543827,-0.86900692931546,-0.545726000640293,1.46670824533457,-0.174077655955698,0.698592279278731,0.409408869369774,-0.0522214279202902,0.978613339645587,0.304279273928553,0.259518195161573,0.840849194986134
"HINF_Mig_2 (GE) - TPM",0.302670809547839,1.18731275091284,0.954055018963733,1.04212477089908,0.881641484886174,-0.772348042293729,-0.339765472303418,1.24869198224777,-0.174077655955698,0.964733174846058,0.486455906244149,0.140129973810667,2.09485322015923,1.11351397181796,0.712504808469976,1.46896000627471
"HINF_Mig_3 (GE) - TPM",0.140635975662939,1.41626223127691,0.935554569270894,0.796040827094966,0.749745631964601,-0.883770726570844,-0.457211591093556,1.29021567440062,-0.174077655955698,0.471026552023379,0.485763927099738,-0.110947120035196,2.11361013524902,0.876170888690484,0.714990529544565,1.23742680356793
"HINF_Nd_1 (GE) - TPM",-0.546689737730732,0.0231621596367007,-0.428352656489054,-0.67649936761401,-0.576878606038269,-0.150009876235753,0.355912681684777,-1.06516706222191,-0.174077655955698,-0.360399501988453,-0.212281888180563,-0.119709545651945,-0.571056413145474,-0.14216440444535,-0.162821159931657,-0.0183889389861002
"HINF_Nd_2 (GE) - TPM",-0.674146457864216,-0.483748449130361,-0.891433538372716,-0.765454441108216,-0.762119027252618,-0.0513923127067088,-0.0596503187134429,-0.971119724516611,-0.174077655955698,-0.601117995597067,-0.466192628656795,-0.32470413026144,-0.585982331334166,-0.443819185782158,-0.459700593805923,-0.464699486836037
"HINF_Nd_3 (GE) - TPM",-0.546504592821213,-0.691036096837863,-0.903817456517729,-0.672336791431115,-0.607909076174547,-0.141204780083334,0.180262541706198,-0.957562083258517,-0.174077655955698,-0.52765132995817,-0.280998143947954,-0.285194830427346,-0.52004018681858,-0.298353166791903,-0.419032012897402,-0.443430327939463
"HINF_Ns_1 (GE) - TPM",0.905560454152309,-0.994964261631504,-0.871935025575251,-0.168441844326974,-0.407520206747055,0.281732491647988,-0.969089070458748,-0.653098586934892,-0.174077655955698,-0.292441455413675,-0.286760077086759,-0.0535275314455359,-0.200776853982607,-0.207546922141295,0.0341728795767911,0.136111329498139
