"","HPG27_RS00375","HPG27_RS00470","HPG27_RS00780","HPG27_RS08120","HPG27_RS01080","HPG27_RS01085","HPG27_RS01150","HPG27_RS01510","HPG27_RS01515","HPG27_RS01520","HPG27_RS01555","HPG27_RS01820","HPG27_RS01900","HPG27_RS02325","HPG27_RS02760","HPG27_RS02765","HPG27_RS02800","HPG27_RS02865","HPG27_RS02870","HPG27_RS03045","HPG27_RS03050","HPG27_RS03055","HPG27_RS03315","HPG27_RS03475","HPG27_RS03505","HPG27_RS03515","HPG27_RS04070","HPG27_RS04165","HPG27_RS04275","HPG27_RS04280","HPG27_RS04720","HPG27_RS04735","HPG27_RS08050","HPG27_RS05100","HPG27_RS05175","HPG27_RS05195","HPG27_RS05465","HPG27_RS05855","HPG27_RS05860","HPG27_RS05930","HPG27_RS06105","HPG27_RS06180","HPG27_RS06335","HPG27_RS06480","HPG27_RS06985","HPG27_RS07235","HPG27_RS07240","HPG27_RS07280","HPG27_RS07290","HPG27_RS07395","HPG27_RS07645"
"HP_G27_As_1 (GE) - TPM",0.817841741103956,-0.419147923571635,-0.231177960893196,-0.650640225870357,0.615424454760726,0.518901436618129,-1.21430988247841,0.372171170193513,0.586573120541167,0.403302463056635,-0.295582186480723,0.98819473208553,-0.269088068553179,-0.25536424670427,-0.53939396081678,-0.797962564036203,-0.170188600507048,1.4630172930009,1.32422918923707,-0.147219432328337,-0.197947183865001,-0.569173522184274,0.896142102590946,0.17885600738966,0.212502295572753,0.100995612460741,0.0137082984937518,0.618486249057474,1.43103680541735,0.1745390170208,-0.114774988788843,-0.15803125420217,-0.853915839936915,0.762991869832681,-0.302593834729927,0.923927727172383,0.715989901459497,0.162177826237751,-0.236677344994582,0.507079886465334,0.0642423963955418,-0.0407778137091427,0.0475207600896039,-0.0408110183409676,-0.256916520345968,-0.354115594414254,-0.0533847672289155,-0.172608373114097,0.509649370379314,-0.0162658714055991,-0.300648772861588
"HP_G27_As_2 (GE) - TPM",0.81579459217416,-0.383429683237413,-0.19077818958081,-0.68868746361349,0.324453726625429,0.21898876391695,-1.00672977026506,0.151673955445095,0.421175157108907,0.549509244655683,-0.342052154374955,0.50219563157519,-0.522209002036507,-0.503851700407882,-0.894579848421074,-1.03256639894893,-0.0228766699976073,0.734848583394538,1.00307385831954,0.149937184532544,-0.223066792661425,-0.153737826879436,0.70419983800581,-0.0153035443823055,0.0934573287812736,-0.0880733861947031,-0.0906708121261275,0.738748151196541,0.378001164377405,-0.192829201243402,-0.147404104715436,-0.479401483574294,0.279985047119206,0.295294181616509,-0.465888188690654,0.542199425379457,0.681725166963677,-0.271308504194811,-0.106469644569784,0.616868574700773,-0.539926453633116,0.33309771391439,-0.0669551214527431,0.377418832938185,-0.150649266593456,-0.335721339557217,-0.258810460045778,-0.177230608879924,0.481593604685517,-0.370377145668725,-0.0158593028997137
"HP_G27_As_3 (GE) - TPM",0.331907928013539,-0.20478624587686,-0.714341845154105,-0.454018457504643,0.618191081794626,-0.260048067863174,0.217152044752752,-0.308324953074574,-0.525739173345385,-0.184872074236979,-0.297129339038256,0.449999166779011,-0.58641003148925,-0.639708653638132,-0.940286243462407,-1.01138468942792,0.022387196921172,-0.199366560116603,-0.140016497967593,0.754433797644817,0.0853224944370055,-0.389548652820054,0.711547424052093,0.327080348039433,1.06017257798623,-0.0555441222764612,-0.642317963514103,0.965754899276698,-0.673373565095473,-0.736427140812436,0.431875098533003,0.127759365068338,-0.0636168268097148,-0.206357973172405,-0.188607524971891,1.04944484409938,0.315658173893886,0.292549398294088,0.541019856829805,0.781363063624861,-0.505857406744109,0.461121554985086,-0.436145653339218,0.775672199031968,0.0832927283448717,-0.718119890056584,-0.141113788862933,-0.0836281421543432,0.407999743084,-0.2004143549849,1.24477106343444
"HP_G27_Ctrl_1 (GE) - TPM",0.423351885079061,-0.328934192735697,0.69849485731777,-0.708957009997824,-0.168116844608367,-0.190820571111107,0.453725677103238,-0.294033486645809,-0.251183088382302,-0.121547348728442,-0.473727553296083,-0.677364546258942,-0.565912481149385,0.017013851951839,-0.195754238370235,-0.699700921449725,-0.331175039500847,-0.0801938259647364,-0.155319337308013,-0.405433070250454,-0.32345972674004,-0.360083058068688,-0.553794878079008,-0.60891708176269,-0.827375589872669,0.137501410063804,0.136860320765393,0.376714872777093,0.752502691046102,-0.632983381509017,-0.733619523629988,-0.857989738450359,-0.203676065686312,-1.20192401681306,-1.12059249041444,-0.584158920078527,-1.03708752829245,-1.03709079514427,-0.85604746671754,0.0150160504111005,-0.737464110152653,-1.39640416360061,-0.400791795379506,0.105920984410457,0.35587324209742,0.0471531250115895,-0.562743631686191,0.0213351584248062,-0.877394154547753,-0.418150443062927,-0.31485508927406
"HP_G27_Ctrl_2 (GE) - TPM",-0.215586814523086,-0.354290176142043,0.731277332930273,-0.758618931681859,-0.300337854071211,-0.548189171342168,0.376486070146925,-0.117231219157201,-0.209534557462303,-0.0173757546293589,-0.450764774451406,-0.303958529604976,-0.355986588449613,-0.234002050742481,-0.395703391378949,-0.627147521153255,-0.747863408336158,0.0358985966445704,-0.099464227728489,0.207808652414053,-0.260203020398458,-0.712716851866168,-0.355440150033488,-0.520830628135161,-0.548727880837023,-0.018528082695569,0.574878414653625,0.170057580098712,0.887272616956784,-0.800506643161566,-0.167782546723218,-0.334888004147404,-0.735999284346134,-1.1211468769976,-0.850813858205166,-0.622878213700518,-0.443367955789637,-1.2032924565173,-0.996034286636287,-0.329493614566149,0.282741557674606,-0.95354895517579,-0.735889501115897,-0.365871448852764,0.536071770342278,-0.446877192579151,-0.672656449860366,0.40091081544526,-0.950510679022347,-0.197642501368136,0.15075440125029
"HP_G27_Ctrl_3 (GE) - TPM",0.718300734392997,-0.458490063150988,0.119421154572111,-0.542338265505163,-0.822966336481968,-0.967142370477923,1.35284312310974,-0.563740699691187,-0.920897618546851,-0.69671635257092,-0.464485411924578,-1.08388672305326,-0.598496009459159,-0.110016360085405,0.101436688219494,-0.509347857781622,-0.315584270891234,-0.538430212961936,-0.617581301348794,-0.0707666973430001,-0.763699715717356,-0.913670544778779,-0.298203614272931,-0.832773084726081,-0.43404481936948,-0.365386672355956,-0.035501677360655,0.774847235300819,0.316173946446539,-0.603718390166441,-0.893790278654752,-0.639440940978627,-0.153092938201272,-1.33215176329142,-0.622247970763563,-0.495305840590637,-1.29628511721284,-0.87756221805915,-0.847362489744492,0.269277822420279,0.0631372591627118,-0.989815364449604,-0.948199847156776,0.273616222539916,-0.428207090195984,-0.235577441102351,-0.712311110235716,-0.201468490821057,-1.40703061146838,-0.267622893690529,0.549582965937552
"HP_G27_Li_1 (GE) - TPM",1.32670926343516,-0.587351755315535,0.157915059691684,-0.686086446637837,-1.14421688891729,-0.875820468212182,0.089181671058811,-0.717665245741034,-0.11894408005454,-0.757314359880673,-0.362111620162684,-0.838067239157253,-0.14024706548241,0.00137179888520897,-0.199415065830403,0.464714108333525,-1.23707911284974,-1.15700872639915,-0.92382948027909,-0.0553122103608943,0.0800574038880318,-0.653511952530365,-0.822609253994931,-1.11101556468526,-1.27525284864141,-1.00401237257527,0.735930174729983,0.0959100430179712,-0.238205729937543,0.17555087156429,-0.58002441865617,-0.681301979059888,-0.662000892884464,-0.070481714735895,-0.751927642499151,-1.65910492868158,-0.598786441188563,-0.0388658978583643,-0.745431818728598,-0.657587974708379,-0.691122919220372,-0.747837834332181,-0.438865701679347,-0.700541351986297,-0.339471217833496,0.0420133720408319,-0.207913129984017,-0.427789444620447,-0.300825749617241,-0.807077476848732,0.541879905980398
"HP_G27_Li_2 (GE) - TPM",1.24707561707613,-0.539418392651343,0.104685372659856,-1.05160476516153,-1.18464274360976,-0.919218718869945,0.956203861316915,-0.763556829387388,-0.393477958129286,-0.440055397005944,-0.416814075770927,-0.935889526198232,-0.430240818362149,-0.592478339682479,-0.248329172780584,0.325300960776058,-1.23202980183307,-1.3286396382564,-0.928309758361544,-0.358893943373636,0.463227549554938,-0.0691170320567424,-0.839512059264186,-1.32982995293633,-1.21857509297972,-0.582153303597845,0.357956639011746,0.474833839004532,-0.544145200717843,0.121103274347238,-0.624630260306821,-0.762170284533744,-0.549088236902718,-0.938254668933951,-1.09009717339676,-1.88025132727709,-0.256322446999069,-0.182181698918285,-0.926433593616716,-0.454893181482221,-0.779831387121447,-0.550671006108377,-0.477512073826734,-0.0152914355952277,-0.863121236615882,-0.197598865402515,-0.45811759667731,-0.823685095293175,-0.428380948973909,-0.884563223765064,0.8312831572751
"HP_G27_Li_3 (GE) - TPM",1.48847923523489,-0.484404571377533,-0.103458749393982,-0.854183885823705,-1.5309111105549,-0.646505327013976,0.69870924409786,-0.947887057984293,-0.789891032871702,-0.845043763128817,-0.379819735947432,-0.8907250974582,-0.118701462523655,-0.316032050912746,0.201871101286522,0.785695668432303,-0.944464837521363,-1.27205162222555,-1.15870113282722,-0.319109834813059,0.193701611227965,-0.409866526303585,-1.09135399722604,-1.2066693735698,-1.13165397093344,-0.840754414033033,0.450890978294391,0.120513872841982,-0.99530330464949,0.0828590209025199,-0.833608319124556,-0.433383812783974,-0.811457134981463,-0.467881497703565,-0.73146808011306,-1.84188943496528,-1.05294360744088,-0.332140001218167,-0.729154044012729,0.0894056423515682,-0.818774835589778,-0.420079918431181,-0.346758378436252,-0.0181514053736773,0.019000760774727,0.200075663261708,-0.429404853939053,-0.932194706840487,-0.483037561111726,-0.989499089199742,0.840286759501955
"HP_G27_Mig_1 (GE) - TPM",0.442037198096643,1.01453576771523,0.666563924309814,0.1656820322154,1.03256173713553,1.21108347733695,0.958773258389964,-0.476630675234919,0.00490361203446997,-0.378366017294651,-0.137972002431514,0.133638951761812,-0.16253518271457,0.956716604182721,-0.126516046265121,1.00217805536078,-0.988118148818399,1.26349939725394,0.906170925631274,0.457327059787467,-0.0167885246352514,-0.0674035526504149,0.171819955813933,-0.319118581158971,0.370870971247774,-0.868218317607953,1.56339519971426,0.431045323661152,0.817877060609355,2.07380405274778,-0.400599014646791,-0.024406211229702,-0.363401907216472,1.12334646554363,-0.145527138046319,-0.552890369285918,0.120794228683636,0.801751320969772,-0.197976035567414,0.957954107915617,1.1677637507518,-0.646182852539375,0.369780206071311,0.341275664107934,-0.0214026692766408,-0.898677499508623,0.497237698671253,-0.903441665563301,-0.635296423204772,0.246437274154663,-1.60257223035678
