"","D7S_RS00045","D7S_RS00105","D7S_RS00175","D7S_RS00275","D7S_RS00390","D7S_RS00505","D7S_RS00510","D7S_RS00590","D7S_RS00605","D7S_RS00660","D7S_RS00665","D7S_RS00670","D7S_RS00675","D7S_RS00720","D7S_RS00805","D7S_RS00820","D7S_RS00825","D7S_RS01095","D7S_RS01180","D7S_RS01185","D7S_RS01190","D7S_RS01195","D7S_RS01285","D7S_RS01290","D7S_RS01295","D7S_RS01375","D7S_RS01395","D7S_RS01420","D7S_RS01495","D7S_RS01500","D7S_RS01550","D7S_RS01805","D7S_RS01815","D7S_RS01820","D7S_RS01825","D7S_RS01830","D7S_RS02090","D7S_RS02130","D7S_RS02160","D7S_RS02165","D7S_RS02170","D7S_RS02180","D7S_RS02185","D7S_RS02255","D7S_RS02265","D7S_RS02270","D7S_RS02340","D7S_RS02435","D7S_RS02440","D7S_RS02445","D7S_RS02450","D7S_RS02455","D7S_RS02485","D7S_RS02490","D7S_RS02495","D7S_RS02500","D7S_RS02600","D7S_RS02690","D7S_RS02700","D7S_RS02710","D7S_RS02720","D7S_RS02735","D7S_RS02890","D7S_RS02900","D7S_RS02905","D7S_RS02945","D7S_RS02990","D7S_RS03065","D7S_RS03070","D7S_RS03075","D7S_RS03080","D7S_RS03140","D7S_RS03145","D7S_RS03305","D7S_RS03390","D7S_RS03395","D7S_RS03405","D7S_RS03425","D7S_RS03510","D7S_RS03665","D7S_RS03705","D7S_RS03710","D7S_RS03715","D7S_RS03720","D7S_RS03870","D7S_RS03875","D7S_RS04040","D7S_RS04060","D7S_RS04075","D7S_RS04260","D7S_RS04265","D7S_RS04295","D7S_RS04300","D7S_RS04355","D7S_RS04420","D7S_RS04430","D7S_RS04455","D7S_RS04485","D7S_RS04535","D7S_RS04545","D7S_RS04550","D7S_RS04555","D7S_RS04605","D7S_RS04640","D7S_RS04685","D7S_RS05140","D7S_RS05245","D7S_RS05250","D7S_RS05255","D7S_RS05300","D7S_RS05455","D7S_RS05625","D7S_RS05640","D7S_RS05645","D7S_RS05720","D7S_RS05760","D7S_RS05855","D7S_RS05900","D7S_RS05930","D7S_RS05935","D7S_RS05940","D7S_RS05960","D7S_RS05965","D7S_RS05970","D7S_RS05980","D7S_RS05985","D7S_RS05990","D7S_RS06055","D7S_RS06070","D7S_RS06260","D7S_RS06270","D7S_RS06300","D7S_RS06340","D7S_RS06440","D7S_RS06445","D7S_RS06620","D7S_RS06655","D7S_RS06700","D7S_RS06740","D7S_RS06755","D7S_RS06850","D7S_RS06865","D7S_RS06870","D7S_RS06900","D7S_RS06995","D7S_RS07055","D7S_RS07070","D7S_RS07100","D7S_RS07115","D7S_RS07120","D7S_RS07125","D7S_RS07130","D7S_RS07135","D7S_RS07150","D7S_RS07270","D7S_RS07300","D7S_RS07370","D7S_RS07425","D7S_RS07455","D7S_RS07480","D7S_RS07485","D7S_RS07590","D7S_RS07605","D7S_RS07665","D7S_RS07795","D7S_RS07825","D7S_RS07970","D7S_RS07975","D7S_RS08080","D7S_RS08100","D7S_RS08205","D7S_RS08210","D7S_RS08390","D7S_RS08400","D7S_RS08690","D7S_RS08695","D7S_RS08840","D7S_RS08920","D7S_RS08955","D7S_RS09080","D7S_RS09140","D7S_RS09220","D7S_RS09250","D7S_RS09260","D7S_RS09270","D7S_RS09285","D7S_RS09290","D7S_RS09305","D7S_RS09335","D7S_RS09385","D7S_RS09390","D7S_RS09415","D7S_RS09515","D7S_RS09560","D7S_RS09650","D7S_RS09750","D7S_RS09780","D7S_RS09865","D7S_RS09870","D7S_RS09950","D7S_RS10020","D7S_RS10070","D7S_RS10115","D7S_RS10130","D7S_RS10140","D7S_RS10150","D7S_RS10160","D7S_RS10175","D7S_RS10290","D7S_RS10295","D7S_RS10355","D7S_RS10385","D7S_RS10490","D7S_RS10545","D7S_RS10805","D7S_RS10810","D7S_RS10940","D7S_RS11005","D7S_RS11010","D7S_RS11015","D7S_RS11070","D7S_RS11170","D7S_RS11315","D7S_RS11375","D7S_RS11380","D7S_RS11385","D7S_RS11410"
"AGGA_As_1 (GE) - TPM",0.273335809570927,0.442441262367174,0.0768428912163319,-0.640484824596086,-0.880056238729039,-0.289531150658216,-0.164643705984231,-0.0739784315097416,0.537661483444388,-0.204495226067943,-0.373091523718952,-0.303348903832087,-0.18411149501635,-1.36180240608879,-0.646892281333456,-0.133137448969133,0.525189452557869,-0.181884250384173,-0.151231369865946,-0.196696689406117,0.510349180342963,-0.524960765872489,-0.312471508552281,-0.500023307907578,-0.462285304226379,-0.505373868305406,-0.601042446350146,-0.515397872162133,0.513169572656346,-0.10557372842712,0.680810815392186,-0.466176430477687,-0.524201039286568,-0.171071968899697,0.273121772042236,0.116851232076185,0.660801397042133,0.904071475797217,-0.63990749966305,0.249954698263325,0.41302553539912,0.0102472327792447,0.0663294732077964,-0.392449002897503,-0.611133211443995,0.0209723400683901,-0.163497151033746,-0.178750553855337,-0.1777417619656,0.117329335653599,0.0401810796419332,0.100589804726485,-0.112896134081318,-0.586826225452092,-0.242880304256359,0.160991368906824,-0.0549325635808723,0.0639842528669142,-1.00392700128658,-0.633728709809496,0.449320632401475,0.49662309546118,-0.305463089792033,-0.723548354761115,-0.540374831684827,-0.104713116041443,-0.382158985127215,-0.372908334726168,-0.109594222116708,0.077854057172554,0.167152129236193,-0.0554284102480223,0.0104409743926537,-0.371074759003759,0.326981470471898,-0.659130226280739,0.427713127448325,-0.314597472604911,-0.374626331243703,-0.436703183246684,-0.179776045659982,-0.236032361600756,-0.313467276707547,-0.460845918116119,1.09500215022703,0.69528712762918,0.656818466213834,-0.553989071412196,-0.168125991369703,0.251697436713404,-0.424611760604058,0.584610420227516,0.113272687735408,-0.278727394019409,-0.594628968797953,0.424395333538606,-0.0948595808661395,-0.418299461854531,0.300486318524069,-0.119512033568335,-0.0285301090114396,0.183596101229951,0.115090551523684,-0.582197070018859,-0.61579069148837,-0.109059073255367,-0.842947914268628,-0.214121960200496,-0.270576596667169,-0.0786763577521671,1.18888324588568,0.367568802725396,-0.361819330856205,-0.371861887511786,0.326966402287601,-0.312941900634035,0.0260223742599896,-0.36302616716731,0.109090375415967,-0.00813126396639212,-0.0989843303532986,0.39822888906318,-0.255886651022508,0.0344563053691413,0.195316677228326,0.377290688185289,0.335087066467719,-0.427923565999505,0.490333769720826,-0.460926760145236,-0.687212306485531,-0.176737148703405,0.0850847856692681,0.651783921703979,0.26069671191819,-0.339091406369462,-0.166492297601362,0.431483277689548,-0.652771032778604,-0.197086393086445,-0.365882616661129,-0.412260120880557,-0.347013031860497,0.449539923781797,0.115690452396639,-0.296298190306161,-0.770907680259035,-0.145008309238808,0.193826141626664,-0.322357601504659,-0.137738041161684,-0.207780162832066,-0.25455564717152,0.370789957858029,0.00038336518698688,0.121352803496442,-0.0143198897942455,-0.501640984863448,-0.167770604759647,0.0034422179094534,0.535934495634648,0.0367119064919061,-0.448335101149108,0.00135618749122262,-0.354932768334427,0.125727337132265,1.00090426878915,-0.0600713537920346,0.173407423396776,0.604826135749043,0.142151523076555,-0.287031579350359,-0.270165568293151,0.304969170415128,0.107270620347051,-0.27465974770339,2.58837836956668,-0.181560302455116,0.224406488493527,-0.0151971819158773,-0.634147077304966,1.11828983129534,0.0640554283794173,-0.350443053309351,-0.914684930529647,-0.0924936901147245,-0.486165820285188,0.107086287289086,0.00365663692787768,-0.391850482223466,-0.676308051212779,-0.317368119214563,-0.381701047730556,-0.603625236440452,1.19685583993993,-0.50326710669196,-0.11144066715246,-0.00865824129125667,-0.151864076000635,0.340062871576981,1.19877079014274,-0.41820422680901,-0.766956102599025,-1.07284954847367,0.150394463978842,0.135211242866304,0.0803801898249718,-0.46722432020489,0.206307020141938,-0.064572528886676,-0.330407903840673,-0.417770434955991,-0.010515552821759,0.176556765076069,-0.671217540449529,-0.812942036130293,0.947832393507293,0.186211930773696,0.120493934309932,0.152302320484462,-0.609028465385702,0.405625036705251,0.384040650796456,-0.235432557599658,-0.425467135715413,-0.322537130929431,0.320805399527964
"AGGA_As_2 (GE) - TPM",-0.219390544327637,-0.258629422046071,-0.237399440251547,-1.38119097941126,-0.0665920725058917,-0.592745474294334,-0.323669519199798,-0.466780297782706,-0.0382143743205386,0.25174681003993,-0.0162297946116715,-0.421105433756192,-0.586233580524919,-0.924258193688383,-0.156135000732557,-0.460096602547364,0.533309094468908,-0.2514859942071,0.617536453640853,0.513325152029253,0.510958975706565,0.741430960460107,-0.158323201536923,-0.594962704597957,-0.490071262898299,0.388855764521868,-0.519212866993584,-1.12373813921022,-0.253979143641603,-0.286555631926783,-0.465463623202565,-0.550753287153444,-0.56419922055015,-0.352839687468976,-0.188941768331177,0.223036778289023,-0.595915717285182,0.195459945193315,-0.442037569703861,0.246190698733568,-0.196118455537462,-0.229467186510292,-0.306952276713323,-0.428431329241206,0.189133231364025,0.304804365643842,1.20242275130005,-0.63127227640781,-0.575496617748783,-0.284114675612022,-0.504804530523387,-0.634165806981171,-0.127687372089683,-0.403773127811624,0.0134078300817137,0.407452697810157,-0.0178985579294056,-0.175118365112368,-1.3585140102106,-0.0841376927011961,-0.048412043127985,0.152968629463319,-0.109802098565943,-0.786043929710567,-0.713754129621854,-0.401521637587036,-0.261407927068695,0.0637658435523116,0.28623813694342,-0.17987233465588,-0.0514147542188586,-0.59596010662897,-0.4348844486906,0.130240106303696,-0.163236602748215,-0.551444081696946,-0.0774544613707061,-0.493973862651674,1.02458688120333,-0.980945842046608,-0.0173343105441114,-0.354742216519419,-0.260462135139534,-0.507875959911664,0.269207135157175,-0.412798443906493,0.103395699891106,-0.643327143827003,-0.176236061741394,0.388160437113761,-0.5467625367588,0.758451196240025,-0.264842672524119,0.113777893516685,-0.925201343229397,0.124430412314563,-0.588546992446202,-0.218598919364687,0.0112163906966571,0.195202066479204,-0.635900135094016,-0.786872972821113,-0.148433703498819,-0.123586055502323,-0.563610393895036,0.26673285471328,-0.220052063074978,-0.55558270694141,-0.832166434105567,-0.219587032952343,-0.147314975797497,0.222558026654753,-0.133299330383709,-0.340464020709734,0.613593699214546,0.126703950714774,-1.09170903036617,-0.561614729263697,-0.190846390808961,-0.302973686169165,-0.488352891794377,0.543531149652513,0.0364367703300974,0.327856783054436,0.35164573990523,0.198065781721139,0.227490621941083,-0.460632745190654,0.0763502883171462,-0.0508055039173669,-0.394141513685483,-0.208998469246073,0.227900280570662,-0.0280986068296711,-0.135933570539749,-0.191610540144012,0.395956775029956,0.146411812538024,-0.898301111923972,-0.0153270620229755,-0.111699170365594,-0.526105883912832,-0.138596513913607,-0.350352370152455,-0.545291783104873,-0.344998621119694,-0.228055653787774,-0.382776099072776,-0.0837803139280276,-0.312323799005966,-0.312594156843611,-0.145235328650337,-0.383986124939871,-0.566972878718964,0.525851350195116,0.134013893818272,0.163028422881918,0.611720046202671,-0.598801350356877,-0.732297862621985,-0.331117886504382,0.0717886592335707,0.0373725465494554,-0.583975822467971,-0.157947441091234,-0.37987330457211,-0.172502507650932,-0.432383078370343,-0.00853556185957743,0.266459028512351,-0.00399411844671386,-0.808271116090367,-0.61013663708307,-0.327590656572942,-0.0618691554294777,0.236327188750624,1.00908600774391,-0.394508130489202,-0.271934192563605,0.131800331605337,-0.735262820265154,0.188042800564493,-0.151170215071225,0.452526403116927,-0.0441250033383342,-0.729108598108807,-0.551802942717902,-0.385041001086284,0.230616088971609,-1.09690556289717,-0.496914413220815,-0.148390108846066,0.469017457826508,-0.497665311387853,0.368945659031377,-0.541266332377877,-0.194120159777036,-0.115895776198733,-0.372203163287156,0.309545919587402,-0.656084212467252,0.166636291513554,-0.276312823385289,-0.126754344552577,-0.460165918095765,-0.17525989363483,0.131382809132065,0.329285335544626,-1.08692856352342,-0.683271780143274,0.465643012523695,0.0444286046571653,-0.280336950187476,-0.213602453749676,-0.403412306615506,-0.708351809868388,0.584232970906886,-0.470806020058089,-0.207088547866419,-0.67413363793024,-0.0257254723220134,0.0823618428435109,0.0220091302993306,-0.689510521451641,-0.786175173274637,-0.497679017764149,-0.733919299259551
"AGGA_As_3 (GE) - TPM",-0.0981150005844175,0.130961349789837,0.173249722291333,0.927822268667887,0.16678701399122,0.196524290040772,-0.214447989875532,-0.195707160270483,0.336721942313634,0.267731278833076,0.717863566754862,0.0471937494709986,0.0572868345690013,-1.08524393022842,0.327031071429304,0.0413358347045694,0.0418148246250439,-0.100262242062057,0.647356295845071,0.910668102432373,0.750393196222245,2.06519196272877,-0.220750013133714,-0.381791768542817,-0.351826708516388,-0.178648408235237,-0.378921426339525,-0.280328736727329,-0.1667906543906,-0.0712348732916814,-0.0157258965569151,-0.19162829658539,-0.741641224147354,-0.341484412433643,-0.179345810197237,-0.273204166519516,-0.564508354280654,0.445188217798183,-0.590723460194822,0.191504164540496,-0.0744992596813365,-0.17717339035862,-0.554076567055815,-0.373663033785478,0.207395103591906,0.628145579109927,1.11951020412312,-0.468812704956718,-0.201736908801823,-0.535050411474466,-0.550151156381197,-0.520078199841092,0.0651496196555166,-0.485125922505559,-0.143342865173951,1.08712033155031,-0.202678191153301,0.228808076159612,-0.950206558603579,-0.384284615409193,0.304128261261417,-0.148359744307564,-0.637015960525821,-0.830309380429235,-0.791230729698465,-0.237309605691818,0.0342088923693514,0.0470477077826198,0.147132300240393,0.207841718495497,0.706654452377644,-0.15301256776364,-0.0740257766255297,0.902755613306696,-0.133227420844233,0.87832457340415,0.503145892732662,-0.117757892585008,0.530200345808426,-1.174026973677,1.25004866212689,0.662153728864344,0.271958109584499,0.102634455098985,0.279121681555803,-0.0789780911955139,0.311576641960477,-0.0116313601040296,-0.370419964729497,0.170190409915331,-0.732161710998012,0.9317739892543,-0.378651574303712,-0.00863929365612801,-0.618203747760072,-0.253197848218152,0.179354333538992,0.0533961225563463,-0.0536206926181529,-0.316353489685184,-0.889599519470464,-0.0749282698818337,-0.769060195634554,0.139674810187956,-0.543068708317761,0.445763007963927,-0.0603008733940152,-0.488686976258045,-0.740515531895954,-0.0332108351359882,-0.128619779026508,0.414222266524747,0.200507586318557,-0.336548196353564,-0.0795810369353924,-0.259002921870055,0.806723784799455,-0.267770110420537,-0.167338385025243,-0.342167935024116,-0.537849453432525,1.11733996917288,0.742366893559084,0.992368789859395,1.06756127741467,0.770994196783665,0.207572899454262,-0.327602757835136,0.297575365146852,0.21682161110034,-0.129407342126983,0.0764925226598225,0.948328458302669,-0.411521986681739,0.000322212885559968,-0.477697712370429,0.136719897342566,1.169893075346,0.509711998111505,-0.0606099850378067,-0.661731417022319,-0.988460516614847,-0.0611999251105182,-0.0257776591585039,-1.01438699471417,-0.24810460786925,-0.112108529667379,-0.332981468354531,-0.177640200886672,-0.320395301252088,-0.205117267567234,-0.261959511217559,-0.223345337624933,0.31616038487882,0.215948360766206,0.222530606687077,-0.824187114823909,0.669540362226277,-0.15696423329659,0.643352625993383,-0.392718510869799,0.0780121709951623,0.0330978333367248,0.453954361121179,-0.351033311438618,0.0286010241928116,-0.274359730986143,-1.04287340321414,0.422359718941892,0.22406493817475,-0.247599363013327,-0.0575740477660534,-1.13601617644538,1.19944463279495,0.0846432838082396,-0.0746582196934605,-0.127339528534375,-0.283549524610532,0.065278987219047,0.691138581170348,-0.640701745519562,-0.139314037995419,0.343883834394131,0.0148397807176823,-0.163297363892668,-0.579586573683185,-0.668870844561282,0.132251347926873,-0.110722997572106,-0.823738830210212,-0.383063499372078,0.0116393781770388,1.16347656723871,-0.322860538372877,0.289569393475532,0.291015346676566,0.0336141054740588,-0.258114204692633,-0.493118864387908,0.444747511885985,-0.0514317319065892,-0.28118717403979,-0.509971464447462,-0.34274674991817,-0.0350680101864132,-0.301433912074777,-0.0572107399275408,0.950105391741214,-0.493945980767422,0.0590435432566593,0.985683346407317,0.200077447922263,-0.188789233710851,-0.323208524232047,0.220615848690296,0.907208238641827,0.734449827886565,-0.34567757583509,-0.324999130407391,-0.52936155951828,-0.0550939960653018,0.352867936656403,0.148908192794006,-0.550741420218742,-0.405055871100862,-0.597068891587801,-0.0662773970389734
"AGGA_Bs_1 (GE) - TPM",0.000993670374716617,1.71733323208362,0.794731796770629,-1.2532161083878,-0.367057005223125,-0.840567553097207,-0.586809345615592,-0.774268168187445,-1.1265809245626,-0.52715448276787,1.07539223807393,0.16893565141749,1.99608824128466,-0.452305946391602,-0.419483370197309,-1.49661717829115,-0.651797952586396,0.573309126294566,-1.0077506916237,-1.16825676175307,-0.700309022498033,-0.382344113420501,-0.208503747026576,-0.534712142465176,0.347092311604688,-0.353306656565685,-0.319964305127028,2.59501364956498,2.26488788883556,-0.273631895444057,0.00506591954125142,1.32085625399713,1.2220944987777,-0.0675915485385622,0.990485326122232,1.81010954058195,-1.15820646874326,2.66376663215934,-0.983158563912426,1.21345279782681,0.564241998844124,0.639005642105617,-0.494166939014008,-0.362853026960718,-1.17417744251051,0.841958896950726,-0.222372800038911,0.574218210699399,-0.0562133354901689,-0.229485794209316,0.776111670615553,-0.0113042600068077,0.364377603174457,-0.3556326493083,-0.181180023886069,1.43018091498204,0.215271796144106,-1.38415428127051,0.767427306696483,0.14299633227161,1.54821119715591,0.169580543731598,0.575902948644247,0.728709511117609,1.10604787909357,0.504284865080056,-1.23573891100624,1.48760039037426,0.743885574331291,1.28526483504368,0.389616721347485,-0.0102526439507084,0.56685908929375,-0.563914580917201,0.898863793804811,0.169021943945457,0.571506648044524,0.430685338791531,0.45797059655262,1.10244519594269,-0.348982522769082,1.55566787121934,1.62330179355684,0.818315765394378,0.814446005882736,-0.232604775467278,0.503593527854777,0.79064174451072,0.7310427336534,-0.974495827424532,1.00840971249097,-0.18597769933841,1.45943923587157,0.462856987712555,0.821992503483324,1.05119101851886,1.07670598290898,-0.207724693219212,0.497283047207527,1.68210239870135,1.7105297588616,0.17534562462938,0.794452176072486,-0.172143885001144,-0.863222658258929,0.289911721633314,-0.438263365216311,0.59881781139887,1.9866386766593,0.672511519294899,1.39365163201318,-0.627839956632492,-0.46579998021079,-0.400167322563007,-0.767755107682661,0.273017376884511,0.84839479877488,-0.145058800190325,2.02137907020212,2.23202512829127,1.06318216572003,-1.01879523786532,-1.31609665912467,-0.966982881067906,-1.42962684593709,-0.691541124023231,-0.304584542356361,-0.26443420746677,1.16479925942182,-0.200987561643528,0.397239436217107,0.0411653817736205,-1.25460436686699,0.425483547187837,0.801040247809767,0.244967347345506,-0.491560667114943,0.111006292180387,-1.00778390487109,-0.490667606184468,-0.572801439880554,-0.327205060437944,-1.1516509835477,-0.167854849416159,1.69759931096376,-0.150619265643208,-0.579267702004999,-0.241719866374768,0.110401019373877,-0.467401484955833,-0.0194589287842635,0.177288007608684,0.665478453232378,0.585382096041276,0.700921623810666,1.46149385263039,0.0246181715343262,-0.328366718866053,-0.775890339564586,-0.0359843237268472,2.03977364041135,-1.03821038020009,-1.26127980407323,1.0312415364691,0.235754206208706,-0.827046398410687,0.592567123620094,1.65952775837483,-0.192716629793201,-0.522371357038763,0.866543371611451,0.922777548640727,-0.348366861292717,-0.148123134459975,-0.100626065138916,1.27253697961071,0.313383600162198,-0.421286356983374,0.670088902887735,0.530262548551809,-0.510429961611181,1.16384409465657,0.768532310107968,0.214933106575148,0.416624202654334,0.645015834310905,0.170357142054394,0.819055638494403,0.919543242292424,0.94561442594965,0.694337220228781,-0.0471340378526548,-1.1538852912479,-0.407138063521737,1.8444347612567,0.419375604867162,-0.366211189454573,0.312005714795239,1.33484175518739,0.984507312371334,0.594381910714348,-0.962481343764763,-1.03893854378417,-0.443303278486228,1.93623753997187,1.48761042813414,0.902500996411887,-0.202512975315615,-1.5704703924325,1.82364764224727,0.38081246980548,-0.650219268727171,-1.02696703098517,-1.0514003578394,-0.632625955813701,-0.716207409850164,0.631482641866199,-0.0757574413416717,1.43005810660173,0.609528471437919,0.60739781578722,-0.244095526973174,1.10381611931956,-0.263499171812365,0.229386917124568,-0.110256764841951,2.15594744372111
"AGGA_Bs_2 (GE) - TPM",-0.298119584143293,1.12304588399486,1.63261488708816,-1.08119313529495,-0.152320695214897,-0.961175376819588,-0.069041006156836,-0.649521891356701,-0.535085881123431,0.684757654406845,1.37500492944671,-0.317729777618697,0.377426966714479,-0.883111195295881,-0.52555912817338,-0.776240478292266,-0.411258464445892,0.150783671972237,-1.10140903114908,-0.604728671064802,-0.216020273950367,-1.28534215427526,-0.203113860167348,-0.746279474112175,0.972352601432276,-0.151526664049206,-0.357169852218947,-0.18803324236947,0.88564914711511,-0.136878267191961,1.16683581552572,0.287168100946153,0.922426549612695,-0.0997076558202449,0.560281332466939,0.76039793334532,-0.585344917277325,1.156534019032,-1.10652168869881,0.158900262605339,-0.0562585107477483,-0.289205608390464,-0.992926256089266,-0.605145555742929,-1.32735914121492,0.635827524637527,0.0115755452340989,-0.779335806313581,-0.873829819578458,-0.88650148887311,-0.788329265185983,-0.458506597093756,0.263076986046945,-0.409467571609246,1.06947947209587,0.816525105472531,-0.148513463858265,-1.26999430178551,0.704457059360673,1.62375603242142,1.10224277210497,0.551912707713579,-0.203948664755768,0.184406795610547,-0.0698113650897013,-0.336356635370951,-0.915124861411373,1.13528027144227,1.84956711508906,1.1104597833859,0.510914634994786,-0.524929590947371,-0.139989931484757,-0.444415436088701,0.369456792219447,-0.171780369725936,0.390181501949668,0.0333190895686184,1.01928955821658,0.472791574328706,-0.34601268299402,0.258002084124961,1.30248118342687,0.702649779613299,0.144757974819774,-0.803894548139385,-0.167262883748944,0.0859097087890377,0.43811642645008,0.0601040204533494,1.17236239605813,0.00844282454199976,0.333043226947006,0.924633346259676,0.19046585667661,0.245634368596462,0.714747447325232,-0.24908246739806,0.572357513268895,0.638384822951997,1.11459787087125,0.0888946473407679,-0.0931502423826882,-0.244411722988089,-0.797423872530441,1.4511214058508,-0.121465261254199,-0.247735926869074,0.813457850379773,0.313121842741814,0.133959264885735,-0.749735494796982,-0.477031505333725,-0.375418135128245,-0.468753223874796,0.891207941697433,2.186755152458,0.00244721532333311,1.98945457007469,1.49196246368709,1.19061821739936,-1.96023792850585,-1.50768057106351,-1.42746261516141,-1.61874309217792,-0.547271328970782,-0.940006700965608,-0.844714736375837,0.149765842744318,-0.295307831980642,1.39604797363322,-0.307367415036961,-1.48581792805089,0.396866601464447,0.378921648144815,0.603008515196992,0.704790095909311,-0.59519609517085,-0.275382766932002,-0.374040727408227,-0.691009670986576,-1.34304959221996,-1.46642944239072,-0.186762869205024,0.837544907443741,0.0506297958100076,-0.395752559501705,-0.416510799982015,0.37987358679929,-0.356901972882943,0.208160842432898,1.09982248036498,1.55786195177339,-0.555734977742512,1.47239207988917,0.679567655095849,0.173944493964625,1.37407778144399,-0.116775986418953,0.245131479203084,-0.29831960692016,0.204384359126831,-1.32374049607203,0.122047523738032,0.655276009433465,-0.618948662991894,-1.43967923026449,0.854944936813146,-0.63377501978997,0.0222605024949706,1.60695240384356,1.36424959687583,-0.894641737544502,0.492583341705166,-0.236910082539951,1.35602682003504,-0.601082365043182,-0.509005297103972,-0.163143117445247,0.0974041670290049,-0.83231805521892,0.7566340627687,0.711167105002081,1.73735912201844,1.3175199849099,-0.705989421726318,-0.380469442345824,0.394632072464616,0.32885508047648,-0.460056609115709,1.60818883783499,-0.0131692042842239,0.857906415517677,-0.784249440247487,1.32210579435112,0.595296739441746,-0.690541767844026,-0.200329287104881,1.19272153753165,1.58835987569477,0.0440269127423415,-0.656803767333854,-0.928509691789073,-1.4242375123676,1.3838613049956,0.544293445911077,1.02842320208068,0.658131623304602,-0.635734601893562,-0.103633231527181,0.516709512434362,-0.683156251375602,-0.874992291735047,-0.78591381508275,-0.255599219036545,-0.549840806385615,0.665279037401226,-0.224351647538689,0.0339989359907026,-0.367866525811223,1.50024775830426,-0.415272238112852,1.16184706770942,-0.597587852797843,-0.520246352322878,-0.296946857216684,0.931781216150031
"AGGA_Bs_3 (GE) - TPM",-0.183684309889137,0.757526983582377,1.54535110558405,-0.352265335075804,0.852689912577473,-1.07763759749751,-0.701812577061596,-0.515244602767104,-1.03956512272524,0.0292332958036323,1.35679107231654,1.92340722845526,0.873926940375985,-0.592062836422696,-0.713027319005307,-0.65648168538669,-0.456770249911852,0.148852742495804,-0.603563087197504,-1.35059303389255,-1.14531589984407,-0.582526428648105,0.665320253117639,-0.520487835102259,0.300565478547515,-0.295808032593454,-0.421791181917021,-0.121852594489053,0.291868655347113,0.0648359411736067,-0.723605615636993,0.825710229113997,1.83769448014996,-0.173929698222929,0.702123944375177,1.18811063601339,-0.770488646697212,1.72283841158056,-1.07680384311078,0.318874914221213,-0.428894796870748,0.346873979791821,-0.710238909220419,-0.649968509057186,-1.7162209784535,0.676897582780845,0.879700401694999,0.724179983136847,-1.05777625361312,-0.712555929206221,-0.541642109727412,-0.510697475199141,0.256600085542188,-0.595711160772044,0.261576927984692,1.00295946462424,-0.00761936224895989,-1.06745511142648,1.86063745828414,-1.4425685795558,0.520013100297561,-0.553013995654564,0.400839050469168,-0.00537337233136692,0.352780120671047,-0.0164175629137764,-1.32585018874573,1.57741448913375,0.701045623132355,2.17641710495728,1.0682452178804,-0.282035261935731,0.365394245833325,-0.587466770949449,0.643171798694714,1.93900743380911,0.430870409817026,-0.099016389783679,0.66627474109488,1.06059463715154,-1.32469920978213,2.64646542477705,0.876418717743775,0.708820359790133,0.535781732811124,-0.568876379118035,0.368582825414778,-0.244700217634397,0.316895222704489,-0.830334219173297,0.79051758239861,0.640128874229337,1.25307055174355,0.888248192542502,0.955411905126057,0.374883587217044,2.57150023155022,-0.0462106325845391,0.252483329890049,0.334606383487425,1.0430023249525,-0.280856683996713,0.411849581861189,0.0918495280083878,-0.737446652170775,0.963386536706542,0.104707687107775,0.0204475996800374,0.968631512985054,0.835272216942053,1.16294758926002,-0.585654415701601,0.0530476401531854,-0.323707919478095,-0.771592773065736,0.879497040655807,0.932117490909311,0.153423709886488,1.97601174101518,2.17346113993003,1.27194144682359,-1.23343122849209,-1.5562498122389,-0.830641188263076,-1.27502531454415,0.0253901034776546,0.331164645395759,-0.842011959701295,0.945225857918335,0.480200964295489,1.44679145510923,-0.101353851554005,-0.919556215935285,-0.281992716792493,0.400621742278115,0.225902485421145,0.139213099837558,0.0374694391023681,1.28820081306216,-0.371897630392985,0.255596492332726,-0.739403299974505,-1.46834506140153,-0.155300725451812,0.00708556844480355,-0.246638702596708,-0.679452021715957,-0.370266155261426,0.135334096733751,-0.492906205786524,0.782775223290446,1.3340882861181,0.783671811570996,0.0854797812864977,1.41042315986467,0.644361311374732,0.952917415688015,0.370855655886851,-0.737110267683656,0.751337407433344,0.0172105085607141,-0.524823921974441,-0.846790181263522,0.290811982411158,0.322939727116396,-1.57602106513499,-0.0755847111386858,1.06048883517092,-0.246128398348498,1.20390711702902,0.788067995833111,0.499543257471424,-0.154714393132918,0.0380314486185173,-0.126674784290395,1.93995614650185,-0.523251210953765,-0.587363929758796,0.148345997768816,-0.407448718765559,-0.92445412427457,1.87682190396871,-0.084541411141075,1.15824619532705,0.956038464974601,-0.222536465310982,1.09140653292739,0.0560032233474096,2.67423921718268,-0.263363154139972,1.52809118714763,0.11233971612961,-0.508821522192024,-0.409864122596631,0.601632470295777,0.254760529565776,-0.229970120820704,0.444451626808542,1.41077564437266,1.2499702703499,-0.161621014829578,-0.827834500884105,-0.987621221235573,-0.482316674138875,1.96079565039249,1.58141354410977,1.39062613917471,0.70865892802542,-0.879072561606238,2.10328591321953,0.842942244432,-0.611833207664671,-0.475796863200325,-0.260644552785871,-0.79008190873556,-0.828888340250094,0.746141651467449,0.0564626445547623,0.90266072627361,0.0388691394738146,1.55896620017847,-0.962256487245589,1.49747838209262,-0.479391304008695,-0.109080497911945,-0.290135608908551,1.46545165057579
