"","BB_P30","BB_S34","BB_S35","BB_R31","BB_R32","BB_R33","BB_R34","BB_R38","BB_M31","BB_M32","BB_M33","BB_M34","BB_O39","BB_O43","BB_N31","BB_N32","BB_N33","BB_U11","BB_Q38","BB_Q39","BB_Q40","BB_Q45","BB_T04","BB_T06","BB_0019","BB_0020","BB_0032","BB_0104","BB_0155","BB_0166","BB_0219","BB_0268","BB_0291","BB_0329","BB_0366","BB_0367","BB_0390","BB_0445","BB_0508","BB_0517","BB_0518","BB_0519","BB_0538","BB_0559","BB_0577","BB_0749","BB_0814","BB_0828","BB_0842","BB_D24","BB_G07","BB_G08","BB_G09","BB_G29","BB_H29","BB_I16","BB_I19","BB_I20","BB_I21","BB_I22","BB_I34","BB_K32","BB_J16","BB_J17","BBC01"
"BBURG_As_1 (GE) - TPM",-0.0569460833667805,-0.54348021528839,-0.614127436201865,-0.382588500229819,-0.410285415403858,-0.537508134110845,-0.0626675486719308,-0.226127215177209,-0.620137299687547,-0.152052750346809,0.616755598283467,0.524311954727914,-1.01653917654395,-0.417106086779198,-0.79286986506988,-0.61418314581095,-0.057487346549335,-0.464511942033167,-0.27420483639603,-0.863893842872509,0.591227662720303,-0.398431735734583,-0.297731525475364,-0.238117522366984,0.41850315612057,0.481690735547485,0.887321160731183,0.200003504398814,0.38999922923569,0.164750091800837,0.707130128751357,0.0622853235665868,-0.622144301719763,-0.435379949798872,0.225321404657424,-0.40561288561484,-0.33324363764809,-0.247470335360534,0.30819145973709,-0.19966312792281,-0.331101341496625,-0.373244808757616,-0.636376852708785,-0.160715222202023,-0.444481996104139,0.223669716551187,0.09044068703982,0.0655417389437695,-0.21191188828947,-0.385056243342012,-0.32711870401975,-0.726502117352197,-0.304664151542737,-0.238747267296635,-0.0143166429714561,-0.310284577603804,-0.53130904492538,-0.520002756709911,-0.462615924530144,-0.0938990750660701,-0.720136488053279,-0.577056862560328,-0.410045757304954,-0.325196735005513,-0.729293644462459
"BBURG_As_2 (GE) - TPM",-0.0635601290895879,-0.00496770646792027,-0.421415811590799,-0.471849304666909,-0.325954423180617,-0.308488670576301,-0.391493724525504,-0.492929781327172,-0.630994769154456,-0.594013277528406,0.307825453063405,0.835310729397217,-0.852914872330542,0.307590102493701,-0.544542477678597,0.291295636767822,-0.177645907196227,-0.135412591087546,-0.168040253807951,-1.2169650172421,-1.28094153978666,-0.202501767031585,-0.35233104114551,-0.774632223033977,0.297902026968221,0.412576343140028,0.824979719217764,0.576725480681533,1.19982828572097,0.864666672025629,0.585758213947557,-0.369524474761031,-0.798176640069349,-0.423901372997127,0.258134882888318,0.126331001099452,0.776744677715346,-0.136705886391451,0.97449254907527,-0.233938435425415,-0.356051823447166,-0.364885048526877,0.118743654865746,-0.167439724208501,-0.82470204651148,-0.0358002037628042,0.00946806028687814,-0.373907021224098,0.27447631204349,1.43093465676566,-0.917720903932389,-0.399355404132065,0.133879808962831,-0.487023186486799,-0.179828165903756,-0.249262088360866,-0.642957838714698,-0.405408364306775,-0.628405761115102,-0.155565892784038,-0.730410476646988,-0.505671123604534,0.238068221974141,-0.115381150319749,-1.13823204100079
"BBURG_As_3 (GE) - TPM",0.124706898130688,-0.259460174883606,0.209266065279895,-0.406362205901507,-0.220247254176255,-0.20048196372839,0.016770137287566,-0.10230219854133,-0.534558894343841,-0.197281005898105,0.813100546156616,0.784146821157189,-0.43028458536811,-0.750987598033803,-0.651170285386133,0.207816393929994,1.01240662059443,-0.33543981493215,-0.401671969929125,0.609005383737407,0.761146477381997,-0.704158952263045,-0.411589717170139,-0.409690356475251,0.845766525932791,0.130444892824794,1.19092980146987,0.101755135086364,1.38968921211167,1.1621519481737,-0.706450510997109,-0.510276588831536,-0.677174996327029,-0.423760765353625,0.00211174533340394,0.128142368266805,0.452618787936183,-0.740226774424867,0.566394436688145,-0.192382812179316,-0.351674472305569,-0.369474780742173,0.203043306393094,0.142870924555889,-0.28711397599027,0.0236476863963915,-0.251546083320049,0.476553734347795,-0.666617718055673,0.575403321375213,0.0173261802067837,0.155729988633941,-0.212416670346136,0.442921293807219,0.167107264868705,-0.513591738284009,-0.419820353747272,-0.525276905994946,-0.175561247676245,-0.0134812660865306,-0.670813493850684,-0.412173590837815,0.403498865259546,-0.202941325425032,-0.725934903132714
"BBURG_Ctrl_1 (GE) - TPM",-0.366101548861706,-0.170326628975966,0.310287296375184,-0.753639091569902,-0.415638656550549,-0.143414857709308,-0.570592906852202,-0.825944999265834,-0.234585018289111,-0.621963132724484,-0.599628852814648,-0.849249608672939,-1.11046539140558,-0.808722640189976,-0.0398184983752906,-0.340984778861718,0.398835018543503,-0.77819973233592,-0.91102931074343,-0.403771240519795,-0.357515939785785,-0.730726827799708,-0.933084847354777,-0.59246033755957,0.91749309202065,0.446081906223102,-0.433255744945494,0.345680035691459,-0.526388160761993,-0.899796460966595,0.0591679613906415,1.53774136961255,-0.539879324714273,-0.130782506235678,0.155585715061269,0.288028568990674,1.23824120494638,0.566078363342292,0.337084145080402,-0.770043058867127,-0.456066879280273,-0.533864094233726,0.550268322205553,0.48727027067949,-0.266114951781951,0.6151166733122,-0.842456529243803,-0.751812181640248,0.837409421956407,-0.385056243342012,-0.0171683066599394,-0.193715294239577,-0.71861243049176,-1.22565555384916,-1.10835193666872,-1.05631555660208,-0.780026909803482,-0.610518783016255,-0.458926714301828,-0.587202806294875,-0.587645628448297,-0.795288368115285,-0.347326678626084,-0.347246656832037,-0.803503016729018
"BBURG_Ctrl_2 (GE) - TPM",-0.941630571442404,0.524764969629291,0.0993585140388705,-0.891240239178548,0.0463987183881873,0.208255076556172,-0.379281178561949,-0.451141831374619,-0.655238091892777,-0.712029366034322,0.0636459276174396,-0.403801745127855,-0.713982554807545,0.102934871300565,-0.0807735066243205,-0.230385819101558,0.973014633059436,-0.786889614416258,-1.13377927094919,0.594558345079663,-0.045783249538327,-0.374795927497382,-1.00996125670496,-0.872758445097195,-0.746842777894556,0.736344406091295,-1.45079657494236,1.47692249633875,-1.45132040747229,-1.43317633564609,0.778218207841095,0.297656692624186,-0.198088877768015,-0.677435055687125,-0.364170788834164,-0.377201721362172,1.02602458878715,0.790385871458917,0.824884487596063,-0.771618818485948,-0.450780466761903,-0.546283974766193,0.409246099037484,1.28800565558275,0.359755898301134,1.92747018232935,-1.00628400103073,-2.41707045508507,1.12474687933879,-0.385056243342012,-0.398410206064409,-0.0514389346925615,-0.918630233465009,0.212694051725491,-0.83612301504023,-0.920378511548358,-1.03459776100723,-0.415989723280777,-0.266021194958347,-0.926665212576021,-0.822057054005919,-0.887463769603839,-0.440560435421463,-0.476901618838084,-1.20657338747805
"BBURG_Ctrl_3 (GE) - TPM",-0.118299361954916,-0.294052402704233,-0.276432069852715,-0.571394125484952,-0.0156448815841711,-0.560409987696504,-0.425580668844447,0.44428232689401,-0.174994065576519,-0.340659478730243,-0.105136801319609,-0.506566815895617,0.489298562769267,-1.01039287934684,1.10042265386529,-0.302729533616479,-0.853582495513316,-0.716937488350568,-0.782157407054414,1.03473677942452,-0.0949530216182336,-1.05113560278272,-0.847463995149037,-0.759032388221858,0.140709558990201,0.256542869152243,-0.722166695636763,0.5128864387651,-1.06610707143857,-1.09069558741642,0.691013508365957,1.03423491432569,-0.47994703455378,-0.315514625852005,-0.370496681507659,-0.169660554188548,-1.00534837953827,0.25342904568464,0.750541174284338,-0.780248747590842,-0.448652086286486,-0.543667363247999,-0.127760714422673,0.0729282810730543,-0.618154358835957,1.38126250125275,-0.829944445155928,-1.08223143312509,0.984692391697511,-0.385056243342012,0.0677423630993134,-0.355733263549225,-0.804086491121316,-0.13098225078519,-0.984701590992327,-0.812245505907778,-0.571475014032772,-0.64873484690023,-0.512120622656568,-0.46669351535206,-0.980903463479704,-0.951086730314423,-0.727553379351188,-0.314680244101728,-0.593426779879599
"BBURG_Li_1 (GE) - TPM",-2.40541880425982,-1.82602802217672,-1.55124365872079,-1.0714713089096,-1.54021750038186,-1.53905885905268,-1.2528498119534,-0.502951655342771,-1.7101949447661,-1.55409803210183,-1.93502249604,-2.24099589668081,-1.23176511119946,0.0213723865017964,-1.96290257999113,-2.34975991677447,-1.14599651767671,-1.17280870784263,-1.77102476727444,-1.36686503212473,-1.59787516018985,-0.271692056080626,-1.11546146331671,-0.93978045212613,-0.336967828435143,0.772760495671156,-0.882586419097699,1.17070259698014,-0.70494710158674,-0.698035366424318,0.232637459904098,-0.266271040964392,0.147038906346626,-1.27042674147326,2.37344403474487,2.77710020331137,0.589189894798006,2.14709788617523,0.35843249186,2.1173866846297,0.22154276589916,0.792752777749063,-1.62480439518927,0.264854164120451,-0.864859473084423,0.0487797903664439,-1.20214725857909,-1.70443025224889,2.2435331652936,-0.385056243342012,-1.76692077513649,-1.66356360997897,-1.34556421176689,-1.92322703253058,-1.27226230955223,0.2482148524093,-1.71864977742476,-1.13902139352677,-1.84449632092925,-1.5101127038353,-0.242966046218894,-1.10478374273348,-1.67292372252401,-1.24727882113288,-0.902960543190518
"BBURG_Li_2 (GE) - TPM",-2.15932467340427,-2.22307213779385,-1.5967456626962,-0.908018637070583,-1.66509067023797,-1.3113601591918,-1.29812837671036,-1.3293064734021,-1.4109809127344,-1.70892388204315,-2.23102560479743,-2.08178652669826,-0.979796520589289,-1.35661627412562,-1.86004729767805,-1.51466586859569,-1.33555875949792,-0.918620791512678,-1.57490239636103,-1.56168461711093,-2.39378405860844,-0.523134518462848,-1.09926899755846,-0.730673470952192,2.06223309863311,1.11747706946252,0.175179900457976,1.21151441052717,-0.00560818709900371,0.180515824986831,1.43979350378503,-0.0115036180336664,0.192904323871953,-0.908539790274531,3.40604923189186,2.57935702496603,2.10473983461192,1.51159419047518,1.32532479618272,1.74035597666529,0.00560039807807509,0.678734819196879,-1.67181763016723,-0.821796253017709,-1.38242692464607,-1.13466935374369,-0.53361284608423,-0.920184007494337,1.92192897931317,-0.385056243342012,-1.78586567900771,-1.33968103284109,-1.01798150529507,-0.982638014224247,-1.42769766655082,-0.213387499750114,-1.43655980314208,-1.42004931844174,-1.60185152854368,-1.66967113782802,-0.847186997507173,-0.8660830516568,-1.37754128828321,-0.914614225373483,-0.755001208744159
"BBURG_Li_3 (GE) - TPM",-1.6233616625035,-0.922112036941597,-1.30921368527663,-0.530295379059667,-0.373921813713736,-0.891200997101942,-0.982350756791138,-0.670249905070038,-0.755281432010188,-1.00358948620772,-1.25489659932038,-1.21171785351028,-0.215979758410248,-0.103882737951352,-1.8379652942207,-1.66447531824133,-2.04753185331648,-0.186925672291124,-0.895119202790369,-1.5821209705542,-1.48437900225447,-0.817609797220135,-0.523365269446668,0.0847882783521221,0.904512394853009,0.492668603504601,0.0837092547083633,-0.175687691171005,-0.555101665240034,0.026116757700549,1.21249886185209,-0.381132745581641,2.01469042077705,-0.719365484043759,1.53164406659871,-0.120709332138951,0.716298716797188,0.652734535357342,0.91976511194085,1.30880154160394,0.603570987651908,1.25245032449392,-0.448427045579032,-1.08274108171889,0.578690699376454,0.265284402202266,0.150066037345545,-1.0520456160689,1.02674470835193,-0.385056243342012,-1.05592564889797,-1.06859819111221,-0.202105081129359,-0.937342531583585,-0.80693122688998,0.53372249306026,-0.899835488299956,-0.73574226203913,-1.22128098994722,-0.562981563128108,-0.942435021919126,-0.106122667814445,-0.779283028286129,-0.879125494015698,-0.279738037314351
"BBURG_Mig_1 (GE) - TPM",0.51980999320423,-0.389522221142503,-0.032012594612681,-0.0998780650422551,-0.413792853362088,-0.163868893020033,0.178920370561083,-1.11818799332891,0.426143992759519,0.109706820783993,0.57748569518056,0.526660562071792,-0.284147315517651,0.30909590606442,-0.903777836468734,-0.366713183999875,-0.69219933752234,-0.213977201723261,0.454842172480154,0.148745163162151,0.617908363975058,-0.441469375791216,0.0761611700475544,0.0353221921736036,-0.206167400043042,0.235902527891511,0.450333461650816,-0.0133232963571613,-0.40166390218399,0.722902427268406,1.05287219961727,-0.733150866847217,-0.702040360760899,-0.156355258830113,0.428107605903549,0.689173878808205,0.699031613288924,-1.12990068812867,-0.371280552946269,0.70963943492636,0.00641439249590593,0.139926395779302,-0.332034543105416,-0.906480033291083,-0.544972955540133,-0.572778040825525,-0.0120661284779912,0.874659869781102,-0.809585913635855,-0.385056243342012,-0.630437536354309,-0.10537013397044,0.0496874588703276,-0.14955637109593,0.534495018558062,0.452113141664109,0.532025500402422,-0.384840406941499,-0.455949677939208,0.0131126261829974,2.10807024969359,-0.282457742475896,1.67347560315241,0.17084057611005,0.0353307394716129
