"","PA0119","PA0243","PA0266","PA0291","PA0312","PA0407","PA0417","PA0429","PA0488","PA0761","PA0938","PA0979","PA0988","PA1117","PA1120","PA1133","PA1145","PA1182","PA1244","PA1310","PA1376","PA1434","PA1440","PA1469","PA1496","PA1735","PA1752","PA1758","PA1788","PA1813","PA1840","PA2029","PA2125","PA2219","PA2449","PA2469","PA2489","PA2491","PA2520","PA2561","PA2582","PA2583","PA2586","PA2695","PA2698","PA2747a","PA2785","PA2798","PA2818","PA2852","PA2853","PA2854","PA2865","PA2866","PA2897","PA2898","PA2959","PA2960","PA2963","PA2985","PA3009","PA3015","PA3033","PA3034","PA3070","PA3085","PA3139","PA3141","PA3170","PA3198","PA3199","PA3200","PA3201","PA3228","PA3280","PA3338","PA3649","PA3664","PA3674","PA3697","PA3698","PA3708","PA3847","PA3851","PA3852","PA3855","PA3974","PA3992","PA4047","PA4075","PA4184","PA4325","PA4327","PA4392","PA4473","PA4704","PA4767","PA4810","PA4832","PA4944","PA4945","PA4972","PA5028","PA5148","PA5151","PA5179","PA5196","PA5245","PA5330","PA5371","PA5428"
"PSEUDO_As_1 (GE) - TPM",0.665568702699081,0.849702613324624,0.594098788637272,0.432565290160601,-0.141737051564874,-0.31007753490033,-0.0767873037068143,-0.365265948795061,-0.499239654849409,-0.358106649888701,0.188909643491928,-0.161691491019197,-0.547382744305859,-0.484989574136455,0.775817721106438,-0.41530068422635,0.0932818027776412,0.982546404576916,0.605615767434625,-1.06552526002354,-0.438932963379982,-0.654309086348384,-0.525561703860537,-0.000800886464804562,-0.116185498960505,0.040521987976859,-0.518019047303944,-0.0808102672976321,-0.6416247676498,-0.719731899829025,-0.244319266117262,-0.439979958047084,1.01886724304188,-1.66944972568266,0.705776038945746,-0.854514323665131,-0.432692357427074,0.367952372244969,-1.09714933810073,-0.832018868716486,-0.44535790583352,-0.834465073180362,-0.860247652938763,0.675474153037994,-0.47526219593743,-0.112434344416829,-0.20294738776873,-0.338827504590193,-0.668636187383979,-0.481217876454039,-0.54936030001562,-0.30834522885885,-0.774688822012109,-0.967127520008978,-1.08767363508612,-0.360584792941783,0.280031422476528,-0.467854145721317,0.349655287600968,-1.23732661860809,-1.18036084200858,-0.163628222389781,-0.49784484740066,-1.09594147843419,-0.538494220136639,-0.664980224465866,0.29670638156441,-0.0458738207101602,0.0732499498066302,-1.50947481754278,-1.54668458557343,-0.971398028245878,-0.50409554816179,-0.31697731955266,-1.7036149068231,-0.449370436776794,-0.333866465646846,-0.362194964203399,1.00785289345793,0.399365654401265,0.860441927248002,0.209678557805446,-1.44692321328988,-0.2507333944338,-0.571716539806574,-1.04094540800598,-0.957180965201761,0.323971024815647,-0.841498505016671,0.0378339901266615,-0.062793254118919,-0.743933702369037,0.446716122936312,-0.812853218513287,-0.738260294514566,-0.0657628703968907,0.399084348506668,0.813701620521709,-0.186334144141003,-1.00682631364362,-0.778841960214667,0.246618039238806,-0.397507035147167,1.12127121323968,-1.15037894949107,-0.792982580672546,-0.319587749269725,-0.197682954208196,0.199569703172237,0.290252620495569,-0.335879083865435
"PSEUDO_As_2 (GE) - TPM",-0.284949997250197,-0.126727388758252,1.04520868060927,0.584972980691692,-0.644789582190919,0.238964914722813,-0.293599742286847,-1.15344380201803,-0.161346352614549,-0.491250089106518,0.179402059840738,-1.28572722100578,-1.24995472431741,-0.137182392057645,0.0894040838786323,-0.944611523599334,-0.533344139287588,0.947012499927196,0.675793155840605,-0.922594427452237,-1.22218833061103,-0.212766701287281,-0.55321816473564,-0.774142784164642,0.444205163487652,-0.574534017549457,0.123515884853021,-0.0400523751458087,-0.812515454160509,-0.375232639504252,-1.16637313601532,0.794660087917624,1.73298925299156,-1.51880210021585,0.731612353697161,-1.60179312695713,-1.58580164700139,0.972894801186343,-1.18401132564136,-0.648425315428105,-0.498937881685432,-1.0678791217819,-1.20707269949516,0.602560117991126,-0.0128768183112908,1.25112199526298,-0.911392644272951,-0.561526101887555,-0.509735162287095,-0.360143448156289,0.327125524787591,-0.913716053096766,-0.752497956046733,-1.76295098343366,-1.34253103402913,-1.17697976580776,0.373219123144479,-0.894607775738553,-0.178001483316733,-1.10077466332588,-1.20833779398794,-1.44210158109481,-0.816241823718061,-1.18511237402723,-0.887652971543095,-1.111048486606,0.400255672544226,0.19066537761689,0.0998504413815263,0.240022333401502,-0.889206798622288,-1.29732061805224,-1.15533127573605,0.396411845420866,-0.895830371319759,-1.12395529625285,-0.460187296930336,-0.801861338771245,0.0115877043652134,1.13477134996886,-0.840317531786373,-0.267928346282069,-0.884636964000224,-0.44184001213031,-0.68269269002668,-0.530192569926268,-0.660069859934683,0.894108476604189,-0.411831483456241,-0.206935856324412,-0.169310259093934,-0.705020947204698,-0.0846968079430526,-0.654515224375325,-1.41992128940515,-0.689464632328764,0.104748927646224,1.24080784425989,0.380336398493952,-1.16473554041143,-1.34394152701395,0.0924377351442433,-0.670342572233593,1.50506769069687,0.768092454161963,-0.641116421670174,-0.864685129257483,0.10208513830412,0.400025177205108,-0.227770643005269,0.0233027604466902
"PSEUDO_As_3 (GE) - TPM",-0.154649450547598,-0.049758436052076,0.956248214876755,0.718919788147346,-0.68801272018386,-0.0969445997791873,1.01930679495604,-1.18868468926183,-0.641658513138279,-0.519580071390957,0.149092534138001,-1.66535883037761,-1.5566834133711,-0.75819804899414,0.318492606052778,-0.609604071747205,0.035322936024402,1.00864959486377,0.715528803188488,-0.771529458999571,-1.18029007385913,-0.620641273773352,-0.597161992698332,-0.490672961380328,-0.293198581145735,-0.203704492737473,-0.160828120040517,-0.0374003767319617,-0.854372691741596,-1.30362580182771,-0.901500887009161,0.00555059321837806,1.73932466723327,-1.95295303596675,0.54061880705297,-1.02834400767666,-1.59886645245275,-0.768179928448286,-1.57609648744537,-0.701633570267173,-0.668642049216171,-0.906353198171881,-1.28640989722749,0.64341739996105,-0.384664876985165,-0.440571729046217,0.485208710040775,-0.867395816841263,-0.699743460427664,-0.524690338720281,0.386957441080042,-0.818054816672981,-0.620597537337472,-1.39438062019043,-1.31484071513072,-1.23062728022561,0.0422448489469547,-0.727308937217907,-0.227284175732564,-1.25379241883324,-1.23264184570454,-0.772720941676477,-1.2505585928183,-1.31483885889211,-1.0343707489958,-0.775834708259741,-0.033417305289503,0.00545350414491184,0.630017580527162,-1.10437707804245,-1.22483727902097,-1.01574223885089,-1.19681084394607,0.732403348788642,-1.55018658471517,-1.49901557973596,-0.459724930046487,-0.603028890901144,1.00986374404821,1.08102972816465,-0.215915441883193,-0.347281692229766,-0.409603096732474,-0.277889236825511,-0.259079447738473,-0.690773866697405,-0.583271508534453,0.192950197737639,-1.19194175878585,0.500342399623609,0.137670487382178,-0.97697007372776,-0.316735523595997,-1.11803347541177,-1.67966592341653,-0.82366375842082,-0.230576059510107,2.28877731804645,-0.000442444393646144,-1.10046178553561,-1.43525747986115,-0.156609588260223,-0.831058581439984,2.03070095611892,-0.59231557402611,-0.682179077978257,-1.07901341036828,0.500104469593787,0.541252588905521,-0.731255155101988,-0.32820008753884
"PSEUDO_Bs_1 (GE) - TPM",0.355661981497656,0.979219216046437,-0.308814716370239,-0.387192463129161,0.170899561978757,0.324832162822806,0.862362520528073,0.554952199226317,-0.163483042091479,0.823407688898582,0.173811229025653,0.862680039071571,1.11253980646362,0.543177681608751,0.14026498217755,0.830599502900433,-0.00544962423858714,-0.203625657921957,0.190301739092177,1.74523153520946,1.19979032354005,0.637061121764853,0.0183537895634481,-0.263189303342307,0.843589840085995,0.223277435706654,0.209464295954406,1.04727676431972,0.107328092946587,1.0715465857137,0.942073214568277,-0.100624773167528,-0.761875393478923,0.916869417243535,0.185573940608396,1.41619066763491,1.09391314288942,0.751392579393194,0.382638834053049,0.465719738897964,0.370312944414629,0.748157502163624,0.443921472691716,-0.0787418276239311,-0.0288060793209429,0.0251087229998429,-0.117182173966529,0.748732529063117,0.00659226098963697,0.44817702000316,-0.416312085734421,0.574711490881348,-0.0336790075483259,0.55719395571354,0.594639983860706,0.426323499148345,0.425611469538475,0.301950568856089,0.0255719695269674,0.337419680127141,0.19131818569728,1.87022195941284,1.01026172035849,1.37407747603694,1.7652549943923,0.466832403390222,0.0198029869754002,0.39550261285759,0.682145007543646,0.281380877836753,-0.462819282878672,0.128554590065535,1.06417176511669,-0.262480594071598,1.86209082001429,0.228654960605699,0.0643844026838548,0.692922030226596,-0.719634154415114,1.28395067843062,1.10994122149186,1.19895133416607,0.538399366181672,-0.113185352624643,0.677542684087474,0.526985019678856,0.991256009423158,0.495690366993132,0.335732600184368,-0.346572417044275,-0.110061378882124,0.170190191998533,0.330819642127875,0.596177718374317,-0.299168856276924,1.11577569833904,-0.505965835323298,-0.302866020850719,-0.368496895332787,0.292349833716736,1.02213196398509,0.964452308741476,0.469650117622617,-0.0226522669555333,-0.057747046133574,0.611504562392717,0.0298733976739403,0.240796324449638,0.202626924471753,0.285594416071497,-0.934552076623106
"PSEUDO_Bs_2 (GE) - TPM",-0.197035615395242,0.668303260368133,-0.470197249436094,-0.504262047322688,0.714025509021495,0.449867626862851,0.335001162711709,0.363801670545852,2.50354697503035e-05,0.0794181977885647,0.592778565865116,-0.299585112734702,0.89956810327058,0.452649929852349,0.335804715039026,0.540370492926868,-0.151995953479729,0.354014715298192,-0.814547764925897,0.585006307125767,1.72751147161533,1.05135612578471,0.43952691809258,0.18293974380978,0.830409644565934,0.387162924872755,0.199310452596332,0.421851261489923,0.843553962078231,0.927870500119954,1.17075053437589,-0.925724581384666,-1.08610575112924,-0.0253359602670292,0.0839238967022654,0.478514230987261,1.48733771626225,0.584659056531016,0.334419904065033,0.966406731620955,0.768105550345101,0.527736636687989,0.345253357200243,0.222292834243773,0.201165241323253,0.295020956006025,-0.911392644272951,0.387904626947082,0.313676433113213,0.253266133235734,-0.000520131111397129,0.0540319843301771,-0.309689182233183,-0.258833064344922,0.19761000697109,-0.190282416404218,0.535548030044393,0.215910648856367,0.201761644311075,0.191748243562166,0.327375034164156,1.48398685742251,0.507453593390213,0.269686110641083,1.19483560960092,0.210592260513436,-0.066567182351459,0.552071866478723,0.673648158712822,0.108110758775706,1.25770209903351,0.567729142655855,0.991330766769494,0.012307137738436,2.35980348191936,0.381743751208393,0.257693932550491,0.227089950372452,-0.54755063515695,0.687998715663794,0.794868931406438,0.575447395331369,1.45152826659403,0.282468847933739,0.803866151187116,0.263498707218677,0.65127000500847,0.329289263462202,0.511472982983921,0.17565054324541,-0.077237358108627,0.419836046679188,0.678105747522342,0.266311000059056,-0.224347071354261,1.05717245228583,0.195930444167042,-0.112189421686096,-0.3137399108235,0.479614863225552,0.680317620526562,0.48492667546149,0.636624236771568,-0.332079729906464,0.0317412689646097,0.785803948432155,-0.0137028267570068,0.162646026648596,-0.0985808386041197,0.253488974953877,-0.982502422679262
"PSEUDO_Bs_3 (GE) - TPM",-0.0602988965555678,0.317738671592678,-0.298617416289537,-0.452594838750999,0.855718660759406,0.335679696433305,-0.295502418756794,0.368124309759961,-0.1620801464569,-0.221431169104481,0.312567093649499,0.529129794828965,0.540720322070986,0.383914341407783,-0.135407818806045,0.644538441230148,0.345579019913332,0.751131656381572,0.0884196352595492,0.984396107578815,1.51858516652459,0.321350040213818,0.399658983002017,0.754947333866533,0.486894839756923,0.533108942634895,-0.171315188617739,1.38074454578481,0.755441351734917,0.643226943910904,1.0232953609332,0.803300036886983,-0.874775120941328,0.878222364835831,0.0692069306191972,0.826450525846295,1.12883011616638,0.494171639695893,0.496147832999317,0.464278269625398,0.736693545038586,0.951962215365764,0.18727531378171,-0.00978678656504433,0.524033947357355,0.541072643992135,-0.701726031343333,0.233673096167759,0.0219147375918366,0.282037704313993,-0.75723268157456,-0.0196510608926043,0.0994866906522272,0.329700040984113,0.289901259385821,-0.195597165627855,0.142459995258236,0.321940263032665,0.2149201580401,0.197781072878688,0.442939349965866,1.88707314862446,0.756483290096299,0.463800783470151,0.800612349899699,0.273732246329714,0.0707438471970165,0.16373141584679,0.311244354065784,0.818719946107039,0.362971282156383,0.493219645900465,1.23226441784269,-0.752634687912355,1.26968279844462,0.317365757986876,0.466461657175683,0.338466216432429,-0.278320572004112,1.35987120068587,1.23306586075852,0.52258263784621,0.623866151795921,0.305568262854417,0.655637342918497,0.891962828492793,1.33952729236912,-0.113783218838545,1.06513204300299,0.923788562331903,0.0347719811307712,0.757861147987983,0.866866931372402,0.724445650343992,-0.0194674558614756,1.42476429998648,0.671135411133963,-0.0492643023122968,-0.197864420881898,0.424294942565449,0.214200371368361,0.561576276609368,0.630056620058285,-0.0869633486564947,1.36868219600088,1.45324459908863,0.406514085289046,0.0887287160983061,0.0700685692888391,0.750013815744966,-0.699024688036519
"PSEUDO_Ctrl_1 (GE) - TPM",-0.18632818811758,0.315175528224679,-0.17536596765252,-0.0167630749423502,0.396516289743542,0.895787823834092,-0.188011844166709,0.352412650343409,-0.621203730369816,0.170870175737902,0.329430010704476,-0.0651393316591481,0.667738070819178,-0.0491130493884767,-0.250276778436397,0.207415354001542,-0.412945728119313,-0.138286276757283,-0.489684010049916,-1.39412085685753,0.936095421226269,0.592771735552118,0.137734534359271,-0.0888933501919184,-0.233716441768443,-0.111141006950847,-0.105320602560135,0.352972359837721,0.280182719455173,-0.308513906501579,0.406203645152868,0.00686388352485573,-0.559523785530346,-0.0565742327558649,-0.0557334912882398,0.71798703886374,0.281446102338143,-0.0197448268668041,0.00727419103952944,-0.0212943130229467,0.695534086709232,0.170940284880568,0.275111403283594,-0.126809138696479,0.19561714489114,-0.212526344457223,0.378320201043502,-0.209800881500673,0.0189863143765937,0.0470430882846677,0.445155801173626,0.0980222531330434,0.151658711733644,0.511622644672396,0.000213983984133928,0.311590917771505,0.336300299378165,-0.0300782237944008,-0.410766855353819,0.489311175226614,0.548851550888774,0.0133992081947103,-0.0330319243024424,0.514969470540926,0.649030822820351,-0.0162971502784901,0.188843386964571,0.156139241522868,0.246090154481248,-0.100157983486233,-0.723279691232266,0.0352366940676527,0.786174004405294,-0.201530594305267,0.677717054804819,-0.147651813499715,-0.224713103347329,0.382445347383961,-0.274768537683404,0.174411378314498,0.319307877038328,0.578658740542847,0.128126409652849,0.0834873826444516,1.15794206402342,-0.0603333416991888,0.39653182048792,0.0205465368425615,0.153734964140454,-0.221786728060927,0.0151496310234316,-0.0783988606483876,-0.432274660249193,-0.216322783176869,-0.485104438675593,-0.342627674006715,0.441850782985971,-0.203446471778373,-0.619202018093095,0.106434873523468,0.633138561195094,0.274845671544084,-0.207907407742845,-0.108667615522832,-0.660128913530465,-0.17338848113498,-0.331598795057354,0.27161047790231,-0.0766620900133731,0.336364281205306,-0.845500307161563
"PSEUDO_Ctrl_2 (GE) - TPM",-0.250740920592815,0.675955045998388,-0.406194688706632,-0.199593751658106,-0.0823744142607351,0.771391864542352,0.642043113988179,0.812370528314877,-0.222368954764277,0.333356208372531,0.871761269800421,0.458200242862504,0.860616970032431,-0.157399835976066,-0.245961647672047,1.01233149019399,-0.0578342922905851,0.370987178640912,-0.368414457772729,0.163712361850561,0.90624568874011,0.269917415407521,0.46617516033682,-0.359365973127918,1.26397311144554,-0.131471423452493,0.454839008433697,1.07249320432867,0.149354793604297,1.05051657350524,0.669300745897973,0.216912756783301,-0.460608723183371,0.491415109231568,0.0996442038557369,1.2427383609125,0.798758639673336,1.14626535299574,0.597055758665007,0.636771054037235,0.573057498162264,0.93755336543286,0.338583393972608,-0.0483979677302616,0.278322253029403,-0.707354963293492,-0.325665347647686,-0.0621898288102824,0.292524691941165,0.245322769893862,0.762472518027733,-0.253079750085042,0.312013856520701,0.810955886685839,0.292711259209051,-0.501275909628124,0.567471098481377,0.108303364652428,-0.0746217336356024,0.166591956135468,1.06692638286536,-0.0894404159668353,-0.0806836996821516,0.331632297219146,1.1378030505626,-0.0349760740513533,0.923691285246645,0.528609545786117,0.105744436735134,0.14442671122218,-0.684377792244098,0.625797672268953,-0.247292712286056,-0.031266892043758,1.84236009124324,-0.217644096245316,-0.183258500014285,0.963822693836378,-0.859824284178155,0.0610890326658745,0.249117460943016,0.941017892181703,-0.0163337949652727,0.21084977517351,1.12816321275568,0.407280365359659,0.526349614201501,0.0245865659542743,0.110275045326277,-0.0696594861412236,-0.394203112454305,0.0705887263975723,0.385476278404957,-0.143167208106049,-0.336814957458824,-0.371458213730855,0.270339416630014,-0.28533384958897,-0.570577754821421,0.210759004661824,0.521552792741444,0.0266073992837327,0.019295195142127,-0.724789517466593,-0.273797259558414,-0.303842329142607,-0.10683486933522,0.361604328675078,0.318046537166205,1.24973586296705,-0.658051998578494
"PSEUDO_Ctrl_3 (GE) - TPM",-0.250999953483524,0.433823192165632,-0.449977621333684,-0.0902787656606707,-0.304892102929948,0.169150354847643,-0.115761258288642,0.0271680727016154,-0.182848149310345,0.106445259867054,0.517611515305082,0.129843756152859,0.826489120773724,-0.0611067819965175,-0.649334842042585,-0.0308055147087779,-0.0260502735864117,-0.516056443235191,-0.58062813698055,0.491510714306971,1.1660265412967,0.120002585636039,0.109669049686239,-0.702810634999959,-0.134993741169639,-0.197585826216083,-0.00979721539785888,0.12882620691047,-0.00387537166597725,0.0760681116373747,-0.155268328283981,0.473544150460208,-1.00873479341766,0.382263174944636,-0.270866321264247,1.10970207855028,0.421900463200626,0.511557373925196,-0.0186549790850147,-0.33492268791734,0.431459428310021,0.151566128049105,0.306114668168122,0.146576297574559,0.111685708218185,-0.471668288765896,-0.207701267121423,-0.299800898553931,0.111866696013863,-0.544466212008858,1.05268842224505,0.293766410370411,0.177062856796037,0.721595101841278,0.197353366253106,-0.60761232131551,0.733660947654161,0.168672921303795,-0.202323401302712,0.0586691067839571,0.75264073310689,0.722386236028362,0.157255450931567,0.235090634763115,0.32229336814377,0.497647844059641,0.654933280234572,0.109700167408796,0.0787388563507045,-0.165122102674623,-0.452864326015302,-0.116735857046417,0.340378066931618,-0.317148061268205,0.695067407040689,-0.170181304397539,-0.00937039972964752,0.460278991537612,-0.77240836762432,0.0671249731529417,-0.235294652473435,0.862048772053919,-0.537094280374296,-0.504106557452718,0.640885956778846,-0.0780026440437763,0.27351449937513,-0.323911040796285,-0.241116171613254,-0.457856253195847,0.231202715278431,-0.189075962274518,-0.24633825726239,-0.672840191672789,-0.387578723685644,-0.00413730149182167,-0.111009931384678,-0.51635357370454,-0.691880314344243,0.34883466721745,-0.0894240287951668,-0.199342238419959,0.033997197721767,-0.754870171967446,-0.857098351800401,0.602834276895549,-0.25672898925576,0.229000403573666,-0.553170700413125,0.262376271837214,-0.843410774116444
"PSEUDO_Li_1 (GE) - TPM",0.321914886515452,0.568800007086968,0.0303786473312949,0.0303049164329621,0.932694442413919,-0.108422373717593,0.0734774065213033,0.033868803457737,-0.115258281997395,-0.588251536074733,0.335980676283198,0.413921181698332,1.30907190151995,-0.579850096702058,-0.346066322309218,0.235545896809773,0.403442953517656,0.732230943574963,-0.743379847973407,0.173572674707522,0.742124200265728,0.461655113636574,-0.487950719181235,1.4728194475861,-0.292270889408626,0.066958849120827,0.26653211734706,-0.0330149294700146,0.0729328974455895,0.400197070950518,0.164479779072151,0.708294408065284,-0.868214567073667,0.582569609075949,-0.774472928953433,0.312273836805558,0.85324381823042,-0.176715123129088,-0.812069239614676,-0.243190166461462,0.955464156802575,0.469090372189545,0.131059784994628,-0.542892590492534,-0.134031219614875,-0.359790661731568,-0.536537260354159,-0.574842272579188,0.00322630182240993,0.835708728833254,0.0572725404452697,0.0022364258596924,-0.386762066202199,-0.115495711308145,1.0955283907359,-0.598825959955335,-0.162897512104557,-0.303551803991843,0.0352647421177228,0.909156248366733,0.0929897785533282,0.648909834220977,0.747620990188831,0.179187434237832,0.208454391253983,-0.308677187931034,-0.736758930400544,0.0178913965864509,0.237811185488753,2.12298177069683,0.653777852836686,0.0466199834868025,0.234170037526427,-0.00158785559223977,0.667429375545151,-0.386987216578888,0.172517294376115,-0.76214672187133,-0.140895041426714,0.547831010289885,-0.124475745227816,-0.555405806640529,0.358780086258248,1.26036237162923,0.859689377696211,0.0557722705590677,-0.266497079681569,0.479619393683625,-0.0110804801830885,0.363361830094363,1.02465128250448,-0.0724027719694296,0.801489160195419,0.799558901527122,1.01633257856429,0.131567800460445,0.511646839505831,-0.285639241092371,0.00107444252321413,1.27683087057415,0.13095460081838,-0.860403988437798,-0.0246353715083035,0.391362973414819,0.869323521377618,1.08225323872135,0.352699448268619,0.533453842616454,-0.0201730857107877,0.444141238293103,1.45984132938924
