"","PA0032a","PA0258","PA0824","PA1019","PA1154","PA1248","PA1257","PA1403","PA1550","PA1619","PA1738","PA1972","PA2193","PA2194","PA2195","PA2229","PA2382","PA2873","PA3054","PA3283","PA3304","PA3303a","PA3305","PA3327","PA3754","PA3755","PA3790","PA3910","PA3917","PA4012","PA4211","PA4353","PA4466","PA4620","PA4806","PA4892","PA4950","PA5087","PA5247","PA5370","PA5537"
"PSEUDO_As_1 (GE) - TPM",-0.954226690415853,-1.20909636468698,-1.28404841810201,-0.679889014983367,-1.04278839586102,0.191198531911415,-0.794282711554972,1.79668859518588,0.974032298781786,-1.08868832232115,-0.299075020771053,-1.30270957443218,1.68262588025991,1.56246538575324,0.88673133666503,-0.513477212818474,0.48621735819885,2.08550762095811,1.55787032995554,-1.39329720521137,-0.712350410261834,-1.14435834367371,-1.19821760380279,0.246793257476276,-1.5397169250367,-1.32004600511497,1.39797639463802,0.659383691976971,-0.714784284702863,0.499204052750649,0.0552487027708908,-0.711989902966389,-0.68691003508792,-0.949229733545738,-1.45413643466122,-0.93520762933748,-0.98769081155412,-0.813224889738438,-1.68004893540554,-0.310842422901998,-1.50346159724602
"PSEUDO_As_2 (GE) - TPM",-0.773654638273139,-0.84797214770612,-1.09543110112284,-1.74360068119397,-1.80001248075174,1.05613374789142,-2.17228282889926,0.863893677451902,1.3632090662334,-1.81659150615252,-1.56287230562154,-0.802762571343209,1.9532935806922,2.0201837887077,1.47998796811601,-0.240246353134196,0.545784123495202,2.82496545288099,1.98341252556364,-1.31835010368499,-0.651741144539028,-1.21613199063947,-1.41964657906068,1.47176848812785,-1.98134160602434,-1.47272865798421,1.80014872743864,1.91391049267529,-2.20088330617785,1.23274994721358,-0.0605556434798003,-2.27919505032351,-1.60135834625274,-0.910595923156156,-0.731676905866698,-1.22287781557555,-0.908547256009637,-1.24612213834466,-1.42875214153578,-0.535809452514711,-2.24079591076751
"PSEUDO_As_3 (GE) - TPM",-1.51421029581358,-1.66299943047726,-1.18844546971877,-0.176326276464198,-1.81269732358145,1.15954175564992,-0.299627009235442,0.568608194355729,1.29603208134871,-1.36096802620383,-1.37455373251787,-0.635594166717808,2.21429553830081,2.5431714448628,1.93887252702268,-0.818242940009185,0.00528617618053287,2.9375047836415,2.45613630628863,-1.28190175489188,-1.01799328832482,-0.80203679528476,-1.13882663703064,1.23626168116095,-2.10770837145414,-1.61480515598121,1.98915364662564,0.568402219792741,-0.535794618054397,0.71109781448376,0.590343563615783,-1.27675187719424,-1.3857586795626,-0.774454543648268,-1.55134025193853,0.43886535085844,-0.679661530571848,-1.45127727818506,-1.40368372859996,-0.946298499060818,-2.08103591888718
"PSEUDO_Bs_1 (GE) - TPM",1.21371908380159,1.10092993032187,0.869572898813957,0.640096247029308,1.05253495818349,0.9382602846036,0.952413430974735,-0.524323404930711,0.207264504290381,1.73981493077404,1.15240703829278,1.06948961070499,-0.439645636593535,-0.531069279875262,-0.506407672592432,1.11152170845988,0.816291538393861,-0.23290674691676,-0.669084001889666,0.859903098319031,1.03541462702618,1.69803067956628,1.56718507722499,-0.33182579474381,1.36524033613933,1.61466143469283,-0.093973924278368,-0.451062175595945,0.915741999542862,-0.231613283336533,-0.429445797926214,0.139678367773854,0.898022625331276,0.513716348888035,1.3231405153015,0.53509669510566,0.953555795432859,1.20693763267181,0.590087757925,-0.593061173515067,0.260538118290739
"PSEUDO_Bs_2 (GE) - TPM",-0.209792339129692,0.356873145916186,1.61908610916932,-0.0112727369863787,0.505578574085505,0.832412784651417,-0.368529355945707,-1.06526803731331,0.0689966864877206,0.890118109401069,1.21333697649263,0.672803003724564,-0.476124319775867,-0.592905524856965,-0.614277979275973,1.32257428050414,1.42146175046076,-0.376368634055544,-0.492365383855747,1.71449895958192,0.688411557910388,1.60240764091352,0.687516005536941,-0.344764284856029,1.07915228888356,0.786844082301061,-0.227062414505828,0.785317112644493,1.17905608830814,-0.419659736087009,-0.729272442850566,-0.404972986297965,1.0618333327712,1.677474447633,0.317404179132547,1.05328705170219,0.725493889378222,0.763848607856115,0.378177805363692,-0.883717685493612,0.376818209106936
"PSEUDO_Bs_3 (GE) - TPM",0.487406462016356,0.368679600581744,0.847753090038482,0.436786394847702,2.13992715396218,0.664838465900959,-0.231475035473016,-0.170184610307356,0.318512798264171,0.53042964554556,0.620592066768705,1.2414293210909,-0.463156973197963,-0.552871579692672,-0.691718599191799,1.56848152568357,1.30034251661729,-0.544151550465869,-0.823918241499511,1.33470308783475,1.19111783142336,1.02610102161931,0.586013200023935,-0.409153993859496,1.1385870735188,1.63280618016354,-0.302721357762694,0.516456002115396,0.733157777234033,-0.193055902934363,-0.0845746007611886,-0.329882854266283,0.594176346360191,1.42462669194029,0.736570714022939,1.48421823469305,0.300434776546061,0.663254601588122,1.01210756416396,-0.527625708244803,0.529570836972102
"PSEUDO_Ctrl_1 (GE) - TPM",0.852698670944838,0.199952480270954,0.807482356496676,-0.119826627699066,0.687538455127883,1.43492636833837,-0.538597407906205,-1.02402858947276,-0.0663855812579571,1.01158930102186,0.0749473742502728,0.686729803962652,-0.502069133406954,-0.589550023633087,-0.559677504796223,0.683188078528188,0.439305977940011,-0.493082340751831,-0.903954570960999,0.211281148621936,0.721137898647204,-0.0833647652549921,0.334187038427554,-0.223906977144177,0.000993470619256922,0.565976419152991,-0.315202847445288,0.551214722959951,0.144193331439867,-0.131738342592554,0.335042457278338,0.283909068738135,0.830189454738197,0.355996757388229,-0.143237271802374,0.248534565386853,0.530783602828734,0.608928908304608,1.14362109977694,-0.301497574161626,0.207434407532251
"PSEUDO_Ctrl_2 (GE) - TPM",1.0774612159352,0.670430052853152,1.03970020903084,0.339263047563827,0.721086644764263,1.43304713869151,1.24688405803326,-1.06317139836933,-0.109899260346394,1.52470974038761,0.096399399077005,-0.297944165166234,-0.71007056227359,-0.594994696283917,-0.571573036840247,0.927956776866164,0.927499292603029,-0.0711079594741625,-1.05986943989933,1.1061106735552,0.466396853769884,-0.151995246965754,0.55010186780567,-0.154521642634019,0.466542323418095,0.802156873919883,-0.0171040046355727,-0.0111419099969942,0.0896458101013503,-0.184134422596162,-0.332490789928105,0.0991794628964909,1.18561889067337,0.664731461912814,-0.347427539060302,0.402062166157501,0.532939357349859,0.373136922951648,1.19957772715581,-0.307405717629528,0.479928812874594
"PSEUDO_Ctrl_3 (GE) - TPM",0.534062305792818,0.872587817075073,0.657834775525631,0.828222296969645,0.690410213330638,0.801413123752948,-0.905945569322977,-1.15459086652548,-0.0371269565832446,1.19728859401193,0.272362350086019,0.595845320922146,-0.676017359730706,-0.657286856577734,-0.603235824937949,0.801610551738888,0.255696492676114,-0.41613906359916,-1.17365126529526,0.884036877576636,0.727861248778064,-0.13360983220797,0.028149813349154,-0.442822051825835,0.322576352267025,0.277467685960353,-0.161054109206815,-0.171437922662663,-0.0276852474615724,-0.622105130968684,0.43903054557782,-0.669086405974492,1.18309759261708,0.485890857570922,0.486224357601777,0.06030470723644,0.376299945922297,0.0108601153263419,0.994641269660637,-0.931012750383084,0.419351354395804
"PSEUDO_Li_1 (GE) - TPM",1.16724180317803,-0.24739736080908,1.0082804945893,-0.729631036714215,1.30769084900579,-0.235271775429829,0.351619001845886,0.0383196656479403,-0.0958765898050172,0.548841446849553,1.0003349989153,1.40895720188668,-0.00981943285292875,-0.417239355828941,-0.37861009984223,0.729400309646001,-1.00821208485657,-0.37793425012368,-0.299396171986237,-0.787703750086177,-0.241433643618604,-0.171491887193896,-0.207648131195753,-0.601706562014908,1.25938902019844,1.40780140590956,-0.739825896830328,0.321891574989545,0.837266907145015,-0.166616866633563,-0.144711558373651,0.129380634789547,0.488401631667288,0.168709993958184,1.49505683638282,-1.07133972372379,0.97678524142419,0.904257372552095,1.7436404059143,0.383587374294723,1.60570592350853
