"","NTHI_RS00015","NTHI_RS00020","NTHI_RS00210","NTHI_RS00235","NTHI_RS00375","NTHI_RS00430","NTHI_RS00875","NTHI_RS00930","NTHI_RS01165","NTHI_RS01170","NTHI_RS01295","NTHI_RS01645","NTHI_RS01795","NTHI_RS03130","NTHI_RS03175","NTHI_RS03180","NTHI_RS03540","NTHI_RS04225","NTHI_RS05575","NTHI_RS06045","NTHI_RS07320"
"HINF_As_1 (GE) - TPM",-0.723534238328138,-0.317894650699825,-0.679250075078803,-0.0519213803852761,-0.611463201103165,-0.785007264730754,-0.63278681088971,0.661296213638779,-0.751064770204866,-0.705980409047466,-0.269054423157267,-0.58597983694033,-0.731082707414079,-0.719463850508441,-0.681836725801504,-0.721969824855626,-0.436974978039057,-0.370385776097463,-0.340522116486488,-0.00884239276744794,-0.0352490386832907
"HINF_As_2 (GE) - TPM",-1.25024619358203,-0.208778265366606,-0.94943060025982,0.186894712733634,-0.664651480637724,-0.798829468628008,-0.648248643508648,0.977890046934307,-0.900764554899674,-0.878407663256421,-0.0444130557608699,-0.482149410685836,-0.8818016115646,-0.84047510900467,-0.624264838494577,-0.713433679800271,-0.618408586251761,-0.344326455135442,-0.470904246292287,0.664748387092366,-0.182841193568734
"HINF_As_3 (GE) - TPM",-0.338639994981826,-0.610107059889135,-0.934639219209346,-0.420586605235559,-0.781414148132794,-0.884723943251544,-0.744782027659696,-0.256416691233961,-0.861475485672056,-0.98746044503629,-0.561029126088498,-0.424550577133121,-0.713090502377603,-0.859403813773813,-0.83192138766169,-0.846539951247489,-0.781499185959232,-0.353967038924286,-0.53156889561333,0.085113954206044,-0.833316069228482
"HINF_Ctrl_1 (GE) - TPM",-0.451846570009782,-0.729884302419138,-1.00109277225685,-0.318374714368054,-0.792926528272151,-0.712094228772438,-0.749260405461145,0.445840235742792,-0.95133119030183,-0.994231973964245,-1.04505225987401,-0.680099705931884,-0.759065014517083,-0.791614882387702,-0.84773796138972,-0.842650923314972,-0.485571992182759,-0.620965701432765,-0.586228926492375,-0.918107796618181,-0.77227672881873
"HINF_Ctrl_2 (GE) - TPM",-0.0644728095221166,0.294818541702083,-0.884409455661352,0.813645405447264,-0.817285925795604,-0.787696910804676,-0.749065401494404,0.145436953495901,-0.937338060042884,-0.930659602217468,-0.899724905843017,-0.562272236153534,-0.850042080263568,-0.896812305336608,-0.899119994946279,-0.826345805431871,-0.108201457473586,-0.634069847228883,-1.07565856025707,-0.996577220614387,-1.32237805973789
"HINF_Ctrl_3 (GE) - TPM",-0.647870767496813,-0.513989266656467,-0.71337424788682,0.6701258388848,-0.783069190982829,-0.689491394885029,-0.73887330731649,0.126615656539371,-0.807321380227807,-0.912768757055141,-0.978637906101686,-0.81223872400515,-0.672391142437924,-0.903206835014754,-0.862065395784774,-0.777635682726331,-0.831396014920823,-0.773414127721391,-0.724804621240226,-1.147719176495,-1.31627907198944
"HINF_Li_1 (GE) - TPM",-1.09711002588832,-0.890970135977034,-0.841553448525843,-0.224200213435305,-0.778039288423646,-0.781329074823859,-0.765566512033528,1.17411711778788,-0.886200479402843,-1.01825095717269,-0.860988776993198,-0.707812487344569,-0.858382435354346,-1.04550325779193,-0.831712141771453,-0.811534677190136,-0.573749867994391,-0.966769850845267,-0.8932884738502,-1.06753581899215,-0.675662965593375
"HINF_Li_2 (GE) - TPM",-0.186029171971774,-0.974154957326622,-0.404120642296763,-0.662068170759133,-0.754544867092651,-0.613892527183682,-0.688997910885351,0.828945825687949,-0.771458076548888,-0.974649170359416,-0.838281687621002,-0.389351291676068,-0.789587311732873,-0.888716775083719,-0.785345507782007,-0.766062137348079,-0.806852345479291,-0.795985458256491,-0.711295669739634,-0.491462270915597,-1.23455487295748
"HINF_Li_3 (GE) - TPM",-0.174993348068588,-0.653837995423547,-0.46671089807525,-0.0234626955147921,-0.60541285562655,-0.590619470611074,-0.529935086961621,1.00624774099386,-0.711621830510225,-0.776676963421074,-0.860573249525529,-0.482575516050271,-0.720475198417995,-0.706208095346801,-0.637988642995329,-0.655577047076919,-0.546682606733035,-0.642351112851019,-1.0553225096973,-0.706361841991859,-0.894618013896278
"HINF_Mig_1 (GE) - TPM",1.58489563606808,2.7478313639477,1.38768738858775,1.56970321897569,1.75503822219118,1.77463586960238,0.597874325374326,-1.70686837177506,-0.384655520634616,0.156206649816605,0.649081852132114,0.846049661395377,-0.0308023592076918,1.60478559629692,0.722791653438314,0.345942410090903,0.49203487558372,1.29300712680423,0.107270170280176,0.316476951425971,0.588029569849234
