"","SPD_RS00920","SPD_RS00950","SPD_RS02850","SPD_RS02855","SPD_RS04110","SPD_RS05825","SPD_RS06015","SPD_RS08140","SPD_RS08660","SPD_RS09280","SPD_RS09775","SPD_RS09785","SPD_RS09845","SPD_RS10100","SPD_RS10185","SPD_RS10330","SPD_RS10810"
"STRPN_As_1 (GE) - TPM",0.388988232429214,-0.0581890154319881,-0.0722666777079153,-0.0619232876672954,0.683103966610934,0.530553386948333,0.257360521310675,-0.245484905379348,-0.0815396015263075,-0.182864613448426,0.705621037746334,-0.232311970283258,0.192907350001288,0.0837923793984092,-0.173006019199684,0.344120765260221,0.788236306870747
"STRPN_As_2 (GE) - TPM",0.511295775479756,-0.120533690013858,-0.166611338394388,0.0577952096428012,0.67742823797097,0.526082896706582,0.275915009275228,-0.0778842128428606,-0.0519296186863637,0.0773393706447596,0.927513597875792,-0.141004715372862,0.213492014492263,0.255749474526999,-0.182607109409113,0.440035269580534,1.34777751761927
"STRPN_As_3 (GE) - TPM",0.168998716037187,0.0488839663237256,0.778298622351871,-0.353868128807104,0.129992184994717,0.570154876286698,-0.304836473420425,0.23259305317249,-0.440379466848383,-0.339518604959763,0.384429058226247,1.20330190688451,-0.359446169941189,0.22287305320432,-0.324724504380479,0.0241115952555392,0.775657950435266
"STRPN_Bs_1 (GE) - TPM",1.10279371806565,0.507648795656514,-0.635189534851504,1.19226257051419,1.46702277307656,1.1818143051494,1.15042973760495,0.880410031366845,1.30457731179158,1.34701021955283,1.60280116800486,1.74452007484623,0.828986642726965,2.33867574719974,1.16657775279199,1.62006838649595,0.804260249012959
"STRPN_Bs_2 (GE) - TPM",1.56451450800318,0.254418162762233,0.475877229871168,1.55856284067114,2.18435993271777,1.43027940722037,1.73134008078452,1.36982515743451,0.815563008303195,1.1663366704491,1.32513673663393,1.48101882751967,0.408015749068062,2.73147096737077,1.83027772420728,1.32261295436849,1.34215715095375
"STRPN_Bs_3 (GE) - TPM",2.32030040159516,2.13966183925841,2.32536408785152,1.50703066983315,1.42290915226227,2.74012294872045,1.54615961935006,2.4190560141338,1.43572086679881,2.45425990771361,2.49147714793542,1.21117535950845,2.59392791365699,1.22705361731322,2.01845583977779,1.90791658667988,2.61008430691562
"STRPN_Ctrl_1 (GE) - TPM",0.0856771504158895,0.350898090708657,-0.250807360021876,0.104790240778147,0.0236472718232493,0.0721724358437134,-0.505275328599634,-0.232615623894449,0.801160726634046,0.0225996007736383,0.63120870907052,0.310306562352584,0.652071629267281,0.0608499431669642,0.586274252366111,0.295005879875626,-0.575560903923041
"STRPN_Ctrl_2 (GE) - TPM",0.100483556231278,0.453200158279806,-0.552296258120248,0.116613484999422,-0.0304590939691596,0.106587171766372,-0.376667477294153,-0.207684305569295,0.994868611912422,0.00778327666156824,0.611197350519464,0.268396911331244,0.619375124799923,-0.00450389375424187,0.586151489328425,0.233115486989416,-0.612265398750872
"STRPN_Ctrl_3 (GE) - TPM",0.00639610326133616,0.32000169161993,-0.31112420512162,0.212127298656859,0.118851220710862,0.0864458268257064,-0.41639238700898,-0.199927090946462,0.962166974213823,0.0164983677642183,0.592527970679806,0.328691513074537,0.389313833454456,0.0614888387562924,0.452966494440098,0.21890815331486,-0.584668000710812
"STRPN_Li_1 (GE) - TPM",1.81831679470573,0.656539876800279,1.63721829180182,0.914191745695536,1.56716930843699,0.743300078755895,1.1228196903449,1.59359794987429,1.30283577131007,2.22780552146673,1.25232010478298,1.4750408803333,1.78003717729788,1.12718605015206,1.02621211578278,1.78288665835896,1.35352603610779
"STRPN_Li_2 (GE) - TPM",1.55890906540274,1.24707804978891,1.26941965087535,0.973793646448301,1.28402008518297,0.985016363056424,1.47922653580471,2.07057401555381,1.93485751530295,1.81503307386337,0.94065969054325,1.68558267173662,1.46406819804033,0.968405322236136,0.942190055251803,1.98165210916204,1.32590950603063
"STRPN_Li_3 (GE) - TPM",1.63614874376644,0.603408671439693,1.66958920200127,0.950427975929541,1.59897324924047,0.795788519258998,1.3028405244743,1.49795086462948,1.12669104091033,2.16603939607003,1.10605306779779,1.48285988554464,1.85715407730613,1.12206667242115,1.08511755924045,1.83785545397277,1.31130543884131
