"","SPD_RS00920","SPD_RS00950","SPD_RS02850","SPD_RS02855","SPD_RS04110","SPD_RS05825","SPD_RS06015","SPD_RS08140","SPD_RS08660","SPD_RS09280","SPD_RS09775","SPD_RS09785","SPD_RS09845","SPD_RS10100","SPD_RS10185","SPD_RS10330","SPD_RS10810"
"STRPN_Mig_1 (GE) - TPM",-1.57373763206325,-1.79776823462115,-1.3292674997586,-1.98048590441325,-1.59752585167368,-1.49719295735913,-1.65788901168908,-1.61310454093951,-1.3669938854272,-1.3558396790519,-1.62221046385312,-1.63579307175972,-1.58097527111771,-1.41994499978415,-1.94565205581927,-1.41181997462578,-1.55914920854957
"STRPN_Mig_2 (GE) - TPM",-1.54031694951862,-1.82354856083269,-1.52606550345091,-1.87573736139722,-1.6249883055421,-1.51817613530784,-1.72760933090956,-1.54679203450304,-1.35251905367643,-1.27074685735417,-1.6874379516455,-1.63345340005516,-1.5609306614757,-1.41499964570525,-1.86337167460329,-1.42969129429892,-1.54750096985193
"STRPN_Mig_3 (GE) - TPM",-1.60637373931977,-1.78554073890425,-1.52210301038359,-1.8619048030829,-1.60827321713249,-1.45976568966766,-1.63282558331263,-1.54148440028222,-1.35477024386796,-1.32985528215707,-1.62382591623804,-1.59375239089939,-1.48966207989526,-1.39047652681887,-1.83580557494272,-1.4114256498538,-1.64571557090061
"STRPN_Nd_1 (GE) - TPM",-0.833174416720611,-0.937263612654817,-0.998008322151391,-1.51323307833377,-1.15626495116244,-1.44256954757349,-1.31424691138988,-0.919234365775596,-1.18087893124951,-0.672575301921211,-0.98869981045471,-1.2824036165751,-1.33441397927794,-1.19456700204669,-0.778995218671128,-1.10594633295113,-1.39740307219211
"STRPN_Nd_2 (GE) - TPM",-0.511076715312384,-0.770345663096949,-0.0340899743259765,-1.55190517624003,-1.14549450740598,-1.39817419704424,-1.13959066933134,-0.855812908092819,-1.16520267269665,-0.623703763349486,-1.03658027211605,-1.09357778818774,-1.12882387133337,-1.07526262719443,-0.631592023829294,-0.92912923784161,-1.03158077160278
"STRPN_Nd_3 (GE) - TPM",-1.09690386268216,-1.01312635105946,-1.09217288385638,-1.6344277485813,-1.01046025361645,-1.44209158583307,-1.17738503357245,-1.28172878343586,-1.13008472550977,-1.1437119482463,-1.43674998389759,-1.09643584155029,-1.49573300784866,-1.27147123235551,-1.26822283365109,-1.28939967194221,-1.43771098293052
"STRPN_Ns_1 (GE) - TPM",0.195899306803869,1.28498923951172,0.677773394379335,0.281484195772178,0.26093650862949,0.424436291141979,0.0709204563637866,0.573775320667673,0.594718097026501,0.145806834808623,0.251797285079021,0.220275647277243,-0.352378316547665,0.2953159445008,0.0935084398608566,0.558743923323087,0.169523632378865
"STRPN_Ns_2 (GE) - TPM",0.217191141477318,0.980543122282624,0.448471728799637,0.302967334318167,0.303747153408007,0.459396882556116,0.141717217034458,0.58209562248804,0.43677394960255,0.0511870288088989,0.343170662890559,0.300937536453689,-0.0781935627095341,0.212275076563498,0.0370065712375212,0.416230877484641,0.153156373162747
"STRPN_Ns_3 (GE) - TPM",0.208874959230478,1.27269149547075,0.714880510536081,0.294374119323508,0.298425007174335,0.517360318013496,0.18409383968468,0.636468617114459,0.472242594675456,0.0991325392410173,0.452487146808265,0.272244784350755,-0.111222062915228,0.233570645637731,0.205101195490556,0.544579040128268,0.161097301262101
"STRPN_Oss_1 (GE) - TPM",0.128706092887336,-0.571919589836794,-1.13332559607093,-0.696489791552792,-0.252337745393157,-0.510174669918984,-0.921216089347324,-0.515326614240129,-0.457074636896278,-0.73802097233958,-0.665249781591631,-0.36783756863162,-0.625999095645253,-0.665368215188835,-0.706735344981082,-0.387565059783844,-1.14595874773843
"STRPN_Oss_2 (GE) - TPM",0.438240685455653,-0.173644015175275,-0.985931682692438,-0.485403601771884,-0.236350138996719,-0.775638660437048,-0.713379776976327,-0.460520644981858,-0.554751986167526,-0.45937039118673,-1.00649262773249,-0.628468469939626,-0.231773688741754,-0.655962177763147,-0.425898130139752,-0.249606836910561,-0.955075318433336
"STRPN_Oss_3 (GE) - TPM",0.523032035844506,-0.373904889491425,-0.0455742926468329,-0.2802723336984,-0.144953662845406,-0.824773607092522,-0.488351146670595,-0.0450244476484173,-0.605325074387117,-0.0687059995633044,-0.0263673469605909,-0.102282519346066,0.410739499920621,-0.46433464394426,-0.232831876052904,-0.428473733474183,-0.615651258156756
"STRPN_Oxs_1 (GE) - TPM",-0.103012420529632,1.21342436065088,0.528585516554912,0.159058207244944,0.295470099156561,0.552902719541288,-0.0945902077915007,0.492663501781614,0.943385253263436,-0.149057954779187,0.188636976980715,0.184062299930121,0.23255331825032,-0.0367393002934175,0.236408702031635,0.229451059427823,0.181813784105492
"STRPN_Oxs_2 (GE) - TPM",-0.0773571541136908,1.26923162639997,0.354501929589702,0.126766727353368,0.365068759850343,0.477570989319569,-0.14120221175876,0.538305053602355,0.845184558368139,-0.129715077968716,0.0779393814815823,0.155713618151982,0.252966508162548,-0.0826549698591083,0.24271025504397,0.180092394200877,0.185586826804359
"STRPN_Oxs_3 (GE) - TPM",0.00290950567785716,1.04902478903379,0.616401555669593,-0.0822219229517499,0.229489384926317,0.414730781276154,-0.00986971771756729,0.583697156008271,1.53423670821178,0.0963543422531006,0.21794150030225,0.0717223473595759,0.421965458461735,-0.049547370964591,0.580347820817844,0.0921365398479544,0.330684659810618
"STRPN_Sp_1 (GE) - TPM",-1.08607729673354,-1.27861331833629,-1.79029558180938,-0.510363366754006,-1.22756518367673,-1.05884831978869,0.873514739093695,-0.834713797091281,-1.19163887859168,-1.13981628254586,-0.696389729173636,-1.31879932351057,0.129903586974108,-1.20540703371132,-1.17986963346594,-0.907585367248978,0.105854824309638
"STRPN_Sp_2 (GE) - TPM",-1.14029160567952,-1.32902296001194,-1.14647876774087,-0.594525520657061,-1.31867245808625,-0.974729326949759,0.871716995490974,-0.910977225190138,-1.12285652042596,-1.16938046303755,-0.633058740296355,-1.39098922794425,-0.362482121679326,-1.20448824404798,-1.39289811865994,-0.838394267098049,-0.0556338805763248
"STRPN_Sp_3 (GE) - TPM",-1.16907046227825,-1.26458315082924,-0.94616413836994,-0.768132460118718,-1.25435399172289,-0.975052594136656,0.89797922335062,-0.853410844623686,-1.24344160373702,-1.12094693966839,-0.780912837650134,-1.30561655603951,-0.39271045258799,-1.1769425201491,-1.37844116701137,-0.889754954075037,0.0898337269595781
"STRPN_Tm_1 (GE) - TPM",-1.0634549251883,-0.363260757187049,0.823297113311877,1.05607139820328,-0.54825078684586,-0.481579385095908,-1.11156660083208,-0.784069184135838,-0.922616007394849,-0.0276828035227302,-1.15210945135843,0.627277159309413,-1.00240241858078,0.0543745399131706,0.0540741488947067,-0.961746400371617,-0.316225125754353
"STRPN_Tm_2 (GE) - TPM",-0.570074341318833,-0.44560272720899,1.14236316931736,0.738532673586521,-0.5046858663837,-0.162183634441857,-0.75531832992189,-0.6833952890278,-0.675251910105513,-0.377738499536747,-0.633777502410051,0.449584620392961,-0.962298243921387,0.305405789217142,0.569617238324352,-0.843237395093914,0.604008305930063
"STRPN_Tm_3 (GE) - TPM",-0.956107850632189,-0.167442851437121,0.439328281342767,0.756556937202849,-0.508486067757545,-0.420666995159494,-0.568545198330139,-0.668735443099993,-0.589421215178936,-0.218058317908167,-0.474384310197806,0.430734498036818,-0.74151605093649,0.32459145722881,0.840666542295811,-0.96824464231197,-0.378619657873045
"STRPN_Vic_1 (GE) - TPM",-0.164891693803214,0.484238543939152,-0.18226871012527,0.573987316723202,0.658341633387444,0.836763783289493,1.22228437196738,0.43176052663998,-0.181793513600696,0.495497201236336,0.557470075840032,0.264100042004893,0.829581978355105,0.640208435329684,0.336789734746451,0.0100580085513233,-0.193273157075445
"STRPN_Vic_2 (GE) - TPM",-0.236780978692428,0.587795731319987,0.369940366803365,1.29527667992254,0.108871522514213,0.84171835456115,0.844366942250199,0.375474030421954,0.0581533191823654,-0.0226708927109425,-0.428950364038824,0.180708792951049,-0.163299360940631,0.724080561282213,0.99077987426247,-0.165091636879416,-0.0311200930250992
"STRPN_Vic_3 (GE) - TPM",0.751025551815809,-0.44936808511772,0.448730686542435,1.07822321320783,0.491294630136079,0.648418969568147,1.08407198168917,0.199679746811029,0.105333238466704,0.351297293948388,0.232808420416141,-0.525529479255129,0.697200355859877,0.323235888161774,0.439417478624158,0.177531312482787,0.442638220534235
