"","SAR_RS01360","SAR_RS01395","SAR_RS01470","SAR_RS02020","SAR_RS02285","SAR_RS02440","SAR_RS02445","SAR_RS02450","SAR_RS02505","SAR_RS02605","SAR_RS02610","SAR_RS02725","SAR_RS14925","SAR_RS02930","SAR_RS03495","SAR_RS06070","SAR_RS07155","SAR_RS07465","SAR_RS07620","SAR_RS15200","SAR_RS15205","SAR_RS09715","SAR_RS15275","SAR_RS09795","SAR_RS09800","SAR_RS09805","SAR_RS09810","SAR_RS09815","SAR_RS10435","SAR_RS12930"
"MRSA_As_1 (GE) - TPM",0.549926925694089,0.640550054663478,0.465832010424773,-0.398168498043559,-0.0762254273601939,-0.0734446473208448,1.23726857291588,0.498564775341105,0.980183681646811,0.742496254997445,0.610014098107029,0.816781999769793,0.205953078205839,-0.381118212746628,0.259037290867926,-0.0568968717993697,-0.379446393231831,0.837063771080035,1.36702822412725,0.651539246938512,-0.0552035439426301,0.393587072284327,1.03112580957034,0.570154149547088,1.09272401695734,1.10133910993207,1.16980564818415,1.35709655989,0.514548425424585,0.119508269486855
"MRSA_As_2 (GE) - TPM",-0.100486773380426,0.356006024550431,0.849720934606658,-0.39494515614653,-0.271964581158559,0.242359151945931,0.877466534713265,0.10711120755775,0.368498062316908,1.00900801105902,0.303090411120333,0.975228104178012,-0.478806453555602,-0.325469416966287,0.55735740229645,-0.672621579097863,0.031934785034683,0.963500080072422,1.38509616970513,0.279366691223259,-0.333642494812085,0.171103799814186,1.27161713752038,0.963453506656469,1.30748536724799,1.10936685107797,1.20601623835451,1.43608142265876,0.363937859921291,0.316241418292394
"MRSA_As_3 (GE) - TPM",-0.364597797237058,0.276368004439271,0.5118226512508,-0.220385837375817,0.242754639144182,-0.27173286794455,0.487868021902601,0.588462571213573,0.954411649943436,0.58745039125154,1.19688491327539,1.34212973474243,0.363058497647889,-0.376042721910341,0.276573004567237,-0.645799925188238,0.0803000204768231,0.962189439976925,1.7825366205172,1.35454612687018,-0.674843412652279,-0.164051583663404,0.400898127675764,1.03155305296914,1.17319201933104,1.3674345262704,1.61020298317643,1.36964591907669,0.880270363656096,-0.00492629491377412
"MRSA_Bs_1 (GE) - TPM",0.766050409569032,0.428254049977454,-0.0138606454149122,-0.528652005248473,-0.201448365371906,-0.280675467341269,-0.357892499615559,-0.16338522600982,1.2796012787834,0.371700010423793,0.518193439367886,0.111002737270534,-0.274599523641595,0.695899192205975,0.424342861859749,0.238643085706815,0.45642130860717,0.114740121774948,1.01627760116843,0.193602178229609,-0.455836432555599,0.377949447177021,-0.0394132437443395,0.710672923607451,0.424978379694409,0.439056895641381,0.0684432505146242,0.168986428578381,0.070051198508607,0.305029149684522
"MRSA_Bs_2 (GE) - TPM",1.19177314735131,0.563388906591673,-0.590081792279074,-0.411538598377454,-0.278968529655932,-0.179784467449412,-0.22896513632649,-0.302427913207436,1.11117266148322,-0.160222452714715,-0.184420587484666,0.365732313639576,-0.478806453555602,1.95955700212084,0.271385486809771,0.137851163871959,0.825886534018969,0.728686412096226,0.807662387598572,0.454646302464444,-0.528454525853654,1.18699073784866,0.12599778215344,0.725199005091832,0.385919190711794,0.516830762214561,0.120937449052491,-0.140421641965997,0.604886217156271,0.304839060245505
"MRSA_Bs_3 (GE) - TPM",0.985985411697548,0.436346693154515,1.02266838499712,-0.467535097458291,-0.253201682302128,-0.255467789599191,-0.122813071268685,0.257573009163266,1.11184641580176,-0.153237843310888,0.461932843882933,0.529121756714813,0.483053192726673,0.181981255570983,0.842012835106545,0.0310553896400489,0.84955775077536,0.789559005969928,1.19271993168835,0.456517163636195,0.31988590622014,0.684839917914333,0.565700944649907,0.87398171525926,0.964028648425795,0.752754439650336,0.334291407465335,0.249494766499708,0.530179997302777,0.495414269010926
"MRSA_Ctrl_1 (GE) - TPM",-0.241215528089968,-0.249301583727742,-0.848080328939551,-0.549440587730763,-0.300619473201853,-0.385291022574778,0.131433502963939,0.294155841939254,0.326857198484486,-0.391015782323316,0.146728019113888,-0.154245348094722,-0.478806453555602,-0.548218527778693,-0.682466707173083,-0.188036125455656,-0.296684705911134,-0.0761415504562893,-0.510461418544575,-1.13784830042199,-0.674843412652279,0.337739718775888,-0.221201073641819,-0.54326354374961,-0.365082774632322,-0.351599193887658,-0.334892764275912,-0.628709943956292,0.411159987677866,-0.835007992180744
"MRSA_Ctrl_2 (GE) - TPM",0.699080756182671,-0.101379248114469,0.76010562491601,-0.579546237881316,-0.518322395005777,0.307995292462371,0.666943753273382,0.630690197838809,0.866664207026304,-0.0928347227135514,-0.0374372090417057,-0.361842948494269,-0.478806453555602,-0.483914799024513,-0.291763292389195,0.346627272680252,-0.0079987838341407,-0.583926454407085,-0.325222919941069,-0.354884986839685,-0.125745420752244,-0.635758837054786,-0.31824415604811,-0.391179975392854,-0.363981423524577,-0.374631178156252,-0.374056388666459,-0.404026957009692,-0.0205708096104511,-0.453957067763873
"MRSA_Ctrl_3 (GE) - TPM",0.205333865723764,-0.211157945123508,0.210232121268692,-0.343828513071357,-0.28654547892785,0.637739307554456,0.797964464582682,0.801945739394338,0.293514481830505,-0.0406914195114605,0.267555609968543,-0.0379615330302322,-0.275904381611794,-0.442583279988208,-0.336992591739053,-0.216296394048701,0.283827550487913,-0.316654299716451,-0.318233150508639,-0.679528279243629,0.467596233005968,-0.315872215579358,-0.242393679878658,-0.42584602893097,-0.239835183247749,-0.487757349055805,-0.51257883220544,-0.517357852993212,0.342300398537154,-0.0970563870540687
"MRSA_Li_1 (GE) - TPM",1.38838477826771,1.67707849979751,1.43486374099517,2.74498793789588,1.39701902347164,0.837204943192117,0.933989787214441,1.2137803085827,0.445536867181663,1.44535631556463,1.04691934801329,1.3584194335635,1.0144080037905,2.79134969976249,0.951339773519487,2.22251214602658,2.50628423833381,0.651691074915432,1.02704260157418,1.81426724937997,3.07852290628443,1.92278925436776,2.27210887966547,2.15802780903302,1.83594067814453,1.82370242518593,0.930517019120685,1.40612692671262,0.973763585843609,1.07753978964201
